,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,203.17M,,,-1.241B,4.988M,4.988M,,0.259M,18.60M,,1.180B,-5.832M,-89.22M,13.70M,,,5.127M,-76.22M,91.42M,,-6.138M,0.23M,-5.908M,-0.284M,,,-2.647M,,0.00,,0.00,,-126.30M,-126.30M,45.29M,,-81.01M,,450.71M,7.769M,458.48M,,,,0.00,-126.30M,82.94M,0.174M,,AOR,Restated
2018-03,166.05M,,,-1.041B,5.036M,5.036M,,-0.215M,9.509M,,1.039B,-4.585M,-98.19M,-25.04M,,,26.21M,-101.61M,78.03M,,-3.113M,0.195M,-2.918M,0.00,,,-0.436M,,,,,,-357.24M,-357.24M,40.80M,,-316.44M,,689.56M,-238.85M,450.71M,,,,,-357.24M,3.333M,11.98M,,AOR,Restated
2017-12,124.62M,,,-1.242B,5.58M,5.58M,,-2.158M,11.88M,,1.164B,-0.384M,130.36M,-4.32M,,,-15.38M,110.28M,234.71M,,-4.599M,0.183M,-4.416M,-3.345M,,,-7.397M,,,,,,-191.97M,-191.97M,10.28M,,-181.69M,,643.93M,45.62M,689.56M,,,,,-191.97M,90.28M,0.139M,,AOR,Restated
2017-09,162.10M,,,-1.114B,5.593M,5.593M,,-0.171M,11.21M,,1.094B,1.71M,-11.61M,18.12M,,,-9.965M,-1.741M,157.44M,,-5.886M,0.192M,-5.694M,0.00,,,-3.267M,,,,,,-70.69M,-70.69M,12.28M,,-58.41M,,548.18M,95.76M,643.93M,,,,,-70.69M,70.58M,11.82M,,AOR,Restated
2017-06,147.88M,,,-1.012B,5.795M,5.795M,,1.85M,10.88M,,988.58M,-2.341M,-132.52M,34.54M,,,26.78M,-73.54M,69.95M,,-4.623M,0.295M,-4.328M,0.00,,,-1.252M,,,,,,-73.96M,-73.96M,42.70M,,-31.26M,,510.74M,37.44M,548.18M,,,,,-73.96M,92.29M,-0.243M,,AOR,Restated
2017-03,102.92M,,,-808.16M,5.699M,5.699M,,1.717M,10.59M,,935.78M,0.667M,-140.33M,-37.55M,,,34.54M,-142.68M,108.26M,,-5.161M,0.177M,-4.984M,-0.455M,,,-3.277M,,,,,,-85.55M,-85.55M,75.26M,,-10.28M,,416.04M,94.70M,510.74M,,,,,-85.55M,7.079M,11.54M,,AOR,Restated
2016-12,150.89M,,,-1.144B,5.678M,5.678M,,-2.842M,11.14M,,1.082B,-5.866M,224.63M,-1.204M,,,-21.97M,195.59M,290.55M,,-5.856M,0.299M,-5.557M,0.00,,,-3.047M,,,,,,-163.61M,-163.61M,4.168M,0.067M,-159.37M,,262.43M,128.13M,416.04M,,,,,-163.61M,70.87M,0.023M,,AOR,Restated
2016-09,117.39M,,,-1.007B,5.657M,5.657M,,0.009M,11.08M,,1.000B,4.493M,-69.12M,24.38M,,,0.517M,-39.73M,89.86M,,-4.74M,0.255M,-4.485M,-0.332M,,,-2.658M,,,,,,-195.24M,-195.24M,6.029M,-0.067M,-189.27M,,364.49M,-102.07M,262.43M,,,,,-195.24M,58.04M,11.33M,,AOR,Restated
2016-06,91.68M,,,-890.08M,5.487M,5.487M,,-0.133M,10.83M,,797.68M,-3.384M,13.93M,36.74M,,,-12.79M,34.49M,52.56M,,-6.342M,0.247M,-6.095M,-0.183M,,,-3.292M,,,,,,-9.407M,-9.407M,5.646M,0.00,-3.761M,,318.98M,45.51M,364.49M,,,,,-9.407M,73.56M,-1.271M,,AOR,Restated
2016-03,65.30M,,,-705.38M,5.447M,5.447M,,-1.303M,10.55M,,828.68M,-4.022M,-254.64M,-1.382M,,,13.23M,-246.81M,-39.99M,,-5.431M,0.199M,-5.232M,-0.138M,,,-1.353M,,,,,,-87.10M,-87.10M,22.26M,-0.15M,-64.99M,,425.32M,-106.33M,318.98M,,,,,-87.10M,16.52M,10.84M,,AOR,Restated
2015-12,134.00M,,,-967.59M,5.352M,5.352M,,-1.133M,14.22M,14.46M,922.26M,-1.539M,154.95M,-23.53M,,,-44.68M,85.20M,211.12M,,-4.809M,0.207M,-4.602M,-0.365M,,,-0.409M,,0.00,,0.00,,-167.92M,-167.92M,9.529M,-14.46M,-172.86M,,387.46M,37.85M,425.32M,,,,0.00,-167.92M,70.83M,0.233M,,AOR,Restated
2015-09,116.47M,,,-873.37M,5.441M,5.441M,,-4.178M,13.57M,-4.566M,874.91M,6.96M,-75.92M,12.41M,,,-18.87M,-75.42M,55.99M,,-4.883M,0.138M,-4.745M,-0.307M,,,-1.682M,,0.00,,0.00,,-194.16M,-194.16M,25.16M,4.566M,-164.43M,,497.58M,-110.12M,387.46M,,,,0.00,-194.16M,71.06M,12.09M,,AOR,Restated
2015-06,93.40M,,,-781.78M,5.46M,5.46M,,-5.78M,12.90M,-1.901M,661.63M,-7.171M,-129.62M,98.50M,,,11.47M,-26.82M,-38.81M,,-3.692M,0.20M,-3.492M,-0.382M,,,0.533M,,0.00,,0.00,,-6.186M,-6.186M,7.63M,1.901M,3.345M,,532.51M,-34.93M,497.58M,,,,0.00,-6.186M,38.32M,0.182M,,AOR,Restated
2015-03,39.06M,,,-556.56M,5.281M,5.281M,,0.033M,13.40M,-7.998M,596.58M,0.223M,-84.21M,-31.98M,,,18.73M,-97.24M,-1.603M,,-4.893M,0.138M,-4.755M,-0.863M,,,0.536M,,-0.064M,,-0.064M,,-63.10M,-63.10M,43.63M,7.698M,-11.84M,,545.42M,-12.91M,532.51M,,,,-0.064M,-63.10M,14.46M,12.04M,,AOR,Restated
2014-12,99.45M,,,-770.36M,5.031M,5.031M,,3.883M,18.35M,-2.651M,777.10M,1.222M,144.73M,-22.16M,,,-27.65M,96.14M,226.41M,,-4.348M,0.395M,-3.953M,0.00,,,-1.094M,,-0.597M,,-0.597M,,-158.11M,-158.11M,10.51M,2.001M,-146.19M,,466.29M,79.13M,545.42M,,,,-0.597M,-158.11M,60.07M,0.212M,,AOR,Restated
2014-09,90.15M,,,-716.55M,4.657M,4.657M,,-0.453M,18.23M,-0.736M,685.97M,3.794M,-59.96M,-11.75M,,,-38.22M,-106.12M,-24.78M,,-6.519M,0.263M,-6.256M,0.00,,,-5.828M,,-0.597M,,-0.597M,,-61.99M,-61.99M,5.046M,0.736M,-56.80M,,553.70M,-87.41M,466.29M,,,,-0.597M,-61.99M,58.64M,12.09M,,AOR,Restated
2014-06,68.18M,,,-605.96M,4.216M,4.216M,,-1.672M,15.94M,-0.354M,557.90M,-5.268M,-109.77M,71.20M,,,3.287M,-40.56M,-1.294M,,-15.37M,0.221M,-15.15M,0.00,,,-12.16M,,-0.895M,,-0.895M,,-314.87M,-314.87M,3.533M,0.073M,-312.16M,,879.32M,-325.62M,553.70M,,,,-0.895M,-314.87M,34.47M,0.139M,,AOR,Restated
2014-03,23.85M,,,-424.80M,3.71M,3.71M,,-1.983M,10.70M,-5.696M,504.22M,-0.281M,-102.73M,-37.22M,,,10.74M,-129.49M,-15.79M,,-5.433M,0.142M,-5.291M,0.00,,,0.005M,,-1.327M,,-1.327M,,-32.58M,-32.58M,57.06M,5.696M,28.85M,,866.25M,13.07M,879.32M,,,,-1.327M,-32.58M,28.66M,12.03M,,AOR,Restated
2013-12,97.81M,,,-647.12M,4.016M,4.016M,,-0.723M,3.911M,3.175M,594.13M,3.649M,178.82M,-1.274M,,,-38.84M,142.35M,182.06M,,-4.947M,0.226M,-4.721M,-11.85M,,,-15.92M,,2.637M,,2.637M,,-118.68M,-118.68M,6.393M,-4.425M,-114.08M,,814.20M,52.06M,866.25M,,,,-0.468M,-118.68M,58.02M,0.203M,,AOR,Restated
2013-09,82.94M,,,-657.02M,3.527M,3.527M,,-0.603M,11.73M,-0.084M,688.63M,1.686M,24.86M,7.676M,,,12.34M,46.57M,178.68M,,-5.981M,0.124M,-5.857M,0.00,,,-1.846M,,-1.207M,,-1.207M,,-140.83M,-140.83M,0.893M,0.084M,-141.06M,,778.42M,35.77M,814.20M,,,,-1.207M,-140.83M,40.17M,12.07M,,AOR,Restated
2013-06,50.69M,,,-609.87M,3.076M,3.076M,,-2.975M,10.59M,-0.628M,550.41M,-0.38M,-96.69M,93.56M,,,-11.54M,-15.05M,-12.42M,,-4.633M,0.141M,-4.492M,0.00,,,-2.701M,,-1.093M,,-1.093M,,-294.98M,-294.98M,1.259M,0.628M,-294.18M,,1.088B,-309.31M,778.42M,,,,-1.093M,-294.98M,11.80M,0.215M,,AOR,Restated
2013-03,35.04M,,,-450.32M,2.772M,2.772M,,-1.012M,8.063M,-23.10M,503.04M,-5.215M,-159.85M,13.16M,,,-0.666M,-152.57M,-78.09M,,-3.455M,0.116M,-3.339M,-11.00M,,,-14.01M,,-2.188M,,-2.188M,,0.00,0.00,5.412M,23.10M,26.32M,,1.154B,-65.78M,1.088B,,,,-2.188M,0.00,3.242M,12.39M,,AOR,Restated
2012-12,60.63M,,,-606.45M,2.278M,2.278M,,-1.76M,14.70M,-8.632M,546.88M,1.447M,64.76M,-26.67M,,,25.75M,65.29M,85.93M,,-1.998M,-0.034M,-2.032M,-14.26M,,,-17.34M,,-18.40M,,-18.40M,,-7.153M,-7.153M,24.36M,7.56M,6.368M,,1.079B,74.96M,1.154B,,,4.629M,-23.03M,-7.153M,23.55M,0.336M,,AOR,Restated
2012-09,53.00M,,,-554.77M,2.092M,2.092M,,0.917M,16.96M,-0.978M,575.41M,-0.26M,1.82M,28.05M,,,-18.46M,11.15M,106.06M,,-4.368M,0.09M,-4.278M,0.00,,,-2.953M,,598.68M,,598.68M,,-220.13M,-220.13M,6.671M,-3.046M,382.18M,,593.26M,485.28M,1.079B,,,600.05M,-1.366M,-220.13M,21.01M,0.118M,,AOR,Restated
2012-06,46.84M,,,-506.44M,1.925M,1.925M,,-0.123M,16.73M,-3.833M,471.66M,-3.793M,-64.69M,38.53M,,,-15.41M,-45.36M,-18.45M,,-3.104M,0.108M,-2.996M,-1.00M,,,-2.024M,,-1.437M,,-1.437M,,0.00,0.00,36.18M,3.833M,38.58M,,575.16M,18.10M,593.26M,,,0.236M,-1.673M,0.00,15.42M,0.269M,,AOR,Restated
2012-03,20.12M,,,-395.45M,1.805M,1.805M,,-1.037M,16.44M,-0.876M,523.37M,0.788M,-99.64M,32.02M,,,-7.361M,-74.19M,90.84M,,-2.895M,0.155M,-2.74M,0.00,,,-0.291M,,-3.061M,,-3.061M,,,,6.003M,0.876M,3.818M,,480.79M,94.36M,575.16M,,,0.206M,-3.267M,,-0.376M,0.318M,,AOR,Restated
2011-12,32.39M,25.89M,-1.995M,-3.056B,1.724M,1.724M,,4.445M,16.51M,-1.563M,2.986B,0.374M,48.89M,-43.98M,33.58M,,-42.38M,-3.518M,6.044M,,-2.77M,0.124M,-2.646M,,61.60M,-9.505M,-1.498M,,-0.755M,,-0.755M,,-22.67M,-22.67M,0.992M,1.563M,-20.87M,,497.12M,-16.33M,480.79M,,,1.111M,-1.866M,-22.67M,27.03M,0.421M,,AOR,Restated
2011-09,97.03M,-25.89M,1.995M,1.285B,1.712M,1.712M,,2.727M,16.26M,0.119M,-1.349B,0.578M,-44.86M,11.90M,-33.58M,,32.48M,-33.48M,20.64M,,-1.196M,0.094M,-1.102M,,0.00,2.162M,1.06M,,-90.53M,,-90.53M,,-365.74M,-365.74M,1.415M,-0.119M,-454.98M,,930.40M,-433.27M,497.12M,,,1.511M,-92.04M,-365.74M,8.70M,0.523M,,AOR,Restated
2011-06,,,,-9.735M,1.638M,1.638M,,2.721M,16.12M,-3.58M,-21.60M,-0.588M,-42.14M,56.14M,,,-15.17M,-1.757M,-16.19M,,-6.466M,0.137M,-6.329M,,-61.60M,2.963M,-64.97M,,13.23M,,13.23M,,-237.48M,-237.48M,11.92M,3.58M,-208.74M,,1.220B,-289.90M,930.40M,,,1.463M,11.77M,-237.48M,3.398M,0.543M,,AOR,Restated
2011-03,,,,-9.13M,1.598M,1.598M,,1.348M,15.58M,-17.81M,105.06M,0.101M,-61.42M,-27.04M,,,-17.32M,-105.67M,-9.033M,,-1.012M,0.17M,-0.842M,,,4.38M,3.538M,,-15.03M,,-15.03M,,-63.41M,-63.41M,92.67M,17.81M,32.04M,,1.194B,26.54M,1.220B,,,1.264M,-16.30M,-63.41M,10.64M,0.513M,,AOR,Restated
2010-12,58.70M,,,-3.602B,1.715M,1.715M,13.56M,4.915M,12.39M,-1.899M,3.565B,3.431M,131.50M,-32.44M,,,-14.70M,87.79M,140.99M,,-2.635M,0.149M,-2.486M,,27.00M,,23.71M,,-9.399M,,-9.399M,,-39.79M,-39.79M,20.50M,1.899M,-26.79M,,1.056B,137.91M,1.194B,,,-5.232M,-4.167M,-39.79M,23.24M,0.651M,,AOR,Restated
2010-09,147.31M,,0.00,1.647B,1.82M,1.82M,,0.298M,19.92M,-3.097M,-1.676B,4.27M,-138.30M,-1.967M,,,-19.91M,-155.91M,-19.29M,,-1.387M,0.241M,-1.146M,,150.00M,,148.85M,,94.57M,-66.51M,28.06M,,-201.21M,-201.21M,5.456M,3.097M,-164.60M,,1.091B,-35.04M,1.056B,,,94.57M,0.00,-201.21M,7.714M,0.627M,,AOR,Restated
2010-06,-32.09M,,,-200.31M,1.847M,1.847M,31.91M,0.973M,15.15M,-58.56M,161.12M,-6.418M,79.21M,67.75M,,,-8.732M,131.81M,51.86M,,-2.04M,0.15M,-1.89M,,-51.00M,,-52.89M,,-177.21M,66.51M,-110.70M,,-176.08M,-176.08M,9.751M,26.65M,-250.38M,,1.342B,-251.41M,1.091B,,,-43.84M,-133.37M,-176.08M,1.024M,3.94M,,AOR,Restated
2010-03,32.09M,,0.00,0.00,1.881M,1.881M,-31.91M,-1.922M,5.678M,,-55.91M,0.249M,-81.19M,23.40M,,,-10.52M,-68.06M,-118.16M,,-0.881M,0.115M,-0.766M,,93.54M,,92.77M,,43.84M,,43.84M,,0.00,0.00,41.79M,31.91M,117.54M,,1.250B,92.14M,1.342B,,,43.84M,0.00,0.00,8.686M,0.587M,,AOR,Restated
2009-12,60.64M,-11.96M,,-1.356B,2.017M,2.017M,,,11.45M,-7.792M,1.360B,1.129M,60.12M,-5.705M,-17.51M,,,38.03M,123.71M,,-1.498M,0.209M,-1.289M,,61.87M,,60.58M,,0.00,-63.39M,-63.39M,,0.00,0.00,5.79M,7.792M,-49.81M,,1.116B,134.48M,1.250B,,,-30.83M,-32.56M,0.00,-33.58M,-6.017M,,AOR,Restated
2009-09,72.13M,-17.66M,,1.439B,2.719M,2.719M,,,11.45M,-12.21M,-1.412B,0.023M,-18.27M,56.70M,0.828M,,,39.28M,140.33M,,-0.921M,0.135M,-0.786M,,376.96M,,376.17M,,-2.00M,-21.51M,-23.51M,,0.00,0.00,27.20M,12.21M,15.90M,,583.27M,532.40M,1.116B,,,-21.51M,-2.00M,0.00,-0.719M,0.755M,,AOR,Restated
2009-06,41.43M,-17.34M,,-24.46M,2.396M,2.396M,,,11.63M,-6.494M,-5.331M,-0.653M,-90.04M,49.75M,-1.851M,,,-42.80M,-23.62M,,-0.258M,0.206M,-0.052M,,50.00M,,49.95M,,-27.95M,21.55M,-6.40M,,0.00,0.00,14.08M,6.494M,14.17M,,542.77M,40.50M,583.27M,,,21.55M,-27.95M,0.00,-0.722M,4.551M,,AOR,Restated
2009-03,17.99M,,,-28.84M,2.581M,2.581M,,,11.77M,-39.95M,18.94M,3.183M,30.04M,-18.16M,3.688M,,,18.75M,1.227M,,-0.367M,0.412M,0.045M,,-708.36M,,-708.32M,,,30.79M,30.79M,,,,31.47M,39.95M,102.22M,,1.148B,-604.87M,542.77M,,,30.79M,,,35.02M,0.711M,,AOR,Restated
2008-12,-30.46M,32.24M,,43.52M,2.929M,2.929M,,-43.56M,11.49M,-12.31M,145.35M,-1.715M,210.45M,-103.10M,,,-10.81M,94.85M,246.80M,,-1.819M,,-0.418M,,0.00,-1.188M,-1.606M,,-36.40M,-46.34M,-82.75M,,,,7.97M,12.31M,-62.59M,,965.04M,182.60M,1.148B,,,-7.129M,-75.62M,,9.099M,5.719M,,AOR,Restated
2008-09,36.55M,-7.067M,,18.38M,3.249M,3.249M,,42.84M,11.28M,-4.743M,49.38M,5.836M,14.62M,-16.16M,,,2.755M,7.052M,114.61M,,-1.33M,,-1.33M,,0.00,0.423M,-0.907M,,0.00,-25.49M,-25.49M,,,,3.944M,4.743M,-16.80M,,868.14M,96.90M,965.04M,,,-25.49M,0.00,,24.24M,0.723M,,,Restated
2008-06,51.33M,-10.80M,,-487.08M,3.626M,3.626M,,5.818M,12.10M,-15.00M,460.34M,-8.28M,5.44M,-4.556M,,,-0.17M,-7.566M,25.91M,,-1.786M,,-1.786M,,0.00,0.316M,-1.47M,,15.28M,32.62M,47.90M,,,,13.14M,15.00M,76.04M,,767.66M,100.48M,868.14M,,,32.62M,0.00,,30.05M,5.338M,,,Restated
2008-03,43.47M,-14.37M,,459.83M,3.837M,3.837M,,6.592M,6.333M,-18.18M,-462.68M,3.143M,57.78M,-33.30M,,,8.229M,35.85M,75.04M,,-1.964M,,-1.964M,,0.00,0.449M,-1.515M,,-15.28M,,-15.28M,,,,27.02M,18.18M,29.92M,,664.21M,103.45M,767.66M,,,,,,1.733M,0.876M,,,Restated
2007-12,67.27M,,,161.15M,4.14M,4.14M,,,,,-189.84M,6.384M,290.54M,-98.63M,,13.44M,-40.12M,171.62M,377.90M,,-3.557M,,-2.327M,,,-1.542M,-3.869M,,,,-28.25M,-66.90M,-0.169M,-67.07M,,0.724M,-27.01M,,317.19M,347.02M,664.21M,,-66.90M,,,-0.169M,,,,,Restated
2007-09,91.11M,,,-75.00M,4.264M,4.264M,,,,,156.50M,-3.591M,-92.84M,-6.309M,,-13.44M,5.304M,-110.87M,66.00M,,-2.91M,,-2.91M,,,0.283M,-2.627M,,,,-24.54M,0.475M,-297.86M,-297.38M,,1.663M,-320.26M,,574.08M,-256.89M,317.19M,,0.475M,,,-297.86M,,,,,
2007-06,90.75M,,,-75.56M,4.295M,4.295M,,,,,42.94M,-1.94M,-84.20M,48.36M,,21.38M,-3.712M,-20.11M,42.30M,,-2.481M,,-2.481M,,,0.461M,-2.02M,,,,57.00M,16.58M,-123.26M,-106.68M,,26.24M,-23.44M,,557.24M,16.84M,574.08M,,16.58M,,,-123.26M,,,,,
2007-03,84.82M,,,61.64M,4.337M,4.337M,,,,,-13.85M,1.877M,-68.74M,17.23M,,-21.38M,6.635M,-64.38M,72.56M,,-1.597M,,-1.597M,,,0.798M,-0.799M,,,,-74.55M,49.84M,-86.35M,-36.51M,,40.42M,-70.64M,,556.12M,1.123M,557.24M,,49.84M,,,-86.35M,,,,,
2006-12,135.17M,,,-62.74M,4.069M,4.069M,,,,,122.39M,3.821M,277.52M,-68.42M,20.68M,-20.51M,93.11M,306.21M,430.56M,,-7.391M,,-6.558M,,,-0.56M,-7.118M,,,,-14.57M,3.875M,-108.41M,-104.53M,,13.17M,-105.93M,,238.60M,317.51M,556.12M,,3.875M,,,-108.41M,,,,,
2006-09,129.33M,,,-3.397M,3.767M,3.767M,,,,,100.70M,2.693M,6.89M,-115.21M,-29.60M,26.27M,4.135M,-104.83M,125.57M,,-6.088M,,-6.088M,,,0.22M,-5.868M,,,,-0.185M,1.944M,-62.47M,-60.52M,,3.647M,-57.06M,,175.97M,62.64M,238.60M,,1.944M,,,-62.47M,,,,,
2006-06,190.35M,,,-21.28M,3.311M,3.311M,,,,,-78.01M,-7.472M,4.281M,96.80M,,10.74M,-19.51M,84.84M,179.21M,,-5.105M,,-5.105M,,,0.252M,-4.853M,,,,-125.27M,3.697M,0.00,3.697M,,18.67M,-102.90M,,104.51M,71.46M,175.97M,,3.697M,,,0.00,,,,,
2006-03,132.56M,,,14.72M,3.011M,3.011M,,,,,-9.104M,28.97M,-228.34M,48.32M,,-37.01M,-5.512M,-193.57M,-52.38M,,-4.847M,,-4.847M,,,0.088M,-4.759M,,,,33.51M,10.94M,-120.82M,-109.88M,,60.49M,-15.88M,,177.53M,-73.02M,104.51M,,10.94M,,,-120.82M,,,,,
2005-12,222.54M,,,-50.72M,3.272M,3.272M,,,,,-11.16M,-21.69M,122.61M,45.51M,-56.00M,2.781M,12.44M,105.64M,245.20M,,-8.598M,4.038M,-4.56M,0.00,,-3.647M,-8.207M,,,,146.09M,0.75M,-452.08M,-451.33M,,,-305.23M,,245.77M,-68.24M,177.53M,,0.75M,,,-452.08M,,,,,
2005-09,189.44M,,,10.02M,2.621M,2.621M,,,,,8.267M,17.43M,-107.19M,14.54M,-39.28M,27.00M,-12.44M,-99.94M,110.40M,,-2.217M,-3.58M,-5.797M,0.00,,3.647M,-2.15M,,,,-14.19M,1.836M,-115.22M,-113.38M,,,-127.57M,,265.08M,-19.31M,245.77M,,1.836M,,,-115.22M,,,,,
2005-06,167.65M,,,-39.94M,2.391M,2.391M,,,,,-2.403M,-19.85M,-117.01M,185.11M,-100.28M,15.13M,39.39M,2.49M,130.19M,,-5.689M,3.58M,-2.109M,0.00,,-0.141M,-2.25M,,,,28.88M,1.474M,-146.91M,-145.44M,,,-116.56M,,253.70M,11.38M,265.08M,,1.474M,,,-146.91M,,,,,
2005-03,117.93M,,,24.60M,2.406M,2.406M,,,,,-6.683M,-2.463M,-100.03M,92.73M,,-42.13M,-39.39M,-91.28M,46.98M,,-2.166M,,-2.166M,-7.465M,,0.141M,-9.49M,,,,88.56M,8.697M,-248.41M,-239.71M,,,-151.15M,,367.36M,-113.67M,253.70M,,8.697M,,,-248.41M,,,,,
