,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,431.55M,,431.55M,30.18M,,30.18M,21.42M,,1.412B,,1.434B,25.80M,,1.921B,,,,7.018M,,7.018M,,7.018M,,,,,,,678.57M,1.088B,3.009B,,325.97M,325.97M,306.45M,632.42M,,,,,,632.42M,597.37M,,597.37M,172.03M,172.03M,,769.41M,1.402B,,0.206M,6.603B,1.722B,6.718B,1.608B,,AOR,Restated
2018-03,425.57M,,425.57M,22.37M,,22.37M,16.40M,,1.328B,,1.344B,24.00M,,1.816B,,,,6.237M,,6.237M,,6.237M,,,,,,,620.28M,1.030B,2.846B,,299.65M,299.65M,314.90M,614.55M,,,,,,614.55M,597.22M,,597.22M,167.49M,167.49M,,764.71M,1.379B,,0.206M,6.400B,1.678B,6.612B,1.467B,,AOR,Restated
2017-12,666.79M,,666.79M,20.03M,,20.03M,17.27M,,1.229B,,1.246B,21.69M,,1.955B,,,14.07M,,,14.07M,-7.742M,6.327M,,,,,,111.95M,502.67M,1.035B,2.989B,,294.80M,294.80M,341.89M,636.69M,,,,,,636.69M,597.07M,,597.07M,150.03M,150.03M,,747.10M,1.384B,,0.206M,6.232B,1.644B,6.271B,1.605B,,AOR,Restated
2017-09,626.88M,,626.88M,20.45M,,20.45M,11.82M,,1.365B,,1.377B,15.87M,,2.040B,,,,6.308M,,6.308M,,6.308M,,,1.563M,1.222M,,,591.69M,1.010B,3.050B,,300.85M,301.70M,337.93M,639.64M,,,,,,639.64M,596.91M,,596.91M,162.28M,162.28M,,759.20M,1.399B,,0.206M,6.107B,1.626B,6.083B,1.651B,,AOR,Restated
2017-06,528.11M,,528.11M,22.11M,,22.11M,16.02M,,1.349B,,1.365B,18.86M,,1.934B,,,,5.53M,,5.53M,,5.53M,,,1.908M,1.243M,,,572.97M,984.05M,2.918B,,301.82M,302.70M,317.17M,619.87M,,,,,,619.87M,596.76M,,596.76M,165.68M,165.68M,,762.44M,1.382B,,0.206M,5.945B,1.608B,6.018B,1.536B,,AOR,Restated
2017-03,492.55M,,492.55M,19.88M,,19.88M,13.75M,,1.219B,,1.232B,16.98M,,1.762B,,,,5.434M,,5.434M,,5.434M,,,2.254M,1.248M,,,556.70M,980.46M,2.742B,,270.35M,271.23M,317.83M,589.06M,,,,,,589.06M,596.61M,,596.61M,148.35M,148.35M,,744.96M,1.334B,,0.206M,5.797B,1.570B,5.960B,1.408B,,AOR,Restated
2016-12,395.40M,,395.40M,18.94M,,18.94M,16.17M,,1.076B,,1.092B,19.42M,,1.526B,,,11.38M,,,11.38M,-6.476M,4.903M,,,,,,170.65M,516.77M,1.118B,2.644B,,283.61M,283.61M,337.20M,620.81M,,,,,,620.81M,596.46M,,596.46M,122.24M,122.24M,,718.69M,1.340B,,0.206M,5.695B,1.516B,5.907B,1.304B,,AOR,Restated
2016-09,261.22M,,261.22M,13.92M,,13.92M,11.86M,,1.305B,,1.317B,,,1.592B,,,,5.085M,,5.085M,,5.085M,,,2.945M,1.247M,,,639.25M,1.071B,2.663B,,312.26M,313.14M,309.94M,623.08M,,,,,,623.08M,596.30M,,596.30M,144.70M,144.70M,,741.00M,1.364B,,0.206M,5.544B,1.500B,5.745B,1.299B,,AOR,Restated
2016-06,363.20M,,363.20M,17.46M,,17.46M,15.32M,,1.232B,,1.248B,,,1.628B,,,,5.079M,,5.079M,,5.079M,,,3.291M,1.311M,,,639.32M,1.070B,2.698B,,307.37M,308.32M,294.60M,602.93M,,,,,,602.93M,596.15M,,596.15M,141.75M,141.75M,,737.90M,1.341B,,0.206M,5.427B,1.483B,5.553B,1.358B,,AOR,Restated
2016-03,317.99M,,317.99M,13.83M,,13.83M,13.01M,,1.248B,,1.261B,,,1.593B,,,,5.093M,,5.093M,,5.093M,,,3.636M,1.731M,,,546.36M,948.70M,2.542B,,263.36M,264.59M,298.04M,562.64M,,,,,,562.64M,596.00M,,596.00M,126.55M,126.55M,,722.55M,1.285B,,0.206M,5.335B,1.467B,5.546B,1.256B,,AOR,Restated
2015-12,424.33M,,424.33M,11.48M,,11.48M,12.10M,,994.42M,,1.007B,25.48M,,1.468B,,,10.63M,,,10.63M,-5.316M,5.313M,,,3.982M,1.749M,,161.80M,483.11M,1.044B,2.512B,,259.73M,260.82M,304.92M,565.74M,,,,,,565.74M,595.85M,,595.85M,110.96M,110.96M,,706.81M,1.273B,,0.206M,5.270B,1.448B,5.479B,1.239B,,AOR,Restated
2015-09,386.29M,,386.29M,9.85M,,9.85M,9.73M,,1.152B,,1.161B,,,1.558B,,,,5.502M,,5.502M,,5.502M,,,4.327M,1.799M,,,637.96M,1.013B,2.571B,,295.67M,297.29M,301.59M,598.88M,,,,,,598.88M,599.24M,,599.24M,132.07M,132.07M,,731.31M,1.330B,,0.206M,5.136B,1.420B,5.316B,1.240B,,AOR,Restated
2015-06,495.73M,,495.73M,15.99M,,15.99M,11.08M,,1.074B,,1.085B,,,1.597B,,,,5.675M,,5.675M,,5.675M,,,4.673M,2.902M,,,639.26M,999.43M,2.596B,,282.55M,284.20M,299.55M,583.76M,,,,,,583.76M,599.21M,,599.21M,138.38M,138.38M,,737.60M,1.321B,,0.206M,5.020B,1.390B,5.135B,1.275B,,AOR,Restated
2015-03,530.97M,,530.97M,10.02M,,10.02M,11.05M,,943.53M,,954.58M,,,1.496B,,,,5.957M,,5.957M,,5.957M,,,5.019M,3.545M,,,524.58M,880.56M,2.376B,,218.05M,219.62M,266.12M,485.74M,,,,,,485.74M,599.19M,,599.19M,125.96M,125.96M,,725.15M,1.211B,,0.206M,4.926B,1.371B,5.132B,1.165B,,AOR,Restated
2014-12,544.94M,,544.94M,10.02M,,10.02M,12.90M,,856.58M,,869.49M,,,1.424B,,,10.51M,,,10.51M,-4.319M,6.189M,,,5.364M,3.59M,,165.19M,405.64M,926.89M,2.351B,,230.42M,232.04M,289.06M,521.10M,,,,,,521.10M,599.23M,,599.23M,106.76M,106.76M,,705.98M,1.227B,,0.206M,4.887B,1.325B,5.089B,1.124B,,AOR,Restated
2014-09,463.70M,,463.70M,11.46M,,11.46M,11.56M,,1.002B,,1.014B,,,1.489B,,,,6.459M,,6.459M,,6.459M,,,5.71M,6.232M,,,575.84M,924.18M,2.413B,,250.44M,252.76M,289.70M,542.46M,,,,,,542.46M,599.80M,,599.80M,119.42M,119.42M,,719.23M,1.262B,,0.206M,4.788B,1.300B,4.936B,1.151B,,AOR,Restated
2014-06,551.86M,,551.86M,15.20M,,15.20M,10.59M,,941.91M,,952.50M,,,1.520B,,,,6.433M,,6.433M,,6.433M,,,6.055M,6.802M,,,545.15M,862.50M,2.382B,,255.83M,258.10M,296.04M,554.15M,,,,,,554.15M,600.38M,,600.38M,128.32M,128.32M,,728.70M,1.283B,,0.206M,4.698B,1.278B,4.876B,1.099B,,AOR,Restated
2014-03,878.54M,,878.54M,10.06M,,10.06M,10.36M,,831.64M,,842.00M,,,1.731B,,,,4.999M,,4.999M,,4.999M,,,6.401M,6.588M,,,495.65M,794.16M,2.525B,,204.76M,206.44M,271.88M,478.32M,,,,,,478.32M,601.25M,,601.25M,119.10M,119.10M,,720.35M,1.199B,,0.206M,4.629B,1.259B,4.563B,1.326B,,AOR,Restated
2013-12,865.58M,,865.58M,9.529M,,9.529M,10.94M,,727.63M,,738.56M,,,1.614B,,,8.118M,,,8.118M,-3.419M,4.699M,,,6.747M,7.268M,,162.38M,421.89M,872.47M,2.486B,,203.46M,205.11M,316.23M,521.33M,,,,,,521.33M,602.44M,,602.44M,101.02M,101.02M,,703.46M,1.225B,,0.206M,4.606B,1.212B,4.556B,1.261B,,AOR,Restated
2013-09,811.59M,,811.59M,13.14M,,13.14M,10.35M,,906.72M,,917.07M,,,1.742B,,,,4.165M,,4.165M,,4.165M,,,7.52M,9.808M,,,505.46M,777.10M,2.519B,,248.74M,251.21M,270.75M,521.96M,,,,,,521.96M,599.61M,,599.61M,122.23M,122.23M,,721.84M,1.244B,,0.206M,4.508B,1.209B,4.442B,1.275B,,AOR,Restated
2013-06,777.26M,,777.26M,14.82M,,14.82M,13.83M,,926.45M,,940.28M,,,1.732B,,,,3.593M,,3.593M,,3.593M,,,8.294M,10.21M,,,539.87M,798.80M,2.531B,,222.22M,224.52M,247.96M,472.49M,,,,,,472.49M,600.64M,,600.64M,137.76M,137.76M,,738.40M,1.211B,,0.206M,4.425B,1.196B,4.301B,1.320B,,AOR,Restated
2013-03,1.087B,,1.087B,14.54M,,14.54M,12.18M,,829.67M,,841.85M,,,1.944B,,,,2.833M,,2.833M,,2.833M,,,8.819M,11.44M,,,477.44M,721.48M,2.665B,,191.37M,193.55M,193.00M,386.55M,,,,,,386.55M,601.55M,,601.55M,124.86M,124.86M,,726.41M,1.113B,,0.206M,4.374B,1.185B,4.007B,1.552B,,AOR,Restated
2012-12,1.153B,,1.153B,9.421M,,9.421M,12.36M,,665.77M,,678.13M,,,1.840B,,,5.856M,,,5.856M,-3.391M,2.465M,,,9.219M,15.63M,,145.62M,373.21M,764.69M,2.605B,,184.13M,186.31M,234.80M,421.12M,,,,,,421.12M,603.56M,,603.56M,99.69M,99.69M,,703.25M,1.124B,,0.206M,4.339B,1.170B,4.029B,1.480B,,AOR,Restated
2012-09,1.078B,,1.078B,9.973M,128.45M,138.42M,8.563M,71.10M,620.51M,,700.18M,,,1.916B,,,,,,,,29.31M,,,,16.21M,,,519.06M,564.58M,2.481B,,178.54M,178.54M,226.75M,405.29M,,,,,,405.29M,599.83M,,599.83M,94.94M,94.94M,1.356M,696.13M,1.101B,,0.206M,4.278B,1.134B,4.034B,1.379B,,AOR,Restated
2012-06,592.65M,150.38M,743.03M,,,9.612M,9.881M,70.99M,620.29M,,701.16M,,,1.454B,,,,,,,,27.06M,48.93M,,48.93M,16.65M,,,444.52M,537.16M,1.991B,,185.71M,185.71M,190.38M,376.09M,,,,,,376.09M,2.793M,,2.793M,90.26M,90.26M,,93.05M,469.14M,,0.206M,4.225B,1.113B,3.817B,1.522B,,AOR,Restated
2012-03,574.38M,113.72M,688.11M,,,6.028M,8.516M,70.22M,557.00M,,635.75M,,,1.330B,,,,,,,,25.97M,48.93M,,48.93M,17.55M,,,428.59M,521.03M,1.851B,,163.80M,163.80M,186.02M,349.82M,,,,,,349.82M,3.476M,,3.476M,79.37M,79.37M,,82.85M,432.67M,,0.206M,4.179B,1.074B,3.835B,1.418B,,AOR,Restated
2011-12,480.33M,,480.33M,6.789M,,6.789M,8.694M,,524.46M,,533.15M,,,1.020B,,,4.833M,,,4.833M,-3.139M,1.694M,0.00,,0.00,20.18M,,155.88M,426.28M,759.21M,1.779B,,152.04M,153.06M,185.42M,338.48M,,,,,,338.48M,4.983M,,4.983M,61.22M,61.22M,,66.21M,404.69M,,0.206M,4.158B,1.073B,3.857B,1.375B,,AOR,Restated
2011-09,496.45M,,496.45M,7.281M,192.20M,199.48M,6.621M,91.39M,483.20M,,581.21M,,,1.277B,,,,,,,,24.05M,,,,21.80M,,,476.62M,522.47M,1.800B,,175.26M,175.26M,203.30M,378.55M,0.00,,0.00,0.00,,378.55M,7.351M,,7.351M,66.64M,66.64M,1.052M,75.04M,453.60M,,0.206M,4.126B,1.054B,3.835B,1.346B,,AOR,Restated
2011-06,929.44M,181.52M,1.111B,,,7.871M,8.142M,78.47M,448.57M,,535.18M,,,1.654B,,,,,,,,24.61M,48.93M,,48.93M,23.02M,,,425.10M,521.66M,2.176B,,173.55M,173.55M,184.62M,358.16M,89.65M,,89.65M,89.65M,,447.81M,9.473M,,9.473M,,,67.59M,77.07M,524.88M,,0.206M,4.083B,1.037B,3.469B,1.651B,,AOR,Restated
2011-03,1.220B,,1.220B,,,7.378M,5.901M,77.08M,409.27M,,492.24M,,,1.825B,,,,,,,,19.85M,,,,22.80M,,,407.62M,450.27M,2.276B,,136.38M,136.38M,172.61M,308.99M,75.35M,,75.35M,75.35M,,384.34M,9.301M,,9.301M,62.89M,62.89M,0.995M,73.19M,457.53M,,0.206M,4.044B,1.014B,3.240B,1.818B,,AOR,Restated
2010-12,1.193B,177.24M,1.371B,,,6.948M,7.457M,78.06M,345.81M,,431.33M,,,1.809B,0.00,,62.58M,,3.976M,66.56M,-46.09M,20.47M,48.93M,,48.93M,22.37M,,184.93M,174.45M,451.15M,2.260B,,128.75M,128.75M,237.05M,365.80M,90.34M,,90.34M,90.34M,,456.14M,9.843M,,9.843M,,,53.70M,63.55M,519.69M,,0.206M,4.029B,951.23M,3.240B,1.740B,,AOR,Restated
2010-09,1.055B,25.00M,1.080B,,,10.71M,5.441M,72.86M,484.02M,,562.31M,,,1.824B,,,,,,,,19.60M,48.93M,,48.93M,,,,357.19M,425.72M,2.250B,,168.09M,168.09M,215.51M,383.60M,99.24M,,99.24M,99.24M,,482.84M,9.839M,,9.839M,70.46M,70.46M,,80.30M,563.14M,,0.206M,3.970B,937.62M,3.222B,1.687B,,AOR,Restated
2010-06,1.091B,419.31M,1.510B,,,15.01M,7.253M,17.00M,396.45M,,420.70M,,,1.946B,,,,,,,,19.90M,48.93M,,48.93M,22.98M,,,321.72M,413.53M,2.359B,,186.32M,186.32M,207.28M,393.60M,79.02M,,79.02M,79.02M,,472.63M,1.999M,,1.999M,,,69.34M,71.34M,543.97M,,0.206M,3.926B,914.58M,3.026B,1.815B,,AOR,Restated
2010-03,1.342B,208.38M,1.551B,,,8.091M,6.001M,,493.91M,,499.91M,,,2.059B,,,,,,,,19.80M,48.93M,,48.93M,23.83M,,,325.16M,417.72M,2.476B,,159.50M,159.50M,184.19M,343.69M,56.25M,2.10M,58.35M,58.35M,72.26M,474.30M,133.37M,,133.37M,,,,133.37M,607.67M,,0.206M,3.855B,870.41M,2.857B,1.869B,,AOR,Restated
2009-12,1.250B,259.63M,1.510B,,,7.995M,7.522M,0.00,411.20M,,418.72M,,,1.936B,0.00,,63.84M,,3.976M,67.82M,-47.16M,20.66M,48.93M,,48.93M,70.43M,,200.34M,118.92M,459.28M,2.396B,,139.77M,139.77M,221.35M,361.12M,12.34M,,12.34M,12.34M,,373.47M,201.45M,,201.45M,,,63.59M,265.04M,638.51M,,0.206M,3.823B,830.53M,2.897B,1.757B,,AOR,Restated
2009-09,1.116B,369.50M,1.485B,,,9.015M,4.365M,,474.47M,,478.84M,,,1.973B,,,,,,,,21.17M,48.93M,,48.93M,,,,331.66M,401.75M,2.375B,,174.10M,174.10M,198.11M,372.21M,75.61M,2.294M,77.90M,77.90M,119.72M,569.82M,133.37M,,133.37M,,,,133.37M,703.19M,,0.206M,3.762B,810.13M,2.901B,1.672B,,AOR,Restated
2009-06,583.27M,781.54M,1.365B,,,9.227M,5.763M,,454.81M,,460.57M,,,1.835B,,,,,,,,22.25M,48.93M,,48.93M,,,,331.31M,402.48M,2.237B,,159.60M,159.60M,163.25M,322.85M,97.02M,,97.02M,97.02M,,419.88M,137.76M,,137.76M,,,130.85M,268.61M,688.48M,,0.206M,3.690B,784.08M,2.926B,1.549B,,AOR,Restated
2009-03,542.77M,708.36M,1.251B,9.251M,,9.251M,4.594M,,365.94M,,370.53M,,,1.631B,,,,,,,,24.21M,48.93M,,48.93M,,100.54M,,326.56M,500.24M,2.131B,,134.24M,134.24M,158.36M,292.60M,75.38M,,75.38M,75.38M,,367.98M,165.80M,,165.80M,,,122.40M,288.20M,656.18M,,0.206M,3.649B,766.78M,2.941B,1.475B,,AOR,Restated
2008-12,1.148B,72.49M,1.220B,,,11.59M,7.693M,,392.88M,,400.57M,,,1.632B,0.00,,69.68M,,3.976M,73.66M,-47.24M,26.42M,48.93M,,48.93M,,,223.39M,172.20M,470.94M,2.103B,,155.13M,155.13M,194.87M,350.00M,44.54M,,44.54M,44.54M,169.06M,563.60M,165.85M,,165.85M,,,,165.85M,729.45M,,0.206M,3.631B,722.26M,2.980B,1.374B,,AOR,Restated
2008-09,965.04M,,965.04M,10.44M,,10.44M,,,,,611.02M,,,1.587B,,,,,,73.34M,-45.61M,27.74M,11.69M,0.021M,11.71M,,,,682.20M,721.65M,2.308B,,195.26M,195.26M,235.56M,430.82M,90.78M,,90.78M,90.78M,,521.61M,202.63M,,202.63M,,,211.44M,414.07M,935.68M,,0.206M,3.661B,706.56M,2.996B,1.372B,,,Restated
2008-06,868.14M,,868.14M,16.19M,,16.19M,,,,,625.64M,,,1.510B,,,,,,75.70M,-45.61M,30.10M,11.69M,0.042M,11.73M,,,,762.06M,803.89M,2.314B,,203.31M,203.31M,232.62M,435.94M,116.20M,,116.20M,116.20M,243.06M,795.20M,202.70M,,202.70M,,,,202.70M,997.90M,,0.206M,3.625B,692.15M,3.001B,1.316B,,,Restated
2008-03,767.66M,,767.66M,8.622M,,8.622M,,,,,631.08M,,,1.407B,,,,,,77.58M,-45.61M,31.97M,11.69M,0.062M,11.75M,,,,758.50M,802.22M,2.210B,,192.74M,192.74M,254.14M,446.88M,68.23M,,68.23M,68.23M,,515.11M,202.77M,,202.77M,,,267.32M,470.09M,985.20M,,0.206M,3.573B,687.91M,3.037B,1.224B,,,Restated
2007-12,664.21M,,664.21M,,,10.86M,9.121M,,679.73M,,688.85M,,,1.364B,0.00,,75.39M,,4.005M,79.40M,-45.61M,33.79M,48.93M,11.78M,60.71M,,107.34M,211.81M,416.85M,830.50M,2.194B,,237.60M,237.60M,251.48M,489.07M,83.46M,,83.46M,83.46M,289.68M,862.22M,202.82M,,202.82M,,,,202.82M,1.065B,,0.206M,3.530B,663.63M,3.064B,1.129B,,,Restated
2007-09,317.19M,,317.19M,17.67M,,17.67M,,,,,979.40M,,,1.314B,,,,,,73.98M,-38.46M,35.52M,11.69M,0.13M,11.82M,,,,885.08M,932.42M,2.247B,,281.72M,281.72M,217.93M,499.65M,111.65M,,111.65M,111.65M,380.41M,991.71M,202.89M,,202.89M,,,,202.89M,1.195B,,0.206M,3.463B,654.00M,3.065B,1.052B,,,
2007-06,574.08M,,574.08M,13.47M,,13.47M,,,,,886.56M,,,1.474B,,,,,,75.25M,-38.46M,36.78M,11.69M,0.163M,11.85M,,,,980.53M,1.029B,2.503B,,286.51M,286.51M,200.27M,486.78M,136.12M,,136.12M,136.12M,397.80M,1.021B,202.95M,,202.95M,,,,202.95M,1.224B,,0.206M,3.372B,676.00M,2.768B,1.280B,,,
2007-03,557.24M,,557.24M,12.18M,,12.18M,,,,,802.36M,,,1.372B,,,,,,77.07M,-38.46M,38.61M,11.69M,49.15M,60.83M,,,,996.72M,1.096B,2.468B,,247.96M,247.96M,220.89M,468.85M,,,,,461.89M,930.74M,282.08M,,282.08M,,,,282.08M,1.213B,,0.206M,3.281B,640.44M,2.666B,1.255B,,,
2006-12,556.12M,,556.12M,12.21M,,12.21M,,,,,733.62M,,,1.302B,0.00,4.005M,57.62M,18.44M,,80.06M,-38.46M,41.60M,11.69M,0.25M,11.94M,,,169.90M,948.42M,1.172B,2.474B,,289.72M,289.72M,225.18M,514.90M,153.55M,,153.55M,153.55M,450.20M,1.119B,203.08M,,203.08M,,,,203.08M,1.322B,,0.206M,3.196B,585.44M,2.630B,1.152B,,,
2006-09,238.60M,,238.60M,16.76M,,16.76M,,,,,1.011B,,,1.267B,,,,,,67.90M,-29.65M,38.24M,11.69M,0.281M,11.97M,,,,1.156B,1.206B,2.473B,,292.33M,292.33M,262.07M,554.40M,168.06M,3.141M,171.20M,171.20M,460.63M,1.186B,200.00M,,200.00M,,,,200.00M,1.386B,,0.206M,3.061B,562.61M,2.537B,1.087B,,,
2006-06,175.97M,,175.97M,19.17M,,19.17M,8.722M,,,1.009B,1.018B,,,1.213B,,,,,,65.76M,-29.65M,36.10M,11.69M,0.312M,12.00M,,,,1.267B,1.315B,2.528B,,331.49M,331.49M,340.38M,671.87M,168.19M,,168.19M,168.19M,281.26M,1.121B,203.20M,,203.20M,,,203.11M,406.31M,1.528B,,0.206M,2.932B,546.71M,2.478B,1.000B,,,
2006-03,104.51M,,104.51M,12.57M,,12.57M,9.693M,,1.013B,,1.022B,,,1.139B,,,,,,63.76M,-29.65M,34.11M,11.69M,0.344M,12.03M,,,,1.162B,1.208B,2.348B,,299.08M,299.08M,271.55M,570.64M,78.39M,3.262M,81.65M,81.65M,506.52M,1.159B,415.00M,,415.00M,,,,415.00M,1.574B,,0.206M,2.741B,522.43M,2.490B,773.89M,,,
2005-12,177.53M,,177.53M,40.56M,,40.56M,,,,,793.98M,,,1.012B,0.00,4.005M,45.33M,14.80M,,64.13M,-32.03M,32.10M,11.69M,0.375M,12.06M,,,97.51M,1.084B,1.226B,2.238B,,287.99M,287.99M,276.70M,564.69M,259.82M,,259.82M,259.82M,532.68M,1.357B,203.32M,,203.32M,,,,203.32M,1.561B,,0.206M,2.609B,473.89M,2.406B,677.16M,,,
2005-09,245.77M,,245.77M,19.21M,,19.21M,,,,,916.58M,,,1.182B,,,,,,54.08M,-27.93M,26.16M,48.93M,10.98M,59.91M,,,,948.49M,1.035B,2.216B,,299.27M,299.27M,228.94M,528.21M,113.70M,,113.70M,113.70M,465.46M,1.107B,203.35M,,203.35M,,,,203.35M,1.311B,,0.206M,2.386B,474.61M,1.956B,905.40M,,,
2005-06,265.08M,,265.08M,36.35M,,36.35M,,,,,809.39M,,,1.111B,,,,,,54.41M,-27.93M,26.48M,48.93M,11.02M,59.94M,,,,917.37M,1.004B,2.115B,,253.88M,253.88M,264.16M,518.03M,127.77M,,127.77M,127.77M,448.95M,1.095B,203.46M,,203.46M,,,,203.46M,1.298B,,0.206M,2.197B,464.15M,1.845B,816.39M,,,
