,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,98.80M,,,,,,17.90M,17.90M,,6.50M,6.50M,,,,,,,-80.00M,-80.00M,,43.20M,-17.30M,,,52.20M,,34.90M,-117.30M,,-117.30M,,-33.10M,-33.10M,-31.00M,-31.00M,-1.40M,,-182.80M,346.60M,-104.70M,241.90M,,,,-117.30M,-33.10M
2017-12,22.70M,,,,,,18.20M,18.20M,,1.40M,1.40M,,,,,,,167.30M,52.10M,,176.20M,-27.80M,,0.00,-18.80M,,-46.60M,-39.30M,,-39.30M,,-35.80M,-35.80M,-24.10M,-24.10M,-4.00M,,-104.90M,321.90M,24.70M,346.60M,,,-125.80M,,-35.80M
2017-09,93.70M,,,,,,17.60M,17.60M,,1.30M,1.30M,,,,,,,-35.60M,-35.60M,,77.00M,-30.10M,,-43.10M,-2.10M,,-75.30M,74.50M,,74.50M,,-37.10M,-37.10M,-24.20M,-24.20M,0.40M,,13.60M,306.60M,15.30M,321.90M,,,74.50M,,-37.10M
2017-06,92.40M,,,,,,17.40M,17.40M,,1.30M,1.30M,,,,,,,-26.40M,-26.40M,,84.70M,-19.50M,,,1.20M,,-18.30M,5.60M,,5.60M,,-36.10M,-36.10M,-24.20M,-24.20M,1.50M,,-53.20M,293.40M,13.20M,306.60M,,,5.60M,,-36.10M
2017-03,87.70M,,,,,,16.90M,16.90M,,5.90M,5.90M,,,,,,,-122.00M,-122.00M,,-11.50M,-16.80M,,,-1.10M,,-17.90M,45.70M,,45.70M,,-30.10M,-30.10M,-24.40M,-24.40M,1.20M,,-7.60M,330.40M,-37.00M,293.40M,,,45.70M,,-30.10M
2016-12,82.70M,,,,,,16.40M,16.40M,,1.30M,1.30M,,,,,,,14.10M,82.60M,,183.00M,-22.00M,,-0.30M,-31.40M,,-53.70M,-12.40M,,-12.40M,,-35.00M,-35.00M,-21.00M,-21.00M,0.20M,,-68.20M,269.30M,61.10M,330.40M,,,-12.40M,,-35.00M
2016-09,83.20M,,,,,,16.60M,16.60M,,1.20M,1.20M,,,,,,,7.50M,7.50M,,108.50M,-21.00M,,-90.50M,-31.40M,,-142.90M,54.40M,,54.40M,,-18.00M,-18.00M,-21.00M,-21.00M,0.90M,,16.30M,287.40M,-18.10M,269.30M,,,54.40M,,-18.00M
2016-06,87.10M,,,,,,15.90M,15.90M,,1.80M,1.80M,,,,,,,23.80M,23.80M,,128.60M,-18.30M,,,-54.80M,,-73.10M,-5.30M,,-5.30M,,-51.70M,-51.70M,-21.00M,-21.00M,4.40M,,-73.60M,305.50M,-18.10M,287.40M,,,-5.30M,,-51.70M
2016-03,73.50M,,,,,,16.20M,16.20M,,5.10M,5.10M,,,,,,,-68.30M,-68.30M,,26.50M,-19.40M,,,-11.10M,,-30.50M,37.40M,,37.40M,,-30.50M,-30.50M,-21.20M,-21.20M,0.20M,,-14.10M,323.60M,-18.10M,305.50M,,,37.40M,,-30.50M
2015-12,79.80M,,0.00,0.00,,,15.70M,15.70M,,1.00M,1.00M,,,,,,,0.30M,17.10M,1.00M,114.60M,-19.60M,,,-5.00M,,-24.60M,-11.20M,,-11.20M,,-23.80M,-23.80M,-16.90M,-16.90M,2.60M,,-49.30M,282.90M,40.70M,323.60M,,,-33.60M,22.40M,-23.80M
2015-09,73.60M,,0.10M,-0.10M,,,15.70M,15.70M,,1.00M,1.00M,,,,,,,86.10M,86.10M,-0.40M,175.90M,-22.10M,,,-26.80M,,-48.90M,-17.90M,,-17.90M,,-57.00M,-57.00M,-16.90M,-16.90M,-0.40M,,-92.20M,248.10M,34.80M,282.90M,,,-2.70M,-15.20M,-57.00M
2015-06,71.10M,,0.00,0.10M,,,16.00M,16.00M,,1.10M,1.10M,,,,,,,-26.30M,-26.30M,-0.40M,61.60M,-16.10M,,,-13.70M,,-29.80M,-24.70M,,-24.70M,,-26.60M,-26.60M,-16.90M,-16.90M,0.40M,,-67.80M,284.10M,-36.00M,248.10M,,,-17.50M,-7.20M,-26.60M
2015-03,58.40M,,0.00,0.10M,,,15.60M,15.60M,,5.70M,5.70M,,,,,,,-80.00M,-80.00M,-0.20M,-0.40M,-14.90M,,,-67.90M,,-82.80M,81.90M,,81.90M,,-20.70M,-20.70M,-17.10M,-17.10M,3.80M,,47.90M,319.40M,-35.30M,284.10M,,,81.90M,,-20.70M
2014-12,53.20M,,8.80M,8.60M,,,15.40M,15.40M,,,,,,,,,,50.10M,12.50M,-0.30M,100.20M,-20.10M,,,-100.50M,,-120.60M,-30.10M,,-30.10M,,-17.20M,-17.20M,-13.40M,-13.40M,0.00,,-60.70M,400.50M,-81.10M,319.40M,,,-16.20M,,-17.20M
2014-09,50.60M,,6.60M,6.40M,,,14.80M,14.80M,,,,,,,,,,2.60M,2.60M,-0.40M,74.00M,-15.20M,,,-19.50M,,-34.70M,5.80M,,5.80M,,-25.80M,-25.80M,-13.60M,-13.60M,1.10M,,-32.50M,393.70M,6.80M,400.50M,,,5.80M,,-25.80M
2014-06,57.30M,,6.60M,6.60M,,,14.80M,14.80M,,,,,,,,,,-0.10M,-0.10M,-0.60M,78.00M,-25.50M,,,0.20M,,-25.30M,22.30M,,22.30M,,-39.50M,-39.50M,-13.60M,-13.60M,2.00M,,-28.80M,369.80M,23.90M,393.70M,,,22.30M,,-39.50M
2014-03,46.70M,,6.60M,7.00M,,,14.80M,14.80M,,,,,,,,,,-56.20M,-56.20M,-0.50M,11.80M,-25.30M,,,-0.10M,,-25.40M,36.20M,,36.20M,,-21.30M,-21.30M,-13.80M,-13.80M,1.60M,,2.70M,380.70M,-10.90M,369.80M,,,36.20M,,-21.30M
2013-12,42.40M,,7.00M,7.00M,,,17.50M,17.50M,,,,,,,,,,-5.50M,15.00M,-0.80M,91.60M,-32.00M,,0.00,-1.10M,,-33.10M,-35.00M,,-35.00M,,-7.20M,-7.20M,-11.00M,-11.00M,1.30M,,-51.90M,374.10M,6.60M,380.70M,,,,-35.00M,-7.20M
2013-09,46.20M,,6.90M,6.90M,,,14.20M,14.20M,,,,,,,,,,16.10M,16.10M,-0.40M,83.00M,-27.50M,,0.00,-3.80M,,-31.30M,17.90M,,17.90M,,-52.50M,-52.50M,-11.10M,-11.10M,2.00M,,-43.70M,366.10M,8.00M,374.10M,,,,17.90M,-52.50M
2013-06,42.10M,,7.10M,7.30M,,,13.90M,13.90M,,,,,,,,,,9.00M,9.00M,-0.60M,71.70M,-19.80M,,-0.40M,47.10M,,26.90M,-18.90M,,-18.90M,,-10.50M,-10.50M,-11.10M,-11.10M,1.10M,,-39.40M,306.90M,59.20M,366.10M,,,,-18.90M,-10.50M
2013-03,39.00M,,6.90M,6.90M,,,14.10M,14.10M,,,,,,,,,,-25.90M,-25.90M,-0.80M,33.30M,-18.40M,,-3.60M,51.30M,,29.30M,-15.50M,,-15.50M,,-3.50M,-3.50M,-9.40M,-9.40M,5.80M,,-22.60M,266.90M,40.00M,306.90M,,,,-15.50M,-3.50M
2012-12,43.20M,27.20M,3.50M,31.00M,,,14.20M,14.20M,,,,,,,,,,46.20M,9.60M,-0.70M,70.10M,-25.40M,,-13.50M,6.60M,,-32.30M,-35.70M,,-35.70M,,-12.30M,-12.30M,-9.20M,-9.20M,6.70M,,-50.50M,279.60M,-12.70M,266.90M,,,,-35.70M,-12.30M
2012-09,36.90M,0.00,3.40M,3.70M,,,13.90M,13.90M,,,,,,,,,,16.30M,16.30M,-0.70M,70.10M,-14.20M,,0.00,-22.50M,,-36.70M,-6.00M,,-6.00M,,0.00,0.00,-9.20M,-9.20M,1.80M,,-13.40M,259.60M,20.00M,279.60M,,,,-6.00M,0.00
2012-06,35.00M,0.00,3.60M,4.00M,,,13.10M,13.10M,,,,,,,,,,-37.00M,-37.00M,-8.00M,7.10M,-17.20M,,0.00,-49.50M,,-66.70M,-34.00M,,-34.00M,,-9.70M,-9.70M,-7.50M,-7.50M,3.20M,,-48.00M,367.20M,-107.60M,259.60M,,,,-34.00M,-9.70M
2012-03,47.50M,-27.20M,3.30M,-23.80M,,,13.40M,13.40M,,,,,,,,,,-22.00M,-22.00M,-18.60M,-3.50M,-13.10M,,0.00,62.00M,,48.90M,-143.10M,,-143.10M,,0.00,0.00,-7.30M,-7.30M,8.80M,,-141.60M,463.40M,-96.20M,367.20M,,,,-143.10M,0.00
2011-12,31.50M,20.10M,,23.70M,,,13.80M,13.80M,,,,,,,,,,80.30M,80.30M,-1.40M,128.10M,-16.80M,,-3.00M,0.00,,-147.40M,65.90M,,65.90M,,-17.80M,-17.80M,-7.40M,-7.40M,1.40M,,42.10M,440.60M,22.80M,463.40M,,,65.90M,,-17.80M
2011-09,26.90M,-20.10M,,-19.70M,,,11.40M,11.40M,,,,,,,,,,18.30M,18.30M,-19.10M,17.80M,-12.40M,24.30M,-418.10M,0.00,,299.00M,21.70M,,21.70M,,0.00,0.00,-7.40M,-7.40M,1.30M,,15.60M,108.20M,332.40M,440.60M,,,21.70M,,0.00
2011-06,28.60M,,,0.30M,,,11.00M,11.00M,,,,,,,,,,-92.40M,-92.40M,17.50M,-35.00M,-11.90M,-11.90M,,0.00,,-10.50M,35.40M,,35.40M,,0.00,0.00,-6.50M,-6.50M,0.60M,,29.50M,124.20M,-16.00M,108.20M,,,35.40M,,0.00
2011-03,24.20M,,,,,,10.80M,10.80M,,,,,,,,,,-87.30M,-87.30M,0.10M,-52.20M,-12.40M,-12.40M,,0.00,,-15.50M,77.20M,,77.20M,,-5.70M,-5.70M,-6.40M,-6.40M,7.90M,,73.00M,118.90M,5.30M,124.20M,,,77.20M,,-5.70M
2010-12,20.50M,,,-2.60M,,,11.50M,11.50M,,,,,,,,,,34.80M,-2.70M,29.20M,55.90M,-16.30M,,-6.20M,0.00,,-22.00M,-17.20M,,-17.20M,,0.00,0.00,-24.70M,-6.40M,-0.50M,,-24.10M,109.10M,9.80M,118.90M,,,-35.80M,18.60M,0.00
2010-09,16.20M,,,0.00,,,10.00M,10.00M,,,,,,,,,,-31.70M,-31.70M,23.70M,18.20M,-21.10M,16.10M,-5.60M,0.00,,-27.20M,22.20M,7.90M,30.10M,,0.00,0.00,11.90M,-6.40M,0.40M,,24.10M,94.00M,15.10M,109.10M,,,40.80M,-18.60M,0.00
2010-06,-0.90M,,,14.30M,,,9.20M,9.20M,,,,,,,,,,25.40M,25.40M,17.10M,65.10M,-8.40M,-8.40M,,4.60M,,-7.00M,0.00,-39.40M,-39.40M,,0.00,0.00,-6.00M,-6.00M,1.50M,,-43.90M,79.80M,14.20M,94.00M,,,0.00,0.00,0.00
2010-03,21.30M,,,,,,10.10M,10.10M,,,,,,,,,,-37.30M,-37.30M,-8.50M,-14.40M,-7.70M,-7.70M,,,,-10.30M,0.00,31.50M,31.50M,,0.00,0.00,-5.90M,-5.90M,2.60M,,28.20M,76.30M,3.50M,79.80M,,,0.00,,0.00
2009-12,-6.40M,,,4.20M,,,-12.40M,-12.40M,,,,,,,,-95.40M,,48.60M,-46.80M,,78.60M,-4.80M,,-61.90M,0.00,-16.70M,-90.10M,20.40M,,20.40M,,,,,-5.90M,4.10M,,18.60M,69.20M,7.10M,76.30M,,,0.00,20.40M,
2009-09,34.60M,,,-3.80M,,,17.20M,17.20M,,,,,,,,95.40M,,-50.20M,45.20M,,93.20M,-16.30M,,0.00,0.00,7.10M,-9.20M,-65.90M,0.00,-65.90M,,,,,-5.90M,3.50M,,-68.30M,53.50M,15.70M,69.20M,,,0.00,-65.90M,
2009-06,23.70M,,,0.50M,,,17.10M,17.10M,,,-0.90M,,,,,,,47.50M,47.50M,,87.90M,-9.10M,,-0.50M,1.40M,0.50M,-7.70M,-65.70M,0.00,-65.70M,,,,,-5.70M,0.00,,-71.40M,44.70M,8.80M,53.50M,,,-26.60M,-39.10M,
2009-03,8.60M,,,,,,16.40M,16.40M,,,0.90M,,,,,,,-22.70M,-22.70M,,3.20M,-12.50M,,-7.00M,7.50M,2.00M,-10.00M,20.10M,0.00,20.10M,,,,,-3.90M,0.00,,16.20M,35.30M,9.40M,44.70M,,,26.60M,-6.50M,
2008-12,6.70M,,,,,,16.00M,16.00M,,,-3.40M,,,,,,,42.70M,8.30M,,27.60M,-21.70M,44.40M,0.00,0.00,,-21.70M,-40.10M,,0.40M,-0.90M,,-0.90M,,-5.70M,,,-4.10M,27.60M,1.80M,29.40M,,-0.90M,,-40.10M,
2008-09,23.00M,,,,,,16.70M,16.70M,,,3.40M,,,,,,,15.60M,15.60M,,58.70M,-19.00M,-44.40M,,0.00,,-19.00M,11.60M,,-28.90M,0.90M,,0.90M,,-7.40M,,,-35.40M,40.60M,4.70M,27.60M,0.40M,0.90M,,11.60M,
2008-06,30.30M,,,,,,16.70M,16.70M,,,,,,,,,,-11.80M,-11.80M,,35.20M,-15.60M,9.80M,0.00,12.00M,,-3.60M,-11.60M,,-51.10M,,,,,-3.80M,,,-54.90M,46.60M,-23.70M,40.60M,-0.40M,,,-11.60M,
2008-03,21.90M,,,,,,16.90M,16.90M,,,,,,,,,,-53.70M,-53.70M,,-14.90M,-9.80M,-9.80M,,,,-9.80M,,,39.50M,,,,,-5.40M,,,34.10M,37.20M,9.40M,46.60M,,,,,
2007-12,17.00M,,,,,,17.10M,17.10M,,,-1.10M,,,,,,,36.30M,62.70M,,95.70M,-29.90M,41.50M,,,,-29.90M,,,-31.60M,-10.30M,-28.80M,-39.10M,,-5.60M,,,-64.90M,36.30M,0.90M,37.20M,,-10.30M,,,-28.80M
2007-09,24.70M,,,,,,16.20M,16.20M,,,1.10M,,,,,,,14.50M,14.50M,,56.50M,-13.20M,-13.20M,,,,-13.20M,,,-34.10M,5.10M,-2.60M,2.50M,,-5.50M,,,-37.10M,30.10M,6.20M,36.30M,,5.10M,,,-2.60M
2007-06,27.00M,,,,,,18.10M,18.10M,,,,,,,,,,10.20M,10.20M,,55.30M,-17.30M,-17.30M,,,,-17.30M,,,-21.10M,2.50M,-5.20M,-2.70M,,-5.20M,,,-29.00M,21.10M,9.00M,30.10M,,2.50M,,,-5.20M
2007-03,19.50M,,,,,,16.10M,16.10M,,,,,,,,,,-52.60M,-52.60M,,-17.00M,-11.00M,-11.00M,,,,-11.00M,,,25.80M,2.70M,,2.70M,,-5.20M,,,23.30M,25.80M,-4.70M,21.10M,,2.70M,,,
2006-12,19.20M,,,,,,16.60M,16.60M,,,,,,,,,,47.30M,26.20M,12.90M,78.00M,-27.10M,-27.10M,1.60M,-0.10M,,-25.60M,,,-54.80M,1.00M,,1.00M,,-5.20M,,,-59.00M,32.40M,-6.60M,25.80M,,1.00M,,,
2006-09,16.40M,,,,,,13.40M,13.40M,,,-1.50M,,,,,,,4.10M,4.10M,1.80M,34.20M,-16.30M,-16.30M,-13.30M,0.00,,-29.60M,,,-13.20M,0.90M,,0.90M,,-5.20M,,,-17.50M,45.30M,-12.90M,32.40M,,0.90M,,,
2006-06,25.10M,,,,,,18.50M,18.50M,,,1.50M,,,,,,,-9.10M,-9.10M,-2.10M,33.90M,-15.90M,-15.90M,-327.60M,12.30M,,-331.20M,,,307.80M,2.30M,,2.30M,,-4.80M,,,305.30M,37.30M,8.00M,45.30M,,2.30M,,,
2006-03,15.50M,,,,,,12.40M,12.40M,,,,,,,,,,-32.60M,-32.60M,,-4.70M,-8.90M,-8.90M,-1.40M,,,-10.30M,,,29.10M,4.10M,,4.10M,,-4.90M,,,28.30M,24.00M,13.30M,37.30M,,4.10M,,,
2005-12,16.00M,,,,,,13.90M,13.90M,,,-1.50M,,,,,,,-59.50M,19.20M,1.20M,48.80M,-19.50M,-19.50M,,,,-38.80M,,,-39.00M,5.20M,,5.20M,,-4.80M,,,-38.60M,52.60M,-28.60M,24.00M,,5.20M,,,
2005-09,9.70M,,,,,,12.90M,12.90M,,,2.50M,,,,,,,63.30M,63.30M,-1.20M,87.20M,-14.70M,-14.70M,,,,-14.70M,,,-28.60M,1.60M,,1.60M,,-4.80M,,,-31.80M,11.90M,40.70M,52.60M,,1.60M,,,
2005-06,6.50M,,,,,,12.90M,12.90M,,,0.90M,,,,,,,18.00M,18.00M,,38.30M,-9.00M,-9.00M,,,,-9.00M,,,-28.90M,6.10M,,6.10M,,-4.70M,,,-27.50M,10.10M,1.80M,11.90M,,6.10M,,,
2005-03,14.30M,,,,,,13.10M,13.10M,,,,,,,,,,-15.00M,-15.00M,,12.40M,-7.40M,-7.40M,,,,-7.40M,,,-15.30M,,,,,-4.70M,,,-20.00M,25.10M,-15.00M,10.10M,,,,,
2004-12,4.40M,,,,,,13.90M,13.90M,,,0.50M,,,,,,,44.50M,20.40M,0.30M,39.50M,-17.60M,-17.60M,0.00,,,-17.60M,,,-13.90M,0.00,,0.00,,-4.70M,,,-18.60M,21.80M,3.30M,25.10M,,0.00,,,
2004-09,3.00M,,,,-25.40M,-1.40M,13.20M,13.20M,,,0.90M,,,,,,,-0.80M,-0.80M,0.10M,16.40M,-11.80M,-11.80M,0.00,,,-11.80M,,,5.70M,0.00,,0.00,,-4.70M,,,1.00M,16.20M,5.60M,21.80M,,0.00,,,
2004-06,17.20M,,,,25.40M,1.40M,13.50M,13.50M,,,3.00M,,,,,,,-11.70M,-11.70M,-0.20M,21.80M,-8.50M,-8.50M,-2.30M,,,-10.80M,,,1.00M,0.50M,,0.50M,,-4.40M,,,-2.90M,8.10M,8.10M,16.20M,,0.50M,,,
2004-03,10.80M,,,,,,13.30M,13.30M,,,-1.60M,,,,,,,-33.40M,-33.40M,-0.20M,-11.10M,-10.50M,-10.50M,,,,-10.50M,,,12.90M,2.50M,,2.50M,,-4.40M,,,11.00M,18.70M,-10.60M,8.10M,,2.50M,,,
2003-12,12.60M,,,,-37.10M,-1.60M,13.40M,13.40M,,,5.10M,,,,,,,49.20M,-28.30M,0.10M,2.90M,-20.50M,-20.50M,-1.70M,,,-22.20M,,,6.90M,,,,,-4.30M,,-2.60M,2.60M,35.40M,-16.70M,18.70M,,,,,
2003-09,6.10M,,,,12.30M,0.60M,12.90M,12.90M,,,0.60M,,,,,,,12.60M,12.60M,-0.30M,31.90M,-13.30M,-13.30M,-3.10M,,,-16.40M,,,-11.60M,,,,,-4.40M,,1.10M,-14.90M,34.80M,0.60M,35.40M,,,,,
2003-06,19.79M,,,,12.49M,0.524M,13.01M,13.01M,,,-0.293M,,,,,,,-27.93M,-27.93M,-0.261M,4.318M,-9.377M,-9.377M,,,,-9.377M,,,14.95M,,,,,-4.041M,,1.50M,12.40M,27.50M,7.346M,34.80M,,,,,
2003-03,13.71M,,,,12.31M,0.476M,12.79M,12.79M,,,-1.007M,,,,,,,-36.17M,-36.17M,0.461M,-10.22M,-5.423M,-5.423M,,,,-5.423M,,,14.35M,,,,,-4.059M,,,10.30M,32.85M,-5.346M,27.50M,,,,,
2002-12,11.21M,,,,12.48M,0.489M,12.96M,12.96M,,,0.42M,,,,,,,-17.49M,-10.80M,-0.682M,13.11M,-16.66M,-16.66M,-11.62M,,,-28.28M,,,18.72M,5.754M,,5.754M,,-4.056M,,-5.344M,15.08M,32.94M,-0.095M,32.85M,,5.754M,,,
2002-09,10.02M,,,,12.20M,0.394M,12.60M,12.60M,,,-0.761M,,,,,,,26.36M,26.36M,-0.666M,47.55M,-9.451M,-9.451M,-9.588M,,,-19.04M,,,-22.48M,-0.845M,,-0.845M,,-4.026M,,5.344M,-22.01M,26.44M,6.499M,32.94M,,-0.845M,,,
2002-06,17.99M,,,,12.46M,0.374M,12.83M,12.83M,,,-0.927M,,,,,,,-2.562M,-2.562M,-0.127M,27.21M,-9.283M,-9.283M,-0.119M,,,-9.402M,,,-137.62M,127.51M,,127.51M,,-3.102M,,,-13.22M,21.85M,4.592M,26.44M,,127.51M,,,
2002-03,12.12M,,,,11.94M,0.356M,12.30M,12.30M,,,0.927M,,,,,,,-2.492M,-2.492M,4.445M,27.30M,-7.08M,-7.08M,-2.05M,,,-9.13M,,,-14.80M,0.815M,,0.815M,,-3.094M,,,-17.08M,20.76M,1.092M,21.85M,,0.815M,,,
2001-12,-5.106M,,,,10.06M,2.184M,12.24M,12.24M,,,-1.454M,,,,,,,4.113M,4.113M,-2.901M,-33.53M,-11.92M,-11.92M,,,0.70M,-129.21M,,,133.16M,0.169M,,0.169M,,-3.091M,,,130.24M,12.84M,-32.51M,20.76M,,0.169M,,,
2001-09,0.386M,,,,9.702M,2.152M,11.85M,11.85M,,,0.70M,,,,,,,9.747M,9.747M,-0.847M,21.84M,-7.897M,-7.897M,,,-0.155M,-8.052M,,,-13.24M,0.192M,,0.192M,,-3.089M,,,-16.13M,15.19M,-2.346M,12.84M,,0.192M,,,
2001-06,10.69M,,,,9.434M,2.135M,11.57M,11.57M,,,0.189M,,,,,,33.44M,-25.35M,8.091M,-0.027M,30.52M,-5.978M,-5.978M,,,-0.457M,-6.435M,,,-19.82M,0.945M,,0.945M,,-3.078M,,,-21.95M,13.06M,2.129M,15.19M,,0.945M,,,
2001-03,8.529M,,,,9.291M,2.12M,11.41M,11.41M,,,0.307M,,,,,,-33.44M,,-33.44M,44.20M,31.00M,-9.52M,-9.52M,,,-0.088M,-9.608M,,,-20.67M,0.101M,,0.101M,,-3.061M,,,-23.63M,15.29M,-2.229M,13.06M,,0.101M,,,
2000-12,2.565M,,,,8.786M,2.125M,10.91M,10.91M,,,0.533M,,,,,,-6.617M,-6.728M,-9.435M,19.94M,24.51M,-10.40M,-10.40M,,,-0.677M,-11.08M,,,-3.79M,0.208M,,0.208M,,-3.059M,,,-6.641M,8.496M,6.791M,15.29M,,0.208M,,,
2000-09,7.343M,,,,9.261M,2.118M,11.38M,11.38M,,,0.485M,,,,,,,22.63M,22.63M,-6.411M,35.43M,-9.381M,-9.381M,,,-0.204M,-9.585M,,,-23.14M,0.57M,,0.57M,,-3.044M,,-0.043M,-25.66M,8.308M,0.188M,8.496M,,0.57M,,,
2000-06,17.59M,,,,9.329M,2.12M,11.45M,11.45M,,,0.248M,,,,,,29.57M,-24.98M,4.59M,1.963M,35.84M,-9.073M,-9.073M,,,-0.198M,-9.271M,,,-20.63M,0.00,,0.00,,-2.81M,,0.043M,-23.40M,5.132M,3.176M,8.308M,,0.00,,,
2000-03,14.16M,,,,9.206M,2.114M,11.32M,11.32M,,,0.414M,,,,,,-29.57M,,-29.57M,-5.34M,-9.018M,-11.66M,-11.66M,,,-0.36M,-12.02M,,,14.18M,0.038M,,0.038M,,-2.807M,,,11.41M,14.76M,-9.629M,5.132M,,0.038M,,,
