,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,143.98M,,-56.97M,-26.89M,-83.86M,81.38M,81.38M,,7.646M,5.182M,12.83M,5.224M,10.37M,,,-12.31M,3.286M,192.28M,,,,,-3.466M,0.129M,0.335M,79.43M,,-165.03M,,-165.03M,33.14M,-24.28M,8.868M,,,-130.24M,-5.50M,-291.90M,,238.51M,-20.20M,,218.31M,,33.14M,0.00,-165.03M,-24.28M,,29.08M,,AOR,Restated
2017-12,84.57M,,-31.44M,-28.77M,-60.20M,85.02M,85.02M,1.045M,33.05M,3.727M,36.78M,1.113M,-33.47M,,,-11.61M,-43.96M,120.36M,,,,,29.81M,0.704M,0.645M,-16.01M,,-118.14M,,-118.14M,222.20M,0.00,222.20M,0.00,0.00,-124.99M,-1.499M,-22.43M,,156.59M,81.92M,,238.51M,,222.20M,-17.14M,-101.00M,0.00,,192.16M,,AOR,Restated
2017-09,122.22M,,-40.53M,-29.05M,-67.83M,88.44M,88.44M,-0.238M,2.944M,4.061M,7.005M,-0.967M,48.39M,,,-16.63M,30.79M,193.78M,,,,,-2.348M,0.596M,0.246M,-130.83M,,174.51M,,174.51M,217.78M,0.00,217.78M,-225.00M,-225.00M,-128.39M,-88.36M,-49.46M,,143.10M,13.49M,,156.59M,,217.78M,1.056B,-881.49M,-225.00M,,-96.31M,,AOR,Restated
2017-06,154.67M,,-19.88M,-112.50M,-132.38M,95.27M,95.27M,,29.72M,4.144M,33.86M,-0.853M,-18.39M,,,-3.621M,-22.86M,142.98M,,,,,-3.56M,-8.433M,0.271M,-82.07M,,56.82M,,56.82M,0.412M,0.00,0.412M,,,-126.48M,-16.03M,-85.27M,,167.45M,-24.36M,,143.10M,,0.412M,0.00,56.82M,0.00,,72.02M,,AOR,Restated
2017-03,78.22M,,-1.686M,-28.61M,-30.29M,92.07M,92.07M,,1.617M,9.631M,11.25M,5.769M,7.885M,,,-21.10M,-7.449M,157.05M,,,,,-3.351M,0.457M,0.243M,-65.38M,,70.73M,,70.73M,0.561M,0.00,0.561M,,,-126.32M,-11.68M,-66.71M,,142.49M,24.97M,,167.45M,,0.561M,400.00M,-329.27M,0.00,,24.29M,,AOR,Restated
2016-12,80.69M,,-10.95M,-38.09M,-49.04M,90.88M,90.88M,-1.075M,25.14M,3.779M,28.92M,18.48M,-31.82M,,,-10.01M,-23.35M,147.57M,,,,,-33.61M,0.03M,0.233M,-82.86M,,47.50M,,47.50M,0.586M,,0.586M,0.00,0.00,-119.93M,-20.92M,-92.77M,,170.54M,-28.06M,,142.49M,,0.586M,776.44M,-728.94M,0.00,,58.25M,,AOR,Restated
2016-09,-41.55M,,-9.772M,-21.90M,14.01M,96.83M,96.83M,56.14M,10.07M,3.74M,13.81M,62.88M,28.63M,,,-18.09M,73.42M,228.68M,,,,,31.15M,-1.084M,0.227M,-63.11M,,-354.81M,,-354.81M,150.30M,,150.30M,0.00,0.00,-118.65M,-9.677M,-332.84M,,337.82M,-167.27M,,170.54M,,150.30M,399.98M,-754.79M,0.00,,82.47M,,AOR,Restated
2016-06,204.85M,,-41.22M,-163.16M,-204.37M,82.75M,82.75M,,52.21M,3.675M,55.89M,-65.61M,-13.57M,,,-8.348M,-87.52M,78.89M,,,,,128.74M,-0.825M,0.23M,183.55M,,-66.49M,,-66.49M,45.10M,,45.10M,,,-118.43M,-6.809M,-146.62M,,222.00M,115.82M,,337.82M,,45.10M,70.02M,-136.51M,,,151.27M,,AOR,Restated
2016-03,142.15M,,-30.88M,-80.73M,-111.62M,84.86M,84.86M,,5.84M,7.877M,13.72M,1.247M,8.869M,,,-29.00M,-18.89M,136.96M,,,,,50.82M,1.85M,0.231M,127.80M,,-227.18M,,-227.18M,111.41M,,111.41M,,,-117.03M,0.503M,-232.29M,,189.53M,32.47M,,222.00M,,111.41M,180.00M,-407.18M,,,-39.51M,,AOR,Restated
2015-12,378.71M,,-45.77M,-357.53M,-403.31M,86.10M,86.10M,-0.218M,17.48M,3.153M,20.63M,-32.62M,-38.54M,,,-11.46M,-82.62M,31.06M,,,,,54.21M,4.608M,2.182M,486.85M,,-192.63M,,-192.63M,3.141M,,3.141M,,,-115.09M,-29.71M,-509.29M,,180.91M,8.621M,,189.53M,,3.141M,175.03M,-367.66M,,-21.68M,82.32M,,AOR,Restated
2015-09,81.08M,,-35.82M,-28.56M,-64.37M,103.71M,103.71M,4.716M,6.058M,3.158M,9.216M,4.835M,39.08M,,,-30.04M,13.87M,176.65M,,,,,31.78M,12.24M,2.234M,14.00M,,-43.25M,,-43.25M,2.095M,,2.095M,,,-113.72M,-0.691M,-155.56M,,145.83M,35.08M,,180.91M,,2.095M,325.00M,-368.25M,,10.85M,38.04M,,AOR,Restated
2015-06,127.61M,,-59.11M,-27.91M,-87.02M,80.16M,80.16M,,15.46M,3.76M,19.22M,-6.145M,-12.37M,,,-24.51M,-43.02M,122.90M,,,,,6.353M,58.36M,50.44M,127.98M,,-181.92M,,-181.92M,3.214M,,3.214M,,,-113.62M,-33.70M,-326.02M,,220.98M,-75.14M,,145.83M,,3.214M,0.00,-181.92M,,10.83M,150.15M,,AOR,Restated
2015-03,312.74M,,-32.06M,-251.72M,-283.78M,74.57M,74.57M,,6.473M,8.394M,14.87M,-5.981M,11.98M,,,-1.424M,4.58M,163.09M,,,,,-1.232M,-189.58M,0.292M,-607.46M,,483.56M,,483.56M,10.26M,,10.26M,,,-113.40M,97.60M,478.02M,,187.32M,33.66M,,220.98M,,10.26M,1.00B,-516.44M,,,-37.56M,,AOR,Restated
2014-12,50.76M,,-73.84M,-54.59M,-128.42M,73.18M,73.18M,,110.82M,3.414M,114.24M,-11.23M,-36.38M,,,-26.84M,-74.45M,119.34M,,,,,43.99M,-6.889M,-49.40M,198.80M,,-185.44M,,-185.44M,7.787M,,7.787M,,,-107.12M,-0.225M,-285.00M,,154.19M,33.13M,,187.32M,,7.787M,0.00,-185.44M,,10.35M,71.93M,,AOR,Restated
2014-09,197.31M,,-99.14M,-72.26M,-171.40M,70.62M,70.62M,,7.082M,3.249M,10.33M,0.99M,36.58M,,,-21.46M,16.12M,183.91M,,,,,17.64M,3.561M,0.592M,99.89M,,-218.49M,,-218.49M,3.751M,,3.751M,,,-107.05M,0.00,-321.79M,,192.18M,-37.99M,,154.19M,,3.751M,15.70M,-234.19M,,12.94M,238.18M,,AOR,Restated
2014-06,91.95M,,-21.57M,-117.64M,-139.21M,67.63M,67.63M,,93.06M,3.077M,96.14M,-3.621M,-13.63M,,,-11.67M,-28.93M,144.58M,,,,,32.44M,0.00,0.166M,-166.15M,,49.87M,,49.87M,9.033M,,9.033M,,,-106.94M,-7.126M,-55.16M,,268.91M,-76.73M,,192.18M,,9.033M,367.71M,-317.84M,,,-71.50M,,AOR,Restated
2014-03,95.86M,,-9.337M,-60.36M,-69.70M,61.67M,61.67M,,6.893M,8.139M,15.03M,5.799M,12.34M,,,-8.18M,9.959M,181.51M,,,,,34.67M,-4.337M,6.949M,-5.826M,,53.76M,,53.76M,3.303M,,3.303M,,,-106.76M,-5.844M,-55.54M,,148.77M,120.14M,,268.91M,,3.303M,132.29M,-78.53M,,,-30.98M,,AOR,Restated
2013-12,60.38M,,-33.80M,-30.12M,-63.93M,66.44M,66.44M,,23.06M,,41.96M,-4.201M,-58.89M,,,-52.26M,-115.35M,36.19M,,,,,23.36M,15.61M,15.29M,1.949M,,-188.09M,,-188.09M,1.167M,,1.167M,,,-100.60M,-3.579M,-291.10M,,401.73M,-252.96M,,148.77M,,1.167M,0.00,-188.09M,,32.60M,73.45M,,AOR,Restated
2013-09,57.19M,,-24.41M,-106.72M,-131.14M,64.38M,64.38M,,85.61M,,85.61M,0.272M,62.30M,,,0.588M,63.16M,268.31M,,,,,64.97M,8.754M,4.669M,167.74M,,-90.01M,,-90.01M,1.101M,,1.101M,,,-100.59M,-1.268M,-190.77M,,156.45M,245.28M,,401.73M,,1.101M,212.04M,-302.06M,,0.442M,33.90M,,AOR,Restated
2013-06,53.27M,,-1.869M,-66.25M,-68.12M,64.27M,64.27M,,78.32M,,78.32M,4.112M,-11.52M,,,-43.61M,-51.02M,115.64M,,,,,75.48M,10.59M,-3.203M,64.14M,,-81.36M,,-81.36M,22.17M,,22.17M,,,-101.42M,-29.62M,-190.23M,,166.89M,-10.44M,,156.45M,,22.17M,112.00M,-193.36M,,0.687M,71.48M,,AOR,Restated
2013-03,70.51M,,-3.577M,-58.44M,-62.02M,62.77M,62.77M,,3.229M,,3.229M,7.03M,18.28M,,,6.768M,32.08M,149.88M,,,,,-20.20M,-54.33M,0.965M,-161.60M,,132.36M,,132.36M,5.772M,,5.772M,,,-97.74M,-3.661M,36.73M,,141.88M,25.02M,,166.89M,,5.772M,333.49M,-201.13M,,0.111M,37.42M,,AOR,Restated
2012-12,91.66M,,-49.77M,-42.76M,-92.54M,64.78M,64.78M,,21.83M,,39.74M,-8.309M,-46.20M,,,-21.05M,-75.56M,71.46M,,,,,-8.895M,2.015M,38.59M,79.05M,,-35.50M,,-35.50M,171.65M,-0.001M,171.64M,-460.00M,-460.00M,-97.63M,-16.68M,-438.17M,,429.53M,-287.65M,,141.88M,,171.65M,17.06M,-52.56M,-460.00M,0.152M,76.80M,,AOR,Restated
2012-09,57.08M,,-13.28M,-34.73M,-48.01M,66.77M,66.77M,,3.17M,,3.17M,-7.071M,34.80M,,,-9.682M,18.05M,132.16M,,,,,18.08M,0.263M,-0.718M,14.83M,,-35.28M,,-35.28M,230.69M,-1.988M,228.70M,-175.00M,-175.00M,-100.78M,-18.83M,-101.19M,,383.73M,45.80M,,429.53M,,230.69M,0.00,-35.28M,-176.99M,1.97M,263.39M,,AOR,Restated
2012-06,72.39M,,-19.34M,-56.58M,-75.92M,66.31M,66.31M,,25.01M,,25.01M,4.757M,-17.10M,,,-12.06M,-24.40M,118.56M,,,,,-43.40M,0.624M,8.073M,-112.40M,,234.75M,,234.75M,2.408M,-2.862M,-0.454M,,,-92.15M,-6.869M,135.28M,,242.30M,141.43M,,383.73M,,2.408M,400.00M,-165.25M,-2.862M,-0.626M,-150.02M,,AOR,Restated
2012-03,59.15M,,-11.98M,-47.77M,-59.75M,64.88M,64.88M,,9.563M,,9.563M,13.56M,17.22M,,,-8.201M,22.58M,156.87M,,,,,2.177M,7.883M,1.635M,-32.48M,,-266.65M,,-266.65M,392.00M,-26.10M,365.90M,,,-92.16M,-2.07M,5.023M,,112.88M,129.42M,,242.30M,,392.00M,6.276M,-272.93M,-26.10M,0.626M,36.61M,,AOR,Restated
2011-12,50.16M,8.722M,,-139.51M,-160.30M,62.33M,62.33M,,16.09M,,32.83M,-14.09M,-40.91M,,,4.303M,-50.69M,80.70M,,196.29M,-72.97M,123.32M,,19.25M,4.416M,-100.31M,,67.51M,,54.19M,1.705M,-2.022M,-0.317M,0.00,0.00,-88.09M,-13.48M,-47.70M,,180.20M,-67.32M,,112.88M,,1.705M,118.80M,-51.29M,-2.022M,-2.062M,-365.65M,,AOR,Restated
2011-09,58.60M,-4.534M,,7.032M,2.498M,60.53M,60.53M,,4.324M,,0.00,-0.732M,38.45M,,,-11.58M,26.14M,152.08M,,-100.23M,26.07M,-74.16M,,28.54M,11.56M,-34.06M,,-93.41M,,21.34M,2.074M,-2.566M,-0.492M,0.00,0.00,-88.09M,-14.64M,-81.89M,,144.07M,36.13M,,180.20M,,2.074M,4.662M,-98.07M,-2.566M,1.211M,37.33M,,AOR,Restated
2011-06,41.31M,-4.439M,,4.736M,0.297M,61.95M,61.95M,,9.574M,,-0.032M,4.501M,-20.20M,,,3.584M,-12.11M,100.99M,,-51.02M,38.99M,-12.02M,,176.62M,2.267M,166.86M,,-82.86M,,-184.28M,2.034M,-1.415M,0.619M,,,-88.08M,-0.08M,-271.82M,,148.04M,-3.971M,,144.07M,,2.034M,-57.08M,-25.78M,-1.415M,0.738M,64.93M,,AOR,Restated
2011-03,32.02M,0.251M,,11.89M,12.14M,66.33M,66.33M,,2.778M,,-0.037M,-8.951M,14.58M,,,-4.024M,1.602M,114.84M,,-45.04M,7.906M,-37.14M,,-17.02M,0.903M,-53.25M,,60.02M,,60.02M,0.724M,0.00,0.724M,,,-89.50M,-9.955M,-38.71M,,125.15M,22.88M,,148.04M,,0.724M,66.10M,-6.077M,0.00,0.113M,43.12M,,AOR,Restated
2010-12,46.68M,6.21M,,-119.86M,-120.09M,62.60M,62.60M,,26.34M,,39.13M,-3.993M,-40.89M,,,-11.68M,-56.56M,121.73M,,139.08M,-228.50M,-89.42M,,61.11M,5.267M,-36.19M,,-39.22M,,-39.22M,6.72M,0.00,6.72M,,,-76.77M,-9.237M,-118.51M,,158.12M,-32.96M,,125.15M,,6.72M,-41.85M,2.636M,0.00,2.249M,73.93M,,AOR,Restated
2010-09,32.99M,-3.833M,,-3.281M,-5.321M,61.86M,61.86M,,0.99M,,-11.80M,-10.98M,36.06M,,,12.88M,37.96M,128.47M,,-59.12M,46.91M,-12.22M,,-12.53M,-6.171M,-30.92M,,-157.12M,,-157.12M,170.76M,,170.76M,,,-76.75M,-11.60M,-74.72M,,135.28M,22.83M,,158.12M,,170.76M,312.18M,-469.31M,,-0.154M,49.90M,,AOR,Restated
2010-06,27.28M,-0.592M,,26.24M,23.86M,61.58M,61.58M,,6.602M,,6.602M,-1.642M,-15.51M,,,-15.62M,-32.77M,86.55M,,-38.67M,168.69M,130.02M,,-16.73M,23.21M,136.50M,,-96.65M,,-96.65M,0.149M,0.00,0.149M,,,-76.73M,-51.98M,-225.20M,,137.44M,-2.154M,,135.28M,,0.149M,150.72M,-247.37M,0.00,0.866M,88.00M,,AOR,Restated
2010-03,54.71M,-1.785M,,1.552M,-0.233M,61.59M,61.59M,,5.189M,,5.189M,-0.777M,36.15M,,,-13.44M,21.93M,143.19M,,-41.29M,12.91M,-28.38M,,-5.644M,2.536M,-31.49M,,-6.548M,,-6.548M,0.211M,,0.211M,,,-76.71M,-13.27M,-96.32M,,122.06M,15.38M,,137.44M,,0.211M,42.62M,-49.17M,,0.317M,30.21M,,AOR,Restated
2009-12,52.49M,-4.295M,,56.66M,22.61M,59.72M,59.72M,,25.92M,,25.92M,-10.75M,-33.29M,,,-35.08M,-79.11M,81.63M,,-323.35M,11.23M,-312.12M,,49.49M,-25.64M,-288.27M,,-106.30M,,-106.30M,345.91M,,314.12M,,,-34.42M,14.54M,187.94M,,140.76M,-18.70M,,122.06M,,345.91M,169.43M,-275.72M,,0.508M,73.44M,,AOR,Restated
2009-09,43.64M,-1.467M,,12.14M,18.36M,56.64M,56.64M,,0.00,,0.00,-4.081M,27.81M,,,-18.37M,5.354M,124.00M,,-58.82M,20.06M,-38.76M,,91.15M,15.86M,68.25M,,-202.94M,,-202.94M,0.717M,,0.717M,,,-34.40M,-3.786M,-240.41M,,188.92M,-48.17M,,140.76M,,0.717M,319.17M,-522.11M,,0.484M,33.49M,,AOR,Restated
2009-06,-131.87M,-1.53M,,40.83M,35.64M,55.27M,55.27M,,149.17M,,149.17M,6.391M,-15.44M,,,-16.12M,-25.17M,83.05M,,-66.45M,7.121M,-59.33M,,8.131M,7.811M,-43.39M,,-564.28M,,-564.28M,717.78M,,717.78M,,,-131.10M,-23.12M,-0.716M,,149.98M,38.94M,,188.92M,,717.78M,561.17M,-1.125B,,3.781M,97.75M,,AOR,Restated
2009-03,41.79M,-3.125M,,20.76M,13.61M,56.14M,56.14M,,0.00,,0.00,-11.44M,25.02M,,,-10.21M,3.366M,114.90M,,-69.16M,18.70M,-50.46M,,-31.33M,1.968M,-79.82M,,111.14M,,111.14M,0.044M,,0.044M,,,-131.10M,-1.365M,-21.28M,,136.18M,13.80M,,149.98M,,0.044M,255.33M,-144.19M,,,,,AOR,Restated
2008-12,-52.64M,-12.21M,,130.97M,39.65M,52.92M,52.92M,,137.82M,,-0.03M,7.006M,-47.50M,,,-48.93M,-89.42M,88.30M,,-141.32M,54.27M,-87.05M,,-146.11M,94.13M,-139.03M,,363.84M,,238.84M,6.144M,-66.80M,-60.66M,,,-128.96M,13.60M,62.82M,,124.09M,12.09M,,136.18M,,6.144M,285.47M,-46.63M,-66.80M,-10.91M,-141.68M,,AOR,Restated
2008-09,120.59M,-14.66M,,-64.99M,-29.28M,53.02M,53.02M,,5.902M,,-0.518M,-5.369M,43.84M,,,19.82M,58.29M,208.00M,,-114.51M,50.82M,-63.69M,,1.287M,-72.17M,-134.57M,,-374.06M,,-374.06M,421.55M,,421.55M,,,-113.42M,-6.584M,-72.52M,,123.18M,0.908M,,124.09M,,421.55M,37.43M,-411.49M,,5.027M,33.54M,,AOR,Restated
2008-06,100.47M,-25.64M,,49.16M,-6.765M,51.33M,51.33M,,3.808M,,-0.926M,-4.261M,-25.57M,,,-0.492M,-30.32M,117.60M,,-206.04M,47.60M,-158.44M,,-50.23M,13.67M,-195.00M,,152.56M,,152.56M,14.87M,2.293M,17.17M,,,-113.20M,-6.907M,49.62M,,150.96M,-27.78M,,123.18M,,14.87M,198.30M,-45.74M,2.293M,5.529M,75.33M,,AOR,Restated
2008-03,107.98M,-5.254M,,14.65M,-10.69M,49.25M,49.25M,,,,-0.484M,-7.08M,27.24M,,,-12.52M,7.637M,153.70M,,-193.32M,55.98M,-137.35M,,-194.50M,19.09M,-312.76M,,331.26M,,331.26M,8.434M,-2.293M,6.141M,,,-113.44M,-1.449M,222.52M,,87.50M,63.46M,,150.96M,,8.434M,367.16M,-35.89M,-2.293M,0.35M,32.80M,,AOR,Restated
2007-12,83.04M,-49.90M,,-61.68M,178.98M,53.39M,53.39M,,,,-158.93M,-3.879M,-40.29M,,,-15.15M,-59.31M,105.66M,,-277.30M,359.16M,81.86M,,-48.14M,-179.89M,-146.17M,,393.04M,,393.04M,447.95M,,447.95M,,,-103.98M,-654.46M,82.57M,,45.44M,42.06M,,87.50M,,447.95M,923.56M,-530.52M,,1.969M,81.51M,,AOR,Restated
2007-09,78.00M,,,-39.31M,-39.31M,48.56M,48.56M,,,,51.94M,6.215M,34.28M,,,-12.17M,28.32M,167.52M,,-363.11M,,-363.11M,,-114.98M,141.10M,-337.00M,,2.113M,-424.60M,-422.48M,9.196M,,9.196M,,,-93.70M,612.36M,105.38M,,109.53M,-64.09M,,45.44M,,9.196M,-390.45M,-32.04M,,5.143M,33.69M,,AOR,Restated
2007-06,128.02M,8.011M,,-42.22M,-119.47M,47.10M,47.10M,,,,141.77M,-5.877M,-8.209M,,,12.99M,-1.094M,196.33M,,-730.41M,-39.56M,-769.97M,,-117.24M,187.22M,-700.00M,,169.94M,425.53M,595.48M,5.387M,,5.387M,,,-93.61M,-14.10M,493.16M,,120.04M,-10.51M,,109.53M,,5.387M,782.54M,-187.06M,,7.049M,73.96M,,AOR,Restated
2007-03,153.76M,-8.011M,,-30.16M,47.10M,42.22M,42.22M,,,,2.738M,-1.335M,15.58M,,,-63.58M,-49.34M,196.48M,,-347.31M,39.56M,-307.75M,,-32.86M,16.16M,-324.45M,,7.559M,-0.938M,6.621M,22.68M,,22.68M,,,-93.22M,-33.13M,-97.05M,,345.06M,-225.02M,,120.04M,,22.68M,25.20M,-18.58M,,0.131M,25.96M,,AOR,Restated
2006-12,131.90M,,,,,42.27M,42.27M,,,,-62.71M,-8.089M,-14.24M,9.689M,-52.86M,48.74M,-16.77M,94.70M,,-293.18M,1.203B,909.75M,,-272.46M,71.33M,708.62M,,-477.64M,,-477.64M,7.301M,,7.301M,,,-89.80M,-0.908M,-561.05M,,102.80M,242.27M,,345.06M,,7.301M,39.81M,-517.45M,,,,,AOR,Restated
2006-09,91.42M,,,,,36.97M,36.97M,,,,-0.021M,-10.23M,36.05M,-10.23M,36.05M,-59.26M,-7.628M,120.74M,,-236.90M,124.52M,-112.38M,,-130.52M,21.45M,-221.45M,,110.31M,63.35M,173.66M,12.60M,,12.60M,,,-82.32M,-22.78M,81.16M,,122.35M,-19.55M,,102.80M,,12.60M,362.24M,-188.58M,,,,,AOR,Restated
2006-06,108.74M,,,,,35.84M,35.84M,,,,-22.44M,-1.059M,-2.487M,-1.059M,-2.487M,-8.044M,-15.14M,107.01M,,-190.78M,105.89M,-84.89M,,-205.18M,81.14M,-208.92M,,-14.31M,169.77M,155.47M,3.933M,,3.933M,,,-82.26M,-11.76M,65.38M,,158.88M,-36.53M,,122.35M,,3.933M,200.01M,-44.54M,,,,,AOR,Restated
2006-03,96.20M,,,,,29.69M,29.69M,,,,8.357M,1.604M,19.30M,1.604M,19.30M,-42.91M,-1.112M,133.13M,,-445.22M,96.36M,-348.86M,,-200.42M,24.81M,-524.47M,,361.89M,-233.12M,128.77M,427.97M,,427.97M,,,-78.17M,-4.621M,473.95M,,76.27M,82.60M,,158.88M,,427.97M,368.63M,-239.86M,,,,,AOR,Restated
2005-12,107.67M,,,,,27.48M,27.48M,,,,-36.59M,-0.837M,-20.93M,,,13.67M,-8.09M,90.46M,,-334.29M,94.93M,-239.36M,,-215.15M,131.15M,-323.36M,,238.21M,77.01M,315.22M,12.09M,,12.09M,,,-77.90M,-10.19M,239.23M,,69.94M,6.333M,,76.27M,,12.09M,434.86M,-119.64M,,,,,AOR,Restated
