,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,118.00M,,118.00M,1.32B,1.637B,736.00M,114.00M,,,158.00M,2.806B,,,42.03B,-9.628B,32.40B,16.00M,131.00M,147.00M,3.214B,690.00M,48.00M,,272.00M,39.98B,42.79B,1.295B,173.00M,1.468B,147.00M,1.615B,594.00M,1.00B,1.594B,1.594B,,,739.00M,3.948B,1.379B,12.07B,,12.07B,5.329B,5.329B,,2.616B,2.00M,,,222.00M,24.74B,28.69B,4.946B,10.38B,,816.00M,,,-411.00M,14.10B
2017-12,313.00M,,313.00M,1.348B,1.771B,866.00M,118.00M,,,215.00M,3.312B,1.477B,4.074B,41.23B,-9.434B,31.80B,16.00M,114.00M,130.00M,3.296B,686.00M,7.00M,,266.00M,39.40B,42.72B,1.694B,48.00M,1.742B,103.00M,1.845B,542.00M,1.00B,1.542B,1.542B,,,781.00M,4.168B,1.381B,12.07B,,12.07B,5.24B,5.24B,,2.663B,5.00M,,,221.00M,24.70B,28.87B,4.961B,9.878B,,763.00M,,,-229.00M,13.85B
2017-09,278.00M,,278.00M,1.022B,1.325B,936.00M,200.00M,,,258.00M,3.081B,,,39.92B,-9.383B,30.53B,16.00M,88.00M,104.00M,3.177B,599.00M,62.00M,,265.00M,38.08B,41.16B,1.305B,146.00M,1.451B,136.00M,1.587B,202.00M,1.25B,1.452B,1.452B,,,792.00M,3.831B,1.147B,11.27B,,11.27B,8.931B,8.931B,,2.392B,1.00M,,,195.00M,24.20B,28.03B,4.938B,9.14B,,750.00M,,,-204.00M,13.12B
2017-06,430.00M,,430.00M,1.021B,1.24B,847.00M,273.00M,,,285.00M,3.188B,,,38.79B,-9.157B,29.64B,16.00M,120.00M,136.00M,3.153B,711.00M,90.00M,,260.00M,37.34B,40.52B,1.293B,46.00M,1.339B,99.00M,1.438B,0.00,900.00M,900.00M,900.00M,,,826.00M,3.164B,1.122B,11.62B,,11.62B,8.755B,8.755B,,2.42B,1.00M,,,232.00M,24.44B,27.61B,4.929B,8.962B,,747.00M,,,-226.00M,12.92B
2017-03,193.00M,,193.00M,1.212B,1.43B,739.00M,56.00M,,,184.00M,2.716B,,,40.20B,-10.85B,29.34B,16.00M,106.00M,122.00M,3.135B,708.00M,93.00M,,258.00M,36.95B,39.66B,1.245B,172.00M,1.417B,131.00M,1.548B,315.00M,500.00M,815.00M,815.00M,,,748.00M,3.111B,1.131B,10.90B,,10.90B,8.567B,8.567B,,2.442B,1.00M,,,198.00M,23.55B,26.66B,4.92B,9.07B,,743.00M,,,-242.00M,13.00B
2016-12,423.00M,,423.00M,1.161B,1.499B,887.00M,76.00M,,,206.00M,3.254B,1.441B,2.984B,39.34B,-10.05B,29.29B,16.00M,98.00M,114.00M,3.126B,693.00M,24.00M,,254.00M,36.82B,40.07B,1.459B,31.00M,1.49B,97.00M,1.587B,388.00M,500.00M,888.00M,888.00M,,,801.00M,3.276B,1.127B,10.90B,,10.90B,8.658B,8.658B,,2.472B,3.00M,,,211.00M,23.66B,26.94B,4.936B,9.174B,,717.00M,,,-263.00M,13.13B
2016-09,450.00M,,450.00M,1.031B,1.234B,957.00M,145.00M,,,274.00M,3.209B,,,38.22B,-9.421B,28.80B,16.00M,154.00M,170.00M,3.166B,686.00M,86.00M,,243.00M,36.28B,39.49B,1.363B,214.00M,1.577B,127.00M,1.704B,255.00M,,255.00M,255.00M,,,845.00M,2.804B,1.138B,10.70B,,10.70B,8.661B,8.661B,,2.11B,13.00M,0.00,,241.00M,23.21B,26.01B,4.928B,9.48B,,714.00M,,,-218.00M,13.48B
2016-06,648.00M,,648.00M,988.00M,1.194B,905.00M,271.00M,,,319.00M,3.489B,,,37.28B,-9.271B,28.01B,16.00M,131.00M,147.00M,3.261B,696.00M,76.00M,,242.00M,35.56B,39.04B,1.308B,107.00M,1.415B,103.00M,1.518B,0.00,662.00M,662.00M,662.00M,,,940.00M,3.12B,1.095B,10.27B,,10.27B,8.545B,8.545B,,2.135B,14.00M,1.00M,,208.00M,22.61B,25.73B,4.919B,9.36B,,709.00M,,,-252.00M,13.32B
2016-03,592.00M,,592.00M,1.107B,1.289B,839.00M,89.00M,,,224.00M,3.263B,,,36.39B,-9.119B,27.27B,16.00M,112.00M,128.00M,3.258B,690.00M,133.00M,,230.00M,34.86B,38.13B,1.192B,155.00M,1.347B,123.00M,1.47B,12.00M,562.00M,574.00M,574.00M,,,898.00M,2.942B,1.109B,9.676B,,9.676B,8.377B,8.377B,,2.162B,14.00M,1.00M,,174.00M,21.86B,24.81B,4.908B,9.381B,,702.00M,,,-269.00M,13.32B
2015-12,394.00M,,394.00M,1.068B,1.57B,976.00M,135.00M,,,177.00M,3.494B,1.47B,2.351B,35.49B,-8.955B,26.54B,16.00M,102.00M,118.00M,3.214B,666.00M,77.00M,,231.00M,34.04B,37.54B,1.369B,42.00M,1.411B,96.00M,1.507B,364.00M,734.00M,1.098B,1.098B,,,970.00M,3.575B,1.094B,8.834B,,8.834B,8.166B,8.166B,,2.204B,27.00M,1.00M,,181.00M,20.89B,24.47B,4.915B,9.117B,,671.00M,,,-295.00M,13.07B
2015-09,271.00M,,271.00M,1.199B,1.407B,923.00M,180.00M,26.00M,23.00M,212.00M,3.204B,,,34.62B,-9.02B,25.60B,16.00M,122.00M,138.00M,3.18B,766.00M,91.00M,,279.00M,33.22B,36.42B,1.046B,204.00M,1.25B,123.00M,1.373B,20.00M,1.106B,1.126B,1.126B,0.00,0.00,1.105B,3.604B,1.214B,8.132B,,8.132B,7.672B,7.672B,,2.221B,23.00M,1.00M,,156.00M,19.89B,23.49B,4.894B,9.005B,,667.00M,,,-299.00M,12.93B
2015-06,597.00M,,597.00M,1.126B,1.396B,824.00M,272.00M,,0.00,383.00M,3.627B,,,33.60B,-8.796B,24.81B,16.00M,101.00M,117.00M,3.299B,767.00M,107.00M,,318.00M,32.58B,36.21B,1.156B,148.00M,1.304B,96.00M,1.40B,,625.00M,625.00M,625.00M,14.00M,14.00M,1.068B,3.107B,1.186B,8.689B,,8.689B,7.578B,7.578B,,2.245B,24.00M,1.00M,,170.00M,20.40B,23.50B,4.883B,8.764B,,663.00M,,,-277.00M,12.71B
2015-03,1.008B,,1.008B,1.437B,1.72B,749.00M,80.00M,,0.00,515.00M,4.159B,,,32.80B,-8.827B,23.98B,16.00M,87.00M,103.00M,3.343B,592.00M,108.00M,,380.00M,31.67B,35.83B,1.006B,343.00M,1.349B,119.00M,1.468B,,994.00M,994.00M,994.00M,87.00M,87.00M,1.073B,3.622B,1.181B,8.09B,,8.09B,7.436B,7.436B,,2.255B,25.00M,1.00M,,127.00M,19.65B,23.27B,4.873B,8.616B,,662.00M,,,-270.00M,12.56B
2014-12,402.00M,,402.00M,1.254B,1.749B,1.022B,108.00M,,11.00M,587.00M,4.119B,1.504B,2.018B,32.20B,-8.607B,23.59B,16.00M,84.00M,100.00M,3.299B,644.00M,77.00M,,267.00M,31.17B,35.29B,1.178B,21.00M,1.199B,95.00M,1.294B,0.00,883.00M,883.00M,883.00M,173.00M,173.00M,1.128B,3.478B,1.16B,8.215B,,8.215B,7.303B,7.303B,,2.295B,33.00M,1.00M,,112.00M,19.62B,23.10B,4.876B,8.227B,,635.00M,,,-283.00M,12.18B
2014-09,703.00M,,703.00M,1.267B,1.509B,1.025B,175.00M,,128.00M,235.00M,3.846B,,,31.33B,-8.492B,22.84B,16.00M,102.00M,118.00M,3.723B,401.00M,29.00M,,355.00M,30.30B,34.15B,1.111B,168.00M,1.279B,117.00M,1.396B,0.00,574.00M,574.00M,574.00M,,,1.166B,3.136B,1.142B,8.389B,,8.389B,7.298B,7.298B,,1.593B,37.00M,1.00M,,132.00M,18.93B,22.06B,4.873B,7.938B,,629.00M,,,-99.00M,12.08B
2014-06,570.00M,,570.00M,1.294B,1.633B,902.00M,249.00M,,104.00M,263.00M,3.794B,,,30.71B,-8.399B,22.31B,16.00M,90.00M,106.00M,3.749B,409.00M,45.00M,,348.00M,29.91B,33.70B,1.104B,93.00M,1.197B,95.00M,1.292B,0.00,1.095B,1.095B,1.095B,,,1.076B,3.463B,1.078B,7.932B,,7.932B,7.197B,7.197B,,1.606B,36.00M,1.00M,,134.00M,18.39B,21.86B,4.865B,7.681B,,630.00M,,,-73.00M,11.84B
2014-03,655.00M,,655.00M,1.71B,2.082B,746.00M,55.00M,,114.00M,158.00M,3.853B,,,30.15B,-8.219B,21.93B,16.00M,48.00M,64.00M,3.69B,418.00M,47.00M,,337.00M,29.47B,33.33B,1.116B,311.00M,1.427B,112.00M,1.539B,0.00,786.00M,786.00M,786.00M,,,1.032B,3.357B,1.087B,7.802B,,7.802B,7.148B,7.148B,,1.619B,28.00M,1.00M,,116.00M,18.17B,21.53B,4.856B,7.656B,,626.00M,,,-87.00M,11.80B
2013-12,493.00M,,493.00M,1.203B,1.612B,1.024B,89.00M,,24.00M,274.00M,3.614B,1.477B,2.094B,29.71B,-8.068B,21.64B,16.00M,33.00M,49.00M,3.627B,,163.00M,,336.00M,28.91B,32.52B,1.222B,37.00M,1.259B,95.00M,1.354B,60.00M,781.00M,841.00M,841.00M,0.00,0.00,868.00M,3.063B,1.091B,7.862B,,7.862B,7.107B,7.107B,,1.216B,31.00M,1.00M,,119.00M,17.85B,20.91B,4.861B,7.457B,,615.00M,,,-95.00M,11.61B
2013-09,448.00M,,448.00M,1.069B,1.505B,1.049B,210.00M,,31.00M,391.00M,3.741B,,,29.21B,-8.127B,21.08B,16.00M,52.00M,68.00M,3.136B,,184.00M,,351.00M,28.87B,32.61B,1.024B,83.00M,1.107B,114.00M,1.221B,0.00,1.01B,1.01B,1.01B,48.00M,48.00M,956.00M,3.235B,1.084B,7.476B,,7.476B,6.807B,6.807B,,1.984B,163.00M,1.00M,,115.00M,18.04B,21.27B,4.852B,7.439B,,615.00M,,,-338.00M,11.34B
2013-06,164.00M,,164.00M,1.133B,1.616B,916.00M,312.00M,,32.00M,433.00M,3.615B,,,28.52B,-7.954B,20.56B,16.00M,41.00M,57.00M,3.086B,,161.00M,,348.00M,28.44B,32.06B,1.046B,31.00M,1.077B,97.00M,1.174B,157.00M,808.00M,965.00M,965.00M,46.00M,46.00M,873.00M,3.058B,1.093B,7.442B,,7.442B,6.686B,6.686B,,1.989B,158.00M,1.00M,,143.00M,17.90B,20.96B,4.842B,7.231B,,615.00M,,,-362.00M,11.10B
2013-03,420.00M,,420.00M,1.457B,1.948B,754.00M,87.00M,,38.00M,332.00M,3.656B,,,27.93B,-7.807B,20.12B,16.00M,37.00M,53.00M,3.124B,,102.00M,,351.00M,28.06B,31.71B,1.078B,92.00M,1.17B,114.00M,1.284B,165.00M,1.105B,1.27B,1.27B,10.00M,10.00M,842.00M,3.406B,1.10B,7.009B,,7.009B,6.604B,6.604B,,1.994B,123.00M,1.00M,,114.00M,17.36B,20.76B,4.833B,7.08B,,612.00M,,,-355.00M,10.95B
2012-12,379.00M,,379.00M,1.069B,1.61B,1.005B,283.00M,,49.00M,405.00M,3.869B,1.545B,1.505B,27.40B,-7.666B,19.74B,16.00M,34.00M,50.00M,3.055B,,153.00M,,319.00M,27.86B,31.72B,1.304B,17.00M,1.321B,91.00M,1.412B,263.00M,1.252B,1.515B,1.515B,72.00M,72.00M,778.00M,3.777B,1.164B,6.687B,,6.687B,6.542B,6.542B,,2.161B,122.00M,1.00M,,108.00M,17.17B,20.94B,4.833B,6.942B,,607.00M,,,-388.00M,10.78B
2012-09,780.00M,0.00,780.00M,1.044B,1.259B,1.073B,274.00M,,148.00M,41.00M,3.978B,,,26.73B,-7.628B,19.10B,16.00M,57.00M,73.00M,3.007B,,144.00M,,305.00M,26.73B,30.71B,1.012B,216.00M,1.228B,119.00M,1.347B,,975.00M,975.00M,975.00M,0.00,0.00,717.00M,3.039B,513.00M,7.334B,,7.334B,6.058B,6.058B,,1.745B,112.00M,2.00M,,673.00M,16.86B,19.90B,4.836B,6.898B,,606.00M,,,-322.00M,10.81B
2012-06,765.00M,0.00,765.00M,896.00M,1.167B,965.00M,397.00M,,90.00M,391.00M,3.94B,,,26.04B,-7.455B,18.59B,16.00M,52.00M,68.00M,2.898B,,133.00M,,,26.20B,30.14B,898.00M,88.00M,986.00M,98.00M,1.084B,16.00M,972.00M,988.00M,988.00M,0.00,0.00,744.00M,2.816B,505.00M,7.336B,,7.336B,5.939B,5.939B,,1.739B,112.00M,2.00M,,681.00M,16.68B,19.50B,4.829B,6.73B,,605.00M,,,-310.00M,10.64B
2012-03,931.00M,0.00,931.00M,992.00M,1.238B,866.00M,315.00M,,,28.00M,3.961B,,,25.60B,-7.363B,18.23B,16.00M,136.00M,152.00M,2.951B,,131.00M,,260.00M,26.04B,30.00B,1.03B,59.00M,1.089B,115.00M,1.204B,29.00M,719.00M,748.00M,748.00M,258.00M,258.00M,898.00M,3.108B,497.00M,7.259B,,7.259B,5.693B,5.693B,,1.728B,20.00M,2.00M,,691.00M,16.27B,19.38B,4.823B,6.699B,,605.00M,,,-293.00M,10.62B
2011-12,834.00M,,834.00M,967.00M,1.272B,1.052B,308.00M,,0.00,289.00M,3.911B,,,25.08B,-7.231B,17.85B,16.00M,131.00M,147.00M,2.824B,,106.00M,,254.00M,25.91B,29.82B,1.184B,30.00M,1.214B,97.00M,1.311B,0.00,633.00M,633.00M,633.00M,170.00M,170.00M,843.00M,2.957B,1.132B,7.461B,,7.461B,5.458B,5.458B,,1.861B,26.00M,2.00M,,125.00M,16.59B,19.55B,4.823B,6.385B,,601.00M,,,-337.00M,10.27B
2011-09,1.242B,0.00,1.242B,1.164B,1.792B,1.105B,416.00M,,96.00M,206.00M,4.97B,,,24.62B,-7.336B,17.28B,16.00M,164.00M,180.00M,2.856B,,75.00M,,,24.94B,29.91B,1.144B,30.00M,1.174B,131.00M,1.305B,0.00,1.489B,1.489B,1.489B,,,898.00M,3.692B,482.00M,7.48B,,7.48B,5.652B,5.652B,,1.137B,31.00M,2.00M,,798.00M,16.06B,19.75B,4.818B,6.198B,,601.00M,,,-256.00M,10.16B
2011-06,159.00M,0.00,159.00M,1.128B,1.486B,924.00M,446.00M,,96.00M,246.00M,3.786B,,,24.06B,-7.162B,16.89B,16.00M,142.00M,158.00M,3.263B,,63.00M,,222.00M,25.00B,28.79B,1.018B,25.00M,1.043B,98.00M,1.141B,298.00M,1.187B,1.485B,1.485B,,,904.00M,3.53B,475.00M,7.063B,,7.063B,5.121B,5.121B,,1.147B,21.00M,2.00M,,848.00M,15.15B,18.68B,4.812B,6.077B,,601.00M,,,-179.00M,10.11B
2011-03,900.00M,0.00,900.00M,1.419B,1.963B,741.00M,102.00M,,80.00M,213.00M,4.466B,,,23.70B,-7.05B,16.65B,16.00M,135.00M,151.00M,3.16B,,50.00M,,225.00M,24.90B,29.37B,1.067B,102.00M,1.169B,153.00M,1.322B,21.00M,1.19B,1.211B,1.211B,,,950.00M,3.483B,467.00M,7.697B,,7.697B,5.00B,5.00B,,1.329B,25.00M,2.00M,,915.00M,15.93B,19.41B,0.00,5.928B,4.813B,597.00M,,,-187.00M,9.957B
2010-12,280.00M,0.00,280.00M,1.387B,2.476B,1.025B,204.00M,,43.00M,277.00M,5.051B,,,23.27B,-6.882B,16.39B,16.00M,136.00M,152.00M,3.146B,,79.00M,,227.00M,24.86B,29.91B,1.176B,49.00M,1.225B,108.00M,1.333B,64.00M,1.121B,1.185B,1.185B,0.00,0.00,967.00M,3.485B,461.00M,7.819B,,7.819B,5.129B,5.129B,,1.755B,22.00M,8.00M,,1.056B,16.78B,20.27B,0.00,5.575B,4.807B,593.00M,,,-156.00M,9.633B
2010-09,332.00M,275.00M,607.00M,1.211B,1.487B,1.185B,331.00M,,,61.00M,3.671B,,,23.46B,-6.995B,16.46B,16.00M,129.00M,145.00M,3.126B,,211.00M,,5.488B,25.43B,29.10B,992.00M,38.00M,1.03B,159.00M,1.189B,0.00,1.004B,1.004B,1.004B,76.00M,76.00M,749.00M,3.018B,,8.152B,,8.152B,4.232B,4.232B,918.00M,1.799B,,8.00M,0.00,1.42B,16.52B,19.54B,0.00,5.466B,4.796B,594.00M,,,-111.00M,9.557B
2010-03,312.00M,309.00M,621.00M,1.492B,1.778B,862.00M,100.00M,3.00M,,105.00M,3.469B,,,22.46B,-6.772B,15.68B,16.00M,133.00M,149.00M,3.367B,,214.00M,,5.893B,25.31B,28.78B,1.002B,502.00M,1.504B,149.00M,1.653B,0.00,267.00M,267.00M,267.00M,,,880.00M,2.80B,,7.906B,,7.906B,4.416B,4.416B,377.00M,1.947B,65.00M,9.00M,0.00,2.054B,16.76B,19.56B,0.00,5.022B,4.793B,590.00M,,,-24.00M,9.201B
2009-12,350.00M,0.00,350.00M,1.224B,1.635B,1.141B,161.00M,,0.00,175.00M,4.29B,,,21.42B,-6.53B,14.89B,16.00M,123.00M,139.00M,3.38B,,123.00M,,233.00M,24.39B,28.68B,1.075B,89.00M,1.164B,102.00M,1.266B,530.00M,521.00M,1.051B,1.051B,7.00M,7.00M,1.036B,3.36B,439.00M,7.645B,,7.645B,4.045B,4.045B,,2.189B,40.00M,10.00M,,1.324B,16.52B,19.88B,0.00,4.704B,4.788B,588.00M,,,-116.00M,8.788B
2009-09,130.00M,217.00M,347.00M,1.242B,1.514B,1.302B,318.00M,10.00M,,50.00M,3.541B,,,21.92B,-6.777B,15.14B,16.00M,110.00M,126.00M,3.486B,,125.00M,,6.013B,24.89B,28.43B,911.00M,167.00M,1.078B,146.00M,1.224B,243.00M,648.00M,891.00M,891.00M,,,878.00M,2.993B,,7.566B,,7.566B,4.09B,4.09B,1.432B,1.871B,60.00M,10.00M,80.00M,1.647B,16.75B,19.74B,0.00,4.523B,4.78B,587.00M,,,-31.00M,8.685B
2009-06,393.00M,259.00M,652.00M,1.271B,1.574B,1.073B,465.00M,10.00M,,60.00M,3.834B,,,21.52B,-6.62B,14.90B,16.00M,108.00M,124.00M,3.508B,,260.00M,,6.135B,24.93B,28.76B,941.00M,206.00M,1.147B,100.00M,1.247B,333.00M,746.00M,1.079B,1.079B,,,995.00M,3.321B,,7.805B,,7.805B,4.046B,4.046B,1.586B,1.845B,,10.00M,80.00M,1.678B,17.04B,20.36B,0.00,4.204B,4.772B,587.00M,,,0.00,8.389B
2009-03,1.232B,207.00M,1.439B,1.285B,1.806B,846.00M,81.00M,15.00M,,91.00M,4.278B,,,21.17B,-6.531B,14.64B,,,104.00M,3.66B,,290.00M,,6.329B,25.02B,29.30B,925.00M,387.00M,1.312B,160.00M,1.472B,0.00,1.055B,1.055B,1.055B,,,1.071B,3.598B,,7.859B,,7.859B,3.925B,3.925B,1.939B,1.932B,,10.00M,80.00M,1.76B,17.50B,21.09B,0.00,4.049B,4.764B,583.00M,,,-31.00M,8.199B
2008-12,321.00M,,321.00M,1.398B,1.852B,1.255B,,,,571.00M,3.999B,,,20.82B,-6.385B,14.43B,,,69.00M,,,,,10.55B,25.05B,29.05B,1.227B,,1.227B,1.131B,2.358B,,,1.052B,1.052B,,,,3.41B,,8.005B,,8.005B,3.865B,3.865B,,,,,,,11.87B,21.20B,80.00M,3.773B,4.756B,581.00M,80.00M,,-177.00M,7.851B
2008-09,229.00M,,229.00M,1.37B,1.633B,1.383B,,,,821.00M,4.066B,,,20.31B,-6.304B,14.01B,,,59.00M,,,,,9.923B,23.99B,28.05B,1.224B,,1.224B,1.364B,2.588B,,,1.039B,1.039B,,,,3.627B,,8.012B,,8.012B,3.811B,3.811B,,,,,80.00M,,11.90B,20.38B,0.00,3.701B,4.753B,579.00M,,,-196.00M,7.679B
