,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,175.50M,,175.50M,2.574B,2.692B,483.30M,1.032B,1.542B,140.00M,,40.50M,4.597B,0.0,230.80M,1.241B,5.438B,,418.00M,,7.328B,-3.548B,3.780B,7.303B,4.012B,11.32B,,104.40M,342.40M,15.59B,20.18B,1.229B,118.30M,272.90M,,1.620B,78.20M,1.698B,35.70M,336.40M,645.70M,1.018B,,1.018B,88.20M,88.20M,681.30M,3.983B,6.398B,,6.398B,652.80M,652.80M,1.028B,68.90M,453.40M,8.532B,12.51B,355.50M,8.097B,5.496B,4.790B,,,,,-1.558B,7.601B
2017-12,,211.40M,,211.40M,2.571B,2.701B,438.70M,974.90M,1.446B,153.50M,,53.50M,4.594B,0.0,224.10M,1.207B,5.266B,,438.70M,,7.136B,-3.429B,3.707B,7.167B,4.018B,11.18B,0.00,105.40M,330.30M,15.37B,19.96B,1.177B,118.60M,313.50M,,1.609B,50.70M,1.660B,14.70M,0.00,549.70M,564.40M,,564.40M,79.00M,79.00M,622.50M,3.475B,6.758B,,6.758B,635.40M,635.40M,1.026B,70.20M,415.30M,8.834B,12.31B,354.70M,8.012B,5.436B,4.575B,,,,,-1.643B,7.584B
2017-09,,209.10M,,209.10M,2.533B,2.689B,461.00M,1.005B,1.509B,128.20M,,50.10M,4.614B,0.0,227.40M,1.174B,5.199B,,422.00M,,7.023B,-3.406B,3.617B,7.154B,4.040B,11.19B,0.00,105.30M,290.10M,15.24B,19.86B,1.116B,106.90M,168.70M,,1.392B,70.40M,1.462B,24.20M,238.00M,810.80M,1.073B,,1.073B,,,711.90M,3.757B,6.484B,,6.484B,1.030B,1.030B,983.70M,76.90M,302.50M,8.801B,12.56B,354.20M,7.598B,5.398B,4.563B,,,,,-1.564B,7.222B
2017-06,,260.70M,,260.70M,2.447B,2.578B,447.60M,986.50M,1.470B,132.60M,,46.40M,4.532B,0.0,216.60M,1.123B,5.056B,,390.90M,,6.786B,-3.289B,3.497B,7.004B,4.062B,11.07B,1.30M,102.00M,292.30M,14.99B,19.52B,1.124B,107.20M,161.10M,,1.392B,48.20M,1.440B,41.80M,918.00M,810.80M,1.771B,,1.771B,,,662.30M,4.318B,5.909B,,5.909B,1.029B,1.029B,1.040B,69.00M,238.20M,8.216B,12.53B,354.10M,7.313B,5.376B,4.479B,,,,,-1.644B,6.920B
2017-03,,212.10M,,212.10M,2.358B,2.457B,425.40M,956.60M,1.428B,124.30M,,48.60M,4.307B,0.0,215.10M,1.134B,4.924B,,347.00M,,6.620B,-3.195B,3.425B,6.948B,4.086B,11.03B,36.60M,102.50M,288.50M,14.92B,19.22B,1.039B,107.30M,189.70M,,1.336B,73.10M,1.409B,15.50M,874.60M,809.30M,1.699B,,1.699B,,,633.10M,4.205B,5.842B,,5.842B,1.076B,1.076B,1.014B,69.10M,207.00M,8.139B,12.34B,353.50M,7.123B,5.284B,4.315B,,,,,-1.636B,6.809B
2016-12,,327.40M,,327.40M,2.341B,2.446B,408.40M,860.00M,1.319B,98.30M,,41.80M,4.279B,0.0,211.00M,1.121B,4.766B,,344.10M,,6.443B,-3.078B,3.365B,6.383B,3.818B,10.20B,21.50M,92.30M,344.00M,14.05B,18.33B,983.20M,108.00M,191.10M,,1.282B,37.30M,1.320B,29.90M,0.00,511.40M,541.30M,,541.30M,,,642.20M,3.019B,6.146B,,6.146B,970.20M,970.20M,1.019B,69.80M,204.80M,8.340B,11.36B,352.60M,6.975B,5.271B,3.984B,,,,,-1.713B,6.901B
2016-09,,180.60M,,180.60M,2.350B,2.470B,415.10M,910.40M,1.342B,111.40M,0.00,41.90M,4.172B,0.0,216.10M,1.086B,4.708B,,355.60M,,6.366B,-3.073B,3.293B,6.516B,3.914B,10.43B,5.60M,95.70M,348.30M,14.21B,18.38B,1.023B,102.00M,197.30M,,1.322B,70.30M,1.392B,12.80M,101.50M,1.457B,1.571B,,1.571B,,,704.70M,4.174B,5.091B,,5.091B,1.031B,1.031B,914.50M,72.20M,226.40M,7.263B,11.44B,352.30M,6.717B,5.236B,3.983B,,,,,-1.452B,6.870B
2016-06,,167.40M,,167.40M,2.318B,2.435B,413.50M,907.60M,1.332B,104.80M,0.00,33.90M,4.095B,0.0,226.20M,1.046B,4.595B,,359.60M,,6.227B,-2.970B,3.257B,6.504B,3.978B,10.48B,16.10M,86.00M,253.60M,14.13B,18.22B,977.80M,102.10M,188.90M,,1.269B,48.30M,1.317B,20.70M,273.40M,1.456B,1.750B,,1.750B,,,711.50M,4.238B,5.097B,,5.097B,1.023B,1.023B,968.40M,69.10M,227.80M,7.317B,11.56B,351.60M,6.445B,5.181B,3.884B,,,,,-1.493B,6.600B
2016-03,,268.50M,,268.50M,2.249B,2.372B,423.80M,957.40M,1.386B,115.20M,0.00,32.50M,4.195B,0.0,223.10M,924.20M,4.453B,,372.50M,81.80M,6.055B,-2.828B,3.227B,6.475B,4.031B,10.51B,,91.10M,293.20M,14.15B,18.34B,986.10M,102.90M,152.70M,,1.242B,74.00M,1.316B,21.60M,284.50M,1.450B,1.757B,,1.757B,,,651.70M,4.160B,5.083B,,5.083B,1.106B,1.106B,1.112B,70.70M,228.60M,7.530B,11.69B,351.00M,6.288B,5.088B,3.610B,,,,,-1.536B,6.581B
2015-12,,92.80M,,92.80M,2.390B,2.528B,440.90M,886.50M,1.388B,94.60M,250.00M,35.40M,4.448B,0.0,223.70M,996.00M,4.365B,,371.10M,,5.956B,-2.727B,3.228B,6.491B,4.109B,10.60B,42.70M,58.30M,236.90M,14.19B,18.64B,1.050B,103.60M,162.70M,,1.316B,24.20M,1.340B,30.90M,605.00M,1.569B,2.205B,,2.205B,,,710.00M,4.764B,4.260B,,4.260B,1.281B,1.281B,1.117B,70.50M,238.40M,6.897B,11.66B,350.30M,6.160B,5.086B,3.264B,,,,,-1.423B,6.910B
2015-09,,184.80M,,184.80M,2.45B,2.570B,444.80M,984.90M,1.439B,109.10M,235.00M,44.60M,4.642B,0.0,223.60M,925.70M,4.374B,,362.70M,83.80M,5.970B,-2.758B,3.212B,6.499B,4.172B,10.67B,,73.30M,259.00M,14.24B,18.88B,1.034B,97.50M,211.10M,,1.343B,65.80M,1.409B,35.60M,686.80M,286.70M,1.009B,,1.009B,,,673.50M,3.557B,5.754B,,5.754B,1.356B,1.356B,1.147B,59.40M,143.90M,8.484B,12.04B,349.50M,6.055B,5.023B,3.240B,,,,,-1.405B,6.783B
2015-06,,310.60M,,310.60M,2.495B,2.723B,451.90M,1.015B,1.463B,111.70M,164.60M,69.60M,4.971B,0.0,208.10M,880.70M,4.300B,,318.40M,83.10M,5.791B,-2.667B,3.123B,6.513B,4.231B,10.74B,,87.70M,268.50M,14.25B,19.22B,961.00M,97.60M,152.90M,,1.212B,23.70M,1.235B,63.00M,1.332B,790.40M,2.185B,,2.185B,,,600.50M,4.446B,5.124B,,5.124B,1.405B,1.405B,1.140B,67.90M,142.80M,7.892B,12.34B,349.30M,5.895B,5.002B,3.239B,,,,,-1.195B,6.812B
2015-03,,237.90M,,237.90M,2.547B,2.678B,444.00M,1.064B,1.503B,123.40M,172.80M,72.00M,4.922B,0.0,211.40M,864.00M,4.232B,,296.80M,82.40M,5.686B,-2.571B,3.115B,6.529B,4.327B,10.86B,,86.10M,254.20M,14.33B,19.25B,950.60M,99.60M,171.50M,,1.222B,57.90M,1.280B,31.40M,1.250B,515.90M,1.798B,,1.798B,,,608.20M,4.121B,5.409B,,5.409B,1.424B,1.424B,1.141B,65.00M,142.50M,8.195B,12.32B,348.70M,5.690B,4.881B,2.862B,,,,,-1.187B,6.871B
2014-12,,209.60M,,209.60M,2.627B,2.760B,447.30M,1.044B,1.467B,104.70M,183.20M,71.50M,4.853B,0.0,199.90M,759.90M,4.220B,,277.50M,84.60M,5.541B,-2.491B,3.051B,6.717B,4.457B,11.17B,,71.50M,262.60M,14.57B,19.43B,1.162B,99.10M,211.20M,,1.473B,18.90M,1.492B,62.10M,887.80M,754.90M,1.705B,,1.705B,,,611.10M,4.368B,4.843B,,4.843B,1.416B,1.416B,1.188B,66.20M,143.30M,7.677B,12.05B,347.70M,5.555B,4.874B,2.510B,,,,,-951.90M,7.316B
2014-09,,197.80M,,197.80M,2.694B,2.694B,457.70M,1.02B,1.464B,,166.10M,349.10M,4.872B,0.0,193.00M,698.10M,4.149B,,398.20M,86.70M,5.525B,-2.547B,2.978B,6.849B,4.583B,11.43B,,73.20M,241.40M,14.81B,19.69B,1.047B,82.50M,203.60M,,1.333B,65.30M,1.399B,36.80M,630.20M,1.256B,1.923B,,1.923B,,,586.40M,4.455B,4.874B,,4.874B,1.583B,1.583B,785.00M,68.40M,135.90M,7.464B,11.92B,347.20M,5.319B,4.833B,2.423B,,,,,-377.30M,7.698B
2014-06,,187.00M,,187.00M,2.637B,2.637B,438.90M,994.40M,1.414B,,167.30M,366.20M,4.772B,0.0,194.20M,689.60M,4.072B,,363.60M,87.80M,5.407B,-2.468B,2.939B,6.863B,4.636B,11.50B,,79.70M,234.30M,14.84B,19.61B,1.004B,82.40M,151.50M,,1.238B,25.30M,1.264B,41.90M,792.90M,754.90M,1.590B,,1.590B,,,620.70M,3.967B,5.539B,,5.539B,1.621B,1.621B,797.40M,57.20M,137.20M,8.187B,12.15B,346.70M,5.036B,4.791B,2.421B,,,,,-350.80M,7.403B
2014-03,,300.30M,,300.30M,2.520B,2.520B,421.20M,963.90M,1.367B,,170.80M,345.20M,4.703B,0.0,190.80M,674.00M,3.995B,,313.40M,89.80M,5.263B,-2.374B,2.889B,6.857B,4.701B,11.56B,,78.50M,245.00M,14.86B,19.56B,951.20M,82.70M,193.50M,,1.227B,61.00M,1.288B,55.80M,696.60M,755.00M,1.507B,,1.507B,,,633.90M,3.904B,5.697B,,5.697B,1.660B,1.660B,795.90M,62.60M,147.00M,8.386B,12.29B,346.40M,4.807B,4.757B,2.327B,,,,,-373.30M,7.210B
2013-12,,339.20M,,339.20M,2.568B,2.568B,391.00M,953.30M,1.322B,,163.00M,306.30M,4.698B,0.0,191.40M,666.00M,3.916B,,291.60M,87.90M,5.153B,-2.271B,2.882B,6.863B,4.785B,11.65B,,86.20M,231.50M,14.94B,19.64B,1.022B,82.80M,196.20M,86.40M,1.387B,19.60M,1.407B,50.90M,304.80M,505.30M,861.00M,,861.00M,,,649.70M,3.489B,6.044B,,6.044B,1.661B,1.661B,795.60M,65.10M,147.80M,8.738B,12.23B,345.10M,4.699B,4.692B,2.087B,,,,,-305.20M,7.344B
2013-09,,394.40M,,394.40M,2.489B,2.489B,403.70M,989.00M,1.378B,,196.60M,338.00M,4.796B,0.0,182.80M,630.60M,3.808B,,289.70M,86.40M,4.997B,-2.211B,2.786B,6.813B,4.851B,11.66B,,107.60M,247.10M,14.82B,19.61B,926.60M,69.30M,175.30M,83.90M,1.255B,71.70M,1.327B,45.00M,497.30M,170.90M,713.20M,,713.20M,,,654.30M,3.201B,6.537B,,6.537B,1.574B,1.574B,1.242B,69.50M,129.10M,9.567B,12.77B,344.60M,4.495B,4.647B,2.010B,,,,,-700.40M,6.776B
2013-06,,375.20M,,375.20M,2.436B,2.436B,405.90M,990.40M,1.373B,,203.60M,309.80M,4.698B,0.0,184.50M,636.00M,3.723B,,290.80M,86.40M,4.921B,-2.142B,2.779B,6.862B,4.945B,11.81B,,74.20M,285.70M,14.96B,19.65B,912.00M,69.40M,172.90M,83.90M,1.238B,29.00M,1.267B,61.70M,642.80M,168.40M,872.90M,,872.90M,,,653.30M,3.246B,6.635B,,6.635B,1.570B,1.570B,1.232B,71.20M,144.90M,9.670B,12.92B,344.10M,4.256B,4.610B,1.960B,,,,,-582.00M,6.668B
2013-03,,824.30M,,824.30M,2.182B,2.182B,348.60M,816.50M,1.145B,,201.30M,250.40M,4.603B,0.0,163.50M,566.20M,3.453B,,247.60M,79.80M,4.510B,-2.095B,2.416B,5.908B,4.022B,9.931B,,83.60M,255.60M,12.69B,17.30B,845.00M,68.00M,189.80M,,1.103B,62.60M,1.165B,53.70M,275.00M,168.40M,497.10M,,497.10M,,,616.30M,2.684B,5.737B,,5.737B,1.190B,1.190B,1.219B,70.80M,154.80M,8.380B,11.06B,343.60M,4.112B,4.310B,2.095B,,,,,-509.20M,6.162B
2012-12,,1.158B,,1.158B,2.225B,2.225B,338.30M,774.30M,1.088B,,205.20M,215.80M,4.892B,0.0,158.90M,562.10M,3.479B,,207.20M,80.50M,4.488B,-2.079B,2.409B,5.920B,4.044B,9.965B,,91.80M,207.80M,12.68B,17.57B,879.70M,0.00,174.70M,,1.054B,19.50M,1.074B,44.50M,593.70M,167.60M,805.80M,,805.80M,,,654.20M,3.053B,5.736B,,5.736B,1.174B,1.174B,1.220B,83.10M,147.20M,8.360B,11.41B,342.10M,4.021B,4.249B,2.075B,,,,,-459.70M,6.077B
2012-09,,324.00M,,324.00M,2.199B,2.199B,362.90M,758.80M,1.104B,,186.30M,259.80M,4.073B,0.0,154.90M,531.20M,3.408B,,220.90M,79.30M,4.394B,-2.06B,2.334B,5.894B,4.103B,9.997B,,46.70M,249.50M,12.65B,16.72B,858.60M,58.60M,138.00M,,1.055B,68.60M,1.124B,64.90M,560.30M,5.80M,631.00M,,631.00M,,,604.30M,2.819B,5.387B,,5.387B,1.262B,1.262B,997.00M,80.80M,147.10M,7.878B,10.70B,340.10M,3.857B,4.162B,2.060B,,-353.60M,,,-353.60M,5.945B
2012-06,,304.90M,,304.90M,2.077B,2.077B,352.10M,738.40M,1.072B,,189.50M,265.50M,3.908B,0.0,149.10M,488.40M,3.286B,,239.90M,78.00M,4.242B,-1.957B,2.285B,5.822B,4.141B,9.963B,,,309.10M,12.56B,16.47B,785.10M,,58.10M,,843.20M,,843.20M,117.10M,1.322B,6.20M,1.445B,,1.445B,,,761.20M,3.451B,4.879B,,4.879B,,,994.00M,80.40M,1.439B,7.312B,10.76B,339.70M,3.678B,4.137B,2.059B,,,,,-473.70M,5.622B
2012-03,,354.00M,,354.00M,2.049B,2.049B,353.50M,757.30M,1.087B,,183.20M,286.20M,3.960B,0.0,161.90M,500.10M,3.352B,,210.60M,79.10M,4.304B,-1.972B,2.332B,5.947B,4.238B,10.18B,,107.60M,255.70M,12.90B,16.86B,805.10M,58.50M,196.50M,,1.060B,59.50M,1.120B,130.30M,1.210B,6.90M,1.347B,,1.347B,,,630.30M,3.507B,4.911B,,4.911B,1.241B,1.241B,1.165B,71.90M,143.60M,7.55B,11.06B,337.50M,3.551B,4.050B,1.956B,,,,,-249.50M,5.733B
2011-12,,1.844B,,1.844B,2.095B,2.095B,351.40M,745.50M,1.070B,,164.00M,223.50M,5.396B,0.0,158.80M,483.80M,3.274B,,182.70M,77.30M,4.177B,-1.882B,2.295B,5.855B,4.275B,10.13B,,61.90M,278.60M,12.79B,18.18B,815.70M,60.00M,155.80M,,1.032B,51.00M,1.082B,100.30M,916.10M,6.60M,1.023B,,1.023B,,,563.60M,3.166B,6.613B,,6.613B,1.249B,1.249B,1.173B,74.40M,160.70M,9.277B,12.44B,336.10M,3.560B,3.981B,1.865B,,,,,-344.90M,5.667B
2011-09,,207.30M,,207.30M,1.143B,1.143B,243.80M,283.30M,504.90M,,86.50M,149.20M,2.091B,0.0,36.10M,307.80M,2.645B,,71.80M,77.30M,3.138B,-1.920B,1.218B,1.504B,418.80M,1.923B,,112.20M,159.90M,3.415B,5.506B,413.40M,40.60M,85.30M,,539.30M,16.40M,555.70M,24.60M,305.00M,7.20M,336.80M,,336.80M,,,425.20M,1.618B,700.20M,,700.20M,71.30M,71.30M,494.80M,3.90M,120.00M,1.417B,3.035B,335.10M,3.531B,1.405B,2.643B,,-160.70M,,,-160.70M,2.467B
2011-06,,163.20M,,163.20M,1.107B,1.107B,235.60M,281.90M,495.50M,,92.80M,136.00M,1.994B,0.0,35.80M,305.60M,2.604B,,56.70M,77.90M,3.080B,-1.867B,1.213B,1.503B,429.80M,1.933B,,106.40M,159.60M,3.413B,5.407B,400.50M,40.60M,85.70M,,526.80M,14.60M,541.40M,34.70M,361.00M,7.80M,403.50M,,403.50M,,,423.40M,1.640B,703.30M,,703.30M,71.50M,71.50M,494.40M,4.20M,118.60M,1.425B,3.065B,334.90M,3.418B,1.388B,2.643B,,-159.50M,,,-159.50M,2.338B
2011-03,,151.40M,,151.40M,1.043B,1.043B,225.60M,276.60M,480.20M,,82.20M,132.50M,1.889B,0.0,34.80M,299.60M,2.520B,,57.20M,76.10M,2.988B,-1.796B,1.192B,1.465B,439.70M,1.905B,,115.10M,157.30M,3.373B,5.262B,359.70M,40.60M,100.80M,,501.10M,7.00M,508.10M,39.40M,467.00M,,506.40M,,506.40M,,,378.00M,1.650B,683.70M,,683.70M,68.40M,68.40M,488.30M,4.10M,157.00M,1.397B,3.048B,333.70M,3.332B,1.342B,2.592B,,,,,-205.20M,2.211B
2010-12,,242.30M,,242.30M,999.60M,999.60M,216.10M,254.20M,447.60M,,78.90M,101.50M,1.870B,0.0,28.40M,279.90M,2.440B,,48.90M,75.90M,2.873B,-1.724B,1.148B,1.329B,282.50M,1.612B,,112.00M,128.70M,3.002B,4.872B,349.30M,40.70M,85.90M,,475.90M,317.40M,793.30M,32.40M,156.80M,,189.20M,,189.20M,,,342.30M,1.325B,656.40M,,656.40M,65.30M,65.30M,565.80M,3.80M,126.90M,1.414B,2.739B,333.10M,3.279B,1.310B,2.521B,,,,,-271.90M,2.129B
2010-06,,121.30M,,121.30M,950.10M,950.10M,208.80M,254.80M,441.30M,,84.50M,138.10M,1.735B,0.0,26.80M,270.40M,672.50M,1.691B,37.60M,74.20M,2.772B,-1.648B,1.124B,1.272B,277.80M,1.550B,,90.30M,155.90M,2.928B,4.664B,324.00M,36.20M,66.70M,,426.90M,246.00M,672.90M,48.00M,121.40M,157.30M,326.70M,,326.70M,,,340.30M,1.340B,637.00M,,637.00M,70.50M,70.50M,566.00M,3.30M,188.80M,1.462B,2.802B,331.20M,3.050B,1.233B,2.375B,,,,,-380.60M,1.858B
2010-03,,85.30M,,85.30M,950.20M,950.20M,217.20M,274.30M,468.90M,,86.20M,127.70M,1.718B,0.0,28.10M,345.00M,2.372B,,74.60M,,2.82B,-1.678B,1.142B,1.342B,295.60M,1.638B,,109.10M,153.00M,3.051B,4.769B,316.00M,36.60M,30.90M,-36.60M,346.90M,231.90M,578.80M,203.40M,,157.70M,361.10M,,361.10M,,,430.10M,1.37B,677.90M,,677.90M,80.20M,80.20M,581.20M,7.80M,191.40M,1.531B,2.901B,330.30M,2.957B,1.199B,2.318B,,,,,-307.70M,1.861B
