,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2014-09,3.299B,,-9.00M,13.00M,,4.00M,4.539B,4.539B,904.00M,,,-1.394B,-703.00M,1.896B,-69.00M,,,1.124B,8.724B,-5.18B,,-42.00M,-1.996B,-1.00M,-7.279B,-6.868B,-150.00M,-7.018B,7.00M,-221.00M,-214.00M,,,,-2.386B,-2.386B,-674.00M,-10.29B,11.30B,-8.847B,2.458B,7.00M,-134.00M,-6.884B,-221.00M
2014-06,3.621B,,-1.243B,-75.00M,,-1.318B,4.55B,4.55B,-32.00M,,,-324.00M,-68.00M,1.869B,-431.00M,,,1.37B,8.07B,-5.933B,,4.377B,0.00,,-1.619B,3.936B,151.00M,4.087B,14.00M,-159.00M,-145.00M,,,,-2.386B,-2.386B,-313.00M,1.243B,3.611B,7.694B,11.30B,14.00M,5.711B,-1.624B,-159.00M
2014-03,3.734B,,-122.00M,17.00M,,-105.00M,4.617B,4.617B,578.00M,,,-453.00M,-498.00M,1.025B,-340.00M,,,187.00M,8.799B,-5.716B,,-311.00M,0.00,,-6.082B,1.12B,-17.00M,1.103B,13.00M,-1.237B,-1.224B,,,,-2.398B,-2.398B,74.00M,-2.445B,3.339B,272.00M,3.611B,13.00M,2.987B,-1.884B,-1.237B
2013-12,7.164B,,-220.00M,-92.00M,,-7.896B,4.68B,4.68B,3.84B,,,524.00M,-889.00M,268.00M,-75.00M,,,-696.00M,7.917B,-5.379B,,989.00M,0.00,-3.00M,-4.464B,4.853B,-1.831B,3.022B,6.00M,-1.894B,-1.888B,,,,-2.371B,-2.371B,-248.00M,-1.485B,1.371B,1.968B,3.339B,6.00M,8.589B,-5.567B,-1.894B
2013-09,3.905B,,-12.00M,-34.00M,,-46.00M,4.615B,4.615B,1.424B,,,-450.00M,-150.00M,-80.00M,-264.00M,,,-494.00M,9.168B,-5.90B,,-2.822B,0.00,0.00,-8.795B,-308.00M,608.00M,300.00M,4.00M,-1.917B,-1.913B,,,,-2.395B,-2.395B,458.00M,-3.55B,4.548B,-3.177B,1.371B,4.00M,1.851B,-1.551B,-1.917B
2013-06,3.88B,,-249.00M,-13.00M,,-262.00M,4.571B,4.571B,648.00M,,,-172.00M,-585.00M,1.335B,-80.00M,,,670.00M,9.512B,-5.413B,,984.00M,,-5.00M,-4.508B,1.509B,-505.00M,1.004B,48.00M,-3.306B,-3.258B,,,,-2.428B,-2.428B,351.00M,-4.331B,3.875B,673.00M,4.548B,48.00M,1.269B,-265.00M,-3.306B
2013-03,3.773B,,-11.00M,-185.00M,,-196.00M,4.529B,4.529B,433.00M,,,-86.00M,295.00M,-1.675B,864.00M,,,-516.00M,8.199B,-4.252B,,-1.04B,,1.00M,-5.357B,3.084B,1.748B,4.832B,56.00M,-5.911B,-5.855B,,,,-2.502B,-2.502B,-310.00M,-3.835B,4.868B,-993.00M,3.875B,56.00M,6.623B,-1.791B,-5.911B
2012-12,-3.779B,,8.00M,-132.00M,,9.87B,4.572B,4.572B,-1.694B,,,673.00M,-794.00M,1.954B,-564.00M,,,596.00M,10.52B,-5.846B,,-272.00M,-246.00M,1.00M,-6.429B,5.86B,1.00M,5.861B,17.00M,-4.378B,-4.361B,,,,-2.503B,-2.503B,-9.00M,-1.012B,1.789B,3.079B,4.868B,17.00M,6.552B,-691.00M,-4.378B
2012-09,3.701B,,-29.00M,-128.00M,,-157.00M,4.512B,4.512B,4.08B,,,-322.00M,-111.00M,-748.00M,113.00M,,,-746.00M,11.33B,-4.877B,,-67.00M,187.00M,-2.00M,-4.826B,-1.007B,0.00,-1.007B,84.00M,-3.751B,-3.667B,,,,-2.551B,-2.551B,632.00M,-6.593B,1.877B,-88.00M,1.789B,84.00M,0.00,-1.007B,-3.751B
2012-06,3.965B,,11.00M,-132.00M,,-121.00M,4.499B,4.499B,-976.00M,,,-193.00M,-533.00M,2.247B,348.00M,,,2.062B,9.48B,-4.481B,,740.00M,119.00M,-1.00M,-3.688B,-882.00M,0.00,-882.00M,158.00M,-2.557B,-2.399B,,,,-2.581B,-2.581B,-404.00M,-6.266B,2.351B,-474.00M,1.877B,158.00M,3.949B,-4.831B,-2.557B
2012-03,3.652B,,-9.00M,-223.00M,,-232.00M,4.56B,4.56B,337.00M,,,-338.00M,73.00M,-1.655B,1.12B,,,-462.00M,7.845B,-4.261B,,-417.00M,5.00M,1.00M,-4.737B,782.00M,0.00,782.00M,218.00M,-2.066B,-1.848B,,,,-2.606B,-2.606B,-130.00M,-3.802B,3.045B,-694.00M,2.351B,218.00M,2.986B,-2.204B,-2.066B
2011-12,-6.628B,,-32.00M,-84.00M,,6.164B,4.573B,4.573B,-2.013B,2.91B,,2.394B,-591.00M,2.192B,-1.739B,,,-138.00M,7.593B,-5.485B,,-713.00M,17.00M,-1.00M,-6.225B,-6.275B,-33.00M,-6.308B,21.00M,0.00,21.00M,,,,-2.545B,-2.545B,-17.00M,-8.849B,10.76B,-7.481B,3.045B,21.00M,1.00M,-6.309B,0.00
2011-09,3.686B,,-13.00M,-122.00M,,-135.00M,4.618B,4.618B,2.124B,,,31.00M,-52.00M,-496.00M,335.00M,,,-213.00M,10.39B,-5.22B,,-322.00M,0.00,9.00M,-5.575B,4.942B,-17.00M,4.925B,17.00M,0.00,17.00M,,,,-2.545B,-2.545B,-284.00M,2.113B,3.831B,6.931B,10.76B,17.00M,4.95B,-25.00M,0.00
2011-06,3.658B,,-44.00M,-184.00M,,-228.00M,4.602B,4.602B,2.087B,41.00M,,-344.00M,-593.00M,-728.00M,299.00M,,,-1.022B,9.025B,-5.272B,,11.00M,-82.00M,10.00M,-5.375B,2.959B,-1.567B,1.392B,181.00M,0.00,181.00M,,,,-2.542B,-2.542B,-241.00M,-1.21B,1.391B,2.44B,3.831B,181.00M,2.985B,-1.593B,0.00
2011-03,3.468B,,,-233.00M,,-233.00M,4.584B,4.584B,731.00M,-41.00M,,-540.00M,72.00M,-1.309B,708.00M,,,-529.00M,7.732B,-4.133B,,-43.00M,127.00M,9.00M,-4.075B,-1.264B,-36.00M,-1.30B,18.00M,0.00,18.00M,,,,-2.54B,-2.54B,119.00M,-3.703B,1.437B,-46.00M,1.391B,18.00M,0.00,-1.30B,0.00
2010-12,1.159B,,,171.00M,,1.89B,4.907B,4.907B,904.00M,831.00M,,-764.00M,-367.00M,1.631B,-680.00M,,,584.00M,9.872B,-6.36B,,-282.00M,337.00M,7.00M,-6.493B,-4.014B,1.625B,-2.389B,26.00M,,26.00M,,,,-2.48B,-2.48B,-117.00M,-4.96B,3.246B,-1.581B,1.201B,26.00M,1.592B,-3.981B,
2010-09,11.62B,,,-230.00M,,-230.00M,4.873B,4.873B,-6.433B,-117.00M,,-652.00M,-128.00M,202.00M,106.00M,,,180.00M,9.539B,-5.314B,,1.746B,108.00M,7.00M,-3.651B,1.616B,-3.313B,-1.697B,19.00M,,19.00M,,,,-2.476B,-2.476B,135.00M,-4.019B,1.377B,1.869B,3.246B,19.00M,-1.045B,-652.00M,
2010-06,4.085B,,,-256.00M,,-256.00M,4.819B,4.819B,640.00M,-679.00M,,367.00M,-1.00M,-1.02B,297.00M,,,-724.00M,8.573B,-4.708B,,-2.363B,-525.00M,8.00M,-7.783B,-2.149B,2.957B,808.00M,2.00M,,2.00M,,,,-2.481B,-2.481B,-290.00M,-1.961B,2.548B,-1.171B,1.377B,2.00M,2.957B,-2.149B,
2010-03,2.54B,,,-288.00M,,-288.00M,4.78B,4.78B,1.609B,50.00M,,-247.00M,395.00M,-2.043B,92.00M,,,-1.556B,7.238B,-3.148B,,-177.00M,-20.00M,7.00M,-3.522B,-2.512B,323.00M,-2.189B,3.00M,,3.00M,,,,-2.479B,-2.479B,-244.00M,-4.909B,3.741B,-1.193B,2.548B,3.00M,323.00M,-2.512B,
2009-12,2.681B,,,247.00M,,462.00M,4.901B,4.901B,-591.00M,-1.481B,,-699.00M,-220.00M,2.494B,-348.00M,,,1.926B,8.961B,-5.52B,,-717.00M,44.00M,33.00M,-6.347B,-2.483B,8.00M,-2.475B,20.00M,,20.00M,,,,-2.418B,-2.418B,-98.00M,-4.971B,6.098B,-2.357B,3.741B,20.00M,0.00,-2.475B,
2009-09,3.269B,,,-174.00M,,-174.00M,4.881B,4.881B,1.73B,414.00M,,-301.00M,-439.00M,503.00M,-211.00M,,,-147.00M,9.672B,-4.017B,,-123.00M,7.00M,5.00M,-4.313B,-4.133B,-3.00M,-4.136B,4.00M,,4.00M,,,,-2.418B,-2.418B,14.00M,-6.536B,7.275B,-1.177B,6.098B,4.00M,0.00,-4.136B,
2009-06,3.276B,,,-293.00M,,-293.00M,4.847B,4.847B,620.00M,476.00M,,-535.00M,-404.00M,-123.00M,-7.00M,,,-534.00M,7.857B,-3.844B,,-37.00M,-11.00M,9.00M,-4.066B,1.936B,-6.00M,1.93B,3.00M,,3.00M,,,,-2.418B,-2.418B,222.00M,-263.00M,3.812B,3.528B,7.275B,3.00M,2.711B,-781.00M,
2009-03,3.201B,,,-199.00M,,-199.00M,4.886B,4.886B,126.00M,591.00M,,719.00M,573.00M,-1.931B,-51.00M,,,-1.409B,7.915B,-3.173B,,181.00M,15.00M,5.00M,-3.157B,4.189B,-3.909B,280.00M,1.00M,,1.00M,,,,-2.416B,-2.416B,-603.00M,-2.738B,1.792B,2.02B,3.812B,1.00M,5.45B,-5.17B,
2008-12,-13.01B,,,,,,4.834B,4.834B,-8.265B,519.00M,15.00M,-848.00M,122.00M,1.502B,1.238B,,,2.862B,10.84B,-5.243B,,-715.00M,171.00M,12.00M,-5.979B,626.00M,-3.171B,-2.545B,2.00M,0.00,2.00M,,,,-2.357B,-2.357B,240.00M,-4.66B,1.594B,198.00M,1.727B,2.00M,-1.679B,-866.00M,0.00
2008-09,3.289B,,,,,,4.978B,4.978B,2.679B,-2.00M,-1.00M,-792.00M,-821.00M,-841.00M,342.00M,,,-1.32B,9.268B,-5.068B,,822.00M,406.00M,-8.00M,-4.046B,-1.538B,-1.402B,-2.94B,7.00M,0.00,7.00M,,,,-2.348B,-2.348B,22.00M,-5.259B,1.631B,-37.00M,1.594B,7.00M,-1.402B,-1.538B,0.00
2008-06,3.843B,,,,,,4.958B,4.958B,815.00M,46.00M,-7.00M,-513.00M,-626.00M,-463.00M,115.00M,,,-974.00M,8.548B,-5.142B,,-5.849B,-204.00M,8.00M,-11.37B,5.96B,804.00M,6.764B,207.00M,-2.006B,-1.799B,,,,-2.38B,-2.38B,-91.00M,2.494B,1.963B,-332.00M,1.631B,207.00M,7.756B,-992.00M,-2.006B
2008-03,3.519B,,,,,,4.903B,4.903B,569.00M,-46.00M,-7.00M,184.00M,-150.00M,-4.654B,159.00M,,,-4.645B,4.957B,-4.178B,,-3.615B,131.00M,33.00M,-7.699B,3.359B,5.786B,9.145B,103.00M,-4.071B,-3.968B,,,,-2.422B,-2.422B,-20.00M,2.735B,1.97B,-7.00M,1.963B,103.00M,9.758B,-613.00M,-4.071B
2007-12,3.332B,0.00,29.00M,-59.00M,,-30.00M,5.223B,5.223B,-726.00M,,-24.00M,1.537B,-238.00M,718.00M,-359.00M,,,121.00M,9.897B,-5.593B,,-2.039B,-129.00M,8.00M,-7.799B,-295.00M,868.00M,573.00M,250.00M,-1.478B,-1.228B,,,,-2.159B,-2.159B,-28.00M,-2.842B,2.714B,-744.00M,1.97B,250.00M,3.469B,-2.896B,-1.478B
2007-09,3.063B,0.00,35.00M,-90.00M,,-55.00M,5.322B,5.322B,1.032B,,-42.00M,637.00M,-1.34B,241.00M,4.00M,,,-1.095B,9.266B,-4.664B,,461.00M,75.00M,11.00M,-4.164B,1.031B,-2.286B,-1.255B,484.00M,-2.008B,-1.524B,,,,-2.17B,-2.17B,-9.00M,-4.958B,2.57B,144.00M,2.714B,484.00M,1.974B,-3.229B,-2.008B
2007-06,2.904B,0.00,-64.00M,-188.00M,,-252.00M,5.416B,5.416B,-611.00M,,-60.00M,-206.00M,-150.00M,2.945B,83.00M,,,2.878B,10.43B,-4.122B,,288.00M,-9.00M,10.00M,-3.876B,-1.838B,996.00M,-842.00M,565.00M,-3.899B,-3.334B,,,,-2.196B,-2.196B,23.00M,-6.349B,2.364B,206.00M,2.57B,565.00M,0.00,-842.00M,-3.899B
2007-03,2.848B,-409.00M,,-156.00M,,-565.00M,5.616B,5.616B,65.00M,,-47.00M,98.00M,237.00M,-3.232B,-748.00M,,,-3.743B,4.648B,-3.338B,,11.00M,518.00M,7.00M,-2.837B,5.697B,-2.989B,2.708B,687.00M,-3.005B,-2.318B,,,,-2.218B,-2.218B,-37.00M,-1.865B,2.418B,-54.00M,2.364B,687.00M,5.924B,-3.216B,-3.005B
2006-12,1.938B,,0.00,-587.00M,,-587.00M,2.492B,2.492B,175.00M,,-8.00M,1.012B,270.00M,-394.00M,-12.00M,,,-136.00M,5.022B,-2.162B,,696.00M,3.00M,-4.00M,-1.467B,-1.36B,1.311B,-49.00M,126.00M,-1.319B,-1.193B,,,,-1.28B,-1.28B,134.00M,-2.388B,1.251B,1.167B,2.418B,126.00M,1.313B,-1.362B,-1.319B
2006-09,2.165B,0.00,0.00,-607.00M,,-607.00M,2.437B,2.437B,-341.00M,,-5.00M,274.00M,-296.00M,-443.00M,126.00M,,,-613.00M,3.44B,-2.116B,,101.00M,0.00,1.00M,-2.014B,-342.00M,1.316B,974.00M,227.00M,-1.211B,-984.00M,,,,-1.292B,-1.292B,30.00M,-1.272B,1.097B,154.00M,1.251B,227.00M,1.316B,-342.00M,-1.211B
2006-06,1.808B,0.00,-2.00M,-439.00M,,-441.00M,2.486B,2.486B,-8.00M,,3.00M,-74.00M,36.00M,653.00M,105.00M,,,794.00M,4.695B,-2.221B,,-43.00M,0.00,7.00M,-2.257B,-790.00M,-249.00M,-1.039B,35.00M,-148.00M,-113.00M,,,,-1.292B,-1.292B,46.00M,-2.398B,1.057B,40.00M,1.097B,35.00M,1.24B,-2.279B,-148.00M
2006-03,1.445B,0.00,-8.00M,-313.00M,,-321.00M,2.492B,2.492B,59.00M,,-8.00M,307.00M,509.00M,-2.029B,-189.00M,,,-1.709B,2.458B,-1.821B,,-734.00M,0.00,,-2.555B,-259.00M,1.269B,1.01B,201.00M,0.00,201.00M,,,,-1.289B,-1.289B,8.00M,-70.00M,1.224B,-167.00M,1.057B,201.00M,1.271B,-261.00M,0.00
2005-12,1.655B,,-31.00M,-166.00M,,-197.00M,2.206B,2.206B,-347.00M,,0.00,547.00M,-55.00M,316.00M,283.00M,,,544.00M,4.591B,-1.833B,,1.906B,1.00M,0.00,74.00M,1.414B,-2.463B,-1.049B,70.00M,-1.101B,-1.031B,,,,-1.06B,-1.06B,-6.00M,-3.874B,433.00M,791.00M,1.224B,70.00M,1.973B,-3.022B,-1.829B
2005-09,1.246B,,-29.00M,-198.00M,,-227.00M,1.803B,1.803B,-57.00M,,0.00,43.00M,-256.00M,881.00M,-235.00M,,,390.00M,3.346B,-1.414B,,1.464B,0.00,0.00,50.00M,-1.086B,-774.00M,-1.86B,64.00M,-507.00M,-443.00M,,,,-1.066B,-1.066B,0.00,-3.369B,406.00M,27.00M,433.00M,64.00M,0.00,-1.86B,-507.00M
