,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2009-09,27.92B,30.73B,12.91B,17.83B,7.574B,,,851.00M,,-851.00M,12.46B,5.372B,,851.00M,-851.00M,210.00M,-851.00M,4.731B,1.463B,3.268B,7.00M,,-83.00M,,3.192B,3.185B,10.46B,4.881B,5.582B,0.54,0.0,,,0.54,0.54,0.54,0.0,,,0.54,0.54,5.901B,5.922B,0.41
2009-06,27.75B,30.61B,12.56B,18.06B,7.682B,,,876.00M,,-876.00M,12.56B,5.50B,,876.00M,-876.00M,261.00M,-876.00M,4.885B,1.612B,3.273B,3.00M,,-78.00M,,3.198B,3.195B,10.64B,4.847B,5.761B,0.54,0.0,,,0.54,0.54,0.54,0.0,,,0.54,0.54,5.90B,5.923B,0.41
2009-03,27.68B,30.57B,12.20B,18.38B,7.753B,,,849.00M,,-849.00M,12.64B,5.737B,,849.00M,-849.00M,122.00M,-849.00M,5.01B,1.809B,3.201B,,,-75.00M,,3.126B,3.126B,10.74B,4.886B,5.859B,0.53,,,,0.53,0.53,0.53,,,,0.53,0.53,5.896B,5.922B,0.41
2008-12,27.87B,30.49B,19.77B,10.72B,25.74B,,,792.00M,,-792.00M,30.57B,-19.86B,,792.00M,-792.00M,-322.00M,-792.00M,-20.97B,-7.956B,-13.01B,,,-73.00M,,-13.09B,-13.09B,-15.34B,4.834B,-20.18B,0.41,,,,0.41,0.41,0.41,,,,0.41,0.41,5.894B,5.919B,0.41
2008-09,28.02B,31.34B,13.02B,18.32B,7.724B,,,858.00M,,-858.00M,12.70B,5.618B,,858.00M,-858.00M,234.00M,-858.00M,4.994B,1.705B,3.289B,,,-59.00M,,3.23B,3.23B,10.83B,4.978B,5.852B,0.55,,,,0.55,0.55,0.55,,,,0.55,0.55,5.893B,5.921B,0.4
2008-06,27.85B,30.87B,11.90B,18.97B,7.444B,,,854.00M,,-854.00M,12.40B,6.567B,,854.00M,-854.00M,241.00M,-854.00M,5.954B,2.111B,3.843B,,,-71.00M,,3.772B,3.772B,11.77B,4.958B,6.808B,0.64,,,,0.64,0.64,0.63,,,,0.63,0.63,5.926B,5.962B,0.4
2008-03,27.67B,30.74B,12.00B,18.75B,7.866B,,,865.00M,,-865.00M,12.77B,5.98B,,865.00M,-865.00M,334.00M,-865.00M,5.449B,1.93B,3.519B,,,-58.00M,,3.461B,3.461B,11.22B,4.903B,6.314B,0.58,,,,0.58,0.58,0.57,,,,0.57,0.57,5.997B,6.033B,0.4
2007-12,27.27B,30.35B,11.98B,18.36B,7.649B,,,868.00M,,-868.00M,12.87B,5.492B,,868.00M,-868.00M,343.00M,-868.00M,4.967B,1.635B,3.332B,,,,,3.136B,3.136B,11.06B,5.223B,5.835B,0.52,,,,0.52,0.52,0.52,,,,0.52,0.52,6.052B,6.092B,0.4
2007-09,27.12B,30.13B,11.74B,18.40B,7.77B,,,887.00M,,-887.00M,13.09B,5.304B,,887.00M,-887.00M,145.00M,-887.00M,4.562B,1.499B,3.063B,,,,,3.063B,3.063B,10.77B,5.322B,5.449B,0.5,,,,0.5,0.5,0.5,,,,0.5,0.5,6.088B,6.129B,0.355
2007-06,26.79B,29.48B,11.66B,17.82B,7.46B,,,879.00M,,-879.00M,12.88B,4.944B,,879.00M,-879.00M,337.00M,-879.00M,4.402B,1.498B,2.904B,,,,,2.904B,2.904B,10.70B,5.416B,5.281B,0.47,,,,0.47,0.47,0.47,,,,0.47,0.47,6.145B,6.195B,0.355
2007-03,26.20B,28.97B,11.25B,17.72B,7.437B,,,873.00M,,-873.00M,13.05B,4.664B,,873.00M,-873.00M,677.00M,-873.00M,4.468B,1.62B,2.848B,,,,,2.848B,2.848B,10.96B,5.616B,5.341B,0.46,,,,0.46,0.46,0.45,,,,0.45,0.45,6.224B,6.266B,0.355
2006-12,13.99B,15.89B,7.404B,8.487B,3.419B,,,465.00M,,-465.00M,5.911B,2.576B,,465.00M,-465.00M,683.00M,-465.00M,2.794B,856.00M,1.938B,,,,,1.938B,1.938B,5.751B,2.492B,3.259B,0.49,,,,0.49,0.49,0.49,,,,0.49,0.49,3.888B,3.908B,0.355
2006-09,13.91B,15.64B,6.923B,8.715B,3.361B,,,442.00M,,-442.00M,5.798B,2.917B,,442.00M,-442.00M,758.00M,-442.00M,3.233B,1.068B,2.165B,,,,,2.165B,2.165B,6.112B,2.437B,3.675B,0.56,,,,0.56,0.56,0.56,,,,0.56,0.56,3.873B,3.892B,0.3325
2006-06,13.96B,15.77B,7.163B,8.607B,3.517B,,,472.00M,95.00M,-377.00M,6.003B,2.604B,95.00M,472.00M,-377.00M,470.00M,-377.00M,2.697B,889.00M,1.808B,,,,,1.808B,1.808B,5.655B,2.486B,3.169B,0.47,,,,0.47,0.47,0.46,,,,0.46,0.46,3.886B,3.905B,0.3325
2006-03,14.02B,15.76B,7.364B,8.392B,3.709B,,,464.00M,85.00M,-379.00M,6.201B,2.191B,85.00M,464.00M,-379.00M,345.00M,-379.00M,2.157B,712.00M,1.445B,,,,,1.445B,1.445B,5.113B,2.492B,2.621B,0.37,,,,0.37,0.37,0.37,,,,0.37,0.37,3.882B,3.902B,0.3325
2005-12,11.20B,12.91B,6.02B,6.889B,3.551B,,,405.00M,,-696.00M,5.757B,1.132B,,405.00M,-696.00M,653.00M,-696.00M,1.089B,-566.00M,1.655B,,,,,1.655B,1.655B,3.70B,2.206B,1.494B,0.47,,,,0.47,0.47,0.47,,,,0.47,0.47,3.572B,3.583B,0.3325
2005-09,9.174B,10.30B,4.364B,5.94B,2.175B,,,349.00M,82.00M,-267.00M,3.978B,1.962B,82.00M,349.00M,-267.00M,149.00M,-267.00M,1.844B,598.00M,1.246B,,,,,1.246B,1.246B,3.996B,1.803B,2.193B,0.38,,,,0.38,0.38,0.38,,,,0.38,0.38,3.296B,3.306B,0.3225
2005-06,9.099B,10.32B,4.401B,5.916B,2.589B,,,349.00M,100.00M,-249.00M,4.398B,1.518B,100.00M,349.00M,-249.00M,215.00M,-249.00M,1.484B,484.00M,1.00B,,,,,1.00B,1.00B,3.642B,1.809B,1.833B,0.3,,,,0.3,0.3,0.3,,,,0.3,0.3,3.302B,3.312B,0.3225
2005-03,9.148B,10.25B,4.388B,5.86B,2.479B,,,353.00M,109.00M,-244.00M,4.304B,1.556B,109.00M,353.00M,-244.00M,-11.00M,-244.00M,1.301B,416.00M,885.00M,,,,,885.00M,885.00M,3.479B,1.825B,1.654B,0.27,,,,0.27,0.27,0.27,,,,0.27,0.27,3.303B,3.315B,0.3225
2004-12,7.155B,10.23B,4.459B,5.774B,2.663B,,,318.00M,116.00M,-202.00M,4.527B,1.247B,116.00M,318.00M,-202.00M,-238.00M,-202.00M,807.00M,119.00M,688.00M,0.00,,,,688.00M,688.00M,2.989B,1.864B,1.125B,0.2,0.01,,,0.2,0.21,0.2,0.0,,,0.2,0.2,3.307B,3.316B,0.3225
2004-09,9.832B,10.29B,4.319B,5.973B,2.386B,,,238.00M,140.00M,-98.00M,4.275B,1.698B,140.00M,238.00M,-98.00M,255.00M,-98.00M,1.855B,610.00M,1.245B,849.00M,,,,2.094B,1.245B,3.982B,1.889B,2.093B,0.38,0.25,,,0.38,0.63,0.38,0.25,,,0.38,0.63,3.314B,3.325B,0.3125
2004-06,9.706B,10.20B,4.292B,5.904B,2.576B,,,235.00M,120.00M,-115.00M,4.464B,1.44B,120.00M,235.00M,-115.00M,325.00M,-115.00M,1.65B,515.00M,1.135B,33.00M,,,,1.168B,1.135B,3.773B,1.888B,1.885B,0.34,0.01,,,0.34,0.35,0.34,0.01,,,0.34,0.35,3.312B,3.323B,0.3125
2004-03,9.571B,10.01B,4.227B,5.785B,2.346B,,,232.00M,116.00M,-116.00M,4.269B,1.516B,116.00M,232.00M,-116.00M,1.453B,-116.00M,2.853B,942.00M,1.911B,26.00M,,,,1.937B,1.911B,5.008B,1.923B,3.085B,0.58,0.01,,,0.58,0.59,0.58,0.0,,,0.58,0.58,3.308B,3.323B,0.3125
2003-12,9.521B,9.976B,4.472B,5.504B,2.389B,,,218.00M,198.00M,-20.00M,4.334B,1.17B,198.00M,218.00M,-20.00M,161.00M,-20.00M,1.311B,423.00M,888.00M,24.00M,,,,905.00M,888.00M,3.474B,1.945B,1.529B,0.2732,0.7635,,0.0007,0.2732,0.2715,0.2668,0.7635,,0.0007,0.2668,0.2715,3.309B,3.317B,0.3125
2003-09,9.663B,10.15B,4.261B,5.889B,2.376B,,,280.00M,126.00M,-154.00M,4.328B,1.561B,126.00M,280.00M,-154.00M,358.00M,-154.00M,1.765B,579.00M,1.186B,30.00M,,,,1.216B,1.186B,3.997B,1.952B,2.045B,0.3573,0.009,,0.0,0.3573,0.3664,0.3566,0.009,,0.0,0.3566,0.3657,3.319B,3.331B,0.2825
2003-06,9.762B,10.24B,4.067B,6.169B,2.442B,,,376.00M,143.00M,-233.00M,4.419B,1.75B,143.00M,376.00M,-233.00M,555.00M,-233.00M,2.072B,684.00M,1.388B,,,,,1.388B,1.388B,4.425B,1.977B,2.448B,0.4177,,,0.0,0.4177,0.42,0.4169,,,0.0,0.4169,0.42,3.323B,3.334B,0.2825
2003-03,9.884B,10.38B,4.083B,6.292B,2.398B,,,317.00M,136.00M,-181.00M,4.394B,1.898B,136.00M,317.00M,-181.00M,1.946B,-181.00M,3.663B,1.208B,2.455B,,,,,4.996B,2.455B,5.976B,1.996B,3.98B,0.7395,,,0.7654,0.7395,1.5,0.7372,,,0.7624,0.7372,1.5,3.32B,3.333B,0.2825
2002-12,10.18B,10.90B,4.332B,6.568B,2.367B,,,336.00M,134.00M,-202.00M,4.505B,2.063B,134.00M,336.00M,-202.00M,811.00M,-202.00M,2.672B,429.00M,2.243B,,,,,2.355B,2.243B,5.146B,2.138B,3.008B,0.6749,,,-0.0007,0.6749,0.71,0.6721,,,-0.0007,0.6721,0.7,3.318B,3.333B,0.54
2002-09,10.07B,10.56B,4.136B,6.42B,2.243B,,,356.00M,137.00M,-219.00M,4.391B,2.029B,137.00M,356.00M,-219.00M,731.00M,-219.00M,2.541B,832.00M,1.709B,,,,,1.709B,1.709B,5.045B,2.148B,2.897B,0.51,,,,0.51,0.51,0.51,,,,0.51,0.51,3.322B,3.336B,0.27
