,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,48.87B,,48.87B,16.29B,,16.29B,,,1.335B,,12.01B,78.50B,,,,,,,317.13B,-192.00B,125.12B,105.48B,113.64B,219.12B,2.623B,,20.97B,367.84B,446.34B,31.57B,3.074B,1.534B,36.18B,,36.18B,,,29.32B,,29.32B,5.081B,5.081B,,70.58B,133.72B,,133.72B,45.73B,45.73B,30.12B,1.156B,,19.12B,228.69B,299.27B,6.495B,55.07B,89.40B,12.43B,,7.386B,145.92B
2017-12,,50.50B,,50.50B,16.52B,,16.52B,,,1.369B,,10.76B,79.15B,0.0,1.63B,36.32B,271.50B,,4.045B,313.50B,-188.28B,125.22B,105.45B,114.28B,219.72B,1.56B,,18.44B,364.95B,444.10B,24.44B,3.07B,1.262B,28.77B,8.446B,37.22B,0.00,38.37B,38.37B,,38.37B,4.213B,4.213B,,81.39B,125.97B,,125.97B,43.21B,43.21B,31.78B,1.146B,,19.75B,220.70B,302.09B,6.495B,50.50B,89.56B,12.71B,,7.017B,140.86B
2017-09,,48.50B,,48.50B,15.88B,,15.88B,,,1.258B,,10.72B,76.36B,,,,,,,326.24B,-199.78B,126.46B,105.67B,115.42B,221.09B,1.627B,,18.33B,367.51B,443.86B,28.93B,3.008B,2.703B,34.64B,,34.64B,,,8.551B,,8.551B,4.503B,4.503B,,47.69B,154.73B,,154.73B,64.38B,64.38B,31.23B,1.149B,,19.72B,270.06B,317.76B,6.495B,36.07B,89.53B,12.72B,,5.58B,124.96B
2017-06,,25.62B,,25.62B,15.00B,,15.00B,,,1.371B,,11.56B,53.55B,,,,,,,323.10B,-196.91B,126.18B,105.55B,116.26B,221.80B,1.615B,,17.64B,367.25B,420.80B,26.47B,3.008B,3.331B,32.81B,,32.81B,,,10.83B,,10.83B,4.371B,4.371B,,48.01B,132.82B,,132.82B,61.93B,61.93B,31.42B,1.133B,,20.75B,246.92B,294.94B,6.495B,36.07B,89.47B,12.70B,,5.389B,124.72B
2017-03,,14.88B,,14.88B,15.08B,,15.08B,,,1.418B,,14.35B,45.73B,,,,,,,319.11B,-193.82B,125.29B,105.59B,116.28B,221.87B,1.551B,,17.46B,366.18B,411.90B,27.12B,3.012B,3.384B,33.52B,,33.52B,,,12.68B,,12.68B,4.493B,4.493B,,50.69B,120.57B,,120.57B,61.10B,61.10B,33.40B,1.14B,,21.16B,236.23B,286.92B,6.495B,35.18B,89.41B,12.40B,,5.16B,123.84B
2016-12,,5.788B,,5.788B,16.79B,,16.79B,,,1.555B,,14.23B,38.37B,0.0,1.643B,35.04B,277.85B,,5.118B,319.65B,-194.75B,124.90B,105.21B,116.86B,222.07B,1.674B,,16.81B,365.45B,403.82B,22.03B,3.008B,2.079B,27.11B,7.467B,34.58B,,9.832B,9.832B,,9.832B,4.519B,4.519B,,50.58B,113.68B,,113.68B,60.13B,60.13B,33.58B,975.00M,,21.75B,229.14B,279.71B,6.495B,34.73B,89.60B,12.66B,,4.961B,123.14B
2016-09,,5.895B,,5.895B,16.86B,,16.86B,,,1.333B,,13.29B,37.37B,,,,,,,316.26B,-192.34B,123.92B,105.27B,118.20B,223.47B,1.679B,,16.53B,365.60B,402.98B,28.85B,2.948B,2.686B,34.48B,,34.48B,,,7.982B,,7.982B,4.637B,4.637B,,47.10B,117.24B,,117.24B,59.65B,59.65B,33.48B,992.00M,,20.90B,231.27B,278.37B,6.495B,35.32B,89.54B,12.59B,,4.85B,123.61B
2016-06,,7.208B,,7.208B,15.83B,,15.83B,,,1.197B,,11.77B,36.00B,,,,,,,313.02B,-189.48B,123.54B,105.25B,119.46B,224.72B,1.677B,,15.87B,365.80B,401.81B,26.75B,2.953B,2.773B,32.47B,,32.47B,,,9.528B,,9.528B,4.465B,4.465B,,46.46B,117.31B,,117.31B,58.22B,58.22B,34.02B,969.00M,,21.42B,230.97B,277.44B,6.495B,34.95B,89.49B,12.34B,,4.814B,123.40B
2016-03,,10.01B,,10.01B,16.07B,,16.07B,,,1.378B,,10.54B,38.00B,,,,,,,309.38B,-185.93B,123.45B,104.65B,120.44B,225.09B,1.594B,,15.50B,365.64B,403.64B,26.17B,2.955B,2.455B,31.58B,,31.58B,,,8.399B,,8.399B,4.55B,4.55B,,44.53B,122.10B,,122.10B,57.49B,57.49B,34.11B,973.00M,,21.00B,234.70B,279.23B,6.495B,34.51B,89.41B,12.16B,,5.18B,123.43B
2015-12,,5.121B,,5.121B,16.53B,,16.53B,,,1.072B,,13.27B,35.99B,0.0,1.638B,33.78B,264.83B,,5.971B,306.23B,-181.78B,124.45B,104.57B,120.71B,225.28B,1.606B,,15.35B,366.68B,402.67B,21.05B,2.95B,2.176B,26.17B,7.559B,33.73B,,7.636B,7.636B,,7.636B,4.682B,4.682B,,47.82B,118.52B,,118.52B,56.18B,56.18B,34.26B,969.00M,,22.26B,231.22B,279.03B,6.495B,33.67B,89.76B,12.59B,,5.334B,122.67B
2015-09,,6.202B,,6.202B,16.33B,,16.33B,,,1.166B,,11.25B,34.95B,,,,,,,302.19B,-179.36B,122.84B,105.97B,120.91B,226.87B,1.744B,,13.58B,365.04B,399.99B,28.28B,2.892B,4.591B,35.76B,,35.76B,,,7.535B,,7.535B,4.64B,4.64B,,47.94B,119.40B,,119.40B,53.04B,53.04B,36.40B,965.00M,,20.43B,229.26B,277.20B,6.495B,32.63B,89.72B,12.31B,,5.294B,121.82B
2015-06,,20.96B,,20.96B,13.82B,,13.82B,,,834.00M,1.131B,6.421B,43.16B,,,,,,,289.86B,-175.51B,114.35B,70.92B,87.31B,158.23B,288.00M,,10.46B,283.33B,326.49B,21.56B,2.441B,3.848B,27.85B,,27.85B,,,8.603B,,8.603B,4.075B,4.075B,,40.53B,105.07B,,105.07B,38.52B,38.52B,36.64B,642.00M,,18.24B,198.46B,238.99B,6.495B,29.09B,91.03B,46.79B,,7.039B,86.86B
2015-03,,4.444B,,4.444B,13.59B,,13.59B,,,930.00M,1.538B,6.906B,27.41B,,,,,,,285.13B,-171.94B,113.20B,70.34B,86.98B,157.32B,266.00M,,9.83B,280.62B,308.03B,20.42B,2.441B,2.39B,25.25B,,25.25B,,,8.181B,,8.181B,4.221B,4.221B,,37.65B,88.27B,,88.27B,38.02B,38.02B,37.07B,605.00M,,19.91B,183.27B,220.92B,6.495B,28.49B,90.98B,46.80B,,7.341B,86.50B
2014-12,,8.603B,,8.603B,14.53B,,14.53B,,,831.00M,,9.645B,33.61B,0.0,1.567B,32.20B,245.47B,,3.053B,282.30B,-169.40B,112.90B,69.69B,66.96B,136.66B,250.00M,,13.42B,263.23B,296.83B,14.98B,2.438B,1.091B,18.51B,6.766B,25.28B,,6.056B,6.056B,,6.056B,4.105B,4.105B,,37.28B,75.78B,,75.78B,38.44B,38.44B,37.08B,554.00M,,17.99B,169.28B,206.56B,6.495B,31.08B,91.11B,47.03B,,8.061B,89.72B
2014-09,,2.458B,,2.458B,13.44B,,13.44B,,,869.00M,1.03B,8.033B,25.84B,,,,,,,286.99B,-171.85B,115.13B,70.13B,67.04B,137.17B,166.00M,,9.637B,262.10B,287.94B,24.12B,2.385B,4.328B,30.83B,,30.83B,,,5.109B,,5.109B,4.038B,4.038B,,39.98B,70.52B,,70.52B,37.39B,37.39B,29.92B,506.00M,,17.01B,154.84B,194.82B,6.495B,34.16B,91.06B,47.04B,,7.926B,92.61B
2014-06,,11.30B,,11.30B,13.00B,,13.00B,,,928.00M,1.18B,6.698B,33.11B,,,,,,,283.25B,-168.89B,114.36B,70.09B,66.04B,136.13B,159.00M,,9.706B,260.35B,293.47B,22.97B,2.388B,3.962B,29.32B,,29.32B,,,10.48B,,10.48B,3.99B,3.99B,,43.79B,73.57B,,73.57B,36.84B,36.84B,30.07B,493.00M,,16.58B,157.05B,200.84B,6.495B,33.55B,91.06B,46.82B,,7.851B,92.13B
2014-03,,3.611B,,3.611B,13.12B,,13.12B,,,1.00B,1.171B,5.187B,24.09B,,,,,,,278.86B,-166.05B,112.81B,69.72B,66.10B,135.82B,3.613B,,9.01B,261.25B,285.34B,22.23B,2.39B,2.784B,27.41B,,27.41B,,,8.301B,,8.301B,4.121B,4.121B,,39.83B,71.58B,,71.58B,36.45B,36.45B,30.03B,463.00M,,16.09B,154.14B,193.97B,6.495B,32.40B,91.03B,46.68B,,7.666B,90.91B
2013-12,,3.339B,,3.339B,12.92B,,12.92B,,,960.00M,1.199B,4.78B,23.20B,0.0,1.523B,31.48B,238.51B,,3.276B,274.80B,-163.83B,110.97B,69.27B,62.21B,131.48B,3.86B,,8.278B,254.59B,277.79B,11.56B,2.404B,1.774B,15.74B,7.597B,23.34B,20.00M,5.478B,5.498B,,5.498B,4.212B,4.212B,,35.00B,69.29B,,69.29B,36.31B,36.31B,29.95B,494.00M,,15.77B,151.31B,186.30B,6.495B,31.14B,91.09B,45.62B,,7.88B,90.99B
2013-09,,1.371B,,1.371B,12.44B,,12.44B,,,1.022B,682.00M,2.916B,18.44B,,,,,,,282.44B,-170.02B,112.42B,70.01B,62.20B,132.21B,3.949B,,7.577B,256.16B,274.60B,20.43B,2.376B,1.488B,24.30B,,24.30B,,,7.873B,,7.873B,4.013B,4.013B,,36.18B,68.35B,,68.35B,30.67B,30.67B,42.04B,415.00M,,11.23B,152.29B,188.47B,6.495B,26.65B,91.02B,43.73B,,5.282B,85.72B
2013-06,,4.548B,,4.548B,12.51B,,12.51B,,,1.038B,953.00M,2.381B,21.43B,,,,,,,276.83B,-166.10B,110.73B,69.77B,59.70B,129.47B,3.888B,,6.575B,250.66B,272.09B,19.44B,2.401B,2.065B,23.90B,,23.90B,,,3.256B,,3.256B,4.029B,4.029B,,31.19B,71.92B,,71.92B,29.40B,29.40B,41.99B,335.00M,,11.28B,154.59B,185.78B,6.495B,25.21B,90.98B,41.82B,,5.107B,85.98B
2013-03,,3.875B,,3.875B,12.10B,,12.10B,,,1.021B,980.00M,2.396B,20.37B,,,,,,,274.04B,-164.33B,109.70B,69.77B,59.72B,129.49B,4.998B,,6.431B,250.62B,270.99B,17.52B,2.44B,2.21B,22.17B,,22.17B,,,3.446B,,3.446B,4.167B,4.167B,,29.79B,70.69B,,70.69B,28.92B,28.92B,41.66B,340.00M,,11.60B,152.87B,182.66B,6.495B,23.79B,90.94B,38.57B,,5.344B,88.00B
2012-12,,4.868B,,4.868B,12.66B,,12.66B,,,1.035B,1.036B,3.11B,22.71B,0.0,1.689B,28.94B,235.87B,,4.412B,270.91B,-161.14B,109.77B,69.77B,58.78B,128.55B,4.581B,,6.713B,249.61B,272.32B,12.08B,2.556B,1.026B,15.66B,6.302B,21.96B,0.00,3.486B,3.486B,,3.486B,4.225B,4.225B,,31.79B,66.36B,,66.36B,28.49B,28.49B,41.39B,333.00M,,11.59B,147.83B,179.62B,6.495B,22.48B,91.04B,32.89B,,5.236B,92.36B
2012-09,,2.217B,,2.217B,12.40B,,12.40B,,,1.337B,1.312B,1.694B,18.96B,,,,,,,267.64B,-159.42B,108.22B,69.76B,58.74B,128.50B,4.563B,,6.607B,247.89B,266.85B,18.94B,2.511B,2.209B,23.66B,,23.66B,,,3.433B,,3.433B,3.709B,3.709B,,30.80B,60.31B,,60.31B,29.09B,29.09B,33.84B,317.00M,,11.53B,134.78B,165.58B,6.495B,28.91B,90.98B,28.53B,,3.106B,100.96B
2012-06,,2.151B,,2.151B,12.43B,,12.43B,,,1.533B,1.418B,1.624B,19.16B,,,,,,,263.65B,-156.16B,107.48B,69.76B,58.91B,128.67B,4.388B,,6.597B,247.14B,266.29B,16.30B,2.554B,3.705B,22.56B,,22.56B,,,3.402B,,3.402B,3.743B,3.743B,,29.70B,61.13B,,61.13B,26.01B,26.01B,34.02B,299.00M,,11.85B,133.01B,162.72B,6.495B,27.79B,90.93B,24.87B,,2.939B,103.28B
2012-03,,2.442B,,2.442B,13.17B,,13.17B,,,1.706B,1.463B,1.987B,20.76B,,,,,,,260.21B,-152.98B,107.23B,70.93B,59.37B,130.30B,4.302B,,6.759B,248.59B,269.36B,17.59B,2.585B,1.601B,21.78B,,21.78B,,,6.775B,,6.775B,3.966B,3.966B,,32.52B,58.93B,,58.93B,26.14B,26.14B,34.11B,288.00M,,12.47B,131.65B,164.17B,6.495B,26.45B,91.03B,22.46B,,3.386B,104.90B
2011-12,,3.045B,,3.045B,13.23B,,13.23B,,,1.102B,1.47B,4.137B,22.98B,0.0,1.689B,28.05B,225.40B,,5.136B,260.28B,-153.19B,107.09B,70.84B,59.34B,130.18B,3.718B,,6.467B,247.46B,270.44B,10.48B,2.608B,1.003B,14.10B,7.183B,21.28B,,3.453B,3.453B,,3.453B,3.872B,3.872B,,30.89B,61.30B,,61.30B,25.75B,25.75B,34.01B,263.00M,,12.69B,133.75B,164.64B,6.495B,25.45B,91.16B,20.75B,,3.18B,105.53B
2011-09,,10.76B,,10.76B,13.38B,,13.38B,,,1.507B,1.101B,1.858B,28.60B,,,,,,,256.63B,-150.84B,105.79B,73.59B,58.98B,132.56B,4.483B,,6.214B,249.05B,277.65B,17.86B,2.548B,929.00M,21.34B,,21.34B,,,8.90B,,8.90B,3.794B,3.794B,,34.03B,62.33B,,62.33B,26.45B,26.45B,28.19B,267.00M,,12.78B,129.74B,163.77B,6.495B,34.76B,91.46B,20.77B,,1.677B,113.62B
2011-06,,3.831B,,3.831B,13.61B,,13.61B,,,1.563B,1.18B,2.057B,22.24B,,,,,,,252.05B,-147.44B,104.61B,73.59B,59.45B,133.04B,5.207B,,6.918B,249.78B,272.01B,18.14B,2.548B,1.13B,21.82B,,21.82B,,,7.91B,,7.91B,3.804B,3.804B,,33.54B,58.66B,,58.66B,25.06B,25.06B,28.35B,306.00M,,12.29B,124.37B,157.90B,6.495B,33.69B,91.69B,20.79B,,2.72B,113.80B
2011-03,,1.391B,,1.391B,13.25B,,13.25B,,,1.674B,1.157B,2.269B,19.74B,,,,,,,247.45B,-144.08B,103.37B,73.60B,59.97B,133.58B,4.845B,,6.559B,248.35B,268.08B,18.35B,2.545B,1.499B,22.39B,,22.39B,,,6.902B,,6.902B,3.959B,3.959B,,33.25B,58.13B,,58.13B,23.15B,23.15B,28.51B,299.00M,,12.20B,121.99B,155.24B,6.495B,32.65B,91.64B,20.95B,,2.713B,112.54B
2010-12,,1.437B,,1.437B,13.61B,,13.61B,,,1.458B,1.17B,3.179B,20.85B,0.0,1.694B,25.98B,211.18B,,4.98B,243.83B,-140.64B,103.20B,73.60B,60.52B,134.12B,4.515B,,6.705B,248.54B,269.39B,7.437B,2.542B,975.00M,10.95B,8.408B,19.36B,1.625B,5.571B,7.196B,,7.196B,5.364B,5.364B,,34.85B,58.97B,,58.97B,22.07B,22.07B,28.80B,303.00M,,12.74B,122.59B,157.44B,6.495B,31.79B,91.73B,21.08B,,2.712B,111.65B
2010-09,,3.246B,,3.246B,13.61B,,13.61B,,,1.686B,1.059B,2.38B,21.98B,,,,,,,240.47B,-138.99B,101.48B,73.45B,61.01B,134.45B,4.544B,,6.802B,247.28B,269.25B,18.42B,2.482B,1.416B,22.32B,,22.32B,,,6.426B,,6.426B,3.933B,3.933B,,32.67B,62.54B,,62.54B,20.65B,20.65B,27.07B,299.00M,,13.02B,123.28B,155.96B,6.495B,50.75B,91.75B,21.11B,,-14.89B,112.99B
2010-06,,1.377B,,1.377B,13.78B,,13.78B,,,1.666B,1.225B,3.344B,21.39B,,,,,,,236.19B,-135.88B,100.30B,73.48B,61.54B,135.03B,4.346B,,6.489B,246.16B,267.56B,18.16B,2.482B,1.879B,22.52B,,22.52B,,,9.721B,,9.721B,3.943B,3.943B,,36.18B,60.28B,,60.28B,25.62B,25.62B,27.42B,437.00M,,14.58B,127.89B,164.07B,6.495B,40.91B,91.63B,21.13B,,-14.85B,103.05B
2010-03,,2.617B,,2.617B,14.17B,,14.17B,,,1.82B,1.293B,2.465B,22.36B,,,,,,,232.47B,-133.11B,99.36B,73.05B,61.33B,134.38B,3.278B,,6.317B,243.34B,265.70B,18.09B,2.482B,2.639B,23.21B,,23.21B,,,9.437B,,9.437B,4.061B,4.061B,,36.71B,60.02B,,60.02B,25.52B,25.52B,27.71B,443.00M,,13.28B,126.53B,163.24B,6.495B,39.37B,91.56B,21.14B,,-14.26B,102.02B
2009-12,,3.741B,,3.741B,14.84B,,14.84B,,,1.562B,1.247B,3.792B,25.19B,0.0,1.724B,24.24B,200.04B,,3.159B,229.16B,-129.64B,99.52B,72.78B,61.63B,134.41B,2.921B,,6.275B,243.12B,268.31B,7.511B,2.479B,1.681B,11.67B,9.187B,20.86B,0.00,7.361B,7.361B,,7.361B,5.661B,5.661B,491.00M,36.95B,64.72B,,64.72B,23.58B,23.58B,27.85B,425.00M,,13.23B,129.37B,166.32B,6.495B,21.94B,91.71B,21.26B,,2.678B,101.56B
2009-09,,6.167B,,6.167B,14.80B,,14.80B,,,1.791B,991.00M,2.176B,25.92B,,,,,,,225.67B,-127.35B,98.32B,71.73B,61.42B,133.14B,2.813B,,6.37B,240.65B,266.57B,18.09B,2.419B,1.965B,22.48B,,22.48B,,,6.755B,,6.755B,4.036B,4.036B,,33.27B,65.91B,,65.91B,22.28B,22.28B,31.75B,428.00M,,13.36B,133.30B,166.57B,6.495B,38.84B,91.68B,21.28B,,-16.16B,99.57B
2009-06,,7.348B,,7.348B,14.85B,,14.85B,,,1.786B,964.00M,1.996B,26.94B,,,,,,,222.93B,-124.70B,98.23B,71.69B,62.13B,133.82B,2.749B,,6.18B,240.98B,267.92B,18.05B,2.419B,1.667B,22.13B,,22.13B,,,10.16B,,10.16B,3.932B,3.932B,,36.22B,66.56B,,66.56B,20.35B,20.35B,31.98B,403.00M,,13.78B,132.69B,168.91B,6.495B,38.07B,91.64B,21.28B,,-16.31B,98.61B
2009-03,,3.812B,,3.812B,14.96B,,14.96B,,,1.704B,957.00M,2.083B,23.52B,,,,,,,219.77B,-121.43B,98.34B,71.69B,62.86B,134.56B,2.413B,,5.528B,240.84B,264.36B,17.36B,2.419B,2.399B,22.18B,,22.18B,,,10.79B,,10.79B,4.065B,4.065B,,37.03B,63.56B,,63.56B,19.38B,19.38B,32.03B,404.00M,,14.66B,129.63B,166.66B,6.495B,37.30B,91.64B,21.28B,,-16.86B,97.29B
2008-12,,1.792B,,1.792B,16.05B,,16.05B,,,1.538B,1.014B,2.165B,22.56B,0.0,1.73B,23.37B,189.94B,,3.532B,218.58B,-119.49B,99.09B,71.83B,63.71B,135.54B,2.332B,,5.728B,242.69B,265.24B,6.921B,2.416B,1.874B,11.21B,9.789B,21.00B,4.575B,9.544B,14.12B,,14.12B,5.833B,5.833B,,42.29B,60.87B,,60.87B,19.20B,19.20B,31.93B,403.00M,,14.21B,126.20B,168.50B,6.495B,36.59B,91.73B,21.41B,,-17.06B,96.35B
2008-09,,1.594B,,1.594B,16.40B,,16.40B,,,1.657B,1.56B,2.239B,23.44B,,,,,,,215.42B,-117.65B,97.77B,71.54B,64.24B,135.78B,2.839B,,6.53B,261.08B,284.53B,18.69B,2.357B,2.976B,24.02B,,24.02B,,,17.42B,,17.42B,3.896B,3.896B,,45.34B,59.36B,,59.36B,27.78B,27.78B,25.49B,,,14.05B,126.67B,172.01B,6.495B,36.61B,91.68B,21.41B,,-862.00M,112.52B
2008-06,,1.631B,,1.631B,15.97B,,15.97B,,,1.671B,1.407B,2.545B,23.22B,,,,,,,212.55B,-115.18B,97.37B,71.53B,65.18B,136.71B,2.838B,,6.468B,261.28B,284.51B,18.93B,2.357B,3.782B,25.07B,,25.07B,,,16.47B,,16.47B,3.573B,3.573B,,45.11B,63.68B,,63.68B,25.14B,25.14B,24.83B,,,13.82B,127.46B,172.57B,6.495B,35.72B,91.65B,21.42B,,-504.00M,111.94B
