,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,52.98M,-4.164M,,-4.164M,,81.44M,7.968M,6.794M,,-91.88M,,,,,39.83M,92.97M,,-128.69M,1.701M,-126.99M,-65.00M,,-0.034M,-192.02M,,-42.04M,200.00M,157.96M,,-55.57M,-55.57M,-37.18M,-37.18M,-24.16M,-42.14M,-1.076M,,146.65M,-100.13M,46.51M,,,,1.102B,-944.04M,-55.57M,,,,AOR,Restated
2017-12,327.55M,-13.20M,,-13.20M,,77.99M,-247.00M,6.682M,,99.62M,,,,,-6.503M,245.14M,,-92.72M,5.353M,-87.37M,-611.87M,,-3.653M,-702.89M,,-62.74M,0.00,-62.74M,,0.00,0.00,-33.07M,-33.07M,-0.715M,-0.245M,-96.77M,,701.16M,-554.52M,146.65M,,,,600.00M,-662.74M,0.00,,,,AOR,Restated
2017-09,108.58M,-1.488M,,-1.488M,,79.64M,8.397M,6.282M,,35.06M,,,,,7.852M,244.31M,,-75.81M,1.873M,-73.94M,0.00,,0.00,-73.94M,,-565.56M,0.00,-565.56M,,0.00,0.00,-33.07M,-33.07M,-0.377M,0.00,-599.01M,,1.130B,-428.64M,701.16M,,,,0.00,-565.56M,0.00,,,,AOR,Restated
2017-06,120.14M,-2.773M,,-2.773M,,76.78M,2.748M,7.183M,,-0.371M,,,,,-142.63M,61.07M,,-158.01M,7.291M,-150.72M,-25.50M,,0.405M,-175.81M,,1.015B,0.00,1.015B,,-11.08M,-11.08M,-33.04M,-33.04M,-2.81M,-10.48M,957.58M,,286.96M,842.84M,1.130B,,,,1.255B,-240.00M,-11.08M,-1.562M,-2.498M,,AOR,Restated
2017-03,44.92M,-0.369M,,-0.369M,,71.56M,0.153M,6.488M,,-0.535M,,,,,-28.07M,94.15M,,-133.02M,1.239M,-131.78M,-185.07M,,,-316.85M,,350.00M,0.00,350.00M,,-49.22M,-49.22M,-33.15M,-33.15M,-21.42M,-4.565M,241.64M,,268.02M,18.94M,286.96M,,,,350.00M,-0.005M,-49.22M,1.562M,2.498M,,AOR,Restated
2016-12,112.60M,-12.50M,,-12.50M,,71.58M,8.497M,5.025M,,2.015M,,,,,52.76M,239.98M,,-62.71M,17.45M,-45.26M,-30.93M,,-1.465M,-77.65M,,-0.116M,0.00,-0.116M,,0.00,0.00,-26.47M,-26.47M,-2.385M,,-30.83M,,135.36M,131.50M,268.02M,,,,0.00,-0.116M,0.00,,,,AOR,Restated
2016-09,142.02M,-2.023M,,-2.023M,,72.05M,22.50M,4.813M,,-1.425M,,,,,11.67M,249.61M,,-87.68M,3.438M,-84.24M,0.00,,0.626M,-83.61M,,-0.005M,0.00,-0.005M,,-92.31M,-92.31M,-26.53M,-26.53M,-3.693M,,-122.53M,,91.90M,43.46M,135.36M,,,,0.00,-0.005M,-92.31M,,,,AOR,Restated
2016-06,124.71M,-0.356M,,-0.356M,,71.91M,20.47M,6.511M,,-1.318M,,,,,-155.65M,66.27M,,-91.48M,1.341M,-90.14M,0.00,,0.313M,-89.83M,,-0.004M,0.00,-0.004M,,-45.72M,-45.72M,-26.62M,-26.62M,-4.085M,,-76.43M,,191.89M,-99.98M,91.90M,,,,3.00M,-3.004M,-45.72M,,,,AOR,Restated
2016-03,40.16M,-0.555M,,-0.555M,,69.41M,-17.88M,4.321M,,-5.157M,,,,,-1.566M,88.73M,,-108.28M,1.086M,-107.20M,-1.611M,,2.699M,-106.11M,,-0.005M,,-0.005M,,-23.43M,-23.43M,-26.72M,-26.72M,-24.64M,,-74.79M,,284.06M,-92.17M,191.89M,,,,0.00,-0.005M,-23.43M,,,,AOR,Restated
2015-12,88.89M,-2.504M,,-2.504M,,58.58M,10.71M,4.228M,-1.426M,23.85M,,,,,55.88M,238.20M,,-74.45M,3.754M,-70.69M,-6.397M,,-0.049M,-77.14M,,-150.00M,150.00M,-0.004M,,-21.48M,-21.48M,-13.34M,-13.34M,-11.14M,1.424M,-44.53M,,168.68M,116.53M,285.21M,,,,150.00M,-150.00M,-21.48M,,,,AOR,Restated
2015-09,123.80M,-0.799M,,-0.799M,,69.66M,4.016M,4.341M,-5.493M,-9.622M,,,,,30.79M,216.70M,,-66.09M,1.045M,-65.05M,0.586M,,0.033M,-64.43M,,-14.11M,-53.50M,-67.61M,,0.00,0.00,-13.33M,-13.33M,17.12M,5.496M,-58.32M,,74.74M,93.94M,168.68M,,,,7.00M,-74.61M,0.00,,,,AOR,Restated
2015-06,48.16M,-0.249M,,-0.249M,,68.38M,-0.064M,4.979M,-3.882M,42.52M,,,,,-114.36M,45.48M,,-99.11M,1.065M,-98.04M,-21.39M,,0.00,-119.43M,,-385.03M,138.50M,-246.53M,,0.00,0.00,-13.30M,-13.30M,19.35M,-3.502M,-243.97M,,392.66M,-317.92M,74.74M,,,,284.00M,-530.53M,0.00,,,,AOR,Restated
2015-03,-39.68M,-6.375M,,-6.375M,,66.72M,-11.59M,4.70M,-7.575M,8.376M,,,,,4.575M,19.15M,,-49.61M,2.354M,-47.26M,0.00,,-0.334M,-47.59M,,254.08M,,254.08M,,0.00,0.00,-13.25M,-13.25M,31.42M,7.576M,279.82M,,141.27M,251.38M,392.66M,,,,400.00M,-145.92M,0.00,,,,AOR,Restated
2014-12,38.02M,-5.695M,,-5.695M,,59.04M,5.22M,5.459M,-0.089M,12.76M,,,,,-3.432M,111.28M,,-55.63M,4.708M,-50.92M,-13.36M,,0.033M,-64.25M,,69.88M,-70.00M,-0.118M,0.00,,0.00,-7.911M,-7.911M,10.32M,0.089M,2.378M,,91.87M,49.40M,141.27M,,,0.00,23.00M,-23.12M,,,,,AOR,Restated
2014-09,66.94M,-1.001M,,-1.001M,,71.16M,13.13M,6.497M,-0.133M,0.229M,,,,,-30.00M,126.83M,,-52.91M,0.866M,-52.04M,-268.40M,,62.09M,-258.35M,,-70.02M,70.00M,-0.017M,3.081M,,3.081M,-7.899M,-7.899M,0.418M,0.127M,-4.29M,,227.68M,-135.82M,91.87M,,,3.081M,70.00M,-70.02M,,,,,AOR,Restated
2014-06,45.97M,-1.162M,,-1.162M,,68.32M,7.672M,7.609M,-0.245M,-0.274M,,,,,-100.02M,27.87M,,-70.31M,2.669M,-67.64M,-1.174M,,0.937M,-67.87M,,-0.018M,0.00,-0.018M,4.731M,,4.731M,-6.543M,-6.543M,0.496M,0.247M,-1.087M,,268.77M,-41.09M,227.68M,,,4.731M,0.00,-0.018M,,,,,AOR,Restated
2014-03,54.00M,-236.36M,,-236.36M,,69.38M,-7.648M,4.319M,-2.997M,74.22M,,,,,40.13M,-4.972M,,-46.01M,17.78M,-28.22M,720.06M,,-63.02M,628.81M,,-579.68M,,-579.68M,22.81M,,22.81M,-6.531M,-6.531M,11.60M,2.996M,-548.80M,,193.74M,75.04M,268.77M,,,22.81M,0.00,-579.68M,,,,,AOR,Restated
2013-12,9.082M,-2.381M,,-2.381M,,65.55M,-9.201M,5.304M,0.735M,8.86M,,,,,18.54M,96.49M,,-158.07M,2.602M,-155.47M,0.00,,-0.041M,-155.51M,,155.89M,-156.00M,-0.109M,3.821M,,3.821M,-1.301M,-1.301M,5.271M,-0.735M,6.947M,,245.81M,-52.08M,193.74M,,,3.821M,0.00,-0.109M,,,,,AOR,Restated
2013-09,41.36M,-8.047M,,145.05M,,78.32M,5.719M,5.687M,-0.008M,-0.121M,,,,,29.35M,305.36M,,-57.27M,12.46M,-44.81M,-1.304M,,0.00,-46.12M,,-145.02M,45.00M,-100.02M,0.00,,0.00,-1.292M,-1.292M,0.893M,0.008M,-100.41M,,86.98M,158.83M,245.81M,,,0.00,45.00M,-145.02M,,,,,AOR,Restated
2013-06,28.77M,-23.41M,,-23.41M,,76.96M,8.337M,6.169M,-0.032M,1.369M,,,,,-130.64M,-32.48M,,-33.19M,0.894M,-32.30M,5.005M,,0.00,-27.29M,,-151.46M,111.00M,-40.46M,0.00,,0.00,-1.299M,-1.299M,0.395M,0.032M,-41.33M,,188.08M,-101.10M,86.98M,,,0.00,111.00M,-151.46M,,,,,AOR,Restated
2013-03,-54.84M,-17.14M,,-17.14M,,75.60M,-39.92M,4.933M,-0.856M,-2.995M,,,,,22.35M,-12.87M,,-26.85M,1.623M,-25.23M,-42.05M,,0.002M,-67.27M,,-10.02M,,-10.02M,0.00,,0.00,-1.299M,-1.299M,3.203M,0.856M,-7.256M,,275.48M,-87.40M,188.08M,,,0.00,,-10.02M,,,,,AOR,Restated
2012-12,3.483M,-46.77M,,26.82M,,70.61M,-3.636M,8.112M,,9.333M,,,,,30.26M,144.72M,,-43.94M,51.90M,7.96M,10.48M,,0.798M,19.23M,,-134.66M,0.00,-134.66M,,,,-1.298M,-1.298M,4.295M,0.065M,-131.60M,,243.13M,32.35M,275.48M,,,,0.00,-134.66M,,,,,AOR,Restated
2012-09,14.26M,-0.872M,,-0.872M,,84.11M,-14.58M,5.761M,,-2.003M,,,,,10.15M,96.82M,,-15.83M,2.861M,-12.97M,-1.137M,,0.914M,-13.20M,,-0.015M,0.00,-0.015M,,,,-1.295M,-1.295M,2.643M,-0.132M,1.201M,,158.30M,84.82M,243.13M,,,,0.00,-0.015M,,,,,AOR,Restated
2012-06,-18.28M,-13.15M,,-13.15M,,84.12M,-20.65M,1.724M,,-0.102M,,,,,-65.86M,-32.20M,,-14.74M,15.32M,0.583M,0.00,,0.018M,0.601M,,-0.015M,0.00,-0.015M,,,,-1.295M,-1.295M,0.041M,0.002M,-1.267M,,191.17M,-32.87M,158.30M,,,,0.00,-0.015M,,,,,AOR,Restated
2012-03,-52.05M,-17.86M,,-17.86M,,85.17M,-30.97M,1.877M,,-2.847M,,,,,45.83M,29.14M,,-18.85M,10.75M,-8.098M,11.83M,,0.031M,3.76M,,-0.09M,,-0.09M,,,,-1.295M,-1.295M,3.483M,0.331M,2.429M,,155.84M,35.33M,191.17M,,,,,-0.09M,,,,,AOR,Restated
2011-12,-27.86M,-2.922M,3.762M,-18.31M,,79.85M,-35.17M,5.463M,,23.52M,,,,,19.95M,47.32M,,-21.58M,1.945M,-19.64M,-8.622M,,-0.134M,-28.39M,,-309.78M,285.50M,-24.28M,0.00,,0.00,-1.294M,-1.294M,0.383M,9.721M,-15.47M,,152.38M,3.46M,155.84M,,,0.00,0.00,-309.78M,,,,,AOR,Restated
2011-09,19.96M,-40.23M,-1.767M,-42.00M,,90.95M,33.46M,4.142M,,2.462M,,,,,5.733M,114.71M,,-25.82M,5.013M,-20.81M,60.55M,,0.32M,40.06M,,-0.213M,-100.00M,-100.21M,0.00,,0.00,-32.31M,-32.31M,0.00,23.39M,-109.13M,,106.74M,45.64M,152.38M,,,0.00,0.00,-0.213M,,,,,AOR,Restated
2011-06,-8.139M,-2.919M,-0.982M,15.25M,,92.14M,-41.47M,5.173M,,5.976M,,,,,-105.96M,-37.03M,,-27.30M,6.125M,-21.18M,0.00,,0.964M,-20.22M,,365.32M,-200.00M,165.32M,4.745M,,4.745M,-32.30M,-32.30M,0.12M,-37.05M,100.83M,,63.16M,43.58M,106.74M,,,4.745M,1.10B,-734.68M,,,,,AOR,Restated
2011-03,-54.73M,-12.74M,-1.013M,-13.75M,,90.59M,-50.56M,3.676M,,0.461M,,,,,68.37M,44.05M,,-24.21M,0.592M,-23.62M,12.28M,,0.40M,-10.93M,,-3.059M,14.50M,11.44M,0.191M,,0.191M,-32.26M,-32.26M,3.112M,0.025M,-17.50M,,47.54M,15.62M,63.16M,,,0.191M,,-3.059M,,,,,AOR,Restated
2010-12,-96.49M,-9.091M,23.40M,14.31M,,84.28M,-0.624M,5.439M,,42.19M,,,,,26.58M,74.88M,,-24.22M,9.594M,-14.63M,-35.13M,,3.563M,-46.19M,,-325.21M,285.50M,-39.71M,0.00,,0.00,,-32.10M,7.905M,0.26M,-63.64M,,82.50M,-34.96M,47.54M,,,0.00,0.00,-88.70M,,,,,AOR,Restated
2010-09,,-0.477M,-2.325M,-2.802M,,97.70M,3.695M,4.674M,,15.14M,,,,,-9.232M,109.17M,,-19.95M,0.784M,-19.16M,-35.40M,,4.392M,-50.17M,,331.19M,-320.00M,11.19M,6.42M,,6.42M,,-32.10M,0.00,-4.192M,-18.67M,,42.17M,40.32M,82.50M,,,6.42M,450.00M,-355.32M,,,,,AOR,Restated
2010-06,38.75M,-1.362M,-1.025M,-2.387M,,97.28M,-22.39M,5.247M,,-60.32M,,,,,-43.96M,12.22M,,-22.40M,2.17M,-20.23M,-0.11M,,-0.357M,-20.70M,,-0.095M,20.00M,19.91M,24.06M,,24.06M,,-32.00M,2.491M,0.25M,14.71M,,35.94M,6.233M,42.17M,,,24.06M,-63.49M,-0.095M,,,,,AOR,Restated
2010-03,-38.75M,-57.16M,-20.05M,-77.22M,,94.20M,-32.37M,5.277M,,8.753M,,,,,46.54M,6.439M,,-19.76M,1.054M,-18.70M,51.06M,,-3.672M,28.69M,,-75.09M,63.49M,-11.61M,11.25M,,11.25M,,-31.60M,10.11M,0.40M,-21.45M,,22.26M,13.68M,35.94M,,,11.25M,63.49M,-75.09M,,,,,AOR,Restated
2009-12,30.31M,-16.45M,-0.823M,-17.27M,,96.45M,-17.30M,1.25M,,-31.59M,,,,,38.43M,98.21M,,-15.56M,11.35M,-4.213M,0.00,2.692M,-1.076M,-2.597M,,-65.17M,-49.84M,-115.01M,19.42M,,19.42M,,-31.42M,6.369M,0.75M,-119.90M,,46.55M,-24.28M,22.26M,,,19.42M,0.00,-65.17M,,,,,AOR,Restated
2009-09,10.57M,-7.585M,-24.55M,-32.14M,,99.24M,-32.15M,7.86M,,44.34M,,,,,87.70M,185.42M,,-34.06M,2.348M,-31.72M,4.538M,0.00,-0.038M,-27.22M,,-15.09M,-125.94M,-141.04M,8.892M,,8.892M,,-31.30M,7.261M,0.811M,-155.37M,,43.71M,2.836M,46.55M,,,8.892M,0.00,657.08M,,,,,AOR,Restated
2009-06,22.21M,-0.653M,-1.111M,-1.764M,,99.60M,3.052M,8.219M,,-31.16M,,,,,-35.85M,64.30M,,-34.46M,0.981M,-33.48M,-36.98M,5.387M,0.278M,-64.80M,,-266.38M,-254.70M,-521.08M,571.44M,,571.44M,,-54.68M,0.942M,0.141M,-3.242M,,47.45M,-3.735M,43.71M,,,571.44M,0.00,-521.08M,,,,,AOR,Restated
2009-03,-32.78M,-3.227M,-1.131M,-4.358M,,99.32M,2.619M,5.791M,,34.51M,,,,,,105.10M,,-25.64M,3.07M,-22.57M,11.54M,25.20M,0.436M,14.61M,,382.58M,-417.48M,-34.90M,6.80M,,6.80M,,-54.07M,2.755M,-3.042M,-82.45M,,10.19M,37.25M,47.45M,,,6.80M,397.66M,-432.56M,,,,,AOR,Restated
2008-12,-212.82M,-7.537M,-0.708M,-8.245M,,97.57M,-17.88M,4.713M,-2.757M,-15.83M,,,,,59.52M,156.94M,,-58.31M,8.745M,-49.57M,-4.944M,0.00,0.449M,-54.06M,,-48.79M,-80.44M,-129.23M,0.00,,0.00,,-53.97M,-3.217M,2.756M,-183.66M,,90.97M,-80.78M,10.19M,,,0.00,0.00,-129.23M,,,,,,Restated
2008-09,59.05M,-2.247M,-0.826M,-3.073M,,98.72M,-2.074M,5.214M,-4.847M,9.331M,,,,,-18.13M,144.19M,,-96.23M,3.221M,-93.01M,0.24M,0.00,-37.22M,-129.98M,,0.00,-46.08M,-46.08M,0.00,,0.00,,-53.84M,20.97M,4.504M,-74.45M,,151.21M,-60.24M,90.97M,,,0.00,0.00,-46.08M,,,,,,Restated
2008-06,140.76M,-80.50M,-0.855M,-81.35M,,96.92M,-1.426M,4.95M,-0.443M,-2.389M,,,,,-35.88M,121.14M,,-89.37M,6.988M,-82.38M,184.28M,0.00,0.409M,102.31M,,949.08M,-983.27M,-34.19M,-0.006M,,-0.006M,,-53.80M,2.651M,-37.91M,-123.26M,,51.02M,100.19M,151.21M,,,-0.006M,847.89M,-882.08M,,,,,,Restated
2008-03,13.93M,-3.945M,-0.738M,-4.683M,,95.86M,1.62M,4.219M,-3.162M,-4.177M,,,,,-90.69M,12.92M,,-109.29M,6.588M,-102.70M,-37.85M,0.00,33.24M,-107.30M,,0.00,100.79M,100.79M,55.08M,,55.08M,,-53.18M,4.199M,3.637M,110.52M,,34.89M,16.14M,51.02M,,,55.08M,101.19M,-0.403M,,,,,,Restated
2007-12,84.61M,,,10.08M,80.40M,80.40M,,,,-1.65M,,,,83.23M,121.88M,286.83M,,-131.84M,27.82M,-104.01M,-3.239B,3.431M,0.69M,-3.339B,,,,3.166B,1.27M,0.00,1.27M,,-49.76M,,-61.39M,3.056B,,31.08M,3.809M,34.89M,,,1.27M,,,0.00,,,,,
2007-09,135.41M,,,2.124M,66.37M,66.37M,,,,10.75M,,,,-11.27M,-11.27M,203.37M,,-116.69M,5.622M,-111.06M,22.14M,-0.065M,0.988M,-88.00M,,,,-76.41M,0.841M,0.00,0.841M,,-43.95M,,0.629M,-118.89M,,34.59M,-3.514M,31.08M,,,0.841M,,,0.00,,,,,
2007-06,142.01M,,,-5.78M,63.90M,63.90M,,,,3.975M,,,,-84.32M,-84.32M,119.79M,,-112.16M,4.669M,-107.50M,8.414M,0.225M,-8.012M,-106.87M,,,,-16.42M,9.983M,0.00,9.983M,,-43.85M,,1.992M,-48.29M,,69.96M,-35.37M,34.59M,,,9.983M,,,0.00,,,,,
2007-03,88.87M,,,-45.46M,60.80M,60.80M,,,,3.871M,,,,-9.942M,-9.942M,98.14M,,-122.64M,50.82M,-71.81M,-58.86M,1.435M,8.73M,-120.50M,,,,41.15M,22.98M,-4.80M,18.18M,,-43.76M,,21.52M,37.09M,,55.23M,14.73M,69.96M,,,22.98M,,,-4.80M,,,,,
2006-12,116.54M,,,-1.692M,60.75M,60.75M,,,,12.92M,,,,134.09M,27.21M,215.73M,,-136.06M,2.008M,-134.05M,-0.033M,0.132M,0.617M,-133.34M,,,,-69.91M,5.853M,-1.169M,4.684M,,-34.97M,,4.385M,-95.82M,,68.65M,-13.42M,55.23M,,,5.853M,,,-1.169M,,,,,
2006-09,132.96M,,,-2.971M,56.76M,56.76M,,,,-0.912M,,,,-16.31M,-16.31M,169.52M,,-111.87M,1.129M,-110.74M,137.84M,-0.068M,-0.556M,26.47M,,,,19.58M,3.499M,-186.41M,-182.91M,,-35.25M,,0.047M,-198.53M,,71.19M,-2.54M,68.65M,,,3.499M,,,-186.41M,,,,,
2006-06,150.63M,,,-26.15M,55.17M,55.17M,,,,-1.104M,,,,-56.46M,-56.46M,122.08M,,-91.49M,27.06M,-64.43M,-2.744M,69.10M,0.556M,2.485M,,,,217.00M,-2.268M,-315.89M,-318.16M,,-36.69M,,4.122M,-133.72M,,80.34M,-9.152M,71.19M,,,-2.268M,,,-315.89M,,,,,
2006-03,70.08M,,,-0.757M,53.69M,53.69M,,,,2.016M,,,,-53.02M,-53.02M,72.02M,,-95.79M,2.572M,-93.22M,-13.68M,106.28M,-0.013M,-0.63M,,,,-240.30M,21.80M,-19.34M,2.468M,,-37.17M,,8.822M,-266.18M,,275.14M,-194.80M,80.34M,,,21.80M,,,-19.34M,,,,,
2005-12,90.94M,,,17.49M,59.48M,59.48M,,,,-21.13M,,210.45M,-112.13M,,52.27M,199.05M,,-64.44M,5.56M,-58.88M,143.43M,17.56M,-145.56M,-43.45M,,,,-2.059M,2.546M,-105.35M,-102.81M,,-29.18M,,0.001M,-134.05M,,253.59M,21.54M,275.14M,,,2.546M,,,-105.35M,,,,,
2005-09,122.22M,,,-29.98M,55.75M,55.75M,,,,15.88M,,-51.31M,-52.49M,,-103.80M,60.07M,,-51.08M,-212.90M,-263.99M,-20.60M,56.88M,208.78M,-18.92M,,,,-0.164M,10.21M,-54.12M,-43.91M,,-29.61M,,-0.001M,-73.69M,,286.13M,-32.54M,253.59M,,,10.21M,,,-54.12M,,,,,
2005-06,121.55M,,,-1.647M,54.98M,54.98M,,,,-2.909M,,-105.27M,45.02M,,-60.25M,111.72M,,-54.92M,216.49M,161.57M,-25.41M,-122.56M,-62.44M,-48.85M,,,,-8.891M,15.81M,-19.52M,-3.712M,,-29.60M,,-6.088M,-48.29M,,271.55M,14.58M,286.13M,,,15.81M,,,-19.52M,,,,,
2005-03,54.35M,,,-1.444M,52.66M,52.66M,,,,-3.771M,,-42.58M,43.13M,,0.55M,102.35M,,-45.20M,1.481M,-43.72M,-47.30M,52.80M,0.284M,-37.95M,,,,-0.489M,9.376M,-49.48M,-40.11M,,-29.84M,,6.135M,-64.30M,,271.45M,0.102M,271.55M,,,9.376M,,,-49.48M,,,,,
2004-12,85.63M,,,-19.44M,54.00M,54.00M,,,,3.529M,,95.07M,-49.76M,,93.26M,216.98M,,-61.78M,21.71M,-40.07M,-5.122M,8.684M,-0.661M,-37.17M,,,,-48.25M,6.957M,,6.957M,,-26.65M,,0.00,-67.94M,,159.58M,111.87M,271.45M,,,6.957M,,,,,,,,
2004-09,98.96M,,,-3.173M,63.80M,63.80M,,,,3.137M,,-25.11M,19.48M,,-5.628M,157.10M,,-42.76M,2.555M,-40.20M,-0.625M,-63.61M,0.268M,-104.17M,,,,21.64M,4.18M,,4.18M,,-26.60M,,0.00,-0.782M,,107.43M,52.15M,159.58M,,,4.18M,,,,,,,,
2004-06,87.80M,,,-6.288M,63.75M,63.75M,,,,-3.804M,,-65.66M,36.72M,,-28.94M,112.52M,,-57.34M,19.00M,-38.34M,-14.42M,-60.60M,0.248M,-113.11M,,,,-244.87M,3.798M,,3.798M,,-26.56M,,1.569M,-266.07M,,374.09M,-266.66M,107.43M,,,3.798M,,,,,,,,
