,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-09,743.20M,743.20M,616.46M,126.75M,77.56M,2.113M,,,-47.53M,-0.769M,76.79M,49.96M,,,-47.53M,2.113M,-47.53M,4.543M,-6.048M,10.59M,2.655M,,,13.25M,9.218M,147.65M,97.70M,49.96M,,0.08,0.02,,0.0693,0.10,,0.08,0.02,,0.0693,0.10,,128.60M,128.91M,0.25,,AOR,Restated
2010-06,736.15M,736.15M,613.82M,122.34M,83.38M,0.129M,,,-43.72M,39.11M,122.49M,-0.152M,,,-43.72M,0.129M,-43.72M,-43.75M,-21.23M,-22.52M,-1.477M,,,-23.99M,-22.60M,97.13M,97.28M,-0.152M,,-0.18,-0.01,,-0.1807,-0.19,,-0.18,-0.01,,-0.1807,-0.19,,128.17M,128.17M,0.25,,AOR,Restated
2010-03,493.26M,493.26M,492.37M,0.894M,86.50M,49.75M,,,-43.29M,-0.46M,86.04M,-85.14M,,,-43.29M,49.75M,-43.29M,-78.69M,-34.21M,-44.47M,5.727M,,,-38.75M,-76.81M,9.056M,94.20M,-85.14M,,-0.35,0.04,,-0.6052,-0.31,,-0.35,0.04,,-0.6052,-0.31,,126.69M,126.69M,0.25,,AOR,Restated
2009-12,590.14M,590.14M,522.10M,68.04M,82.98M,14.17M,,,-42.95M,,80.09M,-12.05M,,,-42.95M,14.17M,-42.95M,-40.83M,-28.25M,-12.58M,-0.767M,,,-13.35M,-21.80M,116.09M,96.45M,19.63M,,-0.11,-0.01,,-0.1831,-0.12,,-0.11,-0.01,,-0.1828,-0.12,,125.96M,126.58M,0.25,,AOR,Restated
2009-09,778.19M,778.19M,623.71M,154.48M,79.56M,10.25M,,,-43.52M,-0.286M,79.27M,75.21M,,,-43.52M,10.25M,-43.52M,41.94M,-5.983M,47.92M,6.308M,,,54.23M,41.26M,174.45M,99.24M,75.21M,,0.38,0.05,,0.3268,0.43,,0.38,0.05,,0.3271,0.43,,125.36M,125.86M,0.25,,AOR,Restated
2009-06,721.86M,721.86M,576.02M,145.83M,79.35M,2.895M,44.07M,0.687M,-43.39M,0.797M,80.15M,65.68M,0.687M,44.07M,-43.39M,2.895M,-43.39M,25.19M,9.632M,15.56M,6.651M,,,22.21M,13.77M,168.87M,99.60M,69.27M,,0.14,0.06,,0.1242,0.20,,0.14,0.06,,0.1243,0.20,,113.48M,113.83M,0.49,,AOR,Restated
2009-03,600.29M,600.29M,522.69M,77.61M,79.72M,-1.075M,43.92M,0.795M,-43.12M,-0.784M,78.93M,-1.326M,0.795M,43.92M,-43.12M,-1.075M,-43.12M,-45.52M,-13.27M,-32.26M,-0.525M,,,-32.78M,-31.49M,97.71M,99.32M,-1.606M,,-0.29,-0.01,,-0.2831,-0.30,,-0.29,-0.01,,-0.2831,-0.30,,110.60M,110.60M,0.49,,AOR,Restated
2008-12,799.20M,799.20M,650.01M,149.19M,88.86M,-253.99M,46.58M,0.502M,-46.08M,-181.37M,-92.50M,241.70M,0.502M,46.58M,-46.08M,-253.99M,-46.08M,-231.83M,-19.67M,-212.16M,-0.661M,,,-212.82M,20.27M,-87.68M,97.57M,-185.25M,,-1.94,0.00,,0.1654,-1.94,,-1.94,0.00,,0.1483,-1.94,,110.40M,111.30M,0.49,,,Restated
2008-09,1.013B,1.013B,812.50M,200.85M,76.36M,-3.825M,44.58M,0.955M,-43.62M,3.821M,80.18M,120.66M,0.955M,44.58M,-43.62M,-3.825M,-43.62M,80.85M,21.04M,59.82M,-0.766M,,,59.05M,62.65M,224.15M,98.72M,125.43M,,0.54,0.00,,0.5657,0.54,,0.54,-0.01,,0.5654,0.53,,110.11M,111.27M,0.49,,,Restated
2008-06,1.022B,1.022B,776.32M,245.23M,84.78M,3.444M,38.19M,0.997M,-37.20M,82.97M,167.75M,77.47M,0.997M,38.19M,-37.20M,3.444M,-37.20M,204.72M,63.49M,141.22M,-0.47M,,,140.76M,138.85M,339.83M,96.92M,242.91M,,1.28,0.00,,1.258,1.28,,1.27,0.00,,1.249,1.27,,109.92M,111.12M,0.49,,,Restated
2008-03,817.34M,817.34M,662.89M,154.45M,92.58M,-2.651M,43.46M,0.671M,-42.79M,3.006M,95.58M,58.87M,0.671M,43.46M,-42.79M,-2.651M,-42.79M,21.32M,6.835M,14.48M,-0.552M,,,13.93M,16.29M,160.63M,95.86M,64.78M,,0.13,0.00,,0.1466,0.13,,0.13,0.00,,0.1464,0.13,,108.64M,109.90M,0.49,,,Restated
2007-12,856.89M,856.89M,635.81M,221.08M,77.50M,-2.519M,,,,-2.15M,75.35M,145.74M,,,,-2.519M,,117.46M,31.32M,86.14M,-1.526M,,,84.61M,87.99M,226.14M,80.40M,145.74M,,0.82,-0.01,,0.8382,0.81,,0.81,-0.01,,0.8278,0.80,,101.62M,103.65M,0.46,,,
2007-09,904.87M,904.87M,627.47M,277.39M,66.40M,1.717M,,,,-3.307M,63.09M,214.30M,,,,1.717M,,206.86M,62.93M,143.93M,-8.515M,,,135.41M,142.73M,280.67M,66.37M,214.30M,,1.50,-0.09,,1.488,1.41,,1.47,-0.09,,1.458,1.38,,95.76M,97.89M,0.46,,,
2007-06,878.84M,878.84M,593.61M,285.23M,71.31M,3.195M,,,,-3.308M,68.00M,217.23M,,,,3.195M,,210.15M,66.46M,143.68M,-1.67M,,,142.01M,141.50M,281.14M,63.90M,217.23M,,1.50,-0.01,,1.477,1.49,,1.46,-0.01,,1.438,1.45,,95.58M,98.16M,0.46,,,
2007-03,687.19M,687.19M,519.99M,167.20M,74.40M,45.56M,,,,-44.35M,30.05M,137.15M,,,,45.56M,,133.04M,43.70M,89.34M,-0.465M,,,88.87M,58.75M,197.95M,60.80M,137.15M,,0.94,-0.01,,0.6186,0.93,,0.91,-0.01,,0.5971,0.91,,95.17M,97.78M,0.46,,,
2006-12,816.30M,816.30M,579.09M,237.22M,93.01M,28.34M,,,,,65.55M,171.67M,,,,28.34M,,167.07M,49.34M,117.73M,-1.187M,,,116.54M,97.75M,232.42M,60.75M,171.67M,,1.24,-0.01,,1.029,1.23,,1.21,-0.01,,1.004,1.20,,94.67M,97.10M,0.37,,,
2006-09,929.32M,929.32M,656.03M,273.29M,66.57M,4.81M,,,,,66.57M,206.72M,,,,4.81M,,204.73M,63.42M,141.31M,-5.243M,,,136.06M,137.99M,263.48M,56.76M,206.72M,,1.48,-0.06,,1.445,1.42,,1.45,-0.06,,1.416,1.39,,95.71M,97.68M,0.37,,,
2006-06,888.16M,888.16M,630.28M,257.88M,65.15M,36.15M,,,,-25.39M,39.76M,218.12M,,,,36.15M,,224.66M,72.31M,152.35M,-1.715M,,,150.63M,127.84M,273.29M,55.17M,218.12M,,1.53,-0.02,,1.283,1.51,,1.50,-0.02,,1.259,1.48,,99.43M,101.64M,0.37,,,
2006-03,708.69M,708.69M,544.79M,163.89M,65.01M,12.22M,,,,-0.363M,64.65M,99.24M,,,,12.22M,,107.47M,35.56M,71.90M,-1.82M,,,70.08M,63.73M,152.94M,53.69M,99.24M,,0.72,-0.02,,0.6387,0.70,,0.70,-0.02,,0.6201,0.68,,100.55M,102.35M,0.37,,,
2005-12,754.62M,754.62M,575.67M,178.95M,58.73M,11.90M,,,,,58.29M,120.66M,,,,11.90M,,127.51M,35.09M,92.42M,-1.485M,,,90.94M,83.79M,180.13M,59.48M,120.66M,,0.91,-0.01,,0.8247,0.90,,0.90,-0.02,,0.8164,0.88,,101.21M,103.21M,0.29,,,
2005-09,830.02M,830.02M,602.76M,227.26M,62.35M,10.67M,,,,,62.35M,164.91M,,,,10.67M,,172.91M,44.59M,128.32M,-6.105M,,,122.22M,120.40M,220.66M,55.75M,164.91M,,1.25,-0.06,,1.173,1.19,,1.23,-0.06,,1.154,1.17,,102.32M,104.40M,0.29,,,
2005-06,782.07M,782.07M,571.70M,210.38M,55.69M,-0.502M,,,,,55.69M,154.69M,,,,-0.502M,,147.72M,45.76M,101.95M,19.60M,,,121.55M,102.30M,209.66M,54.98M,154.69M,,1.00,0.19,,1.003,1.19,,0.98,0.19,,0.9833,1.17,,102.26M,104.03M,0.29,,,
2005-03,528.62M,528.62M,439.41M,89.20M,51.44M,1.556M,,,,,51.44M,37.77M,,,,1.556M,,32.55M,11.12M,21.43M,32.92M,,,54.35M,20.41M,90.43M,52.66M,37.77M,,0.21,0.32,,0.2000,0.53,,0.21,0.31,,0.2002,0.52,,102.94M,104.61M,0.29,,,
2004-12,608.65M,608.65M,470.47M,138.18M,63.77M,26.10M,,,,,63.77M,74.42M,,,,26.10M,,93.29M,28.34M,64.96M,20.68M,,,85.63M,46.79M,128.42M,54.00M,74.42M,,0.63,0.21,,0.4531,0.84,,0.62,0.20,,0.4455,0.82,,102.70M,104.12M,0.26,,,
2004-09,723.38M,723.38M,526.16M,197.21M,51.19M,1.67M,,,,,51.19M,146.02M,,,,1.67M,,139.82M,47.83M,91.99M,6.971M,,,98.96M,90.89M,209.83M,63.80M,146.02M,,0.90,0.07,,0.8893,0.97,,0.89,0.07,,0.8794,0.96,,102.50M,103.66M,0.26,,,
2004-06,647.91M,647.91M,484.54M,163.37M,50.11M,7.096M,,,,,50.11M,113.26M,,,,7.096M,,112.18M,28.59M,83.59M,4.205M,,,87.80M,78.30M,177.01M,63.75M,113.26M,,0.82,0.04,,0.7684,0.86,,0.81,0.04,,0.7589,0.85,,102.39M,103.45M,0.26,,,
2004-03,474.40M,474.40M,390.49M,83.90M,44.22M,1.996M,,,,,44.22M,39.69M,,,,1.996M,,30.27M,9.595M,21.48M,-6.488M,,0.81M,15.00M,20.12M,103.18M,63.49M,39.69M,,0.20,-0.05,,0.1867,0.15,,0.20,-0.06,,0.1868,0.14,,102.19M,103.42M,0.26,,,
2003-12,146.19M,146.19M,14.39M,131.80M,5.24M,-1.101M,,,,,5.24M,126.56M,,,,-1.101M,,112.15M,37.15M,75.00M,-17.67M,0.00,,57.33M,75.73M,195.56M,68.99M,126.56M,,0.73,-0.17,0.00,0.7372,0.56,,0.73,-0.17,0.0001,0.7371,0.56,,101.96M,103.09M,0.245,,,
