,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,38.14M,,38.14M,489.44M,,489.44M,57.78M,1.303M,340.67M,,399.75M,75.50M,8.373M,,,1.011B,,,,,,,8.116B,-4.091B,4.026B,3.130B,1.061B,4.191B,35.06M,190.10M,8.442B,9.453B,,188.16M,188.16M,,188.16M,,200.00M,0.022M,200.02M,200.02M,195.12M,583.31M,,2.776B,,2.776B,479.43M,190.73M,670.16M,,,510.85M,3.957B,4.540B,,132.29M,2.139B,2.788B,,-145.81M,4.913B,,AOR,Restated
2017-12,141.65M,,141.65M,434.09M,154.25M,588.34M,54.80M,1.827M,327.71M,,384.34M,,5.00M,,60.78M,1.180B,2.742B,135.66M,4.740B,172.63M,161.18M,17.35M,7.969B,-4.050B,3.919B,3.122B,1.064B,4.186B,35.12M,184.79M,8.325B,9.505B,,197.34M,197.34M,98.87M,296.21M,,0.00,41.38M,41.38M,41.38M,105.28M,442.87M,218.12M,2.813B,,2.813B,464.08M,191.48M,675.41M,283.30M,,102.81M,4.093B,4.536B,,132.32M,2.180B,2.806B,,-149.47M,4.969B,,AOR,Restated
2017-09,701.16M,,701.16M,579.20M,,579.20M,57.13M,1.652M,307.05M,,365.83M,100.78M,0.00,,,1.747B,,,,,,,7.540B,-4.002B,3.538B,3.101B,835.27M,3.937B,36.00M,182.06M,7.692B,9.439B,,181.21M,181.21M,,181.21M,,,,4.827M,4.827M,227.66M,413.70M,,2.810B,,2.810B,716.16M,193.12M,909.28M,,,621.25M,4.341B,4.754B,,132.28M,1.886B,2.803B,,-136.26M,4.685B,,AOR,Restated
2017-06,1.130B,,1.130B,570.09M,,570.09M,55.25M,1.21M,318.46M,,374.93M,110.00M,0.00,,,2.185B,,,,,,,7.532B,-3.993B,3.539B,3.101B,834.97M,3.936B,38.89M,171.02M,7.685B,9.870B,,202.75M,202.75M,,202.75M,,,,525.78M,525.78M,197.26M,925.79M,,2.809B,,2.809B,706.73M,195.02M,901.75M,,,631.01M,4.342B,5.268B,,132.18M,1.811B,2.797B,,-137.87M,4.602B,,AOR,Restated
2017-03,286.96M,,286.96M,468.83M,,468.83M,56.07M,1.314M,306.01M,,363.40M,38.57M,0.00,,,1.158B,,,,,,,7.432B,-3.981B,3.452B,3.101B,829.11M,3.930B,34.31M,170.08M,7.587B,8.744B,,175.91M,175.91M,,175.91M,,,,0.139M,0.139M,184.85M,360.90M,,2.329B,,2.329B,703.49M,196.74M,900.23M,,,633.19M,3.863B,4.224B,,132.22M,1.734B,2.793B,,-138.63M,4.521B,,AOR,Restated
2016-12,258.99M,,258.99M,398.49M,93.33M,491.82M,50.52M,1.48M,293.62M,,345.62M,31.73M,9.033M,,,1.137B,2.374B,127.37M,4.316B,168.26M,182.30M,17.60M,7.186B,-3.924B,3.261B,3.095B,769.05M,3.864B,39.23M,169.75M,7.334B,8.471B,,145.04M,145.04M,101.21M,246.25M,,,,0.138M,0.138M,125.86M,372.24M,223.87M,1.983B,,1.983B,702.85M,198.39M,920.94M,287.32M,,111.88M,3.527B,3.899B,,132.34M,1.772B,2.808B,,-139.38M,4.572B,,AOR,Restated
2016-09,135.36M,,135.36M,531.98M,,531.98M,52.02M,2.753M,283.27M,,338.04M,71.37M,0.00,0.00,,1.077B,,,,,,,7.105B,-3.877B,3.228B,3.095B,753.31M,3.848B,38.91M,165.98M,7.281B,8.358B,,163.14M,163.14M,,163.14M,,,,0.131M,0.131M,197.64M,360.91M,,1.984B,,1.984B,706.72M,201.73M,908.45M,,,601.12M,3.493B,3.854B,,132.31M,1.661B,2.830B,,-119.11M,4.504B,,AOR,Restated
2016-06,91.90M,,91.90M,532.80M,,532.80M,50.24M,2.223M,295.40M,,347.87M,50.84M,0.00,0.00,,1.023B,,,,,,,7.052B,-3.835B,3.217B,3.095B,754.34M,3.849B,38.92M,161.25M,7.267B,8.290B,,176.48M,176.48M,,176.48M,,,,0.131M,0.131M,156.07M,332.68M,,1.983B,,1.983B,684.00M,203.80M,887.80M,,,607.78M,3.478B,3.811B,,133.03M,1.639B,2.826B,,-119.43M,4.479B,,AOR,Restated
2016-03,191.89M,,191.89M,443.76M,,443.76M,47.65M,1.221M,288.89M,,337.76M,34.10M,0.00,0.00,,1.008B,,,,,,,6.984B,-3.787B,3.198B,3.095B,753.37M,3.848B,38.90M,154.60M,7.240B,8.247B,,185.65M,185.65M,,185.65M,,,,0.131M,0.131M,170.70M,356.48M,,1.981B,,1.981B,663.36M,205.89M,869.26M,,,618.81M,3.469B,3.826B,,133.35M,1.584B,2.823B,,-119.76M,4.421B,,AOR,Restated
2015-12,284.06M,,284.06M,397.29M,20.74M,418.02M,48.14M,1.008M,297.92M,,347.07M,34.28M,1.15M,,,1.085B,2.306B,124.95M,4.125B,166.25M,155.33M,14.14M,6.891B,-3.735B,3.156B,3.095B,766.58M,3.861B,40.56M,158.79M,7.217B,8.302B,,175.73M,175.73M,101.19M,276.92M,,,,0.13M,0.13M,76.43M,353.48M,226.59M,1.980B,,1.980B,681.10M,207.66M,904.74M,275.98M,,106.32M,3.494B,3.847B,,133.17M,1.619B,2.823B,,-120.07M,4.454B,,AOR,Restated
2015-09,168.68M,,168.68M,552.98M,,552.98M,49.83M,1.161M,275.72M,,326.71M,56.02M,,39.30M,,1.144B,,,,,,,6.804B,-3.684B,3.120B,3.095B,766.70M,3.862B,40.52M,151.51M,7.173B,8.317B,,195.54M,195.54M,,195.54M,,,,0.13M,0.13M,216.41M,412.08M,,1.979B,,1.979B,692.64M,209.65M,902.29M,,,659.72M,3.542B,3.954B,,133.32M,1.564B,2.813B,,-146.85M,4.363B,,AOR,Restated
2015-06,74.74M,,74.74M,490.41M,,490.41M,47.44M,1.461M,292.93M,,341.83M,75.66M,0.00,39.56M,,1.022B,,,,,,,6.753B,-3.637B,3.116B,3.095B,768.00M,3.863B,41.60M,153.74M,7.174B,8.196B,,190.90M,190.90M,,190.90M,,,,152.62M,152.62M,163.11M,506.64M,,1.894B,,1.894B,686.17M,211.43M,897.60M,,,670.95M,3.462B,3.969B,,132.98M,1.454B,2.791B,,-151.01M,4.227B,,AOR,Restated
2015-03,392.66M,,392.66M,369.95M,,369.95M,47.19M,1.189M,285.31M,,333.69M,58.48M,0.00,39.88M,,1.195B,,,,,,,6.672B,-3.587B,3.084B,3.095B,764.07M,3.859B,41.61M,171.35M,7.156B,8.351B,,157.83M,157.83M,,157.83M,,,,365.44M,365.44M,180.07M,703.34M,,1.912B,,1.912B,682.85M,212.99M,895.84M,,,678.82M,3.487B,4.190B,,132.66M,1.419B,2.765B,,-156.78M,4.160B,,AOR,Restated
2014-12,141.27M,,141.27M,354.94M,18.91M,373.84M,45.38M,1.25M,275.17M,,321.80M,28.64M,0.00,39.73M,,920.47M,2.274B,126.83M,3.952B,163.64M,78.62M,13.45M,6.609B,-3.537B,3.072B,3.095B,758.24M,3.853B,41.65M,154.28M,7.121B,8.041B,,145.15M,145.15M,156.07M,301.22M,,,,150.14M,150.14M,0.52M,451.88M,226.56M,1.835B,,1.835B,691.14M,213.97M,927.53M,328.90M,,94.88M,3.413B,3.864B,,131.91M,1.472B,2.735B,,-161.71M,4.177B,,AOR,Restated
2014-09,91.87M,,91.87M,479.75M,,479.75M,50.32M,1.331M,254.93M,,306.58M,34.67M,,41.74M,,954.62M,,,,,,,6.608B,-3.540B,3.069B,3.095B,758.86M,3.854B,42.12M,172.05M,7.137B,8.092B,,167.84M,167.84M,,167.84M,,,,0.145M,0.145M,196.83M,364.81M,,2.006B,,2.006B,733.61M,216.20M,949.82M,,,569.84M,3.526B,3.890B,,131.70M,1.442B,2.719B,,-91.52M,4.201B,,AOR,Restated
2014-06,227.68M,,227.68M,434.33M,,434.33M,48.50M,1.104M,260.11M,,309.71M,27.31M,62.09M,40.86M,,1.102B,,,,,,,6.397B,-3.495B,2.902B,3.082B,633.44M,3.715B,42.13M,173.06M,6.832B,7.934B,,178.24M,178.24M,,178.24M,,,,0.158M,0.158M,171.01M,349.40M,,2.006B,,2.006B,704.54M,217.59M,922.13M,,,569.79M,3.498B,3.848B,,130.91M,1.383B,2.666B,,-93.23M,4.086B,,AOR,Restated
2014-03,268.77M,,268.77M,348.34M,,348.34M,46.95M,0.875M,258.01M,,305.83M,28.18M,63.02M,39.59M,,1.054B,,,,,,,6.340B,-3.447B,2.893B,3.082B,633.87M,3.715B,42.14M,167.68M,6.818B,7.872B,,150.63M,150.63M,,150.63M,,,,0.171M,0.171M,190.07M,340.87M,,2.007B,,2.007B,693.23M,218.95M,912.18M,,,581.29M,3.500B,3.841B,,130.80M,1.343B,2.652B,,-94.93M,4.031B,,AOR,Restated
2013-12,193.74M,,193.74M,323.37M,16.25M,339.62M,67.39M,6.613M,270.60M,,344.61M,22.55M,,40.42M,,951.50M,2.295B,149.98M,4.248B,151.97M,76.77M,11.69M,6.934B,-3.622B,3.312B,3.082B,697.58M,3.779B,42.39M,174.14M,7.308B,8.259B,,139.34M,139.34M,159.62M,298.96M,,,,0.17M,0.17M,,299.14M,228.23M,2.522B,,2.522B,701.08M,219.74M,944.48M,230.19M,,96.76M,4.022B,4.321B,,130.20M,1.296B,2.612B,,-99.63M,3.938B,,AOR,Restated
2013-09,245.81M,,245.81M,445.23M,,445.23M,66.75M,6.385M,255.05M,,328.18M,31.85M,,39.33M,,1.101B,,,,,,,6.792B,-3.578B,3.214B,3.082B,697.66M,3.779B,43.28M,172.18M,7.209B,8.310B,,154.45M,154.45M,,154.45M,,,,0.163M,0.163M,204.03M,358.64M,,2.523B,,2.523B,673.14M,225.86M,899.00M,,,666.12M,4.089B,4.447B,,129.99M,1.288B,2.599B,,-153.88M,3.863B,,AOR,Restated
2013-06,86.98M,,86.98M,404.68M,,404.68M,68.58M,5.415M,266.49M,,340.49M,27.30M,,39.28M,,911.65M,,,,,,,6.731B,-3.520B,3.211B,3.086B,698.47M,3.785B,43.19M,170.05M,7.209B,8.120B,,128.14M,128.14M,,128.14M,,,,100.16M,100.16M,163.47M,391.77M,,2.524B,,2.524B,664.97M,73.07M,738.04M,,,652.48M,3.915B,4.307B,,129.96M,1.248B,2.592B,,-156.67M,3.814B,,AOR,Restated
2013-03,188.08M,,188.08M,322.17M,,322.17M,66.62M,6.168M,267.78M,,340.57M,24.76M,,38.84M,,927.36M,,,,,,,6.669B,-3.507B,3.161B,3.096B,691.84M,3.788B,41.71M,160.53M,7.151B,8.078B,,116.68M,116.68M,,116.68M,,,,140.60M,140.60M,212.57M,469.85M,,2.525B,,2.525B,614.40M,73.39M,687.80M,,,680.48M,3.894B,4.364B,,129.95M,1.221B,2.586B,,-221.23M,3.715B,,AOR,Restated
2012-12,275.48M,,275.48M,277.54M,19.44M,296.98M,66.17M,5.963M,262.89M,,335.02M,21.71M,,40.70M,,984.97M,2.121B,149.58M,4.195B,129.40M,60.94M,10.55M,6.667B,-3.507B,3.159B,3.087B,692.53M,3.779B,42.08M,161.11M,7.142B,8.127B,,113.34M,113.34M,171.67M,285.01M,,,,150.60M,150.60M,0.801M,436.41M,150.07M,2.526B,,2.526B,657.37M,73.58M,752.71M,406.17M,,93.78M,3.929B,4.366B,,129.72M,1.277B,2.580B,,-225.52M,3.761B,,AOR,Restated
2012-09,243.13M,,243.13M,397.41M,,397.41M,66.88M,6.209M,263.89M,,336.98M,26.38M,0.00,45.35M,,1.049B,,,,,,,6.690B,-3.477B,3.213B,3.087B,693.31M,3.780B,42.23M,141.46M,7.177B,8.226B,,,,,133.21M,,,,285.15M,285.15M,213.74M,632.10M,,2.527B,,2.527B,680.88M,,680.88M,,,618.29M,3.827B,4.459B,,129.60M,1.274B,2.568B,,-204.72M,3.767B,,AOR,Restated
2012-06,158.30M,,158.30M,390.13M,,390.13M,64.37M,3.974M,266.26M,,334.61M,24.84M,0.00,43.36M,,951.24M,,,,,,,6.698B,-3.419B,3.279B,3.087B,694.97M,3.782B,28.51M,140.14M,7.229B,8.180B,,,,,171.83M,,,,285.15M,285.15M,159.48M,616.47M,,2.528B,,2.528B,687.34M,,687.34M,,,604.95M,3.821B,4.437B,,129.39M,1.262B,2.561B,,-208.78M,3.743B,,AOR,Restated
2012-03,191.17M,,191.17M,318.18M,,318.18M,64.62M,5.077M,271.63M,,341.33M,24.57M,0.00,43.39M,,918.65M,,,,,,,6.699B,-3.349B,3.350B,3.087B,695.85M,3.783B,29.17M,135.96M,7.297B,8.216B,,,,,125.10M,,,,144.71M,144.71M,211.29M,481.09M,,2.670B,,2.670B,704.17M,,704.17M,,,615.42M,3.989B,4.470B,,129.39M,1.281B,2.548B,,-212.82M,3.746B,,AOR,Restated
2011-12,155.84M,,155.84M,299.17M,15.73M,314.89M,62.73M,4.198M,260.73M,,327.66M,21.60M,0.081M,43.03M,,863.10M,2.122B,163.18M,4.207B,136.29M,67.62M,9.238M,6.706B,-3.287B,3.418B,3.087B,697.50M,3.784B,29.00M,134.81M,7.366B,8.229B,,103.93M,103.93M,167.56M,271.49M,,,,134.76M,134.76M,,406.25M,153.98M,2.681B,,2.681B,732.53M,0.00,761.80M,350.81M,,84.18M,4.031B,4.438B,,129.24M,1.334B,2.545B,,-216.84M,3.792B,,AOR,Restated
2011-09,152.38M,,152.38M,430.04M,,430.04M,65.04M,3.473M,249.26M,,317.78M,27.07M,0.081M,47.83M,,1.002B,,,,,,,6.666B,-3.222B,3.443B,3.087B,698.70M,3.785B,28.92M,122.01M,7.380B,8.382B,,,,,134.85M,,,,5.215M,5.215M,224.24M,364.30M,,2.816B,,2.816B,800.77M,,800.77M,,,524.48M,4.141B,4.506B,,129.23M,1.373B,2.539B,,-164.94M,3.876B,,AOR,Restated
2011-06,106.74M,0.00,106.74M,389.78M,,389.78M,65.23M,4.93M,259.11M,,329.26M,21.66M,0.109M,44.79M,,892.35M,,,,,,,6.740B,-3.197B,3.543B,3.097B,694.51M,3.792B,37.25M,121.74M,7.493B,8.386B,,,,,153.73M,,,,105.23M,105.23M,162.00M,420.96M,,2.786B,,2.786B,762.41M,,762.41M,,,535.14M,4.083B,4.504B,,129.22M,1.385B,2.535B,,-167.73M,3.881B,,AOR,Restated
2011-03,63.16M,0.00,63.16M,278.13M,,278.13M,66.84M,4.83M,257.52M,,329.19M,24.30M,0.109M,57.08M,,765.25M,,,,,,,6.729B,-3.136B,3.593B,3.097B,701.05M,3.798B,37.27M,105.38M,7.534B,8.299B,,,,,119.70M,,,,305.24M,305.24M,193.34M,618.28M,,2.428B,,2.428B,812.88M,,812.88M,,,534.42M,3.775B,4.393B,,129.11M,1.426B,2.525B,,-173.67M,3.906B,,AOR,Restated
2010-12,47.54M,,47.54M,325.30M,,317.80M,22.22M,6.036M,254.84M,36.75M,319.84M,20.11M,0.547M,54.70M,,773.75M,2.096B,159.46M,4.222B,142.44M,65.17M,7.458M,6.693B,-3.060B,3.633B,3.097B,691.69M,3.789B,37.39M,106.78M,7.566B,8.340B,,102.32M,102.32M,140.33M,242.64M,,,,290.75M,290.75M,0.116M,582.35M,162.73M,2.428B,,2.428B,843.60M,,875.99M,251.75M,,83.40M,3.801B,4.384B,,128.57M,1.504B,2.501B,,-177.34M,3.956B,,AOR,Restated
2010-09,82.50M,3.91M,86.41M,404.93M,,404.93M,22.92M,5.905M,251.46M,35.96M,316.24M,42.73M,0.531M,66.72M,,932.14M,,,,,,,6.656B,-2.987B,3.669B,3.094B,693.78M,3.788B,33.81M,106.92M,7.597B,8.530B,,,,,138.46M,,,,325.25M,325.25M,207.54M,671.26M,,2.433B,,2.433B,849.92M,,849.92M,,,537.04M,3.819B,4.491B,,128.39M,1.607B,2.488B,,-183.83M,4.039B,,AOR,Restated
2010-06,42.17M,3.91M,46.08M,398.61M,,389.32M,60.60M,3.784M,246.96M,,311.34M,42.42M,3.746M,59.52M,14.86M,867.30M,,,,,,,6.633B,-2.916B,3.717B,3.094B,681.06M,3.775B,34.08M,101.61M,7.628B,8.495B,,,,,168.27M,,,,745.30M,745.30M,160.56M,1.074B,,2.001B,,2.001B,836.70M,,836.70M,,,538.93M,3.377B,4.451B,,128.27M,1.626B,2.478B,,-187.46M,4.044B,,AOR,Restated
2010-03,35.94M,4.109M,40.05M,300.65M,,291.41M,56.31M,4.663M,246.63M,,307.60M,51.54M,3.643M,56.99M,14.84M,766.07M,,,,,,,6.627B,-2.834B,3.793B,3.094B,681.87M,3.776B,33.30M,106.62M,7.709B,8.475B,,,,,128.97M,,,,625.34M,625.34M,154.90M,909.22M,,2.101B,,2.101B,863.68M,,863.68M,,,537.84M,3.503B,4.412B,,127.69M,1.682B,2.445B,,-191.05M,4.063B,,AOR,Restated
2009-12,22.26M,4.111M,26.38M,276.75M,,268.02M,21.81M,3.907M,261.75M,37.57M,325.03M,42.37M,0.00,56.02M,,732.89M,2.080B,152.62M,4.091B,147.99M,173.76M,7.231M,6.653B,-2.779B,3.875B,3.096B,682.64M,3.779B,33.28M,105.08M,7.792B,8.525B,,121.32M,121.32M,74.96M,196.28M,,,,621.89M,621.89M,0.369M,856.70M,167.76M,2.116B,,2.116B,893.97M,,927.30M,322.02M,,97.74M,3.631B,4.488B,,125.91M,1.737B,2.368B,,-194.36M,4.037B,,AOR,Restated
2009-09,46.55M,6.803M,53.35M,408.41M,,399.01M,61.19M,5.085M,265.42M,,331.70M,33.47M,,67.97M,,885.49M,,,,,,,6.678B,-2.713B,3.965B,3.094B,681.09M,3.775B,31.42M,105.93M,7.878B,8.763B,,,,,141.88M,,,,346.78M,346.78M,187.17M,675.83M,,2.506B,,2.506B,896.60M,,896.60M,,,599.04M,4.002B,4.678B,,125.40M,1.797B,2.343B,,-179.67M,4.086B,,AOR,Restated
2009-06,43.71M,6.755M,50.47M,394.94M,,385.50M,68.00M,5.133M,290.45M,,363.58M,58.42M,,69.08M,,927.06M,,,,,,,6.672B,-2.644B,4.028B,3.092B,683.09M,3.775B,30.61M,87.34M,7.921B,8.848B,,,,,145.74M,,,,472.72M,472.72M,130.10M,748.56M,,2.521B,,2.521B,957.25M,,957.25M,,,617.65M,4.096B,4.845B,,124.99M,1.743B,2.317B,,-181.37M,4.003B,,AOR,Restated
2009-03,47.45M,11.53M,58.98M,339.20M,,330.06M,64.19M,4.857M,292.78M,,361.82M,60.84M,,70.44M,,882.14M,,,,,,,6.650B,-2.560B,4.090B,3.082B,672.87M,3.755B,28.01M,80.41M,7.953B,8.836B,,,,,138.94M,,,,978.69M,978.69M,154.43M,1.272B,,2.536B,,2.536B,954.58M,,954.58M,,,619.39M,4.110B,5.382B,,110.56M,1.776B,1.751B,,-183.50M,3.453B,,AOR,Restated
2008-12,10.19M,36.73M,46.93M,326.20M,30.77M,356.98M,64.31M,4.475M,295.52M,,364.31M,54.47M,,71.20M,,893.89M,2.044B,150.92M,4.001B,153.36M,279.19M,7.508M,6.636B,-2.480B,4.156B,3.085B,673.79M,3.759B,28.00M,79.66M,8.023B,8.917B,,147.10M,147.10M,121.78M,268.88M,,,,1.394B,1.394B,,1.663B,,2.154B,,2.154B,920.48M,,955.24M,303.98M,,287.00M,3.700B,5.363B,,110.27M,1.894B,1.735B,,-185.28M,3.554B,,,Restated
2008-09,90.97M,36.99M,127.96M,519.20M,,519.20M,33.15M,4.832M,294.75M,39.36M,372.08M,42.94M,,63.37M,,1.126B,,,,,,,6.121B,-2.401B,3.720B,3.900B,,3.900B,,381.97M,8.002B,9.127B,,217.60M,217.60M,,217.60M,,,,1.508B,1.508B,176.97M,1.903B,,2.169B,,2.169B,684.10M,,684.10M,,0.41M,428.28M,3.281B,5.184B,,110.15M,2.135B,1.724B,,-26.54M,3.943B,,,Restated
