,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2014-12,1.661B,6.60M,1.667B,4.377B,1.424B,5.801B,,,,342.20M,7.810B,0.0,87.30M,,936.90M,,594.00M,1.618B,-1.07B,548.20M,3.669B,175.00M,3.844B,192.90M,341.10M,4.926B,12.74B,6.558B,,,6.558B,796.00M,7.354B,,,109.30M,,109.30M,,,,7.463B,1.613B,,1.613B,,527.90M,34.90M,257.40M,723.90M,3.122B,10.59B,41.20M,1.183B,1.548B,19.00M,,,,-636.70M,2.116B
2014-09,896.00M,6.40M,902.40M,3.871B,1.726B,5.596B,,,,402.00M,6.901B,,,,,,,1.616B,-1.086B,530.20M,3.686B,,3.686B,160.60M,500.30M,4.878B,11.78B,5.875B,,,5.875B,638.80M,6.514B,,,130.50M,,130.50M,,,,6.644B,1.627B,,1.627B,,475.80M,32.60M,255.30M,660.30M,3.018B,9.662B,53.30M,915.20M,3.024B,1.414B,,,,-495.20M,2.083B
2014-06,895.10M,6.30M,901.40M,4.272B,1.799B,6.071B,,,,429.30M,7.402B,,,,,,,1.649B,-1.112B,537.10M,3.715B,,3.715B,171.00M,515.20M,4.938B,12.34B,6.415B,,,6.415B,594.80M,7.010B,,,128.60M,,128.60M,,,,7.138B,1.630B,,1.630B,,486.90M,32.60M,246.40M,616.40M,2.980B,10.12B,53.30M,865.50M,3.017B,1.364B,,,,-383.10M,2.189B
2014-03,771.00M,5.60M,776.60M,4.013B,1.693B,5.706B,,,,399.20M,6.882B,,,,,,,1.638B,-1.104B,534.30M,3.663B,,3.663B,162.20M,517.70M,4.877B,11.76B,6.048B,,,6.048B,587.40M,6.636B,,,524.30M,,524.30M,,,,7.160B,1.131B,,1.131B,,484.20M,32.50M,249.80M,563.00M,2.428B,9.588B,53.20M,805.00M,3.003B,1.311B,,,,-410.90M,2.139B
2013-12,1.637B,5.30M,1.642B,4.565B,1.536B,6.102B,,,,340.10M,8.084B,0.0,109.60M,,930.70M,,611.40M,1.652B,-1.112B,540.00M,3.629B,163.80M,3.793B,144.00M,344.20M,4.821B,12.90B,6.914B,,,6.914B,718.40M,7.633B,,,532.70M,,532.70M,,,,8.165B,1.130B,,1.130B,,514.30M,35.60M,249.10M,595.70M,2.489B,10.65B,53.00M,864.50M,2.975B,1.266B,,,,-411.20M,2.215B
2013-09,999.30M,5.20M,1.004B,3.830B,1.551B,5.381B,,,,377.10M,6.763B,,,,,,,1.651B,-1.160B,490.50M,3.609B,,3.609B,171.30M,498.10M,4.769B,11.53B,5.706B,,,5.706B,553.30M,6.259B,,,188.50M,,188.50M,,,,6.447B,1.481B,,1.481B,,483.30M,30.90M,229.60M,557.20M,2.751B,9.198B,272.70M,710.40M,2.754B,1.065B,221.50M,,,-369.30M,2.303B
2013-06,1.614B,4.60M,1.618B,4.048B,1.546B,5.594B,,,,391.90M,7.604B,,,,,,,1.620B,-1.145B,475.90M,3.581B,,3.581B,178.40M,497.60M,4.733B,12.34B,5.891B,,,5.891B,548.60M,6.440B,,,780.80M,,780.80M,,,,7.220B,1.479B,,1.479B,,471.70M,32.10M,231.00M,558.60M,2.740B,9.960B,272.60M,696.50M,2.736B,965.10M,221.50M,,,-395.40M,2.344B
2013-03,1.646B,5.40M,1.651B,3.886B,1.511B,5.397B,,,,400.00M,7.448B,,,,,,,1.622B,-1.137B,485.60M,3.589B,,3.589B,182.40M,513.20M,4.770B,12.22B,5.650B,,,5.650B,596.40M,6.247B,,,161.60M,,161.60M,,,,6.408B,2.072B,,2.072B,,465.70M,33.10M,235.30M,555.10M,3.328B,9.736B,272.40M,648.70M,2.706B,852.00M,221.50M,,,-325.40M,2.449B
2012-12,2.575B,16.00M,2.591B,4.497B,1.319B,5.815B,,,,332.10M,8.738B,0.0,109.90M,,932.60M,,597.20M,1.640B,-1.135B,504.80M,3.581B,140.70M,3.721B,160.50M,369.00M,4.756B,13.49B,6.585B,,,6.585B,728.20M,7.313B,,,388.70M,,388.70M,,,,7.702B,2.061B,,2.061B,,489.00M,36.00M,227.20M,558.60M,3.336B,11.04B,270.30M,738.30M,2.465B,765.40M,221.50M,,,-288.00M,2.421B
2012-09,1.187B,14.30M,1.202B,5.354B,,5.354B,,94.70M,,324.70M,6.974B,,,,1.606B,,,1.606B,-1.139B,466.70M,3.574B,,3.574B,182.70M,530.50M,4.754B,11.73B,5.847B,,,5.847B,252.60M,6.099B,,,417.60M,,417.60M,,,,6.914B,1.263B,,1.263B,,430.50M,251.00M,,473.90M,2.168B,9.082B,270.30M,450.90M,2.448B,616.30M,221.50M,,,-157.60M,2.396B
2012-06,1.502B,12.70M,1.515B,5.245B,,5.245B,,136.00M,,341.20M,7.237B,,,,,,,1.575B,-1.128B,447.00M,3.462B,,3.462B,203.20M,502.40M,4.614B,11.85B,6.027B,,,6.027B,593.90M,6.620B,,,394.70M,,394.70M,,,,7.015B,1.239B,,1.239B,,420.80M,250.70M,,502.20M,2.162B,9.177B,270.20M,408.20M,2.447B,533.00M,221.50M,,,-168.30M,2.424B
2012-03,1.573B,13.80M,1.587B,5.179B,,5.179B,,,,346.20M,7.112B,,,,,,,1.596B,-1.145B,451.10M,3.463B,,3.463B,254.80M,484.50M,4.653B,11.77B,5.929B,,249.90M,6.179B,24.70M,6.204B,,,381.30M,,381.30M,,,,6.987B,1.240B,,1.240B,,420.00M,34.20M,,691.00M,2.351B,9.338B,221.50M,335.70M,2.486B,467.40M,221.50M,,,-181.80M,2.394B
2011-12,2.303B,12.90M,2.316B,4.425B,1.247B,5.673B,,,,364.00M,8.352B,0.0,111.60M,,881.50M,,593.00M,1.586B,-1.126B,459.80M,3.444B,134.30M,3.579B,181.20M,336.90M,4.556B,12.91B,6.647B,,,6.647B,830.00M,7.477B,,,558.30M,,558.30M,,,,8.036B,1.211B,,1.211B,,440.30M,35.60M,243.40M,481.30M,2.376B,10.41B,269.70M,405.10M,2.428B,414.90M,221.50M,,,-225.70M,2.462B
2011-09,1.785B,13.80M,1.799B,3.654B,,3.654B,,,,1.776B,7.229B,,,,,,,1.622B,-1.180B,441.50M,3.405B,,3.405B,309.20M,440.50M,4.597B,11.83B,5.934B,,,5.934B,203.90M,6.138B,,,558.40M,,558.40M,,,,7.117B,1.166B,,1.166B,,447.30M,292.60M,,424.60M,2.038B,9.155B,269.70M,176.20M,2.397B,283.10M,221.50M,,,-181.60M,2.379B
2011-06,1.810B,14.20M,1.824B,4.161B,,4.161B,,,,1.609B,7.594B,,,,,,,1.657B,-1.207B,450.80M,3.427B,,3.427B,373.00M,457.00M,4.708B,12.30B,4.065B,,,4.065B,2.484B,6.549B,,,598.60M,,598.60M,,,,7.513B,1.168B,,1.168B,,451.40M,304.00M,,402.10M,2.021B,9.534B,269.60M,-4.30M,2.398B,153.10M,221.50M,,,-46.60M,2.464B
2011-03,1.840B,14.10M,1.854B,5.353B,,5.353B,,,,266.60M,7.474B,,,,,,,1.627B,-1.182B,445.50M,3.408B,,3.408B,398.90M,451.00M,4.703B,12.18B,4.011B,,,4.011B,2.734B,6.744B,,,568.60M,,568.60M,,,,7.313B,1.166B,,1.166B,,477.00M,320.80M,,402.80M,2.046B,9.358B,269.20M,-108.90M,2.436B,24.60M,221.50M,,,-73.80M,2.498B
2010-12,2.676B,13.70M,2.689B,5.535B,,5.535B,,,,229.40M,8.454B,0.0,114.50M,,881.50M,,605.40M,1.601B,-1.147B,454.30M,3.368B,,3.368B,334.20M,460.30M,4.617B,13.07B,4.474B,,,4.474B,3.113B,7.587B,,,153.70M,,153.70M,,,,7.741B,1.583B,,1.583B,,486.10M,329.10M,,402.40M,2.472B,10.21B,269.00M,-63.70M,2.457B,14.10M,221.50M,,,-119.00M,2.529B
2010-09,1.928B,11.30M,1.939B,5.135B,,5.135B,,,,242.00M,7.316B,,,,,,,1.609B,-1.168B,441.10M,3.350B,,3.350B,396.50M,446.80M,4.635B,11.95B,3.968B,,,3.968B,2.550B,6.518B,,,355.30M,,355.30M,,,,6.873B,1.589B,,1.589B,,498.40M,35.40M,,658.80M,2.746B,9.619B,268.90M,-261.60M,2.465B,14.10M,221.50M,,,-161.80M,2.296B
2010-06,1.930B,12.50M,1.942B,4.956B,,4.956B,,,,282.40M,7.181B,,,,,,,1.551B,-1.110B,440.40M,3.278B,,3.278B,377.20M,427.90M,4.524B,11.70B,4.005B,,,4.005B,2.445B,6.450B,,,285.90M,,285.90M,,,,6.736B,1.628B,,1.628B,,477.50M,38.10M,,655.60M,2.761B,9.497B,268.90M,-306.90M,2.463B,14.10M,221.50M,,,-240.80M,2.170B
2010-03,1.929B,12.70M,1.942B,4.539B,,4.539B,,,,296.10M,6.777B,,,,,,,1.579B,-1.118B,460.60M,3.306B,,3.306B,428.10M,417.90M,4.613B,11.39B,3.607B,,,3.607B,2.266B,5.873B,,,301.80M,,301.80M,,,,6.175B,1.634B,,1.634B,,485.50M,40.60M,,630.20M,2.750B,8.925B,572.20M,-389.40M,2.446B,14.10M,525.00M,,,-190.70M,2.424B
2009-12,2.495B,10.90M,2.506B,4.857B,,4.857B,,,,275.00M,7.638B,0.0,118.40M,,886.20M,,604.60M,1.609B,-1.119B,490.10M,3.321B,,3.321B,398.30M,416.00M,4.625B,12.26B,3.829B,,,3.829B,2.768B,6.597B,,,308.60M,,308.60M,,,,6.906B,1.638B,,1.638B,,503.20M,316.40M,,402.20M,2.543B,9.449B,572.10M,-324.80M,2.441B,14.00M,525.00M,,,-176.60M,2.498B
2009-09,1.762B,10.60M,1.772B,4.203B,,4.203B,,,,307.30M,6.282B,,,,,,,1.648B,-1.145B,503.20M,3.310B,,3.310B,438.90M,443.80M,4.696B,10.98B,3.284B,,,3.284B,2.231B,5.514B,,,88.20M,,88.20M,,,,5.602B,1.867B,,1.867B,,559.40M,31.50M,,596.10M,3.022B,8.625B,572.00M,-461.20M,2.424B,14.00M,525.00M,,,-199.40M,2.322B
2009-06,1.760B,10.90M,1.771B,4.227B,,4.227B,,,,355.70M,6.354B,,,,,,,1.631B,-1.110B,521.80M,3.298B,,3.298B,447.30M,443.60M,4.711B,11.07B,3.380B,,,3.380B,2.205B,5.585B,,,137.30M,,137.30M,,,,5.722B,1.901B,,1.901B,,551.30M,34.40M,,630.20M,3.083B,8.805B,572.00M,-485.30M,2.417B,14.00M,525.00M,,,-263.90M,2.226B
2009-03,1.642B,16.50M,1.658B,4.232B,,4.232B,,,,379.20M,6.269B,,,,,,,1.603B,-1.073B,529.50M,3.243B,,3.243B,453.10M,434.80M,4.660B,10.93B,3.351B,,,3.351B,2.111B,5.462B,,,327.20M,,327.20M,,,,5.789B,1.782B,,1.782B,,536.70M,30.70M,,673.90M,2.992B,8.782B,571.60M,-513.10M,2.416B,14.00M,525.00M,,,-343.00M,2.117B
2008-12,2.107B,167.70M,2.275B,4.846B,,4.846B,,,,366.70M,7.488B,0.0,110.70M,,915.70M,,590.90M,1.617B,-1.056B,561.50M,3.221B,,3.221B,416.80M,438.40M,4.638B,12.13B,4.023B,,,4.023B,2.522B,6.544B,,,332.80M,,332.80M,,,,6.877B,1.787B,,1.787B,,549.80M,37.90M,,667.30M,3.004B,9.881B,571.40M,-446.10M,2.414B,14.00M,525.00M,,,-318.50M,2.206B
2008-09,1.690B,17.80M,1.708B,3.821B,,3.821B,,,,1.713B,7.242B,,,,,,,1.683B,-1.111B,571.80M,3.325B,,3.325B,474.60M,484.30M,4.856B,12.10B,3.979B,,,3.979B,2.624B,6.603B,,,81.90M,,81.90M,,,,6.685B,2.043B,,2.043B,,,,,958.30M,3.001B,9.686B,571.40M,-663.10M,2.673B,14.00M,525.00M,,,-156.00M,2.411B
2008-06,1.831B,25.00M,1.856B,5.225B,,5.225B,,,,343.20M,7.424B,,,,,,,1.722B,-1.123B,598.60M,3.273B,,3.273B,491.80M,419.90M,4.783B,12.21B,4.138B,,,4.138B,2.551B,6.689B,,,91.80M,,91.80M,,,,6.781B,2.046B,,2.046B,,,,,957.80M,3.004B,9.784B,571.30M,-708.80M,2.656B,14.00M,525.00M,,,-82.40M,2.423B
2008-03,1.491B,21.10M,1.512B,5.073B,,5.073B,,,,357.50M,6.942B,,,,,,,1.731B,-1.114B,616.80M,3.265B,,3.265B,535.00M,424.10M,4.841B,11.78B,3.979B,,,3.979B,2.356B,6.335B,,,103.30M,,103.30M,,,,6.438B,2.050B,,2.050B,,,,,967.80M,3.018B,9.456B,571.00M,-803.90M,2.649B,14.00M,525.00M,,,-74.90M,2.327B
2007-12,2.015B,22.50M,2.037B,5.343B,,5.343B,,,,305.10M,7.686B,0.0,126.10M,599.70M,983.20M,,,1.709B,-1.089B,620.00M,3.232B,,3.232B,479.90M,440.80M,4.772B,12.46B,4.124B,,,4.124B,2.691B,6.816B,,,305.10M,,305.10M,,,,7.121B,2.044B,,2.044B,,,,,961.20M,3.005B,10.13B,570.90M,-741.10M,2.635B,14.00M,525.00M,-53.00M,-65.60M,-118.60M,2.332B
2007-09,1.430B,103.80M,1.534B,5.005B,,5.005B,,,,331.20M,6.87B,,,,,,,1.722B,-1.107B,615.60M,3.196B,,3.196B,508.70M,475.40M,4.796B,11.67B,3.867B,,,3.867B,2.432B,6.298B,,,475.40M,,475.40M,,,,6.774B,1.841B,,1.841B,,,,,996.40M,2.838B,9.611B,,,,,,,,2.054B,2.054B
2007-06,1.220B,260.20M,1.481B,4.985B,,4.985B,,,,339.60M,6.805B,,,,,,,1.691B,-1.072B,618.80M,3.141B,,3.141B,534.50M,467.20M,4.761B,11.57B,4.010B,,,4.010B,2.221B,6.231B,,,490.30M,,490.30M,,,,6.722B,1.843B,,1.843B,,,,,1.006B,2.849B,9.570B,,,,,,,,1.996B,1.996B
2007-03,1.467B,51.50M,1.518B,4.578B,,4.578B,246.40M,,70.90M,,6.414B,,,,,,,1.638B,-1.033B,605.60M,3.077B,,3.077B,522.20M,476.10M,4.681B,11.09B,3.801B,,,3.801B,2.128B,5.929B,,,464.20M,,464.20M,,,,6.393B,1.846B,,1.846B,,,41.60M,,984.80M,2.831B,9.224B,,,,,,,,1.829B,1.829B
