,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-03,1.328B,1.328B,,,,1.504B,,,21.60M,,,,,1.504B,-176.00M,,,,22.20M,,-186.40M,-40.60M,-146.40M,,,-1.20M,5.00M,-146.40M,-163.30M,-121.80M,54.20M,-176.00M,-0.36,0.0,,-0.3999,-0.36,-0.36,0.0,,-0.3999,-0.36,423.80M,423.80M,0.0
2004-12,1.966B,1.966B,,,,1.653B,,,-18.60M,,,,5.80M,1.659B,306.90M,,,,-17.50M,,270.10M,130.60M,130.30M,0.00,,-10.30M,5.00M,130.30M,141.46M,367.50M,60.60M,306.90M,0.33,-0.02,,0.3567,0.31,0.33,-0.02,,0.3567,0.31,418.00M,418.00M,0.0
2004-09,1.519B,1.519B,,,,1.482B,,,-376.80M,,,,341.20M,1.823B,-303.70M,,,,-374.50M,,-370.90M,130.00M,-503.00M,6.50M,,-4.40M,5.00M,-496.50M,-276.92M,-247.00M,56.70M,-303.70M,-1.22,0.02,,-0.6758,-1.21,-1.22,0.02,,-0.6758,-1.21,415.40M,415.40M,0.0
2004-06,1.513B,1.513B,,,,1.451B,,,-84.80M,,,,83.10M,1.534B,-21.60M,,,,-83.50M,,-54.90M,30.60M,-88.40M,,,-4.20M,5.00M,-88.40M,-37.52M,37.50M,59.10M,-21.60M,-0.23,0.0,,-0.1073,-0.23,-0.23,0.0,,-0.1073,-0.23,414.60M,414.60M,0.0
2004-03,1.389B,1.389B,,,,1.397B,,,-69.20M,,,,5.70M,1.403B,-13.70M,,,,-68.10M,,-111.30M,-29.00M,-83.80M,,,-2.60M,4.80M,-83.80M,-32.63M,49.30M,63.00M,-13.70M,-0.21,0.0,,-0.0862,-0.21,-0.2144,0.0,,-0.0906,-0.2144,413.30M,413.30M,0.0
2003-12,1.928B,1.928B,,,,1.790B,,,-60.00M,,,,49.20M,1.830B,97.40M,,,,-55.40M,,19.70M,206.40M,-189.70M,-0.20M,,-7.60M,,-189.90M,-153.70M,183.50M,86.10M,97.40M,-0.49,0.0,,-0.3977,-0.49,-0.49,0.0,,-0.3977,-0.49,390.00M,390.00M,0.0
2003-09,1.419B,1.419B,,,,1.318B,,1.80M,-451.60M,,,,222.70M,1.542B,-123.10M,,,,-451.90M,,-396.70M,19.50M,-416.20M,89.10M,,-10.40M,,-327.10M,-145.24M,-53.00M,70.10M,-123.10M,-1.08,0.23,,-0.3777,-0.85,-1.08,0.23,,-0.3777,-0.85,385.80M,385.80M,0.0
2003-06,1.499B,1.499B,,,,1.338B,,4.10M,-114.90M,,,,11.00M,1.353B,146.30M,,,,-113.60M,,6.50M,22.40M,-23.00M,9.50M,,-8.40M,,-13.50M,45.94M,210.60M,64.30M,146.30M,-0.06,0.02,,0.1194,-0.04,-0.06,0.02,,0.1194,-0.04,384.30M,384.30M,0.0
2003-03,1.433B,1.433B,,,,1.393B,,4.20M,-14.00M,,,,11.10M,1.408B,25.10M,,,,-16.90M,,-8.70M,-3.80M,-8.60M,,,-0.80M,,-8.60M,-0.20M,94.90M,69.80M,25.10M,-0.02,0.0,,0.002,-0.02,-0.02,0.0,,0.002,-0.02,381.80M,381.80M,0.0
2002-12,1.863B,1.863B,,,,1.843B,,,-27.60M,,,,11.30M,1.848B,15.20M,,,,-24.80M,,-22.20M,26.80M,-73.10M,10.60M,,-7.90M,,-62.50M,-56.54M,95.50M,80.30M,15.20M,-0.2,0.02,,-0.1562,-0.18,-0.2,0.02,,-0.1565,-0.18,378.50M,381.02M,0.095
2002-09,1.387B,1.387B,,,,1.332B,,2.10M,-133.00M,,,,118.70M,1.453B,-66.20M,,,,-133.20M,,-119.40M,-23.00M,-96.40M,6.80M,,-7.90M,,-89.60M,10.98M,1.40M,67.60M,-66.20M,-0.26,0.02,,0.0246,-0.24,-0.26,0.02,,0.0246,-0.24,377.30M,377.30M,0.095
2002-06,1.613B,1.613B,,,,1.382B,,2.30M,-5.90M,,,,,1.384B,228.90M,,,,-2.30M,,190.70M,75.40M,111.30M,,,-11.10M,,111.30M,114.87M,300.90M,72.00M,228.90M,0.31,0.0,,0.3195,0.31,0.31,0.0,,0.3192,0.31,375.70M,389.10M,0.095
2002-03,1.42B,1.42B,,,,1.289B,,2.80M,0.30M,,,,,1.291B,128.60M,,,,1.20M,,100.50M,38.00M,59.80M,,,-3.60M,,59.80M,59.61M,198.50M,69.90M,128.60M,0.18,0.0,,0.1795,0.18,0.18,0.0,,0.1795,0.18,373.00M,379.80M,0.095
