,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,55.73B,55.73B,42.90B,12.83B,,,,,344.00M,-344.00M,8.386B,8.984B,3.849B,344.00M,-344.00M,355.00M,-344.00M,3.86B,850.00M,3.01B,-88.00M,,2.922B,2.645B,4.802B,598.00M,4.204B,,3.04,,,2.752,3.04,,2.98,,,2.698,2.98,,961.00M,982.00M,0.90,,AOR,Restated
2018-03,54.89B,54.89B,42.05B,12.84B,,,,,329.00M,-329.00M,8.506B,9.088B,3.755B,329.00M,-329.00M,298.00M,-329.00M,3.724B,800.00M,2.924B,-88.00M,,2.836B,2.602B,4.635B,582.00M,4.053B,,2.94,,,2.698,2.94,,2.87,,,2.633,2.87,,966.00M,987.00M,0.75,,AOR,Restated
2017-12,51.76B,51.76B,39.69B,12.08B,,,,,308.00M,-308.00M,7.82B,8.398B,3.679B,308.00M,-308.00M,298.00M,-308.00M,3.669B,-52.00M,3.721B,-104.00M,,3.617B,3.438B,4.555B,578.00M,3.977B,,3.733,,,3.548,3.733,,3.65,,,3.470,3.65,,970.00M,991.00M,0.75,,AOR,Restated
2017-09,50.08B,50.08B,38.27B,11.81B,,,,,294.00M,-294.00M,7.387B,7.965B,3.841B,294.00M,-294.00M,247.00M,-294.00M,3.794B,1.233B,2.561B,-76.00M,,2.485B,2.318B,4.666B,578.00M,4.088B,,2.57,,,2.398,2.57,,2.51,,,2.341,2.51,,968.00M,989.00M,0.75,,AOR,Restated
2017-06,49.80B,49.80B,38.44B,11.36B,,,,,301.00M,-301.00M,7.328B,7.884B,3.475B,301.00M,-301.00M,256.00M,-301.00M,3.43B,1.08B,2.35B,-66.00M,,2.284B,2.109B,4.287B,556.00M,3.731B,,2.37,,,2.188,2.37,,2.32,,,2.142,2.32,,964.00M,985.00M,0.75,,AOR,Restated
2017-03,48.50B,48.50B,37.76B,10.75B,,,,,283.00M,-283.00M,7.022B,7.555B,3.191B,283.00M,-283.00M,222.00M,-283.00M,3.13B,939.00M,2.191B,-19.00M,,2.172B,2.017B,3.946B,533.00M,3.413B,,2.28,,,2.117,2.28,,2.23,,,2.071,2.23,,954.00M,975.00M,0.625,,AOR,Restated
2016-12,47.27B,47.27B,36.00B,11.27B,,,,,268.00M,-268.00M,7.817B,8.344B,2.926B,268.00M,-268.00M,261.00M,-268.00M,2.919B,1.211B,1.708B,-24.00M,,1.684B,1.527B,3.714B,527.00M,3.187B,,2.00,,,1.836,2.00,,1.96,,,1.798,1.96,,952.00M,968.00M,0.625,,AOR,Restated
2016-09,46.10B,46.10B,35.16B,10.94B,,,,,269.00M,-269.00M,7.033B,7.548B,3.389B,269.00M,-269.00M,191.00M,-269.00M,3.311B,1.333B,1.978B,-10.00M,,1.968B,1.853B,4.095B,515.00M,3.58B,,2.07,,,1.950,2.07,,2.03,,,1.912,2.03,,952.00M,969.00M,0.625,,AOR,Restated
2016-06,46.29B,46.29B,35.98B,10.31B,,,,,271.00M,-271.00M,6.793B,7.304B,3.01B,271.00M,-271.00M,193.00M,-271.00M,2.932B,1.172B,1.76B,-6.00M,,1.754B,1.638B,3.714B,511.00M,3.203B,,1.84,,,1.718,1.84,,1.81,,,1.690,1.81,,951.00M,967.00M,0.625,,AOR,Restated
2016-03,44.34B,44.34B,34.31B,10.04B,,,,,259.00M,-259.00M,6.758B,7.26B,2.777B,259.00M,-259.00M,183.00M,-259.00M,2.701B,1.074B,1.627B,-16.00M,,1.611B,1.501B,3.462B,502.00M,2.96B,,1.69,,,1.574,1.69,,1.67,,,1.556,1.67,,953.00M,967.00M,0.50,,AOR,Restated
2015-12,43.42B,43.42B,34.08B,9.334B,,,,,260.00M,-260.00M,6.562B,7.046B,2.288B,260.00M,-260.00M,180.00M,-260.00M,2.208B,956.00M,1.252B,-34.00M,,1.218B,1.11B,2.952B,484.00M,2.468B,,1.278,,,1.165,1.278,,1.26,,,1.148,1.26,,953.00M,967.00M,0.50,,AOR,Restated
2015-09,41.32B,41.32B,31.84B,9.478B,,,,,229.00M,-229.00M,6.178B,6.63B,2.848B,229.00M,-229.00M,170.00M,-229.00M,2.789B,1.171B,1.618B,-21.00M,,1.597B,1.495B,3.47B,452.00M,3.018B,,1.68,,,1.573,1.68,,1.65,,,1.545,1.65,,953.00M,967.00M,0.50,,AOR,Restated
2015-06,36.05B,36.05B,27.25B,8.798B,,,,,151.00M,-151.00M,5.738B,6.117B,2.681B,151.00M,-151.00M,214.00M,-151.00M,2.744B,1.159B,1.585B,0.00,,1.585B,1.457B,3.274B,379.00M,2.895B,,1.66,,,1.525,1.66,,1.64,,,1.507,1.64,,952.00M,966.00M,0.50,,AOR,Restated
2015-03,35.61B,35.61B,26.90B,8.706B,,,,,150.00M,-150.00M,5.834B,6.212B,2.494B,150.00M,-150.00M,146.00M,-150.00M,2.49B,1.077B,1.413B,0.00,,1.413B,1.325B,3.018B,378.00M,2.64B,,1.48,,,1.388,1.48,,1.46,,,1.370,1.46,,954.00M,969.00M,0.375,,AOR,Restated
2014-12,33.27B,33.27B,24.86B,8.407B,,,,,151.00M,-151.00M,5.427B,5.808B,2.599B,151.00M,-151.00M,166.00M,-151.00M,2.614B,1.104B,1.51B,0.00,,1.51B,1.402B,3.146B,381.00M,2.765B,,1.583,,,1.470,1.583,,1.55,,,1.439,1.55,,957.00M,974.00M,0.375,,AOR,Restated
2014-09,32.59B,32.59B,24.05B,8.54B,,,,,152.00M,-152.00M,5.436B,5.809B,2.731B,152.00M,-152.00M,172.00M,-152.00M,2.751B,1.149B,1.602B,0.00,,1.602B,1.490B,3.276B,373.00M,2.903B,,1.65,,,1.535,1.65,,1.63,,,1.516,1.63,,969.00M,982.00M,0.375,,AOR,Restated
2014-06,32.32B,32.32B,24.45B,7.872B,,,,,155.00M,-155.00M,5.206B,5.57B,2.302B,155.00M,-155.00M,250.00M,-155.00M,2.397B,989.00M,1.408B,,,1.408B,1.246B,2.916B,364.00M,2.552B,,1.44,,,1.274,1.44,,1.42,,,1.256,1.42,,979.00M,991.00M,0.375,,AOR,Restated
2014-03,31.52B,31.52B,24.10B,7.417B,,,,,160.00M,-160.00M,5.194B,5.554B,1.863B,160.00M,-160.00M,191.00M,-160.00M,1.894B,795.00M,1.099B,,,1.099B,974.85M,2.414B,360.00M,2.054B,,1.12,,,0.9937,1.12,,1.10,,,0.9754,1.10,,983.00M,996.00M,0.28,,AOR,Restated
2013-12,30.93B,30.93B,23.68B,7.251B,,,,,176.00M,-176.00M,4.633B,4.983B,2.268B,176.00M,-176.00M,184.00M,-176.00M,2.276B,849.00M,1.427B,0.00,,1.427B,1.312B,2.802B,350.00M,2.452B,,1.444,,,1.329,1.444,,1.41,,,1.296,1.41,,997.00M,1.014B,0.28,,AOR,Restated
2013-09,30.46B,30.46B,22.78B,7.686B,,,,,178.00M,-178.00M,4.869B,5.218B,2.468B,178.00M,-178.00M,163.00M,-178.00M,2.453B,883.00M,1.57B,0.00,,1.57B,1.466B,2.98B,349.00M,2.631B,,1.56,,,1.456,1.56,,1.53,,,1.428,1.53,,1.004B,1.024B,0.28,,AOR,Restated
2013-06,30.21B,30.21B,22.84B,7.371B,,,,,176.00M,-176.00M,4.825B,5.165B,2.206B,176.00M,-176.00M,195.00M,-176.00M,2.225B,789.00M,1.436B,0.00,,1.436B,1.310B,2.741B,340.00M,2.401B,,1.42,,,1.295,1.42,,1.40,,,1.277,1.40,,1.009B,1.026B,0.28,,AOR,Restated
2013-03,30.14B,30.14B,23.25B,6.886B,,,,,178.00M,-178.00M,4.614B,4.95B,1.936B,178.00M,-178.00M,203.00M,-178.00M,1.961B,721.00M,1.24B,-48.00M,,1.192B,1.064B,2.475B,336.00M,2.139B,,1.17,,,1.044,1.17,,1.16,,,1.035,1.16,,1.016B,1.029B,0.2125,,AOR,Restated
2012-12,28.58B,28.58B,21.44B,7.139B,,,,,173.00M,-173.00M,4.853B,5.223B,1.916B,173.00M,-173.00M,185.00M,-173.00M,1.928B,684.00M,1.244B,0.00,,1.244B,1.125B,2.471B,370.00M,2.101B,,1.221,,,1.104,1.221,,1.20,,,1.085,1.20,,1.018B,1.037B,0.2125,,AOR,Restated
2012-09,27.16B,27.16B,20.10B,7.059B,,,,,158.00M,-158.00M,4.277B,4.594B,2.465B,158.00M,-158.00M,145.00M,-158.00M,2.452B,895.00M,1.557B,0.00,,1.557B,1.465B,2.927B,317.00M,2.61B,,1.52,,,1.430,1.52,,1.50,,,1.411,1.50,,1.022B,1.039B,0.2125,,AOR,Restated
2012-06,27.09B,27.09B,20.63B,6.454B,,,,,153.00M,-153.00M,4.08B,4.406B,2.048B,153.00M,-153.00M,178.00M,-153.00M,2.073B,736.00M,1.337B,0.00,,1.337B,1.222B,2.552B,326.00M,2.226B,,1.30,,,1.188,1.30,,1.27,,,1.161,1.27,,1.028B,1.049B,0.2125,,AOR,Restated
2012-03,27.11B,27.11B,20.57B,6.537B,,,,,148.00M,-148.00M,4.096B,4.392B,2.145B,148.00M,-148.00M,172.00M,-148.00M,2.169B,781.00M,1.388B,0.00,,1.388B,1.278B,2.613B,296.00M,2.317B,,1.34,,,1.234,1.34,,1.31,,,1.206,1.31,,1.039B,1.06B,0.1625,,AOR,Restated
2011-12,25.77B,25.77B,19.24B,6.53B,,,,,139.00M,-139.00M,,4.598B,1.932B,139.00M,-139.00M,142.00M,-139.00M,1.935B,677.00M,1.258B,,,1.258B,1.166B,2.364B,290.00M,2.074B,,1.19,,,1.103,1.19,,1.17,,,1.084,1.17,,1.058B,1.075B,0.1625,,AOR,Restated
2011-09,25.11B,25.11B,19.02B,6.093B,3.899B,,,,129.00M,-129.00M,,4.193B,1.90B,129.00M,-129.00M,170.00M,-129.00M,1.941B,670.00M,1.271B,,,1.271B,1.160B,2.364B,294.00M,2.07B,,1.19,0.00,,1.085,1.19,,1.17,0.00,,1.067,1.17,,1.065B,1.083B,0.1625,,AOR,Restated
2011-06,25.07B,25.07B,19.13B,5.942B,3.733B,,,,119.00M,-119.00M,,4.003B,1.939B,119.00M,-119.00M,160.00M,-119.00M,1.98B,713.00M,1.267B,,,1.267B,1.165B,2.369B,270.00M,2.099B,,1.18,0.00,,1.085,1.18,,1.16,0.00,,1.066,1.16,,1.075B,1.094B,0.1625,,AOR,Restated
2011-03,25.25B,25.25B,19.32B,5.926B,3.617B,,,,118.00M,-118.00M,,3.887B,2.039B,118.00M,-118.00M,182.00M,-118.00M,2.103B,757.00M,1.346B,,,1.346B,1.230B,2.491B,270.00M,2.221B,,1.24,0.00,,1.133,1.24,,1.22,0.00,,1.114,1.22,,1.086B,1.099B,0.125,,AOR,Restated
2010-12,23.88B,23.88B,17.82B,6.058B,,,,,118.00M,-118.00M,,4.407B,1.651B,118.00M,-118.00M,151.00M,-118.00M,1.684B,641.00M,1.043B,,,1.043B,949.48M,2.122B,320.00M,1.802B,,0.96,,,0.8744,0.96,,0.95,,,0.8655,0.95,,1.093B,1.107B,0.125,,AOR,Restated
2010-09,23.53B,23.53B,17.73B,5.804B,3.548B,,,,119.00M,-119.00M,,3.795B,2.009B,119.00M,-119.00M,136.00M,-119.00M,2.026B,749.00M,1.277B,,,1.277B,1.191B,2.392B,247.00M,2.145B,,1.15,0.00,,1.073,1.15,,1.14,0.00,,1.064,1.14,,1.115B,1.124B,0.125,,AOR,Restated
2010-06,23.12B,23.12B,17.76B,5.36B,3.359B,,,,119.00M,-119.00M,,3.608B,1.752B,119.00M,-119.00M,149.00M,-119.00M,1.782B,659.00M,1.123B,,,1.123B,1.029B,2.15B,249.00M,1.901B,,1.00,0.00,,0.9167,1.00,,0.99,0.00,,0.9073,0.99,,1.127B,1.135B,0.125,,AOR,Restated
2010-03,23.02B,23.02B,17.65B,5.367B,3.276B,,,,125.00M,-125.00M,,3.524B,1.843B,125.00M,-125.00M,173.00M,-125.00M,1.891B,700.00M,1.191B,,,1.191B,1.082B,2.264B,248.00M,2.016B,,1.04,0.00,,0.9448,1.04,,1.03,0.00,,0.9357,1.03,,1.145B,1.156B,0.03,,AOR,Restated
2009-12,21.64B,21.19B,7.217B,13.98B,,,,,144.00M,-144.00M,,12.99B,983.00M,144.00M,-144.00M,,-144.00M,1.431B,487.00M,944.00M,,,944.00M,944.00M,1.833B,258.00M,1.575B,,0.82,0.00,,0.82,0.82,,0.81,0.00,,0.81,0.81,,1.153B,1.164B,0.00,,AOR,Restated
2009-09,21.56B,21.70B,19.77B,1.926B,,,,,137.00M,-137.00M,,250.00M,1.676B,137.00M,-137.00M,,-137.00M,1.539B,504.00M,1.035B,,,1.035B,1.035B,1.926B,250.00M,1.676B,,0.90,0.00,,0.90,0.90,,0.89,0.00,,0.89,0.89,,1.153B,1.164B,0.00,,AOR,Restated
2009-06,21.50B,21.66B,19.97B,1.689B,,,,,139.00M,-139.00M,,249.00M,1.44B,139.00M,-139.00M,,-139.00M,1.301B,442.00M,859.00M,,,859.00M,859.00M,1.689B,249.00M,1.44B,,0.73,0.00,,0.73,0.73,,0.73,0.00,,0.73,0.73,,1.17B,1.18B,0.00,,AOR,Restated
2009-03,21.85B,22.00B,20.10B,1.902B,,,,,131.00M,-131.00M,,234.00M,1.668B,131.00M,-131.00M,,-131.00M,1.537B,553.00M,984.00M,,,984.00M,984.00M,1.902B,234.00M,1.668B,,0.82,0.00,,0.82,0.82,,0.81,0.00,,0.81,0.81,,1.198B,1.21B,0.03,,AOR,Restated
2008-12,20.34B,19.68B,5.813B,13.87B,,,,,155.00M,-155.00M,,13.36B,508.00M,155.00M,-155.00M,,-155.00M,1.124B,398.00M,726.00M,,,726.00M,726.00M,1.538B,259.00M,1.279B,,0.60,0.00,,0.60,0.60,,0.60,0.00,,0.60,0.60,,1.196B,1.214B,0.00,,AOR,Restated
2008-09,20.01B,20.16B,18.30B,1.852B,,,,,166.00M,-166.00M,,254.00M,1.598B,166.00M,-166.00M,,-166.00M,1.432B,512.00M,920.00M,,,920.00M,920.00M,1.852B,254.00M,1.598B,,0.76,0.00,,0.76,0.76,,0.75,0.00,,0.75,0.75,,1.204B,1.227B,0.00,,AOR,Restated
2008-06,20.03B,20.27B,19.36B,916.00M,,,,,164.00M,-164.00M,,243.00M,673.00M,164.00M,-164.00M,,-164.00M,509.00M,172.00M,337.00M,,,337.00M,337.00M,916.00M,243.00M,673.00M,,0.28,0.00,,0.28,0.28,,0.27,0.00,,0.27,0.27,,1.216B,1.245B,0.00,,AOR,Restated
2008-03,20.02B,20.30B,18.37B,1.938B,,,,,154.00M,-154.00M,,225.00M,1.713B,154.00M,-154.00M,,-154.00M,1.559B,565.00M,994.00M,,,994.00M,994.00M,1.938B,225.00M,1.713B,,0.80,0.00,,0.80,0.80,,0.78,0.00,,0.78,0.78,,1.24B,1.278B,0.03,,AOR,Restated
2007-12,18.43B,17.56B,13.76B,3.799B,,,,,153.00M,-153.00M,,2.905B,894.00M,153.00M,-153.00M,,-153.00M,1.885B,669.00M,1.216B,,,1.216B,1.216B,2.245B,207.00M,2.038B,,0.96,0.00,,0.96,0.96,,0.92,0.00,,0.92,0.92,,1.273B,1.319B,0.00,,AOR,Restated
2007-09,18.38B,18.68B,13.71B,4.973B,,,,,142.00M,-142.00M,2.616B,2.818B,2.155B,142.00M,-142.00M,,-142.00M,2.013B,730.00M,1.283B,,,1.283B,1.283B,2.357B,202.00M,2.155B,,0.98,0.00,,0.98,0.98,,0.95,0.00,,0.95,0.95,,1.304B,1.348B,0.00,,AOR,Restated
2007-06,18.71B,19.00B,14.12B,4.875B,,,,,133.00M,-133.00M,2.605B,2.801B,2.074B,133.00M,-133.00M,,-133.00M,1.941B,713.00M,1.228B,,,1.228B,1.228B,2.27B,196.00M,2.074B,,0.93,0.00,,0.93,0.93,,0.89,0.00,,0.89,0.89,,1.326B,1.377B,0.00,,AOR,Restated
2007-03,1.116B,19.05B,14.61B,4.437B,,,,,,,2.664B,2.855B,1.582B,,,,,1.466B,539.00M,927.00M,,,927.00M,927.00M,1.773B,191.00M,1.582B,,0.69,0.00,,0.69,0.69,,0.66,0.00,,0.66,0.66,,1.343B,1.399B,0.03,,AOR,Restated
2006-12,67.49B,17.26B,13.41B,3.843B,,,,,,,,2.733B,1.11B,,,,,1.852B,677.00M,1.175B,,,1.175B,1.175B,2.158B,177.00M,1.981B,,0.87,0.00,,0.87,0.87,,0.84,0.00,,0.84,0.84,,1.344B,1.396B,0.00,,AOR,Restated
2006-09,1.075B,17.97B,13.52B,4.45B,,,,,,,2.419B,2.587B,1.863B,,,,,1.734B,622.00M,1.112B,,,1.112B,1.112B,2.031B,168.00M,1.863B,,0.83,0.00,,0.83,0.83,,0.80,0.00,,0.80,0.80,,1.341B,1.397B,0.00,,AOR,Restated
2006-06,1.065B,17.86B,13.55B,4.31B,,,,,,,2.475B,2.643B,1.667B,,,,,1.551B,570.00M,981.00M,,,981.00M,981.00M,1.835B,168.00M,1.667B,,0.73,0.00,,0.73,0.73,,0.70,0.00,,0.70,0.70,,1.339B,1.395B,0.00,,AOR,Restated
2006-03,17.58B,17.58B,13.42B,4.161B,,,0.00,-16.11B,,,18.64B,2.688B,1.473B,,,,,1.391B,500.00M,891.00M,,,891.00M,891.00M,1.63B,157.00M,1.473B,,0.66,0.00,,0.66,0.66,,0.63,0.00,,0.63,0.63,,1.353B,1.419B,0.03,,AOR,Restated
2005-12,11.78B,11.78B,8.928B,2.853B,,,,,,,,2.061B,792.00M,,,,,1.222B,444.00M,778.00M,,,778.00M,778.00M,1.417B,120.00M,1.297B,,0.61,0.00,,0.61,0.61,,0.58,0.00,,0.58,0.58,,1.271B,1.342B,0.00,,AOR,Restated
2005-09,916.00M,11.61B,8.396B,3.217B,,,,,,,1.778B,1.894B,1.323B,,,,,1.261B,461.00M,800.00M,,,800.00M,800.00M,1.439B,116.00M,1.323B,,0.64,0.00,,0.64,0.64,,0.61,0.00,,0.61,0.61,,1.255B,1.322B,0.00,,AOR,Restated
2005-06,906.00M,11.38B,8.304B,3.075B,,,,,,,1.705B,1.813B,1.262B,,,,,1.207B,438.00M,769.00M,,,769.00M,769.00M,1.37B,108.00M,1.262B,,0.61,0.00,,0.61,0.61,,0.58,0.00,,0.58,0.58,,1.258B,1.324B,0.00,,AOR,Restated
2005-03,11.16B,11.16B,8.155B,3.009B,,,,-9.964B,,,11.66B,1.809B,1.20B,,,,,1.151B,408.00M,743.00M,,,743.00M,743.00M,1.309B,109.00M,1.20B,,0.58,0.00,,0.58,0.58,,0.55,0.00,,0.55,0.55,,1.278B,1.34B,0.015,,AOR,Restated
2004-12,11.10B,11.10B,8.537B,2.56B,,,,,,,,2.028B,532.00M,,,,,903.00M,340.00M,563.00M,,,563.00M,563.00M,1.051B,106.00M,945.00M,,0.43,0.00,,0.43,0.43,,0.40,0.00,,0.40,0.40,,1.303B,1.379B,0.00,,AOR,Restated
2004-09,9.859B,9.859B,7.18B,2.679B,,,,-8.767B,,,10.26B,1.587B,1.092B,,,,,1.058B,360.00M,698.00M,,,698.00M,698.00M,1.191B,99.00M,1.092B,,0.55,0.00,,0.55,0.55,,0.52,0.00,,0.52,0.52,,1.281B,1.341B,0.00,,AOR,Restated
2004-06,813.00M,8.704B,6.326B,2.378B,,,,,,,1.346B,1.433B,945.00M,,,,,917.00M,321.00M,596.00M,,,596.00M,596.00M,1.032B,87.00M,945.00M,,0.49,0.00,,0.49,0.49,,0.47,0.00,,0.47,0.47,,1.22B,1.277B,0.00,,AOR,Restated
2004-03,789.00M,8.144B,5.869B,2.275B,,,,,,,1.317B,1.399B,876.00M,,,,,852.00M,298.00M,554.00M,,,554.00M,554.00M,958.00M,82.00M,876.00M,,0.46,0.00,,0.46,0.46,,0.44,0.00,,0.44,0.44,,1.202B,1.26B,0.015,,AOR,Restated
2003-12,27.37B,8.396B,,,,,,,,,,,27.57B,,,,,,,337.00M,,,337.00M,337.00M,27.65B,77.00M,27.57B,,0.285,0.00,,0.285,0.285,,0.275,0.00,,0.275,0.275,,1.177B,1.220B,0.00,,AOR,Restated
2003-09,780.00M,7.238B,5.174B,2.064B,,,,,,,1.226B,1.301B,763.00M,,,,,739.00M,263.00M,476.00M,,,476.00M,476.00M,838.00M,75.00M,763.00M,,0.405,0.00,,0.405,0.405,,0.385,0.00,,0.385,0.385,,1.178B,1.234B,0.00,,AOR,Restated
2003-06,779.00M,7.087B,5.109B,1.978B,,,,,,,1.195B,1.269B,709.00M,,,,,685.00M,246.00M,439.00M,,,439.00M,439.00M,783.00M,74.00M,709.00M,,0.37,0.00,,0.37,0.37,,0.355,0.00,,0.355,0.355,,1.18B,1.236B,0.00,,AOR,Restated
2003-03,770.00M,6.975B,5.05B,1.925B,,,,,,,1.199B,1.272B,653.00M,,,,,630.00M,227.00M,403.00M,,,403.00M,403.00M,726.00M,73.00M,653.00M,,0.34,0.00,,0.34,0.34,,0.325,0.00,,0.325,0.325,,1.194B,1.246B,0.0075,,AOR,Restated
2002-12,6.462B,6.462B,4.83B,1.632B,,,,,,,-15.59B,1.243B,389.00M,,,,,587.00M,208.00M,379.00M,,,379.00M,379.00M,680.00M,71.00M,609.00M,,0.315,0.00,,0.315,0.315,,0.3025,0.00,,0.3025,0.3025,,1.208B,1.251B,0.00,,AOR,Restated
2002-09,6.247B,6.247B,4.509B,1.738B,,,0.00,-5.675B,,,6.775B,1.166B,572.00M,,,,,548.00M,195.00M,353.00M,,,353.00M,353.00M,638.00M,66.00M,572.00M,,0.2925,0.00,,0.2925,0.2925,,0.28,0.00,,0.28,0.28,,1.200B,1.261B,0.00,,AOR,
2002-06,6.078B,6.078B,,,,,,-5.555B,,,,-5.555B,11.63B,,,,,503.00M,178.00M,325.00M,,,325.00M,325.00M,11.63B,,11.63B,,0.265,0.00,,0.265,0.265,,0.255,0.00,,0.255,0.255,,1.22B,1.282B,0.00,,AOR,
2002-03,6.013B,6.013B,4.435B,1.578B,,,0.00,-5.531B,,,6.571B,1.096B,482.00M,,,,,458.00M,163.00M,295.00M,,,295.00M,295.00M,538.00M,56.00M,482.00M,,0.24,0.00,,0.24,0.24,,0.23,0.00,,0.23,0.23,,1.230B,1.286B,0.0075,,AOR,
