,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,3.01B,,,598.00M,598.00M,-84.00M,150.00M,-17.00M,558.00M,-638.00M,,,430.00M,350.00M,4.007B,,-483.00M,,-483.00M,-53.00M,-1.583B,-62.00M,-2.181B,,3.964B,-4.44B,-476.00M,183.00M,-500.00M,-317.00M,-866.00M,-866.00M,24.00M,-1.635B,,18.24B,191.00M,-66.00M,18.37B,,183.00M,-295.00M,-181.00M,-500.00M,,AOR,Restated
2018-03,2.924B,,,582.00M,582.00M,-74.00M,208.00M,27.00M,-1.579B,4.134B,,,2.147B,4.702B,8.369B,,-477.00M,,-477.00M,-2.583B,-1.385B,-72.00M,-4.517B,,-1.10B,4.259B,3.159B,295.00M,-2.65B,-2.355B,-722.00M,-722.00M,2.34B,2.422B,,11.98B,6.274B,-12.00M,18.24B,,295.00M,4.259B,-1.10B,-2.65B,,AOR,Restated
2017-12,3.721B,,,578.00M,578.00M,-506.00M,141.00M,49.00M,-818.00M,-1.374B,,,-4.368B,-6.56B,-2.577B,,-632.00M,,-632.00M,-1.223B,-753.00M,-96.00M,-2.704B,,2.418B,-156.00M,2.262B,84.00M,-327.00M,-243.00M,-727.00M,-727.00M,-276.00M,1.016B,,16.27B,-4.265B,-23.00M,11.98B,,84.00M,3.949B,-1.687B,-327.00M,,AOR,Restated
2017-09,2.561B,,,578.00M,578.00M,-259.00M,124.00M,57.00M,1.941B,1.272B,,,1.272B,4.485B,7.546B,,-466.00M,,-466.00M,-204.00M,-1.484B,-85.00M,-2.239B,,-750.00M,-1.956B,-2.706B,213.00M,-128.00M,85.00M,-726.00M,-726.00M,-298.00M,-3.645B,,14.58B,1.662B,25.00M,16.27B,,213.00M,0.00,-2.706B,-128.00M,,AOR,Restated
2017-06,2.35B,,,556.00M,556.00M,-111.00M,136.00M,68.00M,-953.00M,1.00B,,,-875.00M,-828.00M,2.171B,,-418.00M,,-418.00M,-236.00M,-743.00M,30.00M,-1.367B,,-725.00M,-1.257B,-1.982B,121.00M,-363.00M,-242.00M,-724.00M,-724.00M,611.00M,-2.337B,,16.14B,-1.533B,-27.00M,14.58B,,121.00M,0.00,-1.982B,-363.00M,,AOR,Restated
2017-03,2.191B,,,533.00M,533.00M,-89.00M,196.00M,43.00M,-1.232B,1.316B,,,3.498B,3.582B,6.456B,,-507.00M,,-507.00M,-468.00M,-1.339B,25.00M,-2.289B,,-50.00M,-139.00M,-189.00M,270.00M,-682.00M,-412.00M,-596.00M,-596.00M,2.722B,1.525B,,10.43B,5.692B,20.00M,16.14B,,270.00M,1.342B,-1.531B,-682.00M,,AOR,Restated
2016-12,1.708B,,,527.00M,527.00M,486.00M,116.00M,-14.00M,-777.00M,79.00M,,,-3.534B,-4.232B,-1.409B,,-485.00M,,-485.00M,967.00M,-1.158B,62.00M,-614.00M,,988.00M,-1.075B,-87.00M,42.00M,-163.00M,-121.00M,-595.00M,-595.00M,452.00M,-351.00M,,12.80B,-2.374B,8.00M,10.43B,,42.00M,790.00M,-877.00M,-163.00M,,AOR,Restated
2016-09,1.978B,,,515.00M,515.00M,-264.00M,107.00M,-48.00M,2.058B,-1.521B,,,4.378B,4.915B,7.203B,,-407.00M,,-407.00M,-692.00M,-1.188B,-41.00M,-2.328B,,-500.00M,569.00M,69.00M,133.00M,-137.00M,-4.00M,-595.00M,-595.00M,229.00M,-301.00M,,8.217B,4.574B,5.00M,12.80B,,133.00M,569.00M,-500.00M,-137.00M,,AOR,Restated
2016-06,1.76B,,,511.00M,511.00M,-286.00M,105.00M,-26.00M,-1.528B,1.381B,,,-234.00M,-381.00M,1.683B,,-388.00M,,-388.00M,-338.00M,-1.508B,2.00M,-2.232B,,-1.00B,409.00M,-591.00M,56.00M,-480.00M,-424.00M,-594.00M,-594.00M,-252.00M,-1.861B,,10.60B,-2.41B,31.00M,8.217B,,56.00M,124.00M,-715.00M,-480.00M,,AOR,Restated
2016-03,1.627B,,,502.00M,502.00M,145.00M,157.00M,6.00M,-1.11B,3.404B,,,-2.413B,-119.00M,2.318B,,-425.00M,,-425.00M,-1.697B,-2.073B,14.00M,-4.181B,,1.884B,-285.00M,1.599B,198.00M,-500.00M,-302.00M,-477.00M,-477.00M,682.00M,1.502B,,10.92B,-361.00M,34.00M,10.60B,,198.00M,2.485B,-886.00M,-500.00M,,AOR,Restated
2015-12,1.252B,,,484.00M,484.00M,-24.00M,100.00M,-27.00M,316.00M,1.112B,,-374.00M,672.00M,1.726B,3.511B,,-484.00M,,-484.00M,19.00M,-417.00M,-93.00M,-975.00M,,-625.00M,1.001B,376.00M,36.00M,-70.00M,-34.00M,-476.00M,-476.00M,543.00M,409.00M,,7.983B,2.945B,-5.00M,10.92B,,36.00M,1.001B,-625.00M,-70.00M,,AOR,Restated
2015-09,1.618B,,,452.00M,452.00M,-19.00M,95.00M,-48.00M,818.00M,-1.044B,,166.00M,759.00M,699.00M,2.797B,,-356.00M,,-356.00M,-14.40B,290.00M,-99.00M,-14.57B,,11.98B,1.579B,13.56B,124.00M,-177.00M,-53.00M,-477.00M,-477.00M,-1.08B,11.95B,,7.887B,178.00M,-82.00M,7.983B,,124.00M,13.56B,0.00,-177.00M,,AOR,Restated
2015-06,1.585B,,,379.00M,379.00M,-152.00M,86.00M,-116.00M,-967.00M,539.00M,,54.00M,-245.00M,-619.00M,1.163B,,-343.00M,,-343.00M,-1.203B,141.00M,80.00M,-1.325B,,0.00,-108.00M,-108.00M,50.00M,-57.00M,-7.00M,-476.00M,-476.00M,-26.00M,-617.00M,,8.65B,-779.00M,16.00M,7.887B,,50.00M,-108.00M,0.00,-57.00M,,AOR,Restated
2015-03,1.413B,,,378.00M,378.00M,122.00M,125.00M,-44.00M,-758.00M,3.258B,,154.00M,-2.379B,275.00M,2.269B,,-373.00M,,-373.00M,-575.00M,-545.00M,-32.00M,-1.525B,,-416.00M,1.194B,778.00M,192.00M,-896.00M,-704.00M,-357.00M,-357.00M,779.00M,496.00M,,7.495B,1.24B,-85.00M,8.65B,,192.00M,1.194B,-416.00M,-896.00M,,AOR,Restated
2014-12,1.51B,,,381.00M,381.00M,-10.00M,95.00M,-45.00M,-366.00M,341.00M,,,523.00M,498.00M,2.429B,,-404.00M,,-404.00M,-1.072B,546.00M,254.00M,-676.00M,,1.997B,-2.149B,-152.00M,62.00M,-984.00M,-922.00M,-358.00M,-358.00M,-51.00M,-1.483B,,7.233B,270.00M,-8.00M,7.495B,,62.00M,642.00M,-794.00M,-984.00M,,AOR,Restated
2014-09,1.602B,,,373.00M,373.00M,-91.00M,81.00M,-105.00M,1.586B,-999.00M,,218.00M,535.00M,1.34B,3.20B,,-405.00M,,-405.00M,-328.00M,-207.00M,-40.00M,-980.00M,,-640.00M,1.456B,816.00M,133.00M,-1.087B,-954.00M,-362.00M,-362.00M,-888.00M,-1.388B,,6.412B,832.00M,-11.00M,7.233B,,133.00M,1.355B,-539.00M,-1.087B,,AOR,Restated
2014-06,1.408B,,,364.00M,364.00M,-115.00M,83.00M,-83.00M,-1.141B,727.00M,,-15.00M,-214.00M,-643.00M,1.014B,,-363.00M,,-363.00M,-178.00M,314.00M,-48.00M,-275.00M,,0.00,-110.00M,-110.00M,51.00M,-1.026B,-975.00M,-366.00M,-366.00M,-398.00M,-1.849B,,7.514B,-1.11B,8.00M,6.412B,,51.00M,-9.00M,-101.00M,-1.026B,,AOR,Restated
2014-03,1.099B,,,360.00M,360.00M,99.00M,105.00M,-65.00M,-990.00M,2.052B,,-203.00M,-1.049B,-190.00M,1.408B,,-353.00M,,-353.00M,-345.00M,146.00M,-51.00M,-603.00M,,-172.00M,9.00M,-163.00M,216.00M,-911.00M,-695.00M,-276.00M,-276.00M,561.00M,-573.00M,,7.276B,232.00M,6.00M,7.514B,,216.00M,9.00M,-172.00M,-911.00M,,AOR,Restated
2013-12,1.427B,,,350.00M,350.00M,-92.00M,76.00M,35.00M,-197.00M,-212.00M,,-153.00M,-166.00M,-728.00M,1.068B,,-321.00M,-146.00M,-467.00M,-32.00M,-463.00M,146.00M,-816.00M,,-49.00M,55.00M,6.00M,60.00M,-822.00M,-762.00M,-279.00M,-279.00M,-228.00M,-1.263B,,8.286B,-1.011B,1.00M,7.276B,,60.00M,0.00,6.00M,-822.00M,,AOR,Restated
2013-09,1.57B,,,349.00M,349.00M,-7.00M,79.00M,-32.00M,832.00M,281.00M,,-27.00M,351.00M,1.437B,3.396B,,-361.00M,0.00,-361.00M,-46.00M,-848.00M,0.00,-1.255B,,0.00,159.00M,159.00M,224.00M,-1.014B,-790.00M,-280.00M,-280.00M,-605.00M,-1.516B,,7.654B,625.00M,7.00M,8.286B,,224.00M,0.00,159.00M,-1.014B,,AOR,Restated
2013-06,1.436B,,,340.00M,340.00M,-31.00M,77.00M,-45.00M,-489.00M,463.00M,,-41.00M,-236.00M,-303.00M,1.474B,,-302.00M,146.00M,-156.00M,-5.00M,47.00M,0.00,-114.00M,,-483.00M,-818.00M,-1.301B,198.00M,-791.00M,-593.00M,-281.00M,-281.00M,-1.495B,-3.67B,,10.04B,-2.31B,-74.00M,7.654B,,198.00M,-130.00M,-1.171B,-791.00M,,AOR,Restated
2013-03,1.24B,,,336.00M,336.00M,131.00M,99.00M,-41.00M,-463.00M,436.00M,,0.00,-685.00M,-712.00M,1.053B,,-323.00M,,-323.00M,-279.00M,-347.00M,45.00M,-904.00M,,1.158B,130.00M,1.288B,116.00M,-543.00M,-427.00M,-216.00M,-216.00M,858.00M,1.503B,,8.406B,1.652B,-20.00M,10.04B,,116.00M,2.365B,-1.077B,-543.00M,,AOR,Restated
2012-12,1.244B,,,370.00M,370.00M,127.00M,92.00M,-77.00M,-223.00M,-93.00M,,235.00M,7.00M,-74.00M,1.682B,,-284.00M,0.00,-284.00M,-3.73B,-175.00M,,-4.189B,,2.131B,1.047B,3.178B,570.00M,-490.00M,80.00M,-217.00M,-217.00M,-1.044B,1.997B,,8.916B,-510.00M,0.00,8.406B,,570.00M,3.533B,-355.00M,-490.00M,,AOR,Restated
2012-09,1.557B,,,317.00M,317.00M,73.00M,87.00M,9.00M,281.00M,72.00M,,49.00M,-2.743B,-2.341B,-298.00M,,-321.00M,0.00,-321.00M,-146.00M,-590.00M,,-1.057B,,-146.00M,540.00M,394.00M,98.00M,-785.00M,-687.00M,-217.00M,-217.00M,-797.00M,-1.307B,,11.58B,-2.662B,0.00,8.916B,,98.00M,1.025B,-631.00M,-785.00M,,AOR,Restated
2012-06,1.337B,,,326.00M,326.00M,-18.00M,102.00M,-75.00M,128.00M,277.00M,,-117.00M,225.00M,513.00M,2.185B,,-196.00M,0.00,-196.00M,-469.00M,-340.00M,,-1.005B,,0.00,-244.00M,-244.00M,153.00M,-818.00M,-665.00M,-218.00M,-218.00M,-136.00M,-1.263B,,11.66B,-83.00M,0.00,11.58B,,153.00M,-244.00M,0.00,-818.00M,,AOR,Restated
2012-03,1.388B,,,296.00M,296.00M,126.00M,140.00M,-88.00M,-316.00M,44.00M,,-248.00M,2.244B,1.724B,3.586B,,-269.00M,,-269.00M,-1.935B,-194.00M,,-2.398B,,995.00M,244.00M,1.239B,257.00M,-991.00M,-734.00M,-168.00M,-168.00M,707.00M,1.044B,,9.429B,2.232B,0.00,11.66B,,257.00M,1.239B,0.00,-991.00M,,AOR,Restated
2011-12,1.258B,,,290.00M,290.00M,147.00M,85.00M,13.00M,-52.00M,-347.00M,,-1.615B,-194.00M,-2.208B,-415.00M,,-261.00M,,-212.00M,-751.00M,-671.00M,,-1.249B,,1.487B,-1.753B,-266.00M,70.00M,-900.00M,-830.00M,,-170.00M,-1.32B,-2.586B,,13.68B,-4.25B,,9.429B,,70.00M,667.00M,-933.00M,-900.00M,,AOR,Restated
2011-09,1.271B,,,294.00M,294.00M,-352.00M,98.00M,-18.00M,628.00M,841.00M,,2.156B,46.00M,3.671B,4.964B,,-290.00M,,-290.00M,-644.00M,-431.00M,,-1.365B,,0.00,666.00M,666.00M,86.00M,-839.00M,-753.00M,,-172.00M,564.00M,305.00M,,9.775B,3.904B,,13.68B,,86.00M,666.00M,0.00,-839.00M,,AOR,Restated
2011-06,1.267B,,,270.00M,270.00M,99.00M,95.00M,-39.00M,-458.00M,-154.00M,,92.00M,23.00M,-497.00M,1.195B,,-303.00M,,-303.00M,92.00M,-10.00M,,-221.00M,,0.00,-605.00M,-605.00M,129.00M,-635.00M,-506.00M,,-174.00M,296.00M,-989.00M,,9.79B,-15.00M,,9.775B,,129.00M,-605.00M,0.00,-635.00M,,AOR,Restated
2011-03,1.346B,,,270.00M,270.00M,165.00M,123.00M,-23.00M,-385.00M,183.00M,,-151.00M,-304.00M,-657.00M,1.224B,,-213.00M,,-213.00M,-541.00M,-583.00M,,-1.337B,,-208.00M,759.00M,551.00M,96.00M,-620.00M,-524.00M,,-135.00M,888.00M,780.00M,,9.123B,667.00M,,9.79B,,96.00M,1.506B,-955.00M,-620.00M,,AOR,Restated
2010-12,1.043B,,,320.00M,320.00M,49.00M,76.00M,178.00M,19.00M,-667.00M,,81.00M,342.00M,-225.00M,1.441B,,-330.00M,,-330.00M,-251.00M,-1.143B,,-1.705B,,497.00M,-201.00M,296.00M,83.00M,-625.00M,-542.00M,,-136.00M,192.00M,-190.00M,,9.577B,-454.00M,,9.123B,,83.00M,546.00M,-250.00M,-625.00M,,AOR,Restated
2010-09,1.277B,,,247.00M,247.00M,-63.00M,83.00M,16.00M,754.00M,308.00M,,118.00M,164.00M,1.344B,2.904B,,-205.00M,,-205.00M,-1.907B,-704.00M,,-2.816B,,0.00,251.00M,251.00M,83.00M,-651.00M,-568.00M,,-139.00M,-38.00M,-494.00M,,9.983B,-406.00M,,9.577B,,83.00M,251.00M,0.00,-651.00M,,AOR,Restated
2010-06,1.123B,,,249.00M,249.00M,-24.00M,67.00M,17.00M,-471.00M,-92.00M,,-152.00M,6.00M,-709.00M,723.00M,,-211.00M,,-211.00M,-87.00M,63.00M,,-235.00M,,-500.00M,655.00M,155.00M,11.00M,-615.00M,-604.00M,,-174.00M,198.00M,-425.00M,,9.92B,63.00M,,9.983B,,11.00M,655.00M,-500.00M,-615.00M,,AOR,Restated
2010-03,1.191B,,,248.00M,248.00M,83.00M,100.00M,-8.00M,-318.00M,22.00M,,-37.00M,-76.00M,-409.00M,1.205B,,-132.00M,,-132.00M,-78.00M,-373.00M,,-583.00M,,-833.00M,225.00M,-608.00M,95.00M,-626.00M,-531.00M,,0.00,637.00M,-502.00M,,9.80B,120.00M,,9.92B,,95.00M,225.00M,-833.00M,-626.00M,,AOR,Restated
2009-12,944.00M,,,258.00M,258.00M,-22.00M,75.00M,9.00M,73.00M,-114.00M,,76.00M,-19.00M,16.00M,1.28B,,-256.00M,,-256.00M,-84.00M,-522.00M,,-862.00M,,0.00,236.00M,236.00M,35.00M,-233.00M,-198.00M,,0.00,-191.00M,-153.00M,,9.535B,265.00M,,9.80B,,35.00M,,0.00,-233.00M,,AOR,Restated
2009-09,1.035B,,,250.00M,250.00M,-108.00M,79.00M,7.00M,747.00M,247.00M,407.00M,75.00M,2.00M,1.478B,2.741B,,-172.00M,,-172.00M,-2.00M,550.00M,,376.00M,,-450.00M,-296.00M,-746.00M,64.00M,-64.00M,0.00,,0.00,-83.00M,-829.00M,,7.247B,2.288B,,9.535B,,64.00M,,-450.00M,-64.00M,,AOR,Restated
2009-06,859.00M,,,249.00M,249.00M,110.00M,85.00M,17.00M,-383.00M,-223.00M,-407.00M,-95.00M,280.00M,-828.00M,492.00M,,-151.00M,,-151.00M,-400.00M,217.00M,,-334.00M,,0.00,0.00,0.00,10.00M,-815.00M,-805.00M,,-36.00M,43.00M,-798.00M,,7.887B,-640.00M,,7.247B,,10.00M,,39.00M,-815.00M,,AOR,Restated
2009-03,984.00M,,,234.00M,234.00M,4.00M,95.00M,-10.00M,-337.00M,717.00M,,-62.00M,-513.00M,-195.00M,1.112B,,-160.00M,,-160.00M,0.00,4.00M,,-156.00M,,-900.00M,-39.00M,-939.00M,173.00M,-689.00M,-516.00M,,,960.00M,-495.00M,,7.426B,461.00M,,7.887B,,173.00M,,-939.00M,-689.00M,,AOR,Restated
2008-12,726.00M,,,259.00M,259.00M,-84.00M,74.00M,33.00M,-52.00M,403.00M,,250.00M,-8.00M,593.00M,1.601B,,-193.00M,199.00M,6.00M,-67.00M,339.00M,,278.00M,,0.00,-486.00M,-486.00M,123.00M,-179.00M,-56.00M,,0.00,8.00M,-534.00M,,6.081B,1.345B,,7.426B,,123.00M,0.00,860.00M,-179.00M,,AOR,Restated
2008-09,920.00M,,,254.00M,254.00M,-71.00M,84.00M,79.00M,476.00M,-598.00M,,121.00M,492.00M,491.00M,1.757B,,-183.00M,0.00,-183.00M,-48.00M,5.563B,-5.612B,-280.00M,,0.00,-441.00M,-441.00M,82.00M,-453.00M,-371.00M,,0.00,143.00M,-669.00M,,5.273B,808.00M,,6.081B,,82.00M,0.00,-441.00M,-453.00M,,AOR,Restated
2008-06,337.00M,,,243.00M,243.00M,-71.00M,75.00M,-201.00M,-394.00M,821.00M,,-173.00M,-37.00M,217.00M,600.00M,,-203.00M,185.00M,-18.00M,-632.00M,-6.262B,5.612B,-1.30B,,0.00,204.00M,204.00M,19.00M,-580.00M,-561.00M,,-37.00M,92.00M,-302.00M,,6.275B,-1.002B,,5.273B,,19.00M,0.00,204.00M,-580.00M,,AOR,Restated
2008-03,994.00M,,,225.00M,225.00M,60.00M,72.00M,-33.00M,-249.00M,-129.00M,,-165.00M,-495.00M,-1.038B,280.00M,,-212.00M,,-212.00M,-3.265B,-293.00M,,-3.77B,,2.481B,-623.00M,1.858B,75.00M,-1.472B,-1.397B,,,439.00M,900.00M,,8.865B,-2.59B,,6.275B,,75.00M,2.981B,-1.123B,-1.472B,,AOR,Restated
2007-12,1.216B,,,207.00M,207.00M,86.00M,60.00M,70.00M,-194.00M,-690.00M,,,292.00M,-569.00M,1.07B,,-185.00M,0.00,-185.00M,-57.00M,-1.598B,,-1.84B,,2.088B,-150.00M,2.885B,183.00M,-2.175B,-1.992B,,0.00,-1.608B,-715.00M,,10.35B,-1.485B,,8.865B,,183.00M,2.093B,-5.00M,-2.175B,,AOR,Restated
2007-09,1.283B,,,202.00M,202.00M,,95.00M,-13.00M,757.00M,220.00M,,,-2.028B,-1.051B,516.00M,,-223.00M,0.00,-223.00M,-62.00M,-147.00M,,-432.00M,,-553.00M,262.00M,-291.00M,165.00M,-2.044B,-1.879B,,0.00,-596.00M,-2.766B,,13.03B,-2.682B,,10.35B,,165.00M,0.00,-441.00M,-2.044B,,AOR,Restated
2007-06,1.228B,,,196.00M,196.00M,136.00M,350.00M,-530.00M,-426.00M,777.00M,,,-28.00M,323.00M,1.703B,,-239.00M,0.00,-239.00M,-89.00M,-735.00M,,-1.063B,,1.487B,-114.00M,1.373B,229.00M,-1.477B,-1.248B,,-40.00M,248.00M,333.00M,,12.06B,973.00M,,13.03B,,229.00M,1.489B,-114.00M,-1.477B,,AOR,Restated
2007-03,927.00M,,,191.00M,191.00M,-136.00M,,260.00M,-331.00M,111.00M,,,1.566B,1.346B,2.588B,,-224.00M,,-224.00M,-54.00M,-534.00M,,-812.00M,,-400.00M,2.00M,-398.00M,135.00M,-903.00M,-768.00M,,,1.129B,-37.00M,,10.32B,1.739B,,12.06B,,135.00M,0.00,-400.00M,-903.00M,,AOR,Restated
2006-12,1.175B,,,177.00M,177.00M,201.00M,,-448.00M,416.00M,502.00M,,90.00M,-917.00M,91.00M,1.60B,,-218.00M,8.00M,-210.00M,48.00M,-456.00M,,-618.00M,,0.00,2.364B,32.00M,397.00M,0.00,397.00M,,0.00,-343.00M,86.00M,,9.252B,1.068B,,10.32B,,397.00M,0.00,0.00,0.00,,AOR,Restated
2006-09,1.112B,,,168.00M,168.00M,-4.00M,,93.00M,361.00M,51.00M,,,-1.467B,-1.055B,314.00M,,-172.00M,35.00M,-137.00M,-71.00M,-152.00M,,-360.00M,,10.00M,-38.00M,-28.00M,,0.00,0.00,,0.00,-146.00M,-174.00M,,9.472B,-220.00M,,9.252B,,,10.00M,0.00,0.00,,AOR,Restated
2006-06,973.00M,,,168.00M,168.00M,-66.00M,,102.00M,-199.00M,-94.00M,623.00M,-2.608B,2.823B,545.00M,1.722B,,-167.00M,9.00M,-158.00M,-92.00M,203.00M,,-47.00M,,-10.00M,-133.00M,-143.00M,-145.00M,-446.00M,-591.00M,,-41.00M,728.00M,-47.00M,,7.844B,1.628B,,9.472B,,-145.00M,-10.00M,0.00,-446.00M,,AOR,Restated
2006-03,899.00M,,,157.00M,157.00M,-227.00M,,82.00M,-606.00M,1.085B,-623.00M,2.608B,-485.00M,1.979B,2.89B,,-171.00M,,-171.00M,-555.00M,-350.00M,,-1.076B,,2.909B,-2.193B,716.00M,145.00M,-1.899B,-1.754B,,,1.647B,609.00M,,5.421B,2.423B,,7.844B,,145.00M,3.00B,-91.00M,-1.899B,,AOR,Restated
2005-12,778.00M,,,120.00M,120.00M,7.00M,,81.00M,-47.00M,77.00M,39.00M,-1.128B,634.00M,-425.00M,561.00M,,-142.00M,,-142.00M,-2.639B,294.00M,,-2.487B,,-400.00M,42.00M,2.198B,91.00M,155.00M,246.00M,,0.00,-274.00M,2.17B,,5.177B,244.00M,,5.421B,,91.00M,0.00,,155.00M,,AOR,Restated
