,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2014-06,3.006B,-2.174B,,-668.00M,-246.00M,-3.088B,,,1.222B,1.222B,,,121.00M,,34.00M,,,,,,937.00M,-417.00M,,878.00M,,,,2.348B,-969.00M,-243.00M,-121.00M,-1.301B,,-1.301B,,-982.00M,-982.00M,,,,-179.00M,,-179.00M,949.00M,-1.513B,2.49B,-756.00M,8.00M,1.827B,,1.445B,-2.746B,-982.00M,317.00M,887.00M
2014-03,1.659B,-4.00M,,339.00M,-441.00M,-106.00M,,,1.121B,1.121B,,,138.00M,,238.00M,,,,,,-788.00M,-2.287B,,763.00M,,,,,5.075B,-750.00M,3.783B,-1.698B,,-1.698B,,-867.00M,-867.00M,,,,-182.00M,,-182.00M,-1.542B,-4.289B,2.241B,257.00M,-11.00M,2.49B,,1.583B,-3.281B,-867.00M,165.00M,840.00M
2013-12,1.962B,1.00M,,-731.00M,-540.00M,-1.27B,,,1.155B,1.155B,,,924.00M,,192.00M,,,,,,1.253B,-1.046B,,1.917B,,,,,2.361B,-322.00M,581.00M,-1.24B,,-1.24B,,-405.00M,-405.00M,,,,-147.00M,,-147.00M,-494.00M,-2.286B,2.058B,212.00M,-13.00M,2.241B,,1.602B,-2.842B,-405.00M,418.00M,905.00M
2013-09,2.148B,0.00,,672.00M,-152.00M,520.00M,,,1.058B,1.058B,,,126.00M,,81.00M,,,,,,-401.00M,-1.659B,,2.274B,,,,0.00,738.00M,-423.00M,447.00M,-1.741B,,-1.741B,,-192.00M,-192.00M,,,,-147.00M,,-147.00M,-337.00M,-2.417B,1.762B,304.00M,-9.00M,2.058B,,1.295B,-3.036B,-192.00M,169.00M,543.00M
2013-06,2.74B,47.00M,,-1.734B,-350.00M,-2.037B,,,1.297B,1.297B,,,143.00M,,38.00M,,,,,,-450.00M,-358.00M,,1.823B,,,,0.00,1.759B,792.00M,2.107B,-3.039B,,-3.039B,,0.00,0.00,,,,0.00,,0.00,-298.00M,-3.337B,1.227B,593.00M,-34.00M,1.762B,,943.00M,-3.982B,0.00,106.00M,1.425B
2013-03,2.158B,0.00,,-1.104B,-442.00M,-1.546B,,,1.203B,1.203B,,,139.00M,,340.00M,,,,,,371.00M,-2.443B,,-149.00M,,,,,4.037B,3.00M,3.964B,-2.942B,,-2.942B,,0.00,0.00,,,,0.00,,0.00,-776.00M,-3.718B,1.151B,97.00M,-36.00M,1.227B,,1.395B,-4.337B,0.00,103.00M,983.00M
2012-12,-3.67B,,,-1.907B,-384.00M,4.445B,,,3.33B,3.33B,,,597.00M,,23.00M,,,,,,-280.00M,-1.639B,-2.249B,837.00M,,,,,-3.912B,-592.00M,-2.546B,-822.00M,,-822.00M,,0.00,0.00,,0.00,0.00,0.00,,0.00,1.84B,1.29B,1.608B,-419.00M,25.00M,1.151B,,4.108B,-4.93B,0.00,44.00M,981.00M
2012-09,1.824B,,,-1.495B,-132.00M,-1.627B,,,1.461B,1.461B,,,193.00M,,0.00,,,,,,-227.00M,-1.467B,823.00M,1.207B,,,,,9.475B,635.00M,8.287B,-441.00M,,-441.00M,,-8.00B,-8.00B,,0.00,0.00,0.00,,0.00,-610.00M,-9.133B,1.232B,361.00M,15.00M,1.608B,,459.00M,-900.00M,-8.00B,197.00M,968.00M
2012-06,2.16B,,,-1.558B,-170.00M,-1.728B,,,1.343B,1.343B,,,270.00M,,-678.00M,,,,,,308.00M,-1.354B,838.00M,1.538B,,,,,242.00M,863.00M,890.00M,-1.462B,,-1.462B,,-2.00B,-2.00B,,0.00,0.00,,,,1.406B,-2.489B,1.315B,-61.00M,-22.00M,1.232B,,1.815B,-3.277B,-2.00B,109.00M,1.149B
2012-03,3.385B,,,-4.35B,-225.00M,-4.575B,,,1.215B,1.215B,,,687.00M,,687.00M,,,,,,999.00M,-1.206B,588.00M,94.00M,,,,,10.87B,-1.024B,9.981B,236.00M,,236.00M,,-3.00B,-3.00B,,-8.636B,-8.636B,,,,925.00M,-10.23B,1.474B,-157.00M,-2.00M,1.315B,,2.23B,-1.994B,-11.64B,97.00M,939.00M
