,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2010-12,-38.58M,,,0.006M,,,72.72M,72.72M,-0.409M,-6.892M,5.862M,2.696M,25.07M,-1.592M,-3.468M,0.412M,,,-7.24M,-1.517M,,,2010-12,-18.65M,-0.038M,-0.038M,-156.63M,29.48M,-29.71M,-175.55M,2010-12,-989.25M,,-989.25M,-12.49M,-10.34M,-22.83M,,,16.13M,980.16M,-15.78M,2010-12,197.24M,-133.00M,0.019M,,2010-12,-12.49M,19.94M,-1.009B,-10.34M,0.558M,,2010-12,AOR,Restated
2010-09,-34.58M,,,0.01M,,,69.73M,69.73M,-0.08M,2.186M,0.00,2.453M,14.91M,-3.664M,-5.333M,-3.786M,,,2.601M,-10.18M,,,2010-09,-20.47M,0.003M,0.003M,-59.44M,1.464M,0.00,-78.45M,2010-09,-0.716M,-1.886M,-2.602M,12.49M,0.00,12.49M,,,,-6.81M,3.074M,2010-09,227.94M,-30.70M,-0.004M,,2010-09,12.49M,-0.125M,-0.591M,0.00,0.34M,,2010-09,AOR,Restated
2010-06,-121.26M,,,48.93M,,,68.83M,68.83M,-0.134M,-12.65M,0.00,5.352M,64.53M,-4.847M,-4.129M,7.441M,,,8.409M,6.874M,,,2010-06,-15.34M,0.022M,0.022M,-81.62M,-0.66M,-0.691M,-98.29M,2010-06,1.214B,-1.299M,1.213B,,-88.40M,-88.40M,,,-4.825M,-972.70M,147.24M,2010-06,118.27M,109.66M,,,2010-06,,1.212B,2.086M,-88.40M,0.647M,,2010-06,AOR,Restated
2010-03,,,,0.112M,,,67.45M,67.45M,-0.114M,17.36M,,,-35.18M,4.184M,-2.093M,-10.68M,,,-3.77M,-12.36M,,,2010-03,-12.16M,0.013M,0.013M,-30.34M,-30.28M,0.024M,-72.75M,2010-03,-2.086M,3.185M,1.099M,,-8.681M,-8.681M,,,4.825M,-4.952M,-7.709M,2010-03,161.32M,-43.04M,,,2010-03,,0.00,-2.086M,-8.681M,,,2010-03,AOR,Restated
2009-12,-43.61M,,,1.472M,,,,65.69M,-0.165M,2.465M,,2.327M,14.89M,-4.341M,1.575M,4.544M,,,4.025M,5.803M,,,2009-12,-12.64M,0.09M,0.09M,-126.18M,-2.02M,-0.031M,-140.78M,2009-12,522.59M,-550.24M,-27.66M,4.077M,-1.72M,2.357M,,,0.00,-11.21M,-36.51M,2009-12,285.84M,-124.53M,,,2009-12,4.077M,6.274M,-33.93M,-1.72M,-0.86M,,2009-12,AOR,Restated
2009-09,-50.19M,,,12.52M,,,,64.95M,-0.076M,2.603M,,1.922M,13.92M,-2.354M,-3.903M,20.02M,,,2.953M,16.71M,,,2009-09,-12.47M,0.494M,0.494M,-25.03M,-2.56M,-0.011M,-39.58M,2009-09,77.17M,,77.17M,1.159M,0.00,1.159M,,,0.00,10.51M,88.84M,2009-09,174.23M,111.61M,,,2009-09,1.159M,728.66M,-651.49M,0.00,0.174M,,2009-09,AOR,Restated
2009-06,-29.43M,,,-2.381M,,,,64.25M,-0.024M,2.812M,,2.325M,12.54M,1.814M,-2.063M,4.329M,,,3.985M,8.065M,,,2009-06,-14.07M,0.014M,0.014M,-25.47M,-3.604M,-0.116M,-43.25M,2009-06,19.57M,1.50M,21.07M,0.444M,-50.00M,-49.56M,,,98.49M,-0.474M,69.53M,2009-06,89.78M,84.44M,,,2009-06,0.444M,488.25M,-467.18M,-50.00M,0.298M,,2009-06,AOR,Restated
2009-03,-17.89M,,,-5.948M,,,,63.65M,0.00,2.576M,,1.626M,9.091M,1.384M,-4.155M,-3.293M,,,2.24M,-3.824M,,,2009-03,-7.562M,0.01M,0.01M,-4.119M,0.00,6.20M,-5.471M,2009-03,-33.54M,-1.50M,-35.04M,1.365M,0.00,1.365M,,,,0.787M,-32.88M,2009-03,78.86M,10.93M,,,2009-03,1.365M,8.507M,-43.54M,0.00,0.388M,,2009-03,AOR,Restated
2008-12,5.953M,,,-44.34M,,,,62.11M,0.039M,2.749M,8.699M,1.58M,11.05M,-0.003M,-1.52M,-9.432M,,,2.696M,-8.259M,,,2008-12,-9.443M,0.005M,0.005M,-242.08M,0.144M,-0.117M,-251.49M,2008-12,1.214M,-149.77M,-148.55M,0.556M,0.00,0.556M,,,0.00,-0.395M,-148.39M,2008-12,439.16M,-360.30M,,,2008-12,0.556M,5.104M,-153.66M,0.00,-0.38M,,2008-12,AOR,Restated
2008-09,-27.65M,,,0.409M,,,,52.72M,0.157M,2.935M,0.49M,1.615M,9.878M,4.236M,-2.984M,10.31M,,,1.873M,13.44M,,,2008-09,-9.948M,0.013M,0.013M,-35.92M,0.00,-0.095M,-45.95M,2008-09,224.76M,0.00,224.76M,1.123M,0.00,1.123M,,,0.00,-2.044M,223.84M,2008-09,207.27M,231.88M,,,2008-09,1.123M,224.76M,0.00,0.00,0.61M,,2008-09,,Restated
2008-06,-26.24M,,,-0.004M,,,,49.25M,0.061M,2.836M,2.533M,2.477M,7.792M,5.799M,-3.789M,0.658M,,,3.993M,6.661M,,,2008-06,-8.413M,0.013M,0.013M,-256.11M,0.00,-0.151M,-264.66M,2008-06,362.98M,0.00,362.98M,3.123M,-120.00M,-116.88M,,,56.18M,-2.701M,299.58M,2008-06,126.98M,80.29M,,,2008-06,3.123M,732.50M,-369.52M,-120.00M,0.071M,,2008-06,,Restated
2008-03,-19.23M,,,0.004M,,,,47.35M,-0.098M,2.226M,2.455M,1.535M,4.509M,4.376M,-2.613M,-5.304M,,,-0.472M,-4.013M,,,2008-03,-8.362M,0.02M,0.02M,-50.38M,40.90M,-0.617M,-18.44M,2008-03,36.83M,0.00,36.83M,1.701M,,1.701M,,,,1.879M,40.41M,2008-03,70.27M,56.71M,,,2008-03,1.701M,40.00M,-3.173M,,0.058M,,2008-03,,Restated
