,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,109.35M,,109.35M,101.10M,,13.04M,114.14M,31.26M,28.37M,19.66M,302.78M,638.61M,,,4.871B,,35.18M,5.544B,-2.741B,2.803B,3.601B,3.601B,,,318.84M,,27.52M,121.50M,7.102B,7.405B,29.55M,6.90M,36.45M,87.18M,123.64M,,,20.00M,,20.00M,93.41M,93.41M,13.88M,250.93M,9.364B,,9.364B,,,,,378.71M,,2018-03,1.165M,-4.395B,2.185B,-2.588B,,2018-03,AOR,Restated
2017-12,68.78M,,68.78M,90.67M,0.948M,17.44M,109.06M,32.50M,32.92M,16.26M,259.53M,630.37M,,,4.826B,,34.69M,5.491B,-2.679B,2.812B,3.598B,3.598B,,52.38M,313.65M,,29.37M,34.30M,7.061B,7.320B,33.33M,7.125M,40.46M,111.64M,152.10M,,,20.00M,,20.00M,97.97M,97.97M,8.841M,278.90M,9.291B,,9.291B,,,,,349.73M,,2017-12,1.164M,-4.388B,2.167B,-2.599B,,2017-12,AOR,Restated
2017-09,139.71M,,139.71M,87.42M,,12.51M,99.92M,30.93M,30.17M,23.33M,324.07M,617.03M,,,4.744B,,36.43M,5.397B,-2.620B,2.777B,3.551B,3.551B,,,,,,648.36M,6.976B,7.300B,32.43M,,32.43M,104.72M,137.15M,,,773.29M,,773.29M,101.17M,101.17M,11.11M,1.023B,8.186B,,8.186B,,,,,350.04M,,2017-09,1.184M,-4.065B,2.148B,-2.258B,,2017-09,AOR,Restated
2017-06,164.52M,,164.52M,75.74M,,12.30M,88.04M,53.81M,30.09M,,336.46M,603.35M,,,4.687B,,41.29M,5.331B,-2.557B,2.774B,3.569B,3.569B,8.632M,,308.49M,,28.62M,78.05M,6.972B,7.309B,29.16M,8.285M,37.44M,129.95M,167.39M,,,772.52M,,772.52M,98.79M,98.79M,7.719M,1.046B,7.906B,,7.906B,,,,,341.93M,,2017-06,1.21M,-3.735B,2.127B,-1.986B,,2017-06,AOR,Restated
2017-03,132.22M,,132.22M,74.21M,,13.11M,87.32M,51.05M,30.67M,,301.27M,590.87M,,,4.653B,,42.27M,5.286B,-2.500B,2.786B,3.606B,3.606B,8.379M,,307.54M,,29.17M,64.79M,6.996B,7.297B,29.63M,7.077M,36.70M,66.09M,102.80M,,,20.00M,,20.00M,96.04M,96.04M,9.756M,228.59M,8.646B,,8.646B,,,,,339.18M,,2017-03,1.213M,-3.604B,2.029B,-1.916B,,2017-03,AOR,Restated
2016-12,146.11M,,146.11M,78.34M,,11.13M,89.47M,33.98M,36.79M,18.23M,324.57M,578.68M,,,4.614B,,38.93M,5.232B,-2.440B,2.792B,3.657B,3.657B,,,,,,587.37M,7.036B,7.361B,28.32M,,28.32M,105.63M,133.95M,,,627.16M,,627.16M,101.10M,101.10M,11.24M,873.45M,8.148B,,8.148B,,,,,334.99M,,2016-12,1.21M,-3.637B,2.011B,-1.996B,,2016-12,AOR,Restated
2016-09,165.22M,0.221M,165.45M,74.64M,,12.01M,86.65M,53.63M,552.47M,,858.20M,564.02M,,,4.557B,,37.75M,5.159B,-2.378B,2.780B,3.711B,3.711B,7.953M,,296.74M,,33.75M,42.96M,7.058B,7.916B,23.90M,10.12M,34.03M,85.89M,119.92M,,,515.88M,,515.88M,94.50M,94.50M,8.469M,738.77M,8.515B,,8.515B,,,,,330.63M,,2016-09,1.243M,-3.299B,2.000B,-1.669B,,2016-09,AOR,Restated
2016-06,133.96M,0.219M,134.18M,66.12M,,11.67M,77.79M,53.84M,25.45M,,291.26M,553.08M,,,4.536B,,36.71M,5.125B,-2.320B,2.805B,3.789B,3.789B,8.055M,,290.51M,,34.16M,38.43M,7.145B,7.436B,25.52M,8.888M,34.41M,102.67M,137.08M,,,568.92M,,568.92M,89.65M,89.65M,9.248M,804.91M,7.914B,,7.914B,,,,,325.11M,,2016-06,1.246M,-3.232B,1.988B,-1.608B,,2016-06,AOR,Restated
2016-03,103.27M,0.708M,103.97M,87.58M,,12.68M,100.26M,53.18M,25.14M,,282.55M,542.22M,,,4.484B,,35.58M,5.062B,-2.259B,2.803B,3.764B,3.764B,8.095M,,278.67M,,34.14M,40.50M,7.089B,7.372B,20.72M,7.562M,28.28M,87.91M,116.19M,,,20.00M,,20.00M,87.28M,87.28M,9.60M,233.07M,8.452B,,8.452B,,,,,316.86M,,2016-03,1.255M,-3.164B,1.974B,-1.631B,,2016-03,AOR,Restated
2015-12,118.04M,0.706M,118.74M,83.33M,,16.93M,100.26M,49.60M,25.35M,,293.96M,524.85M,,,4.419B,,32.73M,4.976B,-2.194B,2.782B,3.735B,3.735B,8.14M,,267.68M,,34.50M,32.76M,7.019B,7.313B,27.10M,7.899M,35.00M,109.22M,144.22M,,,20.00M,,20.00M,97.08M,97.08M,12.06M,273.37M,8.432B,,8.432B,,,,,313.68M,,2015-12,1.257M,-3.168B,1.963B,-1.706B,,2015-12,AOR,Restated
2015-09,73.27M,0.702M,73.97M,73.38M,,25.80M,99.18M,114.93M,46.78M,,334.87M,507.13M,,,4.320B,,29.36M,4.857B,-2.136B,2.721B,3.737B,3.737B,51.92M,,258.53M,,119.42M,24.51M,7.062B,7.397B,32.20M,9.70M,41.90M,95.13M,137.02M,,,40.00M,,40.00M,92.24M,92.24M,19.00M,288.27M,8.447B,,8.447B,,,,,359.30M,,2015-09,1.261M,-3.149B,1.952B,-1.698B,,2015-09,AOR,Restated
2015-06,69.85M,0.699M,70.54M,93.37M,,24.27M,117.64M,109.23M,47.06M,,344.48M,494.97M,,,4.340B,,32.15M,4.867B,-2.080B,2.787B,4.032B,4.032B,44.11M,,253.26M,,123.84M,20.22M,7.407B,7.752B,29.81M,8.645M,38.45M,109.33M,147.79M,,,40.00M,,40.00M,113.30M,113.30M,12.97M,314.05M,8.216B,,8.216B,,,,,354.64M,,2015-06,1.282M,-2.743B,1.939B,-1.133B,,2015-06,AOR,Restated
2015-03,62.37M,4.816M,67.19M,91.47M,,29.21M,120.68M,95.71M,41.44M,,325.01M,443.12M,,,4.244B,,30.11M,4.717B,-2.015B,2.702B,3.926B,3.926B,44.10M,,240.45M,,93.43M,60.05M,7.202B,7.527B,33.80M,5.794M,39.60M,87.79M,127.39M,,,33.75M,,33.75M,108.63M,108.63M,16.71M,286.48M,7.930B,,7.930B,,,,,347.78M,,2015-03,1.294M,-2.621B,1.940B,-1.037B,,2015-03,AOR,Restated
2014-12,39.44M,5.549M,44.99M,104.27M,,30.08M,134.35M,95.03M,52.52M,,326.89M,426.97M,,,4.246B,,35.86M,4.709B,-1.947B,2.762B,4.190B,4.190B,44.10M,,230.38M,,123.75M,29.90M,7.514B,7.841B,42.85M,5.331M,48.18M,113.40M,161.58M,,,32.50M,,32.50M,120.05M,120.05M,16.92M,331.05M,7.828B,,7.828B,,,,,342.58M,,2014-12,1.291M,-2.542B,2.063B,-660.80M,,2014-12,AOR,Restated
2014-09,450.26M,5.541M,455.80M,77.44M,,29.10M,106.54M,65.78M,46.27M,,674.39M,405.21M,,,4.121B,,37.87M,4.564B,-1.876B,2.688B,3.911B,3.911B,52.72M,,218.44M,,78.90M,56.65M,7.135B,7.809B,31.32M,9.224M,40.55M,107.93M,148.48M,,,1.078B,,1.078B,108.05M,108.05M,11.38M,1.346B,6.472B,,6.472B,,,,,288.61M,,2014-09,1.291M,-2.543B,2.338B,-297.62M,,2014-09,AOR,Restated
2014-06,107.65M,5.828M,113.48M,72.78M,,25.70M,98.49M,65.63M,36.42M,,314.02M,390.25M,,,4.083B,,27.42M,4.500B,-1.809B,2.691B,4.041B,4.041B,52.82M,,204.13M,,75.24M,57.73M,7.251B,7.565B,27.50M,8.712M,36.21M,121.74M,157.95M,,,1.080B,,1.080B,91.02M,91.02M,10.84M,1.340B,5.779B,,5.779B,,,,,286.39M,,2014-06,1.291M,-2.526B,2.650B,159.29M,,2014-06,AOR,Restated
2014-03,322.91M,5.054M,327.97M,68.10M,,22.11M,90.22M,62.72M,35.22M,,516.13M,377.09M,,,4.032B,,22.12M,4.431B,-1.738B,2.693B,4.081B,4.081B,52.81M,,189.66M,,80.58M,54.05M,7.275B,7.791B,26.31M,9.091M,35.40M,112.75M,148.15M,,,503.78M,,503.78M,89.92M,89.92M,14.93M,756.78M,6.366B,,6.366B,,,,,272.39M,,2014-03,1.288M,-2.517B,2.912B,396.19M,,2014-03,AOR,Restated
2013-12,122.11M,5.446M,127.56M,71.34M,,27.86M,99.20M,69.59M,47.30M,,343.65M,364.83M,,,3.862B,,24.28M,4.251B,-1.672B,2.578B,3.387B,3.387B,52.80M,,179.29M,,73.04M,49.71M,6.440B,6.783B,24.30M,9.814M,34.12M,123.01M,157.12M,,,481.89M,,481.89M,94.66M,94.66M,14.01M,747.67M,5.395B,,5.395B,,,,,283.83M,,2013-12,1.284M,-2.518B,2.907B,356.97M,,2013-12,AOR,Restated
2013-09,189.41M,4.873M,194.28M,65.12M,,34.09M,99.20M,47.89M,49.05M,,390.43M,327.86M,,,3.849B,,21.02M,4.197B,-1.619B,2.579B,3.122B,3.122B,,,,,76.97M,416.04M,6.194B,6.584B,26.17M,,26.17M,109.23M,135.40M,,,11.25M,,11.25M,84.92M,84.92M,21.29M,252.86M,5.637B,,5.637B,,,,0.00,246.06M,,2013-09,1.281M,-2.499B,2.959B,448.43M,,2013-09,AOR,Restated
2013-06,189.44M,5.388M,194.83M,47.78M,,35.65M,83.44M,37.44M,36.38M,,352.08M,315.64M,,,3.791B,,23.26M,4.130B,-1.559B,2.570B,3.088B,3.088B,,,,,79.80M,393.92M,6.132B,6.485B,24.10M,,24.10M,86.42M,110.52M,,,10.00M,,10.00M,72.74M,72.74M,19.64M,212.90M,5.631B,,5.631B,,,,0.00,204.66M,,2013-06,1.278M,-2.520B,2.969B,435.74M,,2013-06,AOR,Restated
2013-03,122.23M,4.166M,126.40M,49.46M,,26.88M,76.34M,40.33M,26.88M,,269.94M,304.06M,,,3.826B,,24.19M,4.154B,-1.499B,2.655B,3.085B,3.085B,,,,,63.56M,375.51M,6.180B,6.450B,22.71M,,22.71M,83.55M,106.27M,,,478.45M,,478.45M,72.15M,72.15M,18.27M,675.14M,4.885B,,4.885B,,,,0.00,192.76M,,2013-03,1.273M,-2.485B,3.176B,696.64M,,2013-03,AOR,Restated
2012-12,233.10M,5.471M,238.57M,39.10M,,23.64M,62.74M,59.84M,27.71M,,388.86M,290.93M,,,3.793B,,25.45M,4.110B,-1.438B,2.671B,3.134B,3.134B,52.94M,,116.36M,,66.32M,73.04M,6.227B,6.616B,27.69M,9.58M,37.27M,78.70M,115.98M,,,475.35M,,475.35M,76.67M,76.67M,195.69M,863.69M,4.881B,,4.881B,,,,11.71M,206.77M,,2012-12,1.269M,-2.462B,3.111B,652.99M,,2012-12,AOR,Restated
2012-09,1.441B,5.505M,1.447B,35.08M,,,35.08M,26.96M,22.70M,19.90M,1.557B,0.00,195.04M,3.167B,33.48M,,29.60M,3.425B,-1.373B,2.052B,2.101B,2.101B,,,,,68.43M,305.30M,4.526B,6.083B,19.86M,,19.86M,74.64M,94.51M,,,529.60M,,529.60M,58.58M,58.58M,6.066M,688.75M,4.776B,,4.776B,,,11.81M,,165.76M,,2012-09,1.218M,-2.410B,2.847B,440.53M,,2012-09,AOR,Restated
2012-06,86.74M,5.016M,91.76M,26.25M,,,26.25M,25.15M,16.91M,18.10M,303.16M,0.00,185.91M,3.137B,32.16M,,31.82M,3.387B,-1.320B,2.067B,2.121B,2.121B,,,,,40.57M,261.77M,4.490B,4.794B,16.83M,,16.83M,56.18M,73.01M,,,918.01M,,918.01M,54.52M,54.52M,5.299M,1.051B,3.091B,,3.091B,,,12.06M,,159.19M,,2012-06,1.215M,-2.357B,2.836B,480.20M,,2012-06,AOR,Restated
2012-03,525.55M,5.749M,531.30M,23.92M,,,23.92M,14.93M,17.48M,16.99M,604.62M,0.00,174.54M,2.607B,30.23M,,33.37M,2.845B,-1.270B,1.575B,1.644B,1.644B,,,,,39.66M,222.65M,3.482B,4.087B,13.12M,,13.12M,44.38M,57.50M,,,5.00M,,5.00M,47.81M,47.81M,3.619M,113.93M,3.565B,,3.565B,,,12.04M,,135.85M,,2012-03,1.16M,-2.304B,2.561B,259.57M,,2012-03,AOR,Restated
2011-12,47.32M,5.773M,53.09M,22.10M,,17.66M,39.76M,14.25M,22.27M,,129.36M,168.99M,,,2.618B,,23.08M,2.810B,-1.226B,1.583B,1.640B,1.640B,49.53M,,64.36M,,42.06M,40.41M,3.477B,3.606B,12.76M,5.557M,18.31M,50.54M,68.85M,,,5.00M,,5.00M,49.78M,49.78M,3.25M,126.88M,3.349B,,3.349B,,,,12.06M,129.28M,,2011-12,1.097M,-2.281B,2.268B,-11.31M,,2011-12,AOR,Restated
2011-09,179.30M,5.286M,184.59M,17.84M,,,17.84M,16.61M,24.73M,16.78M,260.55M,0.00,162.35M,2.527B,28.14M,,27.38M,2.745B,-1.184B,1.561B,1.550B,1.550B,,,,,44.43M,193.32M,3.349B,3.609B,15.97M,,15.97M,53.72M,69.69M,,,5.00M,,5.00M,54.97M,54.97M,3.235M,132.89M,3.334B,,3.334B,,,12.15M,,123.59M,,2011-09,1.094M,-2.252B,2.258B,6.299M,,2011-09,AOR,Restated
2011-06,277.75M,2.829M,280.58M,18.27M,,,18.27M,14.64M,23.96M,15.36M,352.81M,0.00,157.01M,2.486B,26.28M,,28.13M,2.697B,-1.143B,1.554B,1.551B,1.551B,,,,,46.75M,188.08M,3.340B,3.693B,15.51M,,15.51M,52.89M,68.40M,,,5.00M,,5.00M,52.53M,52.53M,3.299M,129.23M,3.319B,,3.319B,,,12.28M,,119.21M,,2011-06,1.114M,-2.144B,2.253B,112.92M,,2011-06,AOR,Restated
2011-03,95.10M,2.332M,97.44M,19.35M,,,19.35M,10.60M,30.11M,15.89M,173.39M,0.00,149.98M,2.434B,25.11M,,33.09M,2.642B,-1.104B,1.538B,1.531B,1.531B,,,,,42.88M,181.10M,3.293B,3.466B,13.03M,,13.03M,43.95M,56.98M,,,,,,59.77M,59.77M,3.502M,120.25M,3.005B,,3.005B,,,12.38M,,115.56M,,2011-03,1.133M,-2.039B,2.249B,213.08M,,2011-03,AOR,Restated
2010-12,64.25M,4.016M,68.27M,18.78M,,,18.78M,12.44M,29.46M,17.78M,146.73M,0.00,143.44M,2.407B,24.04M,,24.98M,2.600B,-1.065B,1.534B,1.500B,1.500B,,,,,45.11M,174.01M,3.253B,3.400B,11.85M,,11.85M,53.72M,65.57M,,,,,,61.14M,61.14M,3.877M,130.58M,2.827B,,2.827B,,,13.02M,,112.01M,,2010-12,1.148M,-1.930B,2.243B,317.11M,,2010-12,AOR,Restated
2010-09,197.24M,3.56M,200.80M,19.01M,,,19.01M,13.02M,30.12M,15.23M,278.18M,0.00,135.64M,2.345B,24.39M,,21.97M,2.527B,-1.029B,1.498B,1.438B,1.438B,,,,,47.23M,162.75M,3.146B,3.424B,15.17M,,15.17M,49.04M,64.21M,,,30.08M,,30.08M,57.37M,57.37M,3.497M,155.15M,2.792B,,2.792B,,,0.614M,,104.41M,,2010-09,1.149M,-1.880B,2.249B,371.31M,,2010-09,AOR,Restated
2010-06,227.94M,4.222M,232.16M,17.06M,,,17.06M,11.99M,28.08M,13.80M,303.10M,0.00,127.82M,2.311B,23.75M,,17.82M,2.480B,-989.66M,1.491B,1.433B,1.433B,,,,,49.22M,157.72M,3.131B,3.434B,10.08M,,10.08M,57.24M,67.32M,,,29.59M,,29.59M,56.55M,56.55M,3.352M,156.82M,2.778B,,2.778B,,,0.658M,,101.21M,,2010-06,1.146M,-1.846B,2.240B,397.17M,,2010-06,AOR,Restated
2010-03,118.27M,3.56M,121.83M,14.82M,,,14.82M,9.778M,27.10M,10.98M,184.51M,0.00,121.55M,2.267B,23.36M,,12.27M,2.424B,-951.38M,1.473B,1.421B,1.421B,,,,,40.35M,152.57M,3.086B,3.271B,10.70M,,10.70M,47.10M,57.81M,,,29.12M,,29.12M,49.20M,49.20M,3.116M,139.24M,2.472B,,2.472B,,,0.875M,,96.86M,,2010-03,1.171M,-1.674B,2.236B,561.43M,,2010-03,AOR,Restated
2009-12,161.32M,5.352M,166.67M,19.64M,,,19.64M,9.848M,30.28M,10.39M,236.84M,0.00,117.93M,2.259B,22.80M,,11.48M,2.412B,-914.67M,1.497B,1.436B,1.436B,,,,,37.90M,106.38M,3.077B,3.314B,9.219M,,9.219M,63.66M,72.88M,,,28.65M,,28.65M,54.01M,54.01M,3.184M,158.72M,2.460B,,2.460B,,,0.915M,,94.57M,,2009-12,1.171M,-1.628B,2.228B,599.03M,,2009-12,AOR,Restated
2009-09,285.84M,6.332M,292.18M,15.63M,,,15.63M,10.23M,26.53M,10.18M,354.75M,0.00,112.25M,2.202B,30.20M,,10.26M,2.355B,-885.95M,1.469B,1.385B,1.385B,,,,,39.86M,102.74M,2.997B,3.352B,10.14M,,10.14M,51.39M,61.53M,,,,,,49.80M,49.80M,2.918M,114.25M,2.508B,,2.508B,,,1.138M,,90.98M,,2009-09,1.167M,-1.582B,2.222B,636.81M,,2009-09,AOR,Restated
2009-06,174.23M,3.77M,178.00M,13.64M,,,13.64M,8.808M,36.76M,9.712M,246.92M,0.00,110.36M,2.177B,29.91M,,10.06M,2.327B,-849.08M,1.478B,1.400B,1.400B,,,,,31.07M,99.24M,3.009B,3.256B,9.669M,,9.669M,30.11M,39.78M,,,6.00M,,6.00M,48.11M,48.11M,3.081M,96.97M,2.384B,,2.384B,,,1.218M,,87.83M,,2009-06,1.166M,-1.532B,2.219B,685.91M,,2009-06,AOR,Restated
2009-03,89.78M,0.164M,89.95M,14.08M,,,14.08M,8.939M,36.57M,11.20M,160.74M,0.00,107.29M,2.149B,29.54M,,9.506M,2.296B,-812.66M,1.483B,1.405B,1.405B,,,,,26.59M,96.36M,3.011B,3.172B,10.07M,,10.07M,27.01M,37.08M,,,6.00M,,6.00M,45.94M,45.94M,2.785M,91.80M,2.348B,,2.348B,,,,,82.00M,,2009-03,1.187M,-1.453B,2.104B,650.15M,,2009-03,AOR,Restated
2008-12,78.86M,0.162M,79.02M,16.35M,,,16.35M,9.689M,38.60M,10.66M,154.32M,0.00,102.90M,2.136B,29.56M,,10.30M,2.279B,-776.26M,1.503B,1.425B,1.425B,,,,,29.70M,96.00M,3.054B,3.208B,8.963M,,8.963M,27.48M,36.44M,,,6.00M,,6.00M,45.31M,45.31M,2.85M,90.59M,2.386B,,2.386B,,,0.00,,80.50M,,2008-12,1.175M,-1.435B,2.086B,650.51M,,2008-12,AOR,Restated
2008-09,439.16M,0.161M,439.32M,12.79M,,14.17M,26.96M,10.90M,37.27M,,514.45M,0.00,94.60M,,30.00M,2.045B,8.587M,2.178B,-741.73M,1.436B,1.298B,1.298B,,,,,,139.07M,2.873B,3.388B,10.54M,,10.54M,27.02M,37.57M,,,5.50M,,5.50M,43.82M,43.82M,13.94M,100.83M,2.822B,,2.822B,,,,,77.78M,,2008-09,1.137M,-1.404B,1.792B,387.29M,,2008-09,,Restated
2008-06,207.27M,9.254M,216.52M,15.71M,,,15.71M,9.828M,35.25M,15.01M,292.32M,0.00,76.12M,,29.65M,1.914B,6.608M,2.026B,-709.27M,1.317B,996.59M,996.59M,,,,,,127.43M,2.441B,2.733B,10.14M,,10.14M,17.72M,27.87M,,,,,,39.47M,39.47M,6.999M,74.34M,2.455B,,2.455B,,,,,73.80M,,2008-06,1.059M,-1.387B,1.518B,129.96M,,2008-06,,Restated
