,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,305.28M,,305.28M,734.38M,,734.38M,346.95M,22.36M,318.51M,687.82M,242.87M,,,,1.970B,,,,,,,2.139B,-1.252B,887.48M,1.166B,414.06M,1.580B,,88.23M,155.14M,,2018-03,324.26M,54.40M,,,378.67M,51.19M,429.86M,,,36.82M,,36.82M,,,250.07M,716.75M,1.676B,1.676B,,36.93M,5.812M,,245.48M,2.186B,2.902B,14.47M,3.948B,166.52M,1.735B,,,,-620.58M,1.773B,,2018-03,AOR,Restated
2017-12,368.05M,,368.05M,663.66M,,663.66M,326.14M,16.43M,306.88M,649.45M,215.39M,0.00,,,1.897B,0.00,39.01M,560.94M,1.349B,,141.76M,2.091B,-1.210B,880.58M,1.156B,415.79M,1.572B,0.00,99.78M,33.94M,,2017-12,338.19M,54.42M,40.05M,37.22M,469.87M,115.00M,584.87M,,,6.966M,,6.966M,,,164.07M,768.77M,1.632B,1.632B,51.10M,37.34M,5.092M,0.00,191.29M,2.141B,2.910B,14.47M,3.871B,162.83M,1.726B,-329.73M,-297.42M,-10.33M,-637.48M,1.684B,,2017-12,AOR,Restated
2017-09,316.00M,,316.00M,691.24M,,691.24M,303.30M,15.72M,300.50M,619.52M,222.99M,,,,1.850B,,,,,,,2.073B,-1.245B,828.59M,1.154B,424.14M,1.578B,,158.09M,106.25M,,2017-09,271.19M,54.44M,,,325.63M,74.49M,400.12M,39.96M,7.888M,47.84M,,47.84M,,,248.16M,696.13M,1.626B,1.626B,,37.98M,5.175M,,156.78M,2.062B,2.758B,14.47M,3.965B,155.84M,1.721B,,,,-656.65M,1.757B,,2017-09,AOR,Restated
2017-06,491.39M,,491.39M,665.51M,,665.51M,309.54M,17.83M,296.39M,623.76M,213.27M,,,,1.994B,,,,,,,2.023B,-1.211B,811.83M,1.145B,426.06M,1.571B,,150.36M,91.54M,,2017-06,265.90M,50.62M,,,316.52M,53.83M,370.35M,,,257.87M,,257.87M,,,233.00M,861.22M,1.636B,1.636B,,38.53M,5.728M,,151.54M,2.078B,2.939B,14.47M,3.909B,148.44M,1.722B,,,,-676.20M,1.674B,,2017-06,AOR,Restated
2017-03,300.07M,,300.07M,637.52M,,637.52M,306.31M,18.10M,279.84M,604.25M,169.59M,,,,1.711B,,,,,,,1.976B,-1.184B,791.92M,1.120B,390.21M,1.511B,,148.26M,89.96M,,2017-03,277.42M,50.51M,,,327.93M,43.78M,371.71M,107.44M,258.23M,365.67M,,365.67M,,,248.45M,985.82M,1.186B,1.186B,,39.16M,5.44M,,158.85M,1.635B,2.621B,14.47M,3.851B,155.41M,1.713B,,,,-681.47M,1.626B,,2017-03,AOR,Restated
2016-12,323.99M,,323.99M,550.66M,,550.66M,288.63M,13.79M,289.60M,592.02M,142.35M,,,,1.609B,0.00,36.37M,519.95M,1.234B,,122.75M,1.913B,-1.138B,775.72M,1.000B,365.78M,1.366B,,138.64M,79.94M,,2016-12,274.82M,50.68M,16.18M,21.47M,363.15M,147.33M,510.48M,,,258.52M,,258.52M,,,118.68M,898.30M,1.067B,1.067B,,39.82M,4.89M,,137.48M,1.488B,2.386B,14.47M,3.819B,152.48M,1.679B,-335.67M,-352.02M,7.604M,-680.10M,1.626B,,2016-12,AOR,Restated
2016-09,498.73M,,498.73M,587.07M,,587.07M,279.93M,16.14M,289.12M,585.18M,186.05M,,,,1.857B,,,,,,,1.877B,-1.132B,745.24M,941.51M,284.61M,1.226B,,148.62M,120.11M,,2016-09,259.21M,50.87M,,,310.08M,59.81M,369.89M,,,257.68M,,257.68M,,,228.36M,855.92M,1.110B,1.110B,,40.86M,4.422M,,147.66M,1.543B,2.399B,14.47M,3.789B,146.55M,1.645B,,,,-611.65M,1.694B,,2016-09,AOR,Restated
2016-06,539.99M,,539.99M,621.16M,,621.16M,273.42M,19.32M,291.74M,584.49M,183.79M,,,,1.929B,,,,,,,1.850B,-1.113B,737.35M,940.54M,288.84M,1.229B,,139.02M,119.44M,,2016-06,255.14M,44.59M,,,299.73M,49.05M,348.78M,,,133.47M,,133.47M,,,205.99M,688.25M,1.358B,1.358B,,41.63M,4.06M,,144.91M,1.788B,2.477B,14.47M,3.750B,140.36M,1.623B,,,,-608.31M,1.674B,,2016-06,AOR,Restated
2016-03,528.88M,,528.88M,609.59M,,609.59M,292.94M,15.83M,291.92M,600.70M,152.37M,,,,1.892B,,,,,,,1.839B,-1.105B,733.94M,951.18M,302.09M,1.253B,,160.99M,122.74M,,2016-03,276.93M,44.64M,,,321.57M,39.60M,361.17M,,,133.69M,,133.69M,,,217.88M,712.75M,1.370B,1.370B,,42.56M,5.196M,,157.95M,1.814B,2.527B,14.47M,3.678B,143.64M,1.599B,,,,-607.00M,1.630B,,2016-03,AOR,Restated
2015-12,181.99M,,181.99M,537.90M,,537.90M,282.18M,17.45M,272.42M,572.05M,145.18M,,,,1.437B,0.00,22.90M,538.10M,1.176B,,75.79M,1.812B,-1.079B,732.79M,941.39M,306.00M,1.247B,,166.32M,71.53M,,2015-12,285.50M,44.82M,10.24M,,340.57M,77.22M,417.78M,,,132.35M,,132.35M,,,164.41M,725.16M,935.37M,935.37M,,43.26M,4.672M,,160.85M,1.382B,2.107B,14.47M,3.604B,140.80M,1.556B,-325.34M,-297.50M,9.401M,-613.44M,1.590B,,2015-12,AOR,Restated
2015-09,272.28M,,272.28M,569.61M,,569.61M,284.50M,19.34M,285.62M,589.46M,194.82M,,12.59M,,1.639B,,,,,,,1.779B,-1.071B,708.90M,932.31M,323.05M,1.255B,,179.45M,129.22M,,2015-09,254.34M,45.00M,,,299.34M,55.23M,354.57M,,,133.06M,,133.06M,,,199.70M,687.32M,1.058B,1.058B,,44.15M,4.277M,,171.56M,1.628B,2.316B,14.47M,3.570B,136.79M,1.518B,,,,-611.64M,1.592B,,2015-09,AOR,Restated
2015-06,377.25M,,377.25M,566.41M,,566.41M,268.02M,19.08M,274.62M,561.72M,201.95M,,14.92M,,1.722B,,,,,,,1.778B,-1.064B,714.81M,752.73M,156.25M,908.97M,,175.45M,132.14M,,2015-06,241.53M,38.06M,,,279.59M,47.66M,327.26M,,,8.793M,,8.793M,,,187.47M,523.52M,989.20M,989.20M,,45.08M,3.674M,,115.24M,1.503B,2.027B,14.47M,3.508B,133.05M,1.477B,,,,-556.25M,1.623B,,2015-06,AOR,Restated
2015-03,443.69M,,443.69M,525.26M,,525.26M,258.78M,19.84M,257.84M,536.46M,232.57M,,17.13M,,1.755B,,,,,,,1.713B,-1.021B,692.01M,675.48M,74.72M,750.20M,,178.95M,130.90M,,2015-03,215.92M,37.96M,,,253.87M,41.35M,295.22M,,,8.379M,,8.379M,,,183.72M,487.32M,935.17M,935.17M,,45.82M,4.78M,,113.02M,1.448B,1.935B,14.47M,3.441B,135.62M,1.450B,,,,-573.32M,1.567B,,2015-03,AOR,Restated
2014-12,478.57M,,478.57M,493.77M,,493.77M,275.16M,17.70M,275.86M,568.73M,141.25M,,27.71M,,1.710B,0.00,16.45M,411.16M,1.192B,,146.71M,1.767B,-1.046B,720.27M,675.48M,76.56M,752.04M,,183.05M,85.52M,,2014-12,216.04M,37.97M,15.12M,,269.13M,94.96M,364.09M,,,8.09M,,8.09M,,,134.73M,518.81M,934.23M,934.23M,,46.54M,4.128M,,118.02M,1.453B,1.972B,14.47M,3.351B,140.01M,1.446B,-379.46M,-173.34M,12.37M,-540.43M,1.519B,,2014-12,AOR,Restated
2014-09,404.84M,,404.84M,562.62M,,562.62M,264.53M,17.25M,274.52M,556.30M,165.54M,,23.32M,,1.713B,,,,,,,1.796B,-1.095B,700.95M,675.48M,78.40M,753.88M,,160.49M,148.58M,,2014-09,207.23M,37.93M,,,245.16M,66.37M,311.53M,,,9.528M,,9.528M,,,195.80M,516.85M,933.62M,933.62M,,47.36M,4.135M,,116.70M,1.316B,1.833B,14.47M,3.299B,136.34M,1.411B,,,,-399.06M,1.640B,,2014-09,AOR,Restated
2014-06,326.85M,,326.85M,583.22M,,583.22M,257.33M,17.82M,279.72M,554.87M,148.63M,,30.48M,,1.644B,,,,,,,1.815B,-1.116B,698.84M,675.48M,80.18M,755.66M,,151.83M,150.15M,,2014-06,195.25M,31.67M,,,226.92M,52.38M,279.30M,,,3.052M,,3.052M,,,186.30M,468.65M,932.62M,932.62M,,47.96M,3.646M,,110.83M,1.330B,1.799B,14.47M,3.229B,131.77M,1.394B,,,,-383.71M,1.598B,,2014-06,AOR,Restated
2014-03,268.58M,,268.58M,574.68M,,574.68M,250.61M,16.41M,285.09M,552.12M,144.08M,,30.39M,,1.570B,,,,,,,1.805B,-1.109B,696.23M,676.05M,83.26M,759.32M,,154.88M,141.08M,,2014-03,209.00M,31.68M,,,240.67M,46.36M,287.03M,,,2.291M,,2.291M,,,195.22M,484.54M,931.64M,931.64M,,40.61M,4.422M,,105.32M,1.316B,1.800B,14.47M,3.151B,131.98M,1.383B,,,,-397.28M,1.517B,,2014-03,AOR,Restated
2013-12,405.50M,,405.50M,524.49M,,524.49M,252.46M,6.658M,274.69M,533.81M,148.91M,,40.19M,,1.653B,0.00,20.72M,432.98M,1.207B,,97.22M,1.758B,-1.071B,687.22M,665.58M,30.62M,696.20M,,154.44M,70.63M,,2013-12,226.73M,31.74M,23.45M,,281.92M,128.30M,410.22M,,,0.149M,,0.149M,,,138.10M,560.37M,932.66M,932.66M,,41.34M,3.979M,,92.08M,1.304B,1.865B,14.47M,3.076B,131.46M,1.366B,-284.42M,-104.28M,-4.012M,-392.71M,1.463B,,2013-12,AOR,Restated
2013-09,343.15M,,343.15M,553.88M,,553.88M,239.60M,9.796M,271.31M,520.71M,155.39M,,60.74M,,1.634B,,,,,,,1.580B,-922.88M,656.66M,665.58M,32.13M,697.72M,,160.93M,175.33M,,2013-09,176.24M,31.88M,,,208.12M,84.29M,292.41M,,,0.144M,,0.144M,,,217.02M,509.58M,933.46M,933.46M,,42.14M,3.573M,,102.25M,1.375B,1.885B,14.47M,3.046B,126.20M,1.347B,,,,-403.56M,1.436B,,2013-09,AOR,Restated
2013-06,365.90M,,365.90M,541.61M,,541.61M,239.43M,8.466M,264.89M,512.78M,156.13M,,57.47M,,1.634B,,,,,,,1.546B,-894.73M,651.01M,665.58M,33.65M,699.23M,,154.97M,169.82M,,2013-06,176.73M,27.74M,,,204.48M,55.96M,260.44M,,,100.18M,,100.18M,,,206.21M,566.82M,932.80M,932.80M,,42.93M,4.744M,,94.64M,1.368B,1.934B,14.47M,2.979B,127.70M,1.339B,,,,-412.53M,1.370B,,2013-06,AOR,Restated
2013-03,300.05M,,300.05M,527.56M,,527.56M,243.33M,9.532M,262.93M,515.79M,138.96M,,52.34M,,1.535B,,,,,,,1.524B,-879.36M,644.91M,665.58M,35.17M,700.75M,,155.42M,164.77M,,2013-03,159.37M,27.74M,,,187.10M,37.51M,224.61M,,,100.21M,,100.21M,,,215.44M,540.26M,915.78M,915.78M,,43.72M,4.246M,,92.84M,1.349B,1.890B,14.47M,2.904B,125.46M,1.339B,,,,-398.40M,1.307B,,2013-03,AOR,Restated
2012-12,324.42M,,324.42M,499.44M,,499.44M,256.73M,7.804M,276.13M,540.66M,142.40M,,65.76M,,1.573B,0.00,24.18M,376.66M,1.125B,,141.67M,1.667B,-1.012B,654.64M,665.58M,36.69M,702.27M,,157.07M,74.78M,,2012-12,199.27M,0.00,30.13M,,229.40M,105.83M,335.23M,,,150.07M,,150.07M,,,131.07M,629.88M,881.10M,881.10M,,44.67M,3.747M,,110.61M,1.364B,1.994B,14.47M,2.841B,127.50M,1.331B,-309.68M,-93.72M,-0.218M,-403.62M,1.249B,,2012-12,AOR,Restated
2012-09,97.18M,,97.18M,534.76M,,534.76M,263.96M,6.465M,277.25M,547.68M,153.38M,,55.97M,,1.389B,,,,,,,1.495B,-875.38M,619.92M,665.58M,38.21M,703.79M,,157.63M,189.61M,,2012-09,160.96M,27.61M,,,188.56M,,188.56M,,,226.72M,,226.72M,,,176.52M,652.91M,676.96M,676.96M,,45.58M,3.586M,,118.25M,1.156B,1.809B,14.47M,2.801B,126.99M,1.333B,,,,-361.70M,1.247B,,2012-09,AOR,Restated
2012-06,104.64M,,104.64M,516.60M,,516.60M,259.06M,8.878M,271.33M,539.27M,149.15M,,54.60M,,1.364B,,,,,,,1.446B,-842.47M,604.02M,665.58M,39.72M,705.31M,,161.03M,190.69M,,2012-06,169.67M,25.13M,,,194.80M,,194.80M,,,87.48M,,87.48M,,,182.12M,507.42M,777.40M,777.40M,,46.34M,3.231M,,153.18M,1.291B,1.799B,14.47M,2.812B,119.87M,1.335B,,,,-388.16M,1.223B,,2012-06,AOR,Restated
2012-03,76.53M,,76.53M,521.61M,,521.61M,271.86M,7.382M,275.78M,555.02M,137.31M,,54.90M,,1.345B,,,,,,,1.463B,-851.83M,611.44M,665.58M,41.24M,706.83M,,165.53M,184.23M,,2012-03,189.22M,25.12M,,,214.34M,,214.34M,,,92.59M,,92.59M,,,177.04M,520.85M,777.95M,777.95M,,47.10M,3.557M,,151.34M,1.291B,1.812B,14.47M,2.749B,129.59M,1.352B,,,,-342.94M,1.197B,,2012-03,AOR,Restated
2011-12,88.28M,,88.28M,472.35M,,472.35M,248.05M,6.992M,289.40M,544.44M,158.10M,,54.05M,,1.317B,0.00,26.47M,305.77M,960.13M,,139.73M,1.432B,-824.03M,608.06M,665.58M,42.76M,708.34M,,152.12M,56.14M,,2011-12,208.76M,25.09M,21.74M,,255.59M,64.86M,320.45M,,,116.69M,,116.69M,,,114.58M,564.57M,778.25M,778.25M,,47.86M,2.995M,,151.87M,1.294B,1.858B,14.47M,2.693B,128.63M,1.356B,-268.14M,-111.41M,4.237M,-375.31M,1.104B,,2011-12,AOR,Restated
2011-09,107.28M,,107.28M,518.97M,,518.97M,250.04M,9.015M,275.71M,534.76M,173.76M,,48.67M,,1.383B,,,,,,,1.384B,-819.87M,563.69M,665.58M,44.28M,709.86M,,119.43M,177.10M,,2011-09,180.93M,29.96M,,,210.90M,,210.90M,,,154.65M,,154.65M,,,162.19M,575.26M,757.07M,757.07M,,48.61M,3.089M,,150.33M,1.180B,1.755B,14.47M,2.694B,125.66M,1.357B,,,,-280.85M,1.195B,,2011-09,AOR,Restated
2011-06,123.43M,,123.43M,545.55M,,545.55M,284.33M,8.969M,274.87M,568.16M,147.99M,,54.10M,,1.439B,,,,,,,1.399B,-834.16M,564.69M,665.58M,45.80M,711.38M,,115.10M,178.20M,,2011-06,166.44M,21.82M,,,188.26M,,188.26M,,,216.34M,,216.34M,,,179.17M,628.65M,767.35M,767.35M,,49.40M,4.099M,,150.88M,1.191B,1.820B,14.47M,2.636B,123.57M,1.360B,,,,-230.18M,1.185B,,2011-06,AOR,Restated
2011-03,111.97M,,111.97M,526.40M,,520.08M,286.74M,9.455M,263.35M,559.55M,137.45M,,58.57M,,1.388B,,,,,,,1.373B,-821.77M,551.08M,665.58M,47.32M,712.90M,,120.79M,174.15M,,2011-03,185.20M,21.73M,,,206.94M,,206.94M,,,185.11M,,185.11M,,,201.41M,633.97M,786.98M,786.98M,,50.16M,4.284M,,149.68M,1.210B,1.844B,14.47M,2.582B,125.45M,1.377B,,,,-245.91M,1.099B,,2011-03,AOR,Restated
2010-12,131.33M,,131.33M,451.80M,,451.80M,270.19M,6.211M,255.27M,531.68M,136.22M,,74.16M,,1.325B,0.00,26.45M,286.78M,1.032B,,,1.345B,-806.76M,538.12M,665.58M,48.83M,714.42M,,122.80M,171.93M,,2010-12,200.15M,21.66M,,,221.81M,17.55M,239.36M,,133.90M,133.90M,,133.90M,,,192.56M,660.95M,787.67M,787.67M,,50.92M,3.733M,,147.78M,1.208B,1.869B,14.47M,2.520B,123.81M,1.383B,-196.34M,-74.83M,-4.183M,-275.35M,999.42M,,2010-12,AOR,Restated
2010-09,114.88M,,114.88M,511.97M,,511.97M,267.48M,8.951M,227.56M,503.99M,122.60M,,74.70M,,1.328B,,,,,,,1.324B,-818.23M,505.67M,665.58M,50.35M,715.93M,,140.44M,174.11M,,2010-09,169.65M,21.58M,42.60M,,233.82M,,233.82M,,,137.87M,,137.87M,,,187.73M,643.60M,810.72M,810.72M,,51.71M,3.718M,,164.66M,1.270B,1.913B,14.47M,2.486B,106.73M,1.394B,,,,-265.37M,947.15M,,2010-09,AOR,Restated
2010-06,110.55M,,110.55M,484.49M,,476.00M,237.27M,9.041M,208.29M,454.61M,115.97M,,66.49M,,1.224B,,,,,,,1.234B,-752.07M,482.04M,665.58M,51.87M,717.45M,,136.14M,167.63M,,2010-06,155.06M,19.96M,,,175.02M,88.77M,263.79M,,,48.74M,,48.74M,,,182.83M,495.36M,934.60M,934.60M,,52.58M,3.261M,,154.65M,1.383B,1.879B,14.47M,2.430B,100.50M,1.397B,,,,-303.61M,844.77M,,2010-06,AOR,Restated
2010-03,89.82M,,89.82M,478.41M,,468.82M,243.09M,10.43M,193.39M,446.91M,106.80M,,58.59M,,1.171B,,,,,,,1.255B,-764.76M,489.76M,665.58M,53.41M,718.99M,,131.78M,166.76M,,2010-03,154.45M,19.84M,,,174.29M,39.18M,213.48M,,,80.78M,,80.78M,0.595M,0.595M,180.49M,475.34M,934.08M,934.08M,,53.60M,3.565M,,157.08M,1.386B,1.861B,14.47M,2.383B,110.58M,1.415B,,,,-279.97M,813.31M,,2010-03,AOR,Restated
2009-12,80.14M,,80.14M,444.26M,,444.26M,229.00M,9.173M,206.80M,444.98M,103.69M,,55.00M,,1.128B,0.00,28.22M,271.97M,965.69M,,,1.266B,-764.59M,501.29M,665.58M,54.95M,720.53M,,129.72M,165.16M,,2009-12,161.03M,19.79M,,,180.81M,17.99M,198.81M,,76.78M,76.78M,,76.78M,,,159.85M,484.45M,934.75M,934.75M,,54.88M,2.907M,,157.83M,1.388B,1.873B,14.47M,2.339B,110.37M,1.424B,-199.63M,-68.61M,-2.741M,-270.97M,769.00M,,2009-12,AOR,Restated
2009-09,154.57M,,154.57M,490.55M,,477.22M,227.51M,10.86M,197.38M,435.74M,,,16.66M,107.59M,1.192B,,,,,,,1.249B,-757.04M,492.16M,665.58M,56.49M,722.07M,,155.85M,228.90M,,2009-09,140.60M,0.00,,,140.60M,54.94M,195.54M,,,1.582M,,1.582M,,,160.04M,357.17M,1.156B,1.156B,,56.13M,6.91M,,178.12M,1.671B,2.028B,14.47M,2.312B,107.80M,1.429B,,,,-248.45M,755.88M,,2009-09,AOR,Restated
2009-06,163.82M,0.344M,164.16M,484.55M,,471.77M,224.49M,9.691M,206.83M,441.01M,,,15.10M,95.17M,1.187B,,,,,,,1.216B,-727.39M,488.79M,665.58M,58.02M,723.60M,,153.04M,222.89M,,2009-06,117.89M,19.75M,,,137.64M,38.34M,175.98M,,,73.35M,,73.35M,,,159.08M,408.41M,1.141B,1.141B,,57.12M,6.628M,,170.44M,1.648B,2.056B,14.47M,2.278B,104.24M,1.430B,,,,-254.20M,712.59M,,2009-06,AOR,Restated
