,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks
2014-03,770.22M,770.22M,428.81M,341.41M,123.73M,61.50M,,-0.122M,11.68M,-11.68M,185.24M,156.18M,11.68M,-11.68M,-1.565M,-11.68M,142.93M,36.23M,106.71M,,106.71M,106.80M,177.44M,22.83M,154.61M,1.31,,1.311,1.31,,,1.301,1.30,,2014-03,0.39,,2014-03
2013-12,725.17M,725.17M,411.71M,313.46M,148.19M,70.41M,,-0.046M,11.13M,-11.13M,218.60M,94.86M,11.13M,-11.13M,-0.767M,-11.13M,82.96M,21.48M,61.48M,,61.48M,61.51M,116.23M,22.14M,94.09M,0.75,,0.7504,0.75,,,0.7504,0.75,,2013-12,0.39,,2013-12
2013-09,742.26M,742.26M,416.85M,325.40M,118.22M,65.65M,,0.00,11.62M,-11.62M,183.88M,141.53M,11.62M,-11.62M,4.08M,-11.62M,133.98M,34.94M,99.05M,,99.05M,99.05M,166.89M,21.28M,145.61M,1.21,,1.21,1.21,,,1.20,1.20,,2013-09,0.39,,2013-09
2013-06,757.64M,757.64M,423.65M,333.99M,124.81M,64.67M,,-2.105M,12.86M,-12.86M,189.48M,144.50M,12.86M,-12.86M,9.104M,-12.86M,140.74M,38.42M,102.32M,,102.32M,103.85M,174.01M,20.40M,153.60M,1.25,,1.269,1.25,,,1.259,1.24,,2013-06,0.34,,2013-06
2013-03,727.84M,727.84M,416.48M,311.36M,114.65M,59.10M,,0.00,11.15M,-11.15M,173.75M,137.61M,11.15M,-11.15M,1.069M,-11.15M,127.52M,36.83M,90.70M,,90.70M,90.70M,158.08M,19.40M,138.68M,1.11,,1.11,1.11,,,1.10,1.10,,2013-03,0.34,,2013-03
2012-12,680.56M,680.56M,393.49M,287.07M,125.59M,62.25M,,0.00,10.42M,-10.42M,187.84M,99.23M,10.42M,-10.42M,-0.117M,-10.42M,88.69M,20.57M,68.12M,,68.12M,68.12M,119.45M,20.34M,99.11M,0.83,,0.83,0.83,,,0.83,0.83,,2012-12,0.34,,2012-12
2012-09,708.96M,708.96M,407.43M,301.52M,109.69M,57.66M,,0.00,9.907M,-9.907M,167.35M,134.18M,9.907M,-9.907M,-2.424M,-9.907M,121.84M,105.48M,16.36M,,16.36M,16.36M,150.99M,19.24M,131.75M,0.20,,0.20,0.20,,,0.20,0.20,,2012-09,0.34,,2012-09
2012-06,721.32M,721.32M,419.77M,301.54M,112.84M,56.40M,,0.00,10.61M,-10.61M,169.24M,132.31M,10.61M,-10.61M,0.845M,-10.61M,122.54M,33.94M,88.60M,,88.60M,88.60M,151.21M,18.06M,133.15M,1.09,,1.09,1.09,,,1.08,1.08,,2012-06,0.31,,2012-06
2012-03,710.62M,710.62M,425.22M,285.40M,105.42M,57.41M,,-1.668M,10.81M,-10.81M,162.82M,122.58M,10.81M,-10.81M,-1.422M,-10.81M,110.34M,29.29M,81.06M,,81.06M,82.28M,140.19M,19.04M,121.15M,1.00,,1.015,1.00,,,1.005,0.99,,2012-03,0.31,,2012-03
2011-12,644.38M,644.38M,399.98M,244.40M,134.35M,52.46M,,3.153M,10.67M,-10.67M,186.81M,57.59M,10.67M,-10.67M,-6.391M,-10.67M,40.53M,16.14M,24.39M,,24.39M,22.50M,70.28M,19.08M,51.20M,0.30,,0.2765,0.30,,,0.2767,0.30,,2011-12,0.31,,2011-12
2011-09,713.78M,713.78M,435.40M,278.38M,96.78M,53.64M,,-5.201M,10.28M,-10.28M,150.42M,127.96M,10.28M,-10.28M,-5.201M,-10.28M,112.47M,30.23M,82.24M,,82.24M,86.04M,141.64M,18.89M,122.75M,1.01,0.00,1.057,1.01,,0.00,1.047,1.00,,2011-09,0.31,,2011-09
2011-06,715.59M,715.59M,431.17M,284.42M,106.22M,56.23M,,-5.04M,12.01M,-12.01M,162.45M,121.97M,12.01M,-12.01M,-5.04M,-12.01M,104.92M,28.73M,76.19M,,76.19M,79.85M,136.32M,19.39M,116.93M,0.94,0.00,0.9855,0.94,,0.00,0.9749,0.93,,2011-06,0.27,,2011-06
2011-03,714.27M,714.27M,416.81M,297.46M,106.62M,57.46M,,-6.084M,11.68M,-11.68M,164.08M,133.38M,11.68M,-11.68M,-6.084M,-11.68M,115.62M,31.58M,84.04M,,84.04M,88.47M,145.26M,17.96M,127.30M,1.04,0.00,1.095,1.04,,0.00,1.085,1.03,,2011-03,0.27,,2011-03
2010-12,629.87M,629.87M,377.52M,252.35M,110.90M,57.08M,,6.076M,11.68M,-11.68M,167.99M,84.36M,11.68M,-11.68M,-1.983M,-11.68M,70.70M,15.12M,55.58M,,55.58M,50.80M,101.48M,19.10M,82.37M,0.68,,0.6208,0.68,,,0.6216,0.68,,2010-12,0.27,,2010-12
2010-09,673.28M,673.28M,388.24M,285.05M,108.96M,53.21M,,-4.452M,12.24M,-12.24M,162.17M,122.88M,12.24M,-12.24M,-4.452M,-12.24M,106.18M,29.14M,77.04M,,77.04M,80.27M,138.34M,19.92M,118.43M,0.96,0.00,1.001,0.96,,0.00,0.9902,0.95,,2010-09,0.27,,2010-09
2010-06,665.80M,665.80M,380.80M,285.00M,119.52M,55.84M,,-3.95M,12.05M,-12.05M,175.37M,109.63M,12.05M,-12.05M,-3.95M,-12.05M,93.63M,26.48M,67.15M,,67.15M,69.98M,125.87M,20.19M,105.68M,0.84,0.00,0.8758,0.84,,0.00,0.8654,0.83,,2010-06,0.25,,2010-06
2010-03,653.91M,653.91M,383.70M,270.21M,108.01M,52.63M,,-7.75M,12.74M,-12.74M,160.64M,109.57M,12.74M,-12.74M,-7.75M,-12.74M,89.08M,25.29M,63.79M,,63.79M,69.34M,121.85M,20.03M,101.82M,0.80,0.00,0.8705,0.80,,0.00,0.8696,0.80,,2010-03,0.25,,2010-03
2009-12,585.63M,585.63M,350.22M,235.41M,100.77M,43.80M,,-5.235M,14.49M,-14.49M,144.57M,90.84M,14.49M,-14.49M,-5.235M,-14.49M,71.12M,23.67M,47.45M,,47.45M,50.94M,106.06M,20.45M,85.61M,0.60,0.00,0.6444,0.60,,0.00,0.6440,0.60,,2009-12,0.25,,2009-12
2009-09,612.63M,612.63M,363.78M,248.85M,101.20M,49.39M,,-10.48M,13.50M,-13.50M,150.59M,98.26M,13.50M,-13.50M,-10.48M,-13.50M,74.28M,21.48M,52.80M,,52.80M,60.25M,107.60M,19.81M,87.79M,0.67,0.00,0.7649,0.67,,0.00,0.7541,0.66,,2009-09,0.25,,2009-09
2009-06,568.26M,568.26M,340.35M,227.91M,96.03M,44.25M,,-5.673M,14.05M,-14.05M,140.28M,87.63M,14.05M,-14.05M,-5.673M,-14.05M,67.91M,19.83M,48.08M,,48.08M,52.10M,101.59M,19.63M,81.96M,0.61,0.00,0.6613,0.61,,0.00,0.6508,0.60,,2009-06,0.25,,2009-06
2009-03,559.63M,559.63M,337.56M,222.06M,91.35M,47.33M,1.538M,1.162M,19.78M,-19.78M,140.22M,81.85M,19.78M,-19.78M,1.162M,-19.78M,63.23M,16.03M,47.20M,,47.20M,46.33M,101.64M,18.63M,83.01M,0.60,0.00,0.5889,0.60,,0.00,0.5890,0.60,,2009-03,0.25,,2009-03
2008-12,539.10M,539.10M,324.17M,214.94M,113.45M,36.51M,,-8.256M,19.21M,-19.21M,145.34M,69.59M,19.21M,-19.21M,-8.256M,-19.21M,42.13M,-6.84M,48.97M,,48.97M,54.34M,77.31M,15.97M,61.34M,0.63,0.00,0.6987,0.63,,0.00,0.6882,0.62,,2008-12,0.25,,2008-12
2008-09,617.54M,617.54M,370.80M,246.74M,92.46M,52.13M,1.537M,-3.005M,18.04M,-18.04M,146.13M,100.61M,18.04M,-18.04M,-3.005M,-18.04M,79.57M,21.88M,57.68M,,57.68M,59.86M,115.09M,17.49M,97.60M,0.73,0.00,0.7579,0.73,,0.00,0.7576,0.73,,2008-09,0.25,,2008-09
2008-06,636.13M,636.13M,372.34M,263.78M,104.66M,56.17M,1.539M,4.372M,18.54M,-18.54M,162.37M,101.41M,18.54M,-18.54M,4.372M,-18.54M,87.24M,20.21M,67.03M,,67.03M,63.67M,128.82M,23.04M,105.79M,0.84,0.00,0.7978,0.84,,0.00,0.7882,0.83,,2008-06,0.23,,2008-06
2008-03,596.60M,596.60M,351.12M,245.48M,90.15M,52.06M,1.538M,-8.529M,18.22M,-18.22M,143.74M,101.74M,18.22M,-18.22M,-8.529M,-18.22M,74.99M,19.04M,55.95M,,55.95M,62.31M,112.70M,19.49M,93.21M,0.69,0.00,0.7692,0.69,,0.00,0.7685,0.69,,2008-03,0.23,,2008-03
2007-12,553.50M,553.50M,328.20M,225.30M,98.35M,53.90M,2.212M,15.33M,,,160.41M,64.89M,,,15.33M,,64.00M,16.77M,47.22M,,47.22M,35.91M,95.99M,19.96M,76.03M,0.60,0.00,0.4595,0.60,,0.00,0.4515,0.59,,2007-12,0.23,,2007-12
2007-09,583.31M,583.31M,339.18M,244.14M,94.46M,49.73M,3.555M,-7.182M,,,147.75M,96.39M,,,-7.182M,,80.61M,21.76M,58.84M,,58.84M,64.09M,116.92M,20.54M,96.39M,0.68,0.00,0.7402,0.68,,0.00,0.7295,0.67,,2007-09,0.23,,2007-09
2007-06,573.73M,573.73M,327.67M,246.06M,91.20M,48.76M,3.555M,2.819M,,,143.51M,102.54M,,,2.819M,,96.97M,18.60M,78.37M,,78.37M,76.09M,123.69M,21.15M,102.54M,0.88,0.00,0.8544,0.88,,0.00,0.8447,0.87,,2007-06,0.21,,2007-06
2007-03,566.10M,566.10M,329.38M,236.72M,91.27M,46.63M,3.556M,0.167M,,,141.46M,95.26M,,,0.167M,,87.11M,24.42M,62.69M,,62.69M,62.57M,116.40M,21.14M,95.26M,0.70,0.00,0.6987,0.70,,0.00,0.6887,0.69,,2007-03,0.21,,2007-03
2006-12,514.32M,514.32M,303.40M,210.92M,90.56M,48.03M,3.709M,1.201M,,,142.30M,68.62M,,,1.201M,,62.42M,14.43M,47.98M,,47.98M,47.06M,91.44M,22.82M,68.62M,0.53,0.00,0.5197,0.53,,0.00,0.5198,0.53,,2006-12,0.21,,2006-12
2006-09,539.14M,539.14M,310.15M,228.99M,88.09M,46.47M,3.713M,6.467M,,,138.28M,90.71M,,,6.467M,,90.70M,27.06M,63.65M,,63.65M,59.11M,113.02M,22.31M,90.71M,0.71,0.00,0.6596,0.71,,0.00,0.6501,0.70,,2006-09,0.185,,2006-09
2006-06,530.50M,530.50M,302.89M,227.62M,87.68M,45.59M,3.711M,0.59M,,,136.98M,90.63M,,,0.59M,,84.92M,23.74M,61.18M,,61.18M,60.76M,112.97M,22.34M,90.63M,0.67,0.00,0.6653,0.67,,0.00,0.6654,0.67,,2006-06,0.185,,2006-06
2006-03,511.43M,511.43M,294.82M,216.61M,85.59M,45.60M,3.71M,-1.10M,,,134.90M,81.71M,,,-1.10M,,75.24M,21.55M,53.69M,,53.69M,54.47M,103.98M,22.26M,81.71M,0.59,0.00,0.5986,0.59,,0.00,0.5885,0.58,,2006-03,0.185,,2006-03
2005-12,461.64M,461.64M,274.82M,186.83M,85.69M,46.03M,3.768M,-24.02M,,,135.49M,51.34M,,,-24.02M,,21.57M,6.331M,15.24M,,15.24M,32.21M,73.72M,22.38M,51.34M,0.17,0.00,0.3519,0.17,,0.00,0.3519,0.17,,2005-12,0.185,,2005-12
2005-09,493.12M,493.12M,286.71M,206.41M,86.02M,44.65M,3.768M,0.854M,,,134.44M,71.96M,,,0.854M,,66.25M,-2.319M,68.57M,,68.57M,68.06M,95.08M,23.12M,71.96M,0.73,0.00,0.7245,0.73,,0.00,0.7146,0.72,,2005-09,0.185,,2005-09
2005-06,515.58M,515.58M,299.06M,216.51M,82.87M,44.38M,3.767M,2.558M,,,131.01M,85.50M,,,2.558M,,82.00M,25.28M,56.71M,,56.71M,54.94M,109.04M,23.54M,85.50M,0.60,0.00,0.5812,0.60,,0.00,0.5814,0.60,,2005-06,0.185,,2005-06
2005-03,523.05M,523.05M,308.40M,214.66M,84.74M,44.75M,3.768M,0.556M,,,133.26M,81.39M,,,0.556M,,76.37M,23.83M,52.54M,,52.54M,52.16M,104.28M,22.89M,81.39M,0.56,0.00,0.5559,0.56,,0.00,0.5460,0.55,,2005-03,0.175,,2005-03
2004-12,468.23M,468.23M,268.68M,199.55M,84.70M,43.06M,3.713M,-6.385M,,,131.47M,68.08M,,,-6.385M,,56.30M,15.40M,40.91M,,40.91M,45.54M,90.68M,22.61M,68.08M,0.43,0.00,0.4790,0.43,,0.00,0.4680,0.42,,2004-12,0.175,,2004-12
2004-09,506.23M,506.23M,289.05M,217.18M,83.69M,43.12M,3.709M,-20.27M,,,130.53M,86.65M,,,-20.27M,,60.34M,18.03M,42.30M,,42.30M,56.52M,108.96M,22.31M,86.65M,0.45,0.00,0.6010,0.45,,0.00,0.5889,0.44,,2004-09,0.175,,2004-09
2004-06,524.18M,524.18M,295.72M,228.46M,83.18M,44.34M,3.709M,-9.021M,,,131.24M,97.23M,,,-9.021M,,82.09M,25.59M,56.50M,,56.50M,62.71M,120.32M,23.10M,97.23M,0.60,0.00,0.6660,0.60,,0.00,0.6551,0.59,,2004-06,0.175,,2004-06
2004-03,535.02M,535.02M,306.79M,228.23M,89.73M,44.65M,3.699M,-1.425M,,,138.07M,90.16M,,,-1.425M,,82.27M,25.92M,56.36M,,56.36M,57.33M,113.14M,22.98M,90.16M,0.60,0.00,0.6104,0.60,,0.00,0.6003,0.59,,2004-03,0.16,,2004-03
2003-12,471.80M,471.80M,268.58M,203.22M,84.31M,42.24M,3.158M,-12.39M,,,129.71M,73.50M,,,-12.39M,,55.24M,17.13M,38.11M,,38.11M,46.66M,95.80M,22.30M,73.50M,0.41,0.00,0.5009,0.41,,0.00,0.5009,0.41,,2003-12,0.16,,2003-12
2003-09,480.89M,480.89M,278.19M,202.70M,75.64M,39.18M,3.158M,-3.47M,,,117.98M,84.72M,,,-3.47M,,74.71M,23.64M,51.07M,,51.07M,53.44M,106.12M,21.41M,84.72M,0.55,0.00,0.5754,0.55,,0.00,0.5653,0.54,,2003-09,0.16,,2003-09
2003-06,482.61M,482.61M,275.24M,207.38M,72.89M,38.90M,3.158M,-9.086M,,,114.94M,92.43M,,,-9.086M,,75.39M,23.99M,51.40M,,51.40M,57.59M,114.05M,21.62M,92.43M,0.55,0.00,0.6161,0.55,,0.00,0.6053,0.54,,2003-06,0.16,,2003-06
2003-03,466.22M,466.22M,270.45M,195.78M,76.12M,38.96M,3.158M,-22.92M,,,118.24M,77.54M,,,-22.92M,,46.51M,14.50M,32.02M,,32.02M,47.79M,98.94M,21.40M,77.54M,0.34,0.00,0.5075,0.34,,0.00,0.5055,0.34,,2003-03,0.15,,2003-03
2002-12,424.29M,424.29M,242.28M,182.01M,75.71M,36.17M,3.158M,0.258M,,,115.04M,66.97M,,,0.258M,,58.86M,19.87M,39.00M,,39.00M,38.83M,88.04M,21.07M,66.97M,0.41,0.00,0.4082,0.41,,0.00,0.4082,0.41,,2002-12,0.15,,2002-12
2002-09,462.78M,462.78M,261.08M,201.70M,75.14M,37.66M,3.158M,-1.934M,,,115.96M,85.74M,,,-1.934M,,74.86M,25.26M,49.60M,,49.60M,50.88M,106.73M,20.99M,85.74M,0.52,0.00,0.5335,0.52,,0.00,0.5334,0.52,,2002-09,0.15,,2002-09
2002-06,476.34M,476.34M,272.61M,203.72M,78.92M,35.02M,3.158M,-8.435M,,,117.10M,86.62M,,,-8.435M,,68.89M,23.49M,45.40M,,45.40M,50.96M,108.55M,21.92M,86.62M,0.48,0.00,0.5388,0.48,,0.00,0.5279,0.47,,2002-06,0.15,,2002-06
2002-03,445.84M,445.84M,259.86M,185.98M,75.39M,35.17M,3.158M,1.965M,,,113.71M,72.27M,,,1.965M,,63.80M,21.86M,41.95M,,41.95M,40.66M,92.74M,20.47M,72.27M,0.44,0.00,0.4263,0.44,,0.00,0.4266,0.44,,2002-03,0.15,,2002-03
2001-12,419.17M,419.17M,241.16M,178.01M,73.94M,32.74M,11.84M,1.511M,,,118.53M,59.48M,,,1.511M,,47.05M,17.88M,29.17M,,29.17M,28.23M,89.79M,30.31M,59.48M,0.31,0.00,0.3002,0.31,,0.00,0.3002,0.31,,2001-12,0.15,,2001-12
2001-09,462.72M,462.72M,268.63M,194.09M,72.54M,31.60M,11.49M,-7.005M,,,115.63M,78.46M,,,-7.005M,,54.91M,21.35M,33.56M,,33.56M,37.84M,109.31M,30.85M,78.46M,0.35,0.00,0.3948,0.35,,0.00,0.3942,0.35,,2001-09,0.15,,2001-09
2001-06,478.22M,478.22M,269.51M,208.71M,81.00M,35.50M,11.40M,-9.786M,,,127.90M,80.81M,,,-9.786M,,53.39M,20.38M,33.00M,,33.00M,39.05M,113.72M,32.92M,80.81M,0.34,0.00,0.4032,0.34,,0.00,0.4025,0.34,,2001-06,0.15,,2001-06
2001-03,483.66M,483.66M,284.14M,199.52M,85.84M,35.41M,11.36M,-12.18M,,,132.61M,66.92M,,,-12.18M,,32.44M,12.16M,20.27M,,20.27M,27.88M,96.33M,29.41M,66.92M,0.21,0.00,0.2885,0.21,,0.00,0.2880,0.21,,2001-03,0.15,,2001-03
2000-12,384.53M,384.53M,219.19M,165.34M,61.08M,30.25M,,-31.09M,,,115.94M,49.40M,,,-31.09M,,2.643M,1.257M,1.386M,,1.386M,20.04M,74.01M,24.61M,49.40M,0.03,0.00,0.2226,0.03,,0.00,0.2226,0.03,,2000-12,0.15,,2000-12
