,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-12,68.12M,,,,-0.874M,-3.092M,20.34M,20.34M,-2.048M,4.353M,0.00,33.31M,8.322M,33.02M,,-13.37M,37.27M,98.55M,186.22M,,2012-12,,-41.96M,,,0.00,5.496M,-36.47M,,2012-12,,130.38M,,0.00,0.00,-55.48M,-55.48M,1.547M,1.46M,77.90M,,2012-12,227.65M,-0.411M,324.42M,,,130.38M,0.00,0.00,20.82M,-0.489M,,AOR,Restated
2012-09,16.36M,,,,0.00,-0.718M,19.24M,19.24M,72.32M,4.091M,-116.78M,-8.329M,1.892M,-9.866M,,3.982M,8.742M,-3.579M,2.212M,,2012-09,,-30.34M,,,0.00,5.334M,-25.01M,,2012-09,,34.41M,,0.00,0.00,-25.25M,-25.25M,2.264M,0.407M,11.83M,,2012-09,-10.97M,3.512M,97.18M,,,8.376M,26.03M,0.00,134.04M,21.74M,,AOR,Restated
2012-06,88.60M,,,,0.874M,0.155M,18.06M,18.06M,2.527M,8.282M,8.282M,-16.82M,-4.842M,4.175M,,3.925M,-21.33M,-34.88M,82.73M,,2012-06,,-25.08M,,,0.00,-0.343M,-25.42M,,2012-06,,-9.84M,,0.00,0.00,-25.12M,-25.12M,4.296M,5.201M,-25.46M,,2012-06,31.85M,-3.738M,104.64M,,,0.00,-9.84M,0.00,22.37M,-2.129M,,AOR,Restated
2012-03,81.06M,,,,,-0.806M,19.04M,19.04M,-16.31M,2.99M,2.99M,-41.22M,-0.801M,1.134M,,5.459M,2.098M,-33.33M,52.64M,,2012-03,,-28.76M,,,1.96M,-0.568M,-27.37M,,2012-03,,-16.19M,,0.00,0.00,-25.09M,-25.09M,1.104M,1.312M,-38.86M,,2012-03,-13.59M,1.841M,76.53M,,,,-16.19M,0.00,7.361M,22.20M,,AOR,Restated
2011-12,24.39M,,,,0.00,-0.819M,19.08M,19.08M,-0.315M,3.88M,3.88M,36.23M,-18.25M,73.68M,,,-50.75M,26.24M,72.46M,,2011-12,-0.469M,-53.18M,,,1.478M,,-52.94M,,2011-12,-83.29M,-14.34M,-14.32M,,-14.32M,,-25.08M,,0.71M,-38.37M,,2011-12,-18.84M,-0.165M,88.28M,,-14.32M,,-107.00M,,27.61M,-4.11M,,AOR,Restated
2011-09,82.24M,1.58M,,,0.00,-0.785M,18.89M,18.89M,-1.543M,3.578M,3.578M,1.244M,7.149M,12.52M,,,-8.707M,12.20M,114.58M,,2011-09,0.07M,-28.97M,,,-3.558M,,-32.53M,,2011-09,24.21M,-75.79M,1.164M,,1.164M,,-21.82M,,0.148M,-96.30M,,2011-09,-14.26M,-1.893M,107.28M,,1.164M,,-75.79M,,22.03M,26.30M,,AOR,Restated
2011-06,76.19M,-0.773M,,,3.583M,2.81M,19.39M,19.39M,9.30M,8.272M,8.272M,-17.61M,-2.165M,-44.44M,,,-14.66M,-78.88M,37.09M,,2011-06,0.255M,-26.07M,,,-0.178M,,-26.25M,,2011-06,7.511M,7.511M,9.676M,,9.676M,,-21.69M,,4.259M,-0.246M,,2011-06,10.60M,0.865M,123.43M,,9.676M,,7.511M,,17.80M,0.834M,,AOR,Restated
2011-03,84.04M,-0.807M,,,,-0.807M,17.96M,17.96M,17.92M,4.817M,4.817M,-55.56M,-11.93M,-93.10M,,,1.726M,-158.87M,-34.94M,,2011-03,0.144M,-19.23M,,,-0.217M,,-19.45M,,2011-03,51.57M,51.57M,3.479M,,3.479M,,-21.66M,,0.816M,34.21M,,2011-03,-20.18M,0.82M,111.97M,,3.479M,,51.57M,,20.34M,26.34M,,AOR,Restated
2010-12,263.56M,2.96M,,,0.00,-0.721M,19.10M,19.10M,27.42M,1.674M,-189.60M,48.78M,-33.10M,-21.73M,,,7.503M,3.757M,106.81M,,2010-12,-1.541M,-54.24M,,,3.643M,,-52.80M,,2010-12,76.09M,-27.10M,-17.10M,,-17.10M,,-21.58M,,,-38.16M,,2010-12,15.85M,0.597M,131.33M,,-17.10M,,-27.10M,,-45.88M,-53.09M,,AOR,Restated
2010-09,-130.94M,-1.115M,,,0.00,-1.115M,19.92M,19.92M,-25.98M,5.928M,197.20M,-7.16M,-22.77M,34.26M,,,0.57M,4.90M,80.68M,,2010-09,0.103M,-16.48M,,,-1.148M,,-17.63M,,2010-09,-42.45M,-42.45M,2.431M,,2.431M,,-19.97M,,,-59.99M,,2010-09,3.064M,1.269M,114.88M,,2.431M,,-42.45M,,15.17M,26.47M,,AOR,Restated
2010-06,67.15M,-1.222M,,,,-1.222M,20.19M,20.19M,-9.568M,5.319M,5.319M,-24.47M,-24.33M,72.29M,,,-10.11M,13.38M,95.25M,,2010-06,1.374M,-22.69M,,,1.08M,,-21.61M,,2010-06,-38.99M,-38.99M,7.302M,,7.302M,,-19.84M,,,-51.53M,,2010-06,22.11M,-1.374M,110.55M,,7.302M,,-38.99M,,30.72M,26.61M,,AOR,Restated
2010-03,63.79M,-0.623M,,,,-0.623M,20.03M,20.03M,-5.169M,5.461M,5.461M,-29.29M,-6.056M,-13.71M,,,-2.043M,-51.10M,32.39M,,2010-03,0.064M,-12.89M,,,-1.856M,,-14.74M,,2010-03,5.351M,5.351M,7.372M,,7.372M,,-19.79M,,,-7.063M,,2010-03,10.59M,-0.904M,89.82M,,7.372M,,5.351M,,,,,AOR,Restated
2009-12,195.53M,0.042M,,,,0.042M,20.45M,20.45M,-19.78M,4.587M,-128.43M,28.90M,-14.22M,41.03M,,,-16.90M,38.81M,91.56M,,2009-12,,-35.28M,,,-12.56M,12.41M,-35.43M,,2009-12,-37.29M,-137.28M,4.907M,0.00,4.907M,,-0.40M,,,-132.77M,,2009-12,-76.64M,2.20M,80.14M,,4.907M,,-99.98M,0.00,-40.04M,-69.24M,,AOR,Restated
2009-09,-95.28M,-0.879M,,,,-0.879M,19.81M,19.81M,-4.744M,4.929M,137.94M,5.401M,14.04M,43.11M,,,-21.93M,40.62M,112.54M,,2009-09,,-11.21M,,,12.20M,-13.25M,-12.26M,,2009-09,25.88M,-75.24M,0.596M,0.00,0.596M,,-39.10M,,,-113.75M,,2009-09,-13.47M,4.228M,154.57M,,0.596M,,-75.24M,0.00,16.04M,28.81M,,AOR,Restated
2009-06,48.08M,-0.678M,,,,-0.678M,19.63M,19.63M,1.18M,5.377M,5.377M,-25.46M,34.46M,30.11M,,,-10.81M,28.31M,101.90M,,2009-06,,-10.90M,,,-3.372M,0.16M,-14.11M,,2009-06,-18.61M,-18.61M,1.16M,0.00,1.16M,,0.00,,,-17.45M,,2009-06,70.34M,5.888M,163.82M,,1.16M,,-18.61M,0.00,16.24M,2.451M,,AOR,Restated
2009-03,47.20M,-0.809M,,,,-0.809M,18.63M,18.63M,5.985M,4.759M,4.759M,-36.22M,12.80M,-57.57M,,,-9.138M,-90.13M,-14.37M,,2009-03,,-7.644M,,,-12.11M,0.675M,-19.08M,,2009-03,-7.264M,-7.264M,0.347M,-1.967M,-1.62M,,-39.34M,,,-48.22M,,2009-03,-81.67M,-9.205M,87.59M,,0.347M,,-7.264M,-1.967M,7.763M,37.98M,,AOR,Restated
