,Open,High,Low,Close,Volume
1999-12-31,12.9444,13.0,12.8611,12.9167,116325.0
2000-03-31,10.6667,10.8056,10.2778,10.2778,1611225.0
2000-06-30,11.5556,11.5556,10.8611,10.9722,814725.0
2000-09-29,12.8056,12.9444,12.3611,12.3611,1034100.0
2000-12-29,17.2222,17.6389,17.0556,17.0833,519975.0
2001-03-30,16.9111,17.3733,16.8667,17.2578,1479825.0
2001-06-29,17.9111,17.9111,17.7333,17.8711,908100.0
2001-09-28,16.8444,17.4133,16.7111,17.3333,1305450.0
2001-12-31,17.2889,17.5778,17.2,17.48,880650.0
2002-03-28,17.8444,18.04,17.6889,17.9067,569700.0
2002-06-28,16.8711,17.0533,16.8578,16.9778,950850.0
2002-09-30,15.1111,15.3911,14.8667,15.2267,842400.0
2002-12-31,16.3333,16.4,16.1156,16.2356,424575.0
2003-03-31,15.8222,16.1111,15.7556,15.9111,596475.0
2003-06-30,16.4889,16.6356,16.3111,16.5556,1489950.0
2003-09-30,18.0889,18.2311,18.0,18.0622,745650.0
2003-12-31,20.28,20.3333,20.1556,20.24,334125.0
2004-03-31,23.7956,23.9289,23.6711,23.9067,538650.0
2004-06-30,23.7111,23.9956,23.68,23.9111,651825.0
2004-09-30,23.3067,23.7156,23.3067,23.6356,887850.0
2004-12-31,25.4444,25.5778,25.3422,25.3956,233100.0
2005-03-31,23.1111,23.2978,23.04,23.2,899775.0
2005-06-30,23.3778,23.4933,23.1867,23.2,765225.0
2005-09-30,23.5556,23.56,23.3822,23.48,1012275.0
2005-12-30,24.6311,24.7422,24.5556,24.7111,712575.0
2006-03-31,25.72,25.7244,25.3778,25.3778,985050.0
2006-06-30,26.8222,26.9867,26.7778,26.9867,959625.0
2006-09-29,28.1911,28.1911,27.9689,28.0489,801900.0
2006-12-29,28.4311,28.4578,28.2667,28.3378,318600.0
2007-03-30,29.0578,29.2889,28.96,29.1511,913050.0
2007-06-29,29.9378,30.1378,29.6222,29.7778,805050.0
2007-09-28,27.8044,27.8756,27.6,27.6978,786600.0
2007-12-31,26.7733,27.1689,26.6933,26.9022,921600.0
2008-03-31,26.5378,26.9556,26.3067,26.7156,1502096.0
2008-06-30,26.2044,26.5422,26.0444,26.0667,1951979.0
2008-09-30,27.2222,27.3422,26.2844,26.5778,2012657.0
2008-12-31,19.3467,19.9467,19.0533,19.8667,1695074.0
2009-03-31,11.36,11.8533,11.2711,11.6578,5770888.0
2009-06-30,16.5956,16.6044,16.0889,16.4622,1696442.0
2009-09-30,19.5067,19.7378,19.0667,19.3022,1411925.0
2009-12-31,19.7733,19.8289,19.5333,19.5333,825291.0
2010-03-31,23.3778,23.7956,23.3022,23.7822,2390717.0
2010-06-30,22.7289,22.8533,21.9733,22.0044,2705193.0
2010-09-30,23.9333,23.9911,23.5467,23.6178,1743995.0
2010-12-31,26.5556,26.7644,26.5422,26.5511,666173.0
2011-03-31,29.1956,29.5467,29.1156,29.5467,2653310.0
2011-06-30,28.4222,28.6933,28.3511,28.5067,1399203.0
2011-09-30,23.4067,23.72,23.2267,23.24,1535465.0
2011-12-30,29.1533,29.2,28.9267,28.9267,763085.0
2012-03-30,33.3067,33.36,33.02,33.2333,1502423.0
2012-06-29,33.8,33.8533,33.3733,33.7,1454772.0
2012-09-28,34.0,34.2733,33.84,34.2333,1098189.0
2012-12-31,33.9867,34.4467,33.7333,34.4467,787721.0
2013-03-28,39.4933,39.9067,39.4933,39.8667,1093319.0
2013-06-28,43.3533,43.6933,43.18,43.4267,812696.0
2013-09-30,48.12,48.5,47.9667,48.2333,476594.0
2013-12-31,52.1733,52.2533,51.8733,52.1,495306.0
2014-03-31,51.8,52.5,51.8,52.4667,729090.0
2014-06-30,54.5733,54.9067,54.5067,54.6133,496616.0
2014-09-30,52.72,52.73,52.34,52.37,662930.0
2014-12-31,55.21,55.21,54.14,54.17,457429.0
2015-03-31,54.76,55.02,54.44,54.92,717945.0
2015-06-30,58.49,58.5,57.85,58.22,932573.0
2015-09-30,57.15,57.33,56.19,56.4,1140356.0
2015-12-31,57.5,57.8,57.07,57.16,567000.0
2016-03-31,54.66,54.691,53.96,54.16,562521.0
2016-06-30,60.38,61.85,60.1,61.82,785529.0
2016-09-30,63.58,64.2,63.36,63.89,585430.0
2016-12-30,73.95,73.95,73.51,73.76,289565.0
2017-03-31,77.03,77.42,76.86,77.04,550466.0
2017-06-30,76.57,76.88,76.03,76.5,666612.0
2017-09-29,79.62,80.3,79.61,80.09,490254.0
2017-12-29,91.25,91.285,90.71,90.71,279574.0
2018-03-29,84.16,84.88,83.83,84.17,627987.0
2018-06-29,81.7,82.61,81.32,81.41,609001.0
2018-09-28,86.09,86.98,85.59,86.69,457316.0
2018-12-31,74.1,74.76,73.76,74.53,455575.0
2019-03-29,82.4,82.6573,81.73,81.95,603205.0
2019-06-28,89.03,89.67,89.03,89.46,913506.0
2019-09-30,96.36,96.72,95.62,95.76,513856.0
2019-12-31,105.19,105.66,104.91,105.25,548333.0
2020-03-31,73.19,74.78,71.29,71.97,869094.0
2020-06-30,72.18,74.76,72.18,74.23,631495.0
2020-09-30,79.37,80.65,79.11,79.9,511081.0
2020-12-31,93.08,95.12,92.695,94.96,250848.0
2021-03-31,97.67,98.47,96.6,96.63,466347.0
