,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-12,513.70M,513.70M,359.30M,154.40M,68.10M,26.30M,-10.70M,,,,94.40M,60.00M,,,-6.60M,,34.20M,-63.20M,97.40M,-2.90M,,-1.70M,94.50M,103.82M,94.30M,34.30M,60.00M,,0.6576,-0.0196,,,0.7009,0.6380,,0.6576,-0.0196,,,0.7009,0.6380,,148.12M,148.12M,0.00,,,
2004-09,497.50M,497.50M,359.70M,137.80M,60.40M,22.50M,-0.40M,,,,82.90M,54.90M,,,3.40M,,37.30M,7.20M,30.10M,-0.60M,,-1.10M,29.50M,30.42M,88.20M,33.30M,54.90M,,0.2075,-0.005,,,0.2097,0.2025,,0.1975,-0.005,,,0.1996,0.195,,145.68M,151.28M,0.00,,,
2004-06,534.30M,534.30M,377.60M,156.70M,61.40M,20.70M,-1.00M,,,,82.10M,74.60M,,,-1.30M,,52.40M,11.60M,40.80M,-10.10M,,-0.30M,30.70M,41.58M,108.10M,33.50M,74.60M,,0.2825,-0.07,,,0.2879,0.2125,,0.2725,-0.07,,,0.2777,0.205,,144.47M,149.76M,0.00,,,
2004-03,505.70M,505.70M,377.60M,128.10M,64.90M,23.90M,-1.30M,,,,88.80M,39.30M,,,-11.00M,,7.20M,-0.10M,7.30M,-1.80M,,-0.70M,5.50M,8.08M,72.50M,33.20M,39.30M,,0.05,-0.0125,,,0.0553,0.0375,,0.05,-0.0125,,,0.0553,0.0375,,146.67M,146.67M,0.00,,,
2003-12,506.90M,506.90M,360.20M,146.70M,62.60M,25.20M,-3.80M,,,,87.80M,58.90M,,,-14.90M,,22.10M,2.50M,19.60M,,,-1.40M,6.30M,22.97M,90.80M,31.90M,58.90M,,0.14,-0.095,,,0.1641,0.045,,0.1375,-0.095,,,0.1616,0.045,,140.07M,140.07M,0.00,,,
2003-09,470.50M,470.50M,344.40M,126.10M,57.20M,20.10M,8.90M,,,,77.30M,48.80M,,,-39.90M,,-14.50M,-11.10M,-3.40M,,,-0.40M,-3.40M,-8.74M,80.10M,31.30M,48.80M,,-0.025,0.00,,,-0.0643,-0.025,,-0.025,0.00,,,-0.0643,-0.025,,136.00M,136.00M,0.00,,,
2003-06,510.00M,510.00M,370.70M,139.30M,60.30M,22.00M,,,,,82.30M,57.00M,,,-5.20M,,28.00M,6.30M,21.70M,,,-0.40M,21.70M,21.70M,87.90M,30.90M,57.00M,,0.155,0.00,,,0.155,0.155,,0.1525,0.00,,,0.1525,0.1525,,140.00M,142.30M,0.00,,,
2003-03,434.00M,434.00M,325.20M,108.80M,56.80M,20.10M,,,,,76.90M,31.90M,,,-3.50M,,2.40M,0.50M,1.90M,,,-0.70M,1.90M,1.90M,62.40M,30.50M,31.90M,,0.0125,0.00,,,0.0125,0.0125,,0.0125,0.00,,,0.0125,0.0125,,152.00M,152.00M,0.00,,,
2002-12,459.70M,459.70M,329.70M,130.00M,52.90M,21.60M,-15.70M,,,,74.50M,55.50M,,,-15.60M,,15.10M,2.40M,12.70M,,,-1.30M,9.40M,25.90M,85.30M,29.80M,55.50M,,0.0875,-0.025,,,0.1809,0.0625,,0.0875,-0.025,,,0.1809,0.0625,,141.35M,141.35M,0.00,,,
2002-09,476.60M,476.60M,350.10M,126.50M,55.70M,19.40M,,,,,75.10M,51.40M,,,3.60M,,38.30M,10.10M,28.20M,,,-1.00M,28.20M,28.20M,85.00M,33.60M,51.40M,,0.20,0.00,,,0.20,0.20,,0.1975,0.00,,,0.1975,0.1975,,141.00M,142.78M,0.00,,,
2002-06,482.40M,482.40M,356.20M,126.20M,57.70M,20.40M,-7.40M,,,,78.10M,48.10M,,,-7.40M,,23.10M,3.90M,19.20M,,,-0.60M,19.20M,25.35M,77.30M,29.20M,48.10M,,0.0738,0.00,,,0.0973,0.0738,,0.0712,0.00,,,0.0942,0.0712,,260.74M,268.46M,0.00,,,
2002-03,434.20M,434.20M,322.80M,111.40M,57.90M,20.60M,-7.00M,,,,78.50M,32.90M,,,-7.00M,,10.00M,1.00M,9.00M,,,-0.50M,9.00M,15.30M,59.10M,26.20M,32.90M,,0.0362,0.00,,,0.0613,0.0362,,0.035,0.00,,,0.0593,0.035,,251.82M,259.29M,0.00,,,
2001-12,489.80M,489.80M,350.60M,139.20M,385.00M,25.90M,227.20M,,,,87.80M,51.40M,,,222.30M,,-64.30M,-28.60M,-35.70M,3.00M,0.00,-0.80M,-32.70M,-172.02M,87.70M,36.30M,51.40M,,-0.2851,0.0240,0.00,,-1.374,-0.2611,,-0.2851,0.0240,0.00,,-1.374,-0.2611,,125.22M,125.22M,0.00,,,
2001-09,482.80M,482.80M,367.40M,115.40M,55.80M,25.00M,-8.50M,,,,80.80M,34.60M,,,-3.80M,,15.50M,1.60M,13.90M,7.40M,,-0.90M,21.30M,21.52M,34.60M,-1.00M,34.60M,,0.055,0.03,,,0.0855,0.085,,0.0538,0.0288,,,0.0835,0.0825,,250.08M,255.92M,0.00,,,
2001-06,1.001B,1.001B,733.40M,267.90M,134.50M,41.30M,-507.60M,,,323.10M,498.90M,-231.00M,,,-507.60M,,-440.10M,-140.30M,-299.80M,,,-2.00M,-299.80M,45.98M,-180.70M,50.30M,-231.00M,,-2.405,0.00,,,0.3657,-2.405,,-2.405,0.00,,,0.3657,-2.405,,124.80M,124.80M,0.00,,,
2001-03,876.60M,876.60M,660.90M,215.70M,133.40M,36.60M,-11.50M,,,1.30M,171.30M,44.40M,,,-11.50M,,12.50M,33.40M,-20.90M,,-5.60M,-0.40M,-26.50M,-14.00M,90.40M,46.00M,44.40M,,-0.17,-0.045,0.00,,-0.1140,-0.215,,-0.17,-0.045,-0.0455,,-0.1140,-0.215,,123.20M,123.20M,0.00,,,
2000-12,-923.00M,-923.00M,-721.60M,-201.40M,-156.60M,-13.40M,21.40M,,,,-181.60M,-19.80M,,,21.40M,,0.40M,2.10M,-1.70M,51.70M,,-1.90M,50.00M,-14.54M,-19.80M,-11.90M,-19.80M,,-0.0139,0.4218,,,-0.1186,0.4079,,-0.0139,0.4218,,,-0.1186,0.4079,,122.58M,122.58M,0.00,,,
2000-09,958.60M,958.60M,696.60M,262.00M,125.10M,35.30M,,,,,160.40M,101.60M,,,,,74.90M,18.40M,56.50M,-66.70M,,-1.20M,-10.20M,56.50M,147.60M,46.00M,101.60M,,0.2325,-0.275,,,0.2325,-0.0425,,0.2238,-0.275,,,0.2238,-0.0425,,252.80M,252.80M,0.00,,,
2000-06,967.50M,967.50M,620.60M,346.90M,134.80M,39.20M,-56.60M,,,,224.00M,122.90M,,,-56.60M,,39.90M,1.90M,38.00M,,,-0.80M,38.00M,91.90M,172.90M,50.00M,122.90M,,0.3125,0.00,,,0.7558,0.3125,,0.30,0.00,,,0.7278,0.30,,121.60M,126.00M,0.00,,,
2000-03,1.004B,1.004B,716.00M,287.60M,138.10M,36.70M,,,,,220.50M,67.10M,,,,,43.40M,10.60M,32.80M,,,-0.70M,32.80M,32.80M,112.80M,45.70M,67.10M,,0.135,0.00,,,0.135,0.135,,0.1312,0.00,,,0.1312,0.1312,,243.20M,250.40M,0.00,,,
1999-12,-758.90M,-758.90M,-429.30M,-329.60M,-138.60M,-12.10M,32.70M,,,,-340.50M,10.90M,,,32.70M,,-8.10M,-3.60M,-4.50M,35.90M,,-1.30M,31.40M,-24.12M,10.90M,-5.80M,10.90M,,-0.0368,0.2934,,,-0.1940,0.2566,,-0.0368,0.2934,,,-0.1940,0.2566,,124.78M,124.78M,0.00,,,
1999-09,1.034B,1.034B,729.90M,304.40M,135.80M,36.80M,11.70M,,,,217.70M,86.70M,,,11.70M,,69.70M,5.60M,64.10M,,,-1.90M,64.10M,53.34M,131.80M,45.10M,86.70M,,0.255,0.00,,,0.1671,0.255,,0.2475,0.00,,,0.1596,0.2475,,122.36M,122.36M,0.00,,,
1999-06,1.070B,1.070B,715.80M,354.60M,149.40M,38.80M,4.00M,,,,233.90M,120.70M,,,4.00M,,92.70M,23.80M,68.90M,18.00M,,-1.10M,86.90M,65.93M,166.40M,45.70M,120.70M,,0.2712,0.07,,,0.2479,0.3412,,0.2625,0.0688,,,0.2391,0.3312,,127.16M,127.16M,0.00,,,
1999-03,974.70M,974.70M,675.10M,299.60M,149.70M,37.10M,2.30M,,,,230.30M,69.30M,,,2.30M,,40.80M,10.50M,30.30M,,,-0.60M,30.30M,28.59M,112.80M,43.50M,69.30M,,0.1175,0.00,,,0.1041,0.1175,,0.115,0.00,,,0.1016,0.115,,127.03M,127.03M,0.00,,,
1998-12,1.280B,1.280B,944.20M,335.70M,153.30M,44.80M,,,,,259.50M,76.20M,,,,,47.30M,11.80M,35.50M,,0.00,-1.90M,-7.20M,35.50M,137.60M,61.40M,76.20M,,-0.0550,,0.00,,-0.0550,-0.0550,,-0.0550,,0.00,,-0.0550,-0.0550,,130.81M,130.81M,0.00,,,
1998-09,1.111B,1.111B,772.90M,337.80M,143.30M,37.00M,,,,,232.00M,105.80M,,,,,74.80M,19.30M,55.50M,,,-2.50M,55.50M,55.50M,157.50M,51.70M,105.80M,,0.205,0.00,,,0.205,0.205,,0.20,0.00,,,0.20,0.20,,132.33M,132.33M,0.00,,,
1998-06,1.129B,1.129B,771.20M,358.20M,150.90M,37.80M,2.60M,,,,237.90M,120.30M,,,2.60M,,91.20M,23.60M,67.60M,,,-0.90M,67.60M,65.67M,169.50M,49.20M,120.30M,,0.2438,0.00,,,0.2298,0.2438,,0.2362,0.00,,,0.2223,0.2362,,138.11M,138.11M,0.00,,,
1998-03,1.022B,1.022B,704.10M,318.30M,165.30M,38.10M,2.10M,,,,256.60M,61.70M,,,2.10M,,36.20M,9.40M,26.80M,,-36.10M,-0.90M,-9.30M,25.25M,114.90M,53.20M,61.70M,,0.0962,-0.13,0.00,,0.0850,-0.0338,,0.0938,-0.13,-0.2603,,0.0825,-0.0338,,138.70M,138.70M,0.00,,,
1997-12,1.029B,1.029B,716.00M,313.00M,159.60M,47.20M,,,,,264.60M,48.40M,,,,,-239.50M,-78.10M,-161.40M,152.70M,,-0.80M,-13.20M,-161.40M,106.20M,57.80M,48.40M,,-1.188,1.093,,,-1.188,-0.0945,,-1.188,1.093,,,-1.188,-0.0945,,139.70M,139.70M,0.00,,,
1997-09,1.075B,1.075B,733.30M,341.40M,148.40M,43.80M,,,,,238.20M,103.20M,,,,,72.50M,17.40M,55.10M,7.80M,,-2.90M,62.90M,55.10M,149.20M,46.00M,103.20M,,0.185,0.0262,,,0.185,0.2112,,0.1788,0.025,,,0.1788,0.2038,,147.19M,147.19M,0.00,,,
1997-06,1.478B,1.478B,1.016B,462.10M,192.70M,45.70M,,,,,309.50M,152.60M,,,,,102.40M,29.60M,72.80M,,,-21.50M,72.80M,72.80M,223.70M,71.10M,152.60M,,0.2438,0.00,,,0.2438,0.2438,,0.2375,0.00,,,0.2375,0.2375,,148.85M,148.85M,0.00,,,
1997-03,1.298B,1.298B,914.50M,383.20M,170.60M,43.60M,,,,,277.70M,105.50M,,,,,56.30M,16.40M,39.90M,,,-19.10M,39.90M,39.90M,169.00M,63.50M,105.50M,,0.1338,0.00,,,0.1338,0.1338,,0.1312,0.00,,,0.1312,0.1312,,149.04M,149.04M,0.00,,,
1996-12,1.057B,1.057B,702.60M,354.80M,37.60M,,,,,,273.60M,81.20M,,,,,57.40M,26.30M,31.10M,13.50M,,-1.70M,44.60M,31.10M,140.70M,59.50M,81.20M,,0.2091,0.0908,,,0.2091,0.2999,,0.2091,0.0908,,,0.2091,0.2999,,148.72M,148.72M,0.00,,,
1996-09,1.034B,1.034B,682.00M,351.80M,190.50M,,,,,,252.90M,98.90M,,,,,69.60M,18.20M,51.40M,3.20M,,-3.70M,54.60M,51.40M,161.30M,41.40M,98.90M,,0.1688,0.0112,,,0.1688,0.18,,0.1688,0.0112,,,0.1688,0.18,,148.59M,148.59M,0.00,,,
1996-06,1.251B,1.251B,887.00M,363.70M,208.30M,,16.10M,,,,265.80M,97.90M,,,16.10M,,79.30M,21.90M,57.40M,-1.10M,,-12.00M,56.30M,45.75M,160.60M,62.70M,97.90M,,0.1888,-0.0038,,,0.1102,0.185,,0.1888,-0.0038,,,0.1102,0.185,,148.42M,148.42M,0.00,,,
1996-03,1.133B,1.133B,740.50M,392.60M,162.80M,43.90M,,,,,266.50M,126.10M,,,,,80.00M,23.20M,56.80M,-1.60M,,-23.50M,55.20M,56.80M,185.90M,59.80M,126.10M,,0.1862,-0.005,,,0.1862,0.1812,,0.1862,-0.005,,,0.1862,0.1812,,147.72M,147.72M,0.00,,,
1995-12,169.80M,169.80M,115.80M,54.00M,77.80M,36.80M,-1.00M,,,,125.90M,-71.90M,,,-1.00M,,-53.70M,-21.20M,-32.50M,,,36.30M,28.40M,-31.89M,-60.60M,11.30M,-71.90M,,0.1927,,,,0.1968,0.1927,,0.1927,,,,0.1968,0.1927,,147.37M,147.37M,0.00,,,
1995-09,1.176B,1.176B,792.50M,383.80M,163.40M,57.40M,-32.30M,,,,285.80M,98.00M,,,-32.30M,,23.00M,-34.00M,57.00M,,,-17.50M,57.00M,76.38M,163.00M,65.00M,98.00M,,0.1888,0.00,,,0.3208,0.1888,,0.1875,0.00,,,0.3195,0.1875,,146.79M,146.79M,0.00,,,
1995-06,1.140B,1.140B,751.30M,388.50M,151.10M,42.90M,2.90M,,,,252.80M,135.70M,,,2.90M,,108.40M,30.70M,77.70M,,,-7.40M,77.70M,75.62M,194.50M,58.80M,135.70M,,0.2575,0.00,,,0.2433,0.2575,,0.2575,0.00,,,0.2433,0.2575,,146.20M,146.20M,0.00,,,
1995-03,1.032B,1.032B,686.90M,345.20M,140.80M,38.30M,3.20M,,,,238.00M,107.20M,,,3.20M,,74.90M,22.50M,52.40M,,,-16.50M,52.40M,50.16M,166.10M,58.90M,107.20M,,0.175,0.00,,,0.1597,0.175,,0.1738,0.00,,,0.1584,0.1738,,146.20M,146.20M,0.00,,,
1994-12,1.039B,1.039B,724.60M,314.50M,149.70M,49.20M,12.70M,,,,262.10M,52.40M,,,12.70M,,37.70M,12.40M,25.30M,,,-10.90M,25.30M,16.78M,115.60M,63.20M,52.40M,,0.1731,,,,0.1148,0.1731,,0.1731,,,,0.1148,0.1731,,146.18M,146.18M,0.00,,,
1994-09,1.010B,1.010B,693.80M,315.80M,149.00M,40.60M,11.50M,,,,245.90M,69.90M,,,11.50M,,47.90M,13.20M,34.70M,,,-15.30M,34.70M,26.37M,126.20M,56.30M,69.90M,,0.1162,0.00,,,0.0591,0.1162,,0.1162,0.00,,,0.0591,0.1162,,145.85M,145.85M,0.00,,,
1994-06,1.054B,1.054B,693.20M,360.60M,146.50M,38.90M,16.30M,,,,241.00M,119.60M,,,16.30M,,99.00M,31.70M,67.30M,,,-20.30M,67.30M,56.22M,175.20M,55.60M,119.60M,,0.2275,0.00,,,0.1513,0.2275,,0.2262,0.00,,,0.1501,0.2262,,145.50M,145.50M,0.00,,,
1994-03,908.30M,908.30M,601.00M,307.30M,180.70M,,26.40M,,,,234.60M,72.70M,,,26.40M,,67.80M,21.70M,46.10M,,,-14.90M,46.10M,28.15M,126.60M,53.90M,72.70M,,0.155,0.00,,,0.0313,0.155,,0.155,0.00,,,0.0313,0.155,,145.12M,145.12M,0.00,,,
1993-12,946.40M,946.40M,676.20M,270.20M,362.10M,,17.70M,,,,423.50M,-153.30M,,,17.70M,,-154.50M,-52.20M,-102.30M,,,-1.00M,-102.30M,-114.02M,-91.90M,61.40M,-153.30M,,-0.7069,,,0.00,-0.7878,-0.7069,,-0.7069,,,0.00,-0.7878,-0.7069,,144.72M,144.72M,0.00,,,
1993-09,926.50M,926.50M,651.90M,274.60M,169.50M,,11.20M,,,,221.90M,52.70M,,,11.20M,,45.70M,10.40M,35.30M,,,-0.80M,35.30M,26.65M,105.10M,52.40M,52.70M,,0.1188,0.00,,,0.0587,0.1188,,0.1175,0.00,,,0.0574,0.1175,,143.96M,143.96M,0.00,,,
1993-06,979.30M,979.30M,673.60M,305.70M,167.10M,,19.70M,,,,220.70M,85.00M,,,19.70M,,84.90M,22.30M,62.60M,,,-0.10M,57.90M,48.07M,138.60M,53.60M,85.00M,,0.2112,-0.0162,,-0.0327,0.1103,0.195,,0.2025,-0.0162,,-0.0327,0.1016,0.1875,,143.90M,143.90M,0.00,,,
1993-03,901.70M,901.70M,606.90M,294.80M,162.20M,,7.50M,,,,221.40M,73.40M,,,7.50M,,61.70M,16.30M,45.40M,,,-0.60M,45.40M,39.88M,132.60M,59.20M,73.40M,,0.1538,0.00,,,0.1154,0.1538,,0.1488,0.00,,,0.1104,0.1488,,143.75M,143.75M,0.00,,,
1992-12,1.002B,1.002B,704.40M,298.10M,188.90M,,27.70M,,,,249.80M,48.30M,,,27.70M,,53.50M,23.20M,30.30M,,,0.30M,-226.60M,13.68M,109.20M,60.90M,48.30M,,-1.579,,,0.00,-1.695,-1.579,,-1.579,,,0.00,-1.695,-1.579,,143.49M,143.49M,0.00,,,
1992-09,976.30M,976.30M,688.00M,288.30M,161.60M,,9.90M,,,,219.70M,68.60M,,,9.90M,,54.00M,11.80M,42.20M,,,-0.90M,40.00M,34.46M,126.70M,58.10M,68.60M,,0.1438,-0.0075,,-0.0154,0.0895,0.1362,,0.1388,-0.0075,,-0.0154,0.0845,0.1312,,142.66M,142.66M,0.00,,,
1992-06,1.061B,1.061B,728.10M,333.00M,174.50M,,22.70M,,,,233.00M,100.00M,,,22.70M,,95.00M,29.60M,65.40M,,,-1.40M,65.40M,49.77M,158.50M,58.50M,100.00M,,0.2225,0.00,,,0.1129,0.2225,,0.2112,0.00,,,0.1016,0.2112,,142.53M,142.53M,0.00,,,
1992-03,933.90M,933.90M,634.30M,299.60M,153.90M,,11.00M,,,,209.50M,90.10M,,,11.00M,,77.00M,22.30M,54.70M,,,-1.50M,45.50M,46.89M,145.70M,55.60M,90.10M,,0.1862,-0.0312,,-0.0648,0.1312,0.155,,0.1788,-0.0312,,-0.0648,0.1237,0.15,,142.03M,142.03M,0.00,,,
1991-12,1.008B,1.008B,728.20M,279.70M,174.00M,,29.70M,,,,233.60M,46.10M,,,29.70M,,48.50M,18.30M,30.20M,,,-0.50M,30.20M,11.71M,105.70M,59.60M,46.10M,,0.2141,,,,0.0830,0.2141,,0.2141,,,,0.0830,0.2141,,141.08M,141.08M,0.00,,,
1991-09,967.40M,967.40M,681.50M,285.90M,151.10M,,12.30M,,,,207.00M,78.90M,,,12.30M,,60.50M,18.80M,41.70M,,,-0.80M,41.70M,33.22M,134.80M,55.90M,78.90M,,0.1425,0.00,,,0.0822,0.1425,,0.1375,0.00,,,0.0772,0.1375,,140.52M,140.52M,0.00,,,
1991-06,1.047B,1.047B,710.20M,336.50M,160.10M,,2.60M,,,,214.80M,121.70M,,,2.60M,,90.50M,28.00M,62.50M,,,-0.70M,62.50M,60.70M,176.40M,54.70M,121.70M,,0.215,0.00,,,0.2022,0.215,,0.2138,0.00,,,0.2010,0.2138,,140.28M,140.28M,0.00,,,
1991-03,877.40M,877.40M,598.90M,278.50M,145.80M,,14.40M,,,,200.50M,78.00M,,,14.40M,,56.40M,17.70M,38.70M,,,-1.00M,38.70M,28.82M,132.70M,54.70M,78.00M,,0.1338,0.00,,,0.0629,0.1338,,0.1338,0.00,,,0.0629,0.1338,,139.43M,139.43M,0.00,,,
1990-12,980.50M,980.50M,711.60M,268.90M,163.20M,,18.40M,,,,222.90M,46.00M,,,18.40M,,25.90M,-1.20M,27.10M,,,-1.30M,27.10M,16.06M,105.70M,59.70M,46.00M,,0.1949,,,,0.1155,0.1949,,0.1949,,,,0.1155,0.1949,,139.05M,139.05M,0.00,,,
1990-09,941.00M,941.00M,649.90M,291.10M,162.70M,,13.00M,,,,211.60M,79.50M,,,13.00M,,51.40M,15.90M,35.50M,,,-2.40M,35.50M,26.52M,128.40M,48.90M,79.50M,,0.1225,0.00,,,0.0583,0.1225,,0.1225,0.00,,,0.0583,0.1225,,139.84M,139.84M,0.00,,,
1990-06,987.30M,987.30M,665.90M,321.40M,164.70M,,15.60M,,,,217.50M,103.90M,,,15.60M,,79.90M,25.20M,54.70M,,,-2.00M,54.70M,44.02M,156.70M,52.80M,103.90M,,0.19,0.00,,,0.1134,0.19,,0.1888,0.00,,,0.1121,0.1888,,139.41M,139.41M,0.00,,,
1990-03,813.50M,813.50M,532.60M,280.90M,153.30M,,15.80M,,,,203.10M,77.80M,,,15.80M,,54.30M,16.30M,38.00M,,,-2.40M,38.00M,26.94M,127.60M,49.80M,77.80M,,0.1312,0.00,,,0.0514,0.1312,,0.1312,0.00,,,0.0514,0.1312,,138.40M,138.40M,0.00,,,
1989-12,822.70M,822.70M,446.60M,376.10M,268.00M,,30.10M,,,,332.50M,43.60M,,,30.10M,,33.20M,0.90M,32.30M,,,-1.60M,32.30M,3.016M,108.10M,64.50M,43.60M,,0.2341,,,,0.0219,0.2341,,0.2341,,,,0.0219,0.2341,,138.00M,138.00M,0.00,,,
1989-09,837.60M,837.60M,610.80M,226.80M,107.00M,,18.00M,,,,151.40M,75.40M,,,18.00M,,51.80M,17.00M,34.80M,,,-1.50M,34.80M,22.71M,119.80M,44.40M,75.40M,,0.12,0.00,,,0.0323,0.12,,0.12,0.00,,,0.0323,0.12,,137.91M,137.91M,0.00,,,
1989-06,917.10M,917.10M,,,,,,,,,,917.10M,,,,,,,55.60M,,,,55.60M,,917.10M,,917.10M,,0.1925,0.00,,,0.1925,0.1925,,0.1925,0.00,,,0.1925,0.1925,,137.02M,137.02M,0.00,,,
1989-03,837.10M,837.10M,,,,,,,,,,837.10M,,,,,,,30.00M,,,,30.00M,,837.10M,,837.10M,,0.105,0.00,,,0.105,0.105,,0.105,0.00,,,0.105,0.105,,135.62M,135.62M,0.00,,,
1988-12,882.10M,882.10M,,,,,,,,,,-2.124B,,,,,,,36.00M,,,,36.00M,,-2.124B,,-2.124B,,,,,,,,,,,,,,,,137.02M,137.02M,0.00,,,
1988-09,798.20M,798.20M,,,,,,,,,,798.20M,,,,,,,31.20M,,,,31.20M,,798.20M,,798.20M,,0.1088,0.00,,,0.1088,0.1088,,0.1088,0.00,,,0.1088,0.1088,,135.62M,135.62M,0.00,,,
1988-06,892.70M,892.70M,,,,,,,,,,892.70M,,,,,,,37.80M,,,,37.80M,,892.70M,,892.70M,,0.1312,0.00,,,0.1312,0.1312,,0.1312,0.00,,,0.1312,0.1312,,135.62M,135.62M,0.00,,,
1988-03,713.90M,713.90M,,,,,,,,,,713.90M,,,,,,,24.20M,,,,24.20M,,713.90M,,713.90M,,0.085,0.00,,,0.085,0.085,,0.085,0.00,,,0.085,0.085,,135.62M,135.62M,0.00,,,
1987-12,856.30M,856.30M,,,,,,,,,,-2.014B,,,,,,,5.50M,,,,5.50M,,-2.014B,,-2.014B,,,,,,,,,,,,,,,,180.70M,180.70M,0.00,,,
1987-09,730.00M,730.00M,,,,,,,,,,730.00M,,,,,,,26.80M,,,,26.80M,,730.00M,,730.00M,,0.1075,0.00,,,0.1075,0.1075,,0.1075,0.00,,,0.1075,0.1075,,180.70M,180.70M,0.00,,,
1987-06,828.50M,828.50M,,,,,,,,,,828.50M,,,,,,,133.60M,,,,133.60M,,828.50M,,828.50M,,0.3512,0.00,,,0.3512,0.3512,,0.35,0.00,,,0.35,0.35,,180.14M,180.14M,0.00,,,
1987-03,724.30M,724.30M,,,,,,,,,,724.30M,,,,,,,25.30M,,,,25.30M,,724.30M,,724.30M,,0.0675,0.00,,,0.0675,0.0675,,0.0675,0.00,,,0.0675,0.0675,,180.14M,180.14M,0.00,,,
1986-12,778.10M,778.10M,,,,,,,,,,-1.976B,,,,,,,50.80M,,,,50.80M,,-1.976B,,-1.976B,,,,,,,,,,,,,,,,180.14M,180.14M,0.00,,,
1986-09,664.90M,664.90M,,,,,,,,,,664.90M,,,,,,,26.80M,,,,26.80M,,664.90M,,664.90M,,0.0488,0.00,,,0.0488,0.0488,,0.0475,0.00,,,0.0475,0.0475,,180.14M,180.14M,0.00,,,
1986-06,807.40M,807.40M,,,,,,,,,,807.40M,,,,,,,49.20M,,,,49.20M,,807.40M,,807.40M,,0.0512,0.00,,,0.0512,0.0512,,0.0488,0.00,,,0.0488,0.0488,,180.14M,180.14M,0.00,,,
1986-03,752.30M,752.30M,,,,,,,,,,752.30M,,,,,,,25.70M,,,,25.70M,,752.30M,,752.30M,,0.0188,0.00,,,0.0188,0.0188,,0.0188,0.00,,,0.0188,0.0188,,180.14M,180.14M,0.1375,,,
