,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,326.40M,,326.40M,2.194B,,2.194B,258.10M,459.70M,370.60M,958.70M,513.80M,,,,3.993B,,,,,,,1.487B,-472.80M,1.014B,1.237B,2.737B,3.974B,1.50M,,287.20M,448.20M,5.725B,9.718B,,947.20M,,110.10M,,1.057B,1.109B,2.166B,,,,174.50M,174.50M,,174.50M,56.50M,56.50M,45.30M,2.448B,320.50M,2.893B,,2.893B,165.90M,,165.90M,,35.10M,,29.50M,829.80M,4.244B,6.692B,,18.60M,4.305B,465.30M,1.499B,,,-293.20M,2.996B,,AOR,Restated
2018-03,359.70M,,359.70M,2.400B,,2.400B,250.00M,456.10M,457.80M,1.035B,534.50M,,,,4.336B,,,,,,,1.491B,-460.30M,1.030B,1.243B,2.805B,4.048B,1.50M,,261.40M,472.20M,5.814B,10.15B,,914.10M,,155.10M,,1.069B,1.024B,2.093B,,,184.40M,144.50M,328.90M,,328.90M,191.60M,191.60M,67.10M,2.686B,337.00M,2.993B,,2.993B,179.10M,,179.10M,,54.40M,,28.10M,884.70M,4.448B,7.134B,,18.60M,4.197B,457.20M,1.501B,,,-185.50M,2.987B,,AOR,Restated
2017-12,283.00M,0.00,283.00M,2.044B,3.20M,2.174B,224.10M,542.40M,353.70M,992.50M,127.50M,,,61.70M,3.653B,0.00,166.90M,462.60M,753.10M,,78.50M,1.461B,-435.90M,1.025B,1.199B,2.658B,3.857B,1.40M,151.20M,350.00M,89.40M,5.554B,9.206B,,714.20M,22.30M,99.20M,,835.70M,595.50M,1.431B,78.50M,,0.00,192.60M,192.60M,,192.60M,446.30M,446.30M,55.10M,2.209B,417.40M,2.993B,22.50M,3.016B,173.20M,243.90M,455.90M,,59.30M,,25.30M,155.20M,4.290B,6.499B,,18.60M,3.952B,450.70M,1.500B,,,-240.30M,2.682B,,AOR,Restated
2017-09,93.80M,,93.80M,1.458B,,1.458B,222.50M,247.00M,272.50M,614.80M,280.70M,,,,3.574B,,,,,,,978.20M,-431.20M,547.00M,500.30M,776.60M,1.277B,1.40M,,238.80M,418.50M,2.483B,6.057B,,437.70M,,40.70M,,478.40M,719.80M,1.198B,,,8.40M,205.80M,214.20M,,214.20M,6.40M,6.40M,204.70M,1.631B,305.10M,1.493B,,1.493B,159.60M,,159.60M,,58.50M,,14.90M,274.90M,2.291B,3.922B,,18.60M,3.445B,445.50M,1.500B,,,-288.60M,2.120B,,AOR,Restated
2017-06,113.20M,,113.20M,1.442B,,1.442B,187.30M,235.70M,250.50M,546.30M,261.40M,,,,3.486B,,,,,,,952.90M,-414.60M,538.30M,501.00M,763.60M,1.265B,1.30M,,237.20M,457.10M,2.498B,5.984B,,433.50M,,24.60M,,458.10M,673.80M,1.132B,,,0.00,192.50M,192.50M,,192.50M,5.60M,5.60M,204.80M,1.542B,291.50M,1.592B,,1.592B,151.00M,,151.00M,,88.80M,,14.80M,292.10M,2.416B,3.958B,,18.60M,3.412B,436.70M,1.502B,,,-353.40M,2.012B,,AOR,Restated
2017-03,96.10M,,96.10M,1.631B,,1.631B,180.70M,249.40M,223.50M,526.40M,248.00M,,,,3.554B,,,,,,,934.70M,-399.60M,535.10M,500.80M,734.60M,1.235B,1.00M,,235.40M,475.20M,2.482B,6.036B,,390.90M,,19.10M,,410.00M,619.40M,1.029B,,,123.80M,93.50M,217.30M,,217.30M,30.10M,30.10M,204.90M,1.489B,293.90M,1.790B,,1.790B,137.00M,,137.00M,,122.40M,,14.10M,312.40M,2.656B,4.145B,,18.60M,3.359B,428.90M,1.504B,,,-425.50M,1.877B,,AOR,Restated
2016-12,64.20M,,64.20M,1.692B,5.10M,1.813B,166.70M,219.30M,220.10M,478.90M,96.80M,,,8.40M,2.849B,0.00,88.60M,231.50M,563.10M,,38.40M,921.60M,-383.50M,538.10M,498.70M,751.60M,1.250B,1.00M,165.20M,348.00M,912.40M,3.290B,6.139B,,317.40M,22.10M,11.00M,,350.50M,498.00M,848.50M,76.20M,,6.30M,87.90M,94.20M,,94.20M,239.80M,239.80M,172.40M,1.438B,366.70M,1.799B,28.00M,1.827B,130.40M,0.00,160.90M,,137.30M,,35.30M,148.70M,2.708B,4.146B,,18.60M,3.506B,418.60M,1.507B,,,-478.40M,1.958B,,AOR,Restated
2016-09,130.70M,,130.70M,1.603B,,1.603B,347.10M,255.10M,371.10M,817.40M,252.60M,,,,2.804B,,,,,,,1.821B,-790.10M,1.031B,798.60M,849.20M,1.648B,1.10M,,268.60M,457.20M,3.406B,6.210B,,371.60M,,25.30M,,396.90M,749.30M,1.146B,,,0.00,63.20M,63.20M,,63.20M,5.00M,5.00M,88.00M,1.309B,257.70M,1.913B,,1.913B,174.60M,,174.60M,,133.20M,,36.40M,301.50M,2.780B,4.089B,,18.60M,3.512B,431.80M,1.496B,,,-381.50M,2.084B,,AOR,Restated
2016-06,93.60M,,93.60M,1.628B,,1.628B,363.70M,276.80M,399.70M,881.90M,296.00M,,,,2.899B,,,,,,,1.796B,-770.10M,1.026B,795.00M,851.70M,1.647B,2.80M,,277.30M,430.40M,3.383B,6.282B,,440.40M,,31.20M,,471.60M,715.00M,1.187B,,,0.00,53.20M,53.20M,,53.20M,5.10M,5.10M,102.80M,1.354B,263.10M,1.989B,,1.989B,172.60M,,172.60M,,156.90M,,44.80M,304.70M,2.886B,4.240B,,18.60M,3.454B,427.80M,1.497B,,,-406.90M,1.997B,,AOR,Restated
2016-03,64.30M,,64.30M,1.769B,,1.769B,321.20M,269.30M,425.20M,854.90M,266.80M,,,,2.955B,,,,,,,1.814B,-786.40M,1.028B,800.70M,869.80M,1.670B,2.80M,,282.60M,451.50M,3.435B,6.390B,,516.40M,,28.60M,,545.00M,653.90M,1.199B,,,35.70M,78.50M,114.20M,,114.20M,51.00M,51.00M,80.80M,1.451B,277.10M,1.986B,,1.986B,181.90M,,181.90M,,187.50M,,43.10M,303.10M,2.936B,4.387B,,18.60M,3.411B,422.20M,1.498B,,,-394.10M,1.960B,,AOR,Restated
2015-12,78.60M,,78.60M,1.851B,18.70M,1.975B,335.60M,275.40M,350.00M,800.20M,111.60M,,,6.10M,2.972B,0.00,101.90M,320.40M,1.172B,,190.40M,1.785B,-768.20M,1.016B,776.10M,873.50M,1.650B,2.50M,143.10M,377.90M,95.50M,3.354B,6.326B,,403.60M,22.10M,19.90M,,445.60M,483.50M,929.10M,74.70M,,23.90M,88.70M,112.60M,,112.60M,249.90M,249.90M,80.60M,1.453B,340.80M,2.036B,34.30M,2.071B,173.20M,,202.30M,,194.20M,,42.60M,156.40M,2.964B,4.418B,,18.60M,3.385B,417.70M,1.498B,,,-457.30M,1.866B,,AOR,Restated
2015-09,173.70M,,173.70M,1.690B,,1.690B,379.90M,198.10M,495.50M,906.10M,251.30M,,158.10M,,3.238B,,,,,,,1.783B,-700.40M,1.083B,733.50M,847.70M,1.581B,3.70M,,208.10M,333.10M,3.209B,6.447B,,484.20M,,66.60M,,550.80M,706.60M,1.257B,,,30.00M,91.20M,121.20M,,121.20M,3.90M,3.90M,65.90M,1.455B,163.10M,2.048B,,2.048B,235.50M,,235.50M,,177.20M,,40.90M,213.10M,2.837B,4.292B,,18.60M,3.611B,415.40M,1.499B,,,-432.70M,2.114B,,AOR,Restated
2015-06,477.50M,,477.50M,1.866B,,1.866B,392.20M,323.40M,491.90M,1.041B,268.90M,,152.70M,,3.806B,,,,,,,1.828B,-715.20M,1.113B,728.90M,843.40M,1.572B,4.80M,,245.60M,334.00M,3.270B,7.075B,,578.40M,,367.40M,,945.80M,697.50M,1.643B,,,105.20M,163.10M,268.30M,,268.30M,5.40M,5.40M,57.00M,1.981B,179.10M,2.051B,,2.051B,234.70M,,234.70M,,200.80M,,38.50M,220.80M,2.886B,4.867B,,18.60M,3.636B,411.70M,1.496B,,,-399.90M,2.170B,,AOR,Restated
2015-03,105.20M,,105.20M,1.537B,,1.537B,274.50M,243.90M,287.80M,640.80M,287.30M,,147.10M,,3.330B,,,,,,,1.581B,-678.30M,902.60M,324.10M,233.50M,557.60M,4.70M,,235.70M,281.50M,1.982B,5.312B,,316.50M,,19.60M,,336.10M,594.20M,930.30M,,,865.10M,42.20M,907.30M,,907.30M,24.20M,24.20M,147.20M,2.016B,190.90M,1.151B,,1.151B,55.60M,,55.60M,,227.90M,,34.50M,201.40M,1.827B,3.842B,,18.60M,2.916B,407.60M,1.498B,,,-409.20M,1.435B,,AOR,Restated
2014-12,109.50M,,109.50M,1.602B,14.80M,1.692B,248.30M,242.60M,281.10M,607.60M,62.50M,,222.70M,8.00M,2.934B,0.00,61.40M,269.70M,1.065B,,222.80M,1.619B,-688.70M,930.00M,352.50M,279.00M,631.50M,5.50M,47.00M,231.00M,483.10M,2.392B,5.326B,,378.30M,20.10M,22.20M,,420.60M,417.30M,837.90M,84.70M,,486.60M,38.60M,525.20M,,525.20M,190.20M,190.20M,259.70M,1.910B,278.70M,1.139B,33.60M,1.172B,51.30M,,84.40M,,238.70M,,33.50M,72.60M,1.852B,3.762B,,18.60M,2.984B,401.90M,1.499B,,,-375.80M,1.530B,,AOR,Restated
2014-09,124.30M,,124.30M,1.573B,,1.573B,339.30M,265.90M,321.70M,754.50M,210.60M,,195.30M,,2.857B,,,,,,,2.740B,-1.456B,1.283B,369.00M,256.50M,625.50M,26.40M,,119.80M,338.80M,2.394B,5.251B,,440.00M,,23.00M,,463.00M,628.10M,1.091B,,,539.70M,40.70M,580.40M,,580.40M,4.00M,4.00M,53.30M,1.742B,216.60M,1.152B,,1.152B,73.70M,,73.70M,,48.40M,,61.10M,234.70M,1.725B,3.467B,,18.60M,2.928B,439.50M,1.499B,,,-163.90M,1.723B,,AOR,Restated
2014-06,114.40M,,114.40M,1.50B,,1.50B,341.10M,236.80M,330.90M,738.20M,183.00M,,216.40M,,2.752B,,,,,,,2.746B,-1.461B,1.285B,387.80M,265.60M,653.40M,26.70M,,101.30M,309.00M,2.375B,5.127B,,393.30M,,37.30M,,430.60M,648.90M,1.080B,,,493.60M,50.60M,544.20M,,544.20M,4.00M,4.00M,52.50M,1.693B,170.50M,1.154B,,1.154B,75.10M,,75.10M,,49.00M,,57.80M,217.70M,1.666B,3.359B,,18.60M,2.892B,435.70M,1.500B,,,-135.70M,1.711B,,AOR,Restated
2014-03,92.50M,,92.50M,1.568B,,1.568B,287.90M,229.10M,355.70M,702.80M,176.00M,,212.90M,,2.752B,,,,,,,2.711B,-1.442B,1.269B,390.70M,268.40M,659.10M,26.80M,,100.80M,282.80M,2.338B,5.091B,,380.20M,,21.40M,,401.60M,566.80M,968.40M,,,605.90M,52.60M,658.50M,,658.50M,30.40M,30.40M,56.70M,1.727B,167.90M,1.154B,,1.154B,85.20M,,85.20M,,54.00M,,54.40M,215.50M,1.677B,3.403B,,18.60M,2.803B,455.80M,1.502B,,,-142.20M,1.633B,,AOR,Restated
2013-12,123.20M,,123.20M,1.484B,13.50M,1.579B,297.80M,276.70M,283.00M,688.40M,119.90M,,214.00M,16.80M,2.945B,31.40M,154.30M,372.70M,1.839B,,265.50M,2.663B,-1.415B,1.248B,389.40M,304.80M,694.20M,26.80M,41.40M,134.70M,65.40M,2.290B,5.235B,,475.20M,18.00M,35.30M,,528.50M,427.20M,955.70M,53.50M,,656.00M,41.80M,697.80M,,697.80M,178.90M,178.90M,88.10M,1.987B,248.10M,1.154B,32.40M,1.186B,73.10M,,110.50M,,57.80M,,52.30M,73.50M,1.676B,3.663B,,18.60M,2.757B,448.30M,1.502B,,,-201.90M,1.520B,,AOR,Restated
2013-09,109.60M,,109.60M,1.180B,,1.180B,287.40M,,420.30M,707.70M,205.40M,,124.30M,,2.611B,,,,,,,2.649B,-1.486B,1.164B,396.00M,272.30M,668.30M,29.50M,,208.80M,250.00M,2.320B,4.931B,,388.90M,,35.40M,,424.30M,592.70M,1.017B,,,,,942.40M,,942.40M,18.10M,18.10M,67.70M,2.066B,164.30M,771.80M,,771.80M,45.40M,,45.40M,,315.80M,,49.50M,193.40M,1.491B,3.557B,,18.60M,2.748B,395.60M,1.453B,,,-385.40M,1.324B,,AOR,Restated
2013-06,77.40M,,77.40M,1.092B,,1.092B,259.40M,,401.80M,661.20M,223.40M,,128.60M,,2.183B,,,,,,,3.058B,-1.911B,1.147B,289.20M,207.40M,496.60M,43.40M,,204.00M,275.70M,2.167B,4.350B,,344.80M,,19.20M,,364.00M,555.80M,919.80M,,,,,308.20M,,308.20M,5.20M,5.20M,14.40M,1.269B,221.20M,762.40M,,762.40M,,,,,343.60M,,51.00M,155.00M,1.482B,2.751B,,18.60M,2.748B,441.10M,1.254B,,,-406.70M,1.548B,,AOR,Restated
2013-03,82.60M,,82.60M,1.223B,,1.223B,248.90M,,430.00M,678.90M,180.50M,,120.20M,,2.285B,,,,,,,3.028B,-1.901B,1.127B,286.70M,210.20M,496.90M,44.50M,,218.70M,275.30M,2.163B,4.448B,,361.90M,,32.80M,,394.70M,503.90M,898.60M,,,,,43.20M,,43.20M,7.30M,7.30M,17.30M,987.70M,232.90M,1.234B,,1.234B,,,,,359.40M,,47.10M,150.90M,1.977B,2.965B,,18.60M,2.649B,433.20M,1.258B,,,-406.50M,1.436B,,AOR,Restated
2012-12,77.10M,,77.10M,1.074B,,1.121B,304.30M,235.10M,268.10M,642.40M,110.90M,,123.40M,13.30M,2.182B,31.40M,135.80M,317.00M,1.741B,,192.30M,2.418B,-1.462B,956.20M,277.60M,238.50M,516.10M,26.10M,23.50M,275.30M,338.90M,2.192B,4.374B,,404.20M,18.70M,32.90M,,455.80M,331.50M,787.30M,41.70M,,0.00,55.60M,55.60M,,55.60M,140.20M,140.20M,89.40M,1.136B,274.30M,908.80M,31.80M,940.60M,0.00,,39.80M,,375.80M,,74.50M,49.80M,1.684B,2.819B,,18.60M,2.536B,481.90M,1.148B,,,-408.90M,1.480B,,AOR,Restated
2012-09,84.40M,,84.40M,1.009B,,1.009B,253.80M,,366.70M,620.50M,157.10M,,154.30M,,2.026B,,,,,,,2.943B,-1.872B,1.071B,270.00M,211.60M,481.60M,35.60M,,186.30M,265.60M,2.040B,4.066B,,384.50M,,68.60M,,453.10M,473.00M,926.10M,,,,,61.50M,,61.50M,,,27.40M,1.087B,,807.90M,,807.90M,,,,,300.70M,,63.50M,339.30M,1.490B,2.578B,,18.60M,2.453B,474.10M,1.152B,,,-369.20M,1.425B,,AOR,Restated
2012-06,75.50M,,75.50M,993.70M,,993.70M,220.50M,,339.10M,559.60M,171.60M,,152.30M,,1.953B,,,,,,,2.894B,-1.873B,1.021B,261.30M,213.50M,474.80M,33.00M,,203.80M,222.30M,1.955B,3.908B,,366.40M,,60.70M,29.10M,456.20M,433.30M,889.50M,,,,,46.50M,,46.50M,,,,996.40M,,810.00M,,810.00M,,,,203.90M,337.90M,,67.10M,129.80M,1.525B,2.521B,,18.60M,2.375B,470.00M,1.154B,,,-390.80M,1.319B,,AOR,Restated
2012-03,70.80M,,70.80M,1.051B,,1.051B,186.70M,,323.20M,509.90M,168.30M,,143.20M,,1.943B,,,,,,,2.911B,-1.900B,1.012B,230.80M,185.20M,416.00M,31.00M,,233.90M,215.60M,1.908B,3.852B,,376.10M,,41.30M,26.80M,444.20M,395.80M,840.00M,,,,,36.10M,,36.10M,,,,917.20M,,910.40M,,910.40M,,,,208.50M,349.70M,,62.10M,124.70M,1.635B,2.552B,,9.30M,2.283B,473.10M,1.157B,,,-370.70M,1.238B,,AOR,Restated
2011-12,158.90M,,158.90M,931.30M,,988.90M,171.70M,,298.60M,470.30M,106.40M,,135.50M,9.40M,1.869B,31.40M,143.10M,363.90M,2.150B,,161.30M,2.85B,-1.863B,986.80M,225.90M,209.10M,435.00M,28.30M,,315.60M,108.40M,1.874B,3.744B,,382.10M,10.50M,15.50M,,408.10M,325.60M,733.70M,35.80M,,,,46.50M,,46.50M,76.20M,76.20M,18.50M,919.90M,291.80M,779.10M,11.30M,790.40M,,,31.80M,,368.70M,,63.50M,36.80M,1.520B,2.439B,,18.60M,2.176B,454.50M,1.019B,,,-390.00M,1.241B,,AOR,Restated
2011-09,109.40M,,109.40M,854.30M,,854.30M,181.90M,,262.40M,444.30M,181.10M,,101.20M,,1.690B,,,,,,,2.822B,-1.867B,954.80M,204.20M,,204.20M,26.00M,,266.00M,248.30M,1.699B,3.390B,,345.60M,,33.70M,,379.30M,372.30M,751.60M,,,,,77.50M,,77.50M,,,13.80M,909.50M,,493.60M,,493.60M,,,,208.60M,252.70M,,60.30M,146.90M,1.102B,2.011B,,9.30M,2.109B,459.40M,966.00M,,,-293.50M,1.318B,,AOR,Restated
2011-06,186.60M,,186.60M,858.40M,,858.40M,160.90M,,260.40M,421.30M,185.80M,,101.00M,,1.753B,,,,,,,2.834B,-1.877B,957.40M,210.20M,,210.20M,25.40M,,274.80M,245.30M,1.713B,3.466B,,320.90M,,16.50M,12.90M,350.30M,390.80M,741.10M,,,,,137.40M,,137.40M,,,,925.30M,,485.50M,,485.50M,,,,214.80M,267.30M,,60.60M,152.00M,1.120B,2.045B,,9.30M,2.033B,455.10M,866.40M,,,-270.00M,1.361B,,AOR,Restated
2011-03,86.00M,,86.00M,973.90M,,973.90M,139.90M,,239.70M,379.60M,185.80M,,92.20M,,1.718B,,,,,,,2.826B,-1.887B,938.80M,206.40M,,206.40M,23.80M,,295.00M,234.70M,1.699B,3.416B,,351.20M,,11.40M,,362.60M,347.10M,709.70M,,,,,129.10M,,129.10M,,,20.80M,906.30M,,533.90M,,533.90M,,,,209.10M,287.90M,,55.70M,161.60M,1.192B,2.099B,,9.30M,1.936B,451.20M,857.40M,,,-277.70M,1.262B,,AOR,Restated
2010-12,161.50M,,161.50M,852.90M,,852.90M,122.20M,,225.60M,347.80M,175.30M,,108.70M,,1.646B,31.40M,142.70M,366.00M,2.154B,,83.60M,2.777B,-1.859B,918.50M,194.40M,,194.40M,22.40M,,314.70M,223.70M,1.674B,3.320B,,389.30M,,15.40M,,404.70M,399.70M,804.40M,,,,,134.90M,,134.90M,,,24.10M,963.40M,,503.00M,,503.00M,,,,209.90M,307.50M,,57.70M,146.90M,1.167B,2.131B,,9.30M,1.853B,443.60M,862.70M,,,-311.70M,1.132B,,AOR,Restated
