,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-06,3.324B,3.324B,1.755B,1.569B,,144.00M,144.00M,-59.00M,105.00M,-105.00M,196.00M,340.00M,1.229B,105.00M,-105.00M,-62.00M,-105.00M,1.062B,522.00M,540.00M,-5.00M,,14.00M,,549.00M,746.00M,1.167B,,2012-06,1.58,1.693,1.62,,2012-06,1.58,1.693,1.61,,340.40M,0.10,,2012-06,AOR,Restated
2012-03,2.896B,2.896B,1.605B,1.291B,,132.00M,132.00M,36.00M,104.00M,-104.00M,253.00M,385.00M,906.00M,104.00M,-104.00M,65.00M,-104.00M,867.00M,328.00M,539.00M,21.00M,,-15.00M,,545.00M,662.00M,971.00M,,2012-03,1.58,1.514,1.61,,2012-03,1.57,1.504,1.60,,340.30M,0.10,,2012-03,AOR,Restated
2011-12,-7.282B,-7.282B,-6.548B,-734.00M,18.00M,98.00M,116.00M,132.00M,93.00M,-93.00M,299.00M,-1.317B,583.00M,93.00M,-93.00M,-909.00M,-93.00M,-419.00M,-140.00M,-279.00M,,,3.00M,,-131.00M,641.00M,-326.00M,,2011-12,-0.83,-1.090,-0.40,,2011-12,-0.83,-1.088,-0.40,,340.20M,0.10,,2011-12,AOR,Restated
2011-09,8.665B,8.665B,6.79B,1.875B,266.00M,177.00M,443.00M,-297.00M,94.00M,-94.00M,242.00M,1.271B,604.00M,94.00M,-94.00M,-297.00M,-94.00M,213.00M,-54.00M,267.00M,,,31.00M,,298.00M,586.00M,307.00M,,2011-09,0.89,1.462,0.89,,2011-09,0.88,1.447,0.88,,340.20M,0.10,,2011-09,AOR,Restated
2011-06,9.853B,9.853B,7.44B,2.413B,247.00M,174.00M,421.00M,2.00M,97.00M,-97.00M,299.00M,1.308B,1.105B,97.00M,-97.00M,-47.00M,-97.00M,961.00M,392.00M,569.00M,,,38.00M,,607.00M,588.00M,1.058B,,2011-06,1.80,1.796,1.80,,2011-06,1.78,1.776,1.78,,340.40M,0.10,,2011-06,AOR,Restated
2011-03,10.22B,10.22B,7.571B,2.644B,283.00M,164.00M,447.00M,348.00M,99.00M,-99.00M,355.00M,1.36B,1.284B,99.00M,-99.00M,300.00M,-99.00M,1.485B,511.00M,974.00M,,,-45.00M,,929.00M,558.00M,1.584B,,2011-03,2.77,2.090,2.77,,2011-03,2.74,2.067,2.74,,339.20M,0.10,,2011-03,AOR,Restated
2010-12,9.007B,9.007B,9.07B,-63.00M,291.00M,197.00M,488.00M,-34.00M,100.00M,-100.00M,359.00M,-837.00M,774.00M,100.00M,-100.00M,-317.00M,-100.00M,357.00M,274.00M,83.00M,,,-25.00M,,58.00M,633.00M,457.00M,,2010-12,0.16,0.2275,0.16,,2010-12,0.16,0.2267,0.16,,331.30M,0.10,,2010-12,AOR,Restated
2010-09,7.864B,7.864B,5.805B,2.059B,232.00M,151.00M,383.00M,640.00M,94.00M,-94.00M,264.00M,1.231B,828.00M,94.00M,-94.00M,557.00M,-94.00M,1.291B,200.00M,1.091B,,,63.00M,,1.154B,584.00M,1.385B,,2010-09,3.54,1.877,3.54,,2010-09,3.52,1.869,3.52,,327.60M,0.10,,2010-09,AOR,Restated
2010-06,7.732B,7.732B,5.756B,1.976B,245.00M,159.00M,404.00M,24.00M,83.00M,-83.00M,252.00M,1.214B,762.00M,83.00M,-83.00M,18.00M,-83.00M,697.00M,301.00M,396.00M,,,-21.00M,,375.00M,558.00M,780.00M,,2010-06,1.15,1.102,1.15,,2010-06,1.15,1.102,1.15,,327.50M,0.10,,2010-06,AOR,Restated
2010-03,9.259B,9.259B,7.017B,2.242B,253.00M,155.00M,408.00M,46.00M,84.00M,-84.00M,203.00M,1.153B,1.089B,84.00M,-84.00M,-39.00M,-84.00M,966.00M,398.00M,568.00M,,,-30.00M,,538.00M,542.00M,1.05B,,2010-03,1.66,1.568,1.66,,2010-03,1.65,1.559,1.65,,327.00M,0.10,,2010-03,AOR,Restated
2009-12,8.678B,8.678B,6.497B,2.181B,266.00M,203.00M,469.00M,109.00M,91.00M,-91.00M,206.00M,1.259B,922.00M,91.00M,-91.00M,-120.00M,-91.00M,711.00M,341.00M,370.00M,,,-12.00M,,358.00M,584.00M,802.00M,,2009-12,1.10,0.8773,1.10,,2009-12,1.10,0.8817,1.10,,324.51M,0.10,,2009-12,AOR,Restated
2009-09,7.27B,7.27B,5.529B,1.741B,240.00M,148.00M,388.00M,114.00M,97.00M,-97.00M,210.00M,1.224B,517.00M,97.00M,-97.00M,114.00M,-97.00M,534.00M,182.00M,352.00M,,,-11.00M,,341.00M,572.00M,631.00M,,2009-09,1.05,0.8195,1.05,,2009-09,1.05,0.8195,1.05,,326.00M,0.10,,2009-09,AOR,Restated
2009-06,6.751B,6.751B,5.149B,1.602B,245.00M,136.00M,381.00M,4.00M,95.00M,-95.00M,355.00M,1.294B,308.00M,95.00M,-95.00M,4.00M,-95.00M,217.00M,115.00M,102.00M,,,-2.00M,,100.00M,558.00M,312.00M,,2009-06,0.31,0.3020,0.31,,2009-06,0.31,0.3020,0.31,,325.78M,0.10,,2009-06,AOR,Restated
2009-03,6.915B,6.915B,5.591B,1.324B,257.00M,160.00M,417.00M,-2.00M,77.00M,-77.00M,241.00M,1.144B,180.00M,77.00M,-77.00M,-43.00M,-77.00M,60.00M,77.00M,-17.00M,,,-42.00M,,-59.00M,486.00M,137.00M,,2009-03,-0.18,-0.1760,-0.18,,2009-03,-0.18,-0.1760,-0.18,,323.40M,0.10,,2009-03,AOR,Restated
2008-12,7.38B,7.38B,5.812B,1.568B,259.00M,194.00M,453.00M,-183.00M,67.00M,-67.00M,313.00M,1.334B,234.00M,67.00M,-67.00M,-162.00M,-67.00M,5.00M,85.00M,-80.00M,,,6.00M,,-74.00M,568.00M,72.00M,,2008-12,-0.25,0.1187,-0.25,,2008-12,-0.25,0.1148,-0.25,,326.10M,0.10,,2008-12,,Restated
2008-09,11.40B,11.40B,8.667B,2.729B,266.00M,170.00M,436.00M,-62.00M,68.00M,-68.00M,219.00M,1.152B,1.577B,68.00M,-68.00M,-10.00M,-68.00M,1.499B,725.00M,774.00M,,,1.00M,,775.00M,497.00M,1.567B,,2008-09,2.40,2.525,2.40,,2008-09,2.37,2.493,2.37,,327.40M,0.10,,2008-09,,Restated
2008-06,11.71B,11.71B,8.831B,2.88B,267.00M,156.00M,423.00M,37.00M,65.00M,-65.00M,205.00M,1.11B,1.77B,65.00M,-65.00M,18.00M,-65.00M,1.723B,812.00M,911.00M,,,-11.00M,,900.00M,482.00M,1.788B,,2008-06,2.81,2.735,2.81,,2008-06,2.76,2.686,2.76,,326.20M,0.10,,2008-06,,Restated
2008-03,10.65B,10.65B,8.129B,2.518B,233.00M,152.00M,385.00M,63.00M,67.00M,-67.00M,197.00M,1.034B,1.484B,67.00M,-67.00M,53.00M,-67.00M,1.47B,718.00M,752.00M,,,7.00M,,759.00M,452.00M,1.537B,,2008-03,2.39,2.261,2.39,,2008-03,2.34,2.214,2.34,,323.80M,0.10,,2008-03,,Restated
2007-12,9.456B,9.456B,7.20B,2.256B,,,612.00M,24.00M,,,,1.142B,1.114B,,,44.00M,,1.087B,577.00M,510.00M,,,,,510.00M,530.00M,1.114B,,2007-12,1.62,1.567,1.62,,2007-12,1.59,1.541,1.59,,321.40M,0.10,,2007-12,AOR,
2007-09,7.451B,7.451B,5.892B,1.559B,,,371.00M,34.00M,,,,736.00M,823.00M,,,53.00M,,817.00M,422.00M,395.00M,,,,,395.00M,365.00M,823.00M,,2007-09,1.26,1.191,1.26,,2007-09,1.23,1.161,1.23,,319.90M,0.10,,2007-09,,
2007-06,7.421B,7.421B,5.694B,1.727B,,,383.00M,44.00M,,,,737.00M,990.00M,,,125.00M,,1.053B,496.00M,557.00M,,,,,557.00M,354.00M,990.00M,,2007-06,1.78,1.690,1.78,,2007-06,1.75,1.660,1.75,,318.60M,0.10,,2007-06,,
2007-03,7.319B,7.319B,5.883B,1.436B,,,353.00M,-1.00M,,,-327.00M,353.00M,1.083B,,,55.00M,,747.00M,377.00M,370.00M,,,,,370.00M,327.00M,1.083B,,2007-03,1.19,1.192,1.19,,2007-03,1.17,1.172,1.17,,317.30M,0.10,,2007-03,,
2006-12,7.155B,7.155B,4.915B,2.24B,,,371.00M,22.00M,,,,1.398B,842.00M,,,51.00M,,849.00M,483.00M,359.00M,,,,8.00M,359.00M,353.00M,1.493B,,2006-12,1.21,1.168,1.21,,2006-12,1.13,1.088,1.13,,316.30M,0.10,,2006-12,AOR,Restated
2006-09,7.035B,7.035B,5.475B,1.56B,,,345.00M,25.00M,,,,668.00M,892.00M,,,92.00M,,936.00M,639.00M,296.00M,,,,12.00M,296.00M,323.00M,892.00M,,2006-09,1.03,0.9825,1.03,,2006-09,0.94,0.8925,0.94,,316.00M,0.10,,2006-09,,
2006-06,6.718B,6.919B,5.36B,1.559B,,,134.00M,99.00M,,,,417.00M,1.142B,,,201.00M,,1.098B,532.00M,566.00M,,,,12.00M,566.00M,282.00M,1.142B,,2006-06,2.01,1.822,2.01,,2006-06,1.79,1.602,1.79,,315.50M,0.3917,,2006-06,AOR,
2006-03,7.159B,7.159B,5.635B,1.524B,,,337.00M,304.00M,,,,603.00M,921.00M,,,307.00M,,1.171B,472.00M,699.00M,,,,12.00M,699.00M,266.00M,921.00M,,2006-03,2.50,1.921,2.50,,2006-03,2.22,1.641,2.22,,314.80M,0.10,,2006-03,AOR,
2005-12,7.059B,7.059B,5.652B,1.407B,238.00M,103.00M,341.00M,21.00M,55.00M,-55.00M,142.00M,741.00M,666.00M,55.00M,-55.00M,82.00M,-55.00M,693.00M,257.00M,436.00M,,,,12.00M,436.00M,258.00M,748.00M,,2005-12,1.55,1.502,1.55,,2005-12,1.393,1.351,1.393,,314.30M,0.10,,2005-12,AOR,Restated
2005-09,5.769B,5.769B,4.68B,1.089B,202.00M,83.00M,285.00M,36.00M,54.00M,-54.00M,122.00M,658.00M,431.00M,54.00M,-54.00M,187.00M,-54.00M,564.00M,292.00M,272.00M,0.00,,,12.00M,272.00M,252.00M,618.00M,,2005-09,0.95,0.8710,0.95,,2005-09,0.8667,0.7977,0.8667,,313.23M,0.10,,2005-09,AOR,
2005-06,4.963B,4.963B,3.863B,1.10B,205.00M,86.00M,291.00M,11.00M,54.00M,-54.00M,125.00M,677.00M,423.00M,54.00M,-54.00M,119.00M,-54.00M,488.00M,189.00M,299.00M,,,,12.00M,299.00M,261.00M,542.00M,,2005-06,1.06,1.035,1.06,,2005-06,0.96,0.9383,0.96,,311.17M,0.10,,2005-06,AOR,Restated
2005-03,4.957B,4.957B,3.853B,1.104B,197.00M,85.00M,282.00M,63.00M,61.00M,-61.00M,164.00M,700.00M,404.00M,61.00M,-61.00M,113.00M,-61.00M,456.00M,237.00M,219.00M,,,,12.00M,219.00M,254.00M,517.00M,,2005-03,0.7633,0.6239,0.7633,,2005-03,0.7067,0.5846,0.7067,,309.73M,0.10,,2005-03,,Restated
2004-12,4.613B,4.613B,3.56B,1.053B,200.00M,89.00M,289.00M,63.00M,62.00M,-62.00M,131.00M,695.00M,358.00M,62.00M,-62.00M,84.00M,-62.00M,380.00M,151.00M,229.00M,0.00,,,12.00M,229.00M,275.00M,442.00M,,2004-12,0.80,0.6596,0.80,,2004-12,0.7467,0.6238,0.7433,,308.90M,0.10,,2004-12,AOR,Restated
2004-09,3.83B,3.83B,2.944B,886.00M,186.00M,81.00M,267.00M,25.00M,62.00M,-62.00M,116.00M,613.00M,273.00M,62.00M,-62.00M,100.00M,-62.00M,311.00M,133.00M,178.00M,0.00,,,12.00M,178.00M,230.00M,373.00M,,2004-09,0.6167,0.5610,0.6167,,2004-09,0.58,0.5312,0.58,,307.20M,0.10,,2004-09,,Restated
2004-06,3.803B,3.803B,2.815B,988.00M,174.00M,96.00M,270.00M,36.00M,60.00M,-60.00M,110.00M,619.00M,369.00M,60.00M,-60.00M,133.00M,-60.00M,442.00M,161.00M,281.00M,7.00M,,,12.00M,288.00M,239.00M,502.00M,,2004-06,1.01,0.9244,1.037,,2004-06,0.9233,0.8481,0.9467,,304.23M,0.10,,2004-06,,Restated
2004-03,4.488B,4.562B,3.601B,961.00M,,,253.00M,23.00M,,,,479.00M,482.00M,,,74.00M,,425.00M,144.00M,281.00M,,,,12.00M,281.00M,226.00M,482.00M,,2004-03,1.01,0.9600,1.01,,2004-03,0.9233,0.8733,0.9233,,304.20M,0.10,,2004-03,,
2003-12,3.628B,3.439B,2.334B,1.105B,,,289.00M,-29.00M,,,,1.104B,1.00M,,,-20.00M,,101.00M,32.00M,69.00M,0.00,,,,69.00M,254.00M,170.00M,,2003-12,0.24,0.3158,0.2367,,2003-12,0.2333,0.3033,0.22,,283.17M,0.10,,2003-12,AOR,Restated
