,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,-65.00M,,38.00M,,,58.00M,,417.00M,-36.00M,10.00M,13.00M,23.00M,-11.00M,-7.00M,-136.00M,,-33.00M,-187.00M,,210.00M,,-400.00M,,-400.00M,,-24.00M,2.00M,-422.00M,,2018-03,0.00,-434.00M,,-371.00M,-371.00M,,,-89.00M,-89.00M,,-15.00M,-909.00M,2018-03,4.847B,-1.121B,,,2018-03,,,-434.00M,-371.00M,,AOR,Restated
2017-12,-2.635B,,54.00M,,,435.00M,,646.00M,54.00M,1.722B,21.00M,-2.322B,-252.00M,-16.00M,108.00M,,-8.00M,-168.00M,,343.00M,,-554.00M,,-554.00M,,0.00,2.513B,1.959B,,2017-12,-168.00M,280.00M,0.00,-110.00M,-110.00M,,,-90.00M,-90.00M,,-61.00M,19.00M,2017-12,2.526B,2.321B,,,2017-12,0.00,800.00M,-352.00M,-110.00M,,AOR,Restated
2017-09,-593.00M,,13.00M,,,-261.00M,,759.00M,-2.008B,2.51B,21.00M,2.531B,-207.00M,4.00M,-1.00M,,-136.00M,-340.00M,,88.00M,,-513.00M,,-513.00M,,0.00,603.00M,90.00M,,2017-09,11.00M,-19.00M,0.00,0.00,0.00,,,-91.00M,-91.00M,,-34.00M,-144.00M,2017-09,2.492B,34.00M,,,2017-09,0.00,0.00,-30.00M,0.00,,AOR,Restated
2017-06,-417.00M,,30.00M,,,28.00M,,741.00M,-20.00M,8.00M,22.00M,30.00M,4.00M,3.00M,-76.00M,,-128.00M,-197.00M,,165.00M,,-480.00M,,-480.00M,,,79.00M,-401.00M,,2017-06,-1.00M,-52.00M,366.00M,,366.00M,,,-90.00M,-90.00M,,-182.00M,42.00M,2017-06,2.686B,-194.00M,,,2017-06,366.00M,,-51.00M,,,AOR,Restated
2017-03,-296.00M,,,,,,,737.00M,-27.00M,7.00M,22.00M,29.00M,115.00M,-55.00M,-109.00M,,-45.00M,-94.00M,,349.00M,,-390.00M,,-390.00M,,0.00,100.00M,-290.00M,,2017-03,5.00M,-21.00M,,0.00,0.00,,,-92.00M,-92.00M,,8.00M,-105.00M,2017-03,2.732B,-46.00M,,,2017-03,,,-26.00M,0.00,,AOR,Restated
2016-12,-4.898B,,,,,72.00M,,768.00M,3.173B,179.00M,4.00M,830.00M,-182.00M,76.00M,216.00M,,88.00M,198.00M,,326.00M,,-487.00M,,-487.00M,,,63.00M,-424.00M,,2016-12,57.00M,-592.00M,0.00,,0.00,0.00,0.00,-90.00M,-90.00M,,-17.00M,-699.00M,2016-12,3.529B,-797.00M,,,2016-12,0.00,0.00,-649.00M,,,AOR,Restated
2016-09,-317.00M,,,,,80.00M,,811.00M,-312.00M,9.00M,22.00M,16.00M,199.00M,-24.00M,-78.00M,,-74.00M,23.00M,,332.00M,,-529.00M,,-529.00M,,,3.00M,-526.00M,,2016-09,6.00M,731.00M,0.00,,0.00,0.00,0.00,-91.00M,-91.00M,,-12.00M,628.00M,2016-09,3.095B,434.00M,,,2016-09,0.00,1.496B,-771.00M,,,AOR,Restated
2016-06,-373.00M,,,,,-27.00M,,797.00M,-310.00M,15.00M,22.00M,133.00M,-238.00M,38.00M,159.00M,,-19.00M,-60.00M,,197.00M,,-615.00M,,-615.00M,,,88.00M,-527.00M,,2016-06,-25.00M,-43.00M,0.00,,0.00,0.00,0.00,-89.00M,-89.00M,,0.00,-132.00M,2016-06,3.557B,-462.00M,,,2016-06,0.00,0.00,-18.00M,,,AOR,Restated
2016-03,-488.00M,,,,,,,868.00M,-351.00M,9.00M,25.00M,85.00M,317.00M,-13.00M,-375.00M,,-137.00M,-208.00M,,-60.00M,,-620.00M,,-620.00M,,,7.00M,-613.00M,,2016-03,5.00M,-12.00M,1.087B,,1.087B,557.00M,557.00M,-80.00M,-80.00M,,-38.00M,1.514B,2016-03,2.716B,841.00M,,,2016-03,1.644B,0.00,-17.00M,,,AOR,Restated
2015-12,-1.791B,,,15.00M,,62.00M,,983.00M,-500.00M,1.274B,26.00M,230.00M,304.00M,46.00M,33.00M,,-40.00M,343.00M,-4.00M,623.00M,,-935.00M,,-935.00M,,,25.00M,-909.00M,,2015-12,,94.00M,0.00,0.00,0.00,0.00,0.00,-72.00M,-72.00M,,-33.00M,-11.00M,2015-12,3.013B,-297.00M,,,2015-12,0.00,0.00,-16.00M,0.00,,AOR,Restated
2015-09,-239.00M,,,10.00M,,-40.00M,,988.00M,-285.00M,61.00M,20.00M,4.00M,268.00M,30.00M,-594.00M,,79.00M,-217.00M,-10.00M,282.00M,,-963.00M,,-963.00M,,,-6.00M,-956.00M,,2015-09,,583.00M,0.00,-64.00M,-64.00M,0.00,0.00,-71.00M,-71.00M,,2.308B,2.756B,2015-09,931.00M,2.082B,,,2015-09,0.00,600.00M,-17.00M,-64.00M,,AOR,Restated
2015-06,-553.00M,,,,,,,1.028B,-187.00M,409.00M,25.00M,7.00M,-98.00M,-20.00M,151.00M,,-112.00M,-79.00M,-10.00M,640.00M,,-1.112B,,-1.112B,,,-3.00M,-1.115B,,2015-06,,-17.00M,0.00,-11.00M,-11.00M,0.00,0.00,-72.00M,-72.00M,,0.00,-100.00M,2015-06,1.506B,-575.00M,,,2015-06,0.00,0.00,-17.00M,-11.00M,,AOR,Restated
2015-03,-376.00M,,,,,,,956.00M,-347.00M,54.00M,26.00M,169.00M,319.00M,-27.00M,-236.00M,,-91.00M,-35.00M,-11.00M,436.00M,,-1.311B,,-1.311B,,,-10.00M,-1.226B,,2015-03,,-17.00M,0.00,-67.00M,-67.00M,0.00,0.00,-72.00M,-72.00M,,8.00M,-148.00M,2015-03,2.444B,-938.00M,,,2015-03,0.00,0.00,-17.00M,-67.00M,,AOR,Restated
2014-12,-5.00M,,,0.00,,-3.00M,,875.00M,50.00M,24.00M,22.00M,4.00M,,,,,-372.00M,119.00M,-12.00M,1.074B,,-1.528B,,,,,-56.00M,-1.555B,,2014-12,,-37.00M,,-1.077B,-1.077B,,,-71.00M,-71.00M,-9.00M,4.00M,-1.195B,2014-12,4.12B,-1.676B,,,2014-12,,0.00,-37.00M,-1.077B,,AOR,Restated
2014-09,359.00M,,,0.00,,-31.00M,,838.00M,148.00M,22.00M,25.00M,11.00M,,,,,596.00M,-61.00M,11.00M,1.322B,,-1.346B,,,,,119.00M,1.585B,,2014-09,,-53.00M,,-903.00M,-903.00M,,,-76.00M,-76.00M,43.00M,-3.00M,-992.00M,2014-09,2.205B,1.915B,,,2014-09,,0.00,-53.00M,-903.00M,,AOR,Restated
2014-06,974.00M,,,-9.00M,,-788.00M,,785.00M,-40.00M,129.00M,18.00M,277.00M,,,,,-365.00M,-365.00M,-87.00M,903.00M,,-1.194B,,,,,1.543B,240.00M,,2014-06,,431.00M,,-692.00M,-692.00M,,,-77.00M,-77.00M,115.00M,-1.00M,-226.00M,2014-06,1.288B,917.00M,,,2014-06,,598.00M,-167.00M,-692.00M,,AOR,Restated
2014-03,364.00M,,,93.00M,,83.00M,,726.00M,112.00M,32.00M,22.00M,9.00M,,,,,-231.00M,-231.00M,41.00M,1.158B,,-1.146B,,,,,1.18B,-262.00M,,2014-03,,-333.00M,,-1.043B,-1.043B,,,-79.00M,-79.00M,33.00M,,-1.422B,2014-03,1.814B,-526.00M,,,2014-03,,,-333.00M,-1.043B,,AOR,Restated
2013-12,918.00M,,,,,-380.00M,,713.00M,-819.00M,367.00M,8.00M,257.00M,,,,,,-158.00M,872.00M,1.778B,,-1.548B,,,,,536.00M,1.162B,,2013-12,-435.00M,-416.00M,,-993.00M,-993.00M,,,-81.00M,-81.00M,44.00M,7.00M,-1.447B,2013-12,321.00M,1.493B,,,2013-12,,0.00,19.00M,-993.00M,,AOR,Restated
2013-09,356.00M,,,0.00,,5.00M,,681.00M,180.00M,39.00M,18.00M,19.00M,,,,,,-292.00M,248.00M,1.254B,,-1.407B,,,,,-57.00M,-1.487B,,2013-09,435.00M,372.00M,,-500.00M,-500.00M,,,-85.00M,-85.00M,42.00M,0.00,-171.00M,2013-09,725.00M,-404.00M,,,2013-09,,350.00M,-413.00M,-500.00M,,AOR,Restated
2013-06,1.619B,,,0.00,,-1.111B,,604.00M,90.00M,49.00M,22.00M,38.00M,,,,,,-84.00M,20.00M,1.247B,,-1.466B,,,,,2.434B,936.00M,,2013-06,-835.00M,-1.688B,,0.00,0.00,,,-34.00M,-34.00M,11.00M,-189.00M,-1.902B,2013-06,444.00M,281.00M,,,2013-06,,0.00,-853.00M,0.00,,AOR,Restated
2013-03,1.143B,,,0.00,,-688.00M,,689.00M,122.00M,79.00M,12.00M,30.00M,,,,,,-590.00M,22.00M,819.00M,,-1.516B,,,,,1.26B,-261.00M,,2013-03,-913.00M,-752.00M,,0.00,0.00,,,-35.00M,-35.00M,31.00M,,-756.00M,2013-03,642.00M,-198.00M,,,2013-03,,185.00M,-24.00M,0.00,,AOR,Restated
2012-12,219.00M,,,,,-172.00M,,730.00M,-499.00M,375.00M,23.00M,167.00M,,,,,,683.00M,44.00M,1.57B,,-1.754B,,,,,149.00M,-1.669B,,2012-12,65.00M,246.00M,,0.00,0.00,,,-35.00M,-35.00M,,-9.00M,213.00M,2012-12,528.00M,114.00M,,,2012-12,,182.00M,-1.00M,0.00,,AOR,Restated
2012-09,510.00M,,,,,-376.00M,,728.00M,-30.00M,256.00M,23.00M,84.00M,,,,,,623.00M,44.00M,1.862B,,-2.135B,,,,,540.00M,-1.617B,,2012-09,-114.00M,-93.00M,,0.00,0.00,,,-34.00M,-34.00M,,1.00M,-126.00M,2012-09,409.00M,119.00M,,,2012-09,,45.00M,-24.00M,0.00,,AOR,Restated
2012-06,540.00M,,,,,0.00,,746.00M,88.00M,117.00M,24.00M,38.00M,,,,,,-343.00M,30.00M,1.24B,,-1.937B,,,,,-16.00M,-1.993B,,2012-06,1.116B,803.00M,,,,,,-34.00M,-34.00M,,0.00,766.00M,2012-06,396.00M,13.00M,,,2012-06,,13.00M,-326.00M,,,AOR,Restated
2012-03,539.00M,,,,,-36.00M,,662.00M,-143.00M,57.00M,13.00M,88.00M,,,,,,-213.00M,21.00M,988.00M,,-1.856B,,,,,106.00M,-1.772B,,2012-03,581.00M,889.00M,,,,,,-68.00M,-68.00M,,8.00M,829.00M,2012-03,351.00M,45.00M,,,2012-03,,390.00M,-82.00M,,,AOR,Restated
2011-12,-279.00M,,,940.00M,,940.00M,,641.00M,,-133.00M,9.00M,-431.00M,,,,,,-77.00M,,1.138B,,-2.05B,,,,,24.00M,-2.091B,,2011-12,100.00M,458.00M,,,,,,,0.00,,-67.00M,477.00M,2011-12,827.00M,-476.00M,,,2011-12,,408.00M,-50.00M,,,AOR,Restated
2011-09,267.00M,343.00M,,36.00M,,-67.00M,,586.00M,,441.00M,29.00M,470.00M,,,,,,-11.00M,,1.022B,,-2.434B,,,,,114.00M,-2.32B,,2011-09,0.00,9.00M,,,,,,,-34.00M,,-44.00M,-69.00M,2011-09,2.194B,-1.367B,,,2011-09,,10.00M,-1.00M,,,AOR,Restated
2011-06,569.00M,-343.00M,,49.00M,,49.00M,,588.00M,,351.00M,28.00M,191.00M,,,,,,308.00M,,1.689B,,-1.375B,,,,,-46.00M,-1.421B,,2011-06,0.00,-14.00M,,,,,,,-34.00M,,6.00M,-42.00M,2011-06,1.968B,226.00M,,,2011-06,,0.00,-14.00M,,,AOR,Restated
2011-03,974.00M,,,48.00M,,-295.00M,,558.00M,,,20.00M,208.00M,,,,,,-325.00M,,1.135B,,-1.082B,,,,,348.00M,-734.00M,,2011-03,0.00,-31.00M,,,,,,,-68.00M,,58.00M,-41.00M,2011-03,1.608B,360.00M,,,2011-03,,4.00M,-35.00M,,,AOR,Restated
2010-12,83.00M,1.208B,,348.00M,,348.00M,,633.00M,-495.00M,-42.00M,28.00M,-687.00M,,,,,,444.00M,,1.478B,,-2.341B,,,,,75.00M,-2.266B,,2010-12,,5.00M,,,,,,,0.00,,-16.00M,43.00M,2010-12,2.353B,-745.00M,,,2010-12,,17.00M,-12.00M,,,AOR,Restated
2010-09,1.091B,-1.208B,,83.00M,,-1.255B,,584.00M,62.00M,840.00M,30.00M,870.00M,,,,,,136.00M,,1.246B,,-1.462B,,,,,11.00M,-1.451B,,2010-09,,1.25B,,,,,,,-33.00M,,-22.00M,1.195B,2010-09,1.363B,990.00M,,,2010-09,,1.261B,-11.00M,,,AOR,Restated
2010-06,396.00M,,,6.00M,,194.00M,,558.00M,-81.00M,-77.00M,30.00M,-47.00M,,,,,,-39.00M,,981.00M,,-901.00M,,,,,-19.00M,-920.00M,,2010-06,,-15.00M,,,,,,,-32.00M,,-21.00M,-68.00M,2010-06,1.37B,-7.00M,,,2010-06,,0.00,-15.00M,,,AOR,Restated
2010-03,568.00M,,,85.00M,,27.00M,,542.00M,19.00M,77.00M,24.00M,101.00M,,,,,,-432.00M,,825.00M,,-788.00M,,,,,166.00M,-622.00M,,2010-03,,-142.00M,,,,,,,-66.00M,,13.00M,-195.00M,2010-03,1.362B,8.00M,,,2010-03,,0.00,-142.00M,,,AOR,Restated
2009-12,370.00M,,,64.00M,,64.00M,,584.00M,,-175.00M,29.00M,-292.00M,,,,,,246.00M,,1.271B,,-925.00M,,,,,-32.00M,-957.00M,,2009-12,,88.00M,,,,,,,0.00,,-15.00M,91.00M,2009-12,957.00M,405.00M,,,2009-12,,744.00M,-656.00M,,,AOR,Restated
2009-09,352.00M,,,49.00M,,49.00M,,572.00M,,460.00M,31.00M,255.00M,,,,,,-606.00M,,534.00M,,-604.00M,,,,,-6.00M,-610.00M,,2009-09,,1.00M,,,,,,,-33.00M,,2.00M,-30.00M,2009-09,1.063B,-106.00M,,,2009-09,,0.00,1.00M,,,AOR,Restated
2009-06,102.00M,,,75.00M,,75.00M,,558.00M,,,28.00M,212.00M,,,,,,-112.00M,,616.00M,,-685.00M,,,,,18.00M,-667.00M,,2009-06,,-15.00M,,,,,,,-33.00M,,5.00M,-43.00M,2009-06,1.157B,-94.00M,,,2009-06,,1.00M,-16.00M,,,AOR,Restated
2009-03,-17.00M,,,41.00M,,41.00M,,486.00M,,,40.00M,92.00M,,,,,,40.00M,,625.00M,,-704.00M,,,,,14.00M,-690.00M,,2009-03,,373.00M,,,,,,,-65.00M,,6.00M,314.00M,2009-03,908.00M,249.00M,,,2009-03,,1.246B,-23.00M,,,AOR,Restated
2008-12,-80.00M,,,-71.00M,,-71.00M,,568.00M,-75.00M,,,39.00M,,,,,,-162.00M,,493.00M,,-1.156B,,,,,-56.00M,-1.212B,,2008-12,,16.00M,,,,,,,0.00,229.00M,2.00M,247.00M,2008-12,1.38B,-472.00M,,,2008-12,,0.00,-2.00M,,,,Restated
2008-09,774.00M,,,-52.00M,,-52.00M,,497.00M,130.00M,,,66.00M,,,,,,-135.00M,,1.28B,,-1.277B,,,,,11.00M,-1.266B,,2008-09,,-13.00M,,,,,,,-33.00M,8.00M,-75.00M,-113.00M,2008-09,1.479B,-99.00M,,,2008-09,,0.00,-28.00M,,,,Restated
2008-06,911.00M,,,44.00M,,44.00M,,482.00M,-103.00M,,,74.00M,,,,,,324.00M,,1.732B,,-1.156B,,,,,25.00M,-1.131B,,2008-06,,-15.00M,,,,,,,-33.00M,72.00M,-48.00M,-24.00M,2008-06,902.00M,577.00M,,,2008-06,,-521.00M,509.00M,,,,Restated
2008-03,752.00M,,,35.00M,,35.00M,,452.00M,-9.00M,,,31.00M,,,,,,-78.00M,,1.183B,,-849.00M,,,,,14.00M,-835.00M,,2008-03,,-20.00M,,,,,,,-64.00M,31.00M,,-53.00M,2008-03,607.00M,295.00M,,,2008-03,,521.00M,-541.00M,,,,Restated
2007-12,510.00M,,,,,120.00M,530.00M,530.00M,-99.00M,,,52.00M,,,,,-1.00M,-307.00M,,806.00M,,-805.00M,0.00,-805.00M,,,17.00M,-788.00M,,2007-12,,-5.00M,29.00M,,29.00M,,,,0.00,,,24.00M,2007-12,565.00M,42.00M,,,2007-12,29.00M,,,,,AOR,
2007-09,395.00M,,,,,52.00M,365.00M,365.00M,60.00M,,,32.00M,,,,,-41.00M,-41.00M,,863.00M,,-735.00M,0.00,-735.00M,,,-3.00M,-738.00M,,2007-09,,-6.00M,-4.00M,,-4.00M,,,,-32.00M,,,-42.00M,2007-09,482.00M,83.00M,,,2007-09,-4.00M,,,,,,
2007-06,557.00M,,,,,2.00M,354.00M,354.00M,10.00M,,,1.00M,,,,,275.00M,275.00M,,1.199B,,-932.00M,93.00M,-839.00M,,,17.00M,-822.00M,,2007-06,,-150.00M,38.00M,,38.00M,,,,-32.00M,,,-144.00M,2007-06,249.00M,233.00M,,,2007-06,38.00M,,,,,,
2007-03,370.00M,,,,,-6.00M,327.00M,327.00M,-4.00M,,,17.00M,,,,,-65.00M,-65.00M,,639.00M,,-1.106B,,-1.106B,,,-20.00M,-1.126B,,2007-03,,369.00M,47.00M,,47.00M,,,,-63.00M,,,353.00M,2007-03,383.00M,-134.00M,,,2007-03,47.00M,,,,,,
2006-12,359.00M,,,,,-121.00M,-871.00M,353.00M,-5.00M,,,162.00M,,,,,260.00M,-68.00M,,779.00M,,-961.00M,-444.00M,2.439B,,,474.00M,-931.00M,,2006-12,,-3.00M,-35.00M,,-35.00M,,,,-13.00M,,,-11.00M,2006-12,546.00M,-163.00M,,,2006-12,-35.00M,,,,,AOR,Restated
2006-09,301.00M,,,,,181.00M,323.00M,323.00M,95.00M,,,28.00M,,,,,-100.00M,-100.00M,,828.00M,,-788.00M,0.00,-788.00M,,,39.00M,-749.00M,,2006-09,,1.00M,20.00M,,20.00M,,,,-148.00M,,108.00M,-19.00M,2006-09,486.00M,60.00M,,,2006-09,20.00M,,,,,,
2006-06,561.00M,,,,,-174.00M,282.00M,282.00M,68.00M,,,26.00M,,,,,-77.00M,-77.00M,,686.00M,,-759.00M,86.00M,-673.00M,,,1.00M,-672.00M,,2006-06,,-1.00M,8.00M,,8.00M,,,,69.00M,,-108.00M,-32.00M,2006-06,504.00M,-18.00M,,,2006-06,8.00M,,,,,AOR,
2006-03,699.00M,,,,,-56.00M,266.00M,266.00M,123.00M,,,25.00M,,,,,141.00M,141.00M,,1.198B,,-1.336B,358.00M,-978.00M,,,41.00M,-937.00M,,2006-03,,-10.00M,7.00M,,7.00M,,,,-69.00M,,,-72.00M,2006-03,315.00M,189.00M,,,2006-03,7.00M,,,,,AOR,
2005-12,436.00M,,,-114.00M,,-144.00M,,258.00M,29.00M,21.00M,,43.00M,,,,,,-354.00M,,289.00M,,-725.00M,,,,,5.00M,-720.00M,,2005-12,,-2.00M,,,,,,,-12.00M,1.00M,,-13.00M,2005-12,759.00M,-444.00M,,,2005-12,,496.00M,-498.00M,,,AOR,Restated
2005-09,272.00M,,,46.00M,,46.00M,,252.00M,-11.00M,21.00M,,-6.00M,,,,,,-90.00M,,484.00M,,-657.00M,,,,0.00,46.00M,-611.00M,,2005-09,,1.00M,,,,,,,-40.00M,9.00M,,-30.00M,2005-09,916.00M,-157.00M,,,2005-09,,0.00,1.00M,,,AOR,
2005-06,299.00M,,,-108.00M,,-108.00M,,261.00M,-69.00M,18.00M,,34.00M,,,,,,171.00M,,606.00M,,-492.00M,,,,10.00M,2.00M,-480.00M,,2005-06,0.00,-40.00M,,,,,,,-40.00M,36.00M,,-44.00M,2005-06,834.00M,82.00M,,,2005-06,,104.00M,-144.00M,,,AOR,Restated
2005-03,219.00M,,,62.00M,,44.00M,,254.00M,-47.00M,18.00M,,99.00M,,,,,,-126.00M,,461.00M,,-467.00M,,,,-10.00M,33.00M,-444.00M,,2005-03,0.00,-9.00M,,,,,,,-67.00M,16.00M,,-60.00M,2005-03,877.00M,-43.00M,,,2005-03,,0.00,-9.00M,,,,Restated
2004-12,229.00M,,,,,-188.00M,,275.00M,-81.00M,18.00M,,151.00M,,,,,34.00M,-150.00M,,254.00M,,-429.00M,,,,119.00M,3.00M,-307.00M,,2004-12,,0.00,,,,,,,-12.00M,5.00M,,-7.00M,2004-12,937.00M,-60.00M,,,2004-12,,0.00,0.00,,,AOR,Restated
2004-09,179.00M,,,,,0.00,,230.00M,-16.00M,20.00M,,32.00M,,,,,,372.00M,,817.00M,,-356.00M,,,,-109.00M,44.00M,-421.00M,,2004-09,,-54.00M,,,,,,,-39.00M,33.00M,,-60.00M,2004-09,601.00M,336.00M,,,2004-09,,18.00M,-72.00M,,,,Restated
2004-06,288.00M,,,,,-3.00M,-226.00M,239.00M,-70.00M,39.00M,,-109.00M,,,,,49.00M,54.00M,,438.00M,,-372.00M,-48.00M,316.00M,,55.00M,73.00M,-292.00M,,2004-06,,-39.00M,-11.00M,,-11.00M,,,,-39.00M,52.00M,,-37.00M,2004-06,492.00M,109.00M,,,2004-06,-11.00M,7.00M,-59.00M,,,,Restated
