,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,1.359B,1.359B,1.107B,251.90M,62.20M,,-11.70M,,,,112.10M,139.80M,,,-10.80M,,97.20M,29.10M,68.80M,,,-0.20M,,68.80M,77.00M,189.70M,49.90M,139.80M,,0.155,0.00,,,0.1734,0.155,,0.1512,0.00,,,0.1693,0.1512,,445.31M,454.63M,0.0188,,,
2003-06,1.353B,1.353B,1.106B,247.20M,57.50M,,,,,,109.00M,138.20M,,,3.20M,,107.80M,33.50M,74.30M,,,-0.20M,,74.30M,74.30M,189.70M,51.50M,138.20M,,0.1662,0.00,,,0.1662,0.1662,,0.1625,0.00,,,0.1625,0.1625,,448.51M,458.45M,0.0112,,,
2003-03,1.071B,1.071B,889.50M,181.40M,53.20M,,-1.40M,,,1.40M,104.50M,76.90M,,,1.20M,,44.90M,15.70M,31.50M,,,-0.30M,,31.50M,32.41M,126.80M,49.90M,76.90M,,0.035,0.00,,,0.0360,0.035,,0.0344,0.00,,,0.0354,0.0344,,898.61M,918.80M,0.0112,,,
2002-12,910.20M,910.20M,755.00M,155.20M,46.10M,,,,,,88.70M,66.50M,,,1.20M,,46.00M,17.60M,31.90M,,,-0.10M,,28.70M,31.90M,106.70M,40.20M,66.50M,,0.0712,-0.0075,,,0.0712,0.0638,,0.07,-0.0075,,,0.07,0.0625,,450.40M,459.72M,0.0112,,,
2002-09,1.039B,1.039B,866.80M,171.80M,42.20M,,,,,,78.40M,93.40M,,,2.10M,,74.60M,26.10M,50.00M,,,-0.60M,,50.00M,50.00M,129.60M,36.20M,93.40M,,0.1112,0.00,,,0.1112,0.1112,,0.1088,0.00,,,0.1088,0.1088,,449.44M,459.77M,0.0112,,,
2002-06,1.034B,1.034B,862.90M,171.30M,39.30M,,-1.00M,,,,76.40M,94.90M,,,0.80M,,76.20M,26.30M,49.90M,,,-0.60M,,49.90M,50.55M,132.00M,37.10M,94.90M,,0.1112,0.00,,,0.1127,0.1112,,0.1088,0.00,,,0.1102,0.1088,,448.54M,458.85M,0.0112,,,
2002-03,875.90M,875.90M,745.70M,130.20M,37.30M,,,,,,73.00M,57.20M,,,1.80M,,41.40M,13.90M,27.50M,,,-0.20M,,27.50M,27.50M,92.90M,35.70M,57.20M,,0.0612,0.00,,,0.0612,0.0612,,0.06,0.00,,,0.06,0.06,,448.98M,458.33M,0.0112,,,
2001-12,843.00M,843.00M,715.50M,127.50M,35.30M,,-23.50M,,,,354.30M,-226.80M,,,-25.00M,,7.10M,1.60M,8.10M,,,0.10M,0.20M,8.10M,26.30M,-189.00M,37.80M,-226.80M,,0.0088,0.00,,,0.0503,0.0088,,0.0088,0.00,,,0.0503,0.0088,,438.01M,438.01M,0.0094,,,
2001-09,1.000B,1.000B,853.00M,147.50M,32.40M,,,,,,70.00M,77.50M,,,0.50M,,55.90M,19.60M,36.30M,,,-0.50M,0.60M,36.30M,36.30M,115.10M,37.60M,77.50M,,0.0406,0.00,,,0.0406,0.0406,,0.0381,0.00,,,0.0381,0.0381,,438.79M,438.79M,0.0094,,,
2001-06,992.60M,992.60M,851.30M,141.30M,26.60M,,-257.70M,,,,65.40M,75.90M,,,-257.20M,,-202.70M,-40.60M,-162.10M,,,1.20M,0.60M,-162.10M,43.98M,114.70M,38.80M,75.90M,,-0.0925,0.00,,,0.0246,-0.0925,,-0.0925,0.00,,,0.0165,-0.0925,,1.760B,1.890B,0.0094,,,
2001-03,850.00M,850.00M,722.40M,127.60M,34.30M,3.00M,0.50M,,,,75.60M,52.00M,,,0.50M,,28.20M,9.70M,18.50M,,,,0.60M,18.50M,18.17M,90.30M,38.30M,52.00M,,0.0102,0.00,,,0.0100,0.0102,,0.0095,0.00,,,0.0094,0.0095,,1.749B,1.879B,0.0094,,,
2000-12,827.70M,827.70M,692.00M,135.70M,37.10M,,-18.00M,,,,157.20M,-21.50M,,,-14.10M,,31.30M,11.10M,19.10M,,,-1.10M,0.70M,19.10M,30.72M,19.00M,40.50M,-21.50M,,0.0098,0.00,,,0.0163,0.0098,,0.0094,0.00,,,0.0154,0.0094,,1.798B,1.920B,0.0094,,,
2000-09,996.00M,996.30M,833.40M,162.90M,32.80M,3.50M,7.00M,,,,75.60M,87.30M,,,6.50M,,69.60M,24.30M,44.50M,,,-0.30M,0.60M,44.50M,39.94M,126.60M,39.30M,87.30M,,0.0238,0.00,,,0.0213,0.0238,,0.0223,0.00,,,0.0200,0.0223,,1.850B,1.977B,0.0094,,,
2000-06,995.00M,995.00M,918.80M,76.20M,32.50M,3.70M,,,,,75.10M,1.10M,,,-1.70M,,-22.70M,-6.40M,-15.40M,,,2.60M,0.70M,-15.40M,-15.40M,40.00M,38.90M,1.10M,,-0.0086,0.00,,,-0.0086,-0.0086,,-0.0086,0.00,,,-0.0086,-0.0086,,1.884B,2.011B,0.0094,,,
2000-03,817.60M,817.60M,680.90M,136.70M,33.50M,3.70M,-1.70M,,,,77.60M,59.10M,,,-1.70M,,33.80M,13.80M,20.00M,,,-0.20M,0.60M,20.00M,21.02M,99.50M,40.40M,59.10M,,0.0102,0.00,,,0.0107,0.0102,,0.0097,0.00,,,0.0102,0.0097,,1.901B,2.030B,0.0094,,,
1999-12,916.30M,916.30M,776.70M,139.60M,36.50M,,-14.00M,,,,67.40M,72.20M,,,-14.00M,,32.00M,12.50M,19.50M,,,-0.60M,0.70M,19.50M,28.03M,113.10M,40.90M,72.20M,,0.0394,,,,0.0573,0.0394,,0.0394,,,,0.0573,0.0394,,477.07M,477.07M,0.0094,,,
1999-09,991.60M,991.60M,824.50M,167.10M,36.70M,3.20M,0.60M,,,,80.70M,86.40M,,,0.60M,,59.70M,22.70M,37.00M,,,-0.80M,0.60M,37.00M,36.63M,127.20M,40.80M,86.40M,,0.0189,0.00,,,0.0187,0.0189,,0.0177,0.00,,,0.0175,0.0177,,1.932B,2.077B,0.0094,,,
1999-06,979.00M,979.00M,817.90M,161.10M,37.20M,3.20M,-0.70M,,,,80.10M,81.00M,,,-0.70M,,52.00M,20.00M,32.00M,,,-1.00M,0.70M,32.00M,32.43M,120.70M,39.70M,81.00M,,0.0161,0.00,,,0.0170,0.0161,,0.015,0.00,,,0.0159,0.015,,476.26M,476.26M,0.0094,,,
1999-03,820.30M,820.30M,691.90M,128.40M,30.50M,3.60M,0.30M,,,,75.60M,52.80M,,,0.30M,,25.40M,9.70M,15.70M,,,0.50M,0.70M,15.70M,15.51M,94.30M,41.50M,52.80M,,0.0078,0.00,,,0.0077,0.0078,,0.0073,0.00,,,0.0073,0.0073,,1.935B,2.081B,0.0094,,,
1998-12,941.20M,941.20M,825.70M,115.50M,16.00M,,-68.30M,,,,55.70M,59.80M,,,-68.30M,,-35.80M,-18.60M,-17.20M,,,2.80M,0.70M,-20.50M,23.78M,99.50M,39.70M,59.80M,,-0.0435,,,0.00,0.0406,-0.0435,,-0.0435,,,0.00,0.0406,-0.0435,,487.28M,487.28M,0.0094,,,
1998-09,859.20M,859.20M,717.90M,141.30M,39.60M,,-4.00M,,,,79.00M,62.30M,,,-4.00M,,37.00M,12.10M,24.90M,,,1.10M,0.70M,12.80M,27.59M,101.70M,39.40M,62.30M,,0.0125,-0.0062,,-0.0246,0.0180,0.0062,,0.0117,-0.0062,,-0.0246,0.0172,0.0059,,492.83M,492.83M,0.0094,,,
1998-06,645.90M,645.90M,532.60M,113.30M,30.40M,,-3.20M,,,,66.60M,46.70M,,,-3.20M,,31.40M,12.20M,19.20M,,,1.40M,0.70M,19.20M,21.16M,83.20M,36.50M,46.70M,,0.0095,0.00,,,0.0135,0.0095,,0.0091,0.00,,,0.0131,0.0091,,487.94M,487.94M,0.0094,,,
1998-03,549.70M,549.70M,466.20M,83.50M,25.40M,3.30M,-6.60M,,,,58.10M,25.40M,,,-6.60M,,8.70M,3.20M,5.50M,,-3.30M,2.60M,0.70M,2.20M,9.672M,54.80M,29.40M,25.40M,,0.0025,-0.0017,0.00,,0.0111,0.0008,,0.0023,-0.0017,-0.0068,,0.0110,0.0008,,484.75M,484.75M,0.0094,,,
1997-12,574.80M,574.80M,480.10M,94.70M,41.30M,,1.70M,,,,72.80M,21.90M,,,1.70M,,11.00M,3.20M,7.80M,,,1.30M,0.70M,7.80M,6.595M,53.40M,31.50M,21.90M,,0.0147,,,,0.0122,0.0147,,0.0147,,,,0.0122,0.0147,,483.52M,483.52M,0.0094,,,
1997-09,690.20M,690.20M,573.60M,116.60M,32.10M,,-1.70M,,,,63.70M,52.90M,,,-1.70M,,36.80M,14.10M,22.70M,,,-0.10M,0.70M,22.70M,23.75M,84.50M,31.60M,52.90M,,0.0114,0.00,,,0.0136,0.0114,,0.0106,0.00,,,0.0128,0.0106,,483.10M,483.10M,0.0094,,,
1997-06,643.70M,643.70M,542.40M,101.30M,33.10M,,8.00M,,,,63.50M,37.80M,,,8.00M,,32.70M,11.90M,20.80M,,,2.30M,0.70M,20.80M,15.71M,68.20M,30.40M,37.80M,,0.0105,0.00,,,-0.0001,0.0105,,0.0098,0.00,,,-0.0007,0.0098,,483.49M,483.49M,0.0094,,,
1997-03,479.80M,479.80M,407.60M,72.20M,29.20M,,-0.90M,,,,53.20M,19.00M,,,-0.90M,,9.80M,2.80M,7.00M,,,1.60M,0.70M,7.00M,7.643M,43.00M,24.00M,19.00M,,0.0033,0.00,,,0.0046,0.0033,,0.0031,0.00,,,0.0044,0.0031,,491.01M,491.01M,0.0094,,,
1996-12,500.10M,500.10M,438.40M,61.70M,23.20M,,-34.90M,,,,53.00M,8.70M,,,-34.90M,,-28.90M,-4.60M,-24.30M,,,0.30M,0.70M,-13.20M,5.045M,38.50M,29.80M,8.70M,,-0.0285,,,,0.0316,-0.0285,,-0.0285,,,,0.0316,-0.0285,,488.29M,488.29M,0.0188,,,
1996-09,622.20M,622.20M,544.60M,77.60M,22.10M,,1.20M,,,,44.20M,33.40M,,,1.20M,,23.80M,3.70M,20.10M,,,-0.30M,0.70M,20.10M,19.09M,55.50M,22.10M,33.40M,,0.0097,0.0003,,,0.0092,0.01,,0.0091,0.0003,,,0.0086,0.0094,,1.924B,2.064B,0.0094,,,
1996-06,600.10M,600.10M,526.60M,73.50M,23.60M,,0.20M,,,,45.00M,28.50M,,,0.20M,,19.40M,6.10M,13.30M,-1.50M,,-0.10M,0.70M,11.80M,13.16M,49.90M,21.40M,28.50M,,0.0058,0.00,,,0.0057,0.0058,,0.0055,0.00,,,0.0054,0.0055,,1.924B,2.064B,0.0094,,,
1996-03,462.00M,462.00M,404.30M,57.70M,24.10M,,2.20M,,,,44.30M,13.40M,,,2.20M,,7.20M,1.70M,5.50M,,,,0.80M,5.50M,3.819M,33.60M,20.20M,13.40M,,0.0031,-0.0006,,,0.0023,0.0025,,0.0030,-0.0006,,,0.0022,0.0023,,1.924B,2.064B,0.0094,,,
1995-12,-75.70M,-75.70M,-61.00M,-14.70M,11.00M,,102.20M,,,,-2.60M,-12.10M,,,102.20M,,97.50M,26.50M,71.00M,,,2.60M,0.80M,0.50M,-3.423M,-25.70M,-13.60M,-12.10M,,0.0366,-0.0367,,,-0.0022,-0.0002,,0.0352,-0.0367,,,-0.0036,-0.0002,,1.921B,1.921B,0.0094,,,
1995-09,760.70M,760.70M,662.60M,98.10M,28.50M,,-111.00M,,,,56.80M,41.30M,,,-111.00M,,-81.50M,-24.20M,-57.30M,,,-1.60M,0.70M,-57.30M,20.74M,69.60M,28.30M,41.30M,,-0.0302,0.00,,,0.0104,-0.0302,,-0.0302,0.00,,,0.0104,-0.0302,,1.926B,1.926B,0.0094,,,
1995-06,755.20M,755.20M,647.40M,107.80M,28.70M,,0.70M,,,,60.70M,47.10M,,,0.70M,,35.90M,14.00M,21.90M,,,-1.20M,0.80M,21.90M,21.47M,79.10M,32.00M,47.10M,,0.0109,0.00,,,0.0107,0.0109,,0.0103,0.00,,,0.0101,0.0103,,1.918B,2.070B,0.0094,,,
1995-03,605.60M,605.60M,503.50M,102.10M,31.30M,,4.00M,,,,63.30M,38.80M,,,4.00M,,31.80M,12.20M,19.60M,,,-1.40M,0.80M,19.60M,17.13M,70.80M,32.00M,38.80M,,0.0098,0.00,,,0.0086,0.0098,,0.0092,0.00,,,0.0080,0.0092,,1.918B,2.072B,0.0094,,,
1994-12,613.30M,613.30M,505.10M,108.20M,24.80M,,-3.20M,,,,57.80M,50.40M,,,-3.20M,,35.40M,13.40M,22.00M,,,-1.40M,0.80M,22.00M,23.99M,83.40M,33.00M,50.40M,,0.0444,,,,0.0485,0.0444,,0.0444,,,,0.0485,0.0444,,477.87M,477.87M,0.0094,,,
1994-09,717.50M,717.50M,604.10M,113.40M,31.60M,,-1.20M,,,,63.50M,49.90M,,,-1.20M,,37.10M,13.80M,23.30M,,,-1.10M,0.80M,23.30M,24.05M,81.80M,31.90M,49.90M,,0.0119,0.00,,,0.0123,0.0119,,0.0111,0.00,,,0.0115,0.0111,,1.903B,2.049B,0.0094,,,
1994-06,676.60M,676.60M,573.70M,102.90M,31.30M,,-0.20M,,,,62.90M,40.00M,,,-0.20M,,28.20M,11.00M,17.20M,,,-0.80M,0.80M,17.20M,17.32M,71.60M,31.60M,40.00M,,0.0086,0.00,,,0.0087,0.0086,,0.0081,0.00,,,0.0082,0.0081,,1.896B,2.039B,0.0094,,,
1994-03,587.30M,587.30M,501.40M,85.90M,26.80M,,0.30M,,,,57.30M,28.60M,,,0.30M,,17.00M,6.50M,10.50M,,,-1.30M,0.80M,10.50M,10.31M,59.10M,30.50M,28.60M,,0.0052,0.00,,,0.0051,0.0052,,0.0048,0.00,,,0.0048,0.0048,,1.888B,2.031B,0.0094,,,
1993-12,557.70M,557.70M,478.10M,79.60M,150.10M,,14.00M,,,,179.90M,-100.30M,,,14.00M,,-97.10M,-38.40M,-58.70M,0.00,0.00,-0.70M,0.80M,-58.70M,-67.16M,-70.50M,29.80M,-100.30M,,-0.1295,0.00,0.00,,-0.1479,-0.1295,,-0.1295,0.00,0.00,,-0.1479,-0.1295,,459.39M,459.39M,0.0194,,,
1993-09,683.00M,683.00M,568.90M,114.10M,49.70M,,-13.70M,,,,80.10M,34.00M,,,-13.70M,,7.60M,3.80M,3.80M,,,-1.10M,0.80M,3.80M,12.02M,64.40M,30.40M,34.00M,,0.0016,0.00,,,0.0190,0.0016,,0.0016,0.00,,,0.0190,0.0016,,470.18M,470.18M,0.0194,,,
1993-06,665.50M,665.50M,553.50M,112.00M,47.50M,,0.30M,,,,76.80M,35.20M,,,0.30M,,21.80M,8.50M,13.30M,,,-0.80M,0.80M,13.30M,13.12M,64.50M,29.30M,35.20M,,0.0067,0.00,,,0.0063,0.0067,,0.0064,0.00,,,0.0060,0.0064,,469.36M,469.36M,0.0194,,,
1993-03,534.70M,534.70M,441.80M,92.90M,40.50M,,0.70M,,,,67.30M,25.60M,,,0.70M,,14.00M,4.90M,9.10M,2.10M,-34.70M,-1.00M,0.80M,-23.50M,8.645M,52.40M,26.80M,25.60M,,0.0048,0.0012,0.00,,0.0039,-0.0141,,0.0047,0.0012,-0.0744,,0.0037,-0.0141,,466.62M,466.62M,0.0194,,,
1992-12,524.80M,524.80M,426.50M,98.30M,44.40M,,0.30M,,,,69.70M,28.60M,,,0.30M,,18.00M,6.50M,11.50M,0.10M,,-1.20M,1.40M,11.60M,11.31M,53.90M,25.30M,28.60M,,0.0239,0.0002,,,0.0234,0.0241,,0.0239,0.0002,,,0.0234,0.0241,,422.86M,422.86M,0.0194,,,
1992-09,566.50M,566.50M,466.80M,99.70M,37.80M,,,,,,57.10M,42.60M,,,,,32.90M,11.90M,21.00M,4.70M,,-0.90M,1.30M,25.70M,21.00M,61.90M,19.30M,42.60M,,0.0119,0.0028,,,0.0119,0.0147,,0.0119,0.0028,,,0.0119,0.0147,,419.81M,419.81M,0.0194,,,
1992-06,674.00M,674.00M,543.20M,130.80M,55.50M,,0.10M,,,,86.90M,43.90M,,,0.10M,,31.90M,11.90M,20.00M,,,-1.10M,1.30M,20.00M,19.94M,75.30M,31.40M,43.90M,,0.0112,0.00,,,0.0111,0.0112,,0.0108,0.00,,,0.0106,0.0108,,417.46M,417.46M,0.0188,,,
1992-03,546.30M,546.30M,445.50M,100.80M,41.30M,,0.20M,,,,70.80M,30.00M,,,0.20M,,19.00M,7.20M,11.80M,,,-1.20M,1.40M,11.80M,11.68M,59.50M,29.50M,30.00M,,0.0062,0.00,,,0.0060,0.0062,,0.0061,0.00,,,0.0058,0.0061,,415.15M,415.15M,0.0188,,,
1991-12,537.40M,537.40M,427.30M,110.10M,53.70M,,0.50M,,,,87.50M,22.60M,,,0.50M,,14.20M,5.20M,9.00M,,,-0.50M,2.70M,9.00M,8.683M,56.40M,33.80M,22.60M,,0.0153,,,,0.0145,0.0153,,0.0153,,,,0.0145,0.0153,,412.29M,412.29M,0.0188,,,
1991-09,644.40M,644.40M,531.40M,113.00M,35.80M,,0.30M,,,,62.00M,51.00M,,,0.30M,,39.10M,15.60M,23.50M,,,-1.10M,2.60M,23.50M,23.32M,77.20M,26.20M,51.00M,,0.0145,0.00,,,0.0141,0.0145,,0.0136,0.00,,,0.0132,0.0136,,409.90M,409.90M,0.0188,,,
1991-06,638.20M,638.20M,512.20M,126.00M,52.30M,,,,,,77.70M,48.30M,,,,,35.70M,12.70M,23.00M,,,-0.40M,2.50M,23.00M,23.00M,73.70M,25.40M,48.30M,,0.0144,0.00,,,0.0144,0.0144,,0.0134,0.00,,,0.0134,0.0134,,357.17M,357.17M,0.0181,,,
1991-03,447.40M,447.40M,364.50M,82.90M,31.20M,,-1.60M,,,,53.80M,29.10M,,,-1.60M,,17.40M,6.70M,10.70M,,,-0.70M,2.50M,10.70M,11.68M,51.70M,22.60M,29.10M,,0.0058,0.00,,,0.0086,0.0058,,0.0056,0.00,,,0.0084,0.0056,,355.26M,355.26M,0.0181,,,
1990-12,302.00M,302.00M,245.90M,56.10M,34.70M,,0.20M,,,,48.70M,7.40M,,,0.20M,,2.40M,-0.40M,2.80M,,,,1.80M,2.80M,2.68M,21.40M,14.00M,7.40M,,0.0028,,,,0.0025,0.0028,,0.0028,,,,0.0025,0.0028,,353.47M,353.47M,0.0181,,,
1990-09,351.80M,351.80M,285.00M,66.80M,24.30M,,3.30M,,,,37.60M,29.20M,,,3.30M,,27.00M,7.60M,19.40M,,,,1.40M,19.40M,17.03M,42.50M,13.30M,29.20M,,0.0130,0.00,,,0.0062,0.0130,,0.0122,0.00,,,0.0054,0.0122,,351.66M,351.66M,0.0181,,,
1990-06,381.90M,381.90M,312.60M,69.30M,25.50M,,2.50M,,,,38.60M,30.70M,,,2.50M,,27.50M,8.70M,18.80M,,,,1.30M,18.80M,17.09M,43.80M,13.10M,30.70M,,0.0125,0.00,,,0.0076,0.0125,,0.0117,0.00,,,0.0068,0.0117,,350.11M,350.11M,0.0175,,,
1990-03,321.50M,321.50M,268.20M,53.30M,22.00M,,0.60M,,,,35.10M,18.20M,,,0.60M,,13.00M,3.80M,9.20M,,,,1.30M,9.20M,8.775M,31.30M,13.10M,18.20M,,0.0056,0.00,,,0.0044,0.0056,,0.0056,0.00,,,0.0044,0.0056,,349.55M,349.55M,0.0175,,,
1989-12,306.70M,306.70M,269.10M,37.60M,22.20M,,1.10M,,,,35.30M,2.30M,,,1.10M,,-2.30M,-2.20M,-0.10M,,,,1.40M,-0.10M,-0.76M,15.40M,13.10M,2.30M,,-0.0043,,,,-0.0061,-0.0043,,-0.0043,,,,-0.0061,-0.0043,,352.35M,352.35M,0.0175,,,
1989-09,321.20M,321.20M,267.00M,54.20M,22.10M,,3.10M,,,,35.20M,19.00M,,,3.10M,,18.10M,4.90M,13.20M,,,,1.30M,13.20M,10.94M,32.10M,13.10M,19.00M,,0.0081,0.00,,,0.0018,0.0081,,0.0077,0.00,,,0.0013,0.0077,,355.86M,355.86M,0.0175,,,
1989-06,337.20M,337.20M,279.60M,57.60M,21.60M,,3.60M,,,,33.90M,23.70M,,,3.60M,,21.90M,6.90M,15.00M,,,,,15.00M,12.53M,36.00M,12.30M,23.70M,,0.01,0.00,,,0.0034,0.01,,0.01,0.00,,,0.0034,0.01,,372.34M,372.34M,0.0169,,,
1989-03,257.30M,257.30M,,,,,,,,,,257.30M,,,,,,,7.70M,,,,,7.70M,,257.30M,,257.30M,,0.0052,0.00,,,0.0052,0.0052,,0.0052,0.00,,,0.0052,0.0052,,374.82M,374.82M,0.0169,,,
1988-12,233.00M,233.00M,,,,,,,,,,-789.60M,,,,,,,-11.40M,,,,,-11.40M,,-789.60M,,-789.60M,,,,,,,,,,,,,,,,376.26M,376.26M,0.0169,,,
1988-09,292.70M,292.70M,,,,,,,,,,292.70M,,,,,,,14.90M,,,,,14.90M,,292.70M,,292.70M,,0.01,0.00,,,0.01,0.01,,0.01,0.00,,,0.01,0.01,,372.34M,372.34M,0.0169,,,
1988-06,306.10M,306.10M,,,,,,,,,,306.10M,,,,,,,17.00M,,,,,17.00M,,306.10M,,306.10M,,0.0114,0.00,,,0.0114,0.0114,,0.0114,0.00,,,0.0114,0.0114,,373.82M,373.82M,0.015,,,
1988-03,241.20M,241.20M,,,,,,,,,,241.20M,,,,,,,12.20M,,,,,12.20M,,241.20M,,241.20M,,0.0081,0.00,,,0.0081,0.0081,,0.0081,0.00,,,0.0081,0.0081,,374.91M,374.91M,0.015,,,
1987-12,214.80M,214.80M,,,,,,,,,,-720.40M,,,,,,,12.70M,,,,,12.70M,,-720.40M,,-720.40M,,,,,,,,,,,,,,,,373.25M,373.25M,0.015,,,
1987-09,267.40M,267.40M,,,,,,,,,,267.40M,,,,,,,18.90M,,,,,18.90M,,267.40M,,267.40M,,0.0125,0.00,,,0.0125,0.0125,,0.0125,0.00,,,0.0125,0.0125,,378.21M,378.21M,0.015,,,
1987-06,288.30M,288.30M,,,,,,,,,,288.30M,,,,,,,22.80M,,,,,22.80M,,288.30M,,288.30M,,0.015,0.00,,,0.015,0.015,,0.015,0.00,,,0.015,0.015,,368.83M,368.83M,0.0128,,,
1987-03,283.60M,283.60M,,,,,,,,,,283.60M,,,,,,,11.90M,,,,,11.90M,,283.60M,,283.60M,,0.0078,0.00,,,0.0078,0.0078,,0.0078,0.00,,,0.0078,0.0078,,367.76M,367.76M,0.0128,,,
1986-12,251.90M,251.90M,,,,,,,,,,-701.80M,,,,,,,11.30M,,,,,11.30M,,-701.80M,,-701.80M,,,,,,,,,,,,,,,,368.83M,368.83M,0.0128,,,
1986-09,281.70M,281.70M,,,,,,,,,,281.70M,,,,,,,16.70M,,,,,16.70M,,281.70M,,281.70M,,0.0114,0.00,,,0.0114,0.0114,,0.0114,0.00,,,0.0114,0.0114,,368.13M,368.13M,0.0128,,,
1986-06,296.10M,296.10M,,,,,,,,,,296.10M,,,,,,,18.60M,,,,,18.60M,,296.10M,,296.10M,,0.0127,0.00,,,0.0127,0.0127,,0.0127,0.00,,,0.0127,0.0127,,367.86M,367.86M,0.0112,,,
1986-03,240.60M,240.60M,,,,,,,,,,240.60M,,,,,,,12.30M,,,,,12.30M,,240.60M,,240.60M,,0.0083,0.00,,,0.0083,0.0083,,0.0083,0.00,,,0.0083,0.0083,,365.57M,365.57M,0.0112,,,
1985-12,256.60M,256.60M,,,,,,,,,,-748.10M,,,,,,,10.70M,,,,,10.70M,,-748.10M,,-748.10M,,,,,,,,,,,,,,,,368.13M,368.13M,,,,
1985-09,288.50M,288.50M,,,,,,,,,,288.50M,,,,,,,15.70M,,,,,15.70M,,288.50M,,288.50M,,0.0054,0.00,,,0.0054,0.0054,,0.0054,0.00,,,0.0054,0.0054,,364.29M,364.29M,,,,
1985-06,305.50M,305.50M,,,,,,,,,,305.50M,,,,,,,16.40M,,,,,16.40M,,305.50M,,305.50M,,0.0057,0.00,,,0.0057,0.0057,,0.0057,0.00,,,0.0057,0.0057,,364.45M,364.45M,,,,
1985-03,255.70M,255.70M,,,,,,,,,,255.70M,,,,,,,8.40M,,,,,8.40M,,255.70M,,255.70M,,0.0029,0.00,,,0.0029,0.0029,,0.0029,0.00,,,0.0029,0.0029,,362.94M,362.94M,,,,
1984-12,232.50M,232.50M,,,,,,,,,,-727.20M,,,,,,,9.50M,,,,,9.50M,,-727.20M,,-727.20M,,,,,,,,,,,,,,,,364.45M,364.45M,,,,
1984-09,288.00M,288.00M,,,,,,,,,,288.00M,,,,,,,14.80M,,,,,14.80M,,288.00M,,288.00M,,0.0052,0.00,,,0.0052,0.0052,,0.0052,0.00,,,0.0052,0.0052,,362.46M,362.46M,,,,
1984-06,291.20M,291.20M,,,,,,,,,,291.20M,,,,,,,14.60M,,,,,14.60M,,291.20M,,291.20M,,0.0051,0.00,,,0.0051,0.0051,,0.0051,0.00,,,0.0051,0.0051,,362.82M,362.82M,,,,
1984-03,239.00M,239.00M,,,,,,,,,,239.00M,,,,,,,7.40M,,,,,7.40M,,239.00M,,239.00M,,0.0026,0.00,,,0.0026,0.0026,,0.0026,0.00,,,0.0026,0.0026,,362.82M,362.82M,,,,
