,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinPrepaidAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,120.00M,,,,,,178.00M,178.00M,34.00M,109.00M,,,,67.00M,,508.00M,,-202.00M,,,0.00,,36.00M,-166.00M,,107.00M,-151.00M,-44.00M,9.00M,-149.00M,-140.00M,-35.00M,-35.00M,-1.00M,-220.00M,,486.00M,122.00M,-51.00M,557.00M,,9.00M,264.00M,-157.00M,-149.00M,,AOR,Restated
2018-03,125.00M,,,,,,180.00M,180.00M,3.00M,38.00M,,,,-420.00M,,-74.00M,,-242.00M,,,-45.00M,,3.00M,-284.00M,,479.00M,-14.00M,465.00M,,-35.00M,-35.00M,-35.00M,-35.00M,-11.00M,384.00M,,459.00M,26.00M,1.00M,486.00M,,,1.162B,-683.00M,-35.00M,,AOR,Restated
2017-12,159.00M,,,,,,190.00M,190.00M,82.00M,-71.00M,,,,374.00M,,734.00M,,-152.00M,,,-33.00M,,10.00M,-175.00M,,-576.00M,-36.00M,-612.00M,9.00M,0.00,9.00M,-36.00M,-36.00M,-5.00M,-644.00M,,563.00M,-85.00M,-19.00M,459.00M,,9.00M,325.00M,-901.00M,0.00,,AOR,Restated
2017-09,51.00M,,,,,,162.00M,162.00M,59.00M,75.00M,,,,136.00M,,483.00M,,-164.00M,,,0.00,,1.00M,-163.00M,,-198.00M,129.00M,-69.00M,4.00M,-100.00M,-96.00M,-35.00M,-35.00M,-1.00M,-201.00M,,441.00M,119.00M,3.00M,563.00M,,4.00M,150.00M,-348.00M,-100.00M,,AOR,Restated
2017-06,100.00M,,,,,,229.00M,229.00M,-61.00M,-110.00M,,,,504.00M,,662.00M,,-115.00M,,,0.00,,-1.00M,-116.00M,,-406.00M,-182.00M,-588.00M,14.00M,1.00M,15.00M,-35.00M,-35.00M,0.00,-608.00M,,465.00M,-62.00M,38.00M,441.00M,,14.00M,105.00M,-511.00M,1.00M,,AOR,Restated
2017-03,70.00M,,,,,,148.00M,148.00M,2.00M,59.00M,,,,-680.00M,,-401.00M,,-125.00M,,,31.00M,,3.00M,-91.00M,,135.00M,273.00M,408.00M,,-4.00M,-4.00M,-23.00M,-23.00M,-1.00M,380.00M,,607.00M,-112.00M,-30.00M,465.00M,,,185.00M,-50.00M,-4.00M,,AOR,Restated
2016-12,53.00M,,,,,,154.00M,154.00M,-128.00M,-100.00M,,,,647.00M,,626.00M,,-208.00M,,,8.00M,0.00,-1.963B,-2.163B,,-276.00M,-133.00M,-409.00M,10.00M,-9.00M,1.00M,-23.00M,-23.00M,1.00M,-430.00M,,645.00M,-1.967B,-230.00M,607.00M,,10.00M,0.00,-276.00M,-9.00M,,AOR,Restated
2016-09,33.00M,,,,,,146.00M,146.00M,71.00M,1.00M,,,,-720.00M,,-469.00M,,-125.00M,,,-3.666B,-252.00M,2.054B,-1.989B,,-3.181B,-94.00M,-3.275B,15.00M,0.00,15.00M,-23.00M,-23.00M,6.00M,-3.277B,,6.399B,-5.735B,-19.00M,645.00M,,15.00M,546.00M,-3.727B,0.00,,AOR,Restated
2016-06,307.00M,,,,,,78.00M,78.00M,-186.00M,102.00M,,,,121.00M,,422.00M,,-135.00M,,,3.264B,,-75.00M,3.054B,,2.809B,-60.00M,2.749B,16.00M,0.00,16.00M,-18.00M,-18.00M,1.00M,2.748B,,205.00M,6.224B,-30.00M,6.399B,,16.00M,3.023B,-214.00M,0.00,,AOR,Restated
2016-03,-127.00M,,,,,,75.00M,75.00M,-50.00M,277.00M,,,,-561.00M,,-386.00M,,-138.00M,,,-36.00M,,-11.00M,-185.00M,,394.00M,310.00M,704.00M,7.00M,-98.00M,-91.00M,-19.00M,-19.00M,-22.00M,572.00M,,224.00M,1.00M,-20.00M,205.00M,,7.00M,801.00M,-407.00M,-98.00M,,AOR,Restated
2015-12,65.00M,,,,,,74.00M,74.00M,6.00M,110.00M,,,,155.00M,,410.00M,,-171.00M,,,1.00M,0.00,-2.183B,-2.353B,,2.187B,-204.00M,1.983B,10.00M,0.00,10.00M,-18.00M,-18.00M,-53.00M,1.922B,,245.00M,-21.00M,0.00,224.00M,,10.00M,2.209B,-22.00M,0.00,,AOR,Restated
2015-09,50.00M,,,,,,73.00M,73.00M,-67.00M,190.00M,,,,140.00M,,386.00M,,-129.00M,,,0.00,-16.00M,12.00M,-133.00M,,-100.00M,6.00M,-94.00M,7.00M,-133.00M,-126.00M,-18.00M,-18.00M,2.00M,-236.00M,,227.00M,17.00M,1.00M,245.00M,,7.00M,0.00,-100.00M,-133.00M,,AOR,Restated
2015-06,160.00M,,,,,,71.00M,71.00M,24.00M,-22.00M,,,,159.00M,,392.00M,,-123.00M,,,0.00,,8.00M,-115.00M,,-180.00M,-66.00M,-246.00M,10.00M,0.00,10.00M,-18.00M,-18.00M,-23.00M,-277.00M,,229.00M,0.00,-2.00M,227.00M,,10.00M,1.04B,-1.22B,0.00,,AOR,Restated
2015-03,28.00M,,,,,,68.00M,68.00M,-25.00M,62.00M,,,,-314.00M,,-181.00M,,-105.00M,,,-29.00M,,14.00M,-120.00M,,187.00M,171.00M,358.00M,9.00M,-3.00M,6.00M,-18.00M,-18.00M,-18.00M,328.00M,,191.00M,27.00M,11.00M,229.00M,,9.00M,1.275B,-1.088B,-3.00M,,AOR,Restated
2014-12,88.40M,,,,,,71.30M,71.30M,3.70M,55.00M,,,,143.60M,,362.00M,,-141.00M,,,6.00M,,-17.10M,-152.10M,,-8.60M,-131.00M,-139.60M,9.30M,-61.50M,-52.20M,-18.20M,-18.20M,-2.70M,-212.70M,,189.50M,-2.80M,4.30M,191.00M,,9.30M,15.10M,-23.70M,-61.50M,,AOR,Restated
2014-09,148.40M,,,,,,71.30M,71.30M,1.80M,-13.00M,,,,231.50M,,440.00M,,-114.70M,,,0.00,,-0.10M,-114.80M,,-112.50M,-93.70M,-206.20M,9.10M,-78.40M,-69.30M,-18.00M,-18.00M,4.20M,-289.30M,,155.30M,35.90M,-1.70M,189.50M,,9.10M,0.00,-112.50M,-78.40M,,AOR,Restated
2014-06,156.30M,,,,,,69.60M,69.60M,3.90M,22.50M,,,,93.90M,,346.20M,,-73.90M,,,0.00,,4.90M,-69.00M,,-226.60M,-6.80M,-233.40M,9.30M,-54.30M,-45.00M,-18.20M,-18.20M,-2.30M,-298.90M,,175.40M,-21.70M,1.60M,155.30M,,9.30M,21.80M,-248.40M,-54.30M,,AOR,Restated
2014-03,104.90M,,,,,,68.80M,68.80M,2.60M,-10.50M,,,,-302.00M,,-136.20M,,-61.40M,,,0.00,,6.30M,-55.10M,,-138.30M,299.50M,161.20M,9.30M,-202.80M,-193.50M,-18.60M,-18.60M,5.80M,-45.10M,,416.00M,-236.40M,-4.20M,175.40M,,9.30M,375.10M,-513.40M,-202.80M,,AOR,Restated
2013-12,134.60M,,,,,,76.30M,76.30M,-4.90M,-49.20M,,,,270.90M,0.00,427.70M,,-68.70M,,,0.00,,11.20M,-57.50M,,79.10M,-42.80M,36.30M,8.60M,-139.50M,-130.90M,-18.40M,-18.40M,-5.00M,-118.00M,,168.20M,252.20M,-4.40M,416.00M,,8.60M,96.50M,-17.40M,-139.50M,,AOR,Restated
2013-09,121.60M,,,,,,76.60M,76.60M,-4.60M,88.00M,,,,216.50M,-0.20M,497.90M,,-108.50M,,,-1.60M,,6.70M,-103.40M,,-62.20M,-245.90M,-308.10M,10.70M,-76.30M,-65.60M,-18.80M,-18.80M,0.90M,-391.60M,,169.50M,2.90M,-4.20M,168.20M,,10.70M,-0.40M,-61.80M,-76.30M,,AOR,Restated
2013-06,99.10M,,,,,,74.50M,74.50M,-1.70M,39.60M,,,,26.60M,-0.10M,238.00M,,-112.40M,,,0.00,,3.50M,-108.90M,,16.90M,-0.10M,16.80M,10.20M,-146.70M,-136.50M,-18.70M,-18.70M,-25.00M,-163.40M,,208.00M,-34.30M,-4.20M,169.50M,,10.20M,1.122B,-1.105B,-146.70M,,AOR,Restated
2013-03,79.30M,,,,,,72.50M,72.50M,9.60M,-33.70M,,,,-450.30M,-2.00M,-324.60M,,-88.70M,,,-12.60M,,-8.00M,-109.30M,,314.40M,231.20M,545.60M,3.40M,-69.20M,-65.80M,-19.30M,-19.30M,8.50M,469.00M,,174.10M,35.10M,-1.20M,208.00M,,3.40M,425.50M,-111.10M,-69.20M,,AOR,Restated
2012-12,63.90M,,,,,,72.70M,72.70M,5.80M,67.60M,,,,259.00M,-4.10M,464.90M,,-98.10M,,,-55.90M,,2.20M,-151.80M,,127.70M,-238.20M,-110.50M,12.30M,-201.50M,-189.20M,-15.20M,-15.20M,-2.20M,-317.10M,,181.20M,-4.00M,-3.10M,174.10M,,12.30M,216.60M,-88.90M,-201.50M,,AOR,Restated
2012-09,121.90M,,,,,,74.70M,74.70M,2.70M,52.00M,,,,62.90M,-0.60M,313.60M,,-68.40M,,,-15.30M,,34.20M,-49.50M,,-23.30M,-112.50M,-135.80M,11.10M,-67.30M,-56.20M,-15.40M,-15.40M,3.10M,-204.30M,,123.50M,59.80M,-2.10M,181.20M,,11.10M,0.00,-23.30M,-67.30M,,AOR,Restated
2012-06,142.90M,,,,,,66.50M,66.50M,3.60M,19.90M,,,,60.00M,0.10M,293.00M,,-62.50M,,,0.00,,-5.50M,-68.00M,,-193.60M,44.60M,-149.00M,10.00M,-67.60M,-57.60M,-15.60M,-15.60M,5.20M,-217.00M,,106.80M,8.00M,8.70M,123.50M,,10.00M,129.70M,-323.30M,-67.60M,,AOR,Restated
2012-03,93.40M,,,,,,69.00M,69.00M,9.10M,-62.00M,,,,-327.30M,-0.50M,-218.30M,,-76.00M,,,0.00,,-10.70M,-86.70M,,504.00M,-30.90M,473.10M,19.70M,-210.80M,-191.10M,-15.60M,-15.60M,-14.90M,251.50M,,165.80M,-53.50M,-5.50M,106.80M,,19.70M,1.140B,-636.10M,-210.80M,,AOR,Restated
2011-12,84.90M,,,,,,78.90M,78.90M,14.10M,30.00M,,,,300.30M,-0.80M,507.40M,,-120.00M,,,0.00,,8.30M,-111.70M,,-275.90M,-44.80M,-320.70M,7.50M,-100.10M,-92.60M,-11.10M,-11.10M,-8.70M,-433.10M,,190.10M,-37.40M,13.10M,165.80M,,7.50M,141.60M,-417.50M,-100.10M,,AOR,Restated
2011-09,138.80M,,,,,,74.50M,74.50M,0.30M,-0.40M,,,,72.20M,-5.60M,279.80M,,-110.30M,,,0.00,,-6.70M,-117.00M,,-108.40M,135.60M,27.20M,9.00M,-149.20M,-140.20M,-11.30M,-11.30M,0.90M,-123.40M,,144.80M,39.40M,5.90M,190.10M,,9.00M,-56.30M,-256.60M,-149.20M,,AOR,Restated
2011-06,145.40M,,,,,,74.10M,74.10M,9.70M,45.60M,,,,-38.90M,-0.30M,235.60M,,-118.50M,,,0.00,,-6.60M,-125.10M,,-65.90M,8.30M,-57.60M,9.10M,-99.60M,-90.50M,-11.60M,-11.60M,1.40M,-158.30M,,193.10M,-47.80M,-0.50M,144.80M,,9.10M,81.90M,-139.50M,-99.60M,,AOR,Restated
2011-03,99.50M,,,,,,73.60M,73.60M,4.30M,19.80M,,,,-270.00M,-1.60M,-74.40M,,-95.00M,,,-295.20M,,6.00M,-384.20M,,461.70M,196.20M,657.90M,13.70M,-164.30M,-150.60M,-11.70M,-11.70M,2.40M,498.00M,,152.00M,39.40M,1.70M,193.10M,,13.70M,660.10M,-2.20M,-164.30M,,AOR,Restated
2010-12,99.30M,,,118.50M,118.50M,,73.30M,73.30M,22.50M,-143.60M,,,,-25.60M,-0.60M,143.80M,,-119.10M,,131.10M,-20.50M,,23.60M,-116.00M,,157.50M,9.90M,167.40M,12.50M,-201.20M,-188.70M,-8.60M,-8.60M,-13.10M,-43.00M,,168.70M,-15.20M,-1.50M,152.00M,,12.50M,1.027B,-874.80M,-201.20M,,AOR,Restated
2010-09,222.20M,,,-118.50M,-118.50M,,67.10M,67.10M,-39.80M,70.40M,,,,145.70M,-6.40M,340.70M,,-62.00M,,-62.00M,245.40M,,0.10M,181.70M,,-170.50M,-75.80M,-246.30M,13.20M,-190.10M,-176.90M,-8.90M,-8.90M,3.50M,-428.60M,,75.00M,93.80M,-0.10M,168.70M,,13.20M,46.10M,-292.40M,-190.10M,,AOR,Restated
2010-06,224.00M,0.50M,,,0.50M,-62.70M,62.40M,62.40M,-0.70M,-71.10M,,,,71.90M,15.70M,302.70M,,-35.80M,,-35.80M,-89.20M,,1.10M,-127.60M,,-467.10M,14.30M,-452.80M,12.10M,-33.50M,-21.40M,-9.10M,-9.10M,-2.90M,-486.20M,,391.40M,-311.10M,-5.30M,75.00M,,12.10M,302.70M,-755.50M,-33.50M,,AOR,Restated
2010-03,3.10M,-0.50M,,,-0.50M,62.70M,62.70M,62.70M,-10.70M,93.00M,,,,-425.80M,6.20M,-272.00M,,-33.30M,,-33.30M,0.00,,-11.30M,-48.30M,,566.80M,66.70M,633.50M,9.70M,-129.40M,-119.70M,-9.20M,-9.20M,-6.40M,498.20M,,210.60M,177.90M,2.90M,391.40M,,9.70M,855.70M,-222.20M,-129.40M,,AOR,Restated
2009-12,79.80M,-6.80M,0.00,,-12.60M,,68.80M,68.80M,-9.70M,14.10M,,,,392.60M,20.60M,553.60M,,-40.90M,,-40.90M,-574.70M,0.00,23.00M,-563.50M,,-165.10M,-18.70M,-183.80M,7.50M,-14.80M,-7.30M,-9.30M,-9.30M,1.00M,-199.40M,,418.10M,-209.30M,1.80M,210.60M,,7.50M,-38.50M,-145.30M,-14.80M,,AOR,Restated
2009-09,109.00M,3.10M,0.00,,-4.90M,,59.90M,59.90M,-5.60M,6.30M,,,,-180.10M,12.30M,-3.10M,,-25.30M,,-25.30M,0.00,0.00,32.60M,-0.80M,,487.90M,-98.20M,389.70M,12.10M,-20.90M,-8.80M,-9.40M,-9.40M,-8.50M,363.00M,,59.50M,359.10M,-0.50M,418.10M,,12.10M,746.90M,-357.20M,-20.90M,,AOR,Restated
2009-06,132.20M,4.80M,-34.80M,,-30.00M,,47.70M,47.70M,-4.50M,1.70M,,,,121.10M,48.80M,317.00M,,-23.90M,,-23.90M,0.00,37.00M,31.50M,30.10M,,-360.50M,16.60M,-343.90M,6.30M,-0.20M,6.10M,-9.40M,-9.40M,0.50M,-346.70M,,53.10M,0.40M,6.00M,59.50M,,6.30M,133.70M,-477.60M,-0.20M,,AOR,Restated
2009-03,69.60M,5.00M,,,5.00M,,66.70M,66.70M,-4.50M,7.40M,,,,-452.00M,,-307.80M,,-67.80M,,-67.80M,,,20.60M,-47.20M,,277.60M,8.30M,285.90M,6.00M,-1.10M,4.90M,-9.30M,-9.30M,2.40M,283.90M,,127.40M,-71.10M,-3.20M,53.10M,,6.00M,402.60M,-116.70M,-1.10M,,AOR,Restated
2008-12,33.90M,27.30M,,,27.30M,,72.70M,72.70M,14.10M,7.00M,,,,334.20M,,489.20M,,-76.10M,,-76.10M,-2.30M,-8.70M,-118.60M,-205.70M,,-253.50M,64.70M,-188.80M,5.10M,-47.20M,-42.10M,-9.20M,-9.20M,0.80M,-239.30M,,113.90M,44.20M,-30.70M,127.40M,,5.10M,359.00M,-547.80M,-47.20M,,,Restated
2008-09,102.00M,9.10M,,,9.10M,,73.90M,73.90M,2.60M,-3.20M,,,,23.60M,,208.00M,,-70.30M,,-70.30M,,0.00,20.00M,-50.30M,,68.10M,-87.30M,-19.20M,6.50M,-82.80M,-76.30M,-9.30M,-9.30M,1.10M,-103.70M,,63.40M,54.00M,-3.50M,113.90M,,6.50M,34.00M,-53.20M,-82.80M,,,Restated
2008-06,100.10M,18.60M,,,11.50M,,76.20M,76.20M,8.00M,39.70M,,,,-90.50M,,145.00M,,-86.00M,,-86.00M,-8.70M,8.70M,-7.90M,-93.90M,,-33.80M,17.00M,-16.80M,9.20M,-65.30M,-56.10M,-9.40M,-9.40M,2.00M,-80.30M,,89.90M,-29.20M,2.70M,63.40M,,9.20M,84.40M,-101.20M,-65.30M,,,Restated
2008-03,83.90M,-7.10M,,,-77.40M,,74.60M,74.60M,-5.10M,-18.20M,,,,-272.40M,,-214.60M,,-74.50M,,-74.50M,8.70M,,-2.30M,-68.10M,,238.40M,113.70M,352.10M,6.40M,-131.50M,-125.10M,-9.60M,-9.60M,0.40M,217.80M,,151.60M,-64.90M,3.20M,89.90M,,6.40M,384.40M,-32.30M,-131.50M,,,Restated
2007-12,33.30M,,,,-15.70M,,74.30M,74.30M,-13.30M,0.00,,,111.00M,189.20M,,267.80M,,-85.60M,,-85.60M,,,-0.50M,-86.10M,,,,-48.40M,8.50M,-64.70M,-56.20M,,-10.20M,1.20M,-113.60M,,79.40M,68.10M,4.10M,151.60M,,8.50M,,,-64.70M,,,
2007-09,60.90M,,,,-4.60M,,71.80M,71.80M,-11.40M,85.60M,,,-48.20M,-48.20M,,154.10M,,-56.60M,,-56.60M,,,-6.10M,-62.70M,,,,-36.00M,10.90M,-70.70M,-59.80M,,-10.00M,1.60M,-104.20M,,91.90M,-12.80M,0.30M,79.40M,,10.90M,,,-70.70M,,,
2007-06,105.90M,,,,17.70M,,69.90M,69.90M,11.20M,,,,154.10M,154.10M,,358.80M,,-78.20M,,-78.20M,,,-1.70M,-79.90M,,,,-224.80M,16.10M,-23.90M,-7.80M,,-10.20M,3.70M,-239.10M,,51.20M,39.80M,0.90M,91.90M,,16.10M,,,-23.90M,,,
2007-03,81.20M,,,,14.00M,,65.00M,65.00M,-7.50M,,,,-260.40M,-260.40M,,-107.70M,,-88.10M,,-88.10M,,,51.00M,-37.10M,,,,139.20M,11.00M,-98.50M,-87.50M,,-10.20M,3.00M,44.50M,,151.50M,-100.30M,,51.20M,,11.00M,,,-98.50M,,,
2006-12,48.30M,,,,14.20M,,68.60M,68.60M,10.50M,20.30M,,,200.30M,123.40M,,285.30M,,-92.00M,,-92.00M,-4.70M,,35.20M,-61.50M,,,,-122.80M,10.50M,-11.50M,-1.00M,,-10.30M,1.60M,-132.50M,,59.10M,91.30M,1.10M,151.50M,,10.50M,,,-11.50M,,,
2006-09,107.10M,,,,60.70M,,64.50M,64.50M,15.50M,-75.20M,,,9.70M,9.70M,,182.30M,,-60.10M,,-60.10M,-1.00M,,1.10M,-60.00M,,,,-94.80M,8.70M,-21.90M,-13.20M,,-10.00M,1.90M,-116.10M,,52.50M,6.20M,0.40M,59.10M,,8.70M,,,-21.90M,,,
2006-06,129.60M,,,,-89.20M,,64.90M,64.90M,17.50M,,,,-17.20M,-17.20M,,105.60M,,-63.10M,,-63.10M,-17.50M,,39.50M,-41.10M,,,,-44.60M,9.90M,-14.60M,-4.70M,,-10.50M,0.40M,-59.40M,,46.90M,5.10M,0.50M,52.50M,,9.90M,,,-14.60M,,,
2006-03,44.60M,,,,-12.50M,,54.60M,54.60M,-5.30M,,,,-253.20M,-253.20M,,-171.80M,,-64.40M,,-64.40M,-767.90M,,1.50M,-830.80M,,,,1.030B,9.30M,-36.10M,-26.80M,,-10.20M,-4.40M,988.20M,,61.00M,-14.40M,0.30M,46.90M,,9.30M,,,-36.10M,,,
2005-12,55.20M,,,,10.00M,,52.70M,52.70M,7.50M,,,,110.30M,153.00M,,274.00M,,-97.50M,,-97.50M,,,10.90M,-86.60M,,,,-153.40M,7.40M,-55.10M,-47.70M,,-10.20M,-11.60M,-222.90M,,90.40M,-35.50M,6.10M,61.00M,,7.40M,,,-55.10M,,,
2005-09,79.30M,,,,19.90M,,54.40M,54.40M,-38.50M,,,,99.50M,99.50M,,214.60M,,-45.90M,,-45.90M,,,0.30M,-45.60M,,,,-3.10M,8.10M,-150.50M,-142.40M,,-10.50M,0.20M,-155.80M,,75.70M,13.20M,1.50M,90.40M,,8.10M,,,-150.50M,,,
2005-06,79.00M,,,,15.30M,,53.00M,53.00M,-8.80M,,108.50M,,-15.80M,92.70M,,231.20M,,-67.70M,,-67.70M,,,-1.60M,-69.30M,,,,15.70M,9.30M,-186.00M,-176.70M,,-10.70M,-0.20M,-171.90M,,86.80M,-10.00M,-1.10M,75.70M,,9.30M,,,-186.00M,,,
2005-03,58.60M,,,,-4.10M,,53.40M,53.40M,-11.80M,,-108.50M,,-148.60M,-257.10M,,-161.00M,,-80.60M,,-80.60M,,,-7.90M,-88.50M,,,,142.30M,10.80M,-2.10M,8.70M,,-11.10M,,139.90M,,198.70M,-109.60M,-2.30M,86.80M,,10.80M,,,-2.10M,,,
2004-12,62.90M,,,,65.70M,,52.40M,52.40M,17.10M,,,,102.30M,106.10M,,244.10M,,-96.10M,,-96.10M,12.80M,,4.60M,-78.70M,,,,-19.90M,11.00M,-17.50M,-6.50M,,-11.10M,-0.50M,-38.00M,,67.80M,127.40M,3.50M,198.70M,,11.00M,,,-17.50M,,,
2004-09,101.70M,,,,-33.50M,,56.70M,56.70M,12.90M,,,,53.50M,53.50M,,191.30M,,-32.50M,,-32.50M,-13.00M,,5.40M,-40.10M,,,,-107.30M,7.50M,-8.90M,-1.40M,,-11.10M,0.10M,-119.70M,,35.90M,31.50M,0.40M,67.80M,,7.50M,,,-8.90M,,,
2004-06,90.70M,,,,-8.60M,,52.20M,52.20M,8.70M,,,,26.90M,26.90M,,169.90M,,-32.50M,,-32.50M,13.00M,,-0.60M,-20.10M,,,,-119.40M,9.10M,-36.60M,-27.50M,,-8.30M,-0.10M,-155.30M,,41.20M,-5.50M,0.20M,35.90M,,9.10M,,,-36.60M,,,
2004-03,46.80M,,,,11.80M,,53.80M,53.80M,8.30M,,,,-190.10M,-190.10M,,-69.40M,,-34.90M,,-34.90M,-30.00M,,-5.80M,-70.70M,,,,168.30M,7.70M,-22.30M,-14.60M,,-8.40M,-0.40M,144.90M,,36.50M,4.80M,-0.10M,41.20M,,7.70M,,,-22.30M,,,
2003-12,55.30M,,,,134.70M,,54.20M,54.20M,-17.90M,,,,39.10M,99.50M,,325.80M,,-38.70M,,-38.70M,0.00,,17.40M,-21.30M,,,,-315.60M,10.00M,-7.00M,3.00M,,-8.40M,-6.00M,-327.00M,,58.40M,-22.50M,0.60M,36.50M,,10.00M,,,-7.00M,,,
