,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,224.00M,,224.00M,754.00M,131.00M,885.00M,438.00M,504.00M,898.00M,,,177.00M,2.184B,0.00,70.00M,1.023B,3.904B,,408.00M,5.405B,-2.719B,2.686B,2.177B,195.00M,2.372B,34.00M,,60.00M,2.359B,7.513B,9.697B,,1.501B,,,1.501B,229.00M,1.73B,,77.00M,,77.00M,,,335.00M,2.142B,4.974B,,4.974B,173.00M,173.00M,1.147B,,10.00M,,,6.294B,8.436B,,962.00M,4.557B,,3.628B,,,,-640.00M,1.251B,,AOR,Restated
2015-09,244.40M,,244.40M,983.30M,114.50M,1.098B,441.90M,476.80M,876.00M,,164.40M,,2.383B,0.00,63.50M,984.30M,3.776B,,432.80M,5.257B,-2.709B,2.547B,2.204B,199.70M,2.404B,33.70M,2.50M,148.70M,208.40M,5.344B,7.727B,,1.451B,,,1.451B,213.30M,1.665B,,282.90M,,282.90M,,,332.00M,2.280B,2.879B,,2.879B,165.10M,165.10M,1.160B,,209.70M,,,4.204B,6.484B,,1.171B,4.520B,,4.037B,,,,-620.10M,1.034B,,AOR,Restated
2015-06,227.30M,,227.30M,1.069B,123.30M,1.192B,443.40M,526.70M,929.00M,,156.80M,,2.505B,0.00,63.80M,986.70M,3.744B,,363.60M,5.158B,-2.675B,2.483B,2.209B,202.10M,2.411B,33.90M,85.60M,112.60M,221.00M,5.348B,7.853B,,1.444B,,,1.444B,192.70M,1.637B,,278.20M,,278.20M,,,277.00M,2.192B,2.982B,,2.982B,169.20M,169.20M,1.166B,,204.20M,,,4.318B,6.510B,,1.160B,4.493B,,3.911B,,,,-603.70M,1.139B,,AOR,Restated
2015-03,228.80M,,228.80M,901.20M,142.50M,1.044B,439.80M,633.50M,1.033B,,162.20M,,2.468B,0.00,63.90M,967.50M,3.624B,,359.60M,5.015B,-2.591B,2.424B,2.178B,203.20M,2.381B,31.30M,,126.80M,229.90M,5.193B,7.660B,,1.271B,,,1.271B,180.10M,1.451B,,344.70M,,344.70M,,,243.30M,2.039B,3.152B,,3.152B,183.40M,183.40M,1.132B,,212.70M,,,4.468B,6.507B,,1.150B,4.350B,,3.917B,,,,-642.10M,940.70M,,AOR,Restated
2014-12,191.40M,,191.40M,793.00M,164.10M,957.10M,479.20M,579.20M,1.017B,,148.30M,,2.314B,0.00,64.60M,973.40M,3.612B,,382.70M,5.033B,-2.602B,2.431B,2.254B,199.70M,2.454B,33.20M,,102.80M,236.60M,5.258B,7.571B,,1.34B,,,1.34B,269.90M,1.610B,,175.10M,,175.10M,,,221.80M,2.007B,2.994B,,2.994B,152.50M,152.50M,1.178B,,206.50M,,,4.325B,6.331B,,1.131B,4.347B,,3.923B,,,,-522.10M,1.033B,,AOR,Restated
2014-09,189.50M,,189.50M,933.50M,115.90M,1.049B,456.00M,562.20M,972.70M,,167.20M,,2.379B,0.00,65.80M,965.10M,3.616B,,328.70M,4.975B,-2.604B,2.371B,2.301B,208.70M,2.509B,33.90M,,37.90M,283.90M,5.236B,7.615B,,1.251B,,,1.251B,255.80M,1.507B,,306.50M,,306.50M,,,208.40M,2.022B,3.009B,,3.009B,229.40M,229.40M,939.90M,,200.20M,,,4.178B,6.200B,,1.119B,4.288B,,3.867B,,,,-325.50M,1.214B,,AOR,Restated
2014-06,155.30M,,155.30M,998.00M,75.50M,1.074B,459.90M,617.00M,1.028B,,162.80M,,2.420B,0.00,68.00M,982.00M,3.664B,,273.20M,4.988B,-2.604B,2.383B,2.385B,215.80M,2.601B,35.70M,,39.90M,291.80M,5.352B,7.771B,,1.116B,,,1.116B,216.60M,1.333B,,408.00M,,408.00M,,,233.00M,1.974B,3.129B,,3.129B,252.70M,252.70M,1.009B,,199.70M,,,4.391B,6.365B,,1.106B,4.158B,,3.804B,,,,-253.10M,1.207B,,AOR,Restated
2014-03,175.40M,,175.40M,913.10M,68.00M,981.10M,440.40M,692.60M,1.082B,,,166.20M,2.404B,0.00,68.00M,981.00M,3.656B,,219.50M,4.924B,-2.564B,2.360B,2.399B,224.10M,2.623B,34.40M,,41.60M,281.10M,5.340B,7.744B,,969.90M,,,969.90M,199.60M,1.170B,,412.90M,,412.90M,,,238.90M,1.821B,3.358B,,3.358B,,,991.10M,,202.50M,,292.30M,4.641B,6.462B,,1.093B,3.989B,,3.746B,,,,-256.50M,1.080B,,AOR,Restated
2013-12,416.00M,,416.00M,798.90M,60.50M,859.40M,465.60M,609.60M,1.028B,,167.20M,,2.471B,0.00,67.60M,980.90M,3.648B,,232.90M,4.929B,-2.557B,2.372B,2.400B,231.10M,2.631B,33.70M,,82.70M,230.00M,5.350B,7.820B,,998.80M,,,998.80M,241.30M,1.240B,,422.60M,,422.60M,,,264.70M,1.927B,3.182B,,3.182B,261.50M,261.50M,1.033B,,191.40M,,,4.477B,6.404B,,1.078B,3.948B,,3.552B,,,,-249.90M,1.225B,,AOR,Restated
2013-09,168.20M,,168.20M,1.022B,65.60M,1.088B,441.60M,588.10M,980.30M,,,189.40M,2.425B,0.00,79.20M,963.50M,3.541B,,283.20M,4.867B,-2.507B,2.360B,2.380B,233.10M,2.613B,33.60M,,47.80M,229.40M,5.284B,7.709B,,998.80M,,,998.80M,232.30M,1.231B,,104.50M,,104.50M,,,234.60M,1.570B,3.418B,,3.418B,,,1.176B,,187.40M,,229.00M,4.822B,6.392B,,1.068B,3.807B,,3.418B,,,,-328.10M,1.129B,,AOR,Restated
2013-06,169.50M,,169.50M,1.051B,72.70M,1.124B,425.20M,724.10M,1.100B,,,225.70M,2.620B,0.00,78.90M,963.00M,3.495B,,231.90M,4.769B,-2.463B,2.306B,2.335B,235.70M,2.571B,33.10M,,49.40M,236.90M,5.196B,7.816B,,950.20M,,,950.20M,205.20M,1.155B,,358.50M,,358.50M,,,253.50M,1.767B,3.473B,,3.473B,,,1.149B,,180.80M,,219.20M,4.841B,6.608B,,1.056B,3.710B,,3.347B,,,,-392.40M,1.027B,,AOR,Restated
2013-03,208.00M,,208.00M,973.10M,84.60M,1.058B,397.00M,796.20M,1.144B,,,213.40M,2.623B,0.00,83.30M,956.60M,3.391B,,265.20M,4.696B,-2.403B,2.294B,2.320B,228.30M,2.548B,31.50M,,35.50M,245.00M,5.153B,7.776B,,915.80M,,,915.80M,197.20M,1.113B,,425.60M,,425.60M,,,204.30M,1.743B,3.405B,,3.405B,,,1.149B,,182.60M,,221.40M,4.776B,6.518B,,1.047B,3.634B,,3.207B,,,,-399.10M,1.075B,,AOR,Restated
2012-12,174.10M,,174.10M,864.60M,65.50M,930.10M,426.70M,664.50M,1.044B,,190.80M,,2.339B,0.00,67.90M,934.30M,3.408B,,240.60M,4.650B,-2.374B,2.277B,2.359B,213.30M,2.573B,32.20M,,37.30M,248.80M,5.168B,7.507B,,946.90M,,,946.90M,278.40M,1.225B,,219.80M,,219.80M,,,240.70M,1.686B,3.085B,,3.085B,207.90M,207.90M,1.238B,,175.40M,,,4.531B,6.217B,,1.026B,3.581B,,3.140B,,,,-352.40M,1.115B,,AOR,Restated
2012-09,181.20M,,181.20M,1.148B,58.60M,1.206B,380.30M,612.70M,993.00M,,189.80M,,2.570B,0.00,87.70M,892.20M,3.313B,,226.00M,4.518B,-2.298B,2.220B,2.249B,214.00M,2.463B,31.90M,,38.90M,199.60M,4.954B,7.524B,,906.30M,,,906.30M,,906.30M,,401.70M,,401.70M,,,278.40M,1.830B,2.932B,,2.932B,229.80M,229.80M,1.062B,,171.90M,,,4.224B,6.054B,,0.00,3.526B,1.008B,2.944B,,,,-291.20M,1.298B,,AOR,Restated
2012-06,123.50M,,123.50M,1.143B,,1.143B,371.50M,664.10M,1.036B,,209.50M,,2.512B,0.00,87.00M,885.20M,3.266B,,199.10M,4.437B,-2.234B,2.204B,2.222B,501.80M,2.724B,,,,,4.928B,7.440B,,852.50M,,,852.50M,,852.50M,,499.20M,,499.20M,,,320.30M,1.888B,2.964B,,2.964B,195.70M,195.70M,1.050B,,166.20M,,,4.210B,6.098B,,0.00,3.425B,993.70M,2.890B,,,,-353.10M,1.175B,,AOR,Restated
2012-03,106.80M,,106.80M,1.028B,72.90M,1.101B,381.70M,742.80M,1.124B,,184.30M,,2.517B,0.00,91.10M,885.70M,3.181B,,322.90M,4.481B,-2.225B,2.256B,2.281B,506.00M,2.787B,,,,,5.043B,7.559B,,832.60M,,,832.60M,,832.60M,,498.40M,,498.40M,,,278.60M,1.812B,3.130B,,3.130B,206.60M,206.60M,1.061B,,162.90M,,,4.398B,6.211B,,0.00,3.301B,977.80M,2.821B,,,,-272.00M,1.186B,,AOR,Restated
2011-12,165.80M,,165.80M,840.60M,69.80M,910.40M,469.00M,644.40M,1.072B,,173.20M,,2.322B,0.00,89.40M,881.30M,3.121B,,291.40M,4.383B,-2.163B,2.220B,2.247B,225.80M,2.473B,26.40M,,35.40M,207.80M,4.963B,7.285B,,847.30M,,,847.30M,248.30M,1.096B,,447.40M,,447.40M,,,313.10M,1.856B,2.697B,,2.697B,210.10M,210.10M,1.144B,,158.90M,,,4.050B,5.907B,,941.70M,3.228B,,2.616B,,,,-335.20M,1.219B,,AOR,Restated
2011-09,190.10M,,190.10M,1.043B,64.50M,1.108B,419.00M,675.60M,1.095B,,181.60M,,2.574B,0.00,93.10M,899.80M,3.176B,,312.20M,4.481B,-2.238B,2.242B,2.283B,438.90M,2.722B,,,,,4.964B,7.538B,,776.80M,,,776.80M,,776.80M,,479.20M,,479.20M,,,274.20M,1.786B,2.978B,,2.978B,255.00M,255.00M,952.30M,,160.30M,,,4.185B,5.970B,,0.00,3.162B,931.20M,2.521B,,,,-164.90M,1.408B,,AOR,Restated
2011-06,144.80M,,144.80M,1.134B,80.70M,1.215B,440.50M,756.20M,1.197B,,168.00M,,2.725B,0.00,101.50M,907.20M,3.212B,,287.00M,4.507B,-2.244B,2.263B,2.372B,490.80M,2.863B,,,,,5.126B,7.850B,,868.70M,,,868.70M,,868.70M,,349.50M,,349.50M,,,308.30M,1.752B,3.125B,,3.125B,231.80M,231.80M,1.007B,,155.40M,,,4.364B,6.116B,,0.00,3.040B,922.10M,2.377B,,,,-6.00M,1.579B,,AOR,Restated
2011-03,193.10M,,193.10M,987.60M,92.00M,1.080B,462.20M,783.50M,1.246B,,196.00M,,2.714B,0.00,99.80M,892.30M,3.120B,,279.90M,4.392B,-2.175B,2.217B,2.320B,531.40M,2.852B,,,,,5.069B,7.783B,,854.00M,,,854.00M,,854.00M,,320.00M,,320.00M,,,303.90M,1.683B,3.197B,,3.197B,239.20M,239.20M,980.80M,,154.40M,,,4.417B,6.101B,,910.50M,2.909B,,2.282B,,,,-9.40M,1.528B,,AOR,Restated
2010-12,152.00M,102.60M,254.60M,,,849.70M,478.00M,605.90M,1.084B,,117.50M,,2.306B,0.00,95.00M,848.70M,2.946B,,237.80M,4.127B,-2.079B,2.048B,2.105B,417.60M,2.523B,0.00,50.90M,,,4.622B,6.928B,,700.30M,,,700.30M,258.20M,958.50M,,110.70M,,110.70M,59.30M,,254.80M,1.383B,2.702B,,2.702B,218.80M,218.80M,963.30M,2.60M,140.10M,,,3.886B,5.270B,,893.40M,2.830B,,2.123B,,,,-82.10M,1.518B,,AOR,Restated
2010-09,168.70M,56.00M,224.70M,1.039B,82.70M,1.121B,351.40M,547.50M,898.90M,,113.20M,,2.358B,0.00,92.00M,864.70M,2.938B,,163.60M,4.058B,-2.062B,1.996B,2.112B,431.60M,2.543B,0.00,81.80M,,,4.621B,6.979B,,811.40M,,,811.40M,235.80M,1.047B,,592.50M,,592.50M,,,295.60M,1.935B,2.055B,,2.055B,221.70M,221.70M,1.001B,25.90M,134.60M,,,3.303B,5.239B,,876.50M,2.745B,,1.928B,,,,-88.20M,1.606B,,AOR,Restated
2010-06,75.00M,72.40M,147.40M,987.60M,75.30M,1.063B,337.30M,538.90M,876.20M,,135.80M,327.60M,2.550B,0.00,82.90M,779.00M,2.652B,,119.00M,3.633B,-1.977B,1.656B,1.888B,461.40M,2.349B,0.00,63.10M,,,4.068B,6.618B,,766.40M,,,766.40M,190.60M,957.00M,,550.70M,,550.70M,,,373.10M,1.881B,2.157B,,2.157B,120.60M,120.60M,981.00M,32.40M,1.60M,,,3.291B,5.172B,,859.90M,2.527B,,1.749B,,,,-192.70M,1.445B,,AOR,Restated
2010-03,391.40M,78.20M,469.60M,911.10M,75.60M,986.70M,366.00M,653.40M,1.019B,,111.80M,,2.588B,0.00,90.80M,868.20M,3.133B,,133.20M,4.225B,-2.349B,1.876B,2.044B,444.50M,2.488B,0.00,84.00M,,,4.448B,7.036B,,746.10M,,,746.10M,184.20M,930.30M,,875.70M,,875.70M,,,235.40M,2.041B,2.318B,,2.318B,129.20M,129.20M,997.90M,36.90M,1.80M,,,3.482B,5.523B,,843.30M,2.467B,,1.708B,,,,-92.30M,1.511B,,AOR,Restated
2009-12,210.60M,100.10M,310.70M,,,534.90M,426.20M,455.00M,881.20M,,119.10M,416.30M,2.262B,0.00,86.30M,788.20M,2.675B,,132.70M,3.682B,-1.931B,1.752B,2.008B,385.70M,2.394B,0.00,80.60M,,,4.226B,6.488B,,581.80M,,,581.80M,212.00M,793.80M,,312.30M,,312.30M,83.20M,,240.90M,1.430B,2.284B,,2.284B,130.00M,130.00M,1.013B,48.00M,1.70M,,,3.475B,4.905B,,830.80M,2.397B,,1.583B,,,,-63.80M,1.581B,,AOR,Restated
