,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-06,1.641B,,1.641B,2.598B,,1.647B,4.163B,111.00M,66.00M,895.00M,,1.072B,,,,956.00M,7.832B,,,,500.00M,1.078B,,,1.578B,,1.578B,8.81B,1.89B,10.70B,1.377B,,2.581B,,,1.948B,18.18B,26.02B,1.568B,,,1.568B,,1.568B,,,,,1.648B,,1.648B,428.00M,428.00M,,1.422B,5.73B,,5.998B,,5.998B,,,,3.424B,,43.00M,,418.00M,9.84B,15.57B,1.446B,9.605B,3.967B,316.00M,349.00M,,,-4.299B,10.40B
2015-03,872.00M,,872.00M,2.59B,,1.643B,4.151B,110.00M,60.00M,839.00M,,1.009B,,,,1.002B,8.358B,,,,496.00M,1.087B,,,1.583B,,1.583B,8.723B,1.947B,10.67B,1.383B,,2.558B,,,2.105B,18.30B,26.66B,1.471B,,,1.471B,,1.471B,,,,,1.333B,,1.333B,424.00M,424.00M,,1.733B,5.731B,,6.265B,,6.265B,,,,3.647B,,38.00M,,419.00M,10.33B,16.06B,1.462B,9.631B,4.151B,147.00M,349.00M,,,-4.54B,10.56B
2014-12,1.411B,,1.411B,2.531B,,1.743B,4.23B,98.00M,58.00M,778.00M,,934.00M,151.00M,113.00M,382.00M,298.00M,8.874B,0.0,42.00M,996.00M,4.29B,78.00M,73.00M,466.00M,5.945B,-4.297B,1.648B,8.805B,2.999B,11.80B,1.496B,,2.736B,,471.00M,612.00M,18.78B,27.66B,1.584B,88.00M,183.00M,1.855B,78.00M,1.933B,103.00M,1.00M,150.00M,1.276B,1.427B,,1.427B,431.00M,492.00M,61.00M,1.367B,6.076B,12.00M,6.314B,,6.314B,34.00M,116.00M,150.00M,3.712B,,75.00M,,228.00M,10.48B,16.56B,1.473B,9.535B,4.283B,105.00M,349.00M,,,-4.159B,11.03B
2014-09,1.015B,,1.015B,2.886B,,1.791B,4.579B,102.00M,68.00M,899.00M,,1.069B,,,,1.219B,7.882B,,,,526.00M,1.388B,,,1.914B,,1.914B,9.351B,2.317B,11.67B,1.365B,,2.708B,,,2.34B,20.00B,27.88B,1.55B,,,1.55B,,1.55B,,,,,1.305B,,1.305B,546.00M,546.00M,,1.502B,5.703B,,6.355B,,6.355B,,,,3.009B,,106.00M,,553.00M,9.917B,15.62B,1.509B,9.412B,4.71B,252.00M,349.00M,,,-3.228B,12.15B
2014-06,1.007B,,1.007B,2.955B,,1.868B,4.721B,107.00M,68.00M,902.00M,,1.077B,,,,1.174B,7.979B,,,,535.00M,1.433B,,,1.968B,,1.968B,9.431B,2.388B,11.82B,1.403B,,2.826B,,,2.513B,20.53B,28.51B,1.597B,,,1.597B,,1.597B,,,,,1.355B,,1.355B,524.00M,524.00M,,1.509B,5.69B,,6.354B,,6.354B,,,,3.117B,,118.00M,,593.00M,10.06B,15.75B,1.514B,9.226B,4.846B,148.00M,349.00M,,,-2.802B,12.64B
2014-03,1.567B,,1.567B,2.906B,,1.865B,4.667B,107.00M,65.00M,872.00M,,1.044B,,,,1.184B,8.462B,,,,541.00M,1.438B,,,1.979B,,1.979B,9.243B,2.436B,11.68B,1.384B,,2.844B,,,2.52B,20.41B,28.87B,1.568B,,,1.568B,,1.568B,,,,,2.109B,,2.109B,517.00M,517.00M,,1.603B,6.60B,,5.896B,,5.896B,,,,3.076B,,113.00M,,611.00M,9.583B,16.18B,1.535B,9.039B,5.04B,204.00M,349.00M,,,-2.838B,12.57B
2013-12,1.764B,,1.764B,2.764B,,1.89B,4.542B,101.00M,60.00M,837.00M,,998.00M,175.00M,147.00M,253.00M,505.00M,8.511B,0.0,50.00M,1.086B,4.894B,83.00M,66.00M,483.00M,6.662B,-4.637B,2.025B,9.205B,3.751B,12.96B,1.458B,,2.917B,,493.00M,621.00M,20.52B,29.04B,1.626B,84.00M,180.00M,1.89B,80.00M,1.97B,121.00M,5.00M,0.00,1.112B,1.117B,,1.117B,496.00M,583.00M,87.00M,1.161B,5.686B,20.00M,6.904B,,6.904B,286.00M,168.00M,454.00M,2.921B,,119.00M,,283.00M,10.58B,16.27B,1.559B,8.839B,5.282B,252.00M,349.00M,,,-2.779B,12.65B
2013-09,948.00M,,948.00M,2.843B,,1.979B,4.711B,115.00M,76.00M,961.00M,,1.152B,,,,1.259B,8.07B,,,,533.00M,1.485B,,,2.018B,,2.018B,9.169B,2.586B,11.76B,1.329B,,2.957B,,643.00M,2.244B,20.95B,29.02B,1.589B,,,1.589B,,1.589B,,,,,1.135B,,1.135B,483.00M,483.00M,,1.667B,5.646B,,6.406B,,6.406B,,,,3.68B,,134.00M,,755.00M,10.84B,16.49B,1.596B,8.608B,5.63B,162.00M,349.00M,,,-3.277B,12.40B
2013-06,929.00M,,929.00M,2.934B,,2.093B,4.914B,115.00M,87.00M,907.00M,,1.109B,,,,1.26B,8.212B,,,,516.00M,1.499B,,,2.015B,,2.015B,9.064B,2.656B,11.72B,1.273B,,3.188B,,667.00M,2.252B,21.12B,29.33B,1.731B,,,1.731B,,1.731B,,,,,1.783B,,1.783B,471.00M,471.00M,,1.621B,6.305B,,6.366B,,6.366B,,,,3.69B,,149.00M,,743.00M,10.80B,17.10B,1.582B,8.40B,5.614B,0.00,349.00M,,,-3.522B,12.07B
2013-03,993.00M,,993.00M,2.975B,,2.09B,4.956B,123.00M,69.00M,904.00M,,1.096B,,,,1.215B,8.26B,,,,520.00M,1.523B,,,2.043B,,2.043B,8.993B,2.724B,11.72B,1.332B,,3.213B,,697.00M,2.303B,21.30B,29.56B,1.656B,,,1.656B,,1.656B,,,,,1.107B,,1.107B,448.00M,448.00M,,1.63B,5.627B,,7.432B,,7.432B,,,,3.77B,,145.00M,,741.00M,11.94B,17.57B,1.577B,8.208B,5.56B,0.00,349.00M,,,-3.495B,11.85B
