,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.435B,2.435B,1.465B,970.00M,628.00M,100.00M,12.00M,-51.00M,29.00M,3.00M,-26.00M,,740.00M,230.00M,3.00M,29.00M,-26.00M,-70.00M,-26.00M,134.00M,40.00M,26.00M,,,-3.00M,4.00M,23.00M,57.35M,301.00M,138.00M,163.00M,0.08,,,,0.2149,0.08,0.08,,,,0.2134,0.08,254.66M,257.47M,0.25
2017-12,2.473B,2.473B,1.421B,1.052B,624.00M,106.00M,12.00M,-42.00M,30.00M,2.00M,-28.00M,,742.00M,310.00M,2.00M,30.00M,-28.00M,-101.00M,-28.00M,181.00M,431.00M,-327.00M,140.00M,,-3.00M,3.00M,-190.00M,-304.80M,339.00M,128.00M,211.00M,-0.78,0.02,,,-0.681,-0.76,-0.78,0.02,,,-0.6819,-0.76,254.59M,256.99M,0.25
2017-09,2.497B,2.497B,1.496B,1.001B,630.00M,105.00M,12.00M,-25.00M,29.00M,2.00M,-27.00M,,747.00M,254.00M,2.00M,29.00M,-27.00M,-60.00M,-27.00M,167.00M,18.00M,179.00M,3.00M,,-3.00M,4.00M,179.00M,198.30M,327.00M,131.00M,196.00M,0.68,0.01,,,0.7676,0.69,0.67,0.01,,,0.7547,0.68,254.51M,263.38M,0.25
2017-06,2.567B,2.567B,1.524B,1.043B,626.00M,102.00M,15.00M,-41.00M,24.00M,2.00M,-22.00M,,743.00M,300.00M,2.00M,24.00M,-22.00M,-85.00M,-22.00M,193.00M,43.00M,170.00M,,,-4.00M,3.00M,166.00M,198.63M,352.00M,135.00M,217.00M,0.64,0.0,,,0.7684,0.64,0.63,0.0,,,0.754,0.63,254.19M,263.21M,0.0625
2017-03,2.454B,2.454B,1.479B,975.00M,634.00M,111.00M,14.00M,-134.00M,36.00M,2.00M,-34.00M,,759.00M,216.00M,2.00M,36.00M,-34.00M,-198.00M,-34.00M,-16.00M,-24.00M,48.00M,-6.00M,,-2.00M,4.00M,40.00M,128.20M,153.00M,133.00M,20.00M,0.17,-0.03,,,0.4936,0.14,0.16,-0.03,,,0.4809,0.14,254.04M,256.14M,0.25
2016-12,2.734B,2.734B,1.596B,1.138B,580.00M,100.00M,14.00M,-89.00M,43.00M,0.00,-43.00M,,694.00M,444.00M,0.00,43.00M,-43.00M,-222.00M,-43.00M,179.00M,18.00M,188.00M,-1.028B,,-3.00M,6.00M,-843.00M,270.45M,359.00M,137.00M,222.00M,0.68,-4.06,,,1.0170000000000001,0.68,0.68,-4.06,,,1.012,0.68,253.54M,257.20M,0.31
2016-09,2.629B,2.629B,1.592B,1.037B,664.00M,118.00M,14.00M,-26.00M,42.00M,2.00M,-40.00M,,796.00M,241.00M,2.00M,42.00M,-40.00M,-35.00M,-40.00M,166.00M,28.00M,178.00M,8.00M,,-3.00M,6.00M,183.00M,199.93M,348.00M,140.00M,208.00M,0.66,0.03,,,0.7584,0.69,0.66,0.03,,,0.7573,0.69,253.43M,256.32M,0.31
2016-06,2.793B,2.793B,1.681B,1.112B,691.00M,119.00M,16.00M,-54.00M,42.00M,2.00M,-40.00M,,826.00M,286.00M,2.00M,42.00M,-40.00M,-55.00M,-40.00M,191.00M,18.00M,199.00M,-38.00M,,-3.00M,6.00M,158.00M,244.02M,377.00M,144.00M,233.00M,0.75,-0.15,,,0.9396,0.6,0.75,-0.15,,,0.9379,0.6,253.32M,255.50M,0.31
2016-03,2.615B,2.615B,1.597B,1.018B,701.00M,126.00M,14.00M,-85.00M,54.00M,1.00M,-53.00M,,841.00M,177.00M,1.00M,54.00M,-53.00M,-92.00M,-53.00M,32.00M,-2.00M,71.00M,-35.00M,,-2.00M,6.00M,34.00M,152.39M,228.00M,142.00M,86.00M,0.24,-0.12,,,0.5693,0.12,0.24,-0.12,,,0.5669,0.12,253.26M,255.13M,0.31
2015-12,-1.927B,-1.927B,-2.702B,775.00M,189.00M,93.00M,-173.00M,202.00M,49.00M,0.00,-49.00M,,109.00M,666.00M,0.00,49.00M,-49.00M,205.00M,-49.00M,822.00M,268.00M,560.00M,-310.00M,,-5.00M,6.00M,245.00M,416.84M,698.00M,-320.00M,871.00M,1.12,0.0,,,0.5771,1.12,1.08,0.0,,,0.5409,1.08,254.51M,256.26M,0.28
2015-09,4.333B,4.333B,3.346B,987.00M,855.00M,135.00M,77.00M,-29.00M,55.00M,2.00M,-53.00M,,1.067B,-80.00M,2.00M,55.00M,-53.00M,-40.00M,-53.00M,-173.00M,-105.00M,-28.00M,-3.00M,,-3.00M,6.00M,-34.00M,-8.80M,199.00M,317.00M,-118.00M,-0.16,0.0,,,-0.075,-0.16,-0.16,0.0,,,-0.075,-0.16,261.28M,261.28M,0.28
2015-06,4.59B,4.59B,3.164B,1.426B,906.00M,142.00M,79.00M,-169.00M,56.00M,2.00M,-54.00M,,1.127B,299.00M,2.00M,56.00M,-54.00M,-171.00M,-54.00M,74.00M,-9.00M,112.00M,-95.00M,,-5.00M,6.00M,12.00M,250.99M,427.00M,297.00M,130.00M,0.36,-0.32,,,0.8895,0.04,0.36,-0.32,,,0.8811,0.04,271.93M,276.32M,0.28
2015-03,4.469B,4.469B,3.075B,1.394B,915.00M,141.00M,77.00M,0.00,56.00M,2.00M,-54.00M,,1.133B,261.00M,2.00M,56.00M,-54.00M,-6.00M,-54.00M,201.00M,39.00M,196.00M,34.00M,,-5.00M,6.00M,225.00M,192.61M,553.00M,296.00M,257.00M,0.68,0.12,,,0.6858,0.8,0.64,0.12,,,0.6457,0.76,277.50M,281.65M,0.28
2014-12,-1.828B,-1.828B,-2.308B,480.00M,287.00M,104.00M,-167.00M,10.00M,47.00M,2.00M,-45.00M,,224.00M,256.00M,2.00M,47.00M,-45.00M,21.00M,-45.00M,232.00M,17.00M,256.00M,-50.00M,,-6.00M,6.00M,200.00M,251.85M,112.00M,-431.00M,279.00M,1.04,-0.52,,,1.047,0.52,1.04,-0.52,,,1.046,0.52,281.78M,285.86M,0.25
2014-09,4.795B,4.795B,3.253B,1.542B,942.00M,139.00M,77.00M,-37.00M,56.00M,2.00M,-54.00M,,1.158B,384.00M,2.00M,56.00M,-54.00M,-44.00M,-54.00M,286.00M,66.00M,264.00M,8.00M,,-6.00M,6.00M,266.00M,285.68M,691.00M,349.00M,342.00M,0.88,0.04,,,0.9764,0.92,0.84,0.04,,,0.935,0.88,287.28M,291.36M,0.25
2014-06,4.941B,4.941B,3.356B,1.585B,959.00M,143.00M,78.00M,-42.00M,60.00M,3.00M,-57.00M,,1.18B,405.00M,3.00M,60.00M,-57.00M,-47.00M,-57.00M,301.00M,73.00M,261.00M,11.00M,,-6.00M,6.00M,266.00M,283.77M,737.00M,376.00M,361.00M,0.84,0.04,,,0.9391,0.88,0.84,0.04,,,0.9374,0.88,290.21M,295.19M,0.25
2014-03,4.771B,4.771B,3.268B,1.503B,945.00M,145.00M,77.00M,1.00M,63.00M,2.00M,-61.00M,,1.167B,336.00M,2.00M,63.00M,-61.00M,-4.00M,-61.00M,271.00M,42.00M,271.00M,15.00M,,-5.00M,6.00M,281.00M,264.31M,679.00M,345.00M,334.00M,0.88,0.04,,,0.8743,0.92,0.88,0.04,,,0.8744,0.92,294.71M,299.44M,0.25
2013-12,4.213B,4.213B,2.657B,1.556B,983.00M,155.00M,56.00M,-31.00M,57.00M,2.00M,-55.00M,,1.194B,362.00M,2.00M,57.00M,-55.00M,-31.00M,-55.00M,276.00M,50.00M,269.00M,42.00M,,-5.00M,6.00M,306.00M,286.11M,679.00M,346.00M,333.00M,1.0,0.0,,,1.073,1.0,1.0,-0.04,,,1.071,0.96,302.40M,310.83M,0.23
2013-09,5.235B,5.235B,3.585B,1.65B,1.015B,145.00M,83.00M,-15.00M,60.00M,3.00M,-57.00M,,1.243B,407.00M,3.00M,60.00M,-57.00M,-16.00M,-57.00M,334.00M,85.00M,292.00M,-1.00M,,-5.00M,6.00M,286.00M,293.71M,734.00M,340.00M,394.00M,0.92,0.0,,,0.9417,0.92,0.88,0.0,,,0.9009,0.88,309.12M,321.39M,0.23
2013-06,5.391B,5.391B,3.694B,1.697B,1.041B,149.00M,83.00M,-29.00M,62.00M,4.00M,-58.00M,,1.273B,424.00M,4.00M,62.00M,-58.00M,-34.00M,-58.00M,332.00M,68.00M,300.00M,-23.00M,,-6.00M,6.00M,271.00M,315.46M,737.00M,343.00M,394.00M,0.96,-0.08,,,1.03,0.88,0.92,-0.08,,,0.9867,0.84,307.60M,321.80M,0.23
2013-03,5.202B,5.202B,3.616B,1.586B,1.04B,154.00M,83.00M,41.00M,61.00M,2.00M,-59.00M,,1.277B,309.00M,2.00M,61.00M,-59.00M,50.00M,-59.00M,300.00M,50.00M,297.00M,3.00M,,-4.00M,6.00M,296.00M,250.52M,690.00M,329.00M,361.00M,0.92,0.0,,,0.7813,0.92,0.92,0.0,,,0.7873,0.92,306.32M,320.11M,0.23
2012-12,4.447B,4.447B,2.759B,1.688B,1.002B,160.00M,55.00M,-93.00M,57.00M,3.00M,-54.00M,,1.217B,471.00M,3.00M,57.00M,-54.00M,-99.00M,-54.00M,318.00M,55.00M,310.00M,33.00M,,-8.00M,6.00M,335.00M,380.57M,711.00M,336.00M,375.00M,1.04,0.08,,,1.2919999999999998,1.04,1.04,0.08,,,1.288,1.04,311.74M,317.43M,0.17
2012-09,5.275B,5.275B,3.614B,1.661B,1.032B,161.00M,82.00M,-21.00M,56.00M,3.00M,-53.00M,,1.275B,386.00M,3.00M,56.00M,-53.00M,-19.00M,-53.00M,314.00M,62.00M,286.00M,2.00M,,-6.00M,6.00M,282.00M,292.85M,709.00M,339.00M,370.00M,0.84,0.0,,,0.8797,0.84,0.84,0.0,,,0.879,0.84,323.38M,329.72M,0.17
2012-06,5.368B,5.368B,3.617B,1.751B,1.057B,161.00M,82.00M,-33.00M,59.00M,4.00M,-55.00M,,1.30B,451.00M,4.00M,59.00M,-55.00M,-49.00M,-55.00M,347.00M,64.00M,314.00M,2.00M,,-7.00M,6.00M,309.00M,337.19M,719.00M,313.00M,406.00M,0.92,0.0,,,1.011,0.92,0.88,0.0,,,0.9684,0.88,333.49M,341.55M,0.17
2012-03,5.503B,5.503B,3.795B,1.708B,1.068B,173.00M,82.00M,-21.00M,56.00M,3.00M,-53.00M,,1.323B,385.00M,3.00M,56.00M,-53.00M,-19.00M,-53.00M,313.00M,77.00M,276.00M,,,-7.00M,6.00M,269.00M,279.56M,682.00M,313.00M,369.00M,0.8,,,,0.8316,0.8,0.76,,,,0.7908,0.76,334.35M,342.22M,0.17
2011-12,5.719B,5.719B,3.42B,2.299B,1.074B,177.00M,139.00M,75.00M,56.00M,-477.00M,-533.00M,,1.39B,909.00M,-477.00M,56.00M,-533.00M,41.00M,-533.00M,417.00M,93.00M,362.00M,,,-8.00M,6.00M,375.00M,296.50M,834.00M,361.00M,473.00M,1.0,0.08,,,0.8304,1.08,1.0,0.08,,,0.8446,1.08,338.95M,370.01M,0.17
2011-09,5.427B,5.427B,3.755B,1.672B,1.109B,183.00M,87.00M,-17.00M,60.00M,161.00M,101.00M,,1.379B,293.00M,161.00M,60.00M,101.00M,-27.00M,101.00M,367.00M,81.00M,329.00M,,,-9.00M,6.00M,320.00M,341.04M,728.00M,301.00M,427.00M,0.92,0.0,,,0.9803,0.92,0.88,0.0,,,0.939,0.88,349.04M,356.42M,0.17
2011-06,5.451B,5.451B,3.737B,1.714B,1.119B,175.00M,87.00M,-36.00M,64.00M,168.00M,104.00M,,1.381B,333.00M,168.00M,64.00M,104.00M,-36.00M,104.00M,401.00M,108.00M,327.00M,,,-8.00M,6.00M,319.00M,345.30M,763.00M,298.00M,465.00M,0.88,0.0,,,0.955,0.88,0.88,0.0,,,0.955,0.88,350.55M,350.55M,0.17
2011-03,5.303B,5.303B,3.664B,1.639B,1.119B,184.00M,85.00M,-105.00M,127.00M,331.00M,204.00M,,1.388B,251.00M,331.00M,127.00M,204.00M,-105.00M,204.00M,350.00M,95.00M,289.00M,,,-8.00M,,281.00M,357.50M,768.00M,291.00M,477.00M,0.8,0.0,,,1.0190000000000001,0.8,0.76,0.0,,,0.9731,0.76,350.02M,358.98M,0.17
2010-12,6.474B,6.474B,3.722B,2.752B,1.196B,193.00M,85.00M,-287.00M,324.00M,-492.00M,-816.00M,,1.474B,1.278B,-492.00M,324.00M,-816.00M,-285.00M,-816.00M,177.00M,24.00M,179.00M,,,-8.00M,,171.00M,400.93M,794.00M,293.00M,501.00M,0.48,,,,1.143,0.48,0.44,,,,1.054,0.44,346.97M,374.27M,0.17
2010-09,5.267B,5.267B,3.605B,1.662B,1.136B,189.00M,85.00M,-2.00M,87.00M,165.00M,78.00M,,1.41B,252.00M,165.00M,87.00M,78.00M,-2.00M,78.00M,328.00M,98.00M,256.00M,,,-6.00M,,250.00M,251.40M,699.00M,284.00M,415.00M,0.72,0.0,,,0.724,0.72,0.68,0.0,,,0.684,0.68,346.78M,346.78M,0.17
2010-06,5.344B,5.344B,3.592B,1.752B,1.163B,194.00M,85.00M,-68.00M,92.00M,168.00M,76.00M,,1.442B,310.00M,168.00M,92.00M,76.00M,-66.00M,76.00M,320.00M,112.00M,236.00M,,,-9.00M,6.00M,227.00M,269.90M,691.00M,279.00M,412.00M,0.64,0.0,,,0.7641,0.64,0.64,0.0,,,0.7641,0.64,345.82M,345.82M,0.17
2010-03,4.548B,4.548B,3.017B,1.531B,1.099B,205.00M,57.00M,-269.00M,89.00M,178.00M,89.00M,,1.361B,170.00M,178.00M,89.00M,89.00M,-269.00M,89.00M,-10.00M,22.00M,-34.00M,,,-8.00M,,-42.00M,132.85M,320.00M,241.00M,79.00M,-0.16,0.0,,,0.4349,-0.16,-0.16,0.0,,,0.4349,-0.16,293.93M,293.93M,0.17
2009-12,4.042B,3.506B,2.741B,765.00M,1.125B,225.00M,16.00M,-84.00M,52.00M,198.00M,146.00M,,607.00M,158.00M,198.00M,52.00M,146.00M,-110.00M,146.00M,194.00M,274.00M,191.00M,,,-11.00M,,180.00M,234.60M,431.00M,185.00M,246.00M,0.84,0.0,,,1.091,0.84,0.8,0.0,,,1.045,0.8,217.82M,223.15M,0.17
2009-09,3.497B,3.675B,2.144B,1.531B,1.007B,209.00M,15.00M,-7.00M,67.00M,178.00M,111.00M,246.00M,1.477B,54.00M,178.00M,67.00M,111.00M,-7.00M,111.00M,158.00M,-44.00M,129.00M,,,-6.00M,,123.00M,127.55M,401.00M,176.00M,225.00M,0.56,0.0,,,0.5809,0.56,0.56,0.0,,,0.5806,0.56,217.83M,220.69M,0.17
2009-06,3.553B,3.731B,2.165B,1.566B,1.013B,202.00M,15.00M,1.00M,131.00M,184.00M,53.00M,15.00M,1.245B,321.00M,184.00M,131.00M,53.00M,1.00M,53.00M,197.00M,-59.00M,147.00M,,,-7.00M,,140.00M,139.35M,496.00M,168.00M,328.00M,0.64,0.0,,,0.637,0.64,0.64,0.0,,,0.637,0.64,217.54M,219.73M,0.17
2009-03,3.374B,3.554B,2.104B,1.45B,1.006B,204.00M,14.00M,2.00M,130.00M,185.00M,55.00M,25.00M,1.249B,201.00M,185.00M,130.00M,55.00M,2.00M,55.00M,78.00M,19.00M,49.00M,,,-7.00M,,42.00M,40.49M,377.00M,169.00M,208.00M,0.2,0.0,,,0.193,0.2,0.2,0.0,,,0.1931,0.2,216.74M,219.46M,0.17
2008-12,4.185B,3.572B,2.947B,625.00M,300.00M,212.00M,14.00M,-1.121B,-162.00M,191.00M,353.00M,,507.00M,118.00M,191.00M,-162.00M,353.00M,-1.155B,353.00M,-71.00M,-59.00M,9.00M,,,-8.00M,,1.00M,729.65M,-62.00M,171.00M,-233.00M,0.0,0.0,,,3.355,0.0,0.0,0.0,,,3.3310000000000004,0.0,217.20M,218.74M,0.17
2008-09,4.173B,4.37B,2.581B,1.789B,1.138B,228.00M,14.00M,-14.00M,146.00M,205.00M,59.00M,10.00M,1.39B,399.00M,205.00M,146.00M,59.00M,-14.00M,59.00M,247.00M,15.00M,267.00M,,,-9.00M,,258.00M,271.15M,568.00M,175.00M,393.00M,1.2,0.0,,,1.26,1.2,1.16,0.0,,,1.219,1.16,217.71M,221.72M,0.17
2008-06,4.326B,4.533B,2.675B,1.858B,1.176B,223.00M,13.00M,-63.00M,144.00M,216.00M,72.00M,-6.00M,1.406B,452.00M,216.00M,144.00M,72.00M,-63.00M,72.00M,254.00M,59.00M,224.00M,,,-9.00M,,215.00M,263.37M,576.00M,178.00M,398.00M,0.96,0.0,,,1.177,0.96,0.96,0.0,,,1.1740000000000002,0.96,222.45M,225.67M,0.17
2008-03,4.335B,4.335B,2.55B,1.785B,1.919B,221.00M,13.00M,-3.00M,134.00M,221.00M,87.00M,16.00M,2.169B,-384.00M,221.00M,134.00M,87.00M,-3.00M,87.00M,-509.00M,-246.00M,-235.00M,,,-9.00M,,-244.00M,-242.05M,-230.00M,145.00M,-375.00M,-1.08,0.0,,,-1.071,-1.08,-1.08,0.0,,,-1.071,-1.08,227.72M,227.72M,0.17
2007-12,4.06B,4.06B,2.826B,1.234B,1.186B,238.00M,13.00M,9.00M,,,,,1.437B,-203.00M,,,,46.00M,,470.00M,125.00M,382.00M,,,,,382.00M,375.39M,-32.00M,171.00M,-203.00M,1.64,0.0,,,1.611,1.64,1.6,0.0,,,1.571,1.6,228.97M,228.97M,0.17
2007-09,4.302B,4.302B,2.499B,1.803B,1.091B,233.00M,13.00M,0.00,,,,,1.337B,466.00M,,,,27.00M,,324.00M,97.00M,254.00M,,,,,254.00M,254.00M,637.00M,171.00M,466.00M,1.08,0.0,,,1.08,1.08,1.08,0.0,,,1.08,1.08,235.19M,235.19M,0.0
2007-06,4.208B,4.208B,2.434B,1.774B,1.081B,223.00M,10.00M,-10.00M,,,,,1.314B,460.00M,,,,17.00M,,315.00M,76.00M,266.00M,,,,,266.00M,273.59M,622.00M,162.00M,460.00M,1.12,0.0,,,1.1520000000000001,1.12,1.12,0.0,,,1.1520000000000001,1.12,237.50M,237.50M,0.0
2007-03,3.836B,3.836B,2.28B,1.556B,954.00M,218.00M,,-14.00M,,,,,1.172B,384.00M,,,,-8.00M,,329.00M,102.00M,233.00M,,,,,233.00M,242.66M,536.00M,152.00M,384.00M,1.0,0.0,,,1.041,1.0,0.96,0.0,,,0.9998,0.96,233.00M,242.71M,0.0
2006-12,3.539B,3.539B,2.276B,1.263B,1.02B,237.00M,,-64.00M,,,,,1.298B,-35.00M,,,,-35.00M,,244.00M,59.00M,214.00M,,,,0.00,214.00M,262.52M,120.00M,155.00M,-35.00M,0.88,0.0,,,1.082,0.88,0.88,0.0,,,1.082,0.88,240.67M,240.67M,0.0
2006-09,3.844B,3.844B,2.30B,1.544B,985.00M,230.00M,,-238.00M,,,,,1.215B,329.00M,,,,-209.00M,,91.00M,-416.00M,536.00M,,,,,536.00M,678.80M,492.00M,163.00M,329.00M,2.2,0.0,,,2.786,2.2,2.16,0.0,,,2.735,2.16,243.64M,248.15M,0.0
2006-06,3.977B,3.977B,2.344B,1.633B,1.02B,230.00M,,-118.00M,,,,,1.25B,383.00M,,,,-101.00M,,265.00M,22.00M,260.00M,,,,15.00M,260.00M,368.20M,546.00M,163.00M,383.00M,1.08,0.0,,,1.557,1.08,1.04,0.0,,,1.499,1.04,226.85M,235.58M,0.0
2006-03,3.695B,3.695B,2.211B,1.484B,983.00M,225.00M,,-68.00M,,,,,1.208B,276.00M,,,,-29.00M,,208.00M,47.00M,200.00M,,,,14.00M,200.00M,252.63M,431.00M,155.00M,276.00M,0.8,0.0,,,1.026,0.8,0.8,0.0,,,1.026,0.8,232.50M,232.50M,0.0
2005-12,4.039B,3.375B,2.415B,960.00M,1.044B,234.00M,,-134.00M,,,,,1.278B,-318.00M,,,,-116.00M,,347.00M,83.00M,282.00M,0.00,0.00,,15.00M,282.00M,383.95M,-161.00M,157.00M,-318.00M,1.12,-0.04,0.0,,1.548,1.12,1.12,-0.04,-0.0001,,1.548,1.12,238.11M,238.11M,0.0
2005-09,3.543B,3.759B,2.125B,1.634B,1.011B,242.00M,,-223.00M,,,,,1.253B,381.00M,,,,-200.00M,,77.00M,29.00M,71.00M,,-8.00M,,14.00M,63.00M,210.01M,535.00M,154.00M,381.00M,0.24,0.0,0.0,,0.8074,0.2,0.24,0.0,-0.0327,,0.8074,0.2,245.00M,245.00M,0.0
2005-06,3.701B,3.921B,2.307B,1.614B,1.046B,188.00M,10.00M,-196.00M,,,,,1.244B,370.00M,,,,-176.00M,,117.00M,-233.00M,370.00M,53.00M,,,15.00M,423.00M,487.60M,537.00M,167.00M,370.00M,1.48,0.24,,,1.976,1.72,1.4,0.2,,,1.861,1.6,237.21M,255.00M,0.0
2005-03,3.543B,3.771B,2.109B,1.662B,1.009B,225.00M,,175.00M,,,,,1.234B,428.00M,,,,212.00M,,289.00M,116.00M,210.00M,,,,14.00M,210.00M,105.00M,587.00M,159.00M,428.00M,0.8,0.0,,,0.3714,0.8,0.8,0.0,,,0.3714,0.8,245.00M,245.00M,0.0
2004-12,4.094B,4.326B,2.469B,1.857B,1.081B,230.00M,,-133.00M,,,,,1.311B,546.00M,,,,-101.00M,,328.00M,120.00M,240.00M,0.00,,,14.00M,240.00M,324.34M,721.00M,175.00M,546.00M,1.04,0.0,,,1.426,1.04,0.92,0.0,,,1.261,0.92,218.52M,247.29M,0.0
