,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,249.89M,,249.89M,885.92M,382.78M,1.269B,427.62M,182.37M,219.28M,,829.28M,,,117.96M,2.466B,,,,,,1.028B,-454.54M,573.40M,2.529B,1.232B,3.761B,,76.02M,4.410B,6.876B,608.32M,608.32M,441.51M,1.050B,,49.56M,49.56M,378.16M,378.16M,,1.648B,1.871B,1.871B,182.78M,182.78M,16.95M,105.56M,19.11M,63.14M,2.240B,3.888B,1.323M,2.850B,907.80M,824.16M,,,34.02M,2.969B
2017-12,233.40M,,233.40M,800.62M,366.17M,1.167B,378.48M,167.39M,196.76M,,742.63M,0.00,,122.29M,2.265B,0.00,38.23M,259.56M,728.26M,,1.026B,-452.07M,573.97M,2.460B,1.204B,3.665B,,76.36M,4.315B,6.580B,552.52M,552.52M,439.65M,992.18M,,47.22M,47.22M,369.72M,369.72M,,1.573B,1.823B,1.823B,175.90M,175.90M,15.52M,103.73M,19.66M,59.66M,2.178B,3.751B,1.323M,2.773B,906.62M,827.38M,,,-44.99M,2.809B
2017-09,228.08M,,228.08M,792.73M,351.61M,1.144B,391.21M,196.32M,177.26M,,764.78M,0.00,,139.92M,2.277B,,,,,,988.22M,-437.86M,550.37M,2.385B,1.140B,3.525B,,97.01M,4.173B,6.450B,512.90M,512.90M,377.02M,889.92M,,49.75M,49.75M,373.82M,373.82M,,1.465B,1.824B,1.824B,282.56M,282.56M,13.80M,108.18M,18.67M,19.15M,2.248B,3.713B,1.323M,2.736B,900.54M,828.10M,,,-91.93M,2.718B
2017-06,328.52M,,328.52M,812.73M,316.26M,1.129B,378.57M,185.29M,182.38M,,746.24M,0.00,,141.06M,2.345B,,,,,,975.60M,-427.76M,547.84M,2.344B,1.129B,3.473B,,73.12M,4.094B,6.439B,548.15M,548.15M,363.36M,911.51M,,50.69M,50.69M,373.36M,373.36M,,1.482B,1.935B,1.935B,287.38M,287.38M,13.98M,112.93M,17.51M,23.38M,2.372B,3.854B,1.323M,2.680B,898.46M,828.37M,,,-184.55M,2.567B
2017-03,280.18M,,280.18M,754.36M,297.18M,1.052B,360.37M,166.14M,177.36M,,703.88M,0.00,,130.63M,2.166B,,,,,,935.90M,-411.84M,524.06M,2.189B,1.089B,3.278B,,62.99M,3.865B,6.031B,512.23M,512.23M,378.44M,890.67M,,87.37M,87.37M,351.60M,351.60M,,1.471B,1.783B,1.783B,258.23M,258.23M,13.85M,110.12M,17.18M,25.90M,2.191B,3.662B,1.323M,2.618B,894.38M,830.03M,,,-331.65M,2.352B
2016-12,398.48M,,398.48M,667.60M,274.91M,942.51M,331.46M,145.46M,181.58M,,658.51M,744.75M,,123.38M,2.868B,0.00,41.57M,225.31M,645.35M,,912.23M,-393.85M,518.38M,2.079B,1.054B,3.133B,,62.39M,3.713B,6.581B,530.21M,530.21M,384.70M,914.92M,,129.81M,129.81M,256.59M,256.59M,,1.447B,1.763B,1.763B,245.68M,245.68M,15.80M,110.60M,770.85M,22.51M,2.158B,3.604B,1.323M,2.553B,869.95M,838.95M,,,-379.60M,2.206B
2016-09,250.38M,,250.38M,477.50M,146.73M,624.23M,200.02M,174.57M,121.41M,,496.00M,210.02M,75.74M,38.76M,1.695B,,,,,,750.55M,-392.58M,357.97M,877.05M,457.26M,1.334B,,40.74M,1.733B,3.428B,276.54M,276.54M,184.56M,461.10M,,0.134M,0.134M,108.72M,108.72M,,624.94M,819.77M,819.77M,156.90M,156.90M,17.64M,55.61M,3.417M,22.81M,1.073B,1.698B,1.323M,2.524B,470.91M,983.46M,,,-286.06M,1.727B
2016-06,302.94M,,302.94M,440.90M,145.45M,586.35M,197.03M,169.97M,126.45M,,493.44M,206.21M,75.70M,35.71M,1.700B,,,,,,730.05M,-381.40M,348.65M,860.03M,430.36M,1.290B,,39.83M,1.679B,3.379B,305.16M,305.16M,186.25M,491.41M,,0.115M,0.115M,110.97M,110.97M,,664.55M,744.14M,744.14M,145.57M,145.57M,18.78M,56.49M,3.302M,23.83M,988.80M,1.653B,1.323M,2.451B,466.55M,905.88M,,,-290.35M,1.723B
2016-03,262.77M,,262.77M,475.66M,144.13M,619.79M,182.78M,175.92M,120.03M,,478.72M,212.77M,72.24M,40.27M,1.687B,,,,,,730.53M,-376.66M,353.87M,867.62M,437.10M,1.305B,,35.58M,1.694B,3.381B,304.25M,304.25M,193.37M,497.62M,,0.101M,0.101M,100.74M,100.74M,,657.67M,801.88M,801.88M,141.34M,141.34M,18.31M,59.55M,1.825M,23.64M,1.045B,1.702B,1.323M,2.368B,462.81M,906.09M,,,-249.10M,1.677B
2015-12,226.19M,,226.19M,494.98M,103.81M,598.79M,218.25M,131.72M,128.61M,,478.57M,202.94M,,33.52M,1.540B,0.00,41.67M,170.67M,504.96M,,717.30M,-364.10M,353.19M,858.53M,440.55M,1.299B,,37.23M,1.690B,3.230B,319.52M,319.52M,168.30M,487.83M,,0.433M,0.433M,106.13M,106.13M,0.494M,664.78M,691.80M,691.80M,72.52M,72.52M,19.39M,55.76M,1.732M,23.92M,863.40M,1.528B,1.323M,2.281B,469.33M,775.12M,,,-276.72M,1.700B
2015-09,208.24M,,208.24M,474.21M,151.13M,625.34M,188.33M,196.38M,132.78M,,517.49M,209.13M,46.02M,43.87M,1.650B,,,,,,707.92M,-356.69M,351.23M,853.00M,436.99M,1.290B,,34.77M,1.676B,3.326B,319.22M,319.22M,156.63M,475.85M,,0.43M,0.43M,106.89M,106.89M,,654.65M,450.59M,450.59M,113.76M,113.76M,22.26M,78.44M,1.294M,20.95M,685.99M,1.341B,1.323M,2.187B,463.15M,409.79M,,,-257.21M,1.984B
2015-06,264.84M,,264.84M,505.54M,174.73M,680.27M,202.42M,186.07M,146.51M,,535.00M,,44.21M,55.64M,1.580B,,,,,,711.97M,-355.00M,356.97M,864.92M,454.58M,1.320B,,41.73M,1.718B,3.298B,377.46M,377.46M,156.04M,533.49M,,0.478M,0.478M,98.64M,98.64M,,699.53M,400.35M,400.35M,118.40M,118.40M,22.35M,79.43M,0.984M,21.73M,642.26M,1.342B,1.323M,2.095B,456.50M,388.00M,,,-209.70M,1.955B
2015-03,249.14M,,249.14M,495.71M,169.96M,665.67M,206.20M,178.81M,130.94M,,515.94M,,44.42M,28.77M,1.504B,,,,,,693.96M,-344.91M,349.04M,834.16M,441.39M,1.276B,,39.01M,1.664B,3.168B,381.28M,381.28M,144.15M,525.44M,,0.579M,0.579M,106.88M,106.88M,,695.77M,420.41M,420.41M,113.79M,113.79M,21.54M,78.06M,1.107M,20.59M,654.38M,1.350B,1.323M,2.000B,449.60M,388.61M,,,-245.58M,1.816B
2014-12,425.85M,,425.85M,443.46M,187.76M,631.23M,222.06M,154.09M,134.80M,,510.95M,,43.95M,25.89M,1.638B,0.00,23.44M,180.23M,479.37M,,683.03M,-343.92M,339.11M,862.34M,422.80M,1.285B,,41.72M,1.666B,3.304B,399.84M,399.84M,154.75M,554.59M,,0.792M,0.792M,111.80M,111.80M,0.762M,738.80M,520.40M,520.40M,112.92M,112.92M,19.82M,81.91M,1.056M,21.70M,756.74M,1.496B,1.323M,1.909B,448.53M,392.26M,,,-159.49M,1.807B
2014-09,212.54M,,212.54M,474.93M,240.18M,715.11M,192.04M,155.57M,141.44M,,489.05M,,52.24M,64.87M,1.534B,,,,,,682.30M,-339.93M,342.36M,864.46M,441.39M,1.306B,,38.22M,1.686B,3.228B,389.28M,389.28M,145.44M,534.72M,,0.955M,0.955M,74.90M,74.90M,,674.75M,521.09M,521.09M,143.55M,143.55M,17.20M,62.37M,0.952M,19.82M,764.03M,1.439B,1.323M,1.822B,441.87M,392.48M,,,-84.28M,1.789B
2014-06,225.91M,,225.91M,465.09M,251.96M,717.05M,178.49M,167.24M,135.78M,,481.51M,,52.52M,49.87M,1.527B,,,,,,679.52M,-336.36M,343.15M,821.57M,435.39M,1.257B,,36.86M,1.637B,3.164B,397.37M,397.37M,141.62M,538.99M,,0.681M,0.681M,72.37M,72.37M,,668.42M,500.22M,500.22M,135.56M,135.56M,19.56M,47.97M,1.376M,26.44M,729.76M,1.398B,1.323M,1.738B,434.20M,383.10M,,,-25.96M,1.764B
2014-03,295.10M,,295.10M,388.86M,247.79M,636.65M,163.82M,151.28M,104.95M,,420.06M,,51.90M,30.46M,1.434B,,,,,,598.27M,-324.62M,273.65M,787.61M,380.56M,1.168B,,40.54M,1.482B,2.917B,345.31M,345.31M,116.94M,462.25M,,0.386M,0.386M,67.07M,67.07M,,580.90M,450.25M,450.25M,118.18M,118.18M,18.84M,49.63M,1.361M,18.32M,655.23M,1.236B,1.323M,1.653B,427.97M,369.21M,,,-34.06M,1.679B
2013-12,285.76M,,285.76M,349.46M,205.04M,554.50M,165.91M,137.45M,99.87M,,403.23M,,50.62M,38.93M,1.333B,0.00,16.27M,138.47M,443.00M,,597.74M,-321.66M,276.08M,786.43M,385.68M,1.172B,,40.76M,1.489B,2.822B,326.67M,326.67M,128.20M,454.86M,,0.421M,0.421M,66.57M,66.57M,0.485M,579.40M,450.29M,450.29M,114.49M,114.49M,17.40M,50.00M,1.908M,23.26M,655.43M,1.235B,1.323M,1.577B,415.06M,372.97M,,,-34.86M,1.585B
2013-09,281.01M,,281.01M,570.28M,,570.28M,167.79M,135.53M,96.97M,,400.30M,,61.21M,31.65M,1.344B,,,,,,585.36M,-318.40M,266.95M,790.76M,376.16M,1.167B,,38.70M,1.473B,2.817B,288.03M,288.03M,131.14M,419.17M,,0.085M,0.085M,70.90M,70.90M,,541.76M,539.61M,539.61M,118.46M,118.46M,18.52M,60.30M,4.376M,21.29M,758.17M,1.300B,1.323M,1.507B,402.53M,345.60M,,,-52.08M,1.513B
2013-06,214.50M,,214.50M,488.45M,,488.45M,181.12M,128.88M,95.93M,,405.94M,,60.38M,20.72M,1.190B,,,,,,549.57M,-308.61M,240.97M,714.95M,329.81M,1.045B,,40.65M,1.326B,2.516B,272.52M,272.52M,125.05M,397.57M,,0.043M,0.043M,80.47M,80.47M,,524.27M,396.92M,396.92M,87.74M,87.74M,17.44M,62.99M,4.446M,21.33M,586.41M,1.111B,1.323M,1.437B,390.80M,341.31M,,,-86.11M,1.401B
2013-03,225.34M,,225.34M,432.80M,,432.80M,202.54M,125.21M,100.83M,,428.58M,,60.91M,21.36M,1.169B,,,,,,563.50M,-320.78M,242.72M,728.02M,325.29M,1.053B,,41.16M,1.337B,2.506B,267.44M,267.44M,163.95M,431.39M,,0.043M,0.043M,84.45M,84.45M,,560.98M,417.53M,417.53M,89.56M,89.56M,17.88M,63.65M,4.887M,25.31M,613.93M,1.175B,0.662M,1.365B,382.03M,342.00M,,,-79.30M,1.326B
2012-12,215.77M,,215.77M,292.79M,97.13M,389.92M,186.34M,129.60M,91.09M,,407.04M,,60.89M,19.32M,1.093B,0.00,16.30M,129.87M,409.76M,,555.92M,-311.84M,244.09M,666.02M,308.30M,974.32M,0.183M,39.99M,1.259B,2.352B,248.59M,248.59M,167.96M,416.55M,,0.043M,0.043M,82.81M,82.81M,0.435M,553.06M,317.85M,317.85M,91.18M,91.18M,18.35M,66.39M,5.187M,22.70M,516.47M,1.070B,1.323M,1.297B,381.35M,349.39M,,,-53.56M,1.277B
2012-09,282.06M,,282.06M,430.23M,,430.23M,165.14M,135.15M,91.30M,,391.59M,,58.59M,21.58M,1.184B,,,,,,534.69M,-305.54M,229.15M,656.93M,284.89M,941.82M,,41.02M,1.212B,2.396B,235.57M,235.57M,151.23M,386.80M,,0.043M,0.043M,104.40M,104.40M,,540.69M,432.85M,432.85M,91.28M,91.28M,18.94M,59.86M,5.751M,21.40M,624.33M,1.165B,0.662M,1.235B,375.98M,331.71M,,,-55.08M,1.225B
2012-06,234.10M,,234.10M,442.14M,,442.14M,162.98M,131.13M,94.69M,,388.80M,,58.81M,19.61M,1.143B,,,,,,526.65M,-299.94M,226.71M,623.93M,297.69M,921.62M,,40.11M,1.188B,2.332B,249.46M,249.46M,172.51M,421.97M,,0.043M,0.043M,84.07M,84.07M,,550.31M,443.09M,443.09M,90.42M,90.42M,18.69M,60.50M,3.087M,14.73M,627.43M,1.178B,0.662M,1.175B,368.92M,327.02M,,,-66.30M,1.151B
2012-03,269.30M,,269.30M,396.49M,,396.49M,164.18M,118.79M,87.77M,,370.74M,,57.33M,20.16M,1.114B,,,,,,523.10M,-298.08M,225.02M,593.56M,254.31M,847.87M,0.08M,32.58M,1.106B,2.220B,236.00M,236.00M,173.54M,409.54M,,0.043M,0.043M,87.54M,87.54M,,535.56M,385.83M,385.83M,74.96M,74.96M,20.16M,63.79M,2.885M,15.39M,560.14M,1.096B,0.662M,1.112B,363.93M,305.45M,,,-49.67M,1.121B
2011-12,285.62M,,285.62M,346.28M,,346.28M,154.88M,110.18M,83.11M,,348.17M,,57.34M,18.37M,1.056B,0.00,14.40M,120.20M,378.52M,,513.11M,-291.09M,222.02M,587.53M,257.41M,844.94M,0.24M,36.02M,1.103B,2.159B,244.65M,244.65M,174.90M,419.55M,,0.068M,0.068M,72.81M,72.81M,0.392M,541.38M,395.80M,395.80M,74.22M,74.22M,21.22M,63.84M,2.455M,14.84M,569.92M,1.111B,0.662M,1.054B,360.91M,309.20M,,,-60.90M,1.045B
2011-09,221.14M,,221.14M,346.44M,,346.44M,142.85M,105.02M,77.00M,,324.88M,,39.03M,18.90M,950.38M,,,,,,495.88M,-285.96M,209.92M,566.34M,236.71M,803.05M,2.282M,39.99M,1.055B,2.006B,179.41M,179.41M,24.02M,203.43M,,40.07M,40.07M,76.45M,76.45M,90.29M,453.59M,366.09M,366.09M,82.43M,82.43M,23.18M,50.88M,3.243M,15.18M,537.76M,991.36M,0.662M,1.009B,354.72M,307.25M,,,-46.00M,1.011B
2011-06,221.48M,,221.48M,336.67M,,336.67M,137.30M,98.49M,75.37M,,311.17M,,39.44M,23.18M,931.93M,,,,,,505.84M,-287.40M,218.44M,575.68M,245.70M,821.38M,3.294M,36.43M,1.080B,2.011B,185.87M,185.87M,24.03M,209.90M,,40.07M,40.07M,79.01M,79.01M,88.02M,456.14M,356.19M,356.19M,83.18M,83.18M,23.94M,59.70M,3.50M,14.00M,537.02M,993.16M,0.662M,963.73M,350.93M,290.11M,,,-10.39M,1.015B
2011-03,200.69M,,200.69M,305.69M,,305.69M,120.10M,99.68M,65.18M,,284.96M,,39.26M,14.34M,844.94M,,,,,,497.46M,-281.04M,216.42M,575.20M,227.88M,803.08M,3.508M,29.18M,1.052B,1.897B,174.54M,174.54M,22.78M,197.32M,,40.07M,40.07M,41.67M,41.67M,69.10M,381.47M,360.00M,360.00M,80.24M,80.24M,27.82M,60.18M,3.59M,17.78M,546.02M,927.50M,0.662M,927.88M,341.71M,286.61M,,,-17.60M,966.04M
2010-12,236.94M,,236.94M,258.15M,,258.15M,108.77M,81.25M,63.47M,,253.49M,,39.57M,13.80M,801.95M,3.423M,10.32M,116.89M,347.39M,,478.02M,-271.80M,206.22M,545.83M,216.91M,762.74M,3.346M,28.81M,1.001B,1.803B,170.50M,170.50M,113.40M,283.90M,,40.07M,40.07M,,,24.40M,348.37M,382.01M,382.01M,76.50M,76.50M,15.00M,60.51M,3.616M,17.30M,551.32M,899.69M,0.662M,887.41M,339.86M,290.08M,,,-38.08M,899.77M
2010-09,176.81M,,176.81M,264.79M,,264.79M,106.12M,81.40M,61.28M,,248.80M,,37.72M,15.67M,743.78M,,,,,,467.95M,-264.81M,203.14M,518.04M,205.75M,723.79M,8.79M,26.18M,961.90M,1.706B,129.98M,129.98M,123.02M,253.00M,,40.07M,40.07M,,,26.06M,319.13M,369.77M,369.77M,56.04M,56.04M,13.54M,56.46M,3.833M,17.60M,513.41M,832.54M,0.662M,856.91M,336.12M,290.30M,,,-34.09M,869.31M
2010-06,166.51M,,166.51M,275.20M,,275.20M,98.48M,84.61M,56.34M,,239.44M,,36.96M,13.53M,731.64M,,,,,,447.61M,-255.13M,192.48M,497.90M,184.37M,682.27M,8.14M,17.66M,900.54M,1.632B,123.76M,123.76M,112.59M,236.36M,,38.20M,38.20M,,,35.89M,310.45M,369.74M,369.74M,53.93M,53.93M,12.32M,60.84M,2.804M,17.96M,514.79M,825.24M,0.662M,826.85M,333.28M,288.67M,,,-67.98M,804.14M
2010-03,178.90M,,178.90M,247.95M,,247.95M,97.19M,87.63M,56.26M,,241.09M,,,48.51M,716.45M,,,,,,453.58M,-253.42M,200.16M,506.28M,190.47M,696.75M,,24.88M,921.79M,1.638B,122.35M,122.35M,110.91M,233.26M,,34.46M,34.46M,,,42.28M,309.99M,384.99M,384.99M,52.22M,52.22M,9.986M,62.20M,2.139M,17.59M,526.99M,836.98M,0.662M,796.12M,329.61M,286.68M,,,-40.60M,799.12M
2009-12,188.66M,,188.66M,208.26M,,208.26M,98.20M,87.16M,53.98M,,239.33M,,40.53M,12.72M,689.51M,3.427M,9.448M,110.95M,328.17M,,452.00M,-250.29M,201.71M,482.98M,187.63M,670.61M,4.964M,19.05M,896.33M,1.586B,119.90M,119.90M,108.09M,227.98M,,32.74M,32.74M,,,44.62M,305.35M,359.04M,359.04M,52.16M,52.16M,9.182M,64.08M,2.006M,17.12M,501.57M,806.92M,0.662M,766.22M,329.71M,289.14M,,,-30.55M,776.91M
2009-09,255.18M,,255.18M,230.98M,,230.98M,97.21M,89.64M,58.02M,,244.87M,,,42.06M,773.09M,,,,,,440.00M,-243.95M,196.05M,424.72M,160.79M,585.51M,,20.16M,801.72M,1.575B,113.10M,113.10M,107.27M,220.37M,,31.98M,31.98M,,,57.48M,309.82M,400.36M,400.36M,28.36M,28.36M,12.63M,55.71M,1.416M,15.38M,512.45M,822.27M,0.662M,742.50M,328.51M,291.15M,,,-29.39M,751.13M
2009-06,121.33M,,121.33M,251.80M,,251.80M,100.47M,89.45M,59.68M,,249.60M,,31.46M,11.29M,665.48M,,,,,,431.77M,-237.29M,194.48M,416.65M,160.77M,577.42M,3.187M,19.62M,794.70M,1.460B,116.69M,116.69M,98.25M,214.94M,,31.35M,31.35M,,,70.27M,316.56M,320.54M,320.54M,27.49M,27.49M,11.00M,66.66M,1.471M,14.51M,440.20M,756.76M,0.662M,715.62M,325.98M,291.77M,,,-48.55M,701.95M
2009-03,98.09M,,98.09M,259.61M,,259.61M,99.39M,89.93M,64.01M,,253.33M,,31.10M,9.47M,651.60M,,,,,,419.30M,-225.97M,193.33M,396.84M,159.92M,556.76M,1.072M,18.18M,769.34M,1.421B,126.29M,126.29M,93.68M,219.97M,,30.73M,30.73M,,,61.14M,311.84M,331.75M,331.75M,13.88M,13.88M,10.78M,66.94M,,26.33M,449.68M,761.51M,0.662M,685.27M,325.42M,279.91M,,,-72.02M,659.42M
2008-12,141.80M,,141.80M,273.56M,,273.56M,95.27M,89.47M,79.41M,,264.16M,,31.13M,14.69M,725.35M,3.417M,9.194M,110.80M,308.19M,,431.60M,-224.06M,207.55M,319.45M,236.74M,556.19M,1.052M,17.38M,782.17M,1.508B,162.63M,162.63M,114.23M,276.87M,,30.38M,30.38M,,,80.80M,388.05M,356.70M,356.70M,12.87M,12.87M,9.743M,69.34M,0.436M,25.01M,473.66M,861.71M,0.662M,653.08M,328.59M,276.42M,,,-60.54M,645.37M
2008-09,186.39M,,186.39M,298.68M,,298.68M,84.55M,89.25M,49.57M,,223.37M,,24.25M,11.83M,744.53M,,,,,,417.78M,-233.77M,184.01M,277.03M,56.83M,333.87M,4.343M,18.46M,540.68M,1.285B,154.81M,154.81M,97.26M,252.07M,,,,,,99.83M,351.90M,150.12M,150.12M,9.353M,9.353M,,,,89.14M,248.61M,600.51M,0.662M,622.45M,325.57M,255.67M,,,-8.317M,684.70M
2008-06,241.68M,,241.68M,284.14M,,284.14M,77.37M,80.07M,38.89M,,196.33M,,24.47M,10.86M,757.48M,,,,,,416.86M,-237.70M,179.16M,237.84M,57.71M,295.55M,4.536M,19.37M,498.62M,1.256B,142.92M,142.92M,87.54M,230.46M,,,,,,94.76M,325.22M,150.14M,150.14M,10.78M,10.78M,,,,91.31M,252.22M,577.45M,0.662M,589.77M,322.49M,256.46M,52.97M,-30.79M,22.19M,678.65M
