,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-06,932.25M,932.25M,658.29M,273.96M,127.92M,23.34M,9.35M,,17.56M,-17.56M,160.61M,113.36M,17.56M,-17.56M,0.936M,-17.56M,96.73M,24.57M,72.16M,,,-0.135M,72.02M,73.74M,140.12M,25.82M,114.29M,0.75,,,,0.768,0.75,0.75,,,,0.7678,0.75,95.64M,96.28M,0.1
2017-03,916.03M,916.03M,646.33M,269.71M,122.69M,23.46M,9.044M,,19.86M,-19.86M,155.20M,114.51M,19.86M,-19.86M,4.811M,-19.86M,99.46M,27.46M,72.00M,,,1.885M,73.89M,73.01M,144.55M,25.23M,119.32M,0.77,,,,0.7608,0.77,0.77,,,,0.7608,0.77,95.24M,95.99M,0.1
2016-12,759.98M,759.98M,540.79M,219.19M,132.44M,19.10M,6.598M,,34.40M,-34.40M,158.14M,61.05M,34.40M,-34.40M,6.415M,-34.40M,33.06M,-13.27M,46.33M,,,-8.517M,37.81M,39.92M,87.88M,20.42M,67.46M,0.42,,,,0.4435,0.42,0.42,,,,0.4433,0.42,89.80M,90.62M,0.1
2016-09,675.57M,675.57M,463.09M,212.48M,70.76M,16.29M,5.339M,,6.057M,-6.057M,92.38M,120.10M,6.057M,-6.057M,1.188M,-6.057M,115.23M,32.80M,82.43M,,,0.00,82.43M,81.80M,137.57M,16.28M,121.28M,0.92,,,,0.913,0.92,0.91,,,,0.903,0.91,89.59M,90.29M,0.1
2016-06,723.60M,723.60M,486.21M,237.39M,80.61M,18.03M,5.466M,,4.969M,-4.969M,104.10M,133.28M,4.969M,-4.969M,-1.229M,-4.969M,127.09M,36.60M,90.48M,,,0.00,90.48M,91.57M,148.92M,16.86M,132.06M,1.0,,,,1.012,1.0,1.0,,,,1.012,1.0,89.85M,90.56M,0.08
2016-03,772.03M,772.03M,516.85M,255.18M,89.75M,17.95M,5.295M,,4.871M,-4.871M,113.00M,142.18M,4.871M,-4.871M,0.154M,-4.871M,137.46M,43.30M,94.16M,,,0.00,94.16M,94.05M,158.57M,16.23M,142.34M,1.03,,,,1.0290000000000001,1.03,1.02,,,,1.0190000000000001,1.02,91.26M,92.15M,0.08
2015-12,832.85M,832.85M,565.22M,267.63M,91.40M,19.36M,5.654M,,4.19M,-4.19M,116.42M,151.21M,4.19M,-4.19M,2.379M,-4.19M,149.40M,47.62M,101.78M,,,,101.78M,100.19M,170.16M,16.57M,153.59M,1.06,,,,1.043,1.06,1.05,,,,1.034,1.05,95.89M,96.54M,0.08
2015-09,809.53M,809.53M,552.46M,257.07M,82.21M,17.24M,5.546M,,4.351M,-4.351M,104.99M,152.08M,4.351M,-4.351M,-2.937M,-4.351M,144.79M,45.61M,99.18M,,,,99.18M,101.28M,165.70M,16.56M,149.14M,1.03,,,,1.052,1.03,1.02,,,,1.042,1.02,96.37M,97.37M,0.08
2015-06,847.03M,847.03M,579.26M,267.76M,88.99M,17.75M,5.162M,,4.041M,-4.041M,111.90M,155.86M,4.041M,-4.041M,-1.887M,-4.041M,149.93M,48.43M,101.50M,,,,101.50M,102.55M,170.02M,16.04M,153.97M,1.05,,,,1.061,1.05,1.04,,,,1.051,1.04,96.34M,97.44M,0.06
2015-03,818.59M,818.59M,563.24M,255.36M,84.77M,16.86M,5.301M,,4.306M,-4.306M,106.94M,148.42M,4.306M,-4.306M,-2.866M,-4.306M,141.25M,45.08M,96.16M,,,,96.16M,97.79M,161.12M,15.57M,145.55M,1.0,,,,1.0170000000000001,1.0,0.99,,,,1.0070000000000001,0.99,96.24M,97.38M,0.06
2014-12,820.87M,820.87M,566.57M,254.30M,93.12M,18.33M,5.889M,,4.005M,-4.005M,117.33M,136.96M,4.005M,-4.005M,-1.752M,-4.005M,131.21M,38.52M,92.69M,,,,92.69M,94.02M,151.50M,16.28M,135.21M,0.96,,,,0.9739,0.96,0.95,,,,0.9638,0.95,95.89M,97.04M,0.06
2014-09,797.27M,797.27M,549.81M,247.46M,88.36M,16.39M,6.731M,,4.594M,-4.594M,111.48M,135.98M,4.594M,-4.594M,-0.154M,-4.594M,131.23M,41.07M,90.16M,,,,90.16M,90.47M,152.94M,17.12M,135.82M,0.94,,,,0.9433,0.94,0.93,,,,0.9332,0.93,95.94M,97.00M,0.06
2014-06,731.07M,731.07M,506.41M,224.66M,72.98M,14.22M,5.132M,,4.525M,-4.525M,92.34M,132.32M,4.525M,-4.525M,0.243M,-4.525M,128.04M,39.34M,88.70M,,,,88.70M,88.52M,146.85M,14.28M,132.57M,0.92,,,,0.9181,0.92,0.91,,,,0.9081,0.91,96.05M,97.06M,0.04
2014-03,695.25M,695.25M,485.68M,209.57M,70.08M,12.95M,4.696M,,4.45M,-4.45M,87.72M,121.85M,4.45M,-4.45M,-0.017M,-4.45M,117.38M,37.24M,80.13M,,,,80.13M,80.38M,135.41M,13.58M,121.83M,0.84,,,,0.8426,0.84,0.83,,,,0.8325,0.83,95.53M,96.80M,0.04
2013-12,681.48M,681.48M,481.36M,200.12M,71.14M,12.75M,5.011M,,4.627M,-4.627M,88.91M,111.22M,4.627M,-4.627M,0.951M,-4.627M,107.54M,33.50M,74.04M,,,,74.04M,74.44M,126.23M,14.06M,112.17M,0.77,,,,0.7742,0.77,0.76,,,,0.7641,0.76,95.70M,97.07M,0.04
2013-09,631.40M,631.40M,443.26M,188.13M,63.40M,10.92M,3.939M,,3.829M,-3.829M,78.26M,109.87M,3.829M,-3.829M,-1.658M,-3.829M,104.38M,30.44M,73.94M,,,,73.94M,74.65M,120.33M,12.12M,108.21M,0.77,,,,0.7774,0.77,0.76,,,,0.7673,0.76,95.85M,97.17M,0.04
2013-06,638.00M,638.00M,445.12M,192.88M,63.87M,11.28M,5.173M,,3.271M,-3.271M,80.33M,112.55M,3.271M,-3.271M,0.406M,-3.271M,109.69M,35.05M,74.64M,,,,74.64M,75.32M,126.81M,13.85M,112.96M,0.78,,,,0.7871,0.78,0.77,,,,0.777,0.77,95.76M,97.10M,0.025
2013-03,615.51M,615.51M,432.62M,182.89M,64.30M,11.33M,3.587M,,3.614M,-3.614M,79.22M,103.67M,3.614M,-3.614M,-0.581M,-3.614M,99.47M,29.86M,69.61M,,,,69.61M,70.26M,114.26M,11.17M,103.09M,0.73,,,,0.7368,0.73,0.72,,,,0.7267,0.72,95.02M,96.57M,0.025
2012-12,610.40M,610.40M,429.92M,180.48M,64.77M,10.26M,4.984M,,3.948M,-3.948M,80.02M,100.46M,3.948M,-3.948M,0.614M,-3.948M,97.13M,32.36M,64.76M,,,,64.76M,64.57M,113.72M,12.65M,101.08M,0.675,,,,0.673,0.675,0.67,,,,0.668,0.67,95.48M,96.81M,0.025
2012-09,587.59M,587.59M,416.31M,171.28M,59.74M,10.75M,3.941M,,3.07M,-3.07M,74.44M,96.84M,3.07M,-3.07M,-1.393M,-3.07M,92.38M,29.38M,62.99M,,,,62.99M,64.00M,106.74M,11.29M,95.45M,0.66,,,,0.6705,0.66,0.65,,,,0.6604,0.65,95.29M,96.54M,0.025
2012-06,609.82M,609.82M,436.39M,173.43M,59.16M,10.14M,3.254M,,3.509M,-3.509M,72.56M,100.86M,3.509M,-3.509M,0.223M,-3.509M,97.58M,32.87M,64.71M,,,,64.71M,64.29M,111.08M,9.995M,101.09M,0.67,,,,0.6656,0.67,0.67,,,,0.6657,0.67,95.67M,96.84M,0.015
2012-03,583.31M,583.31M,413.93M,169.38M,62.03M,10.15M,3.093M,,3.724M,-3.724M,75.27M,94.11M,3.724M,-3.724M,-0.114M,-3.724M,90.27M,31.01M,59.26M,,,,59.26M,58.99M,104.20M,10.20M,94.00M,0.62,,,,0.6172,0.62,0.61,,,,0.6072,0.61,95.41M,96.68M,0.015
2011-12,534.64M,534.64M,387.30M,147.33M,61.10M,9.279M,4.447M,,3.766M,-3.766M,74.82M,72.51M,3.766M,-3.766M,1.099M,-3.766M,69.84M,23.58M,46.26M,,,,46.26M,46.26M,84.78M,11.17M,73.61M,0.48,,,,0.48,0.48,0.48,,,,0.48,0.48,95.59M,96.67M,0.015
2011-09,498.84M,498.84M,351.69M,147.15M,57.68M,9.894M,4.128M,-1.529M,3.764M,-3.764M,71.70M,75.45M,3.764M,-3.764M,-1.529M,-3.764M,70.16M,23.56M,46.60M,,,,46.60M,47.62M,86.83M,12.90M,73.92M,0.485,0.0,,,0.4956,0.485,0.48,0.0,,,0.4905,0.48,95.75M,96.73M,0.015
2011-06,478.90M,478.90M,336.16M,142.74M,73.94M,9.132M,3.307M,-0.41M,3.793M,-3.793M,86.38M,56.36M,3.793M,-3.793M,-0.41M,-3.793M,52.16M,15.82M,36.33M,,,,36.33M,36.62M,65.91M,9.956M,55.95M,0.375,0.0,,,0.378,0.375,0.375,0.0,,,0.3779,0.375,95.90M,96.93M,0.005
2011-03,455.26M,455.26M,322.06M,133.20M,54.82M,8.888M,3.114M,0.46M,,-3.684M,66.82M,66.38M,,-3.684M,0.46M,-3.684M,63.15M,22.20M,40.95M,,,,40.95M,40.65M,77.20M,10.82M,66.38M,0.425,0.0,,,0.4219,0.425,0.425,0.0,,,0.4219,0.425,95.48M,96.50M,0.005
2010-12,393.24M,393.24M,275.25M,117.99M,53.41M,9.721M,3.504M,,,-3.923M,66.64M,51.35M,,-3.923M,0.366M,-3.923M,47.79M,16.81M,30.98M,,,,30.98M,30.98M,62.99M,11.70M,51.29M,0.32,,,,0.32,0.32,0.32,,,,0.32,0.32,95.31M,96.30M,0.005
2010-09,375.71M,375.71M,266.47M,109.24M,46.60M,9.362M,2.638M,-0.791M,,-3.996M,58.60M,50.63M,,-3.996M,-0.791M,-3.996M,45.85M,15.30M,30.54M,,,,30.54M,31.07M,60.34M,9.711M,50.63M,0.32,0.0,,,0.3255,0.32,0.315,0.0,,,0.3205,0.315,95.35M,96.13M,0.005
2010-06,374.14M,374.14M,260.67M,113.46M,51.24M,10.42M,2.144M,1.086M,,-4.092M,63.81M,49.65M,,-4.092M,1.086M,-4.092M,46.65M,15.44M,31.21M,,,,31.21M,30.48M,58.43M,8.776M,49.65M,0.325,0.0,,,0.3174,0.325,0.325,0.0,,,0.3174,0.325,95.45M,96.18M,0.005
2010-03,363.93M,363.93M,255.54M,108.39M,44.63M,10.70M,1.887M,-0.721M,,-3.912M,57.21M,51.18M,,-3.912M,-0.721M,-3.912M,46.54M,16.18M,30.36M,,,,30.36M,30.83M,59.58M,8.40M,51.18M,0.32,0.0,,,0.325,0.32,0.315,0.0,,,0.3199,0.315,94.92M,95.79M,0.005
2009-12,359.19M,359.19M,259.53M,99.66M,43.17M,10.97M,3.727M,-0.648M,,-4.526M,57.86M,41.80M,,-4.526M,-0.648M,-4.526M,36.62M,12.42M,24.20M,,,,24.20M,24.63M,52.04M,10.25M,41.80M,0.255,0.0,,,0.2595,0.255,0.25,0.0,,,0.2545,0.25,94.77M,95.70M,0.005
2009-09,330.46M,330.46M,235.63M,94.83M,37.16M,10.16M,1.748M,0.394M,,-3.687M,49.07M,45.76M,,-3.687M,0.394M,-3.687M,42.47M,15.12M,27.35M,,,,27.35M,27.09M,52.81M,7.048M,45.76M,0.29,0.0,,,0.2873,0.29,0.285,0.0,,,0.2823,0.285,94.58M,95.50M,0.005
2009-06,334.01M,334.01M,242.35M,91.66M,42.11M,10.76M,2.059M,-0.134M,,-3.525M,54.94M,36.73M,,-3.525M,-0.134M,-3.525M,33.07M,2.232M,30.84M,,,,30.84M,30.96M,45.63M,8.899M,36.73M,0.325,0.0,,,0.3263,0.325,0.32,0.0,,,0.3213,0.32,94.97M,96.03M,0.005
2009-03,377.96M,377.96M,270.78M,107.18M,38.55M,10.56M,2.315M,0.389M,4.936M,-4.936M,51.43M,55.75M,4.936M,-4.936M,0.389M,-4.936M,51.20M,18.54M,32.67M,,,,32.67M,32.42M,65.46M,9.326M,56.14M,0.34,0.0,,,0.3374,0.34,0.34,0.0,,,0.3374,0.34,95.29M,96.26M,0.005
2008-12,405.21M,405.21M,299.42M,105.80M,44.28M,9.656M,1.611M,1.471M,,-3.791M,55.54M,50.25M,,-3.791M,1.471M,-3.791M,47.93M,16.82M,31.11M,0.00,,,31.11M,30.15M,59.22M,7.791M,51.43M,0.32,0.0,,,0.3101,0.32,0.315,0.0,,,0.3052,0.315,96.24M,97.27M,0.005
2008-09,396.02M,396.02M,288.34M,107.67M,43.84M,9.713M,1.666M,-0.10M,1.943M,-1.943M,55.22M,52.45M,1.943M,-1.943M,-0.10M,-1.943M,50.41M,17.24M,33.17M,0.00,,,33.17M,33.24M,59.92M,7.567M,52.35M,0.34,0.0,,,0.3407,0.34,0.34,0.0,,,0.3407,0.34,96.32M,97.65M,0.005
2008-06,390.19M,390.19M,281.69M,108.50M,42.04M,9.631M,0.912M,-0.696M,1.293M,-1.293M,52.58M,55.92M,1.293M,-1.293M,-0.696M,-1.293M,53.93M,20.17M,33.76M,0.00,,,33.76M,34.20M,62.36M,7.136M,55.23M,0.35,0.0,,,0.3545,0.35,0.345,0.0,,,0.3495,0.345,96.19M,97.31M,0.005
2008-03,383.33M,383.33M,278.11M,105.22M,40.44M,9.981M,0.903M,-0.383M,,,51.33M,53.89M,,,-0.383M,,52.02M,19.51M,32.51M,-0.003M,,,32.51M,32.75M,61.22M,7.332M,53.89M,0.335,0.0,,,0.3375,0.335,0.33,0.0,,,0.3324,0.33,96.76M,98.07M,0.005
2007-12,365.27M,365.27M,268.78M,96.49M,38.90M,10.36M,1.022M,-0.277M,,,50.28M,46.21M,,,-0.277M,,44.76M,15.81M,28.95M,-0.272M,,,28.68M,29.13M,53.69M,7.476M,46.21M,0.295,0.0,,,0.2968,0.295,0.295,-0.005,,,0.2968,0.29,97.31M,98.53M,0.005
2007-09,354.83M,354.83M,259.12M,95.72M,39.68M,9.237M,1.157M,-0.927M,,,50.07M,45.64M,,,-0.927M,,43.43M,16.67M,26.76M,0.482M,,,27.24M,27.33M,53.34M,7.693M,45.64M,0.275,0.005,,,0.2809,0.28,0.27,0.005,,,0.2758,0.275,97.47M,98.76M,0.005
2007-06,325.72M,325.72M,234.87M,90.85M,34.92M,9.026M,1.14M,-1.637M,,,45.08M,45.77M,,,-1.637M,,43.59M,15.47M,28.12M,0.005M,,,28.13M,29.18M,52.98M,7.211M,45.77M,0.29,0.0,,,0.3009,0.29,0.285,0.0,,,0.2957,0.285,97.33M,98.59M,0.005
2007-03,314.26M,314.26M,227.70M,86.57M,34.94M,8.816M,0.541M,-0.809M,,,44.30M,42.26M,,,-0.809M,,40.67M,15.12M,25.55M,-0.032M,,,25.52M,26.06M,49.02M,6.76M,42.26M,0.265,0.0,,,0.2703,0.265,0.26,0.0,,,0.2652,0.26,96.60M,97.79M,0.005
2006-12,294.42M,294.42M,215.92M,78.50M,32.45M,8.495M,0.566M,-0.109M,,,41.51M,36.98M,,,-0.109M,,36.05M,9.143M,26.90M,-0.661M,,,26.24M,26.98M,41.25M,4.264M,36.98M,0.28,-0.01,,,0.2808,0.27,0.27,-0.01,,,0.2708,0.265,96.72M,99.43M,0.005
2006-09,268.89M,268.89M,202.69M,66.20M,31.29M,8.068M,1.354M,-0.146M,,,40.72M,25.48M,,,-0.146M,,25.53M,7.791M,17.74M,-0.37M,,,17.37M,17.84M,35.25M,9.771M,25.48M,0.18,0.0,,,0.181,0.18,0.18,-0.005,,,0.181,0.175,97.38M,98.59M,0.005
2006-06,261.90M,261.90M,185.16M,76.74M,40.34M,,0.859M,-1.623M,,,41.20M,35.55M,,,-1.623M,,33.50M,11.72M,21.78M,-0.637M,,,21.14M,22.84M,41.35M,5.804M,35.55M,0.225,-0.005,,,0.2359,0.22,0.22,-0.005,,,0.2307,0.215,96.90M,98.18M,0.005
2006-03,262.41M,262.41M,187.32M,75.09M,33.79M,8.115M,0.859M,0.272M,,,42.76M,32.33M,,,0.272M,,31.48M,11.41M,20.07M,-0.022M,,,20.05M,19.89M,38.38M,6.055M,32.33M,0.21,0.0,,,0.2082,0.21,0.205,0.0,,,0.2032,0.205,96.18M,97.48M,0.005
2005-12,270.26M,270.26M,200.77M,69.49M,39.16M,,0.991M,0.015M,,,40.15M,29.34M,,,0.015M,,27.55M,9.637M,17.91M,-1.612M,,,16.30M,17.90M,35.43M,6.093M,29.34M,0.19,-0.02,,,0.1899,0.17,0.185,-0.02,,,0.1849,0.17,94.78M,96.31M,0.005
2005-09,255.67M,255.67M,188.70M,66.97M,38.81M,,0.896M,-1.234M,,,39.70M,27.26M,,,-1.234M,,23.80M,8.30M,15.50M,-0.42M,,,15.08M,16.30M,33.49M,6.225M,27.26M,0.165,-0.005,,,0.1734,0.16,0.16,-0.005,,,0.1683,0.155,95.15M,96.62M,0.005
2005-06,266.30M,266.30M,200.12M,66.18M,38.81M,,1.073M,-0.687M,,,39.88M,26.30M,,,-0.687M,,23.44M,8.511M,14.93M,0.218M,,,15.15M,15.37M,32.95M,6.656M,26.30M,0.16,0.0,,,0.1647,0.16,0.155,0.0,,,0.1596,0.16,93.72M,95.09M,0.005
2005-03,241.80M,241.80M,184.79M,57.01M,37.68M,,0.971M,-1.149M,,,38.65M,18.36M,,,-1.149M,,14.73M,5.383M,9.343M,-0.095M,,,9.248M,10.07M,25.06M,6.696M,18.36M,0.1,0.0,,,0.1079,0.1,0.1,0.0,,,0.1078,0.1,92.52M,93.97M,0.005
2004-12,224.39M,224.39M,169.30M,55.09M,37.82M,,1.044M,-0.145M,,,38.87M,16.22M,,,-0.145M,,14.01M,5.114M,8.898M,,,,9.247M,8.990M,23.31M,7.087M,16.22M,0.095,0.005,,,0.096,0.1,0.095,0.005,,,0.096,0.1,90.88M,92.83M,0.005
2004-09,202.89M,202.89M,152.99M,49.90M,39.50M,,0.771M,0.658M,,,40.27M,9.638M,,,0.658M,,7.16M,-2.268M,9.428M,,,,9.428M,9.033M,16.30M,6.663M,9.638M,0.105,0.0,,,0.1007,0.105,0.1,0.0,,,0.0957,0.1,91.01M,92.55M,0.005
2004-06,206.51M,206.51M,153.86M,52.65M,33.85M,,0.745M,-0.623M,,,34.59M,18.06M,,,-0.623M,,14.12M,5.152M,8.963M,,,,8.963M,9.359M,24.17M,6.109M,18.06M,0.1,0.0,,,0.1044,0.1,0.1,0.0,,,0.1043,0.1,89.59M,91.05M,0.005
2004-03,188.23M,188.23M,140.71M,47.52M,35.25M,,0.783M,-0.91M,,,36.04M,11.48M,,,-0.91M,,7.57M,2.763M,4.807M,,,,4.807M,5.385M,17.74M,6.253M,11.48M,0.055,0.0,,,0.0615,0.055,0.055,0.0,,,0.0614,0.055,89.32M,90.67M,0.005
2003-12,206.36M,206.36M,153.17M,53.19M,37.09M,,1.18M,-3.007M,,,38.27M,14.92M,,,-3.007M,,8.765M,3.199M,5.566M,0.325M,,,5.891M,7.476M,21.87M,6.947M,14.92M,0.06,0.005,,,0.0818,0.065,0.06,0.005,,,0.0815,0.065,87.42M,88.91M,0.005
2003-09,167.19M,167.19M,123.76M,43.42M,31.69M,,1.084M,0.526M,,,32.78M,10.65M,,,0.526M,,8.74M,3.19M,5.55M,0.053M,,,5.603M,5.216M,17.14M,6.488M,10.65M,0.065,0.0,,,0.0612,0.065,0.065,0.0,,,0.0612,0.065,87.11M,88.35M,0.005
2003-06,174.86M,174.86M,127.29M,47.56M,32.68M,,1.045M,-2.673M,,,33.72M,13.84M,,,-2.673M,,8.771M,3.201M,5.57M,-0.044M,,,5.526M,7.267M,19.97M,6.132M,13.84M,0.065,0.0,,,0.0845,0.065,0.065,0.0,,,0.0844,0.065,86.96M,87.58M,0.005
2003-03,169.52M,169.52M,124.25M,45.28M,31.98M,,1.00M,-1.136M,,,32.98M,12.30M,,,-1.136M,,8.766M,3.20M,5.566M,0.117M,,,5.683M,6.287M,18.02M,5.717M,12.30M,0.065,0.0,,,0.0733,0.065,0.065,0.0,,,0.0733,0.065,86.91M,87.20M,0.005
2002-12,177.64M,177.64M,131.59M,46.05M,32.38M,,1.076M,-3.736M,,,33.45M,12.60M,,,-3.736M,,8.472M,2.193M,6.279M,0.174M,0.0,,5.25M,9.048M,18.84M,6.246M,12.60M,0.07,0.005,0.0,,0.1019,0.06,0.07,0.005,0.0004,,0.1017,0.06,86.73M,87.41M,0.005
2002-09,161.42M,161.42M,118.14M,43.28M,30.70M,,1.412M,-0.317M,,,32.11M,11.17M,,,-0.317M,,5.91M,2.068M,3.842M,0.048M,,,3.89M,4.048M,17.42M,6.254M,11.17M,0.045,0.0,,,0.0474,0.045,0.045,0.0,,,0.0474,0.045,86.72M,87.23M,0.005
2002-06,179.81M,179.81M,134.45M,45.36M,30.71M,,1.349M,-0.392M,,,32.06M,13.30M,,,-0.392M,,7.329M,2.565M,4.764M,0.057M,,,4.821M,5.019M,19.76M,6.455M,13.30M,0.055,0.0,,,0.0579,0.055,0.055,0.0,,,0.0579,0.055,86.64M,87.47M,0.005
2002-03,177.32M,177.32M,132.54M,44.78M,32.83M,,1.485M,-1.113M,,,34.31M,10.47M,,,-1.113M,,4.044M,1.415M,2.629M,-0.405M,,,2.224M,3.353M,17.02M,6.558M,10.47M,0.03,-0.005,,,0.0384,0.025,0.03,-0.005,,,0.0383,0.025,86.40M,87.02M,0.005
