,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,87.46M,-0.024M,-0.024M,,,27.85M,27.85M,,5.696M,,5.696M,-66.35M,-50.76M,44.57M,,,-24.25M,-96.78M,,24.20M,-17.47M,7.898M,-9.568M,-34.30M,,-43.86M,40.26M,40.26M,,,,-11.53M,-11.53M,2.873M,-2.937M,28.67M,233.40M,9.003M,7.482M,249.89M,,306.61M,-266.35M,
2017-12,49.70M,0.267M,0.267M,,,26.23M,26.23M,,6.761M,,6.761M,-8.454M,44.36M,13.06M,,,97.76M,146.73M,,162.29M,-29.24M,0.234M,-29.00M,-98.62M,,-127.63M,-17.35M,-17.35M,,,,-11.51M,-11.51M,1.512M,-0.002M,-27.35M,228.08M,7.31M,-1.958M,233.40M,,333.23M,-350.58M,
2017-09,68.44M,1.108M,1.108M,,,25.92M,25.92M,,2.66M,,2.66M,6.298M,-4.959M,-64.21M,,,4.961M,-57.91M,,40.21M,-21.84M,0.595M,-21.24M,0.00,,-21.24M,-100.34M,-100.34M,,,,-11.52M,-11.52M,0.209M,0.004M,-111.64M,328.52M,-92.67M,-7.774M,228.08M,,138.44M,-238.77M,
2017-06,72.16M,0.372M,0.372M,,,25.82M,25.82M,,6.187M,,6.187M,29.94M,-16.26M,-74.65M,,,-31.17M,-92.15M,,12.39M,-19.10M,0.187M,-18.91M,-46.59M,,-65.50M,89.21M,89.21M,,,,-9.605M,-9.605M,1.42M,0.04M,81.06M,280.18M,27.95M,20.39M,328.52M,,286.76M,-197.55M,
2017-03,72.00M,0.153M,0.153M,,,25.23M,25.23M,,5.692M,,5.692M,-96.48M,-32.14M,62.80M,,,-63.35M,-129.17M,,-26.10M,-19.33M,0.284M,-19.04M,-800.08M,,-819.12M,-24.32M,-24.32M,,,,-9.572M,-9.572M,1.259M,-6.842M,-39.47M,1.143B,-884.69M,21.64M,280.18M,,458.27M,-482.59M,
2016-12,46.33M,0.081M,0.081M,,,20.42M,20.42M,,6.025M,0.446M,6.471M,58.09M,43.04M,4.149M,,,35.29M,140.56M,,203.64M,-18.54M,0.223M,-18.32M,-98.76M,,-117.08M,642.10M,642.10M,,0.00,0.00,-8.907M,-8.907M,0.21M,1.902M,635.31M,250.38M,721.87M,-31.96M,1.143B,,1.529B,-886.90M,0.00
2016-09,82.43M,-0.227M,-0.227M,,,16.28M,16.28M,,5.115M,-0.446M,4.669M,-36.19M,13.19M,-38.84M,,,-8.399M,-70.24M,,32.92M,-12.57M,-0.025M,-12.60M,-63.09M,,-75.69M,75.65M,75.65M,,-78.44M,-78.44M,-8.958M,-8.958M,1.122M,0.446M,-10.18M,302.94M,-52.95M,0.398M,250.38M,,116.00M,-40.35M,-78.44M
2016-06,90.48M,0.36M,0.36M,,,16.86M,16.86M,,4.163M,,4.163M,21.67M,-12.29M,-6.284M,,,23.44M,26.54M,,138.41M,-10.60M,0.081M,-10.52M,-21.05M,,-31.57M,-55.05M,-55.05M,,0.00,0.00,-7.21M,-7.21M,0.136M,0.00,-62.12M,262.77M,44.72M,-4.557M,302.94M,,35.00M,-90.05M,0.00
2016-03,94.16M,0.018M,0.018M,,,16.23M,16.23M,,5.51M,,5.51M,-23.84M,1.40M,-1.055M,,,-16.86M,-40.36M,,75.57M,-8.504M,0.084M,-8.42M,-0.21M,,-8.63M,109.55M,109.55M,,-133.74M,-133.74M,-7.355M,-7.355M,0.515M,-9.006M,-40.04M,226.19M,26.90M,9.684M,262.77M,,195.00M,-85.45M,-133.74M
2015-12,101.78M,-1.217M,-1.217M,,,16.57M,16.57M,,5.927M,2.683M,8.61M,22.38M,35.99M,2.901M,,,3.542M,64.82M,,195.54M,-16.35M,1.43M,-14.92M,-29.44M,6.186M,-38.18M,244.73M,244.73M,,-365.45M,-365.45M,-7.648M,-7.648M,0.389M,-2.683M,-130.66M,208.24M,26.70M,-8.748M,226.19M,,397.10M,-152.37M,-365.45M
2015-09,99.18M,1.384M,1.384M,,,16.56M,16.56M,,5.103M,-1.295M,3.808M,34.91M,9.689M,-39.73M,,,18.58M,23.45M,,144.38M,-12.22M,0.176M,-12.04M,0.00,-209.13M,-221.17M,50.28M,50.28M,,-22.34M,-22.34M,-7.735M,-7.735M,1.299M,1.295M,22.80M,264.84M,-53.99M,-2.616M,208.24M,,216.00M,-165.72M,-22.34M
2015-06,101.50M,0.273M,0.273M,,,16.04M,16.04M,,6.226M,-1.074M,5.152M,3.714M,-6.995M,-28.10M,,,-24.32M,-55.71M,,67.26M,-12.40M,0.04M,-12.36M,-24.40M,,-36.76M,-20.14M,-20.14M,,0.00,0.00,-5.80M,-5.80M,1.012M,1.074M,-23.86M,249.14M,6.652M,9.057M,264.84M,,62.60M,-82.74M,0.00
2015-03,96.16M,0.147M,0.147M,,,15.57M,15.57M,,8.763M,-0.314M,8.449M,-39.50M,-18.54M,-4.818M,,,-13.81M,-76.67M,,43.66M,-8.458M,0.138M,-8.32M,-75.71M,,-84.03M,-100.15M,-100.15M,,,,-5.78M,-5.78M,0.397M,-14.25M,-119.78M,425.85M,-160.15M,-16.56M,249.14M,,111.70M,-211.85M,
2014-12,92.69M,0.698M,0.698M,,,16.28M,16.28M,,7.027M,-0.281M,6.746M,71.95M,-30.13M,82.20M,,,8.844M,132.86M,,242.22M,-16.68M,0.081M,-16.60M,-0.776M,,-17.38M,-0.854M,-0.854M,,0.00,0.00,-5.775M,-5.775M,0.293M,0.281M,-6.055M,212.54M,218.79M,-5.478M,425.85M,,130.00M,-130.85M,0.00
2014-09,90.16M,0.008M,0.008M,,,17.12M,17.12M,,7.004M,-1.458M,5.546M,2.567M,-13.71M,10.43M,,,-19.61M,-20.32M,,92.50M,-12.62M,0.123M,-12.50M,-100.24M,,-112.74M,20.23M,20.23M,,-10.14M,-10.14M,-5.78M,-5.78M,1.20M,1.458M,6.976M,225.91M,-13.26M,-0.106M,212.54M,,166.50M,-146.27M,-10.14M
2014-06,88.70M,0.092M,0.092M,,,14.28M,14.28M,,5.396M,-0.639M,4.757M,-11.49M,-1.144M,35.48M,,,-19.25M,3.606M,,111.44M,-12.02M,-1.188M,-13.21M,-199.42M,,-212.63M,50.27M,50.27M,,-14.47M,-14.47M,-3.863M,-3.863M,0.965M,0.639M,33.54M,295.10M,-67.65M,-1.55M,225.91M,,216.90M,-166.63M,-14.47M
2014-03,80.13M,0.014M,0.014M,,,13.58M,13.58M,,6.707M,-0.642M,6.065M,-80.44M,-19.10M,19.75M,,,6.218M,-73.58M,,26.22M,-6.333M,1.405M,-4.928M,0.00,,-4.928M,-0.067M,-0.067M,,-2.151M,-2.151M,-3.828M,-3.828M,0.879M,-3.787M,-8.954M,285.76M,12.33M,-2.99M,295.10M,,50.00M,-50.07M,-2.151M
2013-12,74.04M,0.626M,0.626M,,,14.06M,14.06M,,6.511M,5.179M,11.69M,17.48M,-2.965M,21.01M,,,-0.526M,34.99M,,150.66M,-17.64M,-0.168M,-17.81M,-1.396M,,-19.21M,-89.95M,-89.95M,,-27.51M,-27.51M,-3.844M,-3.844M,0.429M,-5.179M,-126.06M,281.01M,5.39M,-0.637M,285.76M,,90.53M,-180.48M,-27.51M
2013-09,73.94M,0.102M,0.102M,,,12.12M,12.12M,,6.506M,-5.283M,1.223M,-64.02M,22.02M,4.115M,,,-9.601M,-47.48M,,39.90M,-8.987M,0.336M,-8.651M,-106.99M,,-115.64M,140.12M,140.12M,,-5.486M,-5.486M,-4.004M,-4.004M,2.087M,5.283M,138.00M,214.50M,62.26M,4.237M,281.01M,,623.74M,-483.62M,-5.486M
2013-06,74.64M,-0.775M,-0.775M,,,13.85M,13.85M,,5.53M,-2.87M,2.66M,-60.62M,20.21M,-37.49M,,,0.587M,-77.32M,,13.06M,-8.16M,5.114M,-3.046M,0.00,,-3.046M,-20.62M,-20.62M,,0.00,0.00,-2.41M,-2.41M,1.06M,2.87M,-19.10M,225.34M,-9.086M,-1.747M,214.50M,,40.90M,-61.52M,0.00
2013-03,69.61M,0.032M,0.032M,,,11.17M,11.17M,,5.56M,-1.292M,4.268M,-42.53M,-13.21M,9.479M,,,-6.782M,-53.04M,,32.04M,-6.448M,0.718M,-5.73M,-115.07M,,-120.80M,99.67M,99.67M,,0.00,0.00,-2.386M,-2.386M,1.589M,1.292M,100.17M,215.77M,11.41M,-1.834M,225.34M,,203.90M,-104.23M,0.00
2012-12,64.76M,0.438M,0.438M,,,12.65M,12.65M,,4.841M,-0.607M,4.234M,48.45M,-5.892M,-34.12M,,,32.80M,41.25M,,123.91M,-11.31M,0.04M,-11.27M,-47.61M,,-58.88M,-115.06M,-115.06M,,-18.56M,-18.56M,-2.41M,-2.41M,1.41M,0.607M,-134.02M,282.06M,-68.98M,2.692M,215.77M,,22.40M,-137.46M,-18.56M
2012-09,62.99M,-0.824M,-0.824M,,,11.29M,11.29M,,5.087M,-1.793M,3.294M,15.65M,1.774M,7.83M,,,-19.02M,6.231M,,82.99M,-8.233M,0.838M,-7.395M,-13.93M,,-21.33M,-10.26M,-10.26M,,-6.07M,-6.07M,-2.376M,-2.376M,1.556M,1.793M,-15.35M,234.10M,46.31M,1.644M,282.06M,,38.60M,-48.86M,-6.07M
2012-06,64.71M,1.272M,1.272M,,,9.995M,9.995M,,4.875M,-0.018M,4.857M,-39.64M,-7.912M,-10.40M,,,6.677M,-51.28M,,29.56M,-6.27M,0.00,-6.27M,-88.37M,,-94.64M,57.26M,57.26M,,-21.93M,-21.93M,-1.442M,-1.442M,0.459M,0.018M,34.37M,269.30M,-30.71M,-4.486M,234.10M,,94.30M,-37.04M,-21.93M
2012-03,59.26M,0.226M,0.226M,,,10.20M,10.20M,,5.045M,-0.707M,4.338M,-47.44M,-20.46M,4.327M,,,-9.472M,-73.04M,,0.981M,-10.19M,0.093M,-10.10M,0.00,,-10.10M,-9.999M,-9.999M,,,,-1.438M,-1.438M,1.006M,0.707M,-9.724M,285.62M,-18.84M,2.53M,269.30M,,78.10M,-88.10M,
2011-12,,0.502M,0.502M,,,11.17M,11.17M,-12.91M,5.424M,,-109.66M,11.59M,-16.15M,45.89M,,,61.24M,102.57M,,148.61M,-15.74M,0.363M,-15.38M,-57.14M,,-72.52M,-10.28M,-10.28M,,-2.219M,-2.219M,,-1.442M,0.322M,0.726M,-12.90M,221.14M,63.19M,1.287M,285.62M,,133.00M,-143.28M,-2.219M
2011-09,,0.567M,0.567M,,,12.90M,12.90M,0.00,3.852M,,46.60M,-14.71M,-16.58M,1.978M,,,-0.638M,-29.95M,,33.97M,-9.41M,0.009M,-9.401M,0.00,,-9.401M,9.897M,9.897M,,-17.62M,-17.62M,,-1.442M,0.409M,0.00,-8.752M,221.48M,15.82M,-16.16M,221.14M,,45.00M,-35.10M,-17.62M
2011-06,,0.085M,0.085M,,,9.956M,9.956M,-2.973M,5.951M,,36.33M,-29.63M,-25.36M,69.18M,,,-13.98M,0.207M,,49.56M,-5.415M,0.275M,-5.14M,-20.72M,,-25.86M,-3.809M,-3.809M,,-6.187M,-6.187M,,-0.484M,2.984M,2.973M,-4.523M,200.69M,19.17M,1.616M,221.48M,,34.00M,-37.81M,-6.187M
2011-03,,0.037M,0.037M,,,10.82M,10.82M,-0.716M,3.419M,,40.95M,-35.95M,-21.44M,17.64M,,,1.724M,-38.02M,,16.49M,-7.401M,0.016M,-7.385M,-31.01M,,-38.40M,-22.01M,-22.01M,,,,,-0.481M,1.184M,0.716M,-20.59M,236.94M,-42.50M,6.246M,200.69M,,45.00M,-67.01M,
2010-12,123.10M,-0.508M,-0.508M,,,11.70M,11.70M,18.62M,3.547M,-2.57M,-82.92M,11.78M,0.684M,25.24M,,,1.414M,39.12M,,100.89M,-8.472M,0.352M,-8.12M,-42.60M,-2.368M,-53.09M,12.26M,12.26M,,0.00,0.00,,-0.485M,0.209M,0.197M,12.18M,176.81M,59.97M,0.16M,236.94M,,47.00M,-34.74M,0.00
2010-09,,1.078M,1.078M,,,9.711M,9.711M,-0.307M,2.578M,,30.54M,20.23M,3.162M,-5.754M,,,-10.38M,7.257M,,50.86M,-5.364M,0.011M,-5.353M,-53.28M,0.00,-58.64M,1.892M,1.892M,,-2.07M,-2.07M,,-0.48M,0.40M,0.307M,0.049M,166.51M,-7.728M,18.03M,176.81M,,35.00M,-33.11M,-2.07M
2010-06,-30.36M,0.18M,0.18M,,,8.776M,8.776M,-2.066M,3.149M,1.374M,60.46M,-31.41M,-1.686M,4.203M,,,-1.713M,-30.60M,,12.02M,-3.406M,0.054M,-3.352M,0.00,0.00,-3.352M,-11.50M,-11.50M,,-3.215M,-3.215M,,-0.481M,1.051M,0.692M,-13.45M,178.90M,-4.781M,-7.61M,166.51M,,55.40M,-66.90M,-3.215M
2010-03,30.36M,0.027M,0.027M,,,8.40M,8.40M,,2.491M,-1.374M,1.117M,-34.86M,-3.81M,4.609M,,,6.516M,-27.54M,,12.37M,-3.601M,0.001M,-3.60M,-39.94M,2.368M,-41.18M,27.67M,27.67M,,-3.096M,-3.096M,,-0.468M,1.596M,1.374M,27.07M,188.66M,-1.735M,-8.024M,178.90M,,111.00M,-83.33M,-3.096M
2009-12,24.20M,-0.352M,-0.352M,,,10.25M,10.25M,,-0.012M,-1.425M,-1.437M,28.49M,8.49M,-3.045M,,,-4.532M,29.41M,,69.46M,-7.44M,0.42M,-7.02M,-97.58M,4.771M,-99.83M,-40.56M,-40.56M,,0.00,0.00,,-0.479M,1.795M,1.425M,-37.82M,255.18M,-68.19M,1.664M,188.66M,,21.50M,-62.06M,0.00
2009-09,27.35M,0.129M,0.129M,,,7.048M,7.048M,,2.218M,-0.32M,1.898M,24.37M,6.425M,-12.71M,,,0.315M,18.40M,,54.82M,-2.137M,0.02M,-2.117M,-3.446M,-0.028M,-5.591M,80.43M,80.43M,,0.00,0.00,,-0.476M,0.614M,0.32M,80.89M,121.33M,130.12M,3.728M,255.18M,,104.00M,-23.57M,0.00
2009-06,30.84M,-0.002M,-0.002M,,,8.899M,8.899M,,0.617M,-0.161M,0.456M,17.05M,10.16M,-17.08M,,,-6.565M,3.565M,,43.75M,-5.272M,0.013M,-5.259M,0.00,-4.743M,-10.00M,-10.64M,-10.64M,,-12.38M,-12.38M,,-0.482M,0.303M,0.161M,-23.04M,98.09M,10.72M,12.52M,121.33M,,66.00M,-76.64M,-12.38M
2009-03,32.67M,-2.688M,-2.688M,,,9.326M,9.326M,,0.797M,0.00,0.797M,10.63M,8.286M,-70.77M,,,6.015M,-45.84M,,-5.738M,-3.439M,3.638M,0.199M,0.00,,0.199M,-25.06M,-25.06M,,-7.272M,-7.272M,,-0.48M,-0.18M,,-32.99M,141.80M,-38.53M,-5.184M,98.09M,,6.00M,-31.06M,-7.272M
2008-12,31.11M,0.174M,0.174M,,,7.791M,7.791M,,2.791M,-0.279M,2.512M,50.97M,-10.92M,-10.72M,,,6.299M,35.63M,,82.09M,-7.232M,0.353M,-6.879M,-315.87M,,-322.79M,232.82M,232.82M,,-21.14M,-21.14M,,-0.486M,-1.306M,1.922M,211.81M,186.39M,-28.89M,-15.69M,141.80M,,236.00M,-3.179M,-21.14M
2008-09,33.17M,2.473M,2.473M,,,7.567M,7.567M,,2.66M,-0.455M,2.205M,-13.39M,-12.94M,25.34M,,,2.687M,1.703M,,47.12M,-4.631M,0.03M,-4.601M,-82.26M,,-86.86M,-0.017M,-0.017M,,0.00,0.00,,-0.485M,2.397M,-1.188M,0.707M,241.68M,-39.04M,-16.25M,186.39M,,0.00,-0.017M,0.00
2008-06,33.72M,0.00,0.00,,,7.136M,7.136M,,5.024M,-1.188M,2.203M,3.121M,-9.803M,38.85M,,-4.025M,-7.178M,20.96M,0.038M,64.07M,-3.961M,0.011M,-3.95M,,,-3.95M,-0.047M,-0.028M,-0.285M,-0.187M,-0.472M,,-0.481M,1.677M,1.071M,1.767M,174.83M,61.88M,4.964M,241.68M,-0.285M,0.00,-0.047M,-0.187M
2008-03,32.51M,,,,,7.332M,7.332M,,,,1.633M,-61.54M,-9.07M,-8.168M,,4.025M,-0.57M,-75.33M,-0.038M,-33.89M,-3.891M,0.053M,-3.838M,,,-3.838M,,-0.019M,0.285M,-24.47M,-24.18M,,-0.488M,,0.117M,-24.57M,234.69M,-62.30M,2.442M,174.83M,0.285M,,,-24.47M
2007-12,28.44M,,,,,7.476M,7.476M,,,,3.572M,-8.088M,9.09M,28.12M,,26.55M,4.638M,60.30M,0.455M,97.97M,-7.567M,0.10M,-7.467M,-0.095M,,-7.562M,,,-5.271M,-13.07M,-18.34M,,-0.481M,,0.113M,-13.96M,158.03M,76.45M,0.214M,234.69M,-5.271M,,,-13.07M
2007-09,27.24M,,,,,7.693M,7.693M,,,,2.339M,-11.22M,-1.34M,6.207M,,-11.35M,-0.696M,-18.39M,-0.569M,18.31M,-4.51M,-0.112M,-4.622M,-0.283M,,-4.507M,,,0.961M,-1.395M,-0.434M,,-0.477M,,0.583M,-0.328M,141.23M,13.48M,3.322M,158.03M,0.961M,,,-1.395M
2007-06,28.13M,,,,,7.211M,7.211M,,,,1.713M,7.148M,-11.81M,0.103M,,-17.87M,-7.205M,-29.63M,0.049M,7.471M,-4.935M,0.139M,-4.796M,-73.26M,,-78.06M,,,2.743M,-3.421M,-0.678M,,-0.495M,,0.797M,-0.376M,206.48M,-70.96M,5.712M,141.23M,2.743M,,,-3.421M
2007-03,25.52M,,,,,6.76M,6.76M,,,,1.53M,-19.41M,-10.26M,7.536M,,2.672M,4.339M,-15.12M,0.065M,18.75M,-3.407M,,-3.407M,,,-3.407M,,,1.567M,,1.567M,,-0.491M,,0.605M,1.681M,187.98M,17.03M,1.474M,206.48M,1.567M,,,
2006-12,26.24M,,,,,4.264M,4.264M,,,,1.502M,-8.232M,4.946M,9.595M,,-7.14M,3.214M,2.383M,2.603M,41.12M,-7.439M,1.261M,-6.178M,,,-94.95M,,,1.044M,-5.346M,-4.302M,,-0.487M,,-0.007M,-4.796M,247.58M,-58.63M,-0.98M,187.98M,1.044M,,,-5.346M
2006-09,17.37M,,,,,9.771M,9.771M,,,,1.541M,14.02M,8.232M,-4.199M,,4.041M,-14.35M,7.752M,-0.024M,36.41M,-4.534M,0.672M,-3.862M,,,-3.862M,,,3.691M,-13.53M,-9.837M,,-0.489M,,0.174M,-10.15M,238.91M,22.40M,-13.72M,247.58M,3.691M,,,-13.53M
2006-06,21.14M,,-2.263M,,,5.804M,5.804M,,,,6.055M,1.886M,-13.09M,-12.64M,,10.30M,12.40M,-1.138M,-1.154M,28.45M,-5.682M,,-5.682M,,,-4.715M,,,5.883M,,5.883M,,-0.486M,,2.451M,7.848M,191.46M,31.58M,15.87M,238.91M,5.883M,,,
2006-03,20.05M,,2.263M,,,6.055M,6.055M,,,,-4.289M,37.99M,-17.90M,-0.112M,,0.997M,,20.97M,,45.05M,-3.287M,,-3.287M,,,-1.236M,,,4.012M,,4.012M,,-0.483M,,1.764M,5.293M,141.36M,49.10M,0.986M,191.46M,4.012M,,,
2005-12,16.30M,,12.21M,,,6.093M,6.093M,,,,,-29.06M,15.00M,-17.53M,,26.59M,5.544M,0.548M,-0.041M,37.02M,-6.202M,0.00,-6.202M,0.428M,,-5.772M,,-0.009M,10.15M,,10.15M,,-0.484M,,,9.655M,106.09M,40.90M,-5.628M,141.36M,10.15M,,,
2005-09,15.08M,,1.58M,,,6.225M,6.225M,,,,-0.625M,-5.708M,-8.676M,-2.758M,,12.32M,-0.479M,-5.303M,0.061M,17.01M,-5.012M,0.00,-5.012M,0.061M,,-4.951M,,-0.013M,3.156M,,3.156M,,-0.484M,,,2.659M,86.85M,14.72M,4.518M,106.09M,3.156M,,,
2005-06,15.15M,,-0.057M,,,6.656M,6.656M,,,,-5.251M,-5.916M,-7.816M,-0.353M,,16.02M,-0.437M,1.501M,-0.02M,17.98M,-5.456M,0.00,-5.456M,-0.826M,,-6.282M,,-0.09M,11.47M,,11.47M,,-0.466M,,,10.92M,68.15M,22.61M,-3.911M,86.85M,11.47M,,,
2005-03,9.248M,,0.057M,,,6.696M,6.696M,,,,5.876M,-12.90M,-7.026M,14.63M,,-4.275M,,-9.568M,,12.31M,-5.996M,0.975M,-5.021M,-35.58M,,-40.60M,,-0.017M,5.029M,,5.029M,,-0.466M,,,4.546M,95.26M,-23.75M,-3.36M,68.15M,5.029M,,,
2004-12,9.247M,,,,,7.087M,7.087M,,,,,-7.511M,-0.60M,5.611M,,-2.281M,1.239M,-3.542M,,28.26M,-6.206M,0.118M,-6.088M,,,-6.088M,,-40.00M,9.277M,,9.277M,,-0.46M,,,-31.19M,97.30M,-9.018M,6.979M,95.26M,9.277M,,,
2004-09,9.428M,,,,,6.663M,6.663M,,,,,-5.289M,-2.92M,7.382M,,-3.81M,-7.69M,-12.33M,,3.764M,-4.663M,0.424M,-4.239M,,,-4.239M,,-0.088M,3.997M,,3.997M,,-0.454M,,,3.455M,94.83M,2.98M,-0.513M,97.30M,3.997M,,,
2004-06,8.963M,,,,,6.109M,6.109M,,,,,-1.054M,3.468M,1.867M,,18.60M,-7.752M,15.13M,,30.21M,-4.18M,0.912M,-3.268M,,,-3.268M,,-0.013M,8.807M,,8.807M,,-0.448M,,,8.346M,58.06M,35.28M,1.48M,94.83M,8.807M,,,
2004-03,4.807M,,,,,6.253M,6.253M,,,,,-0.99M,-6.833M,-0.028M,,-11.96M,,-19.81M,,-8.747M,-4.213M,,-4.213M,,,-4.213M,,-0.01M,0.693M,,0.693M,,-0.449M,,,0.234M,70.33M,-12.73M,0.463M,58.06M,0.693M,,,
2003-12,5.891M,,-0.325M,,,6.947M,6.947M,,,,,7.163M,8.542M,0.519M,,-5.622M,2.211M,12.81M,,34.15M,-7.826M,,-2.778M,,0.00,-2.778M,,-0.005M,13.19M,,13.19M,,-0.436M,,,12.75M,26.39M,44.12M,-0.189M,70.33M,13.19M,,,
