,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2017-03,564.00M,,564.00M,2.067B,292.40M,2.359B,302.00M,1.258B,,,4.483B,,,,,,,,,,375.50M,3.897B,1.682B,5.579B,,806.70M,536.20M,7.297B,11.78B,3.028B,,3.028B,,3.028B,104.40M,695.00M,799.40M,799.40M,75.30M,75.30M,,63.70M,4.785B,2.145B,,2.145B,,,,64.80M,1.124B,3.269B,8.053B,179.50M,901.80M,3.280B,-699.10M,3.662B
2016-12,545.50M,,545.50M,1.845B,314.10M,2.159B,319.60M,1.392B,,,4.416B,0.0,141.70M,,519.00M,10.00M,10.60M,107.80M,789.10M,-411.50M,377.60M,3.768B,1.627B,5.395B,,796.50M,504.30M,7.074B,11.49B,2.996B,,2.996B,,2.996B,125.60M,578.00M,703.60M,703.60M,69.00M,69.00M,,70.90M,4.612B,2.145B,,2.145B,,,,59.20M,1.078B,3.222B,7.834B,178.30M,916.40M,3.266B,-763.60M,3.597B
2016-09,531.80M,,531.80M,1.684B,267.60M,1.951B,333.50M,1.397B,,,4.214B,,,,,,,,,,213.90M,3.763B,1.630B,5.392B,,749.80M,630.40M,6.987B,11.20B,2.867B,,2.867B,,2.867B,133.10M,608.00M,741.10M,741.10M,83.70M,83.70M,,55.90M,4.399B,2.045B,,2.045B,,,,54.70M,1.016B,3.060B,7.459B,177.90M,889.80M,3.239B,-620.50M,3.686B
2016-06,411.10M,,411.10M,2.038B,299.90M,2.338B,305.30M,1.431B,,,4.486B,,,,,,,,,,213.90M,3.716B,1.660B,5.376B,,702.30M,606.60M,6.899B,11.38B,3.216B,,3.216B,,3.216B,101.20M,285.00M,386.20M,386.20M,72.80M,72.80M,,49.70M,4.384B,2.344B,,2.344B,,,,55.90M,1.000B,3.345B,7.728B,177.00M,835.20M,3.191B,-603.50M,3.600B
2016-03,425.40M,,425.40M,1.707B,225.80M,1.933B,278.00M,1.304B,,,3.940B,,,,,,,,,,218.20M,3.693B,1.673B,5.366B,,660.60M,528.00M,6.773B,10.71B,2.723B,,2.723B,,2.723B,96.20M,355.00M,451.20M,451.20M,70.50M,70.50M,,49.00M,4.022B,2.072B,,2.072B,,,,55.20M,966.10M,3.038B,7.060B,177.10M,753.40M,3.202B,-535.40M,3.597B
2015-12,480.40M,,480.40M,1.734B,289.20M,2.023B,298.00M,1.412B,,,4.214B,0.0,0.00,,485.50M,10.00M,46.30M,106.10M,647.90M,-398.90M,249.00M,3.663B,1.699B,5.362B,,643.50M,442.60M,6.697B,10.91B,2.877B,,2.877B,,2.877B,137.00M,245.00M,382.00M,382.00M,61.30M,61.30M,,54.00M,4.187B,2.072B,,2.072B,,,,49.90M,963.50M,3.035B,7.222B,176.90M,774.50M,3.209B,-522.50M,3.638B
2015-09,369.70M,,369.70M,1.601B,302.60M,1.903B,288.00M,1.350B,109.40M,,4.020B,,,,,,,,,,200.70M,3.580B,1.742B,5.321B,,487.80M,480.40M,6.490B,10.51B,2.707B,,2.707B,,2.707B,114.60M,153.00M,267.60M,267.60M,51.70M,51.70M,,54.50M,3.729B,2.125B,,2.125B,,,,55.50M,948.30M,3.073B,6.802B,176.70M,778.40M,3.194B,-496.30M,3.652B
2015-06,321.70M,,321.70M,1.764B,324.10M,2.089B,300.60M,1.444B,106.70M,,4.261B,,,,,,,,,,198.20M,3.569B,1.762B,5.331B,,438.00M,487.60M,6.455B,10.72B,2.901B,,2.901B,,2.901B,91.60M,155.00M,246.60M,246.60M,63.80M,63.80M,,60.80M,3.905B,2.125B,,2.125B,,,,73.00M,974.20M,3.099B,7.005B,174.50M,710.80M,3.092B,-338.70M,3.638B
2015-03,276.80M,,276.80M,1.544B,222.50M,1.766B,262.90M,1.187B,102.40M,,3.595B,,,,,,,,,,190.60M,3.418B,1.724B,5.142B,,395.40M,408.50M,6.136B,9.731B,2.447B,,2.447B,,2.447B,95.80M,115.00M,210.80M,210.80M,76.30M,76.30M,,50.50M,3.439B,2.125B,,2.125B,,,,74.40M,947.60M,3.073B,6.511B,166.70M,636.00M,2.723B,-380.20M,3.145B
2014-12,314.40M,,314.40M,1.462B,259.80M,1.722B,304.70M,1.368B,102.20M,,3.811B,0.0,,,434.30M,11.50M,,102.90M,548.70M,-353.30M,195.40M,3.450B,1.776B,5.226B,,392.60M,385.20M,6.199B,10.01B,2.623B,,2.623B,,2.623B,127.90M,140.00M,267.90M,267.90M,66.10M,66.10M,,61.70M,3.643B,2.125B,,2.125B,,,,75.70M,937.20M,3.062B,6.705B,164.60M,676.00M,2.649B,-260.60M,3.229B
2014-09,290.50M,,290.50M,1.669B,,1.669B,,1.342B,,670.80M,3.972B,,,,,,,,,,196.60M,3.296B,1.771B,5.067B,,352.70M,399.00M,6.016B,9.988B,2.755B,,2.755B,,2.755B,149.20M,147.00M,296.20M,296.20M,98.70M,98.70M,,58.60M,3.770B,2.125B,,2.125B,,,,,837.20M,2.962B,6.732B,161.40M,683.70M,2.495B,-83.70M,3.256B
2014-06,973.50M,,973.50M,1.998B,,1.998B,,1.109B,,360.20M,4.440B,,,,,,,,,,193.70M,3.028B,1.632B,4.659B,,328.90M,397.30M,5.579B,10.02B,2.819B,,2.819B,,2.819B,139.00M,253.00M,392.00M,392.00M,94.30M,94.30M,,77.80M,3.875B,2.125B,,2.125B,,,,,769.70M,2.895B,6.770B,159.00M,648.40M,2.388B,54.20M,3.250B
2014-03,739.20M,,739.20M,1.253B,,1.253B,,915.90M,,289.50M,3.198B,,,,,,,,,,165.90M,2.142B,1.094B,3.236B,,292.90M,383.00M,4.078B,7.276B,1.975B,,1.975B,,1.975B,,,467.40M,467.40M,86.60M,86.60M,,33.00M,3.034B,1.425B,,1.425B,,,,,672.80M,2.098B,5.131B,135.10M,596.90M,1.405B,6.90M,2.144B
2013-12,298.10M,,298.10M,1.289B,125.60M,1.414B,50.80M,1.027B,84.90M,,2.876B,0.0,,,359.40M,8.50M,,77.90M,445.80M,-285.40M,160.40M,2.145B,1.079B,3.224B,,279.80M,320.70M,3.985B,6.860B,2.155B,,2.155B,,2.155B,0.00,630.50M,630.50M,630.50M,84.50M,84.50M,,44.50M,3.285B,825.00M,,825.00M,,,,,665.20M,1.490B,4.775B,133.60M,596.40M,1.358B,-2.60M,2.086B
2013-09,286.90M,,286.90M,1.075B,,1.075B,,924.20M,,260.50M,2.547B,,,,,,,,,,148.10M,1.772B,918.00M,2.690B,,283.60M,302.30M,3.424B,5.970B,1.876B,,1.876B,,1.876B,,,235.50M,235.50M,69.70M,69.70M,,35.50M,2.578B,825.00M,,825.00M,,,,,635.10M,1.460B,4.038B,131.50M,583.20M,1.259B,-41.80M,1.932B
2013-06,240.00M,,240.00M,1.245B,,1.245B,,913.50M,,203.90M,2.603B,,,,,,,,,,123.00M,1.506B,784.70M,2.291B,,275.10M,270.60M,2.960B,5.562B,1.948B,,1.948B,,1.948B,,,,,73.60M,73.60M,,38.40M,2.344B,925.00M,,925.00M,,,,,591.40M,1.516B,3.860B,127.70M,554.90M,1.092B,-72.60M,1.702B
2013-03,224.00M,,224.00M,1.051B,,1.051B,,799.10M,,227.70M,2.301B,,,,,,,,,,108.50M,1.468B,768.80M,2.237B,,258.50M,319.60M,2.924B,5.225B,1.728B,,1.728B,,1.728B,,,50.00M,50.00M,66.40M,66.40M,,27.00M,2.215B,725.00M,,725.00M,,,,,620.30M,1.345B,3.560B,126.80M,506.40M,1.086B,-55.00M,1.665B
2012-12,302.10M,,302.10M,1.096B,,1.096B,,851.60M,,179.70M,2.430B,0.0,,,308.70M,2.90M,,52.20M,363.80M,-258.40M,105.40M,1.473B,809.60M,2.282B,,251.80M,283.30M,2.923B,5.352B,1.820B,,1.820B,,1.820B,,,129.00M,129.00M,70.60M,70.60M,,36.90M,2.363B,725.00M,,725.00M,,,,,605.80M,1.331B,3.694B,125.60M,510.40M,1.055B,-32.80M,1.659B
2012-09,305.20M,,305.20M,,,1.032B,,805.50M,,182.50M,2.325B,,,,,,,,,,101.00M,1.374B,1.840B,3.214B,,240.90M,,2.684B,5.009B,1.704B,,1.704B,285.10M,1.989B,,,,,67.70M,67.70M,,33.90M,2.090B,725.00M,,725.00M,,,,,557.80M,1.283B,3.373B,124.40M,519.70M,1.018B,-25.80M,1.636B
2012-06,282.10M,,282.10M,,,1.368B,,824.20M,,157.90M,2.632B,,,,,,,,,,100.90M,1.286B,644.90M,1.931B,,237.70M,232.40M,2.502B,5.134B,2.038B,,2.038B,244.20M,2.282B,,,48.00M,48.00M,74.00M,74.00M,,37.60M,2.442B,675.00M,,675.00M,,,,,543.70M,1.219B,3.661B,121.00M,500.70M,899.30M,-48.10M,1.473B
2012-03,301.80M,,301.80M,,,1.080B,,677.80M,,165.30M,2.225B,,,,,,,,,,95.70M,1.196B,598.40M,1.794B,,236.50M,251.50M,2.378B,4.603B,1.638B,,1.638B,214.60M,1.853B,,,92.00M,92.00M,73.60M,73.60M,,25.90M,2.044B,675.00M,,675.00M,,,,,526.90M,1.202B,3.246B,118.30M,470.50M,803.80M,-36.00M,1.357B
2011-12,291.20M,,291.20M,1.027B,,1.027B,,692.50M,,188.60M,2.199B,0.0,,,288.10M,2.50M,,45.90M,336.50M,-245.20M,91.30M,1.155B,561.50M,1.717B,,240.20M,235.80M,2.284B,4.484B,1.622B,,1.622B,,1.622B,,,10.00M,10.00M,69.70M,69.70M,,67.90M,2.074B,675.00M,,675.00M,,,,,491.30M,1.166B,3.240B,114.70M,482.90M,693.20M,-47.20M,1.244B
2011-09,241.40M,,241.40M,,,982.00M,,718.40M,,146.90M,2.089B,,,,,,,,,,90.50M,1.093B,556.00M,1.649B,,214.20M,204.90M,2.158B,4.247B,1.600B,,1.600B,246.20M,1.847B,,,,,64.30M,64.30M,,32.70M,1.944B,675.00M,,675.00M,,,,,409.30M,1.084B,3.028B,112.90M,480.40M,638.10M,-12.10M,1.219B
2011-06,263.20M,,263.20M,,,1.293B,,732.90M,,127.00M,2.416B,,,,,,,,,,87.70M,1.073B,562.40M,1.635B,,234.10M,208.80M,2.166B,4.582B,1.928B,,1.928B,216.10M,2.144B,,,35.00M,35.00M,64.50M,64.50M,,43.70M,2.287B,675.00M,,675.00M,,,,,417.00M,1.092B,3.379B,112.20M,471.30M,615.60M,3.70M,1.203B
2011-03,333.20M,,333.20M,,,718.80M,,580.10M,,117.70M,1.750B,,,,,,,,,,79.40M,925.50M,489.90M,1.415B,,242.50M,204.00M,1.941B,3.691B,1.213B,,1.213B,165.30M,1.379B,,,,,65.00M,65.00M,,41.60M,1.485B,675.00M,,675.00M,,,,,383.70M,1.059B,2.544B,110.30M,466.80M,563.50M,6.50M,1.147B
2010-12,249.80M,,249.80M,,,750.10M,,599.70M,,126.40M,1.726B,0.0,,,234.40M,2.00M,,41.10M,277.50M,-201.70M,75.80M,883.70M,483.50M,1.367B,,245.20M,181.80M,1.87B,3.596B,1.250B,,1.250B,226.50M,1.477B,,,,,60.50M,60.50M,,40.00M,1.577B,550.00M,,550.00M,,,,,362.00M,912.00M,2.489B,108.40M,488.30M,507.80M,2.20M,1.107B
2010-09,296.30M,,296.30M,,,704.90M,,565.40M,,123.30M,1.690B,,,,,,,,,,75.80M,824.40M,435.60M,1.26B,,244.90M,190.10M,1.771B,3.461B,1.253B,5.70M,1.258B,190.90M,1.449B,,,,,44.50M,44.50M,,38.50M,1.532B,550.00M,,550.00M,,,,,367.00M,917.00M,2.449B,106.00M,468.40M,439.60M,-2.60M,1.011B
2010-06,230.00M,,230.00M,,,916.00M,,566.00M,,111.60M,1.824B,,,,,,,,,,79.00M,780.40M,431.00M,1.211B,,255.40M,186.40M,1.732B,3.556B,,,1.414B,188.50M,1.603B,,,,,43.70M,43.70M,,43.30M,1.690B,550.00M,,550.00M,,,,,350.50M,900.50M,2.590B,105.20M,456.30M,417.20M,-13.30M,965.40M
2010-03,227.10M,,227.10M,,,665.50M,,506.00M,,123.30M,1.522B,,,,,,,,,,79.50M,752.30M,431.10M,1.183B,,264.70M,182.60M,1.710B,3.232B,,,1.142B,156.20M,1.298B,,,35.00M,35.00M,45.70M,45.70M,,41.60M,1.420B,550.00M,,550.00M,,,,,344.90M,894.90M,2.315B,103.60M,446.20M,376.10M,-9.20M,916.70M
2009-12,205.90M,0.10M,206.00M,,,693.70M,,522.60M,,117.70M,1.54B,0.0,,,217.50M,2.40M,,39.60M,259.50M,-178.80M,80.70M,742.30M,438.40M,1.181B,45.60M,271.10M,132.20M,1.710B,3.250B,,,1.166B,214.70M,1.381B,,,,,41.50M,41.50M,,51.70M,1.474B,550.00M,,550.00M,,,,,333.00M,883.00M,2.357B,102.50M,450.30M,349.10M,-9.00M,892.90M
2009-09,237.70M,0.50M,238.20M,,,664.80M,,551.80M,,110.80M,1.566B,,,,,,,,,,82.60M,715.60M,445.20M,1.161B,25.30M,272.90M,133.90M,1.676B,3.241B,,,1.208B,216.70M,1.425B,,,131.00M,131.00M,46.80M,46.80M,,27.60M,1.630B,400.00M,,400.00M,,,,,341.50M,741.50M,2.372B,101.80M,466.30M,328.80M,-27.80M,869.10M
2009-06,226.10M,0.20M,226.30M,,,1.034B,,603.90M,,116.20M,1.981B,,,,,,,,,,86.10M,700.90M,460.30M,1.161B,17.70M,277.90M,128.90M,1.672B,3.652B,,,1.583B,207.30M,1.791B,,,193.00M,193.00M,54.60M,54.60M,,32.30M,2.071B,400.00M,,400.00M,,,,,342.10M,742.10M,2.813B,101.20M,457.50M,312.60M,-31.50M,839.80M
2009-03,192.50M,0.30M,192.80M,,,574.90M,,544.40M,,132.40M,1.444B,,,,,,,,,,85.50M,675.50M,474.50M,1.15B,17.60M,291.70M,119.30M,1.664B,3.109B,,,1.065B,218.30M,1.283B,,,222.00M,222.00M,56.40M,56.40M,,18.40M,1.580B,400.00M,,400.00M,,,,,330.30M,730.30M,2.310B,100.20M,446.20M,293.00M,-41.20M,798.20M
2008-12,194.40M,0.20M,194.60M,,,826.50M,,551.00M,,129.90M,1.702B,0.0,,,206.60M,1.80M,,36.30M,244.70M,-155.90M,88.80M,596.40M,461.20M,1.058B,17.90M,300.90M,104.10M,1.569B,3.271B,,,1.365B,260.10M,1.625B,,,132.00M,132.00M,46.20M,46.20M,,55.00M,1.859B,400.00M,,400.00M,,,,,274.20M,674.20M,2.533B,96.40M,452.00M,230.40M,-40.30M,738.50M
2008-09,249.60M,5.10M,254.70M,,,784.00M,,588.40M,,116.70M,1.744B,,,,,,,,258.50M,-171.00M,87.50M,527.80M,417.60M,945.40M,,275.00M,145.50M,1.453B,3.197B,1.378B,,1.378B,250.10M,1.628B,,,118.00M,118.00M,45.80M,45.80M,,26.60M,1.818B,400.00M,,400.00M,,,,,204.20M,604.20M,2.422B,95.00M,478.40M,194.60M,7.00M,775.00M
2008-06,232.90M,5.70M,238.60M,1.105B,,1.105B,,674.60M,,114.90M,2.133B,,,,,,,,258.50M,-171.00M,87.50M,468.50M,384.70M,853.20M,,282.20M,153.80M,1.377B,3.510B,1.757B,,1.757B,211.80M,1.969B,,,105.00M,105.00M,53.40M,53.40M,,35.40M,2.162B,400.00M,,400.00M,,,,,220.90M,620.90M,2.783B,93.30M,470.90M,154.10M,7.90M,726.20M
2008-03,185.20M,8.80M,194.00M,1.063B,,1.063B,,649.20M,,114.60M,2.021B,,,,,,,,257.70M,-171.00M,86.70M,450.10M,346.20M,796.30M,,289.20M,147.90M,1.320B,3.341B,1.684B,,1.684B,211.60M,1.896B,,,,,51.70M,51.70M,,74.80M,2.022B,400.00M,,400.00M,,,,,219.90M,619.90M,2.642B,92.80M,460.10M,138.10M,7.60M,698.60M
2007-12,255.90M,7.50M,263.40M,1.304B,,1.304B,,601.40M,,107.30M,2.276B,0.0,,41.60M,217.30M,,,,258.90M,-171.00M,87.90M,440.60M,315.60M,756.20M,,292.60M,144.30M,1.281B,3.557B,1.874B,,1.874B,281.30M,2.155B,,,,,44.10M,44.10M,,32.80M,2.232B,400.00M,,400.00M,,,,,209.10M,609.10M,2.841B,92.00M,495.90M,120.20M,7.40M,715.50M
2007-09,351.40M,32.50M,383.90M,1.248B,,1.248B,,620.60M,,117.80M,2.370B,,,,,,,,261.80M,-181.80M,80.00M,406.40M,268.30M,674.70M,,308.40M,137.70M,1.201B,3.571B,1.826B,,1.826B,303.90M,2.130B,,,3.50M,3.50M,34.40M,34.40M,,12.40M,2.180B,400.00M,,400.00M,,,,,221.20M,621.20M,2.802B,93.90M,501.00M,164.90M,9.50M,769.30M
2007-06,210.90M,41.80M,252.70M,1.493B,,1.493B,,692.80M,,106.60M,2.545B,,,,,,,,259.90M,-181.80M,78.10M,376.10M,271.50M,647.60M,,294.60M,136.30M,1.157B,3.702B,2.166B,,2.166B,253.90M,2.420B,,,233.00M,233.00M,39.60M,39.60M,,7.20M,2.699B,,,,,,,,,219.50M,2.919B,95.30M,478.40M,201.60M,7.50M,782.80M
2007-03,158.80M,70.40M,229.20M,1.306B,,1.306B,,616.00M,,117.20M,2.269B,,,,,,,,261.00M,-181.80M,79.20M,358.80M,267.60M,626.40M,,290.00M,127.20M,1.123B,3.392B,1.878B,,1.878B,268.30M,2.146B,,,123.80M,123.80M,32.60M,32.60M,,10.00M,2.312B,,,,,,,,,211.30M,2.524B,98.90M,464.10M,299.70M,5.20M,867.90M
2006-12,208.00M,49.20M,257.20M,1.422B,,1.422B,,588.90M,,107.80M,2.376B,0.0,,37.10M,247.80M,,,,284.90M,-181.80M,103.10M,316.60M,213.10M,529.70M,,286.80M,124.30M,1.044B,3.420B,1.959B,,1.959B,316.40M,2.275B,,,8.90M,8.90M,39.70M,39.70M,,77.50M,2.401B,25.90M,,25.90M,,,,,128.80M,154.70M,2.556B,98.40M,475.00M,285.70M,5.00M,864.10M
2006-09,231.10M,36.90M,268.00M,1.303B,,1.303B,,637.90M,,128.90M,2.338B,,,,,,,,246.70M,-178.70M,68.00M,287.00M,194.10M,481.10M,,263.90M,264.20M,1.077B,3.415B,1.952B,,1.952B,276.10M,2.228B,,,8.10M,8.10M,36.40M,36.40M,,57.20M,2.330B,102.70M,,102.70M,,,,,136.70M,239.40M,2.569B,98.10M,479.90M,273.80M,-6.00M,845.80M
2006-06,222.40M,28.10M,250.50M,1.618B,,1.618B,,609.10M,,122.00M,2.600B,,,,,,,,368.10M,-178.70M,189.40M,273.30M,184.10M,457.40M,,246.60M,145.10M,1.038B,3.638B,2.240B,,2.240B,242.80M,2.482B,,,42.20M,42.20M,34.70M,34.70M,,43.90M,2.603B,104.30M,,104.30M,,,,,129.60M,233.90M,2.837B,97.20M,459.10M,250.90M,-6.00M,801.20M
