,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.713B,1.835B,1.242B,593.00M,,,30.60M,68.20M,-4.50M,31.30M,-31.30M,216.10M,314.90M,278.10M,31.30M,-31.30M,-4.50M,-31.30M,242.30M,-43.70M,286.00M,,-12.30M,273.70M,276.98M,372.40M,98.80M,273.60M,1.51,,1.528,1.51,1.48,,1.4980000000000002,1.48,181.50M,185.00M,0.41
2017-12,1.426B,1.516B,1.143B,373.40M,,,30.90M,65.70M,0.00,31.20M,-31.20M,216.40M,313.00M,60.40M,31.20M,-31.20M,0.00,-31.20M,29.20M,-49.30M,78.50M,,-7.00M,71.50M,71.50M,157.00M,96.60M,60.40M,0.5805,,0.5805,0.5805,0.57,,0.57,0.57,181.00M,183.60M,0.39
2017-09,1.501B,1.594B,1.166B,428.00M,,,30.50M,69.60M,-10.60M,31.40M,-31.40M,209.00M,309.10M,118.90M,31.40M,-31.40M,-10.60M,-31.40M,76.90M,-41.20M,118.10M,,-7.10M,111.00M,117.36M,208.40M,100.10M,108.30M,0.61,,0.6452,0.61,0.61,,0.6448,0.61,180.50M,182.50M,0.39
2017-06,1.396B,1.490B,1.099B,390.30M,,,30.20M,65.10M,-5.10M,31.60M,-31.60M,204.20M,299.50M,90.80M,31.60M,-31.60M,-5.10M,-31.60M,54.10M,-24.20M,78.30M,,-8.30M,70.00M,73.06M,181.00M,95.30M,85.70M,0.39,,0.407,0.39,0.39,,0.4068,0.39,179.90M,181.60M,0.39
2017-03,1.530B,1.646B,1.112B,534.60M,,,29.50M,64.30M,-11.80M,29.90M,-29.90M,199.50M,293.30M,241.30M,29.90M,-29.90M,-11.80M,-29.90M,199.60M,-42.40M,242.00M,,-13.20M,228.80M,235.88M,323.30M,93.80M,229.50M,1.28,,1.32,1.28,1.27,,1.3090000000000002,1.27,178.90M,180.60M,0.39
2016-12,1.303B,1.471B,1.119B,351.60M,,,27.20M,62.10M,-10.90M,28.30M,-28.30M,177.60M,266.90M,84.70M,28.30M,-28.30M,-10.90M,-28.30M,45.50M,-40.80M,86.30M,,-8.80M,77.50M,84.04M,163.10M,89.30M,73.80M,0.5337,,0.5704,0.5337,0.53,,0.5665,0.53,178.20M,179.00M,0.38
2016-09,1.431B,1.482B,1.076B,406.00M,,,25.70M,63.20M,-4.10M,28.50M,-28.50M,189.60M,278.50M,127.50M,28.50M,-28.50M,-4.10M,-28.50M,94.90M,-35.50M,130.40M,,-7.60M,122.80M,125.26M,212.30M,88.90M,123.40M,0.69,,0.7039,0.69,0.69,,0.7038,0.69,177.60M,178.50M,0.38
2016-06,1.362B,1.427B,956.00M,471.10M,,,26.00M,62.60M,-13.20M,27.20M,-27.20M,204.60M,293.20M,177.90M,27.20M,-27.20M,-13.20M,-27.20M,137.50M,-18.20M,155.70M,,-5.70M,150.00M,157.92M,253.30M,88.60M,164.70M,0.85,,0.8946,0.85,0.84,,0.8844,0.84,177.40M,178.30M,0.38
2016-03,1.209B,1.300B,926.50M,373.90M,,,24.70M,59.30M,-3.90M,25.80M,-25.80M,204.50M,288.50M,85.40M,25.80M,-25.80M,-3.90M,-25.80M,55.70M,-2.20M,57.90M,,-11.40M,46.50M,48.84M,165.50M,84.00M,81.50M,0.26,,0.2732,0.26,0.26,,0.2732,0.26,177.00M,177.60M,0.38
2015-12,1.289B,1.335B,950.20M,384.70M,,,25.80M,68.00M,-14.70M,25.80M,-25.80M,222.00M,315.80M,68.90M,25.80M,-25.80M,-14.70M,-25.80M,28.40M,-39.80M,68.20M,,-5.90M,62.30M,71.12M,148.00M,93.80M,54.20M,0.3524,,0.4023,0.3524,0.35,,0.3997,0.35,176.70M,177.40M,0.37
2015-09,1.376B,1.455B,1.024B,431.00M,,,23.80M,58.10M,-9.70M,25.60M,-25.60M,208.10M,290.00M,141.00M,25.60M,-25.60M,-9.70M,-25.60M,105.70M,-35.20M,140.90M,,-7.60M,133.30M,139.12M,213.20M,81.90M,131.30M,0.76,,0.7931,0.76,0.75,,0.7829,0.75,176.00M,176.80M,0.37
2015-06,1.311B,1.371B,921.90M,449.50M,,,22.80M,59.50M,-5.60M,26.00M,-26.00M,207.10M,289.40M,160.10M,26.00M,-26.00M,-5.60M,-26.00M,128.50M,-19.10M,147.60M,,-8.30M,139.30M,142.66M,236.80M,82.30M,154.50M,0.82,,0.8397,0.82,0.81,,0.8296,0.81,170.60M,171.70M,0.37
2015-03,1.160B,1.231B,884.50M,346.80M,,,21.50M,54.70M,-10.60M,25.60M,-25.60M,203.50M,279.70M,67.10M,25.60M,-25.60M,-10.60M,-25.60M,30.90M,-1.50M,32.40M,,-10.50M,21.90M,28.26M,132.70M,76.20M,56.50M,0.13,,0.1684,0.13,0.13,,0.1681,0.13,165.60M,166.80M,0.37
2014-12,1.203B,1.245B,897.90M,347.50M,,,19.40M,54.20M,-0.90M,25.70M,-25.70M,217.80M,291.40M,56.10M,25.70M,-25.70M,-0.90M,-25.70M,29.50M,-25.20M,54.70M,,-3.20M,51.50M,52.08M,128.80M,73.60M,55.20M,0.31,,0.3136,0.31,0.31,,0.3136,0.31,162.80M,164.20M,0.36
2014-09,1.250B,1.287B,890.80M,396.00M,,,18.60M,54.30M,-4.50M,25.90M,-25.90M,197.30M,270.20M,125.80M,25.90M,-25.90M,-4.50M,-25.90M,95.40M,-5.90M,101.30M,,-7.70M,93.60M,96.52M,194.20M,72.90M,121.30M,0.58,,0.5983,0.58,0.58,,0.5981,0.58,160.20M,161.50M,0.36
2014-06,1.123B,1.179B,800.50M,378.80M,,,16.60M,42.90M,-7.00M,21.20M,-21.20M,179.20M,238.70M,140.10M,21.20M,-21.20M,-7.00M,-21.20M,111.90M,-1.80M,113.70M,,-4.70M,109.00M,113.55M,192.60M,59.50M,133.10M,0.71,,0.7395,0.71,0.7,,0.7292,0.7,154.30M,155.70M,0.36
2014-03,836.40M,915.00M,637.30M,277.70M,,,14.80M,38.10M,-5.10M,16.20M,-16.20M,148.80M,201.70M,76.00M,16.20M,-16.20M,-5.10M,-16.20M,54.70M,-3.10M,57.80M,,-8.50M,49.30M,52.62M,123.80M,52.90M,70.90M,0.37,,0.3947,0.37,0.36,,0.3844,0.36,134.20M,135.80M,0.36
2013-12,858.20M,890.20M,628.80M,261.40M,,,15.20M,35.10M,-0.20M,13.90M,-13.90M,131.20M,181.50M,79.90M,13.90M,-13.90M,-0.20M,-13.90M,65.80M,-10.20M,76.00M,,,60.00M,60.13M,130.00M,50.30M,79.70M,0.4534,,0.4544,0.4534,0.45,,0.451,0.45,132.50M,134.10M,0.35
2013-09,806.60M,835.80M,559.40M,276.40M,,,14.30M,30.80M,0.40M,13.10M,-13.10M,133.10M,178.20M,98.20M,13.10M,-13.10M,0.40M,-13.10M,85.50M,10.90M,74.60M,,,74.60M,74.25M,143.70M,45.10M,98.60M,0.57,,0.5673,0.57,0.57,,0.5673,0.57,129.80M,131.30M,0.35
2013-06,743.60M,779.50M,492.10M,287.40M,,,13.10M,29.70M,2.50M,11.90M,-11.90M,137.80M,180.60M,106.80M,11.90M,-11.90M,2.50M,-11.90M,97.40M,3.90M,93.50M,,,93.50M,91.10M,152.10M,42.80M,109.30M,0.73,,0.7111,0.73,0.73,,0.7114,0.73,127.30M,128.90M,0.35
2013-03,624.80M,674.10M,442.00M,232.10M,,,10.80M,29.60M,-4.40M,11.20M,-11.20M,133.80M,174.20M,57.90M,11.20M,-11.20M,-4.40M,-11.20M,42.30M,1.80M,40.50M,,,40.50M,44.71M,93.90M,40.40M,53.50M,0.32,,0.3534,0.32,0.32,,0.353,0.32,126.10M,127.50M,0.35
2012-12,647.20M,673.20M,448.20M,225.00M,,,10.80M,25.90M,-2.40M,10.90M,-10.90M,129.60M,166.30M,58.70M,10.90M,-10.90M,-2.40M,-10.90M,45.40M,11.90M,33.50M,,,33.50M,35.27M,93.00M,36.70M,56.30M,0.2681,,0.2823,0.2681,0.2681,,0.2821,0.2681,124.90M,126.40M,0.34
2012-09,625.30M,650.40M,401.60M,248.80M,,,10.70M,25.80M,-3.70M,10.70M,-10.70M,121.60M,158.10M,90.70M,10.70M,-10.70M,-3.70M,-10.70M,76.30M,14.60M,61.70M,,,61.70M,64.69M,123.50M,36.50M,87.00M,0.5,,0.5243,0.5,0.5,,0.524,0.5,123.10M,124.50M,0.34
2012-06,621.80M,649.90M,393.10M,256.80M,,,10.20M,26.20M,5.20M,10.80M,-10.80M,123.70M,160.10M,96.70M,10.80M,-10.80M,5.20M,-10.80M,91.10M,19.40M,71.70M,,,71.70M,67.61M,138.30M,36.40M,101.90M,0.6,,0.5658,0.6,0.59,,0.5562,0.59,119.70M,121.20M,0.34
2012-03,509.90M,546.80M,362.10M,184.70M,,,9.70M,21.10M,-2.50M,10.60M,-10.60M,108.30M,139.10M,45.60M,10.60M,-10.60M,-2.50M,-10.60M,32.50M,4.40M,28.10M,,,28.10M,30.26M,73.90M,30.80M,43.10M,0.24,,0.2586,0.24,0.24,,0.2584,0.24,116.40M,117.80M,0.34
2011-12,559.70M,578.40M,380.60M,197.80M,,,9.30M,24.60M,0.20M,10.40M,-10.40M,,140.20M,57.60M,10.40M,-10.40M,0.20M,-10.40M,47.40M,6.90M,40.50M,,,40.50M,40.33M,91.70M,33.90M,57.80M,0.36,,0.3585,0.36,0.35,,0.3485,0.35,113.80M,114.90M,0.33
2011-09,537.60M,562.80M,345.90M,216.90M,,110.50M,9.40M,20.00M,4.30M,10.30M,-10.30M,,139.90M,77.00M,10.30M,-10.30M,4.30M,-10.30M,71.00M,24.30M,46.70M,,,46.70M,43.87M,110.70M,29.40M,81.30M,0.41,0.0,0.3849,0.41,0.41,0.0,0.385,0.41,112.60M,113.10M,0.33
2011-06,522.10M,546.10M,336.50M,209.60M,,108.20M,9.10M,18.30M,2.50M,10.60M,-10.60M,,135.60M,74.00M,10.60M,-10.60M,2.50M,-10.60M,65.90M,24.20M,41.70M,,,41.70M,40.12M,103.90M,27.40M,76.50M,0.38,0.0,0.3657,0.38,0.37,0.0,0.3558,0.37,111.00M,111.80M,0.33
2011-03,416.60M,447.40M,295.10M,152.30M,,94.00M,8.10M,16.40M,-0.80M,9.50M,-9.50M,,118.50M,33.80M,9.50M,-9.50M,-0.80M,-9.50M,23.50M,8.30M,15.20M,,,15.20M,15.72M,57.50M,24.50M,33.00M,0.14,0.0,0.1447,0.14,0.14,0.0,0.1447,0.14,109.30M,110.30M,0.33
2010-12,511.20M,459.10M,299.00M,160.10M,,,8.30M,15.80M,-0.30M,8.70M,-8.70M,,125.30M,34.80M,8.70M,-8.70M,-0.30M,-8.70M,25.80M,-20.20M,46.00M,8.70M,,54.70M,46.20M,58.60M,24.10M,34.50M,0.43,0.08,0.4318,0.51,0.43,0.08,0.4318,0.51,106.60M,107.20M,0.32
2010-09,443.00M,463.20M,280.50M,182.70M,,84.80M,8.30M,14.50M,3.90M,8.60M,-8.60M,,107.60M,75.10M,8.60M,-8.60M,3.90M,-8.60M,70.40M,24.20M,46.20M,0.00,,46.20M,43.64M,101.80M,22.80M,79.00M,0.44,0.0,0.4157,0.44,0.44,0.0,0.4158,0.44,105.50M,105.70M,0.32
2010-06,441.50M,459.50M,275.80M,183.70M,,87.40M,8.00M,16.60M,0.90M,8.70M,-8.70M,,112.00M,71.70M,8.70M,-8.70M,0.90M,-8.70M,63.90M,22.00M,41.90M,2.10M,,44.00M,41.31M,97.20M,24.60M,72.60M,0.4,0.02,0.3943,0.42,0.4,0.02,0.3944,0.42,104.40M,104.60M,0.32
2010-03,434.20M,482.40M,326.20M,156.20M,,,7.70M,13.90M,-1.90M,8.60M,-8.60M,81.20M,102.80M,53.40M,8.60M,-8.60M,-1.90M,-8.60M,42.90M,13.70M,29.20M,,,29.20M,30.49M,73.10M,21.60M,51.50M,0.28,0.0,0.2926,0.28,0.28,0.0,0.2926,0.28,102.70M,102.90M,0.32
2009-12,369.60M,435.10M,827.00M,-391.90M,,-453.60M,7.70M,14.70M,-1.50M,7.40M,-7.40M,,-431.20M,39.30M,7.40M,-7.40M,-1.50M,-7.40M,30.40M,11.00M,19.40M,-2.60M,,16.80M,20.36M,60.20M,22.40M,37.80M,0.18,-0.02,0.1894,0.16,0.18,-0.02,0.1894,0.16,102.00M,102.10M,0.32
2009-09,437.60M,439.50M,83.70M,355.80M,263.20M,263.20M,7.70M,13.80M,-1.20M,6.80M,-6.80M,,284.70M,71.10M,6.80M,-6.80M,-1.20M,-6.80M,63.10M,21.50M,41.60M,0.00,,41.60M,42.39M,91.40M,21.50M,69.90M,0.41,0.0,0.4178,0.41,0.41,0.0,0.4178,0.41,101.40M,101.60M,0.32
2009-06,448.40M,453.60M,79.10M,374.50M,270.40M,270.40M,7.50M,14.10M,-1.40M,7.00M,-7.00M,,292.00M,82.50M,7.00M,-7.00M,-1.40M,-7.00M,74.10M,30.30M,43.80M,0.00,,43.80M,44.71M,102.70M,21.60M,81.10M,0.44,0.0,0.449,0.44,0.44,0.0,0.449,0.44,100.60M,100.70M,0.32
2009-03,394.10M,401.10M,78.90M,322.20M,251.30M,251.30M,7.70M,12.40M,0.00,7.30M,-7.30M,,271.40M,50.80M,7.30M,-7.30M,,-7.30M,43.50M,15.20M,28.30M,-1.90M,,26.40M,28.30M,70.90M,20.10M,50.80M,0.29,-0.02,0.29,0.27,0.29,-0.02,0.29,0.27,98.00M,98.10M,0.32
2008-12,-243.20M,412.10M,108.20M,303.90M,256.70M,256.70M,7.20M,14.30M,0.00,7.70M,-7.70M,,278.20M,25.70M,7.70M,-7.70M,,-7.70M,18.00M,6.30M,11.70M,-7.00M,,4.70M,11.70M,47.20M,21.50M,25.70M,0.12,-0.07,0.12,0.05,0.11,-0.07,0.11,0.04,95.60M,96.27M,0.32
2008-09,422.70M,428.20M,99.90M,328.30M,253.60M,253.60M,8.00M,10.20M,0.00,7.10M,-7.10M,,271.80M,56.50M,7.10M,-7.10M,,-7.10M,49.40M,7.70M,41.70M,-3.90M,,37.80M,41.70M,74.70M,18.20M,56.50M,0.44,-0.04,0.44,0.4,0.44,-0.04,0.44,0.4,94.10M,94.60M,0.32
2008-06,418.50M,428.90M,85.20M,343.70M,248.90M,248.90M,7.90M,10.30M,0.00,7.30M,-7.30M,,267.10M,76.60M,7.30M,-7.30M,,-7.30M,69.30M,27.60M,41.70M,-0.90M,,40.80M,41.70M,94.80M,18.20M,76.60M,0.45,-0.01,0.45,0.44,0.45,-0.01,0.45,0.44,93.00M,93.50M,0.32
2008-03,366.80M,375.80M,87.90M,287.90M,238.70M,238.70M,6.90M,8.90M,,6.50M,-6.50M,,254.50M,33.40M,6.50M,-6.50M,,-6.50M,26.90M,10.60M,16.30M,-22.30M,,-6.00M,16.30M,49.20M,15.80M,33.40M,0.18,-0.25,0.18,-0.07,0.18,-0.25,0.18,-0.07,92.30M,92.90M,0.32
2007-12,410.00M,410.00M,188.90M,221.10M,,148.90M,7.70M,8.00M,,,,,164.60M,56.50M,,,,,49.90M,14.80M,35.10M,-11.70M,,23.40M,35.10M,78.90M,22.40M,56.50M,0.38,-0.12,0.38,0.26,0.37,-0.12,0.37,0.25,91.97M,94.86M,0.31
2007-09,410.70M,410.70M,86.00M,324.70M,,238.80M,6.80M,7.10M,,,,,252.70M,72.00M,,,,,66.40M,14.00M,52.40M,-0.60M,,51.80M,52.40M,85.90M,8.50M,72.00M,0.56,-0.01,0.56,0.55,0.54,-0.01,0.54,0.54,94.18M,95.93M,0.31
2007-06,440.80M,440.80M,90.10M,350.70M,,238.10M,7.30M,7.90M,-3.60M,,,,253.30M,97.40M,,,-3.60M,,90.60M,46.80M,43.80M,,,43.80M,46.14M,114.90M,17.50M,97.40M,0.47,-0.02,0.494,0.45,0.46,-0.02,0.4835,0.44,97.33M,99.55M,0.31
2007-03,375.00M,375.00M,213.90M,161.10M,,77.60M,7.60M,7.10M,-44.40M,,,,92.30M,68.80M,,,-44.40M,,23.80M,2.50M,21.30M,-1.50M,,19.80M,61.04M,85.70M,16.90M,68.80M,0.21,-0.01,0.6114,0.2,0.21,-0.01,0.6114,0.2,99.00M,99.00M,0.31
2006-12,350.80M,350.80M,185.30M,165.50M,,193.80M,7.10M,4.30M,,,,,205.20M,-39.70M,,,,,17.00M,-7.50M,24.50M,,,24.60M,24.50M,-26.80M,12.90M,-39.70M,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,98.09M,98.31M,0.3
2006-09,421.20M,421.20M,80.90M,340.30M,,220.10M,8.90M,5.90M,-42.50M,,,,234.90M,105.40M,,,-42.50M,,60.80M,10.60M,50.20M,,,50.20M,85.29M,121.60M,16.20M,105.40M,0.52,0.0,0.8835,0.52,0.51,0.0,0.8665,0.51,96.54M,98.43M,0.3
2006-06,361.60M,370.60M,76.50M,294.10M,,219.30M,7.50M,5.50M,-3.00M,,,,232.30M,61.80M,,,-3.00M,,47.70M,11.10M,36.60M,,,36.60M,38.90M,78.70M,16.90M,61.80M,0.38,0.0,0.4039,0.38,0.37,0.0,0.3933,0.37,96.32M,98.92M,0.3
2006-03,327.50M,327.50M,73.60M,253.90M,,205.50M,7.40M,5.50M,-4.40M,,,,218.40M,35.50M,,,-4.40M,,29.00M,11.90M,17.10M,,,17.10M,19.74M,50.20M,14.70M,35.50M,0.18,0.0,0.2078,0.18,0.17,0.0,0.1962,0.17,95.00M,100.59M,0.3
2005-12,321.10M,321.10M,254.10M,67.00M,,166.30M,6.20M,1.90M,125.10M,,,,174.40M,-107.40M,,,125.10M,,14.60M,-3.40M,18.00M,-15.50M,,2.50M,-57.06M,-97.70M,9.70M,-107.40M,0.1885,-0.1667,-0.6072,0.0218,0.1885,-0.17,-0.5518,0.02,94.33M,101.40M,0.28
2005-09,389.90M,389.90M,75.70M,314.20M,,202.00M,8.10M,5.10M,-30.50M,,,,215.20M,99.00M,,,-30.50M,,65.60M,15.10M,50.50M,,,50.50M,73.98M,113.70M,14.70M,99.00M,0.53,0.0,0.7764,0.53,0.52,0.0,0.7618,0.52,95.28M,97.12M,0.28
2005-06,331.00M,371.10M,74.10M,297.00M,,189.10M,9.00M,5.30M,6.90M,,,,203.40M,93.60M,,,6.90M,,57.40M,13.20M,44.20M,7.60M,,51.80M,38.89M,109.30M,15.70M,93.60M,0.47,0.08,0.4136,0.55,0.46,0.08,0.4046,0.54,94.18M,95.93M,0.28
2005-03,312.90M,346.80M,69.50M,277.30M,,193.20M,8.50M,5.30M,-192.40M,,,,207.00M,70.30M,,,-192.40M,,-124.70M,-51.10M,-73.60M,-0.20M,,-73.80M,41.84M,86.80M,16.50M,70.30M,-0.8,-0.05,0.5296,-0.85,-0.8,-0.05,0.5296,-0.85,86.82M,86.82M,0.28
2004-12,187.00M,373.40M,70.00M,303.40M,,353.40M,8.00M,4.80M,313.40M,,,,366.20M,-62.80M,,,313.40M,,61.60M,12.40M,49.20M,-0.10M,,49.10M,-201.11M,-44.40M,18.40M,-62.80M,0.517,-0.0009,-2.23,0.5161,0.5,-0.0009,-2.123,0.51,91.11M,95.43M,0.25
2004-09,363.50M,363.50M,67.60M,295.90M,,178.80M,8.20M,4.10M,-33.70M,,,,191.10M,104.80M,,,-33.70M,,68.50M,13.80M,54.70M,-0.30M,,54.40M,81.61M,119.60M,14.80M,104.80M,0.59,0.0,0.8819,0.59,0.57,0.0,0.852,0.57,92.20M,95.44M,0.25
2004-06,306.00M,368.70M,65.70M,303.00M,,174.40M,8.50M,5.80M,8.70M,,,,188.70M,114.30M,,,8.70M,,57.90M,11.60M,46.30M,-0.20M,,46.10M,39.34M,130.50M,16.20M,114.30M,0.51,0.0,0.433,0.51,0.49,0.0,0.4161,0.49,90.39M,94.08M,0.25
2004-03,281.10M,332.90M,64.60M,268.30M,,165.30M,8.20M,3.00M,10.30M,,,,176.50M,91.80M,,,10.30M,,48.40M,9.60M,38.80M,0.10M,,38.90M,30.54M,105.70M,13.90M,91.80M,0.43,0.0,0.3387,0.43,0.41,0.0,0.323,0.41,90.47M,94.88M,0.25
2003-12,225.90M,322.80M,61.20M,261.60M,,186.50M,6.60M,2.30M,,,,,195.40M,66.20M,,,,,64.30M,15.40M,48.90M,,,49.20M,48.90M,79.90M,13.70M,66.20M,0.5412,0.0033,0.5412,0.5445,0.46,0.0033,0.46,0.53,89.81M,92.68M,0.18
2003-09,345.00M,345.00M,64.30M,280.70M,,203.50M,8.30M,2.50M,,,,,214.30M,66.40M,,,,,64.40M,15.50M,48.90M,,,48.90M,48.90M,82.70M,16.30M,66.40M,0.54,0.0,0.54,0.54,0.52,0.0,0.52,0.52,90.56M,94.04M,0.18
2003-06,299.00M,299.00M,63.50M,235.50M,,175.80M,7.20M,2.20M,,,,,185.20M,50.30M,,,,,48.30M,12.10M,36.20M,,,36.20M,36.20M,59.70M,8.40M,50.30M,0.4,0.0,0.4,0.4,0.39,0.0,0.39,0.39,90.50M,92.82M,0.18
2003-03,254.00M,254.00M,63.00M,191.00M,,168.00M,5.00M,2.00M,,,,,175.00M,16.00M,,,,,16.00M,4.00M,12.00M,,,12.00M,12.00M,26.30M,10.30M,16.00M,0.13,0.0,0.13,0.13,0.13,0.0,0.13,0.13,92.31M,92.31M,0.18
2002-12,298.00M,298.00M,68.40M,229.60M,,164.00M,7.30M,1.20M,,,,,172.50M,57.10M,,,,,54.80M,16.40M,38.40M,,,38.40M,38.40M,66.70M,9.60M,57.10M,0.417,,0.417,0.417,0.41,0.0,0.41,0.41,87.37M,93.41M,0.15
2002-09,256.50M,256.50M,56.90M,199.60M,,155.00M,6.90M,2.00M,,,,,163.90M,35.70M,,,,,33.30M,10.00M,23.30M,,,23.30M,23.30M,46.77M,11.07M,35.70M,0.26,0.0,0.26,0.26,0.25,0.0,0.25,0.25,88.10M,92.10M,0.15
2002-06,248.64M,248.64M,72.00M,176.64M,,145.33M,,,28.45M,,,,153.72M,22.92M,,,28.45M,,48.53M,14.07M,34.46M,,,34.46M,14.26M,31.31M,8.129M,22.92M,0.39,0.0,0.1614,0.39,0.37,0.0,0.1531,0.37,88.36M,93.14M,0.15
2002-03,249.00M,249.00M,67.00M,182.00M,,126.00M,5.00M,1.00M,,,,,132.00M,50.00M,,,,,49.00M,15.00M,34.00M,,,34.00M,34.00M,57.00M,7.00M,50.00M,0.39,0.0,0.39,0.39,0.37,0.0,0.37,0.37,85.40M,90.60M,0.15
