,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,2.115B,163.71M,2.279B,601.67M,,,601.67M,14.75M,51.70M,281.29M,,347.75M,,,,237.08M,3.466B,0.0,14.06M,294.52M,4.899B,499.82M,105.60M,5.813B,-3.706B,2.107B,,23.99B,23.99B,115.43M,,479.66M,26.69B,30.15B,331.39M,331.39M,2.609B,2.941B,,,1.009B,,1.009B,742.84M,742.84M,,,4.692B,15.15B,,15.15B,2.112B,471.63M,2.584B,0.441M,401.20M,,18.14B,22.83B,4.668M,4.005B,3.314B,,,1.359M,7.325B
2017-12,1.480B,501.16M,1.981B,653.95M,,,653.95M,18.32M,54.46M,248.23M,,321.01M,,,,329.39M,3.285B,0.0,14.06M,293.57M,4.946B,499.82M,103.18M,5.857B,-3.673B,2.184B,,23.75B,23.75B,113.46M,,438.68M,26.49B,29.77B,393.30M,393.30M,2.657B,3.050B,,,1.069B,,1.069B,709.07M,709.07M,,,4.828B,15.13B,,15.13B,2.020B,470.49M,2.490B,0.492M,383.39M,,18.01B,22.84B,4.664M,3.635B,3.296B,,,0.882M,6.937B
2017-09,1.583B,267.80M,1.851B,703.63M,,,703.63M,8.643M,76.81M,233.44M,,318.89M,,,,249.38M,3.123B,0.0,14.06M,291.33M,5.304B,499.82M,73.84M,6.183B,-3.805B,2.379B,,23.46B,23.46B,112.38M,,444.35M,26.40B,29.52B,374.13M,374.13M,2.624B,2.998B,,,1.241B,,1.241B,715.40M,715.40M,,,4.954B,15.12B,,15.12B,3.063B,464.44M,3.527B,1.425M,366.81M,,19.01B,23.97B,4.663M,2.250B,3.291B,,,6.174M,5.552B
2017-06,2.366B,20.56M,2.386B,737.03M,,,737.03M,8.794M,117.59M,247.29M,,373.68M,,,,215.87M,3.713B,0.0,14.06M,291.48M,5.379B,499.82M,60.75M,6.245B,-3.797B,2.448B,,23.20B,23.20B,119.75M,,438.82M,26.20B,29.92B,328.10M,328.10M,2.689B,3.017B,,,2.141B,,2.141B,743.13M,743.13M,,,5.902B,15.11B,,15.11B,2.851B,468.90M,3.320B,0.051M,350.64M,,18.78B,24.68B,4.661M,1.953B,3.275B,,,5.632M,5.238B
2017-03,6.782B,20.65M,6.803B,704.25M,,,704.25M,11.29M,129.69M,280.53M,,421.51M,1.50B,,,167.97M,9.597B,0.0,14.06M,290.02M,5.452B,499.82M,67.37M,6.324B,-3.773B,2.550B,,16.74B,16.74B,123.54M,,442.47M,19.85B,29.45B,556.32M,556.32M,2.318B,2.874B,,,942.45M,,942.45M,753.56M,753.56M,,,4.570B,16.29B,,16.29B,2.631B,464.14M,3.095B,-2.44M,334.49M,,19.72B,24.29B,4.655M,1.912B,3.237B,,,4.884M,5.158B
2016-12,5.325B,35.62M,5.360B,777.91M,,,777.91M,10.27M,129.51M,282.57M,,422.35M,1.50B,,,220.01M,8.280B,0.0,14.06M,288.99M,5.505B,499.82M,88.24M,6.396B,-3.742B,2.654B,,16.53B,16.53B,33.25M,,414.93M,19.63B,27.91B,524.70M,524.70M,2.352B,2.877B,,,941.90M,,941.90M,773.98M,773.98M,,,4.593B,15.54B,,15.54B,2.386B,463.24M,2.849B,-2.226M,319.63M,,18.71B,23.30B,4.652M,1.537B,3.071B,,,0.781M,4.614B
2016-09,4.784B,176.94M,4.961B,815.87M,,,815.87M,12.36M,103.89M,363.16M,,479.40M,,,,1.644B,7.901B,0.0,5.504M,91.27M,5.156B,499.82M,60.81M,5.813B,-3.147B,2.666B,,16.27B,16.27B,324.37M,,418.88M,19.68B,27.58B,610.93M,610.93M,2.226B,2.837B,,,937.49M,,937.49M,815.94M,815.94M,,,4.590B,15.53B,,15.53B,2.383B,460.73M,2.843B,-0.535M,316.82M,,18.69B,23.28B,4.65M,1.009B,3.278B,,,0.657M,4.293B
2016-06,3.349B,137.93M,3.487B,861.18M,,,861.18M,10.75M,83.11M,381.33M,,475.19M,,,,89.41M,4.913B,0.0,5.504M,89.62M,4.884B,499.82M,438.79M,5.918B,-3.167B,2.751B,,16.04B,16.04B,324.37M,,420.78M,19.54B,24.45B,575.20M,575.20M,2.295B,2.870B,,,35.51M,,35.51M,855.17M,855.17M,,,3.761B,14.20B,,14.20B,2.233B,429.26M,2.663B,-1.353M,305.22M,,17.17B,20.93B,4.648M,701.94M,2.812B,,,2.39M,3.521B
2016-03,708.97M,161.63M,870.61M,806.09M,,,806.09M,9.482M,74.40M,371.37M,,455.26M,,,,101.26M,2.558B,0.0,5.504M,88.69M,4.983B,499.82M,416.68M,5.994B,-3.148B,2.846B,,15.85B,15.85B,324.37M,,426.89M,19.45B,22.01B,561.35M,561.35M,2.379B,2.940B,,,35.20M,,35.20M,869.37M,869.37M,,,3.845B,12.22B,,12.22B,2.138B,390.38M,2.528B,-1.455M,298.76M,,15.04B,18.89B,4.647M,291.48M,2.807B,,,19.61M,3.123B
2015-12,1.053B,557.91M,1.611B,864.03M,,,864.03M,10.67M,74.83M,304.83M,,390.33M,,,,120.99M,3.543B,0.0,5.504M,86.93M,5.060B,499.82M,382.46M,6.035B,-3.110B,2.924B,,15.69B,15.69B,327.25M,,402.48M,19.34B,22.89B,470.23M,470.23M,2.289B,2.759B,,,1.534B,,1.534B,869.66M,869.66M,,,5.163B,12.22B,,12.22B,2.085B,385.03M,2.470B,-1.00M,284.24M,,14.98B,20.14B,5.203M,1.471B,2.780B,1.569B,,61.98M,2.749B
2015-09,1.244B,368.65M,1.613B,905.14M,,,905.14M,124.05M,91.98M,192.60M,,408.62M,9.996B,,25.67M,111.13M,13.63B,0.0,5.504M,87.45M,5.057B,499.82M,1.052B,6.702B,-2.947B,3.755B,,4.968B,4.968B,327.25M,,427.01M,9.477B,23.10B,444.98M,444.98M,2.393B,2.838B,,,1.533B,,1.533B,894.72M,894.72M,,,5.266B,12.23B,,12.23B,2.072B,407.34M,2.479B,-0.394M,274.34M,,14.98B,20.25B,5.193M,1.596B,2.752B,1.569B,,72.20M,2.856B
2015-06,694.25M,401.26M,1.096B,1.019B,,,1.019B,126.16M,106.40M,233.65M,,466.20M,9.996B,,25.67M,124.78M,13.28B,0.0,5.504M,87.02M,5.116B,499.82M,972.60M,6.681B,-2.911B,3.770B,,4.968B,4.968B,327.25M,,418.52M,9.484B,22.76B,447.14M,447.14M,2.398B,2.845B,,,1.533B,,1.533B,931.56M,931.56M,,,5.309B,12.24B,,12.24B,2.001B,294.91M,2.296B,-1.178M,255.75M,,14.79B,20.10B,5.192M,1.400B,2.750B,1.569B,,82.16M,2.668B
2015-03,1.050B,349.15M,1.399B,928.51M,,,928.51M,166.53M,96.64M,221.58M,,484.75M,9.996B,,25.67M,128.99M,13.41B,0.0,5.504M,86.04M,5.178B,499.82M,871.68M,6.641B,-2.855B,3.786B,,4.968B,4.968B,327.25M,,429.78M,9.512B,22.93B,468.60M,468.60M,2.357B,2.825B,,,2.182B,,2.182B,917.14M,917.14M,,,5.925B,12.24B,,12.24B,1.939B,283.98M,2.223B,-2.228M,248.84M,,14.71B,20.64B,5.184M,1.075B,2.700B,1.569B,,79.03M,2.291B
2014-12,7.104B,2.132B,9.236B,951.49M,,,951.49M,159.10M,82.42M,252.24M,,493.75M,1.32B,,,167.12M,12.55B,0.0,5.504M,85.51M,5.216B,499.82M,774.57M,6.582B,-2.808B,3.774B,,4.985B,4.985B,327.25M,,407.69M,9.493B,22.05B,416.99M,416.99M,2.123B,2.540B,,,681.47M,,681.47M,891.37M,891.37M,,,4.113B,13.75B,,13.75B,1.857B,276.28M,2.133B,-0.875M,41.50M,,15.92B,20.03B,5.178M,723.99M,2.679B,1.569B,,174.51M,2.013B
2014-09,4.751B,4.522B,9.272B,1.028B,,,1.028B,159.21M,88.32M,280.48M,,528.01M,53.88M,,136.24M,144.73M,11.41B,0.0,5.504M,84.64M,5.222B,499.82M,745.13M,6.557B,-2.754B,3.803B,,4.968B,4.968B,465.16M,,473.51M,9.710B,21.12B,545.48M,545.48M,2.441B,2.987B,,,1.581B,,1.581B,898.69M,898.69M,,,5.467B,11.79B,,11.79B,1.977B,324.03M,2.301B,1.194M,21.41M,,14.11B,19.58B,5.169M,314.06M,2.627B,1.569B,,166.83M,1.544B
2014-06,4.127B,4.776B,8.903B,972.78M,,,972.78M,160.33M,96.14M,271.86M,,528.34M,94.05M,,135.95M,167.08M,11.09B,0.0,5.505M,84.53M,5.236B,499.82M,641.75M,6.468B,-2.721B,3.747B,,4.968B,4.968B,473.83M,,486.29M,9.675B,20.77B,500.20M,500.20M,2.263B,2.763B,,,1.666B,,1.666B,878.76M,878.76M,,,5.308B,11.80B,,11.80B,1.988B,240.69M,2.229B,8.687M,,,14.02B,19.33B,5.167M,168.54M,2.633B,1.569B,,190.13M,1.427B
2014-03,4.169B,4.793B,8.961B,939.81M,,,939.81M,130.11M,110.10M,282.68M,,522.89M,1.607B,,135.95M,134.90M,12.59B,0.0,5.504M,84.12M,5.191B,499.82M,580.36M,6.360B,-2.656B,3.704B,,3.297B,3.297B,471.10M,,490.39M,7.962B,20.55B,543.81M,543.81M,2.187B,2.730B,,,1.030B,,1.030B,876.03M,876.03M,,,4.637B,12.57B,,12.57B,1.952B,247.26M,2.199B,14.84M,,,14.77B,19.41B,5.146M,-44.77M,2.555B,1.569B,,184.40M,1.130B
2013-12,4.700B,5.039B,9.739B,957.52M,,,957.52M,102.56M,110.17M,299.98M,,512.71M,446.16M,,129.86M,167.05M,12.31B,0.0,5.692M,83.53M,6.219B,499.82M,515.45M,7.323B,-3.226B,4.098B,,3.333B,3.333B,151.27M,,461.49M,8.043B,20.36B,636.96M,636.96M,1.987B,2.624B,,,1.035B,,1.035B,843.39M,843.39M,,49.47M,4.552B,12.60B,,12.60B,1.946B,245.49M,2.191B,19.92M,0.00,,14.81B,19.36B,5.144M,-220.70M,2.588B,1.569B,,173.87M,977.08M
2013-09,4.793B,5.509B,10.30B,928.85M,,,928.85M,116.11M,125.00M,339.60M,,580.71M,135.51M,,99.22M,292.50M,12.34B,,,,,,,7.239B,-3.183B,4.056B,,3.333B,3.333B,141.96M,,475.79M,8.006B,20.35B,601.54M,601.54M,1.972B,2.573B,,,487.04M,,487.04M,862.94M,862.94M,,,3.923B,13.62B,,13.62B,1.801B,270.97M,2.072B,24.77M,,,15.70B,19.62B,5.138M,-508.74M,2.569B,1.569B,,205.08M,701.06M
2013-06,4.094B,5.433B,9.527B,902.23M,,,902.23M,141.90M,99.96M,335.43M,,577.29M,91.46M,,99.85M,963.90M,12.16B,,,,,,,7.121B,-3.131B,3.990B,,3.337B,3.337B,134.30M,,442.96M,7.904B,20.07B,616.10M,616.10M,1.973B,2.589B,,,535.84M,,535.84M,887.34M,887.34M,,,4.012B,13.63B,,13.63B,1.665B,386.29M,2.051B,25.77M,,,15.68B,19.70B,5.121M,-823.65M,2.517B,1.569B,,214.53M,343.92M
2013-03,2.931B,4.164B,7.095B,876.46M,,,876.46M,89.39M,112.77M,369.23M,,571.38M,19.88M,,99.85M,673.91M,9.337B,,,,,,,7.554B,-3.099B,4.455B,,3.340B,3.340B,125.35M,,397.47M,8.318B,17.65B,576.93M,576.93M,1.856B,2.433B,,,536.40M,,536.40M,903.36M,903.36M,,,3.873B,11.34B,,11.34B,1.716B,402.74M,2.119B,30.02M,,,13.46B,17.33B,5.096M,-812.60M,2.463B,1.569B,,203.69M,289.94M
2012-12,3.574B,3.632B,7.205B,860.72M,,,860.72M,122.77M,82.36M,260.45M,,465.58M,110.61M,,93.77M,85.11M,9.059B,0.0,5.395M,79.87M,6.292B,499.82M,514.23M,7.391B,-3.025B,4.367B,,3.342B,3.342B,119.05M,,493.10M,8.320B,17.38B,511.43M,511.43M,1.872B,2.384B,,,537.28M,,537.28M,839.89M,839.89M,,163.54M,3.924B,11.35B,,11.35B,1.675B,347.28M,2.022B,34.76M,,,13.38B,17.31B,5.09M,-1.028B,2.441B,1.569B,,188.80M,36.87M
2012-09,3.088B,3.312B,6.400B,821.21M,,,821.21M,217.44M,75.40M,335.97M,,628.82M,,,82.02M,403.79M,8.336B,,,,,,,7.368B,-3.000B,4.368B,,3.273B,3.273B,248.56M,,288.62M,8.178B,16.51B,480.46M,480.46M,2.776B,3.257B,,,33.93M,,33.93M,851.41M,851.41M,,,4.142B,10.36B,,10.36B,1.623B,242.79M,1.866B,40.42M,,,12.22B,16.36B,5.074M,-784.41M,2.400B,1.569B,,57.81M,109.16M
2012-06,2.596B,2.243B,4.839B,830.83M,,,830.83M,249.83M,64.85M,332.54M,,647.22M,,,44.42M,135.38M,6.497B,,,,,,,7.312B,-2.964B,4.348B,,3.273B,3.273B,240.49M,,163.31M,8.024B,14.52B,465.26M,465.26M,2.175B,2.640B,,,34.50M,,34.50M,841.37M,841.37M,,,3.516B,9.365B,,9.365B,1.260B,208.19M,1.468B,1.096M,,,10.83B,14.35B,5.066M,-625.95M,2.381B,1.569B,,-19.06M,171.28M
2012-03,1.359B,1.335B,2.693B,776.57M,,,776.57M,235.05M,41.42M,393.54M,,670.01M,,,73.01M,136.67M,4.349B,,,,,,,7.233B,-2.920B,4.314B,,3.340B,3.340B,255.22M,,150.70M,8.060B,12.41B,523.76M,523.76M,2.179B,2.702B,,,35.98M,,35.98M,832.68M,832.68M,,,3.571B,7.474B,,7.474B,1.188B,231.34M,1.420B,1.183M,,,8.894B,12.47B,5.035M,-851.68M,2.304B,1.569B,,55.43M,-56.77M
2011-12,609.11M,1.432B,2.041B,794.82M,,,794.82M,183.71M,31.54M,491.90M,,707.15M,0.00,,73.01M,131.99M,3.748B,0.0,15.89M,99.35M,5.369B,499.82M,48.78M,6.033B,-2.863B,3.170B,,1.424B,1.424B,2.755B,,374.18M,7.722B,11.47B,455.41M,455.41M,1.897B,2.352B,,,35.64M,,35.64M,832.39M,832.39M,,,3.221B,7.458B,,7.458B,974.41M,236.18M,1.211B,1.367M,,,8.669B,11.89B,5.031M,-1.212B,2.274B,1.569B,,82.04M,-420.37M
2011-09,1.046B,2.319B,3.365B,825.42M,,,825.42M,179.14M,30.36M,294.56M,163.42M,667.49M,,,211.43M,354.29M,5.423B,,,,,,,5.994B,-2.810B,3.185B,,1.391B,1.391B,1.514B,,1.522B,7.612B,13.04B,514.46M,514.46M,1.787B,2.301B,,,945.89M,,945.89M,824.99M,824.99M,,,4.072B,7.462B,,7.462B,1.156B,242.22M,1.399B,1.584M,,,8.860B,12.93B,5.023M,-631.37M,2.253B,1.569B,,44.88M,101.75M
2011-06,1.855B,2.738B,4.593B,830.91M,,,830.91M,80.50M,33.16M,317.14M,137.85M,568.66M,,,231.01M,189.26M,6.413B,,,,,,,5.910B,-2.688B,3.222B,,1.391B,1.391B,1.524B,,278.02M,6.415B,12.83B,471.50M,471.50M,1.907B,2.379B,,,1.030B,,1.030B,839.60M,839.60M,,,4.249B,7.471B,,7.471B,989.96M,210.78M,1.201B,1.696M,,,8.672B,12.92B,5.021M,-950.46M,2.243B,1.569B,,177.89M,-94.30M
2011-03,1.164B,2.250B,3.414B,740.83M,,,740.83M,87.43M,38.87M,301.40M,,427.70M,,,233.64M,180.84M,4.997B,,,,,,,5.981B,-2.726B,3.255B,,1.391B,1.391B,555.98M,,81.09M,5.284B,10.28B,370.78M,370.78M,1.763B,2.134B,,,1.028B,,1.028B,845.80M,845.80M,,284.35M,4.292B,5.479B,,5.479B,806.86M,205.83M,1.013B,1.618M,,,6.491B,10.78B,4.995M,-1.285B,2.191B,1.569B,,154.86M,-504.09M
2010-12,640.67M,2.300B,2.940B,786.05M,,,786.05M,143.11M,39.40M,305.07M,,487.58M,,,216.90M,142.49M,4.573B,0.0,3.948M,70.47M,5.826B,,16.84M,5.917B,-2.685B,3.232B,,1.391B,1.391B,368.95M,,66.02M,5.059B,9.632B,400.76M,400.76M,1.645B,2.046B,,,1.031B,,1.031B,803.77M,803.77M,,619.02M,4.499B,5.484B,,5.484B,567.69M,214.57M,782.25M,0.486M,,,6.266B,10.77B,4.993M,-1.835B,2.172B,1.569B,,93.36M,-1.134B
2010-09,714.36M,1.945B,2.660B,799.56M,,,799.56M,189.82M,45.32M,287.70M,,522.84M,,,147.51M,193.78M,4.323B,,,,,,,5.853B,-2.658B,3.196B,,1.391B,1.391B,313.82M,,68.83M,4.970B,9.293B,558.35M,558.35M,1.647B,2.205B,,,26.17M,,26.17M,813.02M,813.02M,,545.57M,3.590B,6.489B,,6.489B,403.68M,226.40M,630.08M,0.459M,,,7.119B,10.71B,4.991M,-2.082B,2.167B,1.569B,,61.46M,-1.417B
2010-06,308.45M,2.286B,2.594B,826.79M,,,826.79M,183.98M,37.26M,243.67M,,464.91M,,,144.11M,71.21M,4.102B,,,,,,,5.777B,-2.626B,3.151B,,1.391B,1.391B,315.54M,,71.58M,4.930B,9.031B,495.64M,495.64M,1.694B,2.189B,,,28.69M,,28.69M,820.52M,820.52M,,454.47M,3.493B,6.478B,,6.478B,357.71M,282.80M,640.51M,0.445M,,,7.118B,10.61B,4.99M,-2.273B,2.163B,1.477B,,0.802M,-1.581B
2010-03,99.92M,2.348B,2.448B,750.96M,,,750.96M,85.92M,38.27M,231.96M,,356.15M,0.00,,147.09M,72.92M,3.775B,,,,,,,5.698B,-2.563B,3.135B,,1.391B,1.391B,313.24M,,74.23M,4.914B,8.689B,508.89M,508.89M,1.670B,2.179B,,,26.63M,,26.63M,840.30M,840.30M,,423.76M,3.470B,6.463B,,6.463B,289.24M,317.26M,606.50M,0.451M,,,7.069B,10.54B,4.973M,-2.530B,2.127B,1.477B,,23.60M,-1.851B
2009-12,105.84M,2.033B,2.139B,779.87M,,,779.87M,60.84M,35.92M,199.19M,,295.95M,,,139.71M,121.09M,3.476B,0.0,3.948M,66.61M,5.006B,,453.24M,5.529B,-2.487B,3.042B,,1.391B,1.391B,311.72M,,73.97M,4.819B,8.295B,520.28M,520.28M,1.531B,2.051B,,,26.52M,,26.52M,815.88M,815.88M,,393.57M,3.287B,6.470B,,6.470B,312.78M,316.93M,629.70M,0.483M,,,7.100B,10.39B,4.973M,-2.761B,2.120B,1.462B,,5.614M,-2.092B
2009-09,155.57M,2.478B,2.633B,819.93M,,,819.93M,72.31M,59.34M,179.65M,,278.12M,,,101.87M,173.77M,4.007B,,,,,,,5.266B,-2.397B,2.869B,,1.391B,1.391B,310.48M,,80.44M,4.652B,8.659B,559.78M,559.78M,1.874B,2.434B,25.00M,27.19M,52.19M,,52.19M,810.61M,810.61M,,,3.297B,6.076B,,6.076B,280.44M,387.47M,667.91M,0.557M,,,6.744B,10.04B,4.969M,-2.036B,2.114B,1.462B,,,-1.382B
2009-06,112.86M,1.208B,1.321B,846.60M,,,846.60M,125.08M,63.91M,166.84M,,323.10M,,,110.79M,182.94M,2.784B,,,,,,,5.351B,-2.557B,2.794B,,1.391B,1.391B,239.87M,,55.74M,4.481B,7.266B,456.27M,456.27M,1.710B,2.166B,25.00M,22.87M,47.87M,,47.87M,810.75M,810.75M,,,3.025B,5.079B,,5.079B,289.70M,392.38M,682.08M,,,,5.761B,8.786B,4.969M,-2.117B,2.112B,1.462B,,-57.71M,-1.520B
