,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-03,345.43M,345.43M,89.90M,255.54M,43.04M,12.16M,,,,94.35M,178.78M,76.75M,,,12.16M,,29.18M,9.081M,20.10M,103.82M,,,0.227M,123.92M,11.72M,118.67M,41.92M,76.75M,,0.28,1.44,,,0.1637,1.72,,0.28,1.43,,,0.1642,1.71,,72.04M,72.34M,0.19,,,
2002-12,331.05M,331.05M,83.32M,247.74M,72.67M,21.20M,,,,95.43M,209.65M,38.08M,,,21.20M,,-1.543M,-29.62M,28.08M,-127.40M,,,0.415M,-99.32M,15.36M,79.63M,39.11M,38.08M,,0.39,-1.74,,,0.2144,-1.35,,0.3869,-1.782,,,0.2114,-1.395,,72.47M,72.47M,0.30,,,
2002-09,442.14M,442.14M,114.63M,327.52M,37.32M,-22.19M,,,,93.10M,171.42M,156.10M,,,-22.19M,,72.03M,25.31M,46.72M,-3.155M,,,0.265M,43.57M,61.12M,197.10M,-11.70M,156.10M,,0.65,-0.04,,,0.8515,0.61,,0.64,-0.04,,,0.8397,0.60,,71.44M,72.06M,0.30,,,
2002-06,505.13M,505.13M,205.23M,299.89M,78.19M,10.68M,,,,97.63M,243.03M,56.86M,,,10.68M,,-1.746M,-6.779M,5.033M,-1.343M,,-0.266M,0.231M,9.275M,-1.377M,151.07M,94.20M,56.86M,,0.09,-0.02,,0.0780,0.0005,0.18,,0.09,-0.02,,0.0780,0.0005,0.18,,71.65M,71.65M,0.30,,,
2002-03,317.24M,317.24M,88.49M,228.75M,64.99M,28.81M,,,,93.39M,206.48M,22.27M,,,28.81M,,-0.628M,-6.387M,5.759M,-752.28M,,,,-746.53M,-11.53M,70.37M,46.98M,22.27M,,0.08,-10.54,,,-0.1622,-10.46,,0.08,-10.54,,,-0.1622,-10.46,,71.37M,71.37M,0.30,,,
2001-12,-38.27M,-38.27M,-22.69M,-15.58M,-69.44M,1.559M,,,,75.35M,-115.50M,99.92M,,,1.559M,,74.45M,7.066M,67.38M,-98.50M,0.00,,0.123M,-31.12M,65.97M,208.42M,108.50M,99.92M,,0.96,-1.13,0.00,,0.9402,-0.44,,0.96,-1.13,-0.0006,,0.9402,-0.44,,71.09M,71.09M,0.30,,,
2001-09,513.49M,513.49M,157.69M,355.80M,82.41M,22.94M,,,,79.96M,265.34M,90.46M,,,22.94M,,50.01M,13.86M,36.14M,-0.168M,,3.225M,0.207M,35.98M,19.56M,193.44M,101.19M,90.46M,,0.51,0.00,,,0.2756,0.51,,0.50,0.00,,,0.2656,0.50,,70.74M,70.74M,0.30,,,
2001-06,520.83M,520.83M,236.66M,284.16M,83.11M,-2.49M,,,,106.48M,291.82M,-7.653M,,,-2.49M,,-70.31M,-34.35M,-35.96M,-0.054M,,4.451M,0.282M,-30.19M,-34.47M,94.58M,101.47M,-7.653M,,-0.51,0.08,,0.0827,-0.4888,-0.43,,-0.51,0.08,,0.0827,-0.4888,-0.43,,70.41M,70.41M,0.30,,,
2001-03,560.74M,560.74M,269.60M,291.14M,78.87M,10.11M,,,,92.68M,274.04M,17.09M,,,10.11M,,-38.23M,-19.04M,-19.19M,,18.69M,1.271M,0.282M,4.45M,-25.25M,119.58M,102.49M,17.09M,,-0.28,0.34,0.00,0.0703,-0.3662,0.06,,-0.28,0.34,0.2657,0.0703,-0.3662,0.06,,70.36M,70.36M,0.30,,,
2000-12,580.61M,580.61M,282.15M,298.46M,96.57M,23.32M,,,,84.25M,285.91M,12.55M,,,23.32M,,-32.18M,-5.874M,-26.31M,,0.00,4.288M,0.283M,-19.62M,-45.37M,117.65M,95.90M,12.55M,,-0.40,0.10,0.00,0.0939,-0.6723,-0.30,,-0.40,0.10,0.0003,0.0939,-0.6723,-0.30,,69.99M,69.99M,0.30,,,
2000-09,759.56M,759.56M,364.03M,395.53M,84.20M,16.77M,,,,84.94M,274.53M,121.00M,,,16.77M,,66.54M,12.55M,53.99M,,,3.661M,0.282M,60.71M,40.38M,226.39M,105.26M,121.00M,,0.78,0.18,,0.0968,0.5839,0.96,,0.77,0.18,,0.0968,0.5739,0.95,,69.38M,69.38M,0.30,,,
2000-06,546.61M,546.61M,214.72M,331.89M,76.92M,33.75M,,,,82.65M,267.67M,64.22M,,,33.75M,,26.72M,3.158M,23.56M,,,1.059M,0.282M,40.91M,-6.199M,172.32M,103.73M,64.22M,,0.34,0.25,,0.2524,-0.0931,0.59,,0.34,0.25,,0.2524,-0.0931,0.59,,68.73M,68.73M,0.30,,,
2000-03,481.70M,481.70M,174.94M,306.76M,84.92M,118.58M,,,,86.21M,278.90M,27.86M,,,118.58M,,76.03M,36.23M,39.80M,,-3.81M,-0.383M,,54.48M,-31.35M,135.64M,103.41M,27.86M,,0.61,0.27,0.00,0.2730,-0.4404,0.88,,0.61,0.27,-0.0562,0.2730,-0.4404,0.88,,67.73M,67.73M,0.535,,,
1999-12,444.39M,444.39M,126.35M,318.04M,93.11M,1.813M,,,,194.12M,390.29M,-72.25M,,,1.813M,,-140.24M,-54.60M,-85.65M,,,4.20M,,-73.90M,-86.75M,30.82M,,-72.25M,,-1.29,0.18,,,-1.307,-1.11,,-1.29,0.18,,,-1.306,-1.11,,66.34M,67.33M,0.535,,,
1999-09,649.00M,649.00M,232.80M,416.20M,100.60M,10.30M,,,,67.50M,298.20M,118.00M,,,10.30M,,59.00M,10.00M,49.00M,,,6.50M,,49.00M,40.45M,248.10M,,118.00M,,0.72,0.00,,,0.5943,0.72,,0.72,0.00,,,0.5943,0.72,,68.06M,68.06M,0.535,,,
1999-06,476.10M,476.10M,151.70M,324.40M,75.00M,15.50M,,,,84.50M,246.30M,78.10M,,,15.50M,,21.30M,2.80M,18.50M,,,1.10M,,18.50M,5.038M,164.90M,,78.10M,,0.27,0.00,,,0.0735,0.27,,0.27,0.00,,,0.0735,0.27,,68.52M,68.52M,0.535,,,
1999-03,460.60M,460.60M,147.90M,312.70M,71.90M,22.50M,,,,79.10M,234.80M,77.90M,,,22.50M,,30.30M,9.60M,20.70M,,,0.70M,,20.70M,5.329M,161.70M,,77.90M,,0.31,0.00,,,0.0798,0.31,,0.31,0.00,,,0.0798,0.31,,66.77M,66.77M,0.535,,,
1998-12,487.05M,487.05M,176.06M,311.00M,91.51M,-26.57M,,,,194.52M,381.36M,-70.36M,,,-26.57M,,-155.49M,-58.84M,-96.64M,,,3.262M,,-96.65M,-80.13M,24.96M,,-70.36M,,-1.38,0.00,,-0.0006,-1.140,-1.38,,-1.38,0.00,,-0.0006,-1.162,-1.38,,68.93M,75.85M,0.535,,,
1998-09,701.40M,701.40M,336.00M,365.40M,54.50M,15.50M,,,,82.40M,209.10M,156.30M,,,15.50M,,112.20M,40.80M,71.40M,,,-0.20M,,71.40M,61.54M,228.50M,,156.30M,,1.10,0.00,,,0.9480,1.10,,1.10,0.00,,,0.9480,1.10,,64.91M,64.91M,0.535,,,
1998-06,463.30M,463.30M,172.00M,291.30M,68.60M,29.00M,,,,81.80M,219.00M,72.30M,,,29.00M,,46.10M,16.70M,29.40M,,,-0.20M,,31.00M,10.91M,140.90M,,72.30M,,0.48,0.02,,0.0258,0.1817,0.50,,0.48,0.02,,0.0258,0.1817,0.50,,62.00M,62.00M,0.535,,,
1998-03,382.30M,382.30M,130.30M,252.00M,48.60M,23.60M,,,,77.70M,187.20M,64.80M,,,23.60M,,37.90M,8.10M,29.80M,,,-0.10M,,29.80M,11.24M,125.70M,,64.80M,,0.45,0.00,,,0.1698,0.45,,0.45,0.00,,,0.1698,0.45,,66.22M,66.22M,0.535,,,
1997-12,511.60M,511.60M,252.40M,259.20M,132.80M,20.80M,,,,169.20M,375.80M,-116.60M,,,20.80M,,-134.90M,-60.60M,-74.30M,,,4.70M,,-74.30M,-86.78M,-42.80M,,-116.60M,,-1.23,0.00,,,-1.411,-1.23,,-1.23,0.00,,,-1.411,-1.23,,69.09M,69.09M,0.525,,,
1997-09,560.00M,560.00M,221.30M,338.70M,71.00M,859.00M,,,,96.00M,228.40M,110.30M,,,859.00M,,919.80M,411.40M,508.40M,,,-0.50M,,508.40M,-7.00M,171.70M,,110.30M,,7.77,0.00,,,-0.1070,7.77,,7.77,0.00,,,-0.1070,7.77,,65.43M,65.43M,0.525,,,
1997-06,454.00M,454.00M,188.50M,265.50M,49.10M,28.10M,,,,98.10M,208.00M,57.50M,,,28.10M,,33.60M,9.30M,24.30M,,,-0.30M,,24.30M,3.978M,118.30M,,57.50M,,0.36,0.00,,,0.0589,0.36,,0.36,0.00,,,0.0589,0.36,,67.50M,67.50M,0.525,,,
1997-03,626.20M,626.20M,315.80M,310.40M,53.10M,10.40M,,,,93.30M,207.10M,103.30M,,,10.40M,,63.90M,22.90M,41.00M,,,-0.30M,,41.00M,34.33M,164.00M,,103.30M,,0.61,0.00,,,0.5107,0.61,,0.61,0.00,,,0.5107,0.61,,67.21M,67.21M,0.525,,,
1996-12,564.90M,564.90M,420.00M,144.90M,,16.40M,,,,-93.00M,74.90M,70.00M,,,16.40M,,42.50M,9.90M,32.60M,,,,,32.60M,20.02M,114.40M,,70.00M,,0.48,0.00,,,0.2963,0.48,,0.48,0.00,,,0.2963,0.48,,68.48M,68.48M,0.515,,,
1996-09,490.20M,490.20M,119.10M,371.10M,,8.80M,25.40M,,,157.50M,239.50M,131.60M,,,8.80M,,100.80M,37.90M,62.90M,,,,,62.90M,57.41M,188.20M,,131.60M,,0.87,0.00,,,0.7940,0.87,,0.87,0.00,,,0.7940,0.87,,72.30M,72.30M,0.515,,,
1996-06,436.10M,436.10M,122.70M,313.40M,,6.10M,25.40M,,,162.10M,239.60M,73.80M,,,6.10M,,43.70M,15.00M,28.70M,,,,,28.70M,24.69M,125.90M,,73.80M,,0.40,0.00,,,0.3442,0.40,,0.40,0.00,,,0.3442,0.40,,71.75M,71.75M,0.515,,,
1996-03,555.60M,555.60M,221.30M,334.30M,,4.20M,25.10M,,,166.10M,239.40M,94.90M,,,4.20M,,66.40M,21.60M,44.80M,,,,,44.80M,41.97M,143.10M,,94.90M,,0.66,0.00,,,0.6183,0.66,,0.66,0.00,,,0.6183,0.66,,67.88M,67.88M,0.515,,,
1995-12,458.40M,458.40M,297.00M,161.40M,,9.70M,,,,-70.30M,82.30M,79.10M,,,9.70M,,55.10M,8.60M,46.50M,,,,,46.50M,38.31M,123.30M,,79.10M,,0.69,0.00,,,0.5685,0.69,,0.69,0.00,,,0.5685,0.69,,67.40M,67.40M,0.505,,,
1995-09,470.30M,470.30M,110.20M,360.10M,,3.60M,24.60M,,,148.60M,216.50M,143.60M,,,3.60M,,116.00M,44.10M,71.90M,,,,,71.90M,69.67M,186.90M,,143.60M,,1.10,0.00,,,1.066,1.10,,1.10,0.00,,,1.066,1.10,,65.36M,65.36M,0.505,,,
1995-06,372.30M,372.30M,95.00M,277.30M,,1.60M,24.60M,,,148.50M,217.90M,59.40M,,,1.60M,,31.30M,9.60M,21.70M,,,,,21.70M,20.59M,104.20M,,59.40M,,0.30,0.00,,,0.2847,0.30,,0.30,0.00,,,0.2847,0.30,,72.33M,72.33M,0.505,,,
1995-03,443.40M,443.40M,156.80M,286.60M,,2.20M,24.50M,,,126.50M,194.90M,91.70M,,,2.20M,,63.80M,22.20M,41.60M,,,,,41.60M,40.17M,135.60M,,91.70M,,0.62,0.00,,,0.5986,0.62,,0.62,0.00,,,0.5986,0.62,,67.10M,67.10M,0.505,,,
1994-12,506.10M,506.10M,117.30M,388.80M,,2.30M,21.50M,,,240.20M,307.40M,81.40M,,,2.30M,,51.20M,17.80M,33.40M,,,,,33.40M,31.90M,127.10M,,81.40M,,0.48,0.00,,,0.4581,0.48,,0.48,0.00,,,0.4581,0.48,,68.38M,68.38M,0.495,,,
1994-09,379.20M,379.20M,90.80M,288.40M,,2.40M,25.60M,,,102.00M,170.10M,118.30M,,,2.40M,,92.10M,34.40M,57.70M,,,,,57.70M,56.20M,160.80M,,118.30M,,0.88,0.00,,,0.8571,0.88,,0.88,0.00,,,0.8571,0.88,,65.57M,65.57M,0.495,,,
1994-06,341.10M,341.10M,96.80M,244.30M,,3.70M,25.60M,,,105.60M,174.50M,69.80M,,,3.70M,,46.20M,16.00M,30.20M,,,,,30.20M,27.78M,113.10M,,69.80M,,0.44,0.00,,,0.4048,0.44,,0.44,0.00,,,0.4048,0.44,,68.64M,68.64M,0.495,,,
1994-03,538.40M,538.40M,257.60M,280.80M,,22.90M,32.00M,,,103.70M,179.80M,101.00M,,,22.90M,,93.40M,27.30M,66.10M,,,,,66.10M,49.89M,145.10M,,101.00M,,1.02,0.00,,,0.7699,1.02,,1.02,0.00,,,0.7699,1.02,,64.80M,64.80M,0.495,,,
1993-12,510.40M,510.40M,,,,,,,,,,510.40M,,,,,,,35.10M,,,,,35.10M,35.10M,510.40M,,510.40M,,0.50,0.00,,,0.50,0.50,,0.50,0.00,,,0.50,0.50,,62.18M,62.18M,0.485,,,
1993-09,419.00M,419.00M,,,,,,,,,,419.00M,,,,,,,56.80M,,,,,56.80M,56.80M,419.00M,,419.00M,,0.90,0.00,,,0.90,0.90,,0.90,0.00,,,0.90,0.90,,59.33M,59.33M,0.485,,,
1993-06,400.40M,400.40M,,,,,,,,,,400.40M,,,,,,,30.70M,,,,,30.70M,30.70M,400.40M,,400.40M,,0.47,0.00,,,0.47,0.47,,0.47,0.00,,,0.47,0.47,,58.09M,58.09M,0.485,,,
1993-03,579.60M,579.60M,,,,,,,,,,579.60M,,,,,,,54.80M,,,,,54.80M,54.80M,579.60M,,579.60M,,0.89,0.00,,,0.89,0.89,,0.89,0.00,,,0.89,0.89,,57.87M,57.87M,0.485,,,
1992-12,460.20M,460.20M,,,,,,,,,,460.20M,,,,,,,39.30M,,,,,39.30M,39.30M,460.20M,,460.20M,,0.62,0.00,,,0.62,0.62,,0.62,0.00,,,0.62,0.62,,58.70M,58.70M,0.475,,,
1992-09,380.70M,380.70M,,,,,,,,,,380.70M,,,,,,,42.20M,,,,,42.20M,42.20M,380.70M,,380.70M,,0.67,0.00,,,0.67,0.67,,0.67,0.00,,,0.67,0.67,,57.76M,57.76M,0.475,,,
1992-06,341.70M,341.70M,,,,,,,,,,341.70M,,,,,,,18.40M,,,,,18.40M,18.40M,341.70M,,341.70M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,58.08M,58.08M,0.475,,,
1992-03,373.60M,373.60M,,,,,,,,,,373.60M,,,,,,,28.00M,,,,,28.00M,28.00M,373.60M,,373.60M,,0.74,0.00,,,0.74,0.74,,0.74,0.00,,,0.74,0.74,,34.46M,34.46M,0.475,,,
1991-12,297.70M,297.70M,,,,,,,,,,297.70M,,,,,,,15.30M,,,,,15.30M,15.30M,297.70M,,297.70M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,34.57M,34.57M,0.465,,,
1991-09,220.90M,220.90M,,,,,,,,,,220.90M,,,,,,,19.10M,,,,,19.10M,19.10M,220.90M,,220.90M,,0.48,0.00,,,0.48,0.48,,0.48,0.00,,,0.48,0.48,,34.58M,34.58M,0.465,,,
1991-06,220.70M,220.70M,,,,,,,,,,220.70M,,,,,,,4.80M,,,,,4.80M,4.80M,220.70M,,220.70M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,35.45M,35.45M,0.465,,,
1991-03,422.90M,422.90M,,,,,,,,,,422.90M,,,,,,,33.10M,,,,,33.10M,33.10M,422.90M,,422.90M,,0.95,0.00,,,0.95,0.95,,0.95,0.00,,,0.95,0.95,,34.42M,34.42M,0.465,,,
1990-12,260.70M,260.70M,,,,,,,,,,260.70M,,,,,,,18.30M,,,,,18.30M,18.30M,260.70M,,260.70M,,0.52,0.00,,,0.52,0.52,,0.52,0.00,,,0.52,0.52,,34.44M,34.44M,0.45,,,
1990-09,220.80M,220.80M,,,,,,,,,,220.80M,,,,,,,21.90M,,,,,21.90M,21.90M,220.80M,,220.80M,,0.62,0.00,,,0.62,0.62,,0.62,0.00,,,0.62,0.62,,34.68M,34.68M,0.45,,,
1990-06,245.80M,245.80M,,,,,,,,,,245.80M,,,,,,,9.40M,,,,,9.40M,9.40M,245.80M,,245.80M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,34.62M,34.62M,0.45,,,
1990-03,422.50M,422.50M,,,,,,,,,,422.50M,,,,,,,30.00M,,,,,30.00M,30.00M,422.50M,,422.50M,,0.85,0.00,,,0.85,0.85,,0.85,0.00,,,0.85,0.85,,34.82M,34.82M,0.45,,,
1989-12,293.40M,293.40M,,,,,,,,,,293.40M,,,,,,,11.80M,,,,,11.80M,11.80M,293.40M,,293.40M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,34.39M,34.39M,0.44,,,
1989-09,206.60M,206.60M,,,,,,,,,,206.60M,,,,,,,19.90M,,,,,19.90M,19.90M,206.60M,,206.60M,,0.56,0.00,,,0.56,0.56,,0.56,0.00,,,0.56,0.56,,34.64M,34.64M,0.44,,,
1989-06,220.60M,220.60M,,,,,,,,,,220.60M,,,,,,,7.40M,,,,,7.40M,7.40M,220.60M,,220.60M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,34.50M,34.50M,0.44,,,
1989-03,407.00M,407.00M,,,,,,,,,,407.00M,,,,,,,33.70M,,,,,33.70M,,407.00M,,407.00M,,0.96,0.00,,,0.96,0.96,,0.96,0.00,,,0.96,0.96,,34.57M,34.57M,0.44,,,
1988-12,262.60M,262.60M,,,,,,,,,,262.60M,,,,,,,12.50M,,,,,12.50M,,262.60M,,262.60M,,,,,,,,,,,,,,,,34.57M,34.57M,0.43,,,
1988-09,222.30M,222.30M,,,,,,,,,,222.30M,,,,,,,25.20M,,,,,25.20M,,222.30M,,222.30M,,0.72,0.00,,,0.72,0.72,,0.72,0.00,,,0.72,0.72,,34.57M,34.57M,0.43,,,
1988-06,228.00M,228.00M,,,,,,,,,,228.00M,,,,,,,9.40M,,,,,9.40M,,228.00M,,228.00M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,34.57M,34.57M,0.43,,,
1988-03,453.20M,453.20M,,,,,,,,,,453.20M,,,,,,,32.70M,,,,,32.70M,,453.20M,,453.20M,,0.93,0.00,,,0.93,0.93,,0.93,0.00,,,0.93,0.93,,34.57M,34.57M,0.43,,,
1987-12,303.70M,303.70M,,,,,,,,,,303.70M,,,,,,,19.20M,,,,,19.20M,,303.70M,,303.70M,,,,,,,,,,,,,,,,34.57M,34.57M,0.4125,,,
1987-09,228.00M,228.00M,,,,,,,,,,228.00M,,,,,,,24.40M,,,,,24.40M,,228.00M,,228.00M,,0.68,0.00,,,0.68,0.68,,0.68,0.00,,,0.68,0.68,,34.57M,34.57M,0.4125,,,
1987-06,238.00M,238.00M,,,,,,,,,,238.00M,,,,,,,15.30M,,,,,15.30M,,238.00M,,238.00M,,0.42,0.00,,,0.42,0.42,,0.42,0.00,,,0.42,0.42,,34.57M,34.57M,0.4125,,,
1987-03,396.70M,396.70M,,,,,,,,,,396.70M,,,,,,,29.80M,,,,,29.80M,,396.70M,,396.70M,,0.81,0.00,,,0.81,0.81,,0.81,0.00,,,0.81,0.81,,34.57M,34.57M,0.4125,,,
1986-12,310.90M,310.90M,,,,,,,,,,310.90M,,,,,,,20.20M,,,,,20.20M,,310.90M,,310.90M,,,,,,,,,,,,,,,,34.57M,34.57M,0.395,,,
1986-09,232.20M,232.20M,,,,,,,,,,232.20M,,,,,,,25.30M,,,,,25.30M,,232.20M,,232.20M,,0.68,0.00,,,0.68,0.68,,0.68,0.00,,,0.68,0.68,,34.57M,34.57M,0.395,,,
1986-06,230.70M,230.70M,,,,,,,,,,230.70M,,,,,,,13.80M,,,,,13.80M,,230.70M,,230.70M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,34.57M,34.57M,0.395,,,
1986-03,425.10M,425.10M,,,,,,,,,,425.10M,,,,,,,32.10M,,,,,32.10M,,425.10M,,425.10M,,0.87,0.00,,,0.87,0.87,,0.87,0.00,,,0.87,0.87,,34.56M,34.56M,0.395,,,
1985-12,379.30M,379.30M,,,,,,,,,,379.30M,,,,,,,21.40M,,,,,21.40M,,379.30M,,379.30M,,,,,,,,,,,,,,,,34.57M,34.57M,0.37,,,
1985-09,247.00M,247.00M,,,,,,,,,,247.00M,,,,,,,24.10M,,,,,24.10M,,247.00M,,247.00M,,0.64,0.00,,,0.64,0.64,,0.64,0.00,,,0.64,0.64,,34.39M,34.39M,0.37,,,
1985-06,237.60M,237.60M,,,,,,,,,,237.60M,,,,,,,11.00M,,,,,11.00M,,237.60M,,237.60M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,34.23M,34.23M,0.37,,,
1985-03,490.20M,490.20M,,,,,,,,,,490.20M,,,,,,,31.50M,,,,,31.50M,,490.20M,,490.20M,,0.86,0.00,,,0.86,0.86,,0.86,0.00,,,0.86,0.86,,33.88M,33.88M,0.37,,,
1984-12,390.20M,390.20M,,,,,,,,,,390.20M,,,,,,,19.40M,,,,,19.40M,,390.20M,,390.20M,,,,,,,,,,,,,,,,33.88M,33.88M,0.345,,,
1984-09,271.80M,271.80M,,,,,,,,,,271.80M,,,,,,,24.80M,,,,,24.80M,,271.80M,,271.80M,,0.67,0.00,,,0.67,0.67,,0.67,0.00,,,0.67,0.67,,33.45M,33.45M,,,,
1984-06,290.50M,290.50M,,,,,,,,,,290.50M,,,,,,,13.60M,,,,,13.60M,,290.50M,,290.50M,,0.34,0.00,,,0.34,0.34,,0.34,0.00,,,0.34,0.34,,33.23M,33.23M,,,,
1984-03,527.70M,527.70M,,,,,,,,,,527.70M,,,,,,,32.00M,,,,,32.00M,,527.70M,,527.70M,,0.90,0.00,,,0.90,0.90,,0.90,0.00,,,0.90,0.90,,32.77M,32.77M,,,,
