,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,782.00M,782.00M,244.00M,538.00M,183.00M,137.00M,,,11.00M,5.00M,-6.00M,,320.00M,218.00M,5.00M,11.00M,-6.00M,9.00M,-6.00M,221.00M,24.00M,197.00M,11.00M,208.00M,208.00M,271.00M,39.00M,232.00M,1.42,,1.42,1.42,1.41,,1.41,1.41,147.00M,148.00M
2017-12,777.00M,777.00M,235.00M,542.00M,175.00M,137.00M,,,11.00M,6.00M,-5.00M,,312.00M,230.00M,6.00M,11.00M,-5.00M,-2.00M,-5.00M,223.00M,166.00M,57.00M,11.00M,68.00M,68.00M,273.00M,39.00M,234.00M,0.47,,0.47,0.47,0.46,,0.46,0.46,146.00M,148.00M
2017-09,714.00M,714.00M,232.00M,482.00M,167.00M,134.00M,,,10.00M,4.00M,-6.00M,,301.00M,181.00M,4.00M,10.00M,-6.00M,,-6.00M,175.00M,23.00M,152.00M,11.00M,163.00M,163.00M,226.00M,41.00M,185.00M,1.12,,1.12,1.12,1.11,,1.11,1.11,146.00M,148.00M
2017-06,662.00M,662.00M,228.00M,434.00M,161.00M,130.00M,,,8.00M,5.00M,-3.00M,,291.00M,143.00M,5.00M,8.00M,-3.00M,1.00M,-3.00M,141.00M,21.00M,120.00M,8.00M,128.00M,128.00M,187.00M,38.00M,149.00M,0.87,,0.87,0.87,0.87,,0.87,0.87,146.00M,147.00M
2017-03,598.00M,598.00M,230.00M,368.00M,171.00M,145.00M,,,8.00M,4.00M,-4.00M,,316.00M,52.00M,4.00M,8.00M,-4.00M,455.00M,-4.00M,503.00M,155.00M,348.00M,19.00M,367.00M,367.00M,549.00M,38.00M,511.00M,2.5,,2.5,2.5,2.48,,2.48,2.48,146.00M,147.00M
2016-12,619.00M,619.00M,200.00M,419.00M,146.00M,130.00M,,0.00,8.00M,3.00M,-5.00M,,276.00M,143.00M,3.00M,8.00M,-5.00M,-4.00M,-5.00M,134.00M,27.00M,107.00M,17.00M,124.00M,124.00M,180.00M,38.00M,142.00M,0.84,,0.84,0.84,0.84,,0.84,0.84,147.00M,148.00M
2016-09,607.00M,607.00M,181.00M,426.00M,139.00M,126.00M,,0.00,9.00M,2.00M,-7.00M,,265.00M,161.00M,2.00M,9.00M,-7.00M,,-7.00M,154.00M,37.00M,117.00M,12.00M,129.00M,129.00M,199.00M,36.00M,163.00M,0.88,,0.88,0.88,0.87,,0.87,0.87,147.00M,148.00M
2016-06,600.00M,600.00M,176.00M,424.00M,148.00M,125.00M,,11.00M,8.00M,3.00M,-5.00M,,273.00M,151.00M,3.00M,8.00M,-5.00M,11.00M,-5.00M,157.00M,41.00M,116.00M,4.00M,120.00M,111.85M,199.00M,34.00M,165.00M,0.83,,0.7746,0.83,0.82,,0.7649,0.82,147.00M,148.00M
2016-03,572.00M,572.00M,175.00M,397.00M,150.00M,124.00M,,-2.00M,8.00M,1.00M,-7.00M,,274.00M,123.00M,1.00M,8.00M,-7.00M,,-7.00M,116.00M,28.00M,88.00M,2.00M,90.00M,91.51M,157.00M,33.00M,124.00M,0.61,,0.6203,0.61,0.6,,0.6102,0.6,147.00M,148.00M
2015-12,591.79M,591.79M,181.72M,410.07M,138.59M,113.82M,,-13.50M,7.81M,-0.804M,-8.614M,,252.41M,157.66M,-0.804M,7.81M,-8.614M,-14.18M,-8.614M,134.86M,31.39M,103.47M,1.444M,104.92M,114.88M,176.02M,33.34M,142.68M,0.72,,0.7879,0.72,0.7,,0.767,0.7,146.66M,148.68M
2015-09,550.27M,550.27M,162.73M,387.54M,136.65M,99.23M,,-10.88M,12.82M,2.767M,-10.05M,,235.87M,151.66M,2.767M,12.82M,-10.05M,-12.69M,-10.05M,128.92M,13.30M,115.62M,2.556M,118.18M,125.34M,174.59M,32.86M,141.74M,0.81,,0.8593,0.81,0.79,,0.8378,0.79,145.35M,149.67M
2015-06,539.38M,539.38M,163.01M,376.36M,124.44M,96.18M,,-3.809M,11.20M,1.344M,-9.861M,,220.62M,155.74M,1.344M,11.20M,-9.861M,-4.709M,-9.861M,141.17M,38.92M,102.25M,0.00,102.25M,105.00M,183.08M,30.70M,152.38M,0.71,,0.7291,0.71,0.69,,0.7085,0.69,144.22M,148.97M
2015-03,538.56M,538.56M,163.54M,375.03M,116.32M,91.77M,,9.188M,11.16M,1.693M,-9.471M,,208.09M,166.94M,1.693M,11.16M,-9.471M,20.58M,-9.471M,178.05M,41.39M,136.66M,0.00,136.66M,119.94M,219.31M,30.10M,189.21M,0.95,,0.8337,0.95,0.92,,0.8076,0.92,143.77M,148.68M
2014-12,512.38M,512.38M,127.44M,384.94M,122.17M,142.95M,,83.07M,11.08M,0.947M,-10.13M,,265.12M,119.82M,0.947M,11.08M,-10.13M,82.37M,-10.13M,192.06M,38.78M,153.28M,0.00,153.28M,86.99M,233.09M,29.95M,203.14M,1.08,,0.6143,1.08,1.03,,0.584,1.03,142.34M,148.66M
2014-09,480.63M,480.63M,146.69M,333.94M,119.89M,85.08M,,-9.478M,10.99M,0.534M,-10.45M,,204.97M,128.97M,0.534M,10.99M,-10.45M,-6.075M,-10.45M,112.44M,18.95M,93.49M,0.00,93.49M,97.69M,150.12M,26.69M,123.43M,0.66,,0.6897,0.66,0.63,,0.6585,0.63,141.14M,147.51M
2014-06,447.57M,447.57M,147.03M,300.54M,114.65M,82.98M,,-2.667M,9.922M,1.464M,-8.458M,,197.63M,102.91M,1.464M,9.922M,-8.458M,-33.98M,-8.458M,60.47M,13.86M,46.60M,,46.60M,48.66M,97.91M,27.53M,70.39M,0.36,,0.3757,0.36,0.31,,0.3238,0.31,130.58M,149.12M
2014-03,420.78M,420.78M,142.49M,278.29M,109.57M,77.04M,,0.418M,9.743M,0.956M,-8.787M,,186.61M,91.68M,0.956M,9.743M,-8.787M,0.897M,-8.787M,83.79M,23.81M,59.98M,,59.98M,59.68M,121.94M,28.41M,93.53M,0.47,,0.4677,0.47,0.4,,0.398,0.4,128.15M,150.62M
2013-12,387.33M,387.33M,128.08M,259.25M,111.65M,76.73M,,2.915M,9.944M,0.965M,-8.979M,,188.38M,70.87M,0.965M,9.944M,-8.979M,58.48M,-8.979M,120.37M,39.71M,80.66M,,80.66M,41.69M,157.48M,27.17M,130.31M,0.64,,0.3324,0.64,0.56,,0.2891,0.56,126.71M,143.85M
2013-09,356.80M,356.80M,146.86M,209.94M,95.62M,70.96M,,2.098M,9.954M,1.267M,-8.687M,,166.57M,43.37M,1.267M,9.954M,-8.687M,2.468M,-8.687M,37.15M,5.79M,31.36M,,31.36M,29.59M,73.98M,26.88M,47.10M,0.25,,0.2359,0.25,0.22,,0.2074,0.22,125.46M,140.60M
2013-06,346.09M,346.09M,122.68M,223.41M,88.70M,67.61M,,-7.095M,10.04M,0.722M,-9.323M,,156.31M,67.10M,0.722M,10.04M,-9.323M,-8.418M,-9.323M,49.36M,13.48M,35.88M,,35.88M,41.04M,82.75M,23.35M,59.40M,0.29,,0.3315,0.29,0.26,,0.297,0.26,124.36M,139.38M
2013-03,330.96M,330.96M,111.67M,219.29M,85.07M,61.45M,,-117.92M,9.747M,1.933M,-7.814M,,146.52M,72.77M,1.933M,9.747M,-7.814M,-112.52M,-7.814M,-47.56M,-24.98M,-22.59M,,-22.59M,50.08M,-17.28M,20.53M,-37.82M,-0.18,,0.4072,-0.18,-0.18,,0.4072,-0.18,123.77M,123.77M
2012-12,309.26M,309.26M,105.62M,203.65M,79.72M,56.91M,,-7.679M,9.586M,8.838M,-0.748M,,136.62M,67.02M,8.838M,9.586M,-0.748M,37.63M,-0.748M,103.90M,32.00M,71.90M,,71.90M,77.22M,132.11M,18.62M,113.49M,0.58,,0.6231,0.58,0.53,,0.5692,0.53,123.21M,135.39M
2012-09,285.87M,285.87M,90.00M,195.87M,69.79M,54.06M,,-23.21M,9.483M,3.459M,-6.024M,,123.85M,72.03M,3.459M,9.483M,-6.024M,-22.36M,-6.024M,43.64M,13.90M,29.75M,,29.75M,45.58M,69.42M,16.29M,53.13M,0.24,,0.3688,0.24,0.22,,0.3395,0.22,122.93M,132.51M
2012-06,280.61M,280.61M,87.61M,193.00M,68.52M,71.22M,,-10.28M,9.508M,1.385M,-8.123M,,139.74M,53.26M,1.385M,9.508M,-8.123M,-10.35M,-8.123M,34.79M,11.39M,23.40M,,23.40M,30.32M,59.28M,14.98M,44.30M,0.19,,0.2461,0.19,0.18,,0.232,0.18,123.21M,133.01M
2012-03,272.77M,272.77M,91.76M,181.01M,67.97M,48.84M,,-14.59M,9.202M,2.526M,-6.676M,,116.81M,64.20M,2.526M,9.202M,-6.676M,-17.25M,-6.676M,40.27M,14.07M,26.20M,,26.20M,35.70M,64.90M,15.43M,49.48M,0.21,,0.2875,0.21,0.2,,0.271,0.2,122.64M,133.86M
2011-12,250.07M,250.07M,79.48M,170.59M,49.34M,45.51M,,-12.24M,9.185M,2.143M,-7.042M,,92.41M,78.18M,2.143M,9.185M,-7.042M,-50.92M,-7.042M,20.22M,8.502M,11.72M,,11.72M,19.67M,48.80M,19.39M,29.41M,0.1,,0.1654,0.1,0.1,,0.1637,0.1,121.54M,124.89M
2011-09,235.50M,235.50M,78.38M,157.12M,72.55M,50.40M,,-1.564M,8.797M,1.388M,-7.409M,-2.598M,120.35M,36.76M,1.388M,8.797M,-7.409M,-1.564M,-7.409M,27.79M,7.64M,20.15M,,20.15M,21.29M,54.09M,17.50M,36.59M,0.17,0.0,0.1793,0.17,0.15,0.0,0.1583,0.15,122.08M,135.97M
2011-06,287.45M,287.45M,94.09M,193.36M,71.78M,50.80M,,-14.32M,9.418M,1.981M,-7.437M,,122.58M,70.78M,1.981M,9.418M,-7.437M,-14.32M,-7.437M,49.02M,18.40M,30.62M,,30.62M,39.56M,74.93M,16.49M,58.44M,0.25,0.0,0.3224,0.25,0.22,0.0,0.2831,0.22,123.46M,141.76M
2011-03,282.52M,282.52M,94.47M,188.04M,68.18M,50.20M,,-27.80M,7.39M,1.54M,-5.85M,,118.38M,69.66M,1.54M,7.39M,-5.85M,-27.80M,-5.85M,36.01M,11.87M,24.14M,,24.14M,42.77M,59.21M,15.81M,43.40M,0.19,0.0,0.3373,0.19,0.16,0.0,0.2817,0.16,126.52M,153.13M
2010-12,261.30M,261.30M,95.17M,166.13M,62.03M,45.80M,,7.234M,6.319M,1.632M,-4.687M,,107.84M,58.29M,1.632M,6.319M,-4.687M,-2.821M,-4.687M,50.78M,12.34M,38.44M,,38.44M,32.96M,68.99M,11.89M,57.10M,0.31,,0.2665,0.31,0.26,,0.2238,0.26,125.88M,151.17M
2010-09,237.31M,237.31M,80.16M,157.14M,55.01M,44.80M,,0.774M,6.19M,2.791M,-3.399M,,99.81M,57.34M,2.791M,6.19M,-3.399M,0.774M,-3.399M,54.71M,19.26M,35.45M,,35.45M,34.95M,72.00M,11.10M,60.90M,0.28,0.0,0.276,0.28,0.24,0.0,0.2365,0.24,124.68M,145.20M
2010-06,212.00M,212.00M,65.91M,146.09M,53.14M,43.67M,,1.62M,6.134M,1.751M,-4.383M,,96.80M,49.29M,1.751M,6.134M,-4.383M,1.62M,-4.383M,46.53M,16.73M,29.80M,,29.80M,28.76M,62.67M,10.01M,52.66M,0.24,0.0,0.2316,0.24,0.21,0.0,0.2026,0.21,123.10M,140.95M
2010-03,192.13M,192.13M,59.95M,132.18M,50.28M,43.68M,,-1.113M,5.955M,2.204M,-3.751M,,93.95M,38.22M,2.204M,5.955M,-3.751M,-1.113M,-3.751M,33.36M,12.15M,21.21M,,21.21M,21.92M,48.33M,9.011M,39.32M,0.18,0.0,0.1859,0.18,0.16,0.0,0.1652,0.16,120.67M,136.41M
2009-12,180.56M,180.56M,48.36M,132.21M,49.47M,40.37M,,1.281M,6.357M,3.002M,-3.355M,,107.84M,24.36M,3.002M,6.357M,-3.355M,1.281M,-3.355M,22.29M,10.58M,11.70M,,11.70M,10.87M,36.56M,7.915M,28.64M,0.1,0.0,0.0932,0.1,0.09,0.0,0.0839,0.09,122.79M,136.07M
2009-09,158.36M,158.36M,51.23M,107.13M,42.10M,34.41M,,0.267M,5.964M,2.536M,-3.428M,,76.50M,30.62M,2.536M,5.964M,-3.428M,0.267M,-3.428M,27.46M,10.39M,17.08M,,17.08M,16.91M,41.64M,8.217M,33.43M,0.14,0.0,0.1387,0.14,0.12,0.0,0.1188,0.12,124.56M,139.87M
2009-06,161.64M,161.64M,50.48M,111.16M,41.94M,33.12M,,2.058M,5.713M,2.576M,-3.137M,,75.06M,36.10M,2.576M,5.713M,-3.137M,2.058M,-3.137M,35.02M,10.34M,24.69M,,24.69M,23.24M,48.51M,7.778M,40.74M,0.2,0.0,0.1883,0.2,0.18,0.0,0.1696,0.18,123.51M,139.46M
2009-03,165.76M,165.76M,55.69M,110.06M,42.83M,32.73M,,-2.389M,5.684M,2.916M,-2.768M,,75.56M,34.51M,2.916M,5.684M,-2.768M,-2.389M,-2.768M,29.35M,10.54M,18.81M,,18.81M,20.34M,42.31M,7.274M,35.04M,0.15,0.0,0.1626,0.15,0.14,0.0,0.1515,0.14,121.75M,132.97M
2008-12,160.93M,160.93M,54.65M,106.27M,39.21M,28.34M,2.653M,1.921M,,,,,66.13M,40.14M,,,,1.921M,,21.45M,3.572M,17.88M,,17.88M,16.28M,33.59M,7.732M,25.86M,0.15,0.0,0.1369,0.15,0.14,0.0,0.1278,0.14,122.45M,131.30M
2008-09,150.26M,150.26M,54.43M,95.83M,39.36M,27.57M,2.702M,-24.66M,,,,,69.63M,26.20M,,,,-24.66M,,3.982M,11.27M,-7.288M,,-7.288M,8.741M,32.78M,6.583M,26.20M,-0.06,0.0,0.0739,-0.06,-0.06,0.0,0.0739,-0.06,119.73M,119.73M
2008-06,140.18M,140.18M,50.46M,89.72M,35.62M,23.49M,2.669M,-4.069M,,,,4.069M,65.85M,23.87M,,,,-4.069M,,24.70M,9.303M,15.40M,,15.40M,17.93M,30.79M,6.92M,23.87M,0.135,0.0,0.1573,0.135,0.115,0.0,0.134,0.115,113.57M,133.40M
2008-03,121.86M,121.86M,46.08M,75.78M,33.83M,20.56M,2.415M,,,,,,56.81M,18.97M,,,,,,22.55M,9.126M,13.43M,,13.43M,13.43M,25.46M,6.488M,18.97M,0.12,0.0,0.12,0.12,0.105,0.0,0.105,0.105,111.67M,127.53M
2007-12,112.60M,112.60M,40.10M,72.51M,30.02M,20.05M,0.662M,-54.54M,,,,,105.28M,-32.77M,,,,-54.54M,,-29.39M,-25.34M,-4.048M,,-4.048M,31.40M,-26.92M,5.844M,-32.77M,-0.02,0.0,0.3018,-0.02,-0.02,0.0,0.3018,-0.02,110.15M,110.15M
2007-09,97.51M,97.51M,37.08M,60.43M,24.31M,19.75M,0.662M,,,,,,44.72M,15.71M,,,,,,19.69M,5.185M,14.50M,,14.50M,14.50M,17.78M,2.075M,15.71M,0.13,0.0,0.13,0.13,0.12,0.0,0.12,0.12,108.64M,118.79M
2007-06,84.54M,84.54M,30.14M,54.39M,23.30M,18.18M,0.662M,,,,,,42.14M,12.25M,,,,,,14.59M,5.33M,9.264M,,9.264M,9.264M,16.19M,3.937M,12.25M,0.085,0.0,0.085,0.085,0.08,0.0,0.08,0.08,107.56M,116.12M
2007-03,72.15M,72.15M,25.12M,47.03M,23.63M,15.96M,0.442M,-303.40M,,,,,40.03M,6.999M,,,,-303.40M,,-293.68M,4.397M,-298.08M,,-298.08M,-100.87M,10.97M,3.968M,6.999M,-2.79,0.0,-0.9442,-2.79,-2.79,0.0,-0.9442,-2.79,106.84M,106.84M
2006-12,60.44M,60.44M,20.12M,40.32M,14.91M,8.826M,,,,,,,23.74M,16.58M,,,,,,17.96M,0.822M,17.14M,,17.14M,17.14M,18.35M,1.771M,16.58M,0.19,0.0,0.19,0.19,0.17,0.0,0.17,0.17,93.41M,102.01M
2006-09,53.47M,53.47M,16.36M,37.12M,14.12M,7.744M,,,,,,,21.86M,15.25M,,,,,,17.25M,1.088M,16.16M,,16.16M,16.16M,16.82M,1.565M,15.25M,0.175,0.0,0.175,0.175,0.16,0.0,0.16,0.16,92.59M,101.16M
2006-06,41.58M,41.58M,13.58M,28.00M,12.89M,8.587M,,,,,,,21.48M,6.523M,,,,,,7.379M,0.611M,6.768M,,6.768M,6.768M,7.889M,1.366M,6.523M,0.08,0.0,0.08,0.08,0.07,0.0,0.07,0.07,87.06M,94.66M
2006-03,29.10M,29.10M,9.293M,19.81M,12.13M,8.216M,,,,,,,20.35M,-0.541M,,,,,,0.027M,0.131M,-0.104M,,-0.104M,-0.104M,0.465M,1.006M,-0.541M,-0.0013,,-0.0013,-0.0013,-0.0013,,-0.0013,-0.0013,82.95M,82.95M
2005-12,23.01M,23.01M,7.249M,15.76M,8.042M,7.436M,,0.00,,,,,15.75M,0.016M,,,,0.00,,,,0.326M,,0.326M,0.326M,1.679M,1.663M,0.016M,0.005,0.0,0.005,0.005,0.005,0.0,0.005,0.005,82.34M,82.34M
2005-09,19.52M,19.52M,6.599M,12.92M,7.377M,7.078M,,,,,,,14.46M,-1.538M,,,,,,-1.367M,0.059M,-1.426M,,-1.426M,-1.426M,-0.672M,0.866M,-1.538M,-0.015,0.0,-0.015,-0.015,-0.015,0.0,-0.015,-0.015,81.82M,81.82M
2005-06,15.82M,15.82M,4.734M,11.09M,6.518M,7.318M,,-15.80M,,,,,13.84M,-2.746M,,,,-15.80M,,-18.49M,0.051M,-18.54M,,-18.54M,-9.059M,-2.038M,0.708M,-2.746M,-0.23,0.0,-0.1121,-0.23,-0.23,0.0,-0.1121,-0.23,80.37M,80.37M
2005-03,15.15M,15.15M,4.599M,10.55M,6.035M,5.893M,,,,,,,11.93M,-1.379M,,,,,,-1.184M,0.051M,-1.235M,,-1.235M,-1.235M,-0.619M,0.76M,-1.379M,-0.015,0.0,-0.015,-0.015,-0.015,0.0,-0.015,-0.015,76.69M,76.69M
2004-12,14.78M,14.78M,3.874M,10.91M,5.786M,5.262M,0.109M,3.268M,,,,-3.268M,7.889M,3.02M,,,,3.268M,,,,3.247M,,3.247M,1.286M,3.829M,0.809M,3.02M,0.05,0.0,0.0246,0.05,0.05,0.0,0.0246,0.05,77.32M,77.32M
2004-09,13.51M,13.51M,3.517M,9.995M,7.563M,5.356M,0.167M,1.311M,,,,-1.311M,11.78M,-1.78M,,,,1.311M,,,,-2.026M,,-2.026M,-2.813M,-0.696M,1.084M,-1.78M,-0.025,0.0,-0.0355,-0.025,-0.025,0.0,-0.0355,-0.025,75.23M,75.23M
2004-06,11.49M,11.49M,3.067M,8.419M,5.993M,5.32M,0.25M,-0.189M,,,,0.189M,11.75M,-3.333M,,,,-0.189M,,,,-3.516M,,-3.516M,-3.403M,-1.90M,1.433M,-3.333M,-0.05,0.0,-0.0484,-0.05,-0.05,0.0,-0.0484,-0.05,69.92M,69.92M
2004-03,10.80M,10.80M,2.802M,8.001M,5.738M,5.176M,0.318M,-0.189M,,,,0.189M,11.42M,-3.42M,,,,-0.189M,,,,-3.931M,,-3.931M,-3.818M,-1.748M,1.672M,-3.42M,-0.06,0.0,-0.0583,-0.06,-0.06,0.0,-0.0583,-0.06,65.10M,65.10M
2003-12,10.74M,10.74M,3.42M,7.321M,5.083M,5.453M,0.394M,-0.189M,,,,0.189M,11.12M,-3.798M,,,,-0.189M,,,,-4.00M,,-4.00M,-3.887M,-2.174M,1.624M,-3.798M,-0.065,0.0,-0.0632,-0.065,-0.065,0.0,-0.0632,-0.065,64.52M,64.52M
2003-09,8.249M,8.249M,2.681M,5.568M,5.096M,5.114M,0.511M,-0.189M,,,,0.189M,10.91M,-5.342M,,,,-0.189M,,,,-5.511M,,-5.511M,-5.398M,-3.601M,1.741M,-5.342M,-0.085,0.0,-0.0832,-0.085,-0.085,0.0,-0.0832,-0.085,64.11M,64.11M
2003-06,4.769M,4.769M,2.026M,2.743M,4.14M,6.222M,0.684M,-0.189M,,,,0.189M,11.24M,-8.492M,,,,-0.189M,,,,-8.592M,,-8.592M,-8.479M,-6.512M,1.98M,-8.492M,-0.135,0.0,-0.1332,-0.135,-0.135,0.0,-0.1332,-0.135,63.62M,63.62M
2003-03,4.276M,4.276M,1.91M,2.366M,4.58M,5.722M,0.865M,-0.189M,,,,0.189M,11.36M,-8.99M,,,,-0.189M,,,,-8.96M,,-8.96M,-8.847M,-6.904M,2.086M,-8.99M,-0.14,0.0,-0.1382,-0.14,-0.14,0.0,-0.1382,-0.14,63.17M,63.17M
2002-12,3.886M,3.886M,1.636M,2.25M,2.75M,6.329M,0.958M,-0.192M,,,,74.10M,84.14M,-81.88M,,,,-0.192M,,,,-7.616M,,-7.616M,-7.501M,-80.04M,1.847M,-81.88M,-0.125,0.0,-0.1232,-0.125,-0.125,,-0.1232,-0.125,62.61M,65.00M
2002-09,2.985M,2.985M,0.965M,2.02M,2.426M,6.405M,1.045M,-0.16M,,,,-18.86M,-8.981M,11.00M,,,,-0.16M,,,,-7.602M,,-7.602M,-7.506M,13.83M,2.828M,11.00M,-0.12,0.0,-0.1185,-0.12,-0.12,0.0,-0.1185,-0.12,62.14M,62.14M
2002-06,1.90M,1.90M,0.596M,1.304M,2.281M,7.023M,1.132M,-7.70M,,,,7.70M,18.14M,-16.83M,,,,-7.70M,,,,-16.45M,,-16.45M,-11.83M,-14.44M,2.389M,-16.83M,-0.27,0.0,-0.1948,-0.27,-0.27,0.0,-0.1948,-0.27,61.46M,61.46M
2002-03,1.269M,1.269M,0.339M,0.93M,1.642M,7.092M,1.225M,,,,,,9.959M,-9.029M,,,,,,,,-8.667M,,-8.667M,-8.667M,-6.593M,2.436M,-9.029M,-0.14,0.0,-0.14,-0.14,-0.14,0.0,-0.14,-0.14,60.91M,60.91M
2001-12,0.761M,0.761M,0.273M,0.488M,1.97M,6.126M,1.324M,,,,,,9.42M,-8.932M,,,,,,,,-8.227M,,-8.227M,-8.227M,-6.876M,2.056M,-8.932M,-0.135,0.0,-0.135,-0.135,-0.135,,-0.135,-0.135,60.35M,64.47M
2001-09,0.692M,0.692M,0.202M,0.49M,1.206M,5.152M,1.412M,,,,,,7.77M,-7.28M,,,,,,,,-5.785M,,-5.785M,-5.785M,-5.321M,1.959M,-7.28M,-0.095,0.0,-0.095,-0.095,-0.095,0.0,-0.095,-0.095,59.86M,59.86M
2001-06,0.4698M,0.4698M,,,1.302M,5.075M,1.508M,,,,,,7.884M,-7.414M,,,,,,,,-5.893M,,-5.893M,-5.893M,-5.466M,1.948M,-7.414M,-0.1,0.0,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,59.31M,59.31M
