,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2011-03,410.34M,724.30M,1.135B,181.92M,,,181.92M,52.48M,71.07M,27.15M,150.71M,26.76M,,17.44M,,1.511B,,,,,,,,,,125.18M,320.54M,118.42M,438.96M,,2.007M,45.52M,611.68M,2.123B,66.29M,20.92M,87.20M,103.02M,190.23M,,,,111.32M,,111.32M,43.76M,43.76M,,345.31M,652.08M,,652.08M,,,,,,61.53M,713.61M,1.059B,1.608M,-131.20M,2.070B,877.62M,,,,1.12M,1.064B
2010-12,248.95M,645.34M,894.29M,165.60M,,,165.60M,56.44M,73.76M,24.29M,142.21M,36.92M,,19.38M,,1.258B,0.0,,,162.34M,,,69.04M,231.38M,-101.50M,129.87M,278.21M,70.02M,348.23M,,39.50M,63.11M,580.72M,1.839B,66.74M,,66.74M,156.16M,222.91M,,,,311.61M,,311.61M,,,,534.52M,,,,,,,,,,106.92M,641.44M,1.516M,-155.34M,1.891B,541.56M,,,,1.765M,1.198B
2010-09,210.77M,596.05M,806.82M,170.62M,,,170.62M,53.55M,62.64M,13.84M,130.03M,16.08M,,16.81M,,1.140B,,,,,,,,,,126.27M,278.11M,72.33M,350.44M,,37.54M,70.62M,584.87M,1.725B,59.79M,,59.79M,134.53M,194.32M,,,,306.11M,,306.11M,,,,500.42M,,,,,,,,,,116.68M,617.10M,1.495M,-193.78M,1.811B,513.55M,,,,2.565M,1.108B
2010-06,237.19M,548.19M,785.38M,147.94M,,,147.94M,50.76M,56.34M,12.35M,119.44M,16.34M,,19.16M,,1.088B,,,,,,,,,,122.40M,271.82M,70.30M,342.12M,,45.58M,43.52M,553.62M,1.642B,57.57M,,57.57M,123.58M,181.15M,,,,300.70M,,300.70M,,,,481.86M,,,,,,,,,,123.07M,604.92M,1.483M,-229.22M,1.760B,497.54M,,,,2.612M,1.037B
2010-03,213.22M,534.76M,747.98M,156.03M,,,156.03M,37.64M,53.21M,9.774M,100.62M,16.80M,,19.08M,,1.041B,,,,,,,,,,118.01M,213.45M,42.06M,255.52M,,47.49M,43.68M,464.70M,1.505B,47.55M,,47.55M,102.89M,150.44M,,,,295.40M,,295.40M,,,,445.84M,,,,,,,,,,117.57M,563.41M,1.456M,-259.02M,1.694B,497.54M,,,,2.652M,941.80M
2009-12,144.63M,548.89M,693.53M,157.75M,,,157.75M,39.84M,52.06M,11.48M,92.78M,17.52M,,20.02M,,981.59M,0.0,,,136.02M,,,55.32M,191.34M,-74.15M,117.19M,213.45M,43.79M,257.24M,,47.37M,26.55M,448.35M,1.430B,52.78M,,52.78M,98.25M,151.03M,,,,290.20M,,290.20M,,,,441.24M,,,,,,,,,,124.45M,565.69M,1.436M,-280.23M,1.638B,497.54M,,,,2.83M,864.25M
2009-09,238.53M,521.40M,759.93M,162.90M,,,162.90M,37.20M,37.06M,6.589M,80.85M,16.28M,,11.39M,,1.031B,,,,,,,,,,116.70M,228.73M,43.09M,271.82M,55.45M,42.36M,24.03M,510.36M,1.542B,41.75M,,41.75M,86.18M,127.93M,,,,284.71M,,284.71M,,,,412.64M,,,,,,,,,,126.95M,539.60M,1.43M,-291.93M,1.612B,322.41M,,,,3.237M,1.002B
2009-06,352.10M,382.47M,734.57M,154.25M,,,154.25M,31.81M,33.73M,5.122M,70.67M,12.34M,,9.929M,,981.76M,,,,,,,,,,103.91M,228.73M,44.80M,273.54M,55.75M,37.62M,24.60M,495.41M,1.477B,41.16M,,41.16M,84.44M,125.59M,,,,279.70M,,279.70M,,,,405.30M,,,,,,,,,,132.13M,537.43M,1.421M,-309.01M,1.567B,322.41M,,,,2.837M,939.74M
2009-03,351.15M,321.44M,672.59M,134.63M,,,134.63M,31.00M,32.69M,5.491M,69.18M,11.86M,,8.901M,,897.17M,,,,,,,,,,96.55M,228.73M,46.07M,274.80M,55.90M,23.75M,24.40M,475.40M,1.373B,36.59M,,36.59M,71.93M,108.52M,,,,274.79M,,274.79M,,,,383.31M,,,,,,,,,,134.12M,517.44M,1.407M,-333.70M,1.508B,322.41M,,,,1.872M,855.14M
2008-12,327.02M,313.05M,640.08M,133.27M,,,133.27M,32.50M,34.06M,6.867M,73.43M,14.15M,,8.635M,,869.56M,0.0,,,114.97M,,,26.64M,141.61M,-52.18M,89.44M,213.45M,47.76M,261.21M,55.90M,46.24M,4.825M,457.61M,1.327B,29.20M,,29.20M,80.36M,109.56M,,,,276.89M,,276.89M,,,,386.45M,,,,,,,,,,142.06M,528.50M,1.389M,-352.51M,1.470B,322.41M,,,,2.422M,798.67M
