,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,3.284B,3.289B,2.671B,618.00M,,189.00M,8.00M,,,,5.00M,194.00M,424.00M,,,,8.00M,,421.00M,143.00M,278.00M,-10.00M,268.00M,272.72M,481.00M,57.00M,424.00M,,0.69,-0.025,,0.6769,0.665,,0.685,-0.025,,0.6720,0.66,,403.25M,406.24M,0.15,,,
2002-06,3.506B,3.506B,3.083B,423.00M,,,3.00M,,,,,3.00M,423.00M,,,,3.00M,,415.00M,143.00M,272.00M,-9.00M,263.00M,270.03M,479.00M,56.00M,423.00M,,0.675,-0.025,,0.6701,0.65,,0.67,-0.025,,0.6652,0.645,,403.65M,407.67M,0.15,,,
2002-03,3.102B,3.102B,2.733B,369.00M,,,-3.00M,,,,,-3.00M,369.00M,,,,-3.00M,,354.00M,122.00M,232.00M,-3.00M,229.00M,233.97M,421.00M,52.00M,369.00M,,0.575,-0.005,,0.5799,0.57,,0.57,-0.005,,0.5748,0.565,,401.99M,405.41M,0.14,,,
2001-12,3.399B,3.399B,3.571B,-172.00M,,,,,,,,-577.00M,405.00M,,,,,,384.00M,138.00M,246.00M,,246.00M,246.00M,481.00M,69.00M,412.00M,,0.61,0.00,,0.61,0.61,,0.605,0.00,,0.605,0.605,,403.37M,406.47M,0.14,,AOR,Restated
2001-09,3.02B,3.02B,2.458B,562.00M,,186.00M,-5.00M,,,,,186.00M,376.00M,,,,-5.00M,,358.00M,128.00M,230.00M,,230.00M,233.21M,444.00M,68.00M,376.00M,,0.57,0.00,,0.5780,0.57,,0.565,0.00,,0.5729,0.565,,402.90M,407.14M,0.14,,,
2001-06,2.962B,2.962B,2.382B,580.00M,,209.00M,-3.00M,,,,18.00M,227.00M,353.00M,,,,-3.00M,,353.00M,126.00M,227.00M,,227.00M,228.93M,420.00M,67.00M,353.00M,,0.565,0.00,,0.5698,0.565,,0.56,0.00,,0.5648,0.56,,402.06M,406.02M,0.14,,,
2001-03,2.673B,2.673B,2.157B,516.00M,,182.00M,8.00M,,,,,182.00M,334.00M,,,,8.00M,,330.00M,90.00M,240.00M,,240.00M,234.18M,394.00M,60.00M,334.00M,,0.60,0.00,,0.5855,0.60,,0.595,0.00,,0.5806,0.595,,400.80M,404.35M,0.13,,,
2000-12,2.691B,2.691B,2.986B,-295.00M,,,-2.00M,,,,,-646.00M,351.00M,,,,-2.00M,,341.00M,122.00M,219.00M,,219.00M,220.28M,411.00M,55.00M,356.00M,,0.55,0.00,,0.5532,0.55,,0.545,0.00,,0.5482,0.545,,399.37M,401.98M,0.13,,,Restated
2000-09,2.502B,2.502B,1.95B,552.00M,,155.00M,-3.00M,,,,,215.00M,337.00M,,,,-3.00M,,317.00M,23.00M,294.00M,,294.00M,296.78M,397.00M,60.00M,337.00M,,0.74,0.00,,0.7470,0.74,,0.735,0.00,,0.7419,0.735,,397.35M,401.17M,0.13,,,
2000-06,2.617B,2.617B,2.064B,553.00M,,163.00M,-1.00M,,,,,218.00M,335.00M,,,,-1.00M,,318.00M,114.00M,204.00M,,204.00M,204.64M,390.00M,55.00M,335.00M,,0.51,0.00,,0.5116,0.51,,0.505,0.00,,0.5066,0.505,,400.21M,403.68M,0.13,,,
2000-03,2.546B,2.546B,2.083B,463.00M,,157.00M,-1.00M,,,,,157.00M,306.00M,,,,-1.00M,,286.00M,102.00M,184.00M,,184.00M,184.64M,362.00M,56.00M,306.00M,,0.46,0.00,,0.4616,0.46,,0.455,0.00,,0.4566,0.455,,401.79M,404.56M,0.12,,,
1999-12,2.655B,2.655B,1.704B,951.00M,,,-4.00M,,,,,623.00M,328.00M,,,,-4.00M,,307.00M,109.00M,198.00M,,198.00M,200.58M,381.00M,53.00M,328.00M,,0.4918,,,0.4983,0.4918,,0.4918,,,0.4983,0.4918,,402.56M,402.56M,0.12,,,
1999-09,2.215B,2.215B,1.785B,430.00M,,,-44.00M,,,,,75.00M,355.00M,,,,-44.00M,,305.00M,121.00M,184.00M,,184.00M,210.54M,430.00M,55.00M,355.00M,,0.46,0.00,,0.5644,0.46,,0.455,0.00,,0.5579,0.455,,254.30M,257.84M,0.12,,,
1999-06,2.087B,2.087B,1.633B,454.00M,,136.00M,-4.00M,,,,,175.00M,279.00M,,,,-4.00M,,270.00M,95.00M,175.00M,,175.00M,177.59M,328.00M,49.00M,279.00M,,0.44,0.00,,0.4465,0.44,,0.43,0.00,,0.4364,0.43,,398.40M,404.63M,0.12,,,
1999-03,2.002B,2.002B,1.592B,410.00M,,126.00M,9.00M,,,,,169.00M,241.00M,,,,9.00M,,244.00M,-79.00M,323.00M,,323.00M,317.60M,284.00M,43.00M,241.00M,,0.81,0.00,,0.7965,0.81,,0.80,0.00,,0.7866,0.80,,398.92M,404.48M,0.11,,,
1998-12,2.208B,2.208B,1.399B,809.00M,,,-3.00M,,,,,554.00M,255.00M,,,,-3.00M,,246.00M,86.00M,160.00M,,160.00M,161.95M,300.00M,45.00M,255.00M,,0.6314,,,0.6391,0.6314,,0.6314,,,0.6391,0.6314,,253.39M,253.39M,0.11,,,
1998-09,1.798B,1.798B,1.516B,282.00M,,,3.00M,,,,,39.00M,243.00M,,,,3.00M,,243.00M,84.00M,159.00M,,159.00M,157.04M,298.00M,55.00M,243.00M,,0.395,0.00,,0.3872,0.395,,0.39,0.00,,0.3823,0.39,,252.17M,254.01M,0.11,,,
1998-06,1.178B,1.178B,923.00M,255.00M,,90.00M,4.00M,,,,,120.00M,135.00M,,,,4.00M,,139.00M,47.00M,92.00M,,92.00M,89.35M,165.00M,30.00M,135.00M,,0.365,0.00,,0.3545,0.365,,0.36,0.00,,0.3496,0.36,,252.05M,255.56M,0.11,,,
1998-03,1.154B,1.154B,907.00M,247.00M,,92.00M,,,,,,123.00M,124.00M,,,,,,124.00M,42.00M,82.00M,,82.00M,82.00M,155.00M,31.00M,124.00M,,0.325,0.00,,0.325,0.325,,0.325,0.00,,0.325,0.325,,252.31M,252.31M,0.1025,,,
1997-12,3.005B,3.005B,2.598B,407.00M,,,-27.00M,,,,,60.00M,347.00M,,,,-27.00M,,336.00M,10.00M,326.00M,,326.00M,352.20M,407.00M,60.00M,347.00M,,0.475,0.00,,0.5790,0.475,,0.44,0.00,,0.5440,0.44,,251.89M,251.89M,0.1025,,,
1997-09,988.00M,988.00M,854.00M,134.00M,,,10.00M,,,,,21.00M,113.00M,,,,10.00M,,123.00M,41.00M,82.00M,,82.00M,75.33M,134.00M,21.00M,113.00M,,0.325,0.00,,0.2986,0.325,,0.325,0.00,,0.2986,0.325,,252.31M,252.31M,0.1025,,,
1997-06,1.032B,1.032B,896.00M,136.00M,,,8.00M,,,,,22.00M,114.00M,,,,8.00M,,122.00M,42.00M,80.00M,,80.00M,74.75M,136.00M,22.00M,114.00M,,0.32,0.00,,0.2990,0.32,,0.32,0.00,,0.2990,0.32,,250.00M,250.00M,0.1025,,,
1997-03,941.00M,941.00M,818.00M,123.00M,,,6.00M,,,,,21.00M,102.00M,,,,6.00M,,108.00M,37.00M,71.00M,,71.00M,67.06M,123.00M,21.00M,102.00M,,0.28,0.00,,0.2644,0.28,,0.28,0.00,,0.2644,0.28,,253.57M,253.57M,0.1025,,,
1996-12,896.00M,896.00M,786.00M,110.00M,,,14.00M,,,,,18.00M,92.00M,,,,14.00M,,106.00M,36.00M,70.00M,,70.00M,60.75M,110.00M,18.00M,92.00M,,0.28,0.00,,0.2430,0.28,,0.28,0.00,,0.2430,0.28,,249.85M,249.85M,0.1025,,,
1996-09,862.00M,862.00M,753.00M,109.00M,,,14.00M,,,,,20.00M,89.00M,,,,14.00M,,103.00M,35.00M,68.00M,,68.00M,58.76M,109.00M,20.00M,89.00M,,0.27,0.00,,0.2333,0.27,,0.27,0.00,,0.2333,0.27,,251.85M,251.85M,0.1025,,,
1996-06,930.00M,930.00M,825.00M,105.00M,,,13.00M,,,,,16.00M,89.00M,,,,13.00M,,102.00M,35.00M,67.00M,,67.00M,58.46M,105.00M,16.00M,89.00M,,0.265,0.00,,0.2312,0.265,,0.265,0.00,,0.2312,0.265,,252.83M,252.83M,0.1025,,,
1996-03,893.00M,893.00M,797.00M,96.00M,,,15.00M,,,,,13.00M,83.00M,,,,15.00M,,98.00M,33.00M,65.00M,,65.00M,55.05M,96.00M,13.00M,83.00M,,0.255,0.00,,0.2160,0.255,,0.255,0.00,,0.2160,0.255,,254.90M,254.90M,0.0938,,,
1995-12,893.00M,893.00M,798.00M,95.00M,,,14.00M,,,,,12.00M,83.00M,,,,14.00M,,97.00M,33.00M,64.00M,43.00M,88.00M,54.76M,95.00M,12.00M,83.00M,,0.255,0.17,,0.2184,0.35,,0.2495,0.1670,,0.2137,0.3415,,252.21M,258.15M,0.0938,,,
1995-09,718.00M,718.00M,632.00M,86.00M,,,16.00M,,,,,9.00M,77.00M,,,,16.00M,,93.00M,31.00M,62.00M,18.00M,91.00M,51.33M,86.00M,9.00M,77.00M,,0.245,0.075,0.0441,0.2022,0.365,,0.245,0.075,0.0441,0.2022,0.365,,249.32M,249.32M,0.0938,,,
1995-06,703.00M,703.00M,618.00M,85.00M,,,17.00M,,,,,9.00M,76.00M,,,,17.00M,,93.00M,32.00M,61.00M,13.00M,82.00M,49.85M,85.00M,9.00M,76.00M,,0.245,0.05,0.0322,0.2001,0.33,,0.245,0.05,0.0322,0.2001,0.33,,248.48M,248.48M,0.0938,,,
1995-03,753.00M,753.00M,666.00M,87.00M,,,13.00M,,,,,8.00M,79.00M,,,,13.00M,,92.00M,32.00M,60.00M,,60.00M,51.52M,87.00M,8.00M,79.00M,,0.24,0.00,,0.2061,0.24,,0.24,0.00,,0.2061,0.24,,250.00M,250.00M,0.0875,,,
1994-12,724.00M,724.00M,633.00M,91.00M,,,7.00M,,,,,9.00M,82.00M,,,,7.00M,,89.00M,31.00M,58.00M,,58.00M,53.44M,91.00M,9.00M,82.00M,,0.2275,0.00,0.0003,0.2091,0.2275,,0.2275,0.00,-0.0000,0.2096,0.2275,,248.53M,254.25M,0.0875,,,
1994-09,714.00M,714.00M,627.00M,87.00M,,,6.00M,,,,,10.00M,77.00M,,,,6.00M,,83.00M,29.00M,54.00M,,54.00M,50.10M,87.00M,10.00M,77.00M,,0.215,0.00,,0.1995,0.215,,0.215,0.00,,0.1995,0.215,,251.16M,251.16M,0.0875,,,
1994-06,820.00M,820.00M,682.00M,138.00M,,45.00M,4.00M,,,,,56.00M,82.00M,,,,4.00M,,86.00M,30.00M,56.00M,15.00M,71.00M,53.40M,93.00M,11.00M,82.00M,,0.22,0.06,,0.2097,0.28,,0.22,0.06,,0.2097,0.28,,254.00M,254.00M,0.0438,,,
1994-03,800.00M,800.00M,653.00M,147.00M,,58.00M,5.00M,,,,,67.00M,80.00M,,,,5.00M,,85.00M,30.00M,55.00M,,55.00M,51.76M,89.00M,9.00M,80.00M,,0.215,0.00,,0.2023,0.215,,0.215,0.00,,0.2023,0.215,,254.80M,254.80M,0.075,,,
1993-12,616.00M,616.00M,459.00M,157.00M,,,-21.00M,,,,,19.00M,138.00M,,,,-21.00M,,153.00M,53.00M,100.00M,-36.00M,64.00M,113.73M,157.00M,19.00M,138.00M,,0.41,-2.585,,0.4645,-2.175,,0.39,-2.585,,0.4445,-2.195,,251.84M,251.84M,0.075,,,
1993-09,900.00M,900.00M,829.70M,70.30M,,,52.00M,,,,,12.30M,58.00M,,,,52.00M,,110.00M,38.00M,72.00M,1.00M,73.00M,37.96M,70.30M,9.00M,58.00M,,0.285,0.005,,0.1498,0.29,,0.285,0.005,,0.1498,0.29,,251.72M,251.72M,0.05,,,
1993-06,793.00M,793.00M,726.70M,66.30M,,,30.00M,,,,,9.30M,57.00M,,,,30.00M,,87.00M,30.00M,57.00M,4.00M,61.00M,37.34M,72.00M,15.00M,57.00M,,0.225,0.02,,0.1461,0.245,,0.225,0.02,,0.1461,0.245,,248.98M,248.98M,0.05,,,
1993-03,878.00M,878.00M,809.00M,69.00M,,,7.00M,,,,,13.00M,56.00M,,,,7.00M,,63.00M,22.00M,41.00M,646.00M,687.00M,36.44M,69.00M,13.00M,56.00M,,0.165,2.565,,0.1469,2.73,,0.165,2.565,,0.1469,2.73,,251.65M,251.65M,0.05,,,
1992-12,191.00M,191.00M,-1.256B,1.447B,,,-1.512B,,,,,-17.00M,1.464B,,,,-1.512B,,-45.00M,-109.00M,64.00M,101.00M,174.00M,971.20M,1.447B,-17.00M,1.464B,,0.2587,0.4083,0.0364,3.926,0.7034,,0.2587,0.4083,0.0364,3.926,0.7034,,247.37M,247.37M,0.05,,,
1992-09,857.00M,857.00M,1.545B,-688.00M,,,802.00M,,,,,21.00M,-709.00M,,,,802.00M,,91.00M,29.00M,62.00M,51.00M,120.00M,-484.42M,-688.00M,21.00M,-709.00M,,0.245,0.20,0.0277,-1.918,0.475,,0.245,0.20,0.0277,-1.918,0.475,,252.63M,252.63M,0.05,,,
1992-06,1.609B,1.609B,1.513B,96.00M,,,6.00M,,,,,5.00M,91.00M,,,,6.00M,,97.00M,32.00M,65.00M,21.00M,86.00M,60.98M,96.00M,5.00M,91.00M,,0.165,0.055,,0.1547,0.22,,0.16,0.055,,0.1499,0.215,,390.91M,400.00M,0.05,,,
1992-03,2.118B,2.118B,1.962B,156.00M,,,,,,,,47.00M,109.00M,,,,,,107.00M,35.00M,72.00M,5.00M,435.00M,72.00M,156.00M,47.00M,109.00M,,0.215,0.015,1.066,0.215,1.295,,0.215,0.015,1.066,0.215,1.295,,335.91M,335.91M,0.0313,,,
1991-12,2.333B,2.333B,2.144B,189.00M,,,-23.00M,,,,,69.00M,120.00M,,,,-23.00M,,95.00M,29.00M,66.00M,100.00M,166.00M,81.98M,189.00M,69.00M,120.00M,,0.195,0.30,,0.2425,0.495,,0.195,0.30,,0.2425,0.495,,336.27M,336.27M,0.0313,,,
1991-09,2.091B,2.091B,1.915B,176.00M,,,-3.00M,,,,,78.00M,98.00M,,,,-3.00M,,87.00M,23.00M,64.00M,7.00M,71.00M,66.21M,176.00M,72.00M,98.00M,,0.195,0.025,,0.2018,0.22,,0.195,0.025,,0.2018,0.22,,322.73M,322.73M,0.0313,,,
1991-06,2.416B,2.416B,2.209B,207.00M,,,-9.00M,,,,,82.00M,125.00M,,,,-9.00M,,103.00M,-108.00M,211.00M,,211.00M,216.40M,207.00M,82.00M,125.00M,,0.63,0.00,,0.6461,0.63,,0.63,0.00,,0.6461,0.63,,334.92M,334.92M,0.0313,,,
1991-03,2.301B,2.301B,2.127B,174.00M,,,1.00M,,,,,80.00M,94.00M,,,,1.00M,,83.00M,26.00M,57.00M,,57.00M,56.31M,174.00M,80.00M,94.00M,,0.175,0.00,,0.1729,0.175,,0.175,0.00,,0.1729,0.175,,325.71M,325.71M,0.0313,,,
1990-12,2.598B,2.598B,3.801B,-1.203B,,,-65.80M,,,,,-463.90M,-738.90M,,,,-65.80M,,-820.10M,-290.40M,-529.70M,-0.50M,-530.20M,-487.20M,-632.40M,106.50M,-738.90M,,-1.59,0.00,,-1.466,-1.59,,-1.59,0.00,,-1.466,-1.59,,343.60M,343.60M,0.0313,,,
1990-09,2.460B,2.460B,2.046B,413.60M,,186.90M,-14.90M,,,,,279.90M,133.70M,,,,-14.90M,,105.20M,36.70M,68.50M,,68.50M,78.20M,226.70M,93.00M,133.70M,,0.205,0.00,,0.2340,0.205,,0.205,0.00,,0.2340,0.205,,334.15M,334.15M,0.0313,,,
1990-06,2.624B,2.624B,2.675B,-51.00M,,192.80M,-15.80M,,,,,283.30M,-334.30M,,,,-15.80M,,-364.70M,-124.70M,-240.00M,,-240.00M,-229.60M,-243.80M,90.50M,-334.30M,,-0.72,0.00,,-0.6888,-0.72,,-0.72,0.00,,-0.6888,-0.72,,333.33M,333.33M,0.0313,,,
1990-03,2.491B,2.491B,2.084B,407.20M,,190.70M,-17.50M,,,,,278.70M,128.50M,,,,-17.50M,,91.60M,29.40M,62.20M,61.50M,123.70M,74.08M,216.50M,88.00M,128.50M,,0.19,0.185,,0.2260,0.375,,0.19,0.185,,0.2260,0.375,,329.87M,329.87M,0.0313,,,
1989-12,2.635B,2.635B,2.919B,-284.30M,,-503.60M,,,,,,-406.40M,122.10M,,,,,,132.00M,49.20M,82.80M,,82.80M,82.80M,219.30M,97.20M,122.10M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,330.84M,330.84M,0.0313,,,
1989-09,2.517B,2.517B,2.088B,429.70M,,186.70M,-10.50M,,,,,279.80M,149.90M,,,,-10.50M,,117.90M,41.40M,76.50M,,76.50M,83.31M,243.00M,93.10M,149.90M,,0.23,0.00,,0.2505,0.23,,0.23,0.00,,0.2505,0.23,,332.61M,332.61M,0.0313,,,
1989-06,2.530B,2.530B,2.147B,382.70M,,179.60M,-13.10M,,,,,264.90M,117.80M,,,,-13.10M,,85.70M,27.30M,58.40M,,58.40M,67.33M,203.10M,85.30M,117.80M,,0.175,0.00,,0.2018,0.175,,0.175,0.00,,0.2018,0.175,,333.71M,333.71M,0.0313,,,
1989-03,2.361B,2.361B,,,,,,,,,,,2.361B,,,,,,,,75.40M,,75.40M,,2.361B,,2.361B,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,333.51M,333.51M,0.0313,,,
1988-12,2.541B,2.541B,,,,,,,,,,,-6.488B,,,,,,,,110.20M,,110.20M,,-6.488B,,-6.488B,,,,,,,,,,,,,,333.51M,333.51M,0.0313,,,
1988-09,2.268B,2.268B,,,,,,,,,,,2.268B,,,,,,,,96.40M,,96.40M,,2.268B,,2.268B,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,336.76M,336.76M,0.0313,,,
1988-06,2.341B,2.341B,,,,,,,,,,,2.341B,,,,,,,,66.70M,,66.70M,,2.341B,,2.341B,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,335.40M,335.40M,0.0313,,,
1988-03,2.402B,2.402B,,,,,,,,,,,2.402B,,,,,,,,105.70M,,105.70M,,2.402B,,2.402B,,0.315,0.00,,0.315,0.315,,0.315,0.00,,0.315,0.315,,335.40M,335.40M,0.0313,,,
1987-12,2.403B,2.403B,,,,,,,,,,,-6.307B,,,,,,,,95.30M,,95.30M,,-6.307B,,-6.307B,,,,,,,,,,,,,,335.40M,335.40M,0.0313,,,
1987-09,2.280B,2.280B,,,,,,,,,,,2.280B,,,,,,,,111.50M,,111.50M,,2.280B,,2.280B,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,341.14M,341.14M,0.0313,,,
1987-06,2.412B,2.412B,,,,,,,,,,,2.412B,,,,,,,,125.10M,,125.10M,,2.412B,,2.412B,,0.365,0.00,,0.365,0.365,,0.365,0.00,,0.365,0.365,,343.42M,343.42M,0.0313,,,
1987-03,2.250B,2.250B,,,,,,,,,,,2.250B,,,,,,,,105.40M,,105.40M,,2.250B,,2.250B,,0.31,0.00,,0.31,0.31,,0.31,0.00,,0.31,0.31,,343.42M,343.42M,0.0313,,,
1986-12,2.192B,2.192B,,,,,,,,,,,-6.051B,,,,,,,,-336.20M,,-336.20M,,-6.051B,,-6.051B,,,,,,,,,,,,,,343.42M,343.42M,0.0313,,,
1986-09,2.30B,2.30B,,,,,,,,,,,2.30B,,,,,,,,100.00M,,100.00M,,2.30B,,2.30B,,0.295,0.00,,0.295,0.295,,0.295,0.00,,0.295,0.295,,341.94M,341.94M,0.0313,,,
1986-06,2.332B,2.332B,,,,,,,,,,,2.332B,,,,,,,,103.50M,,103.50M,,2.332B,,2.332B,,0.305,0.00,,0.305,0.305,,0.305,0.00,,0.305,0.305,,339.63M,339.63M,0.0313,,,
1986-03,2.066B,2.066B,,,,,,,,,,,2.066B,,,,,,,,70.10M,,70.10M,,2.066B,,2.066B,,0.205,0.00,,0.205,0.205,,0.205,0.00,,0.205,0.205,,339.63M,339.63M,0.0313,,,
1985-12,2.263B,2.263B,,,,,,,,,,,-5.233B,,,,,,,,90.40M,5.00M,95.40M,,-5.233B,,-5.233B,,,0.0147,,,0.0147,,,0.0147,,,0.0147,,339.63M,339.63M,,,,
1985-09,2.024B,2.024B,,,,,,,,,,,2.024B,,,,,,,,100.60M,,100.60M,,2.024B,,2.024B,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,338.52M,338.52M,,,,
1985-06,1.963B,1.963B,,,,,,,,,,,1.963B,,,,,,,,97.90M,1.70M,99.60M,,1.963B,,1.963B,,0.29,0.005,,0.29,0.295,,0.29,0.005,,0.29,0.295,,345.65M,345.65M,,,,
1985-03,2.012B,2.012B,,,,,,,,,,,2.012B,,,,,,,,92.70M,,92.70M,,2.012B,,2.012B,,0.275,0.00,,0.275,0.275,,0.275,0.00,,0.275,0.275,,354.87M,354.87M,,,,
1984-12,2.071B,2.071B,,,,,,,,,,,-5.105B,,,,,,,,106.00M,,106.00M,,-5.105B,,-5.105B,,,,,,,,,,,,,,345.65M,345.65M,,,,
1984-09,2.005B,2.005B,,,,,,,,,,,2.005B,,,,,,,,102.20M,,102.20M,,2.005B,,2.005B,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,369.29M,369.29M,,,,
1984-06,1.902B,1.902B,,,,,,,,,,,1.902B,,,,,,,,96.00M,,96.00M,,1.902B,,1.902B,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,386.81M,386.81M,,,,
1984-03,1.860B,1.860B,,,,,,,,,,,1.860B,,,,,,,,77.50M,,77.50M,,1.860B,,1.860B,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,386.81M,386.81M,,,,
