,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2009-09,802.00M,,,-137.00M,-194.00M,175.00M,175.00M,-33.00M,46.00M,148.00M,-25.00M,-146.00M,392.00M,-74.00M,312.00M,,,-24.00M,548.00M,,1.321B,-144.00M,,,,47.00M,-2.505B,172.00M,-2.43B,,,,366.00M,0.00,366.00M,,-283.00M,22.00M,105.00M,3.721B,-1.004B,0.00,2.717B,366.00M,,,0.00
2009-06,738.00M,,,-33.00M,-90.00M,154.00M,154.00M,-166.00M,116.00M,436.00M,-22.00M,-94.00M,-133.00M,30.00M,122.00M,,84.00M,-88.00M,15.00M,,1.087B,-149.00M,,,,-7.00M,-851.00M,-173.00M,-1.18B,,,,175.00M,0.00,175.00M,,-282.00M,25.00M,-82.00M,3.892B,-175.00M,4.00M,3.721B,175.00M,,,0.00
2009-03,-289.00M,,,33.00M,33.00M,154.00M,154.00M,166.00M,209.00M,,-16.00M,28.00M,108.00M,48.00M,853.00M,,-84.00M,53.00M,978.00M,,1.263B,-234.00M,,,,-26.00M,-507.00M,21.00M,-746.00M,,,,75.00M,0.00,75.00M,,-528.00M,3.00M,-450.00M,3.826B,67.00M,-1.00M,3.892B,75.00M,,,0.00
2008-12,341.00M,,,,,152.00M,152.00M,,392.00M,,-16.00M,180.00M,2.716B,65.00M,-246.00M,,,-83.00M,2.452B,,3.501B,-234.00M,,,,-14.00M,-1.011B,158.00M,-1.101B,,,,26.00M,-285.00M,-259.00M,,0.00,-147.00M,-406.00M,1.84B,1.994B,-8.00M,3.826B,26.00M,,,-285.00M
2008-09,878.00M,,,3.00M,-169.00M,120.00M,120.00M,,333.00M,148.00M,-98.00M,-146.00M,-624.00M,95.00M,251.00M,,-12.00M,-74.00M,-381.00M,,991.00M,-414.00M,,,,283.00M,-2.299B,148.00M,-2.282B,,,,484.00M,0.00,484.00M,,-266.00M,-54.00M,164.00M,2.97B,-1.127B,-3.00M,1.84B,484.00M,,,0.00
2008-06,749.00M,,,-158.00M,-148.00M,117.00M,117.00M,,202.00M,393.00M,-310.00M,-87.00M,-186.00M,-7.00M,-24.00M,,78.00M,-37.00M,-176.00M,,740.00M,-555.00M,,428.00M,,-283.00M,-425.00M,287.00M,-976.00M,,,,464.00M,0.00,464.00M,,-261.00M,201.00M,404.00M,2.803B,168.00M,-1.00M,2.97B,464.00M,,,0.00
2008-03,766.00M,,,,11.00M,111.00M,111.00M,,,,,87.00M,-35.00M,-88.00M,97.00M,,-31.00M,29.00M,-28.00M,,947.00M,-301.00M,,-301.00M,,,221.00M,-71.00M,-151.00M,,,,159.00M,-770.00M,-611.00M,,-455.00M,105.00M,-961.00M,2.968B,-165.00M,0.00,2.803B,159.00M,,,-770.00M
2007-12,767.00M,,,,-21.00M,108.00M,108.00M,,,,,149.00M,43.00M,-47.00M,-77.00M,,-35.00M,-7.00M,-123.00M,,880.00M,-127.00M,,-127.00M,,,808.00M,-91.00M,590.00M,,,,77.00M,-900.00M,-823.00M,,,-91.00M,-914.00M,2.411B,556.00M,1.00M,2.968B,77.00M,,,-900.00M
2007-09,1.132B,,,,-108.00M,100.00M,100.00M,,,,,-171.00M,46.00M,-87.00M,82.00M,,139.00M,-90.00M,90.00M,,1.043B,-247.00M,,-247.00M,,,-827.00M,-216.00M,-1.29B,,,,99.00M,-1.218B,-1.119B,,-230.00M,291.00M,-1.058B,3.716B,-1.305B,0.00,2.411B,99.00M,,,-1.218B
2007-06,798.00M,,,,-46.00M,99.00M,99.00M,,,,,170.00M,-45.00M,-49.00M,-7.00M,,-1.00M,69.00M,-33.00M,,988.00M,-157.00M,,-157.00M,,,-431.00M,-144.00M,-732.00M,,,,219.00M,-128.00M,91.00M,,-234.00M,250.00M,107.00M,3.353B,363.00M,0.00,3.716B,219.00M,,,-128.00M
