,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-06,1.067B,1.067B,,824.43M,824.43M,-20.96M,803.48M,0.00,91.63M,137.99M,48.52M,89.47M,-13.12M,76.35M,89.94M,18.03M,167.54M,0.55,,0.6505,0.55,0.55,,0.6494,0.55,135.26M,136.66M,0.13
2012-03,855.72M,855.72M,,668.01M,668.01M,-19.60M,648.41M,0.00,90.94M,107.90M,42.63M,65.27M,3.595M,68.87M,80.73M,10.08M,125.82M,0.52,,0.6117,0.52,0.52,,0.6108,0.52,129.35M,130.64M,0.13
2011-12,768.76M,768.76M,,607.03M,607.03M,0.00,607.03M,0.00,86.06M,104.65M,43.53M,61.12M,6.203M,67.32M,67.32M,9.971M,120.69M,0.53,,0.53,0.53,0.53,,0.53,0.53,123.22M,123.71M,0.13
2011-09,707.83M,707.83M,,773.54M,669.86M,0.00,669.86M,-41.39M,78.48M,118.68M,56.90M,61.78M,7.147M,68.93M,68.93M,10.01M,135.50M,0.54,,0.54,0.54,0.54,,0.54,0.54,123.19M,123.28M,0.13
2011-06,850.39M,850.39M,36.16M,583.43M,619.58M,0.00,619.58M,0.00,78.01M,81.08M,31.88M,49.20M,-2.412M,46.79M,46.79M,10.53M,98.90M,0.37,0.0,0.37,0.37,0.37,0.0,0.37,0.37,123.24M,123.96M,0.13
2011-03,852.06M,852.06M,36.38M,587.45M,623.83M,0.00,623.83M,0.00,82.12M,124.24M,45.32M,78.92M,1.999M,80.92M,80.92M,10.23M,138.92M,0.64,0.0,0.64,0.64,0.64,0.0,0.64,0.64,122.40M,123.26M,0.13
2010-12,813.83M,813.83M,31.14M,558.79M,589.93M,,589.93M,0.00,87.88M,126.75M,48.79M,77.96M,3.768M,81.72M,81.72M,9.574M,143.25M,0.65,0.0,0.65,0.65,0.65,0.0,0.65,0.65,121.16M,121.53M,0.13
2010-09,747.89M,747.89M,31.44M,517.71M,549.16M,93.71M,642.87M,0.00,78.10M,99.48M,36.29M,63.19M,5.877M,69.06M,9.539M,10.17M,114.84M,0.55,0.0,0.0531,0.55,0.55,0.0,0.054,0.55,119.80M,120.00M,0.11
2010-06,747.37M,747.37M,30.00M,520.66M,550.66M,-29.23M,521.43M,0.00,76.54M,95.35M,36.82M,58.52M,2.164M,60.69M,78.63M,5.456M,111.59M,0.49,0.0,0.64,0.49,0.48,0.0,0.6295,0.48,119.62M,120.02M,0.11
2010-03,734.44M,734.44M,32.44M,504.25M,536.69M,,536.69M,0.00,77.73M,94.21M,34.03M,60.18M,-4.552M,55.63M,55.63M,12.14M,109.76M,0.45,0.0,0.45,0.45,0.45,0.0,0.45,0.45,119.29M,119.58M,0.11
2009-12,686.97M,686.97M,28.07M,477.64M,505.71M,,505.71M,0.00,75.67M,67.11M,26.48M,40.63M,2.275M,42.90M,42.90M,11.76M,82.82M,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,118.76M,118.98M,0.11
2009-09,667.16M,667.16M,46.21M,469.73M,515.94M,,515.94M,0.00,83.00M,56.83M,18.91M,37.91M,5.055M,42.97M,42.97M,9.224M,67.69M,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,117.77M,117.96M,0.11
2009-06,629.47M,629.47M,45.34M,420.24M,465.58M,,465.58M,0.00,90.58M,76.69M,29.71M,46.98M,-4.381M,42.60M,42.60M,8.773M,84.14M,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,117.93M,117.95M,0.11
2009-03,585.00M,585.00M,48.77M,406.59M,455.36M,,455.36M,0.00,101.33M,6.226M,6.825M,-0.599M,6.692M,6.093M,6.093M,8.221M,12.97M,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.05,117.13M,117.19M,0.11
2008-12,663.94M,663.94M,59.95M,437.56M,497.51M,,497.51M,0.00,111.72M,96.66M,40.57M,56.09M,5.007M,61.09M,61.09M,8.345M,128.55M,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,116.31M,116.56M,0.11
2008-09,693.16M,693.16M,56.06M,491.95M,548.01M,,548.01M,0.00,96.17M,83.16M,34.05M,49.11M,,49.11M,49.11M,7.742M,149.86M,0.43,0.0,0.43,0.43,0.41,0.0,0.41,0.41,115.81M,118.60M,0.11
2008-06,742.02M,742.02M,55.43M,511.44M,566.87M,,566.87M,0.00,90.21M,115.12M,45.18M,69.94M,,69.94M,69.94M,7.075M,181.84M,0.6,0.0,0.6,0.6,0.59,0.0,0.59,0.59,115.63M,118.27M,0.11
2008-03,691.69M,691.69M,52.97M,492.96M,545.94M,,545.94M,0.00,75.87M,97.82M,38.03M,59.79M,,59.79M,59.79M,6.172M,213.26M,0.51,0.0,0.51,0.51,0.5,0.0,0.5,0.5,117.31M,119.52M,0.11
2007-12,685.83M,685.83M,,470.60M,470.60M,,470.60M,1.102M,69.59M,90.76M,34.52M,56.24M,-0.545M,56.24M,56.24M,6.993M,234.12M,0.48,0.0,0.48,0.48,0.47,0.0,0.47,0.47,116.88M,120.24M,0.11
2007-09,691.64M,691.64M,,466.83M,466.83M,,466.83M,,64.98M,95.60M,32.64M,62.97M,4.381M,62.97M,62.97M,6.321M,242.90M,0.54,0.0,0.54,0.54,0.53,0.0,0.53,0.53,116.37M,119.50M,0.1
2007-06,688.66M,688.66M,,462.46M,462.46M,,462.46M,,57.60M,109.90M,41.54M,68.35M,4.371M,68.35M,68.35M,5.179M,243.99M,0.59,0.0,0.59,0.59,0.57,0.0,0.57,0.57,116.14M,119.14M,0.1
2007-03,625.72M,625.72M,,428.89M,428.89M,,428.89M,,52.26M,92.96M,33.24M,59.72M,-2.00M,59.72M,59.72M,5.837M,205.51M,0.52,0.0,0.52,0.52,0.5,0.0,0.5,0.5,115.70M,118.69M,0.1
2006-12,603.90M,603.90M,,408.51M,408.51M,,408.51M,6.293M,52.50M,93.77M,34.37M,59.40M,2.975M,59.40M,59.40M,5.294M,199.50M,0.52,0.0,0.52,0.52,0.5,0.0,0.5,0.5,114.34M,117.89M,0.1
2006-09,573.61M,573.61M,,405.55M,405.55M,,405.55M,7.439M,47.30M,78.92M,27.99M,50.93M,14.89M,50.93M,50.93M,4.699M,181.07M,0.45,0.0,0.45,0.45,0.44,0.0,0.44,0.44,113.33M,116.28M,0.08
2006-06,629.67M,629.67M,,429.22M,429.22M,,429.22M,5.671M,44.17M,96.50M,39.73M,56.77M,2.173M,56.77M,56.77M,4.932M,178.19M,0.5,0.0,0.5,0.5,0.48,0.0,0.48,0.48,113.46M,116.96M,0.08
2006-03,592.80M,592.80M,,399.64M,399.64M,,399.64M,,42.61M,95.31M,33.78M,61.53M,4.046M,61.53M,61.53M,5.164M,159.33M,0.54,0.0,0.54,0.54,0.53,0.0,0.53,0.53,113.19M,116.41M,0.08
2005-12,526.54M,526.54M,,366.62M,366.62M,,366.62M,5.857M,39.24M,71.34M,26.23M,45.11M,0.515M,45.11M,45.11M,4.378M,120.15M,0.41,0.0,0.41,0.41,0.4,0.0,0.4,0.4,111.50M,113.64M,0.08
2005-09,563.56M,563.56M,,389.34M,389.34M,,389.34M,4.693M,37.03M,73.56M,28.84M,44.72M,4.696M,44.72M,44.72M,5.758M,103.93M,0.4,0.0,0.4,0.4,0.39,0.0,0.39,0.39,110.93M,112.47M,0.0533
2005-06,493.54M,493.54M,,348.36M,348.36M,,348.36M,2.722M,33.54M,51.48M,19.09M,32.38M,0.512M,32.38M,32.38M,3.599M,84.29M,0.29,0.0,0.29,0.29,0.29,0.0,0.29,0.29,110.50M,113.38M,0.0533
2005-03,483.12M,483.12M,,342.49M,342.49M,,342.49M,7.445M,28.18M,58.13M,23.43M,34.70M,3.62M,34.70M,34.70M,4.44M,87.34M,0.3135,0.0,0.3135,0.3135,0.3068,0.0,0.3068,0.3068,110.68M,113.09M,0.0533
2004-12,498.98M,498.98M,,348.91M,348.91M,,348.91M,9.752M,29.02M,64.80M,25.56M,39.24M,-1.589M,39.24M,39.24M,3.984M,90.20M,0.3533,0.0,0.3533,0.3533,0.3467,0.0,0.3467,0.3467,111.00M,113.00M,0.0533
2004-09,446.71M,446.71M,,311.43M,311.43M,,311.43M,7.242M,23.27M,50.54M,19.88M,30.66M,,30.66M,30.66M,4.386M,66.04M,0.28,0.0,0.28,0.28,0.28,0.0,0.28,0.28,110.63M,111.82M,0.0467
2004-06,440.11M,440.11M,,319.96M,319.96M,,319.96M,5.031M,21.85M,47.71M,18.10M,29.61M,,29.61M,29.61M,4.147M,59.14M,0.2667,0.0,0.2667,0.2667,0.2667,0.0,0.2667,0.2667,110.39M,111.84M,0.0467
2004-03,480.45M,480.45M,,341.37M,341.37M,,341.37M,4.512M,20.65M,66.91M,23.84M,43.07M,,43.07M,43.07M,4.997M,77.83M,0.3935,0.0,0.3935,0.3935,0.3869,0.0,0.3869,0.3869,109.44M,111.33M,0.0467
2003-12,413.99M,413.99M,,300.66M,300.66M,,300.66M,6.779M,20.48M,38.96M,14.72M,24.23M,,24.23M,24.23M,3.297M,49.63M,0.2222,0.0,0.2222,0.2222,0.2178,0.0,0.2178,0.2178,109.32M,111.17M,0.04
2003-09,402.76M,402.76M,,280.55M,280.55M,,280.55M,1.027B,19.75M,52.50M,19.36M,33.13M,,33.13M,33.13M,2.083M,62.44M,0.3067,0.0,0.3067,0.3067,0.2978,0.0,0.2978,0.2978,108.99M,110.64M,0.04
2003-06,377.99M,377.99M,,270.31M,270.31M,,270.31M,8.491M,20.59M,38.14M,14.58M,23.56M,,23.56M,23.56M,6.382M,49.92M,0.2178,0.0,0.2178,0.2178,0.2133,0.0,0.2133,0.2133,109.18M,110.05M,0.04
2003-03,339.82M,339.82M,,248.95M,248.95M,,248.95M,5.456M,20.32M,24.27M,9.077M,15.19M,,15.19M,15.19M,4.746M,34.95M,0.1379,0.0,0.1379,0.1379,0.1379,0.0,0.1379,0.1379,110.17M,110.17M,0.04
2002-12,331.40M,331.40M,,234.87M,234.87M,,234.87M,3.707M,21.43M,23.36M,8.937M,14.43M,,14.43M,14.43M,5.133M,36.58M,0.1333,0.0,0.1333,0.1333,0.1289,0.0,0.1289,0.1289,109.71M,111.52M,0.04
2002-09,369.36M,369.36M,,255.53M,255.53M,,255.53M,302.89M,22.55M,37.51M,15.51M,22.00M,,22.00M,22.00M,5.355M,52.30M,0.1956,0.0,0.1956,0.1956,0.1956,0.0,0.1956,0.1956,109.57M,111.61M,0.04
2002-06,370.94M,370.94M,,263.66M,263.66M,,263.66M,248.72M,21.32M,33.94M,13.55M,20.39M,,20.39M,20.39M,7.241M,51.12M,0.1867,0.0,0.1867,0.1867,0.1822,0.0,0.1822,0.1822,109.94M,112.20M,0.04
2002-03,359.10M,359.10M,,256.98M,256.98M,,256.98M,3.861M,19.34M,30.69M,11.87M,18.82M,,18.82M,18.82M,4.427M,49.93M,0.1735,0.0,0.1735,0.1735,0.1691,0.0,0.1691,0.1691,108.45M,111.30M,0.04
2001-12,339.02M,339.02M,,245.99M,245.99M,,245.99M,5.912M,20.26M,29.38M,11.28M,18.10M,,18.10M,18.10M,5.79M,54.50M,0.1646,0.0,0.1646,0.1646,0.1646,0.0,0.1646,0.1646,108.74M,110.96M,0.04
2001-09,353.58M,353.58M,,247.72M,247.72M,,247.72M,276.60M,21.91M,22.98M,10.34M,12.63M,,12.63M,12.63M,9.946M,62.37M,0.1178,0.0,0.1178,0.1178,0.1178,0.0,0.1178,0.1178,107.84M,109.40M,0.04
2001-06,371.12M,371.12M,,270.63M,270.63M,,270.63M,256.53M,24.76M,48.44M,19.50M,28.93M,,28.93M,28.93M,6.894M,99.30M,0.2667,0.0,0.2667,0.2667,0.2622,0.0,0.2622,0.2622,108.08M,110.68M,0.04
2001-03,369.74M,369.74M,,260.87M,260.87M,,260.87M,7.125M,27.72M,36.93M,14.26M,22.66M,,22.66M,22.66M,9.073M,104.21M,0.2091,0.0,0.2091,0.2091,0.2046,0.0,0.2046,0.2046,107.50M,110.70M,0.08
2000-12,350.21M,350.21M,,245.20M,245.20M,,245.20M,6.98M,31.65M,49.13M,16.95M,32.18M,,32.18M,32.18M,5.346M,119.94M,0.3067,0.0,0.3067,0.3067,0.2978,0.0,0.2978,0.2978,104.96M,107.60M,0.04
2000-09,367.09M,367.09M,,247.02M,247.02M,,247.02M,,31.26M,60.85M,23.87M,36.98M,,36.98M,36.98M,8.068M,125.82M,0.3556,0.0,0.3556,0.3556,0.3511,0.0,0.3511,0.3511,103.92M,105.21M,0.0333
2000-06,367.71M,367.71M,,249.28M,249.28M,,249.28M,,30.25M,38.43M,15.26M,23.16M,,23.16M,23.16M,5.398M,97.14M,0.2222,0.0,0.2222,0.2222,0.2222,0.0,0.2222,0.2222,103.70M,105.00M,0.0333
2000-03,400.10M,400.10M,,275.05M,275.05M,,275.05M,,28.51M,62.18M,23.94M,38.24M,,38.24M,38.24M,4.988M,118.26M,0.3689,0.0,0.3689,0.3689,0.3644,0.0,0.3644,0.3644,103.52M,104.73M,0.0333
1999-12,335.00M,335.00M,,237.80M,237.80M,,237.80M,,27.00M,43.20M,16.40M,26.80M,,26.80M,26.80M,5.40M,92.10M,0.2533,0.0,0.2533,0.2533,0.2489,0.0,0.2489,0.2489,105.47M,106.87M,0.0333
1999-09,300.04M,300.04M,,209.10M,209.10M,,209.10M,,22.90M,35.90M,13.60M,22.30M,,22.30M,22.30M,6.00M,79.87M,0.2083,0.0,0.2083,0.2083,0.2039,0.0,0.2039,0.2039,107.64M,110.29M,0.0311
1999-06,286.39M,286.39M,,201.50M,201.50M,,201.50M,,20.10M,38.00M,14.50M,23.50M,,23.50M,23.50M,4.50M,76.00M,0.2224,0.0,0.2224,0.2224,0.218,0.0,0.218,0.218,105.64M,107.80M,0.0311
1999-03,261.50M,261.50M,,181.50M,181.50M,,181.50M,,18.00M,35.40M,13.50M,21.90M,,21.90M,21.90M,4.60M,73.10M,0.2046,0.0,0.2046,0.2046,0.2002,0.0,0.2002,0.2002,107.01M,109.39M,0.0311
1998-12,232.80M,232.80M,,162.60M,162.60M,,162.60M,,17.40M,28.40M,10.90M,17.50M,,17.50M,17.50M,4.90M,60.20M,0.1602,0.0,0.1602,0.1602,0.1602,0.0,0.1602,0.1602,109.27M,109.27M,0.0311
1998-09,250.50M,250.50M,,170.30M,170.30M,,170.30M,,19.00M,36.50M,14.00M,22.50M,,22.50M,22.50M,5.20M,73.30M,0.2082,0.0,0.2082,0.2082,0.1905,0.0,0.1905,0.1905,106.97M,118.53M,0.0267
1998-06,242.30M,242.30M,,166.30M,166.30M,,166.30M,,18.20M,36.40M,13.60M,22.80M,,22.80M,22.80M,4.20M,69.90M,0.2091,0.0,0.2091,0.2091,0.2046,0.0,0.2046,0.2046,109.04M,111.41M,0.0267
