,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,243.00M,,,,24.00M,24.00M,-16.00M,,,18.00M,,79.00M,-251.00M,,303.00M,-30.00M,109.00M,-296.00M,-164.00M,184.00M,-34.00M,-34.00M,0.00,-195.00M,12.00M,-741.00M,-301.00M,-330.00M,-631.00M,,-3.00M,-3.00M,-39.00M,-39.00M,18.00M,0.00,-668.00M,7.467B,-1.225B,-23.00M,6.219B,,0.00,-631.00M,-3.00M,74.00M,56.00M
2017-12,119.00M,,,,23.00M,23.00M,121.00M,,,38.00M,,-119.00M,124.00M,,467.00M,-19.00M,-266.00M,-53.00M,231.00M,422.00M,-36.00M,-36.00M,-159.00M,-226.00M,-30.00M,-1.074B,299.00M,-280.00M,19.00M,,-20.00M,-20.00M,-32.00M,-32.00M,26.00M,-6.00M,980.00M,7.146B,328.00M,-7.00M,7.467B,,300.00M,-281.00M,-20.00M,9.00M,28.00M
2017-09,194.40M,,-12.81M,24.91M,21.85M,21.85M,44.95M,,,32.58M,,2.578M,14.69M,,-454.31M,-1.454B,177.29M,79.27M,-1.647B,-1.453B,-37.28M,-37.28M,,-179.60M,-9.701M,-704.14M,-239.03M,610.00M,370.97M,,-1.821M,-1.821M,-31.68M,-31.68M,5.817M,-2.21M,1.763B,2.615B,-394.49M,40.46M,7.146B,,99.51M,-338.54M,-1.821M,105.42M,63.07M
2017-06,185.35M,,2.179M,2.179M,21.19M,21.19M,-18.77M,,,21.04M,,-27.73M,-87.15M,,-261.35M,405.06M,90.40M,-40.81M,98.93M,292.84M,-29.66M,-29.66M,,-296.98M,33.82M,-787.16M,607.32M,-50.00M,557.32M,,-3.116M,-3.116M,-32.30M,-32.30M,7.194M,-1.133M,461.31M,2.636B,-33.02M,12.17M,2.615B,,1.258B,-651.17M,-3.116M,98.91M,15.94M
2017-03,108.54M,,2.658M,10.94M,21.02M,21.02M,-49.11M,,,22.81M,,35.80M,-65.42M,,64.20M,55.12M,109.20M,-167.34M,-24.24M,227.95M,-44.68M,-44.68M,,-550.14M,33.76M,-789.95M,-351.15M,-158.40M,-509.55M,,-3.005M,-3.005M,-31.77M,-31.77M,19.85M,2.90M,666.17M,2.528B,104.17M,3.881M,2.636B,,0.00,-351.15M,-3.005M,130.96M,44.55M
2016-12,147.70M,,7.973M,7.973M,19.94M,19.94M,10.93M,,,32.57M,,24.35M,83.89M,,-481.54M,1.091B,-216.89M,78.88M,541.00M,807.30M,-78.37M,-78.37M,,-313.28M,17.12M,-1.095B,98.86M,208.40M,307.26M,,-26.06M,-26.06M,-31.26M,-31.26M,24.14M,-26.56M,1.175B,1.650B,887.34M,-9.514M,2.528B,,100.00M,-1.138M,-26.06M,13.71M,32.44M
2016-09,178.16M,,-2.102M,-2.102M,18.42M,18.42M,-24.94M,,,17.75M,,-48.71M,-561.53M,25.73M,1.186B,-1.231B,151.03M,-2.442M,-676.10M,-532.88M,-35.22M,-35.22M,,-277.07M,-35.36M,-862.17M,791.10M,-237.80M,553.30M,,-1.001M,-1.001M,-28.44M,-28.44M,6.481M,-7.724M,1.053B,1.978B,-342.08M,14.48M,1.650B,,792.22M,-1.12M,-1.001M,93.00M,27.05M
2016-06,132.59M,,0.00,0.00,18.31M,18.31M,-20.56M,,,18.04M,,-2.424M,87.96M,-155.05M,-9.261M,-54.42M,64.23M,-10.64M,-106.53M,17.07M,-28.34M,-28.34M,,24.95M,-27.86M,-469.26M,-251.11M,237.80M,-13.31M,,-2.326M,-2.326M,-28.84M,-28.84M,5.61M,-9.671M,954.20M,1.480B,502.01M,-3.737M,1.978B,,0.00,-251.11M,-2.326M,86.27M,30.92M
2016-03,121.84M,,,,17.74M,17.74M,-19.93M,,,20.34M,,15.60M,-383.37M,46.78M,547.14M,-532.65M,73.92M,-190.46M,-470.99M,-305.47M,-25.60M,-25.60M,,-23.33M,2.545M,-736.83M,-1.09M,0.00,-1.09M,,-147.04M,-147.04M,-29.05M,-29.05M,16.85M,,-88.47M,2.596B,-1.131B,14.17M,1.480B,,0.00,-1.09M,-147.04M,90.60M,28.85M
2015-12,108.06M,,,,17.91M,17.91M,6.631M,,,22.40M,,-77.76M,247.00M,82.54M,58.39M,-171.36M,-242.82M,210.30M,145.56M,247.97M,-32.58M,-32.58M,,-80.72M,-1.344M,-849.64M,23.91M,-115.00M,-91.09M,,-12.14M,-12.14M,-27.11M,-27.11M,14.39M,,621.78M,2.601B,20.11M,-24.72M,2.596B,,25.00M,-1.091M,-12.14M,33.92M,26.70M
2015-09,161.40M,,,,17.26M,17.26M,0.565M,,,14.14M,-6.948M,-23.22M,-112.75M,0.341M,665.96M,-457.01M,102.70M,73.69M,256.25M,433.91M,-22.45M,-22.45M,,-150.38M,-20.47M,-1.242B,18.48M,-13.80M,4.684M,,-57.65M,-57.65M,-26.03M,-26.03M,7.071M,-16.59M,820.75M,2.582B,12.45M,6.474M,2.601B,,249.99M,-231.51M,-57.65M,67.00M,25.80M
2015-06,126.36M,,,,17.12M,17.12M,2.25M,,,16.84M,14.52M,-17.80M,-262.97M,-29.14M,74.90M,47.36M,57.01M,83.18M,-51.44M,84.10M,-22.02M,-22.02M,,144.60M,3.566M,331.24M,-15.53M,-37.80M,-53.33M,,-16.01M,-16.01M,-27.71M,-27.71M,6.367M,-14.52M,-366.61M,2.540B,48.73M,-6.789M,2.582B,,0.198M,-15.73M,-16.01M,102.36M,27.31M
2015-03,108.78M,,,,17.60M,17.60M,-22.19M,,,17.84M,1.79M,76.09M,0.152M,-2.31M,148.77M,-200.50M,99.93M,-76.50M,-50.35M,141.04M,-16.58M,-16.58M,,5.557M,-3.996M,-500.21M,49.07M,66.60M,115.67M,,-2.169M,-2.169M,-25.78M,-25.78M,17.45M,-1.79M,286.38M,2.649B,-72.80M,-36.45M,2.540B,,300.11M,-201.34M,-2.169M,142.99M,26.21M
2014-12,122.04M,,,,16.33M,16.33M,-4.09M,,,22.66M,-9.367M,-78.30M,259.73M,31.11M,-96.97M,129.31M,-224.94M,90.11M,160.82M,239.65M,-13.06M,-13.06M,,-0.136M,-0.45M,-765.44M,-10.97M,-49.70M,-60.67M,,-12.71M,-12.71M,-23.63M,-23.63M,17.07M,9.367M,989.53M,2.199B,463.74M,-13.42M,2.649B,,0.00,-60.67M,-12.71M,66.58M,26.87M
2014-09,129.16M,,,,16.00M,16.00M,-9.017M,,,17.65M,0.71M,17.62M,-149.65M,19.22M,183.92M,-190.75M,117.22M,-106.63M,-125.58M,56.67M,-16.04M,-16.04M,-2.007M,39.26M,-0.586M,-529.34M,24.14M,,94.76M,,-0.633M,-0.633M,-22.66M,-22.66M,4.876M,-0.71M,-163.28M,2.846B,-635.94M,-10.75M,2.199B,,0.00,24.14M,-0.633M,61.07M,25.12M
2014-06,110.38M,,,,15.71M,15.71M,-2.636M,,,14.55M,1.73M,54.49M,-90.06M,-82.60M,-182.17M,256.64M,47.71M,189.77M,121.54M,317.83M,-12.78M,-12.78M,2.007M,55.87M,-23.25M,-404.96M,466.18M,,466.18M,,-1.582M,-1.582M,-22.68M,-22.68M,7.073M,-1.73M,300.30M,2.642B,213.16M,-9.284M,2.846B,,497.39M,-31.21M,-1.582M,78.72M,26.22M
2014-03,92.10M,,,,15.84M,15.84M,-19.18M,,,16.54M,-3.954M,-4.48M,-148.38M,75.95M,9.694M,37.01M,75.69M,-12.72M,26.89M,116.58M,-18.63M,-18.63M,-2.007M,65.44M,1.389M,-657.18M,-9.538M,,-9.538M,,-1.184M,-1.184M,-22.48M,-22.48M,11.09M,3.954M,391.20M,2.802B,-149.39M,-10.68M,2.642B,,-8.331M,-1.207M,-1.184M,101.41M,25.30M
2013-12,116.52M,,,,16.61M,16.61M,-4.343M,,,20.88M,-5.923M,13.52M,228.53M,6.767M,-1.812B,1.473B,-168.33M,140.48M,-139.34M,16.52M,-12.69M,-12.69M,,35.30M,,-505.29M,-5.544M,,-5.544M,,-5.028M,-5.028M,-20.28M,-20.28M,10.60M,5.923M,695.74M,2.597B,206.96M,-1.622M,2.802B,,12.03M,-17.58M,-5.028M,78.07M,24.45M
2013-09,114.03M,,,,17.47M,17.47M,-30.25M,,0.00,13.39M,0.852M,97.66M,58.42M,9.432M,625.64M,-613.41M,101.71M,-148.57M,35.23M,246.63M,-7.122M,-7.122M,6.45M,23.04M,-4.799M,-375.65M,-89.66M,,-10.59M,,-1.137M,-1.137M,-19.59M,-19.59M,5.442M,-0.852M,138.26M,2.586B,9.24M,1.831M,2.597B,,-206.73M,117.07M,-1.137M,57.78M,26.28M
2013-06,80.70M,,,,15.88M,15.88M,-1.341M,,0.00,14.78M,-0.93M,-92.99M,143.33M,-114.99M,-185.24M,184.02M,19.47M,186.59M,226.42M,237.17M,-18.82M,-18.82M,0.00,262.46M,0.00,214.96M,-78.87M,,-78.87M,,-1.27M,-1.27M,-19.54M,-19.54M,6.336M,0.377M,-36.94M,2.174B,415.18M,-3.787M,2.586B,,54.31M,-133.18M,-1.27M,48.84M,27.10M
2013-03,108.25M,,,,16.59M,16.59M,-2.30M,,6.933M,15.90M,-0.441M,140.52M,-339.56M,86.09M,-91.76M,-213.92M,83.66M,173.06M,-288.41M,-61.98M,-28.00M,-28.00M,0.00,-26.07M,1.067M,-108.66M,34.78M,,34.78M,,-1.04M,-1.04M,-19.49M,-19.49M,17.37M,0.441M,159.75M,2.188B,-10.89M,-2.67M,2.174B,,35.68M,-0.904M,-1.04M,72.46M,26.35M
2012-12,93.89M,,,,16.42M,16.42M,2.104M,,,17.78M,-2.071M,-72.01M,225.98M,-46.98M,958.96M,-637.31M,-154.52M,-165.91M,182.42M,237.99M,-18.94M,-18.94M,-6.45M,29.83M,,-382.62M,4.73M,,4.73M,,-8.271M,-8.271M,-17.97M,-17.97M,26.85M,2.071M,354.36M,1.980B,209.73M,-2.041M,2.188B,,145.22M,-140.49M,-8.271M,10.65M,27.09M
2012-09,76.40M,,,,13.37M,13.37M,18.43M,,0.00,13.96M,0.388M,41.45M,309.88M,7.188M,-340.58M,-65.17M,99.58M,83.07M,19.82M,175.50M,-23.94M,-23.94M,23.01M,-37.15M,10.88M,-222.61M,-17.78M,,-17.78M,0.00,-0.371M,-0.371M,-18.13M,-18.13M,10.40M,-0.388M,296.14M,1.729B,249.03M,1.959M,1.980B,0.00,107.18M,-124.96M,-0.371M,52.82M,40.05M
2012-06,89.47M,,,,18.03M,18.03M,-6.356M,,0.00,11.43M,-0.791M,-42.31M,-160.02M,-21.99M,-167.31M,864.54M,50.94M,-355.88M,68.00M,146.72M,-22.39M,-22.39M,-1.097B,-64.01M,21.34M,-1.456B,-189.50M,,-189.50M,0.591M,-1.267M,-0.676M,-17.78M,-17.78M,7.272M,0.791M,163.56M,2.876B,-1.146B,-1.096M,1.729B,0.591M,242.94M,-432.44M,-1.267M,13.23M,15.10M
2012-03,65.27M,,,,10.08M,10.08M,0.411M,,0.00,12.93M,-0.535M,20.36M,-90.89M,46.05M,-58.51M,46.83M,70.84M,-27.75M,-10.51M,89.06M,-17.54M,-17.54M,0.00,-97.62M,-21.40M,-608.28M,914.95M,,914.95M,362.23M,-2.168M,360.06M,-16.48M,-16.48M,13.50M,-3.482M,1.478B,1.917B,958.28M,0.624M,2.876B,362.23M,915.81M,-0.857M,-2.168M,100.35M,25.10M
2011-12,61.12M,,,,9.971M,9.971M,-10.44M,,,17.41M,-1.675M,-12.00M,85.08M,-18.34M,141.53M,43.49M,-161.37M,-164.18M,-89.54M,-19.99M,-13.65M,-13.65M,0.00,39.08M,20.23M,-444.31M,5.631M,,5.631M,,-17.05M,-17.05M,-16.40M,-16.40M,2.642M,1.675M,-57.93M,2.440B,-522.23M,-0.511M,1.917B,,21.08M,-15.45M,-17.05M,10.14M,11.22M
2011-09,58.42M,,,,10.01M,10.01M,37.23M,11.76M,,8.009M,-0.334M,-75.97M,174.12M,4.104M,912.14M,-855.99M,,,423.65M,468.29M,-9.03M,-9.03M,0.00,-195.77M,18.70M,-396.22M,-0.514M,,-0.514M,,-16.11M,-16.11M,-13.74M,-13.74M,6.74M,0.334M,771.57M,1.599B,843.63M,-2.625M,2.440B,,249.82M,-250.33M,-16.11M,39.96M,19.14M
2011-06,46.79M,,,,10.53M,10.53M,-17.39M,-10.09M,,5.928M,-0.703M,14.26M,-87.37M,-28.64M,64.05M,-155.32M,,,-106.24M,-42.82M,-12.20M,-12.20M,0.00,17.08M,38.03M,-105.48M,268.70M,,268.70M,,-0.082M,-0.082M,-16.48M,-16.48M,3.441M,-16.82M,472.63M,1.255B,324.33M,0.823M,1.599B,,32.91M,235.79M,-0.082M,35.52M,3.622M
2011-03,80.92M,,,,10.23M,10.23M,-7.111M,-1.185M,,11.21M,-0.776M,-17.72M,-203.39M,11.25M,391.77M,-356.29M,,,-170.26M,-79.47M,-6.474M,-6.474M,,54.70M,0.00,123.56M,-30.81M,,-30.81M,,-1.655M,-1.655M,-16.48M,-16.48M,20.18M,4.108M,3.529M,1.205B,47.61M,2.671M,1.255B,,,-30.81M,-1.655M,112.06M,23.78M
2010-12,81.72M,,,,9.574M,9.574M,-18.74M,-0.484M,,15.83M,-0.293M,-8.87M,46.15M,-0.129M,-55.78M,1.251B,,,1.119B,1.212B,-9.50M,-9.50M,0.00,35.85M,4.777M,-22.00M,-2.540B,,-2.540B,,-5.261M,-5.261M,-16.39M,-16.39M,17.02M,14.49M,-2.927B,2.943B,-1.737B,-1.693M,1.205B,,,-2.540B,-5.261M,6.688M,8.787M
2010-09,69.06M,,,,10.17M,10.17M,9.736M,-1.764M,,9.803M,-1.597M,-15.37M,111.90M,-54.08M,214.31M,-1.140B,,,-1.145B,-1.040B,-4.308M,-4.308M,,0.626M,,-51.33M,2.452B,,2.452B,,-0.175M,-0.175M,-13.81M,-13.81M,4.219M,113.51M,3.165B,866.20M,2.079B,-0.55M,2.943B,,1.567B,884.41M,-0.175M,40.23M,25.09M
2010-06,60.69M,,,,5.456M,5.456M,2.757M,-0.694M,,7.861M,-0.477M,-3.263M,-8.796M,12.79M,-67.59M,139.83M,,,-26.42M,70.65M,-4.735M,-4.735M,,33.42M,,125.31M,45.29M,,45.29M,,0.001M,0.001M,-13.80M,-13.80M,5.435M,-33.90M,-258.72M,928.99M,-62.76M,-0.035M,866.20M,,39.74M,5.551M,0.001M,10.86M,4.439M
2010-03,55.63M,,,,12.14M,12.14M,-15.25M,-12.87M,,11.28M,-0.049M,109.60M,-132.80M,6.364M,207.95M,-399.44M,,,-96.11M,86.27M,-7.417M,-7.417M,,38.42M,,102.16M,-1.72M,,-1.72M,,-0.041M,-0.041M,-14.71M,-14.71M,4.954M,8.514M,-278.61M,1.019B,-90.18M,0.579M,928.99M,,-0.957M,-0.763M,-0.041M,101.29M,24.67M
2009-12,42.90M,,,,11.76M,11.76M,-23.07M,0.36M,,12.90M,-0.157M,-15.21M,29.70M,-45.04M,-726.59M,235.97M,,,-205.64M,-138.52M,-5.827M,-5.827M,,24.09M,,2.190B,-938.24M,,-938.24M,,-3.322M,-3.322M,-13.69M,-13.69M,5.309M,26.07M,-3.340B,2.306B,-1.289B,1.122M,1.019B,,1.027M,-939.26M,-3.322M,8.972M,5.382M
2009-09,42.97M,,,-11.17M,9.224M,9.224M,-15.69M,-2.183M,-15.47M,12.25M,,19.96M,-222.68M,-79.89M,-2.552B,2.740B,,-0.517M,-114.60M,-30.14M,-6.543M,-6.543M,,53.43M,,-1.180B,1.202B,,1.202B,,2.224M,2.224M,-13.68M,-13.68M,2.637M,-12.15M,2.967B,539.35M,1.762B,9.575M,2.306B,,284.74M,917.48M,2.224M,39.54M,10.86M
2009-06,42.60M,,,-3.651M,8.773M,8.773M,-15.47M,-9.171M,1.469M,7.14M,,4.381M,-278.24M,-21.81M,467.45M,16.58M,,0.181M,162.08M,230.73M,-5.886M,-5.886M,,-15.71M,,854.84M,-128.18M,,-128.18M,,0.008M,0.008M,-13.59M,-13.59M,1.46M,14.67M,-857.16M,317.19M,222.15M,-6.267M,539.35M,,1.641M,-129.82M,0.008M,15.27M,7.721M
2009-03,11.10M,,,1.365M,8.221M,8.221M,2.914M,0.683M,7.237M,9.589M,,-20.04M,150.70M,4.894M,254.34M,-617.58M,,0.88M,-208.74M,-100.27M,-7.972M,-7.972M,,-51.33M,,293.56M,70.56M,,70.56M,,-2.109M,-2.109M,-13.51M,-13.51M,16.79M,1.846M,-350.32M,480.98M,-161.79M,-0.544M,317.19M,,1.279M,69.28M,-2.109M,82.81M,40.19M
2008-12,56.09M,,,13.46M,8.345M,8.345M,-16.42M,-1.192M,6.768M,2.769M,,8.345M,685.92M,97.61M,-277.14M,-329.09M,,-3.754M,173.87M,273.84M,-15.14M,-15.14M,,-10.39M,,-994.71M,-2.021B,,-2.021B,,-4.462M,-4.462M,-13.36M,-13.36M,4.135M,14.44M,-2.001B,3.207B,-2.722B,-4.214M,480.98M,,39.38M,-2.060B,-4.462M,,
2008-09,49.11M,,,7.965M,7.742M,7.742M,15.07M,17.29M,2.041M,15.02M,,-30.08M,544.09M,-124.21M,-426.17M,-105.91M,,-5.27M,-113.37M,8.763M,-15.70M,-15.70M,,27.91M,7.32M,-417.97M,1.915B,,1.915B,,0.00,0.00,-12.92M,-12.92M,6.454M,8.41M,2.945B,669.54M,2.536B,2.302M,3.207B,,1.891B,23.84M,0.00,24.84M,66.32M
2008-06,69.94M,,,1.535M,7.075M,7.075M,17.99M,-17.01M,2.826M,11.25M,0.392M,-2.544M,-679.06M,-12.97M,187.94M,451.99M,,-0.817M,-52.10M,58.47M,-15.69M,-15.69M,,43.52M,,-222.56M,-24.32M,,-24.32M,,0.00,0.00,-13.24M,-13.24M,4.33M,5.633M,6.257M,826.50M,-157.84M,0.874M,669.54M,,-5.557M,-18.76M,0.00,21.88M,67.46M
2008-03,59.79M,,,7.438M,6.172M,6.172M,1.165M,-0.28M,0.037M,15.85M,-0.392M,-11.07M,595.51M,-50.50M,-128.26M,-546.47M,,79.23M,-50.50M,39.89M,-11.33M,-11.33M,,-820.89M,1.205B,-1.527B,206.40M,,206.40M,,-67.24M,-67.50M,-26.99M,-13.64M,21.81M,-10.57M,1.640B,679.82M,153.12M,-6.443M,826.50M,,206.85M,-0.451M,-67.24M,88.06M,262.91M
2007-12,56.24M,,,-0.078M,6.993M,6.993M,-1.808M,,,,,26.29M,,,22.81M,,,-81.91M,-59.10M,28.54M,-8.329M,-8.329M,,596.16M,-1.205B,-617.38M,-7.102M,,-7.102M,,,0.253M,,-13.36M,,18.26M,621.65M,644.94M,32.81M,2.066M,679.82M,,2.944M,-10.05M,,,
2007-09,62.97M,0.00,,-0.114M,6.321M,6.321M,-8.842M,,,,,32.42M,,,23.07M,,,376.40M,503.68M,596.43M,-16.02M,-16.02M,,1.285B,-1.370B,-564.82M,-429.00M,,-429.00M,,,6.037M,,-12.08M,,-6.964M,118.71M,745.00M,150.32M,-4.763M,644.94M,,-425.36M,-3.639M,,,
2007-06,68.35M,0.00,,-0.232M,5.179M,5.179M,-2.497M,,,,,16.86M,,,0.659M,,,-107.76M,-107.10M,-19.44M,-10.13M,-10.13M,,-748.23M,456.23M,-302.14M,36.68M,,36.68M,,,4.92M,,-12.61M,,38.80M,400.56M,660.48M,78.99M,9.19M,745.00M,,70.15M,-33.47M,,,
2007-03,59.72M,-2.559M,,-2.728M,5.837M,5.837M,-2.368M,,,,,7.911M,,,-34.58M,,,109.50M,74.92M,143.29M,-8.191M,-8.191M,,-1.214B,-534.46M,-1.757B,64.63M,,64.63M,,,14.64M,,-11.97M,,11.26M,1.704B,565.05M,90.37M,1.41M,660.48M,,57.14M,7.49M,,,
2006-12,59.40M,,,0.017M,5.294M,5.294M,2.192M,,,,,16.69M,,,10.85M,,,-378.15M,-367.30M,-283.71M,-11.74M,-11.74M,,-73.37M,-225.24M,-310.35M,279.21M,,279.21M,,,11.90M,,-11.82M,,-18.95M,520.18M,641.69M,-73.89M,-2.758M,565.05M,,304.80M,-25.59M,,,
2006-09,50.93M,-0.123M,,-0.723M,4.699M,4.699M,0.344M,,,,,12.80M,,,-15.87M,,,282.67M,-48.26M,19.79M,-4.871M,-4.871M,,-588.90M,108.61M,-1.035B,-366.17M,,-366.17M,,,4.799M,,-9.729M,,36.66M,1.024B,631.91M,8.925M,0.854M,641.69M,,-350.32M,-15.85M,,,
2006-06,56.77M,0.123M,,0.241M,4.932M,4.932M,-9.839M,,,,,7.233M,,,23.14M,,,11.58M,34.71M,94.06M,-7.588M,-7.588M,,35.52M,-301.15M,-273.22M,3.426M,,3.426M,,,4.316M,,-9.47M,,11.89M,213.83M,594.56M,34.66M,2.689M,631.91M,,-1.773M,5.199M,,,
2006-03,61.53M,,,-0.011M,5.164M,5.164M,-1.657M,,,,,18.27M,,,-15.07M,,,-90.68M,-105.75M,-22.45M,-3.946M,-3.946M,,5.249M,-385.42M,-384.12M,234.16M,,234.16M,,,7.092M,,-9.057M,,38.63M,417.03M,585.37M,10.46M,-1.27M,594.56M,,234.81M,-0.645M,,,
