,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-09,-32.60M,369.00M,-7.00M,-159.20M,,202.80M,,,74.60M,74.60M,-28.80M,,,5.90M,-3.40M,1.40M,,,100.60M,-1.30M,482.40M,2014-09,-69.40M,1.90M,-67.50M,,31.90M,,-8.20M,-43.80M,2014-09,0.60M,-136.50M,-135.90M,,0.00,0.00,-68.40M,-68.40M,10.80M,3.40M,-190.10M,2014-09,506.00M,248.50M,-32.40M,,2014-09,,-0.30M,-135.60M,0.00,,AOR,Restated
2014-06,293.10M,1.80M,-1.40M,-188.60M,,-188.20M,,,77.20M,77.20M,9.30M,,,3.80M,-1.20M,2.60M,,,39.80M,-0.20M,426.30M,2014-06,-61.10M,2.40M,-58.70M,,22.90M,,15.20M,-20.60M,2014-06,-15.30M,-167.80M,-183.10M,,0.00,0.00,-68.50M,-68.50M,7.50M,1.20M,-242.90M,2014-06,337.60M,162.80M,5.60M,,2014-06,,15.50M,-198.60M,0.00,,AOR,Restated
2014-03,162.90M,1.20M,-1.80M,-127.00M,,-127.60M,,,81.20M,81.20M,0.50M,,,8.30M,-2.00M,1.60M,,,-111.00M,1.90M,149.70M,2014-03,-65.30M,1.70M,-63.60M,,-95.40M,,-14.50M,-173.50M,2014-03,-46.90M,77.90M,31.00M,,,,-68.20M,-68.20M,20.20M,-63.20M,-80.20M,2014-03,442.30M,-104.00M,-0.70M,,2014-03,,132.20M,-101.20M,,,AOR,Restated
2013-12,137.60M,6.20M,-8.00M,-106.50M,,-57.20M,,,82.40M,82.40M,62.10M,,,0.90M,-1.70M,52.10M,,,33.20M,-0.30M,138.20M,2013-12,-75.70M,46.10M,-29.60M,,61.50M,,1.70M,33.60M,2013-12,-0.70M,-35.90M,-36.60M,,,,-58.90M,-58.90M,13.90M,-52.80M,-134.40M,2013-12,406.90M,37.40M,-2.00M,,2013-12,,-552.70M,0.20M,,,AOR,Restated
2013-09,136.10M,151.50M,-12.50M,-153.80M,,-14.80M,,,77.20M,77.20M,8.80M,,,3.20M,-0.60M,4.40M,,,77.30M,-0.90M,439.00M,2013-09,-68.50M,2.60M,-65.90M,,-1.10M,,1.30M,-65.70M,2013-09,-1.264B,558.50M,-705.60M,,,,-58.90M,-58.90M,11.80M,-28.00M,-780.70M,2013-09,801.60M,-407.40M,12.70M,,2013-09,,556.40M,-1.262B,,,AOR,Restated
2013-06,268.90M,4.90M,9.80M,-179.30M,,-164.60M,,,80.70M,80.70M,11.80M,,,4.30M,-3.80M,6.90M,,,96.20M,-1.70M,472.60M,2013-06,-81.40M,1.20M,-80.20M,,8.50M,,0.70M,-71.00M,2013-06,-52.40M,-1.10M,-53.50M,,,,-58.60M,-58.60M,35.90M,-32.70M,-108.90M,2013-06,511.50M,292.70M,-2.60M,,2013-06,,1.90M,-55.40M,,,AOR,Restated
2013-03,29.90M,1.40M,19.10M,-118.50M,,-98.00M,,,80.20M,80.20M,1.30M,,,11.10M,-1.60M,7.30M,,,-41.80M,0.90M,118.40M,2013-03,-68.30M,3.70M,-64.60M,,-109.40M,,0.10M,-173.90M,2013-03,0.00,-5.60M,-5.60M,,,,-58.20M,-58.20M,27.20M,1.40M,-35.20M,2013-03,624.00M,-90.70M,-21.80M,,2013-03,,9.40M,-15.00M,,,AOR,Restated
2012-12,59.60M,-4.60M,49.40M,-78.10M,,-33.30M,,,80.70M,80.70M,57.00M,,,-1.10M,-0.70M,7.20M,,,-105.00M,0.10M,143.70M,2012-12,-78.90M,12.70M,-66.20M,,38.90M,0.00,6.70M,-20.60M,2012-12,0.00,-3.00M,-3.00M,,,,-58.20M,-58.20M,6.70M,-31.40M,-85.90M,2012-12,585.70M,37.20M,1.10M,,2012-12,,0.20M,-3.20M,,,AOR,Restated
2012-09,201.40M,29.90M,-7.30M,-137.50M,,-114.90M,,,80.20M,80.20M,10.00M,,,5.00M,-0.70M,9.50M,,,122.20M,-0.70M,442.60M,2012-09,-62.00M,1.70M,-60.30M,,3.30M,0.00,2.00M,-61.80M,2012-09,-181.90M,-90.40M,-272.30M,,,,-58.10M,-58.10M,6.60M,-2.50M,-326.30M,2012-09,516.00M,54.50M,15.20M,,2012-09,,15.10M,-287.40M,,,AOR,Restated
2012-06,98.70M,20.10M,-4.10M,-192.00M,,-176.00M,,,58.40M,58.40M,1.20M,,,5.30M,-0.20M,19.40M,,,155.40M,-0.80M,347.00M,2012-06,-47.60M,0.50M,-47.10M,,-2.251B,0.00,3.50M,-2.294B,2012-06,1.726B,4.30M,1.731B,,,,-58.10M,-58.10M,1.10M,-44.20M,1.630B,2012-06,836.30M,-318.00M,-2.30M,,2012-06,,2.202B,-471.70M,,,AOR,Restated
2012-03,79.40M,1.00M,0.00,-119.00M,,-118.00M,,,53.40M,53.40M,4.30M,,,4.80M,-3.30M,5.60M,,,-106.40M,-0.10M,50.40M,2012-03,-33.80M,0.80M,-33.00M,,-116.00M,-110.60M,1.40M,-258.20M,2012-03,-0.10M,-9.30M,-9.40M,,,,-57.80M,-57.80M,19.70M,1.60M,-45.90M,2012-03,1.079B,-253.70M,11.10M,,2012-03,,1.50M,-10.90M,,,AOR,Restated
2011-12,173.60M,,-0.10M,-485.50M,,-477.00M,,,55.80M,55.80M,13.40M,-16.90M,-13.80M,5.30M,-0.90M,-26.50M,,,17.20M,-0.80M,264.70M,2011-12,-109.10M,3.10M,-106.00M,-15.40M,28.90M,8.80M,16.50M,-67.20M,2011-12,-0.10M,0.60M,0.50M,,-50.00M,-50.00M,,-58.00M,3.10M,-4.40M,-108.80M,2011-12,987.20M,88.70M,3.00M,,2011-12,,0.60M,-0.10M,-50.00M,,AOR,Restated
2011-09,197.00M,,9.20M,-7.40M,,1.80M,,,54.20M,54.20M,23.70M,6.30M,5.20M,5.00M,-0.20M,16.30M,,,41.30M,-2.70M,331.60M,2011-09,-53.80M,0.30M,-53.50M,0.00,-29.80M,4.20M,0.00,-79.10M,2011-09,-0.20M,-4.10M,-4.30M,,-271.10M,-271.10M,,-58.00M,2.20M,-99.80M,-431.00M,2011-09,1.184B,-178.50M,-18.50M,,2011-09,,-1.10M,-3.20M,-271.10M,,AOR,Restated
2011-06,223.80M,,,8.50M,,8.50M,,,56.10M,56.10M,0.30M,5.30M,6.40M,6.10M,-0.10M,17.70M,,,-81.10M,1.50M,226.80M,2011-06,-38.20M,0.00,-38.20M,0.00,-11.90M,1.30M,1.60M,-47.20M,2011-06,0.00,-13.60M,-13.60M,,,,,-60.00M,2.00M,-3.60M,-75.20M,2011-06,1.082B,104.40M,-1.90M,,2011-06,,2.20M,-15.80M,,,AOR,Restated
2011-03,82.70M,,,3.30M,,3.30M,,,51.00M,51.00M,1.50M,5.30M,2.20M,8.30M,-0.80M,15.00M,,,-108.20M,-0.30M,45.00M,2011-03,-34.30M,1.20M,-33.10M,15.40M,-129.10M,1.10M,1.10M,-144.60M,2011-03,0.00,-3.10M,-3.10M,,,,,-52.10M,4.30M,0.80M,-50.10M,2011-03,1.218B,-149.70M,13.80M,,2011-03,,7.20M,-10.30M,,,AOR,Restated
2010-12,109.20M,,,-474.00M,,-464.80M,,,50.40M,50.40M,8.80M,,-13.70M,6.00M,-3.50M,-13.20M,,,-178.10M,1.50M,6.50M,2010-12,-82.90M,1.50M,-81.40M,,106.50M,29.90M,11.80M,-29.20M,2010-12,488.40M,18.90M,549.30M,,0.00,0.00,,-52.40M,25.00M,-44.60M,477.30M,2010-12,763.50M,454.60M,-0.50M,,2010-12,,504.20M,3.10M,0.00,,AOR,Restated
2010-09,257.00M,,,-4.50M,,-4.50M,,,47.80M,47.80M,37.40M,,0.00,5.80M,-0.70M,5.10M,,,-6.30M,0.90M,337.40M,2010-09,-33.40M,1.70M,-31.70M,0.00,49.00M,1.90M,-14.90M,4.30M,2010-09,-300.00M,0.00,-342.00M,,0.00,0.00,,-52.00M,6.40M,0.70M,-386.90M,2010-09,798.60M,-45.20M,10.10M,,2010-09,,0.00,-300.00M,0.00,,AOR,Restated
2010-06,238.30M,,,6.30M,,6.30M,,,51.00M,51.00M,18.50M,,12.40M,6.70M,-0.10M,19.00M,,,-18.30M,0.60M,315.40M,2010-06,-34.20M,0.50M,-33.70M,0.00,-87.50M,1.50M,,-119.70M,2010-06,,-8.20M,-8.20M,,,,,-52.00M,2.30M,-0.80M,-58.70M,2010-06,656.60M,137.00M,5.00M,,2010-06,,0.00,-8.20M,,,AOR,Restated
2010-03,105.40M,,,-2.10M,,-2.10M,,,53.10M,53.10M,3.30M,,1.30M,8.90M,-0.50M,9.70M,,,-36.40M,-42.60M,90.40M,2010-03,-27.40M,1.50M,-25.90M,0.00,-98.70M,1.80M,,-122.80M,2010-03,,0.10M,0.10M,,,,,-44.70M,4.80M,0.50M,-39.30M,2010-03,734.20M,-71.70M,-5.90M,,2010-03,,3.10M,-3.00M,,,AOR,Restated
2009-12,222.80M,,,8.40M,,8.30M,,,72.70M,72.70M,16.00M,19.40M,-41.50M,6.00M,-3.50M,-19.60M,,,-104.80M,-3.90M,191.50M,2009-12,-87.10M,-3.90M,-91.00M,,87.40M,1.80M,,-1.70M,2009-12,-0.10M,0.90M,0.80M,,,,,-44.60M,17.60M,0.60M,-25.60M,2009-12,565.10M,164.20M,4.90M,,2009-12,,4.70M,-3.90M,,,AOR,Restated
2009-09,236.40M,,,-1.20M,,-1.20M,,,46.50M,46.50M,49.70M,0.00,3.40M,5.70M,-2.90M,6.20M,,,-32.30M,9.00M,314.30M,2009-09,-26.50M,1.30M,-25.20M,,6.80M,2.20M,,-16.20M,2009-09,-0.10M,-0.10M,-0.20M,,,,,-44.40M,12.10M,2.90M,-29.60M,2009-09,296.20M,268.50M,0.40M,,2009-09,,0.00,-0.20M,,,AOR,Restated
2009-06,187.80M,,,36.50M,,36.50M,,,44.40M,44.40M,63.70M,,,7.80M,-0.10M,7.70M,,,7.60M,0.00,347.70M,2009-06,-25.60M,0.50M,-25.10M,,-77.00M,2.20M,,-99.90M,2009-06,-0.10M,-15.80M,-15.90M,,,,,-44.60M,11.90M,0.10M,-48.50M,2009-06,94.40M,199.30M,2.50M,,2009-06,,0.40M,-16.30M,,,AOR,Restated
2009-03,76.20M,,,-14.90M,,-14.90M,,,44.40M,44.40M,-1.60M,,0.00,3.30M,-15.20M,-11.90M,,,-91.30M,3.90M,4.80M,2009-03,-19.60M,2.10M,-17.50M,,-93.30M,0.40M,,-110.40M,2009-03,-0.10M,6.70M,6.60M,,,,,-36.80M,1.50M,15.20M,-13.50M,2009-03,216.20M,-119.10M,-2.70M,,2009-03,,9.60M,-3.00M,,,AOR,Restated
2008-12,94.20M,,,25.20M,,23.70M,,,49.00M,49.00M,18.10M,,2.80M,4.10M,-8.30M,15.70M,,,-178.80M,-6.00M,15.90M,2008-12,-54.00M,-35.70M,-89.70M,,35.40M,1.80M,-2.00M,-54.50M,2008-12,-15.20M,-22.50M,-25.70M,,,,,-36.90M,7.40M,8.30M,-46.90M,2008-12,334.50M,-85.50M,-32.80M,,2008-12,,-1.30M,-36.40M,,,AOR,Restated
2008-09,172.20M,,,-49.30M,,-49.30M,,,57.20M,57.20M,51.10M,,6.00M,4.90M,21.30M,32.20M,,,-25.10M,-3.30M,235.00M,2008-09,-40.10M,2.20M,-37.90M,,-77.20M,-1.30M,-4.30M,-120.70M,2008-09,-9.60M,0.60M,-9.00M,,,,,-36.70M,5.70M,-22.10M,-62.10M,2008-09,284.40M,52.20M,-2.10M,,2008-09,,-12.50M,3.50M,,,AOR,Restated
2008-06,84.80M,,,-5.70M,,-5.70M,,,84.90M,84.90M,12.90M,,53.60M,8.30M,-17.70M,44.20M,,,53.30M,12.40M,286.80M,2008-06,-66.90M,5.20M,-61.70M,,-3.60M,-3.90M,0.00,-69.20M,2008-06,-11.00M,-30.00M,-41.00M,,,,,-36.60M,22.90M,2.40M,-52.30M,2008-06,118.70M,165.30M,0.40M,,2008-06,,3.80M,-44.80M,,,AOR,Restated
2008-03,39.70M,,,-5.90M,,-5.90M,,,82.30M,82.30M,-3.50M,,-23.20M,38.60M,-3.60M,11.80M,,,-259.60M,9.00M,-126.20M,2008-03,-69.50M,28.30M,-41.20M,,-7.00M,20.50M,2.60M,-25.10M,2008-03,-129.50M,30.40M,-99.10M,,,,,-28.90M,23.00M,-0.60M,-105.60M,2008-03,377.00M,-256.90M,-1.40M,,2008-03,,81.60M,-180.70M,,,AOR,Restated
2007-12,183.30M,,,20.10M,,27.20M,,,90.90M,90.90M,-106.60M,,-5.00M,9.90M,-7.20M,58.50M,,,92.40M,2.90M,287.40M,2007-12,-98.90M,-5.60M,-104.50M,,38.10M,-25.40M,-29.00M,-120.80M,2007-12,-25.80M,-4.60M,-25.20M,,,,,-15.70M,30.20M,-9.80M,-20.50M,2007-12,231.30M,146.10M,-0.40M,,2007-12,,-20.90M,-9.50M,,,,Restated
2007-09,134.60M,,,-1.00M,,-1.00M,,,87.50M,87.50M,35.20M,,30.50M,7.60M,-2.00M,5.50M,,,-18.00M,0.50M,280.40M,2007-09,-61.10M,2.30M,-58.80M,,-26.70M,-0.60M,0.00,-86.10M,2007-09,-631.70M,12.50M,-619.20M,,,,,-42.00M,11.40M,1.20M,-648.60M,2007-09,680.00M,-454.30M,5.60M,,2007-09,,15.30M,-634.50M,,,AOR,Restated
2007-06,185.00M,,,-13.80M,,-13.80M,,,84.00M,84.00M,-30.80M,,24.10M,13.20M,-3.10M,4.30M,,,-41.40M,-0.60M,220.90M,2007-06,-161.30M,2.30M,-159.00M,,0.00,0.70M,30.00M,-128.30M,2007-06,540.70M,-14.90M,525.80M,,,,,-28.70M,-26.70M,-6.30M,464.10M,2007-06,119.40M,556.70M,3.90M,,2007-06,,612.50M,-86.70M,,,AOR,Restated
2007-03,4.40M,,,-2.60M,,-2.60M,,,83.40M,83.40M,1.10M,,0.00,6.70M,-15.80M,3.80M,,,-268.50M,14.80M,-172.70M,2007-03,-107.00M,1.00M,-106.00M,,0.00,1.90M,0.20M,-103.90M,2007-03,60.80M,20.30M,81.10M,,,,,-28.40M,144.90M,15.80M,213.40M,2007-03,182.20M,-63.20M,0.40M,,2007-03,,147.30M,-66.20M,,,AOR,Restated
2006-12,99.22M,,,-0.182M,,-4.782M,,,99.94M,99.94M,26.93M,,-11.00M,2.213M,-6.47M,3.297M,,,-79.34M,12.84M,146.45M,2006-12,-131.53M,-25.84M,-157.37M,,29.10M,6.977M,0.28M,-105.33M,2006-12,-50.06M,-1.289M,-51.35M,,,,,-33.58M,42.89M,6.37M,-35.69M,2006-12,179.14M,5.437M,-2.361M,,2006-12,,24.55M,-75.90M,,,AOR,
