,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2018-04,208.00M,,,,,,176.00M,176.00M,9.00M,,32.00M,,28.00M,189.00M,243.00M,,-214.00M,-13.00M,,-454.00M,-249.00M,204.00M,,2018-04,-181.00M,,-181.00M,,1.245B,9.00M,,2018-04,-11.00M,-11.00M,24.00M,-400.00M,-376.00M,-128.00M,-128.00M,-1.00M,-516.00M,,1.30B,761.00M,-12.00M,2.049B,2018-04,24.00M,,-11.00M,-400.00M,,2018-04,Restated
2018-01,364.00M,,,,,,183.00M,183.00M,158.00M,,32.00M,,2.00M,-98.00M,1.476B,,-1.726B,15.00M,,532.00M,199.00M,938.00M,,2018-01,-199.00M,,-199.00M,0.00,222.00M,-9.00M,,2018-01,-15.00M,-15.00M,18.00M,-866.00M,-848.00M,-99.00M,-99.00M,0.00,-962.00M,,1.30B,-10.00M,10.00M,1.30B,2018-01,18.00M,0.00,-15.00M,-866.00M,,2018-01,Restated
2017-10,239.00M,,,,-329.00M,,171.00M,171.00M,-5.00M,,30.00M,,-72.00M,12.00M,-1.526B,,1.515B,9.00M,,71.00M,81.00M,511.00M,,2017-10,-193.00M,,-193.00M,0.00,-114.00M,-1.00M,,2017-10,-12.00M,-12.00M,20.00M,-367.00M,-347.00M,-102.00M,-102.00M,0.00,-461.00M,,1.561B,-258.00M,-3.00M,1.30B,2017-10,20.00M,0.00,-12.00M,-367.00M,,2017-10,Restated
2017-07,209.00M,,,,168.00M,,168.00M,168.00M,-3.00M,,36.00M,,68.00M,68.00M,-508.00M,,397.00M,-20.00M,,101.00M,38.00M,449.00M,,2017-07,-143.00M,,-143.00M,,-144.00M,2.00M,,2017-07,-9.00M,-9.00M,50.00M,-398.00M,-348.00M,-103.00M,-103.00M,-1.00M,-461.00M,,1.834B,-297.00M,24.00M,1.561B,2017-07,50.00M,,-9.00M,-398.00M,,2017-07,Restated
2017-04,188.00M,,,,161.00M,,161.00M,161.00M,12.00M,,31.00M,,-1.00M,333.00M,223.00M,,-382.00M,-25.00M,,-297.00M,-148.00M,243.00M,,2017-04,-153.00M,,-153.00M,,-271.00M,1.00M,,2017-04,-10.00M,-10.00M,75.00M,-373.00M,-298.00M,-105.00M,-105.00M,,-413.00M,,2.433B,-593.00M,-6.00M,1.834B,2017-04,75.00M,,-10.00M,-373.00M,,2017-04,Restated
2017-01,607.00M,,,,-491.00M,,163.00M,163.00M,173.00M,,26.00M,,14.00M,-272.00M,1.568B,,-1.283B,28.00M,,126.00M,167.00M,1.15B,,2017-01,-135.00M,-56.00M,-191.00M,,108.00M,54.00M,,2017-01,-10.00M,-10.00M,105.00M,-226.00M,-121.00M,-88.00M,-88.00M,0.00,-219.00M,,1.534B,902.00M,-3.00M,2.433B,2017-01,105.00M,,-10.00M,-226.00M,,2017-01,Restated
2016-10,194.00M,,,,164.00M,,164.00M,164.00M,28.00M,,25.00M,,-49.00M,-160.00M,-1.53B,,1.446B,11.00M,,-76.00M,-309.00M,110.00M,,2016-10,-169.00M,0.00,-169.00M,,-188.00M,0.00,,2016-10,-10.00M,-10.00M,43.00M,-201.00M,-158.00M,-89.00M,-89.00M,0.00,-257.00M,,2.05B,-504.00M,-12.00M,1.534B,2016-10,43.00M,,-10.00M,-201.00M,,2016-10,Restated
2016-07,198.00M,,,,165.00M,,165.00M,165.00M,-8.00M,,26.00M,,31.00M,166.00M,-204.00M,,428.00M,1.00M,,59.00M,450.00M,805.00M,,2016-07,-140.00M,56.00M,-84.00M,,-368.00M,1.00M,,2016-07,-12.00M,-12.00M,2.00M,-219.00M,-217.00M,-90.00M,-90.00M,-2.00M,-321.00M,,2.032B,33.00M,-15.00M,2.05B,2016-07,2.00M,,-12.00M,-219.00M,,2016-07,Restated
2016-04,229.00M,,,,162.00M,,162.00M,162.00M,8.00M,,31.00M,,26.00M,73.00M,365.00M,,-73.00M,-30.00M,,-299.00M,36.00M,492.00M,,2016-04,-136.00M,,-136.00M,,92.00M,4.00M,,2016-04,-362.00M,-362.00M,21.00M,-52.00M,-31.00M,-238.00M,-238.00M,10.00M,-621.00M,,2.161B,-169.00M,40.00M,2.032B,2016-04,21.00M,,-362.00M,-52.00M,,2016-04,Restated
2016-01,479.00M,0.00,,0.00,163.00M,,163.00M,163.00M,92.00M,,24.00M,,68.00M,-106.00M,1.58B,,-1.688B,16.00M,,252.00M,54.00M,880.00M,,2016-01,-156.00M,0.00,-156.00M,-153.00M,328.00M,73.00M,,2016-01,-10.00M,-10.00M,3.00M,-670.00M,-667.00M,-78.00M,-78.00M,-20.00M,-775.00M,,1.697B,197.00M,-25.00M,2.161B,2016-01,3.00M,,-10.00M,-670.00M,,2016-01,Restated
2015-10,125.00M,0.00,,0.00,168.00M,,168.00M,168.00M,-2.00M,,25.00M,,0.00,-39.00M,-1.662B,,1.487B,29.00M,,24.00M,-161.00M,155.00M,,2015-10,-200.00M,0.00,-200.00M,10.00M,49.00M,1.00M,,2015-10,-5.00M,-5.00M,16.00M,-64.00M,-48.00M,-80.00M,-80.00M,12.00M,-121.00M,,1.80B,-106.00M,3.00M,1.697B,2015-10,16.00M,,-5.00M,-64.00M,,2015-10,Restated
2015-07,164.00M,0.00,,0.00,163.00M,,163.00M,163.00M,-16.00M,,28.00M,,3.00M,-34.00M,-93.00M,,111.00M,-13.00M,,5.00M,-24.00M,318.00M,,2015-07,-169.00M,0.00,-169.00M,44.00M,-129.00M,-10.00M,,2015-07,-5.00M,-5.00M,3.00M,-321.00M,-318.00M,-80.00M,-80.00M,1.00M,-402.00M,,2.173B,-348.00M,-25.00M,1.80B,2015-07,3.00M,,-5.00M,-321.00M,,2015-07,Restated
2015-04,129.00M,-99.00M,,-99.00M,163.00M,,163.00M,163.00M,-25.00M,,27.00M,,189.00M,302.00M,261.00M,,-446.00M,4.00M,,-515.00M,-394.00M,-10.00M,,2015-04,-124.00M,,-124.00M,48.00M,-102.00M,-36.00M,,2015-04,-8.00M,-8.00M,25.00M,0.00,25.00M,-261.00M,-261.00M,6.00M,-238.00M,,2.626B,-462.00M,9.00M,2.173B,2015-04,25.00M,,-8.00M,0.00,,2015-04,Restated
2015-01,520.00M,0.00,,0.00,172.00M,,172.00M,172.00M,84.00M,,24.00M,,10.00M,-256.00M,1.40B,,-1.092B,15.00M,,284.00M,351.00M,1.161B,,2015-01,-136.00M,,-136.00M,1.00M,-241.00M,6.00M,,2015-01,-5.00M,-5.00M,23.00M,0.00,23.00M,-66.00M,-66.00M,0.00,-48.00M,,1.929B,743.00M,-46.00M,2.626B,2015-01,23.00M,,-5.00M,0.00,,2015-01,Restated
2014-10,107.00M,0.00,,0.00,165.00M,,165.00M,165.00M,13.00M,,23.00M,,5.00M,-64.00M,-1.336B,,1.406B,-3.00M,,-29.00M,-26.00M,287.00M,,2014-10,-167.00M,,-167.00M,1.00M,-268.00M,-1.00M,,2014-10,-7.00M,-7.00M,10.00M,0.00,10.00M,-67.00M,-67.00M,3.00M,-61.00M,,2.141B,-209.00M,-3.00M,1.929B,2014-10,10.00M,,-7.00M,0.00,,2014-10,Restated
2014-07,147.00M,-1.00M,,-1.00M,158.00M,,158.00M,158.00M,7.00M,,17.00M,,10.00M,-135.00M,-326.00M,,264.00M,10.00M,,28.00M,-159.00M,179.00M,,2014-07,-147.00M,,-147.00M,37.00M,-443.00M,8.00M,,2014-07,-6.00M,-6.00M,8.00M,0.00,8.00M,-59.00M,-59.00M,-4.00M,-61.00M,,2.569B,-427.00M,-1.00M,2.141B,2014-07,8.00M,,-6.00M,0.00,,2014-07,Restated
2014-04,461.00M,0.00,,0.00,161.00M,,161.00M,161.00M,-401.00M,,23.00M,,6.00M,436.00M,121.00M,,-144.00M,7.00M,,-362.00M,58.00M,308.00M,,2014-04,-111.00M,,-111.00M,0.00,-272.00M,21.00M,,2014-04,-6.00M,-6.00M,9.00M,,9.00M,-59.00M,-59.00M,3.00M,-53.00M,,2.678B,-107.00M,-2.00M,2.569B,2014-04,9.00M,,-6.00M,,,2014-04,Restated
2014-01,294.00M,20.00M,,20.00M,164.00M,2.00M,166.00M,166.00M,-25.00M,,20.00M,,171.00M,-201.00M,1.571B,,-1.451B,32.00M,,173.00M,124.00M,770.00M,,2014-01,-125.00M,,-125.00M,139.00M,-224.00M,8.00M,,2014-01,-6.00M,-6.00M,24.00M,,24.00M,-59.00M,-59.00M,1.00M,-40.00M,,2.17B,528.00M,-20.00M,2.678B,2014-01,24.00M,0.00,-6.00M,,,2014-01,Restated
2013-10,54.00M,0.00,,0.00,162.00M,1.00M,163.00M,163.00M,0.00,,25.00M,,22.00M,63.00M,-1.543B,,1.579B,-43.00M,,-15.00M,41.00M,305.00M,,2013-10,-121.00M,,-121.00M,0.00,11.00M,-2.00M,,2013-10,-6.00M,-6.00M,125.00M,,125.00M,-58.00M,-58.00M,6.00M,67.00M,,1.91B,260.00M,0.00,2.17B,2013-10,125.00M,0.00,-6.00M,,,2013-10,Restated
2013-07,248.00M,151.00M,,151.00M,175.00M,2.00M,177.00M,177.00M,13.00M,-175.00M,23.00M,,56.00M,-328.00M,-133.00M,,4.00M,-85.00M,,73.00M,-469.00M,24.00M,,2013-07,-127.00M,,-127.00M,41.00M,22.00M,-23.00M,,2013-07,985.00M,985.00M,13.00M,,13.00M,-58.00M,-58.00M,-7.00M,933.00M,,908.00M,870.00M,-31.00M,1.91B,2013-07,13.00M,2.121B,-1.136B,,,2013-07,Restated
2013-04,-73.00M,-28.00M,,-28.00M,200.00M,10.00M,210.00M,210.00M,-16.00M,175.00M,22.00M,,72.00M,473.00M,702.00M,,-1.118B,26.00M,,-450.00M,-367.00M,-5.00M,,2013-04,-174.00M,,-174.00M,26.00M,11.00M,21.00M,,2013-04,-592.00M,-592.00M,9.00M,,9.00M,-58.00M,-58.00M,,-641.00M,,1.663B,-762.00M,7.00M,908.00M,2013-04,9.00M,293.00M,-885.00M,,,2013-04,Restated
2013-01,-566.00M,0.00,,0.00,137.00M,8.00M,145.00M,145.00M,77.00M,822.00M,12.00M,,220.00M,-767.00M,418.00M,,768.00M,102.00M,,344.00M,865.00M,1.575B,,2013-01,-183.00M,,-183.00M,-2.00M,1.00M,58.00M,,2013-01,327.00M,327.00M,-1.00M,133.00M,132.00M,-58.00M,-58.00M,-5.00M,396.00M,,309.00M,1.845B,-52.00M,1.826B,2013-01,-1.00M,707.00M,-380.00M,133.00M,,2013-01,
2012-10,1.00M,0.00,,0.00,212.00M,10.00M,222.00M,222.00M,-8.00M,,31.00M,0.00,26.00M,-84.00M,-1.842B,,1.801B,-28.00M,,-18.00M,-171.00M,101.00M,,2012-10,-206.00M,,-206.00M,1.00M,2.00M,-14.00M,,2012-10,-223.00M,-223.00M,11.00M,0.00,11.00M,-57.00M,-57.00M,-4.00M,-273.00M,,680.00M,-389.00M,18.00M,309.00M,2012-10,11.00M,442.00M,-665.00M,0.00,,2012-10,Restated
2012-07,-7.00M,0.00,,0.00,218.00M,10.00M,228.00M,228.00M,10.00M,,31.00M,,91.00M,-323.00M,-253.00M,,319.00M,-43.00M,,-654.00M,-954.00M,-601.00M,,2012-07,-175.00M,,-175.00M,-20.00M,41.00M,53.00M,,2012-07,218.00M,218.00M,2.00M,-123.00M,-121.00M,-109.00M,-109.00M,-17.00M,-29.00M,,1.386B,-731.00M,25.00M,680.00M,2012-07,2.00M,371.00M,-153.00M,-123.00M,,2012-07,Restated
2012-04,152.00M,0.00,,0.00,227.00M,10.00M,237.00M,237.00M,-98.00M,0.00,33.00M,,153.00M,623.00M,765.00M,,-1.153B,-96.00M,,-237.00M,-98.00M,379.00M,,2012-04,-141.00M,,-141.00M,15.00M,12.00M,20.00M,,2012-04,-195.00M,-195.00M,13.00M,-132.00M,-119.00M,0.00,0.00,9.00M,-305.00M,,1.199B,-20.00M,5.00M,1.386B,2012-04,13.00M,221.00M,-416.00M,-132.00M,,2012-04,Restated
2012-02,-432.00M,,0.00,0.00,229.00M,10.00M,239.00M,239.00M,-120.00M,,27.00M,,143.00M,802.00M,3.522B,,-4.34B,,,-358.00M,-398.00M,666.00M,,2012-02,-150.00M,,-150.00M,-174.00M,122.00M,76.00M,,2012-02,-59.00M,-59.00M,3.00M,-335.00M,-332.00M,,-56.00M,-1.304B,-1.751B,,2.392B,-1.211B,18.00M,1.199B,2012-02,3.00M,1.483B,-1.542B,-335.00M,,2012-02,Restated
2011-11,131.00M,,-55.00M,-55.00M,223.00M,8.00M,231.00M,231.00M,86.00M,,30.00M,,158.00M,-1.225B,-2.928B,,4.242B,,,420.00M,509.00M,1.09B,,2011-11,-205.00M,,-205.00M,0.00,96.00M,7.00M,,2011-11,-241.00M,-241.00M,15.00M,-319.00M,-304.00M,,-57.00M,-20.00M,-622.00M,,2.04B,366.00M,-14.00M,2.392B,2011-11,15.00M,442.00M,-683.00M,-319.00M,,2011-11,
2011-08,160.00M,,,,224.00M,15.00M,239.00M,239.00M,-1.00M,,32.00M,1.00M,3.00M,-187.00M,-44.00M,,10.00M,,,0.00,-221.00M,213.00M,,2011-08,-209.00M,,-209.00M,0.00,-53.00M,-48.00M,,2011-08,347.00M,347.00M,3.00M,-366.00M,-363.00M,,-56.00M,4.00M,-68.00M,,2.208B,-165.00M,-3.00M,2.04B,2011-08,3.00M,621.00M,-274.00M,-366.00M,,2011-08,
2011-05,163.00M,,,,221.00M,15.00M,236.00M,236.00M,63.00M,,31.00M,-1.00M,9.00M,651.00M,-430.00M,,662.00M,,,-60.00M,823.00M,1.324B,,2011-05,-202.00M,,-202.00M,,13.00M,3.00M,,2011-05,462.00M,462.00M,46.00M,-480.00M,-434.00M,,-59.00M,-6.00M,-37.00M,,1.103B,1.101B,4.00M,2.208B,2011-05,46.00M,1.375B,-913.00M,-480.00M,,2011-05,
2011-02,688.00M,,,,228.00M,19.00M,247.00M,247.00M,-128.00M,,34.00M,-11.00M,230.00M,434.00M,4.161B,,-4.622B,,,-428.00M,-415.00M,645.00M,,2011-02,-215.00M,,-215.00M,0.00,22.00M,-15.00M,,2011-02,-140.00M,-140.00M,8.00M,-65.00M,-57.00M,,-59.00M,-8.00M,-264.00M,,925.00M,173.00M,5.00M,1.103B,2011-02,8.00M,1.096B,-1.236B,-65.00M,,2011-02,Restated
2010-11,240.00M,,,,230.00M,20.00M,250.00M,250.00M,-56.00M,,29.00M,10.00M,-2.00M,-1.002B,-3.652B,,4.255B,,,389.00M,-10.00M,461.00M,,2010-11,-187.00M,,-187.00M,0.00,-12.00M,-2.00M,,2010-11,293.00M,293.00M,58.00M,-461.00M,-403.00M,,-60.00M,-18.00M,-188.00M,,843.00M,72.00M,10.00M,925.00M,2010-11,58.00M,970.00M,-677.00M,-461.00M,,2010-11,
2010-08,257.00M,,,,217.00M,21.00M,238.00M,238.00M,47.00M,,29.00M,0.00,1.00M,-191.00M,-36.00M,,-439.00M,,,9.00M,-657.00M,-85.00M,,2010-08,-181.00M,,-181.00M,21.00M,253.00M,1.00M,,2010-08,192.00M,192.00M,3.00M,-556.00M,-553.00M,,-59.00M,9.00M,-411.00M,,1.239B,-402.00M,6.00M,843.00M,2010-08,3.00M,492.00M,-300.00M,-556.00M,,2010-08,
2010-05,181.00M,,,,221.00M,22.00M,243.00M,243.00M,3.00M,,29.00M,-10.00M,4.00M,388.00M,-873.00M,,363.00M,,,-159.00M,-281.00M,169.00M,,2010-05,-161.00M,,-161.00M,,-103.00M,10.00M,,2010-05,-444.00M,-444.00M,110.00M,-111.00M,-1.00M,,-59.00M,10.00M,-494.00M,,1.826B,-579.00M,-8.00M,1.239B,2010-05,110.00M,463.00M,-907.00M,-111.00M,,2010-05,Restated
2010-02,810.00M,,,,224.00M,22.00M,246.00M,246.00M,11.00M,,30.00M,-4.00M,4.00M,628.00M,3.478B,,-3.488B,,,-188.00M,430.00M,1.527B,,2010-02,-146.00M,,-146.00M,-7.00M,17.00M,1.00M,,2010-02,-100.00M,-100.00M,18.00M,0.00,18.00M,,-59.00M,1.00M,-140.00M,,564.00M,1.252B,10.00M,1.826B,2010-02,18.00M,1.539B,-1.639B,0.00,,2010-02,Restated
2009-11,271.00M,,,,207.00M,24.00M,231.00M,231.00M,-47.00M,,31.00M,-2.00M,2.00M,-856.00M,-3.204B,,3.661B,-48.00M,33.00M,369.00M,-45.00M,441.00M,,2009-11,-159.00M,,-159.00M,0.00,33.00M,-41.00M,,2009-11,-397.00M,-397.00M,43.00M,,43.00M,,-58.00M,-14.00M,-426.00M,,668.00M,-152.00M,48.00M,564.00M,2009-11,43.00M,626.00M,-1.023B,,,2009-11,Restated
2009-08,157.00M,,,,211.00M,21.00M,232.00M,232.00M,-18.00M,,30.00M,1.00M,-7.00M,-256.00M,-215.00M,,288.00M,48.00M,-33.00M,64.00M,-104.00M,291.00M,,2009-08,-124.00M,,-124.00M,,0.00,57.00M,,2009-08,39.00M,39.00M,6.00M,,6.00M,,-59.00M,-29.00M,-43.00M,,535.00M,181.00M,-48.00M,668.00M,2009-08,6.00M,1.161B,-1.122B,,,2009-08,Restated
2009-05,156.00M,,,,196.00M,21.00M,217.00M,217.00M,24.00M,,27.00M,-2.00M,53.00M,421.00M,-668.00M,,-217.00M,,,-64.00M,-528.00M,-53.00M,,2009-05,-186.00M,,-186.00M,,30.00M,-15.00M,,2009-05,248.00M,248.00M,71.00M,0.00,71.00M,,-58.00M,,261.00M,,498.00M,37.00M,0.00,535.00M,2009-05,71.00M,1.806B,-1.558B,0.00,,2009-05,Restated
2009-02,587.00M,,,,210.00M,21.00M,231.00M,231.00M,23.00M,66.00M,28.00M,-1.00M,87.00M,613.00M,3.468B,,-2.86B,,,-285.00M,936.00M,1.957B,,2009-02,-376.00M,,-376.00M,-3.00M,-75.00M,-4.00M,,2009-02,-1.338B,-1.338B,5.00M,,5.00M,,-58.00M,-159.00M,-1.55B,,569.00M,-51.00M,-20.00M,498.00M,2009-02,5.00M,1.292B,-2.63B,,,2009-02,Restated
2008-11,63.00M,,,,208.00M,41.00M,249.00M,249.00M,-42.00M,111.00M,28.00M,-1.00M,5.00M,-975.00M,-2.311B,,2.596B,,,147.00M,-543.00M,-130.00M,,2008-11,-425.00M,,-425.00M,-78.00M,40.00M,-6.00M,,2008-11,658.00M,658.00M,32.00M,,32.00M,,-58.00M,4.00M,636.00M,,544.00M,37.00M,-12.00M,569.00M,2008-11,32.00M,2.126B,-1.468B,,,2008-11,Restated
2008-08,205.00M,,,,159.00M,1.00M,160.00M,160.00M,-4.00M,,29.00M,0.00,-3.00M,-84.00M,-604.00M,,404.00M,,,8.00M,-276.00M,111.00M,,2008-08,-282.00M,,-282.00M,-2.089B,94.00M,-12.00M,,2008-08,1.26B,1.26B,11.00M,,11.00M,,-53.00M,-24.00M,1.194B,,1.475B,-984.00M,53.00M,544.00M,2008-08,11.00M,1.561B,-301.00M,,,2008-08,Restated
2008-05,178.00M,,,,153.00M,0.00,153.00M,153.00M,-20.00M,,25.00M,-4.00M,1.00M,27.00M,-295.00M,,-6.00M,,,-120.00M,-394.00M,-61.00M,,2008-05,-220.00M,,-220.00M,,9.00M,,,2008-05,314.00M,314.00M,35.00M,,35.00M,,-54.00M,16.00M,311.00M,,1.438B,39.00M,-2.00M,1.475B,2008-05,35.00M,627.00M,-313.00M,,,2008-05,Restated
2008-02,737.00M,,,-1.00M,,,161.00M,161.00M,72.00M,,,,14.00M,189.00M,2.733B,,-3.277B,,222.00M,-71.00M,-204.00M,779.00M,,2008-02,-213.00M,,-213.00M,0.00,-131.00M,-95.00M,,2008-02,,-169.00M,36.00M,0.00,36.00M,,-56.00M,-50.00M,-239.00M,,1.319B,101.00M,18.00M,1.438B,2008-02,36.00M,,,0.00,,2008-02,
2007-11,228.00M,,,-4.00M,,,140.00M,140.00M,20.00M,,,,20.00M,-181.00M,-2.74B,,3.22B,,81.00M,331.00M,711.00M,1.115B,,2007-11,-208.00M,,-208.00M,0.00,-41.00M,9.00M,,2007-11,,-1.021B,51.00M,0.00,51.00M,,-55.00M,46.00M,-979.00M,,1.39B,-104.00M,33.00M,1.319B,2007-11,51.00M,,,0.00,,2007-11,
2007-08,250.00M,,,5.00M,,,144.00M,144.00M,60.00M,,,,21.00M,-77.00M,-345.00M,,303.00M,,68.00M,130.00M,79.00M,559.00M,,2007-08,-197.00M,,-197.00M,0.00,1.446B,-26.00M,,2007-08,,1.316B,17.00M,-3.049B,-3.032B,,-45.00M,1.00M,-1.76B,,1.366B,22.00M,2.00M,1.39B,2007-08,17.00M,,,-3.049B,,2007-08,
2007-05,192.00M,,,-3.00M,,,135.00M,135.00M,-78.00M,,,,26.00M,81.00M,-210.00M,,-25.00M,,-272.00M,-274.00M,-700.00M,-428.00M,,2007-05,-179.00M,,-179.00M,-89.00M,1.16B,28.00M,,2007-05,,7.00M,42.00M,-412.00M,-370.00M,,-48.00M,11.00M,-400.00M,,1.205B,92.00M,69.00M,1.366B,2007-05,42.00M,,,-412.00M,,2007-05,
