,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2018-01,15.36B,15.36B,11.94B,3.421B,2.539B,-10.00M,18.00M,-18.00M,2.539B,882.00M,18.00M,-18.00M,9.00M,-18.00M,873.00M,509.00M,364.00M,0.00,,,364.00M,357.43M,1.074B,183.00M,891.00M,1.26,0.00,,1.237,1.26,1.23,0.00,,1.208,1.23,289.30M,296.60M,0.34,AOR,Restated
2017-10,9.32B,9.32B,7.04B,2.28B,1.932B,2.00M,20.00M,-20.00M,1.932B,348.00M,20.00M,-20.00M,14.00M,-20.00M,342.00M,104.00M,238.00M,1.00M,,,239.00M,228.26M,533.00M,171.00M,362.00M,0.7957,0.0033,,0.7631,0.80,0.7793,0.0033,,0.7474,0.78,299.10M,305.40M,0.34,AOR,Restated
2017-07,8.94B,8.94B,6.787B,2.153B,1.83B,-2.00M,18.00M,-18.00M,1.83B,323.00M,18.00M,-18.00M,5.00M,-18.00M,310.00M,101.00M,209.00M,,,,209.00M,205.63M,496.00M,168.00M,328.00M,0.69,,,0.6789,0.69,0.67,,,0.6592,0.67,304.10M,310.80M,0.34,AOR,Restated
2017-04,8.528B,8.528B,6.506B,2.022B,1.722B,0.00,19.00M,-19.00M,1.722B,300.00M,19.00M,-19.00M,11.00M,-19.00M,292.00M,104.00M,188.00M,,,,188.00M,180.92M,472.00M,161.00M,311.00M,0.61,,,0.5871,0.61,0.60,,,0.5775,0.60,309.20M,315.00M,0.34,AOR,Restated
2017-01,13.48B,13.48B,10.45B,3.03B,2.14B,-9.00M,18.00M,-18.00M,2.14B,890.00M,18.00M,-18.00M,1.00M,-18.00M,873.00M,266.00M,607.00M,0.00,,,607.00M,606.30M,1.054B,163.00M,891.00M,1.94,0.00,,1.938,1.94,1.91,0.00,,1.908,1.91,313.40M,319.60M,0.28,AOR,Restated
2016-10,8.945B,8.945B,6.742B,2.203B,1.89B,-1.00M,16.00M,-16.00M,1.89B,313.00M,16.00M,-16.00M,7.00M,-16.00M,304.00M,112.00M,192.00M,2.00M,,,194.00M,187.57M,484.00M,164.00M,320.00M,0.61,0.00,,0.5960,0.61,0.60,0.00,,0.5862,0.61,316.20M,320.00M,0.28,AOR,Restated
2016-07,8.533B,8.533B,6.471B,2.062B,1.773B,0.00,18.00M,-18.00M,1.773B,289.00M,18.00M,-18.00M,8.00M,-18.00M,279.00M,97.00M,182.00M,16.00M,,,198.00M,176.78M,462.00M,165.00M,297.00M,0.57,0.05,,0.5537,0.62,0.56,0.05,,0.5438,0.61,320.80M,322.90M,0.28,AOR,Restated
2016-04,8.443B,8.443B,6.298B,2.145B,1.744B,-29.00M,20.00M,-20.00M,1.744B,401.00M,20.00M,-20.00M,-21.00M,-20.00M,360.00M,134.00M,226.00M,3.00M,,,229.00M,239.08M,542.00M,162.00M,380.00M,0.70,0.01,,0.7404,0.71,0.69,0.01,,0.7300,0.70,323.60M,326.70M,0.28,AOR,Restated
2016-01,13.62B,13.62B,10.67B,2.951B,2.167B,-13.00M,20.00M,-20.00M,2.167B,784.00M,20.00M,-20.00M,-14.00M,-20.00M,750.00M,273.00M,477.00M,2.00M,,,479.00M,485.90M,933.00M,163.00M,770.00M,1.40,0.01,,1.426,1.41,1.39,0.01,,1.416,1.40,339.30M,342.00M,0.23,AOR,Restated
2015-10,8.819B,8.819B,6.707B,2.112B,1.874B,-8.00M,20.00M,-20.00M,1.874B,238.00M,20.00M,-20.00M,-5.00M,-20.00M,213.00M,84.00M,129.00M,-4.00M,,,125.00M,132.03M,401.00M,168.00M,233.00M,0.37,-0.01,,0.3788,0.36,0.37,-0.01,,0.3787,0.36,344.70M,349.00M,0.23,AOR,Restated
2015-07,8.528B,8.528B,6.43B,2.098B,1.811B,1.00M,20.00M,-20.00M,1.811B,287.00M,20.00M,-20.00M,5.00M,-20.00M,272.00M,108.00M,164.00M,0.00,,,164.00M,160.99M,455.00M,163.00M,292.00M,0.47,0.00,,0.4614,0.47,0.46,0.00,,0.4515,0.46,349.60M,353.90M,0.23,AOR,Restated
2015-04,8.558B,8.558B,6.528B,2.03B,1.766B,-178.00M,20.00M,-20.00M,1.766B,264.00M,20.00M,-20.00M,-169.00M,-20.00M,75.00M,38.00M,37.00M,92.00M,,,129.00M,138.40M,258.00M,163.00M,95.00M,0.11,0.26,,0.3977,0.37,0.10,0.26,,0.3836,0.36,352.40M,357.60M,0.23,AOR,Restated
2015-01,14.21B,14.21B,11.18B,3.026B,2.223B,7.00M,22.00M,-22.00M,2.223B,803.00M,22.00M,-22.00M,17.00M,-22.00M,798.00M,274.00M,524.00M,-4.00M,,-1.00M,519.00M,511.84M,992.00M,172.00M,820.00M,1.49,-0.01,,1.458,1.48,1.47,-0.01,,1.439,1.46,351.00M,356.90M,0.19,AOR,Restated
2014-10,9.032B,9.032B,6.956B,2.076B,1.866B,-5.00M,22.00M,-22.00M,1.866B,210.00M,22.00M,-22.00M,5.00M,-22.00M,188.00M,72.00M,116.00M,-9.00M,,0.00,107.00M,116.00M,375.00M,165.00M,210.00M,0.33,-0.03,,0.33,0.30,0.33,-0.03,,0.33,0.30,350.10M,354.00M,0.19,AOR,Restated
2014-07,8.459B,8.459B,6.481B,1.978B,1.748B,-5.00M,23.00M,-23.00M,1.748B,230.00M,23.00M,-23.00M,3.00M,-23.00M,210.00M,73.00M,137.00M,10.00M,,-1.00M,146.00M,134.04M,391.00M,158.00M,233.00M,0.39,0.03,,0.3844,0.42,0.39,0.03,,0.3844,0.42,349.30M,352.20M,0.17,AOR,Restated
2014-04,8.639B,8.639B,6.672B,1.967B,1.755B,-2.00M,23.00M,-23.00M,1.755B,212.00M,23.00M,-23.00M,2.00M,-23.00M,191.00M,-278.00M,469.00M,-8.00M,,,461.00M,467.70M,375.00M,161.00M,214.00M,1.35,-0.02,,1.346,1.33,1.33,-0.02,,1.326,1.31,347.40M,350.40M,0.17,AOR,Restated
2014-01,12.67B,12.67B,10.04B,2.626B,2.048B,-105.00M,23.00M,-23.00M,2.048B,578.00M,23.00M,-23.00M,-102.00M,-23.00M,453.00M,136.00M,317.00M,-23.00M,,-1.00M,293.00M,387.38M,642.00M,166.00M,476.00M,0.89,-0.04,,1.096,0.85,0.88,-0.05,,1.081,0.83,346.30M,354.50M,0.17,AOR,Restated
2013-10,9.327B,9.327B,7.17B,2.157B,2.036B,-31.00M,24.00M,-24.00M,2.036B,121.00M,24.00M,-24.00M,-19.00M,-24.00M,78.00M,34.00M,44.00M,10.00M,,0.00,54.00M,56.35M,265.00M,163.00M,102.00M,0.13,0.03,,0.1660,0.16,0.12,0.03,,0.1554,0.16,342.80M,348.90M,0.17,AOR,Restated
2013-07,9.266B,9.266B,6.808B,2.458B,2.038B,-7.00M,26.00M,-26.00M,2.038B,420.00M,26.00M,-26.00M,12.00M,-26.00M,406.00M,169.00M,237.00M,11.00M,,18.00M,266.00M,247.20M,609.00M,177.00M,432.00M,0.69,0.09,,0.6671,0.78,0.69,0.08,,0.6674,0.77,340.40M,344.40M,0.17,AOR,Restated
2013-04,9.347B,9.347B,7.189B,2.158B,1.984B,-6.00M,27.00M,-27.00M,1.984B,174.00M,27.00M,-27.00M,-1.00M,-27.00M,146.00M,49.00M,97.00M,-170.00M,,-8.00M,-81.00M,89.67M,383.00M,210.00M,173.00M,0.29,-0.53,,0.2920,-0.24,0.29,-0.53,,0.2920,-0.24,339.00M,341.00M,0.17,AOR,Restated
2012-10,9.381B,9.381B,7.153B,2.228B,2.192B,-34.00M,27.00M,-27.00M,2.192B,36.00M,27.00M,-27.00M,-24.00M,-27.00M,-15.00M,-6.00M,-9.00M,10.00M,,-11.00M,-10.00M,-5.60M,234.00M,222.00M,12.00M,-0.03,0.00,,0.0127,-0.03,-0.03,0.00,,0.0127,-0.03,337.20M,337.20M,0.17,AOR,Restated
2012-07,9.339B,9.339B,7.078B,2.261B,2.082B,-91.00M,26.00M,-26.00M,2.082B,179.00M,26.00M,-26.00M,-89.00M,-26.00M,64.00M,33.00M,31.00M,-38.00M,,19.00M,12.00M,107.85M,318.00M,228.00M,90.00M,0.09,-0.05,,0.2611,0.04,0.09,-0.05,,0.2609,0.04,338.20M,338.60M,0.16,AOR,Restated
2012-04,10.37B,10.37B,7.789B,2.584B,2.193B,-127.00M,28.00M,-28.00M,2.193B,391.00M,28.00M,-28.00M,-124.00M,-28.00M,239.00M,70.00M,169.00M,-17.00M,,6.00M,158.00M,262.68M,504.00M,237.00M,267.00M,0.49,-0.03,,0.7462,0.46,0.49,-0.03,,0.7458,0.46,342.20M,342.80M,0.16,AOR,Restated
2012-02,11.07B,11.07B,8.658B,2.413B,1.072B,31.00M,9.00M,-9.00M,1.072B,1.341B,9.00M,-9.00M,108.00M,-9.00M,1.44B,472.00M,970.00M,,,-1.266B,-1.698B,-316.84M,1.688B,239.00M,1.449B,2.63,-7.24,,2.570,-4.61,2.63,-7.24,,2.571,-4.61,345.90M,350.80M,0.16,AOR,Restated
2011-11,12.10B,12.10B,9.168B,2.931B,2.616B,-74.00M,37.00M,-37.00M,2.616B,315.00M,37.00M,-37.00M,-74.00M,-37.00M,204.00M,72.00M,131.00M,,,23.00M,154.00M,201.88M,472.00M,231.00M,241.00M,0.43,0.00,,0.5631,0.43,0.42,0.00,,0.5498,0.42,359.70M,368.80M,0.16,AOR,
2011-08,11.35B,11.35B,8.475B,2.872B,2.583B,4.00M,34.00M,-34.00M,2.583B,289.00M,34.00M,-34.00M,4.00M,-34.00M,259.00M,99.00M,160.00M,,,17.00M,177.00M,174.53M,532.00M,239.00M,293.00M,0.48,0.00,,0.4734,0.48,0.47,0.00,,0.4635,0.47,371.90M,381.40M,0.15,AOR,
2011-05,10.94B,10.94B,8.172B,2.768B,2.484B,10.00M,31.00M,-31.00M,2.484B,284.00M,31.00M,-31.00M,10.00M,-31.00M,263.00M,99.00M,163.00M,,,-27.00M,136.00M,129.76M,530.00M,236.00M,294.00M,0.35,0.00,,0.3339,0.35,0.35,0.00,,0.3343,0.35,387.70M,397.20M,0.15,AOR,
2011-02,15.73B,15.73B,11.88B,3.847B,2.444B,-171.00M,22.00M,-22.00M,2.444B,1.403B,22.00M,-22.00M,-128.00M,-22.00M,1.253B,379.00M,876.00M,,,-37.00M,651.00M,958.28M,1.522B,247.00M,1.275B,1.98,-0.37,,2.283,1.61,1.94,-0.37,,2.235,1.58,393.50M,403.90M,0.15,AOR,Restated
2010-11,11.89B,11.89B,8.907B,2.983B,2.598B,8.00M,20.00M,-20.00M,2.598B,385.00M,20.00M,-20.00M,8.00M,-20.00M,373.00M,133.00M,240.00M,,,-23.00M,217.00M,211.85M,643.00M,250.00M,393.00M,0.55,0.00,,0.5370,0.55,0.54,0.00,,0.5274,0.54,397.10M,407.80M,0.15,AOR,
2010-08,11.34B,11.34B,8.421B,2.918B,2.507B,13.00M,21.00M,-21.00M,2.507B,411.00M,21.00M,-21.00M,13.00M,-21.00M,403.00M,146.00M,257.00M,,,-3.00M,254.00M,245.71M,662.00M,238.00M,424.00M,0.61,0.00,,0.5900,0.61,0.60,0.00,,0.5804,0.60,413.50M,423.60M,0.14,AOR,
2010-05,10.79B,10.79B,7.994B,2.793B,2.48B,12.00M,23.00M,-23.00M,2.48B,313.00M,23.00M,-23.00M,12.00M,-23.00M,302.00M,121.00M,181.00M,,,-26.00M,155.00M,147.80M,568.00M,243.00M,325.00M,0.37,0.00,,0.3529,0.37,0.36,0.00,,0.3433,0.36,420.30M,431.70M,0.14,AOR,Restated
2010-02,16.10B,16.10B,12.24B,3.859B,2.443B,-38.00M,24.00M,-24.00M,2.443B,1.416B,24.00M,-24.00M,15.00M,-24.00M,1.407B,497.00M,911.00M,,,-31.00M,779.00M,904.58M,1.677B,246.00M,1.431B,2.07,-0.20,,2.129,1.87,2.02,-0.20,,2.077,1.83,418.30M,429.60M,0.14,AOR,Restated
2009-11,12.02B,12.02B,9.082B,2.942B,2.566B,11.00M,23.00M,-23.00M,2.566B,376.00M,23.00M,-23.00M,11.00M,-23.00M,364.00M,93.00M,271.00M,,,-44.00M,227.00M,218.81M,618.00M,231.00M,387.00M,0.54,0.00,,0.5204,0.54,0.53,0.00,,0.5109,0.53,417.10M,428.60M,0.14,AOR,Restated
2009-08,11.02B,11.02B,8.338B,2.684B,2.404B,18.00M,22.00M,-22.00M,2.404B,280.00M,22.00M,-22.00M,18.00M,-22.00M,276.00M,119.00M,157.00M,,,1.00M,158.00M,146.30M,530.00M,232.00M,298.00M,0.38,0.00,,0.3519,0.38,0.37,0.00,,0.3426,0.37,416.50M,427.00M,0.14,AOR,Restated
2009-05,10.10B,10.10B,7.538B,2.557B,2.209B,-43.00M,23.00M,-23.00M,2.209B,348.00M,23.00M,-23.00M,-43.00M,-23.00M,282.00M,126.00M,156.00M,,,-3.00M,153.00M,180.95M,522.00M,217.00M,305.00M,0.37,0.00,,0.4373,0.37,0.36,0.00,,0.4257,0.36,415.20M,425.70M,0.14,AOR,Restated
2009-02,14.72B,14.72B,11.10B,3.623B,2.499B,-136.00M,25.00M,-25.00M,2.499B,1.124B,25.00M,-25.00M,-136.00M,-25.00M,963.00M,378.00M,587.00M,,,-17.00M,570.00M,652.62M,1.219B,231.00M,988.00M,1.38,0.00,,1.580,1.38,1.35,0.00,,1.545,1.35,413.70M,423.50M,0.14,,Restated
2008-11,11.50B,11.50B,8.639B,2.861B,2.587B,-114.00M,35.00M,-35.00M,2.587B,274.00M,35.00M,-35.00M,-114.00M,-35.00M,125.00M,68.00M,63.00M,,,-11.00M,52.00M,126.10M,409.00M,249.00M,160.00M,0.13,0.00,,0.3095,0.13,0.13,0.00,,0.3053,0.13,412.90M,422.60M,0.14,,Restated
2008-08,9.801B,9.801B,7.42B,2.381B,2.042B,9.00M,21.00M,-21.00M,2.042B,339.00M,21.00M,-21.00M,9.00M,-21.00M,327.00M,122.00M,205.00M,,,-3.00M,202.00M,196.36M,508.00M,160.00M,348.00M,0.49,0.00,,0.4763,0.49,0.48,0.00,,0.4667,0.48,412.10M,423.30M,0.13,,Restated
2008-05,8.99B,8.99B,6.857B,2.133B,1.856B,21.00M,13.00M,-13.00M,1.856B,277.00M,13.00M,-13.00M,21.00M,-13.00M,285.00M,-106.00M,178.00M,,,1.00M,179.00M,165.35M,451.00M,153.00M,298.00M,0.44,0.00,,0.4068,0.44,0.43,0.00,,0.3978,0.43,411.40M,423.40M,0.13,,Restated
2008-02,13.42B,13.42B,10.24B,3.178B,2.035B,31.00M,,,2.035B,1.143B,,,31.00M,,1.165B,429.00M,737.00M,,,1.00M,737.00M,717.42M,1.304B,161.00M,1.143B,1.70,0.00,,1.653,1.70,1.65,0.00,,1.605,1.65,418.00M,433.10M,0.13,,
2007-11,9.928B,9.928B,7.591B,2.337B,1.986B,32.00M,,,1.986B,351.00M,,,30.00M,,360.00M,129.00M,228.00M,,,-1.00M,228.00M,207.47M,491.00M,140.00M,351.00M,0.55,0.00,,0.5010,0.55,0.53,0.00,,0.4823,0.53,418.70M,430.80M,0.13,,
2007-08,8.75B,8.75B,6.611B,2.139B,1.738B,22.00M,,,1.738B,401.00M,,,21.00M,,400.00M,144.00M,250.00M,,,-5.00M,250.00M,235.92M,545.00M,144.00M,401.00M,0.56,0.00,,0.5283,0.56,0.55,0.00,,0.5191,0.55,444.10M,456.20M,0.10,,
2007-05,7.927B,7.927B,6.035B,1.892B,1.626B,44.00M,,,1.626B,266.00M,,,44.00M,,303.00M,113.00M,192.00M,,,2.00M,192.00M,164.41M,401.00M,135.00M,266.00M,0.40,0.00,,0.3424,0.40,0.39,0.00,,0.3339,0.39,478.80M,491.50M,0.10,,
2007-02,12.90B,12.90B,9.792B,3.107B,1.971B,,,,1.971B,1.136B,,,,,1.199B,435.00M,763.00M,,,,763.00M,763.00M,1.276B,140.00M,1.136B,1.59,0.00,,1.59,1.59,1.55,0.00,,1.55,1.55,480.90M,492.60M,0.10,,
2006-11,8.473B,8.473B,6.478B,1.995B,1.799B,,,,1.799B,196.00M,,,,,220.00M,70.00M,150.00M,,,,150.00M,150.00M,319.00M,123.00M,196.00M,0.31,0.00,,0.31,0.31,0.31,0.00,,0.31,0.31,481.00M,495.80M,0.10,,
2006-08,7.603B,7.603B,5.701B,1.902B,1.572B,,,,1.572B,330.00M,,,,,351.00M,121.00M,230.00M,,,,230.00M,230.00M,455.00M,125.00M,330.00M,0.48,0.00,,0.48,0.48,0.47,0.00,,0.47,0.47,482.00M,496.50M,0.08,,
2006-05,6.959B,6.959B,5.194B,1.765B,1.428B,,,,1.428B,337.00M,,,,,360.00M,126.00M,234.00M,,,,234.00M,234.00M,458.00M,121.00M,337.00M,0.48,0.00,,0.48,0.48,0.47,0.00,,0.47,0.47,484.60M,500.80M,0.08,,
2006-02,10.69B,10.69B,8.024B,2.669B,1.714B,,,,1.714B,955.00M,,,,,987.00M,343.00M,644.00M,,,,644.00M,644.00M,1.078B,123.00M,955.00M,1.32,0.00,,1.32,1.32,1.28,0.00,,1.28,1.28,487.60M,497.00M,0.08,,
2005-11,7.335B,7.335B,5.547B,1.788B,1.599B,,,,1.599B,189.00M,,,,,203.00M,65.00M,138.00M,,,,138.00M,138.00M,300.00M,111.00M,189.00M,0.28,0.00,,0.28,0.28,0.28,0.00,,0.28,0.28,491.10M,507.20M,0.08,,
2005-08,6.702B,6.702B,4.991B,1.711B,1.45B,,,,1.45B,261.00M,,,,,279.00M,91.00M,188.00M,,,,188.00M,188.00M,374.00M,113.00M,261.00M,0.38,0.00,,0.38,0.38,0.37,0.00,,0.37,0.37,491.20M,509.10M,0.0733,,
2005-05,6.118B,6.118B,4.56B,1.558B,1.319B,,,,1.319B,239.00M,,,,,252.00M,82.00M,170.00M,,,,170.00M,170.00M,348.00M,109.00M,239.00M,0.35,0.00,,0.35,0.35,0.34,0.00,,0.34,0.34,491.20M,505.30M,0.0733,,
2005-02,9.227B,9.227B,7.056B,2.171B,1.388B,,,,1.388B,783.00M,,,,,777.00M,255.00M,522.00M,,,,572.00M,522.00M,911.00M,128.00M,783.00M,1.16,0.00,,1.16,1.16,1.03,0.00,,1.03,1.13,492.50M,492.50M,0.0733,,
2004-11,6.647B,6.647B,5.104B,1.543B,1.31B,,,,1.31B,233.00M,,,,,239.00M,91.00M,148.00M,,,,148.00M,148.00M,358.00M,125.00M,233.00M,0.30,0.00,,0.30,0.30,0.30,0.00,,0.30,0.30,488.90M,506.60M,0.0733,,
2004-08,6.08B,6.08B,4.528B,1.552B,1.31B,,,,1.31B,242.00M,,,,,243.00M,93.00M,150.00M,,,,150.00M,150.00M,345.00M,103.00M,242.00M,0.31,0.00,,0.31,0.31,0.30,0.00,,0.30,0.30,487.10M,502.70M,0.0667,,
2004-05,5.475B,5.475B,4.086B,1.389B,1.205B,,,,1.205B,184.00M,,,,,184.00M,70.00M,114.00M,,,,114.00M,114.00M,287.00M,103.00M,184.00M,0.2334,0.00,,0.2334,0.2334,0.2268,0.00,,0.2268,0.2268,486.81M,494.45M,0.0667,,
2004-02,8.449B,8.449B,6.618B,1.831B,1.072B,,,,1.072B,759.00M,,,,,760.00M,291.00M,469.00M,0.00,,,469.00M,469.00M,861.00M,102.00M,759.00M,0.9697,-0.0066,,0.9697,0.9631,0.9338,-0.0066,,0.9338,0.9272,487.23M,528.84M,0.0667,,
2003-11,6.032B,6.032B,4.546B,1.486B,1.284B,,,,1.284B,202.00M,,,,,198.00M,76.00M,122.00M,,,,122.00M,122.00M,300.00M,98.00M,202.00M,0.2535,0.00,,0.2535,0.2535,0.2468,0.00,,0.2468,0.2468,486.06M,495.50M,0.20,,
2003-08,5.396B,5.396B,4.024B,1.372B,1.143B,,,,1.143B,229.00M,,,,,226.00M,86.00M,139.00M,,,,139.00M,139.00M,316.00M,87.00M,229.00M,0.2868,0.00,,0.2868,0.2868,0.2801,0.00,,0.2801,0.2801,484.11M,491.45M,,,
2003-05,4.668B,4.668B,3.483B,1.185B,1.071B,,,,1.071B,114.00M,,,,,112.00M,43.00M,69.00M,-94.00M,,,-25.00M,69.00M,212.00M,98.00M,114.00M,0.1467,-0.0533,,0.1467,-0.0533,0.14,-0.0533,,0.14,-0.0533,483.00M,487.80M,,,
2003-02,6.986B,6.986B,5.524B,1.462B,850.00M,,,,850.00M,612.00M,,,,,617.00M,239.00M,378.00M,-67.00M,0.00,,311.00M,378.00M,697.00M,85.00M,612.00M,0.7804,-0.1334,0.00,0.7804,0.6470,0.7670,-0.1334,0.0001,0.7670,0.6470,482.31M,521.89M,,,
2002-11,5.131B,5.131B,3.881B,1.25B,1.11B,,,,1.11B,140.00M,,,,,140.00M,54.00M,86.00M,-27.00M,,,59.00M,86.00M,194.00M,54.00M,140.00M,0.1801,-0.0534,,0.1801,0.1267,0.1801,-0.0534,,0.1801,0.1267,482.01M,485.91M,,,
2002-08,5.008B,5.008B,3.879B,1.129B,1.026B,,,,1.026B,103.00M,,,,,100.00M,38.00M,62.00M,,,,62.00M,62.00M,189.00M,86.00M,103.00M,0.1267,0.00,,0.1267,0.1267,0.1267,0.00,,0.1267,0.1267,481.95M,486.75M,,,
2002-05,4.586B,4.586B,3.521B,1.065B,950.00M,,,,950.00M,115.00M,,,,,115.00M,45.00M,70.00M,,,,70.00M,70.00M,200.00M,85.00M,115.00M,0.1467,0.00,,0.1467,0.1467,0.1467,0.00,,0.1467,0.1467,479.76M,489.21M,,,
2002-02,5.094B,5.094B,4.146B,948.00M,407.00M,,,,407.00M,541.00M,,,,,565.00M,215.00M,350.00M,,,,350.00M,350.00M,575.00M,34.00M,541.00M,0.7230,,,0.7230,0.7230,0.7218,0.00,,0.7218,0.7218,472.25M,485.78M,,,
2001-11,4.756B,4.756B,3.728B,1.028B,899.00M,,,,899.00M,129.00M,,,,,132.00M,52.00M,80.00M,,,,80.00M,80.00M,206.00M,77.00M,129.00M,0.1691,0.00,,0.1691,0.1691,0.1646,0.00,,0.1646,0.1646,474.50M,482.82M,,,
2001-08,4.164B,4.164B,3.216B,948.00M,800.00M,,,,800.00M,148.00M,,,,,138.00M,53.00M,85.00M,,,,85.00M,85.00M,215.00M,67.00M,148.00M,0.1780,0.00,,0.1780,0.1780,0.1735,0.00,,0.1735,0.1735,473.15M,483.72M,,,
