,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,1.294B,1.294B,477.80M,815.90M,461.60M,0.00,43.20M,-43.20M,,461.60M,354.30M,43.20M,-43.20M,2.30M,-43.20M,313.40M,85.00M,228.40M,,,228.40M,228.40M,446.90M,90.30M,356.60M,,2.21,,,,2.21,2.21,,2.19,,,,2.19,2.19,,103.20M,104.40M,0.4125,,AOR,Restated
2018-03,1.202B,1.202B,452.00M,750.50M,450.30M,0.00,43.20M,-43.20M,,450.30M,300.20M,43.20M,-43.20M,-1.70M,-43.20M,255.30M,44.00M,211.30M,,,211.30M,211.30M,386.40M,87.90M,298.50M,,2.05,,,,2.05,2.05,,2.03,,,,2.03,2.03,,102.90M,104.20M,0.4125,,AOR,Restated
2017-12,1.227B,1.227B,461.50M,765.10M,418.20M,0.00,43.40M,-43.40M,,418.20M,346.90M,43.40M,-43.40M,-0.10M,-43.40M,303.40M,-140.50M,443.90M,,,443.90M,443.90M,433.50M,86.70M,346.80M,,4.33,,,,4.33,4.33,,4.27,,,,4.27,4.27,,102.50M,103.80M,0.4125,,AOR,Restated
2017-09,1.160B,1.160B,433.50M,726.40M,415.60M,0.00,45.50M,-45.50M,,415.60M,310.80M,45.50M,-45.50M,-0.70M,-45.50M,264.60M,74.30M,190.30M,,,190.30M,190.30M,396.90M,86.80M,310.10M,,1.86,,,,1.86,1.86,,1.84,,,,1.84,1.84,,102.30M,103.70M,0.35,,AOR,Restated
2017-06,1.135B,1.135B,429.00M,705.70M,411.50M,,45.80M,-45.80M,,411.50M,294.20M,45.80M,-45.80M,7.00M,-45.80M,255.40M,75.90M,179.50M,,,179.50M,179.50M,387.30M,86.10M,301.20M,,1.76,,,,1.76,1.76,,1.74,,,,1.74,1.74,,102.10M,103.40M,0.35,,AOR,Restated
2017-03,1.086B,1.086B,418.70M,667.60M,409.30M,,45.90M,-45.90M,,409.30M,258.30M,45.90M,-45.90M,-1.10M,-45.90M,211.30M,53.20M,158.10M,,,158.10M,158.10M,342.60M,85.40M,257.20M,,1.55,,,,1.55,1.55,,1.53,,,,1.53,1.53,,101.90M,103.10M,0.35,,AOR,Restated
2016-12,1.011B,1.011B,383.91M,626.87M,337.73M,,30.52M,-30.52M,,337.73M,289.14M,30.52M,-30.52M,-0.403M,-30.52M,258.21M,76.18M,182.04M,,,182.04M,182.04M,352.14M,63.40M,288.74M,,1.79,,,,1.79,1.79,,1.78,,,,1.78,1.78,,101.51M,102.73M,0.35,,AOR,Restated
2016-09,945.14M,945.14M,366.65M,578.49M,311.10M,,26.80M,-26.80M,,311.10M,267.39M,26.80M,-26.80M,-0.534M,-26.80M,240.06M,72.98M,167.08M,,,167.08M,167.08M,325.19M,58.33M,266.86M,,1.65,,,,1.65,1.65,,1.63,,,,1.63,1.63,,101.37M,102.52M,0.30,,AOR,Restated
2016-06,931.56M,931.56M,364.04M,567.52M,314.44M,,26.86M,-26.86M,,314.44M,253.08M,26.86M,-26.86M,-1.334M,-26.86M,224.88M,66.81M,158.07M,,,158.07M,158.07M,311.26M,59.52M,251.74M,,1.56,,,,1.56,1.56,,1.54,,,,1.54,1.54,,101.25M,102.47M,0.30,,AOR,Restated
2016-03,902.42M,902.42M,342.90M,559.52M,314.53M,,27.41M,-27.41M,,314.53M,244.99M,27.41M,-27.41M,-0.129M,-27.41M,217.45M,66.03M,151.42M,,,151.42M,151.42M,304.11M,59.25M,244.86M,,1.50,,,,1.50,1.50,,1.48,,,,1.48,1.48,,101.07M,102.32M,0.30,,AOR,Restated
2015-12,943.64M,943.64M,364.55M,579.09M,300.41M,0.00,23.84M,-23.84M,,300.41M,278.68M,23.84M,-23.84M,60.60M,-23.84M,315.43M,106.84M,208.60M,,,208.60M,208.60M,395.32M,56.04M,339.28M,,2.07,,,,2.07,2.07,,2.05,,,,2.05,2.05,,100.83M,101.85M,0.30,,AOR,Restated
2015-09,883.93M,883.93M,350.45M,533.48M,283.11M,0.00,20.37M,-20.37M,,283.11M,250.37M,20.37M,-20.37M,0.251M,-20.37M,230.25M,69.84M,160.42M,,,160.42M,160.42M,300.67M,50.04M,250.62M,,1.59,,,,1.59,1.59,,1.58,,,,1.58,1.58,,100.68M,101.61M,0.50,,AOR,Restated
2015-06,889.54M,889.54M,355.63M,533.91M,281.94M,,20.18M,-20.18M,,281.94M,251.97M,20.18M,-20.18M,-1.52M,-20.18M,230.28M,59.00M,171.28M,,,171.28M,171.28M,300.32M,49.87M,250.45M,,1.70,,,,1.70,1.70,,1.69,,,,1.69,1.69,,100.57M,101.57M,0.25,,AOR,Restated
2015-03,865.28M,865.28M,347.12M,518.16M,271.26M,,19.84M,-19.84M,,271.26M,246.90M,19.84M,-19.84M,-0.679M,-19.84M,226.38M,70.61M,155.77M,,,155.77M,155.77M,294.52M,48.31M,246.22M,,1.55,,,,1.55,1.55,,1.54,,,,1.54,1.54,,100.38M,101.36M,0.25,,AOR,Restated
2014-12,946.14M,946.14M,380.40M,565.74M,281.99M,,19.28M,-19.28M,,281.99M,283.75M,19.28M,-19.28M,-0.422M,-19.28M,264.04M,78.11M,185.94M,,,185.94M,185.94M,332.99M,49.66M,283.33M,,1.86,,,,1.86,1.86,,1.84,,,,1.84,1.84,,100.15M,101.13M,0.20,,AOR,Restated
2014-09,884.12M,884.12M,360.08M,524.04M,278.38M,,20.01M,-20.01M,,278.38M,245.66M,20.01M,-20.01M,0.552M,-20.01M,226.20M,70.69M,155.51M,,,155.51M,155.51M,296.25M,50.04M,246.21M,,1.55,,,,1.55,1.55,,1.54,,,,1.54,1.54,,100.07M,101.01M,0.20,,AOR,Restated
2014-06,885.18M,885.18M,361.99M,523.18M,276.52M,,19.51M,-19.51M,,276.52M,246.67M,19.51M,-19.51M,-0.93M,-19.51M,226.22M,68.86M,157.36M,,,157.36M,157.36M,294.62M,48.88M,245.74M,,1.58,,,,1.58,1.58,,1.56,,,,1.56,1.56,,99.88M,100.82M,0.20,,AOR,Restated
2014-03,834.05M,834.05M,345.12M,488.94M,265.54M,,19.83M,-19.83M,,265.54M,223.40M,19.83M,-19.83M,1.42M,-19.83M,204.99M,57.77M,147.23M,,,147.23M,147.23M,273.52M,48.70M,224.82M,,1.48,,,,1.48,1.48,,1.46,,,,1.46,1.46,,99.56M,100.57M,0.20,,AOR,Restated
2013-12,889.17M,889.17M,355.95M,533.22M,275.13M,,20.12M,-20.12M,,275.13M,258.09M,20.12M,-20.12M,-0.645M,-20.12M,237.33M,71.63M,165.70M,,,165.70M,165.70M,307.16M,49.71M,257.44M,,1.67,,,,1.67,1.67,,1.65,,,,1.65,1.65,,99.32M,100.38M,0.165,,AOR,Restated
2013-09,827.81M,827.81M,345.18M,482.62M,263.28M,,24.70M,-24.70M,,263.28M,219.35M,24.70M,-24.70M,0.409M,-24.70M,195.05M,58.73M,136.32M,,,136.32M,136.32M,268.70M,48.94M,219.76M,,1.37,,,,1.37,1.37,,1.36,,,,1.36,1.36,,99.21M,100.30M,0.165,,AOR,Restated
2013-06,784.01M,784.01M,338.50M,445.51M,265.76M,,22.36M,-22.36M,,265.76M,179.75M,22.36M,-22.36M,2.536M,-22.36M,159.92M,48.57M,111.35M,,,111.35M,111.35M,229.38M,47.10M,182.28M,,1.12,,,,1.12,1.12,,1.11,,,,1.11,1.11,,99.09M,100.16M,0.165,,AOR,Restated
2013-03,737.14M,737.14M,315.56M,421.58M,236.40M,,20.86M,-20.86M,,236.40M,185.18M,20.86M,-20.86M,-2.492M,-20.86M,161.83M,36.91M,124.91M,,,124.91M,124.91M,226.13M,43.44M,182.68M,,1.26,,,,1.26,1.26,,1.25,,,,1.25,1.25,,98.88M,99.99M,0.165,,AOR,Restated
2012-12,809.91M,809.91M,343.55M,466.36M,241.12M,0.00,20.51M,-20.51M,,241.12M,225.24M,20.51M,-20.51M,0.106M,-20.51M,204.84M,61.31M,143.53M,,,143.53M,143.53M,269.30M,43.95M,225.35M,,1.46,,,,1.46,1.46,,1.44,,,,1.44,1.44,,98.43M,99.60M,0.1375,,AOR,Restated
2012-09,747.64M,747.64M,331.09M,416.56M,233.30M,-1.043M,16.46M,-16.46M,,233.30M,183.26M,16.46M,-16.46M,-2.423M,-16.46M,164.38M,47.67M,116.71M,,,116.71M,117.45M,220.40M,39.56M,180.83M,,1.19,,,,1.198,1.19,,1.17,,,,1.177,1.17,,97.88M,99.76M,0.1375,,AOR,Restated
2012-06,724.87M,724.87M,327.26M,397.61M,218.82M,,15.08M,-15.08M,,218.82M,178.78M,15.08M,-15.08M,-0.574M,-15.08M,163.13M,48.32M,114.81M,,,114.81M,114.81M,213.98M,35.77M,178.21M,,1.18,,,,1.18,1.18,,1.15,,,,1.15,1.15,,97.46M,99.62M,0.1375,,AOR,Restated
2012-03,711.07M,711.07M,319.87M,391.19M,220.89M,,15.48M,-15.48M,,220.89M,170.30M,15.48M,-15.48M,-0.49M,-15.48M,154.33M,46.02M,108.31M,,,108.31M,108.31M,205.28M,35.47M,169.81M,,1.12,,,,1.12,1.12,,1.09,,,,1.09,1.09,,97.04M,99.31M,0.00,,AOR,Restated
2011-12,739.20M,739.20M,333.36M,405.85M,218.50M,-8.644M,15.38M,-15.38M,,218.50M,187.35M,15.38M,-15.38M,-0.548M,-15.38M,171.42M,49.75M,121.68M,,,121.68M,127.81M,222.22M,35.42M,186.81M,,1.26,0.00,,,1.324,1.26,,1.23,0.00,,,1.292,1.23,,96.46M,98.69M,0.1375,,AOR,Restated
2011-09,712.70M,712.70M,330.15M,382.56M,215.34M,0.69M,15.37M,-15.37M,,215.34M,167.22M,15.37M,-15.37M,0.69M,-15.37M,152.53M,42.25M,110.28M,,,110.28M,109.78M,203.50M,35.59M,167.90M,,1.15,0.00,,,1.145,1.15,,1.12,0.00,,,1.115,1.12,,96.08M,98.31M,0.11,,AOR,Restated
2011-06,699.87M,699.87M,322.81M,377.06M,213.09M,7.243M,16.20M,-16.20M,,213.09M,163.97M,16.20M,-16.20M,7.243M,-16.20M,155.02M,48.71M,106.31M,,,106.31M,101.34M,206.03M,34.82M,171.21M,,1.11,0.00,,,1.058,1.11,,1.08,0.00,,,1.030,1.08,,95.91M,98.41M,0.11,,AOR,Restated
2011-03,645.31M,645.31M,295.21M,350.10M,208.10M,0.711M,,-16.70M,,208.10M,142.00M,,-16.70M,0.711M,-16.70M,126.02M,37.04M,88.98M,,,88.98M,88.48M,176.31M,34.31M,142.00M,,0.93,0.00,,,0.9247,0.93,,0.91,0.00,,,0.9049,0.91,,95.37M,98.15M,0.11,,AOR,Restated
2010-12,679.48M,679.48M,307.61M,371.86M,205.71M,-1.421M,16.92M,-16.92M,,205.71M,166.16M,16.92M,-16.92M,-0.788M,-16.92M,148.44M,41.13M,107.31M,,,107.31M,108.34M,199.69M,34.32M,165.37M,,1.13,,,,1.141,1.13,,1.11,,,,1.121,1.11,,94.83M,97.49M,0.11,,AOR,Restated
2010-09,605.09M,605.09M,283.34M,321.75M,193.52M,2.631M,17.13M,-17.13M,,193.52M,128.23M,17.13M,-17.13M,2.631M,-17.13M,113.73M,29.47M,84.26M,,,84.26M,82.31M,163.12M,32.25M,130.86M,,0.89,0.00,,,0.8693,0.89,,0.87,0.00,,,0.8498,0.87,,94.31M,96.67M,0.095,,AOR,
2010-06,567.10M,567.10M,265.16M,301.95M,182.76M,-1.657M,16.29M,-16.29M,,182.76M,119.19M,16.29M,-16.29M,-1.657M,-16.29M,101.24M,29.96M,71.28M,,,71.28M,72.45M,145.48M,27.95M,117.53M,,0.76,0.00,,,0.7724,0.76,,0.74,0.00,,,0.7521,0.74,,94.01M,96.45M,0.095,,AOR,Restated
2010-03,534.44M,534.44M,254.88M,279.56M,178.85M,0.447M,16.18M,-16.18M,,178.85M,100.72M,16.18M,-16.18M,0.447M,-16.18M,84.98M,25.26M,59.72M,,,59.72M,59.41M,129.67M,28.50M,101.16M,,0.64,0.00,,,0.6367,0.64,,0.62,0.00,,,0.6167,0.62,,93.81M,96.04M,0.095,,AOR,Restated
2009-12,553.64M,553.64M,262.23M,291.41M,170.64M,-0.001M,16.84M,-16.84M,,170.64M,120.77M,16.84M,-16.84M,-0.001M,-16.84M,103.93M,32.01M,71.92M,,,71.92M,71.92M,147.11M,26.34M,120.77M,,0.79,0.00,,,0.7900,0.79,,0.77,0.00,,,0.7700,0.77,,91.16M,93.38M,0.095,,AOR,Restated
2009-09,485.68M,485.68M,240.16M,245.52M,153.65M,0.105M,14.44M,-14.44M,,153.65M,91.87M,14.44M,-14.44M,0.105M,-14.44M,77.54M,21.13M,56.41M,,,56.41M,56.33M,117.26M,25.28M,91.98M,,0.62,0.00,,,0.6192,0.62,,0.61,0.00,,,0.6092,0.61,,90.88M,92.91M,0.0825,,AOR,Restated
2009-06,504.91M,504.91M,249.84M,255.07M,159.11M,3.168M,13.76M,-13.76M,,159.11M,95.96M,13.76M,-13.76M,3.168M,-13.76M,85.37M,25.78M,59.59M,,,59.59M,57.38M,124.73M,25.60M,99.13M,,0.66,0.00,,,0.6356,0.66,,0.64,0.00,,,0.6161,0.64,,90.56M,92.71M,0.0825,,AOR,Restated
2009-03,505.44M,505.44M,254.31M,251.14M,164.34M,-0.356M,13.51M,-13.51M,,164.34M,86.79M,13.51M,-13.51M,-0.356M,-13.51M,72.93M,21.37M,51.56M,,,51.56M,51.81M,112.66M,26.23M,86.44M,,0.57,0.00,,,0.5728,0.57,,0.56,0.00,,,0.5627,0.56,,90.13M,92.30M,0.0825,,AOR,Restated
2008-12,575.86M,575.86M,278.05M,297.81M,178.75M,11.44M,18.68M,-18.68M,,178.75M,119.06M,18.68M,-18.68M,11.44M,-18.68M,105.55M,34.68M,70.87M,,,70.87M,63.19M,149.70M,25.48M,124.22M,,0.79,0.00,,,0.7044,0.79,,0.77,0.00,,,0.6872,0.77,,89.73M,92.72M,0.155,,AOR,Restated
2008-09,593.10M,593.10M,284.34M,308.76M,176.46M,-2.836M,16.12M,-16.12M,,176.46M,132.30M,16.12M,-16.12M,-2.836M,-16.12M,113.34M,39.31M,74.03M,,,74.03M,75.88M,156.05M,26.59M,129.46M,,0.83,0.00,,,0.8507,0.83,,0.79,0.00,,,0.8097,0.79,,89.63M,94.25M,0.0725,,,Restated
2008-06,594.41M,594.41M,289.08M,305.33M,178.79M,-0.636M,,,,178.79M,126.54M,,,-0.636M,,115.62M,39.95M,75.67M,,,75.67M,76.09M,151.79M,25.25M,126.54M,,0.85,0.00,,,0.8547,0.85,,0.80,0.00,,,0.8044,0.80,,89.48M,94.40M,0.0725,,,
2008-03,543.00M,543.00M,266.60M,276.39M,168.12M,1.777M,,,,168.12M,108.27M,,,1.777M,,97.82M,34.24M,63.58M,,,63.58M,62.43M,131.79M,23.52M,108.27M,,0.71,0.00,,,0.6970,0.71,,0.68,0.00,,,0.6676,0.68,,89.04M,93.45M,0.0725,,,
2007-12,560.08M,560.08M,274.01M,286.07M,162.26M,-0.618M,,,,163.26M,122.81M,,,-0.618M,,110.95M,38.72M,72.23M,,,72.23M,72.63M,145.79M,22.98M,122.81M,,0.82,0.00,,,0.8245,0.82,,0.77,0.00,,,0.7743,0.77,,88.70M,94.11M,0.065,,,
2007-09,532.90M,532.90M,261.12M,271.78M,158.04M,-0.404M,,,,158.04M,113.74M,,,-0.404M,,100.22M,35.08M,65.14M,,,65.14M,65.40M,137.67M,23.93M,113.74M,,0.74,0.00,,,0.7430,0.74,,0.70,0.00,,,0.7028,0.70,,88.58M,93.56M,0.065,,,
2007-06,530.64M,530.64M,268.24M,262.40M,154.44M,-1.23M,,,,154.44M,107.96M,,,-1.23M,,93.36M,32.13M,61.23M,,,61.23M,62.04M,131.60M,23.64M,107.96M,,0.69,0.00,,,0.6991,0.69,,0.66,0.00,,,0.6687,0.66,,88.36M,92.92M,0.065,,,
2007-03,478.43M,478.43M,240.28M,238.15M,145.30M,-0.25M,,,,145.30M,92.85M,,,-0.25M,,79.13M,27.70M,51.43M,,,51.43M,51.60M,115.48M,22.63M,92.85M,,0.59,0.00,,,0.5918,0.59,,0.56,0.00,,,0.5618,0.56,,87.92M,92.30M,0.065,,,
2006-12,465.48M,465.48M,229.69M,235.80M,138.53M,-0.088M,,,,138.53M,97.26M,,,-0.088M,,85.55M,28.82M,56.73M,,,56.73M,56.79M,118.98M,21.72M,97.26M,,0.65,0.00,,,0.6507,0.65,,0.62,0.00,,,0.6206,0.62,,87.33M,91.60M,0.0588,,,
2006-09,427.22M,427.22M,208.97M,218.25M,130.73M,0.267M,,,,130.73M,87.52M,,,0.267M,,76.72M,25.91M,50.81M,,,50.81M,50.64M,108.38M,20.86M,87.52M,,0.58,0.00,,,0.5780,0.58,,0.56,0.00,,,0.5581,0.56,,87.05M,90.96M,0.0588,,,
2006-06,425.31M,425.31M,210.43M,214.88M,129.49M,-0.031M,,,,129.49M,85.39M,,,-0.031M,,74.05M,25.96M,48.09M,,,48.09M,48.11M,105.85M,20.45M,85.39M,,0.55,0.00,,,0.5502,0.55,,0.53,0.00,,,0.5302,0.53,,86.92M,91.04M,0.0588,,,
2006-03,382.72M,382.72M,190.33M,192.40M,124.92M,-0.128M,,,,124.92M,67.48M,,,-0.128M,,56.55M,18.86M,37.69M,,,37.69M,37.77M,86.48M,19.01M,67.48M,,0.44,0.00,,,0.4410,0.44,,0.42,0.00,,,0.4210,0.42,,86.06M,89.71M,0.0588,,,
2005-12,393.17M,393.17M,194.08M,199.08M,118.22M,-2.048M,,,,118.22M,80.87M,,,-2.048M,,68.20M,17.79M,50.41M,,,50.41M,51.92M,99.36M,18.49M,80.87M,,0.59,0.00,,,0.6076,0.59,,0.56,0.00,,,0.5767,0.56,,85.85M,90.85M,0.0531,,,
2005-09,365.16M,365.16M,180.41M,184.76M,114.98M,0.867M,,,,114.98M,69.78M,,,0.867M,,59.21M,20.01M,39.19M,,,39.19M,38.62M,87.91M,18.14M,69.78M,,0.46,0.00,,,0.4533,0.46,,0.45,0.00,,,0.4434,0.45,,85.43M,87.10M,0.0532,,,
2005-06,361.56M,361.56M,181.62M,179.94M,117.55M,0.231M,,,,117.55M,62.39M,,,0.231M,,51.67M,16.10M,35.56M,,,35.56M,35.40M,79.36M,16.96M,62.39M,,0.21,0.00,,,0.2091,0.21,,0.205,0.00,,,0.2041,0.205,,170.86M,173.86M,0.0532,,,
2005-03,333.84M,333.84M,171.21M,162.62M,110.76M,0.012M,,,,110.76M,51.86M,,,0.012M,,41.50M,13.49M,28.01M,,,28.01M,28.00M,69.59M,17.73M,51.86M,,0.165,0.00,,,0.1650,0.165,,0.16,0.00,,,0.1600,0.16,,169.84M,172.63M,0.0532,,,
2004-12,276.55M,276.55M,136.53M,140.02M,87.82M,-8.757M,,,,87.82M,52.20M,,,-8.757M,,35.66M,10.88M,24.79M,,,24.79M,30.87M,63.76M,11.56M,52.20M,,0.16,0.00,,,0.1998,0.16,,0.16,0.00,,,0.1991,0.16,,153.08M,155.62M,0.0482,,,
2004-09,240.14M,240.14M,120.57M,119.57M,74.15M,-0.017M,,,,74.15M,45.42M,,,-0.017M,,38.08M,10.69M,27.38M,,,27.38M,27.39M,55.64M,10.22M,45.42M,,0.185,0.00,,,0.1851,0.185,,0.18,0.00,,,0.1801,0.18,,148.16M,150.69M,0.0482,,,
2004-06,232.43M,232.43M,116.42M,116.02M,75.31M,0.012M,,,,75.31M,40.71M,,,0.012M,,33.88M,10.33M,23.55M,,,23.55M,23.54M,50.62M,9.907M,40.71M,,0.32,0.00,,,0.3199,0.32,,0.315,0.00,,,0.3149,0.315,,73.73M,74.94M,0.0482,,,
2004-03,220.64M,220.64M,111.20M,109.44M,76.47M,0.023M,,,,76.47M,32.97M,,,0.023M,,26.09M,7.958M,18.13M,,,18.13M,18.12M,42.68M,9.704M,32.97M,,0.245,0.00,,,0.2448,0.245,,0.245,0.00,,,0.2448,0.245,,73.41M,74.57M,0.0482,,,
2003-12,169.79M,169.79M,80.71M,89.08M,59.78M,-25.23M,,,,59.78M,29.30M,,,-25.23M,,0.342M,-1.555M,1.897M,0.00,,1.897M,17.04M,33.58M,4.272M,29.30M,,0.025,0.00,,,0.2626,0.025,,0.025,0.00,,,0.2584,0.025,,63.71M,64.87M,0.0438,,,
2003-09,172.06M,172.06M,78.89M,93.17M,60.65M,-0.239M,,,,60.65M,32.52M,,,-0.239M,,28.26M,8.479M,19.78M,-1.912M,,17.87M,19.95M,32.52M,,32.52M,,0.315,-0.03,,,0.3176,0.285,,0.31,-0.03,,,0.3126,0.28,,63.14M,64.11M,0.0438,,,
2003-07,165.63M,165.63M,77.16M,88.47M,60.49M,0.116M,,,,60.49M,27.98M,,,0.116M,,24.08M,7.225M,16.86M,-1.623M,,15.23M,16.77M,32.07M,4.093M,27.98M,,0.265,-0.025,,,0.2637,0.24,,0.265,-0.025,,,0.2637,0.24,,63.00M,63.73M,0.0438,,,
2003-04,165.53M,165.53M,79.52M,86.01M,60.16M,-0.416M,,,,60.16M,25.85M,,,-0.416M,,21.02M,6.272M,14.75M,-0.616M,,14.13M,15.04M,29.98M,4.124M,25.85M,,0.235,-0.01,,,0.2396,0.225,,0.235,-0.01,,,0.2396,0.225,,62.86M,63.37M,0.0438,,,
2003-01,138.31M,138.31M,66.89M,71.42M,55.55M,0.571M,,,,55.55M,15.87M,,,0.571M,,11.98M,3.626M,8.358M,-0.369M,,7.989M,7.960M,19.73M,3.864M,15.87M,,0.13,-0.005,,,0.1237,0.125,,0.13,-0.005,,,0.1237,0.125,,62.73M,63.65M,0.0438,,,
2002-10,167.29M,167.29M,76.50M,90.78M,58.63M,0.563M,,,,58.63M,32.15M,,,0.563M,,27.89M,8.66M,19.23M,-0.204M,-51.94M,-32.92M,18.84M,36.35M,4.197M,32.15M,,-0.22,-0.21,-0.0000,,-0.2262,-0.015,,-0.22,-0.21,-0.8306,,-0.2261,-0.015,,62.34M,63.73M,0.0413,,,
2002-07,152.83M,152.83M,70.42M,82.41M,54.19M,-3.819M,,,,54.19M,28.22M,,,-3.819M,,19.94M,4.738M,15.20M,-0.167M,,15.03M,18.11M,31.79M,3.572M,28.22M,,0.245,-0.005,,,0.2915,0.24,,0.24,-0.005,,,0.2858,0.235,,62.61M,63.60M,0.0413,,,
