,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-03,730.67M,730.67M,549.84M,143.59M,693.43M,119.71M,26.59M,82.85M,,191.43M,28.10M,,69.00M,1.713B,,,,,,,144.11M,8.681B,3.588B,12.27B,30.30M,74.07M,12.52B,14.23B,,152.64M,,88.13M,240.76M,251.30M,492.06M,,,401.07M,,401.07M,513.82M,513.82M,,,1.539B,5.440B,5.440B,1.169B,1.169B,111.88M,6.721B,8.259B,,1.039M,4.765B,1.518B,18.85M,-294.33M,5.971B,,AOR,Restated
2016-12,757.20M,757.20M,619.85M,129.96M,781.50M,113.63M,24.29M,81.26M,,181.95M,,,55.85M,1.777B,0.00,2.404M,88.20M,345.89M,436.49M,-295.17M,141.32M,8.647B,3.656B,12.30B,30.62M,73.50M,12.55B,14.32B,,152.07M,36.08M,22.76M,210.91M,154.17M,365.08M,,,400.98M,,400.98M,517.49M,517.49M,,,1.445B,5.809B,5.809B,1.178B,1.178B,104.02M,7.091B,8.536B,,1.036M,4.642B,1.489B,18.90M,-324.74M,5.789B,,AOR,Restated
2016-09,882.27M,882.27M,498.01M,119.11M,617.12M,119.29M,29.44M,85.34M,,197.53M,31.93M,,45.96M,1.775B,,,,,,,103.85M,5.969B,2.541B,8.511B,30.66M,60.00M,8.705B,10.48B,,144.24M,,28.00M,172.24M,200.46M,372.70M,,,1.902M,,1.902M,290.23M,290.23M,,,771.74M,3.087B,3.087B,821.35M,821.35M,87.38M,3.996B,4.768B,,1.033M,4.496B,1.483B,18.94M,-248.45M,5.713B,,AOR,Restated
2016-06,622.29M,622.29M,509.44M,119.05M,628.49M,119.04M,24.51M,84.09M,,191.39M,62.12M,,45.88M,1.550B,,,,,,,104.28M,5.974B,2.581B,8.555B,30.51M,57.09M,8.747B,10.30B,,135.60M,,21.18M,156.78M,186.12M,342.90M,,,5.886M,,5.886M,280.98M,280.98M,,,733.04M,3.086B,3.086B,834.60M,834.60M,92.20M,4.013B,4.746B,,1.033M,4.359B,1.467B,19.00M,-257.51M,5.551B,,AOR,Restated
2016-03,523.03M,523.03M,514.62M,120.75M,635.36M,123.53M,24.70M,84.93M,,196.32M,31.12M,,46.49M,1.432B,,,,,,,106.21M,5.976B,2.622B,8.598B,31.25M,56.65M,8.792B,10.22B,,140.42M,,80.88M,221.30M,185.30M,406.60M,,,6.365M,,6.365M,275.23M,275.23M,,,779.49M,3.105B,3.105B,826.42M,826.42M,71.92M,4.004B,4.783B,,1.031M,4.232B,1.439B,19.04M,-211.04M,5.441B,,AOR,Restated
2015-12,778.51M,778.51M,488.27M,122.04M,610.31M,120.81M,22.98M,80.12M,,189.87M,,,39.36M,1.618B,0.00,2.488M,79.18M,319.42M,401.09M,-295.58M,105.51M,5.825B,2.529B,8.354B,31.53M,59.55M,8.550B,10.17B,,139.74M,30.44M,18.53M,188.70M,117.52M,306.22M,,,6.805M,,6.805M,287.59M,287.59M,,,720.13M,3.264B,3.264B,810.86M,810.86M,74.02M,4.149B,4.869B,,1.028M,4.111B,1.419B,19.09M,-212.78M,5.299B,,AOR,Restated
2015-09,700.58M,700.58M,489.18M,105.79M,594.97M,124.01M,24.54M,85.88M,,200.82M,,62.51M,52.22M,1.648B,,,,,,,105.28M,5.326B,2.247B,7.573B,31.53M,75.75M,7.785B,9.433B,,142.26M,,,142.26M,160.31M,302.57M,,,6.911M,,6.911M,237.29M,240.28M,2.993M,,657.03M,2.792B,2.792B,769.73M,769.73M,85.26M,3.647B,4.304B,,1.026M,3.932B,1.392B,19.14M,-177.47M,5.129B,,AOR,Restated
2015-06,678.57M,678.57M,481.60M,108.00M,589.60M,127.88M,26.68M,75.85M,,197.03M,,58.19M,63.89M,1.587B,,,,,,,112.37M,5.112B,2.109B,7.221B,34.60M,79.22M,7.447B,9.034B,,145.58M,,,145.58M,166.93M,312.51M,,,7.208M,,7.208M,234.07M,237.91M,3.841M,,654.94M,2.517B,2.517B,754.30M,754.30M,88.01M,3.360B,4.015B,,1.026M,3.797B,1.368B,19.18M,-127.79M,5.019B,,AOR,Restated
2015-03,615.49M,615.49M,499.04M,107.74M,606.78M,125.53M,27.05M,74.98M,,194.74M,,60.02M,44.79M,1.522B,,,,,,,110.97M,5.088B,2.142B,7.230B,35.18M,76.31M,7.453B,8.975B,,151.14M,,34.93M,186.07M,169.33M,355.40M,,,7.719M,,7.719M,237.20M,240.69M,3.492M,,699.38M,2.618B,2.618B,759.81M,759.81M,90.31M,3.468B,4.167B,,1.025M,3.651B,1.340B,19.22M,-165.00M,4.807B,,AOR,Restated
2014-12,610.43M,610.43M,511.54M,96.41M,607.95M,124.10M,29.36M,79.18M,,193.77M,,54.20M,45.76M,1.512B,0.00,4.13M,80.78M,320.70M,405.60M,-294.73M,110.88M,4.711B,1.979B,6.689B,27.50M,60.29M,6.888B,8.400B,,143.85M,25.03M,0.00,168.88M,105.18M,274.06M,,,11.09M,,11.09M,221.48M,225.42M,3.943M,,627.95M,2.190B,2.190B,735.83M,735.83M,90.77M,3.017B,3.645B,,1.021M,3.520B,1.325B,19.27M,-71.93M,4.755B,,AOR,Restated
2014-09,564.11M,564.11M,528.73M,103.12M,631.86M,133.47M,33.92M,91.05M,,213.44M,,65.23M,58.05M,1.533B,,,,,,,115.24M,4.731B,2.021B,6.752B,29.05M,81.09M,6.978B,8.510B,,145.66M,,0.00,145.66M,161.06M,306.72M,,,11.07M,,11.07M,221.55M,229.05M,7.495M,,662.00M,2.358B,2.358B,753.80M,753.80M,87.76M,3.200B,3.862B,,1.021M,3.359B,1.318B,19.32M,-10.68M,4.648B,,AOR,Restated
2014-06,565.28M,565.28M,518.38M,106.79M,625.17M,132.70M,35.30M,89.07M,,212.05M,,63.80M,58.22M,1.525B,,,,,,,116.39M,4.552B,1.966B,6.518B,25.64M,77.91M,6.738B,8.262B,,147.66M,,0.00,147.66M,154.91M,302.57M,,,10.98M,,10.98M,216.11M,223.87M,7.764M,,635.27M,2.234B,2.234B,755.84M,755.84M,89.21M,3.079B,3.714B,,1.02M,3.224B,1.292B,19.36M,50.08M,4.548B,,AOR,Restated
2014-03,502.88M,502.88M,514.08M,95.27M,609.36M,130.48M,32.65M,90.06M,,209.38M,,70.07M,40.48M,1.432B,,,,,,,116.59M,4.540B,1.998B,6.538B,27.20M,75.80M,6.758B,8.190B,,144.17M,,43.04M,187.20M,162.56M,349.76M,,,10.92M,,10.92M,207.96M,214.47M,6.511M,,667.97M,2.304B,2.304B,771.24M,771.24M,89.10M,3.164B,3.832B,,1.017M,3.086B,1.259B,19.42M,30.27M,4.357B,,AOR,Restated
2013-12,459.72M,459.72M,519.08M,86.94M,606.02M,127.52M,30.50M,90.35M,,204.92M,,64.46M,38.21M,1.373B,0.00,4.384M,79.22M,310.74M,394.34M,-277.03M,117.31M,4.550B,2.039B,6.589B,28.77M,76.43M,6.812B,8.185B,,150.31M,19.86M,4.275M,174.45M,107.40M,281.85M,,,11.02M,,11.02M,235.79M,242.28M,6.49M,,643.09M,2.454B,2.454B,783.80M,783.80M,91.20M,3.329B,3.972B,,1.013M,2.959B,1.229B,19.48M,43.08M,4.213B,,AOR,Restated
2013-09,459.98M,459.98M,505.28M,85.38M,590.66M,128.81M,33.13M,88.61M,,204.72M,,88.42M,45.42M,1.389B,,,,,,,117.78M,4.542B,2.052B,6.593B,68.05M,77.09M,6.856B,8.246B,,142.99M,,,142.99M,153.29M,296.28M,,,12.25M,,12.25M,212.28M,224.71M,12.43M,,634.14M,2.594B,2.594B,862.99M,862.99M,92.03M,3.549B,4.183B,,1.013M,2.813B,1.220B,19.52M,48.32M,4.063B,,AOR,Restated
2013-06,374.57M,374.57M,547.57M,84.32M,631.89M,123.44M,33.65M,84.64M,,197.46M,,58.58M,65.63M,1.328B,,,,,,,115.68M,4.522B,2.085B,6.606B,86.58M,76.90M,6.886B,8.214B,,139.30M,,,139.30M,171.05M,310.35M,,,512.80M,,512.80M,209.25M,219.84M,10.60M,,1.127B,2.245B,2.245B,856.55M,856.55M,95.37M,3.197B,4.324B,,1.012M,2.693B,1.198B,19.57M,16.42M,3.890B,,AOR,Restated
2013-03,430.02M,430.02M,483.86M,84.95M,568.81M,125.42M,31.26M,85.93M,,200.02M,,47.37M,38.83M,1.285B,,,,,,,110.64M,3.848B,1.658B,5.506B,82.29M,69.04M,5.768B,7.053B,,138.54M,,15.38M,153.92M,133.40M,287.32M,,,516.51M,,516.51M,190.68M,198.89M,8.216M,,1.083B,1.403B,1.403B,701.57M,701.57M,83.22M,2.188B,3.271B,,1.01M,2.598B,1.182B,19.62M,20.05M,3.782B,,AOR,Restated
2012-12,370.59M,370.59M,526.41M,72.19M,598.60M,121.57M,29.72M,81.54M,,190.87M,,41.99M,43.49M,1.246B,0.00,4.308M,74.61M,291.00M,369.92M,-259.52M,110.40M,3.869B,1.699B,5.568B,78.64M,68.80M,5.826B,7.071B,,138.34M,0.00,0.00,138.34M,101.70M,240.04M,,,519.02M,,519.02M,212.56M,216.43M,3.868M,,1.086B,1.503B,1.503B,707.28M,707.28M,86.78M,2.297B,3.383B,,1.006M,2.490B,1.158B,19.68M,58.54M,3.688B,,AOR,Restated
2012-09,355.11M,355.11M,490.26M,69.78M,560.04M,128.79M,34.58M,87.21M,,210.43M,,40.78M,51.31M,1.218B,,,,,,,110.35M,3.868B,1.713B,5.581B,78.20M,62.48M,5.832B,7.050B,,151.16M,,0.00,151.16M,405.61M,556.76M,,,551.80M,,551.80M,,3.508M,3.508M,,1.112B,1.553B,1.553B,708.41M,708.41M,89.56M,2.351B,3.463B,,1.003M,2.363B,1.187B,19.73M,56.15M,3.587B,,AOR,Restated
2012-06,518.90M,518.90M,439.18M,74.01M,513.20M,129.87M,30.93M,87.33M,,209.63M,,40.34M,43.32M,1.325B,,,,,,,108.09M,2.873B,1.065B,3.938B,61.42M,68.81M,4.177B,5.502B,,139.38M,,0.00,139.38M,306.94M,446.32M,,,57.42M,,57.42M,,8.862M,8.862M,,512.61M,1.012B,1.012B,483.65M,483.65M,80.09M,1.576B,2.088B,,0.996M,2.259B,1.154B,19.78M,19.75M,3.414B,,AOR,Restated
2012-03,451.72M,451.72M,412.51M,68.69M,481.20M,131.37M,30.53M,89.29M,,214.02M,,36.41M,32.57M,1.216B,,,,,,,109.56M,2.887B,1.085B,3.972B,63.12M,70.14M,4.215B,5.431B,,139.03M,,22.59M,161.62M,286.55M,448.16M,,,63.58M,,63.58M,,9.613M,9.613M,,521.36M,1.014B,1.014B,484.80M,484.80M,78.18M,1.577B,2.098B,,0.993M,2.158B,1.140B,19.84M,52.96M,3.332B,,AOR,Restated
2011-12,338.10M,338.10M,439.13M,63.83M,502.96M,119.55M,31.08M,89.33M,,204.76M,,38.00M,31.65M,1.115B,0.00,4.228M,69.87M,264.22M,338.32M,-229.54M,108.78M,2.866B,1.094B,3.961B,63.01M,71.60M,4.204B,5.319B,,141.94M,13.30M,8.895M,164.14M,82.44M,246.58M,,,69.91M,,69.91M,121.21M,131.76M,10.55M,-0.003M,554.20M,1.015B,1.015B,482.60M,482.60M,72.41M,1.570B,2.124B,,0.987M,2.063B,1.117B,19.89M,33.80M,3.195B,,AOR,Restated
2011-09,246.45M,246.45M,422.42M,72.68M,495.10M,126.76M,34.74M,86.56M,,211.58M,,34.14M,42.75M,1.030B,,,,,,,106.96M,2.875B,1.109B,3.984B,60.59M,76.72M,4.228B,5.258B,,144.61M,,,144.61M,302.06M,446.66M,,,71.19M,,71.19M,,7.971M,7.971M,,525.83M,1.103B,1.103B,486.10M,486.10M,74.56M,1.664B,2.190B,,0.982M,1.955B,1.087B,19.97M,45.68M,3.069B,,AOR,Restated
2011-06,196.03M,196.03M,440.13M,72.10M,512.23M,121.70M,32.93M,93.46M,,211.69M,,33.34M,48.78M,1.002B,,,,,,,107.49M,2.885B,1.133B,4.018B,58.22M,78.62M,4.262B,5.264B,,153.52M,,,153.52M,306.35M,459.86M,,,72.32M,,72.32M,,9.44M,9.44M,,541.62M,1.174B,1.174B,489.15M,489.15M,75.97M,1.739B,2.280B,,0.981M,1.855B,1.074B,20.04M,73.43M,2.984B,,AOR,Restated
2011-03,261.45M,261.45M,413.37M,79.07M,492.44M,120.26M,35.55M,77.58M,,198.79M,,33.83M,43.13M,1.030B,,,,,,,103.64M,2.749B,1.083B,3.832B,55.63M,75.99M,4.067B,5.097B,,147.02M,,,147.02M,268.04M,415.05M,,,81.83M,,81.83M,,10.66M,10.66M,,507.54M,1.160B,1.160B,474.18M,474.18M,73.08M,1.707B,2.215B,,0.977M,1.759B,1.061B,20.10M,81.19M,2.882B,,AOR,Restated
2010-12,270.39M,270.39M,403.34M,75.62M,478.96M,113.42M,26.36M,71.30M,,178.56M,,32.89M,37.29M,998.09M,0.00,4.194M,68.08M,239.94M,312.21M,-208.72M,103.49M,2.728B,1.105B,3.832B,57.85M,77.80M,4.071B,5.070B,,137.78M,,0.00,137.78M,298.08M,435.86M,,,93.34M,,93.34M,,10.44M,10.44M,,539.64M,1.248B,1.248B,465.00M,465.00M,66.27M,1.779B,2.319B,,0.971M,1.681B,1.045B,20.18M,43.98M,2.751B,,AOR,Restated
2010-06,290.74M,290.74M,347.68M,80.33M,428.01M,109.99M,24.73M,66.99M,,170.94M,,26.88M,68.89M,985.47M,,,,,,,104.50M,2.365B,833.59M,3.199B,29.85M,68.62M,3.402B,4.387B,,120.31M,,0.00,120.31M,240.39M,360.71M,,,112.03M,,112.03M,,1.446M,1.446M,,474.18M,1.016B,1.016B,328.58M,328.58M,60.69M,1.406B,1.880B,,0.963M,1.509B,1.003B,21.18M,15.68M,2.507B,,AOR,Restated
2010-03,191.28M,191.28M,352.50M,64.13M,416.64M,110.63M,26.03M,66.65M,,174.54M,,26.50M,53.36M,862.32M,,,,,,,107.19M,2.377B,853.30M,3.231B,29.96M,59.53M,3.427B,4.290B,,121.47M,,0.00,121.47M,214.58M,336.05M,,,110.80M,,110.80M,,1.452M,1.452M,,448.30M,1.007B,1.007B,326.08M,326.08M,59.56M,1.393B,1.841B,,0.96M,1.446B,989.36M,21.24M,32.69M,2.448B,,AOR,Restated
2009-12,167.71M,167.71M,381.66M,57.15M,438.81M,111.55M,24.56M,71.73M,,178.80M,,27.31M,58.12M,870.74M,0.00,5.068M,68.91M,231.77M,305.75M,-196.26M,109.49M,2.388B,868.90M,3.257B,33.12M,57.04M,3.457B,4.328B,,110.10M,,0.00,110.10M,253.44M,363.54M,,,112.80M,,112.80M,,1.671M,1.671M,,478.01M,1.041B,1.041B,328.30M,328.30M,58.97M,1.428B,1.906B,,0.958M,1.396B,982.32M,21.32M,63.94M,2.421B,,AOR,Restated
2009-09,256.02M,256.02M,323.96M,60.34M,384.30M,113.54M,27.90M,61.81M,,174.06M,,27.54M,65.57M,907.49M,,,,,,,104.75M,2.143B,759.24M,2.902B,31.19M,56.38M,3.094B,4.002B,,100.56M,,0.00,100.56M,224.48M,325.04M,,,119.85M,,119.85M,,1.079M,1.079M,,445.98M,1.004B,1.004B,286.35M,286.35M,42.66M,1.333B,1.779B,,0.931M,1.333B,846.97M,21.40M,63.42M,2.222B,,AOR,Restated
2009-06,220.83M,220.83M,325.92M,56.92M,382.84M,114.58M,25.78M,65.69M,,177.36M,,27.31M,57.10M,865.44M,,,,,,,106.59M,2.134B,774.68M,2.909B,28.15M,50.67M,3.094B,3.960B,,98.64M,,0.00,98.64M,225.99M,324.63M,,,148.74M,,148.74M,,0.88M,0.88M,,474.26M,1.014B,1.014B,280.48M,280.48M,45.18M,1.340B,1.814B,,0.928M,1.284B,835.48M,21.49M,46.67M,2.145B,,AOR,Restated
2009-03,177.51M,177.51M,343.01M,64.32M,407.33M,114.96M,27.49M,73.94M,,186.72M,,28.66M,43.66M,843.88M,,,,,,,107.83M,2.106B,784.34M,2.891B,28.06M,50.46M,3.077B,3.921B,,114.89M,,0.00,114.89M,219.92M,334.81M,,,149.53M,,149.53M,,0.313M,0.313M,,484.65M,1.085B,1.085B,268.40M,268.40M,43.46M,1.396B,1.881B,,0.927M,1.232B,826.92M,21.58M,2.014M,2.040B,,AOR,Restated
2008-12,178.07M,178.07M,376.86M,61.17M,438.02M,120.60M,26.91M,68.51M,,185.92M,,29.39M,26.91M,858.31M,0.00,4.738M,61.88M,225.63M,292.25M,-179.79M,112.46M,2.119B,804.02M,2.923B,28.05M,49.85M,3.113B,3.972B,,121.81M,,1.892M,123.70M,261.68M,385.38M,,,233.53M,,233.53M,,0.00,0.00,,618.91M,1.034B,1.034B,272.18M,272.18M,42.83M,1.349B,1.968B,,0.919M,1.187B,815.74M,21.70M,21.51M,2.004B,,AOR,Restated
2008-09,156.27M,156.27M,466.07M,,466.07M,122.14M,32.59M,73.70M,,196.09M,,33.71M,29.46M,881.60M,,,,,271.89M,-156.12M,115.76M,2.165B,827.65M,2.992B,33.76M,50.02M,3.192B,4.073B,,128.34M,,,128.34M,260.86M,389.20M,,,232.68M,,232.68M,,,,32.30M,654.17M,1.114B,1.114B,252.81M,252.81M,42.68M,1.409B,2.063B,,0.919M,1.140B,790.67M,21.79M,100.43M,2.010B,,,Restated
2008-06,146.19M,146.19M,453.96M,,453.96M,117.67M,33.42M,72.76M,,192.43M,,30.85M,26.90M,850.32M,,,,,268.16M,-156.12M,112.03M,1.986B,745.85M,2.732B,25.24M,43.39M,2.912B,3.762B,,118.72M,,,118.72M,227.88M,346.60M,,,494.20M,,494.20M,,,,15.57M,856.37M,651.51M,651.51M,254.90M,254.90M,42.18M,948.59M,1.805B,,0.918M,1.071B,779.73M,21.86M,127.57M,1.958B,,,
