,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2009-08,1.091B,213.90M,876.80M,567.20M,309.60M,166.30M,,-3.20M,68.10M,-68.10M,,166.30M,143.30M,68.10M,-68.10M,70.00M,-68.10M,145.20M,45.50M,99.70M,,,99.70M,101.90M,259.20M,,2009-08,0.46,0.00,0.4700,2009-08,0.45,0.00,0.4600,0.45,219.65M,220.71M,,AOR,Restated
2009-05,1.004B,212.20M,791.60M,522.90M,268.70M,165.10M,,-18.90M,68.40M,-68.40M,,165.10M,103.60M,68.40M,-68.40M,43.90M,-68.40M,79.10M,72.60M,6.50M,,,6.50M,18.78M,184.70M,,2009-05,0.03,0.00,0.0861,2009-05,0.03,0.00,0.0859,0.03,218.98M,219.82M,,AOR,Restated
2009-02,-103.50M,,735.10M,543.90M,191.20M,172.80M,,-298.70M,,-77.30M,,172.80M,18.40M,,-77.30M,-330.60M,-77.30M,-389.50M,17.30M,-406.80M,,,-406.80M,-212.64M,-92.60M,,2009-02,-1.89,0.00,-1.001,2009-02,-1.89,0.00,-1.001,-1.89,218.40M,218.40M,,AOR,Restated
2008-11,1.307B,275.70M,1.031B,627.20M,404.00M,200.50M,,-5.80M,78.40M,-78.40M,,200.50M,203.50M,78.40M,-78.40M,70.50M,-78.40M,195.60M,112.10M,83.50M,,,83.50M,87.27M,308.00M,,2008-11,0.39,0.00,0.4073,2008-11,0.38,0.00,0.3971,0.38,218.20M,220.01M,,AOR,Restated
2008-08,1.239B,282.70M,956.50M,650.70M,305.80M,225.20M,,-59.10M,80.70M,-80.70M,,225.20M,80.60M,80.70M,-80.70M,11.00M,-80.70M,10.90M,33.60M,-22.70M,,,-22.70M,15.72M,132.60M,,2008-08,-0.11,0.00,0.0666,2008-08,-0.11,0.00,0.0666,-0.11,217.49M,217.49M,,AOR,Restated
2008-05,1.212B,280.20M,931.80M,602.80M,329.00M,233.50M,,-4.80M,86.60M,-86.60M,,233.50M,95.50M,86.60M,-86.60M,67.30M,-86.60M,76.20M,31.60M,44.60M,,,44.60M,47.72M,207.00M,,2008-05,0.21,0.00,0.2244,2008-05,0.20,0.00,0.2142,0.20,216.56M,219.19M,,AOR,Restated
2008-02,1.135B,251.00M,884.40M,572.70M,311.70M,220.60M,,-825.00M,99.50M,-99.50M,,220.60M,91.10M,99.50M,-99.50M,-797.20M,-99.50M,-805.60M,29.20M,-834.80M,,,-834.80M,-298.55M,-657.70M,,2008-02,-3.85,0.00,-1.365,2008-02,-3.85,0.00,-1.368,-3.85,215.76M,216.05M,,AOR,Restated
2007-11,1.406B,311.60M,1.095B,702.90M,391.90M,192.10M,,-1.50M,82.40M,-82.40M,,192.10M,199.80M,82.40M,-82.40M,72.70M,-82.40M,190.10M,70.50M,119.60M,,,119.60M,120.54M,313.00M,,2007-11,0.56,0.00,0.5644,2007-11,0.55,0.00,0.5543,0.55,215.39M,219.43M,,,Restated
2007-08,1.168B,275.30M,892.60M,582.90M,309.70M,190.50M,,-2.00M,86.70M,-86.70M,,190.50M,119.20M,86.70M,-86.70M,78.10M,-86.70M,110.60M,38.50M,72.10M,,,72.10M,73.40M,235.60M,,2007-08,0.34,0.00,0.3461,2007-08,0.33,0.00,0.3359,0.33,215.13M,219.30M,,,Restated
2007-05,1.175B,274.20M,901.20M,633.00M,268.20M,197.60M,,-2.40M,79.70M,-79.70M,,197.60M,70.60M,79.70M,-79.70M,73.40M,-79.70M,64.30M,34.50M,29.80M,,,29.80M,31.36M,182.70M,,2007-05,0.13,0.00,0.1368,2007-05,0.13,0.00,0.1367,0.13,229.46M,233.44M,,,Restated
2007-02,1.422B,280.30M,1.142B,796.90M,345.30M,194.00M,,-67.50M,,,,194.00M,151.30M,,,26.80M,,103.70M,33.50M,70.20M,,0.00,70.20M,115.89M,192.40M,,2007-02,0.30,0.00,0.4494,2007-02,0.29,0.00,0.4394,0.29,305.88M,305.88M,,AOR,Restated
2006-11,1.834B,333.40M,1.501B,1.056B,445.20M,197.80M,,-11.60M,,,,197.80M,247.40M,,,-1.20M,,173.10M,65.30M,107.80M,,,107.80M,115.02M,283.40M,,2006-11,0.47,0.00,0.5045,2006-11,0.45,0.00,0.4802,0.45,209.52M,239.40M,,,
2006-08,1.715B,297.40M,1.418B,1.003B,414.80M,204.40M,,-26.50M,,,,204.40M,210.40M,,,-26.30M,,111.60M,43.20M,68.40M,,2.40M,68.40M,84.64M,243.90M,,2006-08,0.30,0.00,0.3811,2006-08,0.28,0.00,0.3476,0.28,200.32M,240.32M,,,
2006-05,1.430B,274.30M,1.156B,837.30M,318.60M,172.60M,,49.50M,,,,172.60M,146.00M,,,49.60M,,146.90M,61.40M,85.50M,,2.50M,85.50M,55.80M,174.70M,,2006-05,0.38,0.00,0.2312,2006-05,0.36,0.00,0.2363,0.36,199.57M,240.10M,,,
2006-02,1.304B,256.20M,1.048B,761.50M,286.40M,133.90M,,-21.80M,,,,133.90M,152.50M,,,-26.70M,,78.50M,20.30M,58.20M,,2.40M,58.20M,74.36M,188.30M,,2006-02,0.25,0.00,0.3050,2006-02,0.24,0.00,0.2950,0.24,293.95M,293.95M,,,Restated
2005-11,1.568B,300.80M,1.267B,882.90M,384.20M,156.90M,,-5.90M,,,,156.90M,227.30M,,,0.60M,,179.80M,70.80M,109.00M,,2.50M,109.00M,112.58M,261.50M,,2005-11,0.49,0.00,0.5081,2005-11,0.46,0.00,0.4750,0.46,197.22M,238.58M,,,
2005-08,1.469B,276.70M,1.192B,844.00M,348.00M,163.70M,,-10.10M,,,,163.70M,184.30M,,,-10.40M,,127.00M,44.60M,82.40M,,2.40M,82.40M,88.95M,213.10M,,2005-08,0.37,0.00,0.4033,2005-08,0.34,0.00,0.3674,0.34,196.52M,239.07M,,,
2005-05,1.366B,269.80M,1.097B,790.53M,306.01M,157.86M,,-8.319M,,,,157.86M,148.14M,,,-8.861M,,91.99M,16.29M,75.70M,,2.451M,75.70M,82.55M,177.44M,,2005-05,0.34,0.00,0.3750,2005-05,0.32,0.00,0.3487,0.32,195.56M,238.18M,,,
2005-02,1.305B,267.17M,1.038B,750.85M,286.79M,154.58M,,-12.57M,,,,154.58M,132.21M,,,-11.40M,,74.44M,26.78M,47.66M,,2.447M,47.66M,55.71M,162.24M,,2005-02,0.21,0.00,0.2378,2005-02,0.205,0.00,0.2328,0.20,289.78M,289.78M,,,Restated
2004-11,1.360B,274.72M,1.086B,772.05M,313.66M,130.33M,,-1.644M,,,,130.33M,183.33M,,,-1.285M,,151.40M,54.50M,96.89M,,2.451M,96.89M,97.95M,207.89M,,2004-11,0.44,0.00,0.4455,2004-11,0.40,0.00,0.4045,0.42,192.02M,233.45M,,,
2004-08,1.300B,263.30M,1.037B,747.26M,289.68M,132.36M,,-1.169M,,,,132.36M,157.33M,,,-0.969M,,125.96M,45.34M,80.61M,,2.451M,80.61M,81.36M,182.16M,,2004-08,0.1825,0.1825,0.1864,2004-08,0.1725,0.1725,0.1757,0.345,190.90M,232.29M,,,
2004-05,1.174B,247.01M,927.30M,676.84M,250.46M,138.43M,,-1.613M,,,,138.43M,112.03M,,,-1.551M,,80.20M,28.87M,51.33M,,2.451M,51.33M,52.36M,136.30M,,2004-05,0.115,0.115,0.1198,2004-05,0.1125,0.1125,0.1170,0.225,213.56M,230.12M,,,
2004-02,1.115B,233.66M,881.32M,637.76M,243.56M,108.85M,,-3.667M,,,,108.85M,134.71M,,,-4.09M,,98.16M,35.34M,62.82M,,2.452M,62.82M,65.17M,159.32M,,2004-02,0.69,-0.40,0.6982,2004-02,0.6525,-0.40,0.6607,0.275,284.62M,284.62M,,,
2003-11,1.214B,226.29M,987.25M,704.63M,282.62M,113.33M,,-8.088M,,,,113.33M,169.28M,,,-7.962M,,129.43M,46.59M,82.84M,,2.45M,82.84M,88.02M,193.75M,,2003-11,0.1925,0.1925,0.2203,2003-11,0.175,0.19,0.1977,0.365,186.51M,228.39M,,,
2003-08,1.151B,239.45M,911.06M,670.53M,240.53M,127.29M,,-17.08M,,,,127.29M,113.24M,,,-16.57M,,55.57M,20.00M,35.56M,,0.844M,35.56M,46.50M,142.40M,,2003-08,0.0875,0.0925,0.1507,2003-08,0.085,0.085,0.1375,0.17,173.00M,208.26M,,,
2003-05,990.24M,217.44M,772.80M,563.72M,209.08M,107.80M,,-1.135M,,,,107.80M,101.28M,,,-0.807M,,61.23M,22.04M,39.19M,,,39.19M,39.92M,125.10M,,2003-05,0.105,0.105,0.1089,2003-05,0.1025,0.1025,0.1063,0.205,185.76M,191.32M,,,
2003-02,853.86M,200.83M,653.03M,475.80M,177.23M,87.15M,,,,,,87.15M,90.09M,,,20.51M,,85.70M,33.68M,52.02M,,,52.02M,52.02M,104.61M,,2003-02,0.1425,0.1425,0.1425,2003-02,0.14,0.14,0.14,0.28,181.15M,185.95M,,,
2002-11,969.76M,231.38M,738.38M,524.88M,213.49M,85.47M,,,,,,85.47M,128.02M,,,4.182M,,106.00M,41.66M,64.34M,,,64.34M,64.34M,142.65M,,2002-11,0.1775,0.1775,0.1775,2002-11,0.1725,0.1725,0.1725,0.345,180.65M,186.17M,,,
2002-08,899.00M,209.19M,689.81M,496.54M,193.26M,87.62M,,,,,,87.62M,105.65M,,,3.172M,,81.67M,32.10M,49.57M,,,49.57M,49.57M,120.78M,,2002-08,0.1375,0.1375,0.1375,2002-08,0.1325,0.1325,0.1325,0.265,179.38M,186.06M,,,
2002-05,860.46M,210.07M,650.39M,473.67M,176.73M,90.76M,,,,,,90.76M,85.96M,,,2.739M,,61.56M,24.19M,37.37M,,,37.37M,37.37M,101.83M,,2002-05,0.21,0.00,0.21,2002-05,0.20,0.00,0.20,0.20,177.69M,184.71M,,,
2002-02,803.74M,186.39M,617.34M,454.47M,162.87M,88.14M,,,,,,88.14M,74.73M,,,0.639M,,47.59M,19.04M,28.56M,,,27.00M,28.56M,96.25M,,2002-02,0.165,-0.01,0.165,2002-02,0.1575,-0.01,0.1575,0.1475,175.70M,179.76M,,,
2001-11,925.56M,223.70M,701.85M,508.74M,193.11M,84.29M,,,,,,84.29M,108.82M,,,1.165M,,82.74M,33.10M,49.64M,,,49.64M,49.64M,129.69M,,2001-11,0.285,0.00,0.285,2001-11,0.2775,0.00,0.2775,0.2775,173.72M,178.95M,,,
2001-08,898.82M,209.70M,689.13M,505.84M,183.28M,94.28M,,,,,,94.28M,89.00M,,,-0.137M,,59.89M,23.96M,35.93M,,,35.93M,35.93M,110.48M,,2001-08,0.2125,0.00,0.2125,2001-08,0.205,0.00,0.205,0.205,169.66M,175.73M,,,
