,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,62.93M,,-3.316M,0.525M,-2.791M,58.11M,58.11M,,1.737M,2.322M,4.088M,-5.38M,,,3.163M,4.193M,124.18M,-89.31M,,,-0.18M,,-8.237M,-46.18M,50.02M,,50.02M,1.336M,-0.753M,0.583M,,,,,-74.92M,-5.182M,-29.50M,25.20M,48.50M,73.70M,1.336M,62.00M,-11.98M,-0.753M,,
2017-12,52.78M,,-7.973M,0.121M,4.421M,56.39M,56.39M,,2.508M,3.624M,0.932M,1.623M,,,-2.93M,3.249M,119.36M,-130.40M,,,-0.194M,,-6.507M,-128.52M,8.766M,,8.766M,67.39M,-0.013M,67.38M,-0.465M,,-0.465M,,-72.15M,-2.211M,1.321M,33.04M,-7.844M,25.20M,66.93M,172.18M,-163.41M,-0.013M,,
2017-09,108.88M,,-50.78M,0.182M,-50.59M,55.61M,55.61M,,-3.421M,-5.032M,-14.56M,11.55M,,,-1.635M,-9.668M,100.81M,-125.72M,,,-0.072M,,-5.008M,-322.70M,40.62M,,40.62M,33.80M,-0.139M,33.66M,145.46M,,145.46M,,-70.40M,-2.326M,147.02M,107.92M,-74.87M,33.04M,179.26M,41.54M,-0.92M,-0.139M,,
2017-06,78.13M,,-19.00M,0.114M,-18.88M,52.67M,52.67M,,-0.022M,-0.923M,6.326M,-3.071M,,,0.50M,2.832M,114.73M,-127.37M,,,-0.312M,,-3.679M,-107.42M,130.05M,,130.05M,0.031M,-0.016M,0.015M,,,,,-70.33M,7.416M,67.15M,33.46M,74.46M,107.92M,0.031M,182.41M,-52.36M,-0.016M,,
2017-03,58.07M,,-0.178M,0.00,-0.178M,51.38M,51.38M,,-1.739M,4.39M,3.602M,4.136M,,,4.273M,16.40M,123.93M,-135.45M,,,-0.118M,,-3.108M,-279.28M,215.43M,,215.43M,17.36M,-4.061M,13.30M,,,,,-70.12M,-4.66M,153.95M,34.85M,-1.389M,33.46M,17.36M,217.00M,-1.567M,-4.061M,,
2016-12,59.72M,,0.00,-0.009M,-0.009M,48.45M,48.45M,,-0.082M,5.472M,25.98M,-4.005M,,,-1.267M,26.18M,134.26M,-133.35M,,,-3.726M,,-6.923M,-151.80M,-14.12M,,-14.12M,29.06M,-0.015M,29.05M,0.00,,0.00,,-69.94M,-1.392M,-56.41M,101.28M,-73.95M,34.85M,29.06M,0.008M,-14.13M,-0.015M,,
2016-09,61.20M,,-4.945M,0.00,-4.945M,48.90M,48.90M,,0.278M,-4.539M,-24.69M,10.73M,,,2.868M,-15.63M,89.80M,-138.25M,,,-1.43M,,7.433M,-137.52M,145.17M,,145.17M,54.82M,-0.065M,54.75M,0.00,,0.00,,-66.67M,-2.878M,130.37M,18.62M,82.66M,101.28M,54.82M,200.29M,-55.12M,-0.065M,,
2016-06,58.90M,,-1.787M,0.00,-1.787M,48.44M,48.44M,,-0.42M,1.771M,-2.256M,-4.634M,,,-1.279M,-6.398M,98.73M,-97.75M,,,-1.367M,,-3.90M,-99.22M,6.19M,,6.19M,63.46M,-0.018M,63.45M,,,,,-66.19M,-4.051M,-0.607M,19.72M,-1.094M,18.62M,63.46M,41.50M,-35.31M,-0.018M,,
2016-03,79.06M,,-25.73M,-0.041M,-25.77M,47.80M,47.80M,,0.698M,-0.836M,1.181M,5.066M,,,-2.325M,3.086M,104.88M,-67.93M,,,-0.697M,,-3.283M,-201.69M,-1.923M,,-1.923M,181.76M,-4.353M,177.40M,,,,,-64.88M,-15.12M,95.48M,21.05M,-1.33M,19.72M,181.76M,,-1.923M,-4.353M,,
2015-12,70.00M,,-16.82M,-0.43M,-17.25M,46.42M,46.42M,,-1.111M,5.55M,4.411M,-1.289M,,,1.165M,9.837M,107.90M,-77.55M,,,-1.247M,,-7.415M,-67.28M,34.04M,,34.04M,9.715M,,0.504M,,,,,-64.90M,-2.078M,-32.43M,12.86M,8.182M,21.05M,9.715M,53.46M,-19.41M,,,
2015-09,54.55M,,0.00,-0.36M,-0.36M,43.72M,43.72M,,-0.743M,-6.985M,-14.83M,12.60M,,,-0.452M,-9.663M,87.50M,-59.32M,,,-1.406M,,2.809M,-70.13M,-7.516M,,-7.516M,43.13M,,43.13M,,,,,-59.69M,-2.61M,-26.68M,22.18M,-9.311M,12.86M,43.13M,141.05M,-148.56M,,,
2015-06,45.67M,,-11.51M,-0.406M,7.157M,42.67M,42.67M,,0.334M,-1.158M,4.15M,-13.42M,,,6.255M,-4.173M,91.66M,-80.30M,,,-0.102M,,-4.323M,-121.41M,-115.04M,,-115.04M,57.42M,,57.42M,,,,,-59.39M,-2.505M,-119.52M,171.44M,-149.26M,22.18M,57.42M,106.49M,-221.53M,,,
2015-03,48.20M,,,-0.22M,-0.22M,41.98M,41.98M,,1.491M,-6.607M,-0.426M,0.80M,,,-3.239M,-9.472M,81.99M,-65.36M,,,-0.047M,,-3.12M,-94.94M,197.62M,,197.62M,0.589M,,0.589M,,,,,-59.33M,-2.433M,136.44M,47.95M,123.49M,171.44M,0.589M,208.65M,-11.04M,,,
2014-12,37.28M,,0.00,-0.334M,10.21M,43.41M,43.41M,,-1.413M,13.05M,3.315M,-0.631M,,,-0.939M,14.80M,104.28M,-90.80M,,,0.00,,-19.97M,-115.23M,34.22M,,34.22M,61.90M,,61.90M,,,,,-58.90M,-2.246M,34.98M,23.92M,24.03M,47.95M,61.90M,233.58M,-199.36M,,,
2014-09,49.05M,,-4.401M,-0.446M,-4.847M,42.66M,42.66M,,-0.202M,-5.275M,-15.71M,3.917M,,,0.187M,-16.88M,69.78M,-95.15M,,,-3.15M,,-2.829M,-90.80M,7.793M,,7.793M,50.32M,,50.32M,,,,,-52.46M,-2.026M,3.63M,41.31M,-17.40M,23.92M,50.32M,11.00M,-3.207M,,,
2014-06,45.42M,,,-0.25M,-0.25M,40.89M,40.89M,,0.816M,-4.123M,7.486M,-0.844M,,,3.513M,6.032M,92.91M,-91.08M,,,-3.581M,,-3.585M,-102.08M,-23.26M,,-23.26M,52.32M,,52.32M,,,,,-52.14M,-2.131M,-25.21M,75.70M,-34.39M,41.31M,52.32M,0.00,-23.26M,,,
2014-03,40.54M,,,-0.213M,-0.213M,43.85M,43.85M,,1.532M,-6.716M,0.689M,1.811M,,,-2.336M,-6.552M,79.16M,-83.93M,,,0.00,,-3.893M,-88.04M,-2.842M,,-2.842M,51.62M,,51.62M,,,,,-51.71M,-1.409M,-4.35M,88.93M,-13.23M,75.70M,51.62M,0.00,-2.842M,,,
2013-12,29.60M,,0.00,-0.433M,12.87M,41.21M,41.21M,,0.126M,3.861M,1.018M,0.419M,,,-1.342M,3.956M,87.77M,-101.29M,,,0.00,,-3.043M,-143.71M,1.182M,,1.182M,68.46M,,68.46M,,,,,-51.17M,-1.439M,17.04M,127.83M,-38.90M,88.93M,68.46M,295.90M,-294.72M,,,
2013-09,63.37M,,-23.86M,-0.381M,-24.24M,39.41M,39.41M,,0.45M,-2.426M,-8.632M,5.312M,,,6.796M,1.05M,80.03M,-75.55M,,,0.00,,-2.045M,-43.31M,-4.795M,,-4.795M,34.87M,,34.87M,,,,,-47.65M,0.323M,-17.26M,108.37M,19.46M,127.83M,34.87M,0.004M,-4.799M,,,
2013-06,38.80M,,-4.994M,-0.372M,-5.366M,39.85M,39.85M,,0.352M,-5.298M,7.776M,-0.004M,,,2.893M,5.367M,79.00M,-70.48M,,,0.00,,-3.50M,-112.50M,111.93M,,111.93M,50.68M,,50.68M,,,,,-47.31M,-4.707M,110.59M,31.27M,77.09M,108.37M,50.68M,269.34M,-157.41M,,,
2013-03,35.84M,,,-0.312M,-0.312M,40.62M,40.62M,,1.776M,-2.458M,-0.093M,-0.402M,,,-7.284M,-10.24M,67.69M,-42.83M,,,,,-2.848M,-45.68M,-12.10M,,-12.10M,32.54M,,32.54M,,,,,-46.88M,-1.295M,-27.73M,36.99M,-5.714M,31.27M,32.54M,,-12.10M,,,
2012-12,38.86M,,0.00,-0.528M,-0.528M,35.34M,35.34M,,0.112M,9.751M,-0.40M,-1.958M,,,6.306M,13.70M,87.48M,-54.66M,,,,,-4.226M,-130.12M,-37.10M,,-37.10M,18.60M,,18.60M,,,,,-46.85M,-2.699M,-68.05M,147.68M,-110.69M,36.99M,18.60M,0.00,-37.10M,,,
2012-09,39.66M,,0.00,-0.49M,-0.49M,34.93M,34.93M,,1.098M,-4.046M,-12.56M,3.13M,,,-2.457M,-15.94M,59.26M,-57.95M,,,,,-3.382M,-70.09M,66.76M,,66.76M,54.04M,,54.04M,,,,,-43.91M,-1.158M,75.73M,82.77M,64.91M,147.68M,54.04M,244.81M,-178.04M,,,
2012-06,33.60M,,0.00,-0.438M,-0.438M,35.20M,35.20M,,1.017M,0.887M,5.568M,3.821M,,,0.788M,11.06M,80.44M,-31.03M,,,,,-3.144M,-34.07M,-4.579M,,-4.579M,17.23M,,17.23M,,,,,-43.76M,-1.666M,-32.78M,69.18M,13.59M,82.77M,17.23M,5.399M,-9.978M,,,
2012-03,44.12M,,-11.86M,-0.301M,-12.16M,36.57M,36.57M,,2.121M,0.74M,-0.398M,-1.734M,,,0.196M,-1.196M,69.46M,-37.04M,,,,,-2.386M,-39.28M,-3.292M,,-3.292M,22.40M,,22.40M,,,,,-43.50M,-4.412M,-28.80M,67.81M,1.376M,69.18M,22.40M,,-3.292M,,,
2011-12,32.46M,14.80M,,-0.607M,-0.882M,31.85M,31.85M,,1.169M,8.031M,0.627M,2.538M,,,-4.031M,7.165M,71.76M,-26.82M,-20.67M,5.635M,0.00,,-3.396M,-95.06M,111.20M,,111.20M,1.128M,,1.128M,,,,,-42.01M,-1.285M,69.03M,22.07M,45.74M,67.81M,1.128M,195.35M,-84.16M,,,
2011-09,48.30M,-14.76M,,-0.434M,-15.19M,32.08M,32.08M,,1.027M,-3.222M,-8.593M,-0.664M,,,0.511M,-11.97M,54.25M,-41.45M,19.17M,12.06M,0.00,,-2.277M,-24.55M,-38.09M,,-38.09M,57.01M,,57.01M,,,,,-42.21M,-4.183M,-27.48M,19.85M,2.222M,22.07M,57.01M,-35.16M,-2.934M,,,
2011-06,36.47M,-0.043M,,-0.444M,-2.513M,32.06M,32.06M,,0.678M,-1.641M,6.80M,1.497M,,,-0.656M,6.00M,72.70M,-24.83M,1.497M,1.497M,-6.862M,,6.34M,-23.85M,-43.72M,,-43.72M,47.78M,,47.78M,,,,41.36M,-41.74M,-1.313M,-39.00M,10.00M,9.847M,19.85M,47.78M,-3.00M,-40.72M,,,
2011-03,32.38M,0.00,,-0.323M,-0.619M,30.57M,30.57M,,0.997M,-1.28M,3.779M,-18.36M,,,-1.466M,-17.33M,46.00M,-49.37M,,-19.20M,-0.085M,,-3.452M,-52.91M,-5.299M,,-5.299M,49.01M,,49.01M,,,,-41.36M,-41.36M,-1.242M,1.113M,15.80M,-5.796M,10.00M,49.01M,115.00M,-120.30M,,,
2010-12,34.30M,1.41M,,-0.554M,-0.554M,30.12M,30.12M,,2.545M,5.793M,1.232M,0.961M,,,2.902M,10.89M,77.05M,-14.86M,,17.58M,,16.93M,-4.022M,-75.78M,47.00M,,47.00M,0.613M,,0.613M,,,,,-41.30M,-0.962M,5.356M,9.174M,6.623M,15.80M,0.613M,50.00M,-2.998M,,,
2010-09,31.01M,0.00,,-0.125M,-0.125M,29.59M,29.59M,,0.536M,-0.75M,-9.701M,-0.005M,,,-0.216M,-10.67M,50.34M,-45.32M,0.00,-17.58M,,-0.21M,-3.833M,-49.36M,24.06M,,24.06M,2.508M,,2.508M,,,,81.16M,-40.66M,-1.274M,-15.36M,23.56M,-14.38M,9.174M,2.508M,26.55M,-2.489M,,,
2010-06,32.37M,-1.41M,,-0.188M,-1.598M,31.18M,31.18M,,0.059M,0.142M,3.512M,6.199M,,,-0.476M,9.377M,71.38M,-17.44M,0.00,0.00,,-16.72M,-2.551M,-36.71M,6.254M,,6.254M,2.122M,,2.122M,,,,-40.61M,-40.61M,-1.475M,-33.71M,22.59M,0.963M,23.56M,2.122M,9.791M,-3.537M,,,
2010-03,30.55M,,,-0.193M,2.608M,28.93M,28.93M,,0.959M,2.276M,2.133M,-8.034M,,,-1.467M,-5.092M,57.96M,-11.47M,,0.00,,0.00,-13.76M,-25.24M,-104.70M,,-104.70M,1.367M,,1.367M,,,,-40.55M,-40.55M,-1.635M,-145.52M,135.39M,-112.80M,22.59M,1.367M,148.62M,-253.32M,,,
2009-12,33.37M,0.00,,-0.248M,-0.248M,28.46M,28.46M,,-2.146M,0.951M,1.744M,2.462M,,,-2.026M,3.131M,62.56M,-38.24M,0.00,-10.53M,,-7.02M,-1.735M,-47.00M,-248.39M,,-248.39M,1.808M,,1.808M,,,,,-42.02M,,-288.60M,408.43M,-273.04M,135.39M,1.808M,0.00,-248.39M,,,
2009-09,28.84M,0.00,,-0.473M,-0.473M,28.41M,28.41M,,2.293M,-2.235M,-9.257M,2.123M,,,-1.705M,-11.07M,48.00M,-23.09M,0.00,0.00,,0.00,-2.261M,-25.35M,144.78M,,144.78M,110.90M,,110.90M,,,,,-39.96M,,215.73M,170.06M,238.37M,408.43M,110.90M,147.53M,-2.742M,,-0.596M,-45.52M
2009-06,29.79M,-0.383M,,-0.399M,-0.782M,29.63M,29.63M,,2.055M,3.684M,1.999M,2.348M,,,4.892M,12.92M,73.62M,-21.66M,2.122M,2.122M,,0.43M,-4.973M,-24.08M,136.32M,,136.32M,1.996M,,1.996M,,,,,-40.26M,,98.06M,22.46M,147.60M,170.06M,1.996M,509.12M,-372.80M,,0.596M,45.52M
2009-03,11.87M,-0.915M,,-0.202M,-1.117M,28.59M,28.59M,,21.39M,4.679M,4.798M,2.82M,,,-0.451M,11.85M,72.59M,-29.61M,,,,-0.43M,-0.864M,-30.90M,4.845M,,4.845M,0.799M,,0.799M,,,,,-40.09M,,-34.44M,15.22M,7.237M,22.46M,0.799M,17.50M,-12.66M,,,
2008-12,35.04M,-5.134M,,-0.432M,-5.566M,29.23M,29.23M,,0.856M,-3.426M,4.044M,-4.091M,,,-2.302M,-5.775M,53.78M,-39.80M,6.828M,6.783M,,,-7.387M,-40.36M,-8.718M,,-8.718M,1.164M,,1.164M,,,,,-39.64M,0.00,-47.19M,48.99M,-33.77M,15.22M,1.164M,-5.50M,-3.218M,,,
2008-09,38.42M,-7.438M,,-0.407M,-7.845M,28.64M,28.64M,,0.426M,-1.068M,-7.464M,3.345M,,,-2.933M,-8.12M,51.52M,-93.78M,38.06M,-18.89M,,,-1.829M,-57.55M,67.66M,,67.66M,4.787M,,4.787M,,,,,-37.51M,-0.20M,34.74M,20.28M,28.71M,48.99M,4.787M,100.00M,-32.34M,,,
2008-06,30.38M,0.00,,-0.442M,-0.442M,27.80M,27.80M,,0.111M,-0.678M,2.722M,1.035M,,,9.637M,12.72M,70.56M,-67.80M,0.00,-42.63M,,,-3.045M,-70.84M,27.28M,,27.28M,3.406M,,3.406M,,,,,-37.78M,,-7.094M,27.65M,-7.373M,20.28M,3.406M,29.00M,-1.719M,,,
2008-03,31.32M,0.00,,-0.331M,-0.331M,25.40M,25.40M,,0.192M,-1.131M,3.366M,-4.618M,,,-1.776M,-4.159M,52.42M,-36.23M,,,,,-2.585M,-38.82M,-2.039M,,-2.039M,2.228M,,2.228M,,,,,-36.83M,,-36.64M,50.69M,-23.04M,27.65M,2.228M,,-2.039M,,,
2007-12,122.17M,-95.82M,,-0.275M,-96.09M,26.51M,26.51M,,1.475M,-1.754M,-2.267M,-3.293M,,,8.731M,1.417M,55.48M,-51.37M,32.12M,12.21M,,-0.009M,-2.117M,-21.38M,-120.44M,,-120.44M,163.80M,,163.80M,,,,,-34.66M,-2.396M,6.311M,10.28M,40.41M,50.69M,163.80M,129.52M,-249.96M,,,
2007-09,23.52M,2.90M,,-0.473M,2.427M,26.07M,26.07M,,1.02M,-5.165M,-7.172M,5.999M,,,1.807M,-4.531M,48.50M,-35.86M,0.00,-0.075M,,-0.004M,-1.455M,-37.32M,19.02M,,19.02M,2.319M,,2.319M,,,,,-32.56M,-1.404M,-12.62M,11.72M,-1.437M,10.28M,2.319M,21.00M,-1.983M,,,
2007-06,26.72M,-1.849M,,-0.647M,-2.496M,26.90M,26.90M,,0.416M,1.764M,6.365M,-5.146M,,,0.024M,3.007M,54.55M,-64.43M,51.86M,26.95M,,1.214M,-2.79M,-14.15M,-12.44M,,-12.44M,2.263M,,2.263M,,,,,-32.42M,-2.069M,-44.66M,15.99M,-4.269M,11.72M,2.263M,-10.50M,-1.937M,,,
2007-03,23.14M,,,,,26.48M,26.48M,,0.412M,-1.588M,3.074M,2.706M,,,1.461M,5.653M,55.68M,-55.18M,,-24.59M,,-21.63M,-1.787M,-78.59M,57.78M,,57.78M,2.469M,,2.469M,,,,,-31.81M,-1.039M,27.40M,11.50M,4.492M,15.99M,2.469M,59.50M,-1.719M,,,
2006-12,0.485M,,,,,25.56M,25.56M,,26.27M,-1.329M,-2.08M,-3.843M,-6.087M,-2.283M,7.252M,-8.37M,43.95M,141.74M,0.00,-42.71M,,-0.002M,-225.89M,-84.15M,-142.65M,,50.78M,133.86M,,-1.136M,,,,,-32.40M,103.02M,-14.73M,66.42M,-54.93M,11.50M,133.86M,113.22M,-255.87M,,,
2006-09,48.76M,,,,,23.98M,23.98M,,-24.76M,-5.004M,-8.30M,11.99M,-6.813M,3.177M,3.636M,-1.317M,46.66M,-410.78M,6.597M,-184.39M,,-0.028M,188.80M,-215.41M,55.65M,,55.65M,155.79M,,155.79M,,,,,-32.32M,42.01M,221.13M,14.04M,52.38M,66.42M,155.79M,307.01M,-251.36M,,,
2006-06,23.22M,,,,,24.30M,24.30M,,0.98M,2.39M,0.222M,-4.719M,,,,-2.107M,46.40M,-52.76M,41.82M,29.38M,,-4.93M,9.891M,-5.976M,3.00M,,3.00M,0.975M,,0.975M,,,,,-32.30M,-2.845M,-31.17M,4.792M,9.25M,14.04M,0.975M,5.66M,-2.66M,,,
2006-03,22.29M,,,,,24.04M,24.04M,,1.282M,0.157M,1.044M,-1.413M,,,,-0.212M,47.40M,-64.87M,33.92M,13.08M,,0.00,19.05M,-11.90M,43.50M,,43.50M,2.558M,,2.558M,,,,,-42.83M,-42.58M,-39.35M,8.639M,-3.847M,4.792M,2.558M,84.00M,-40.50M,,,
2005-12,52.48M,,,,,23.19M,23.19M,,-4.488M,-4.488M,3.567M,-1.989M,6.317M,1.039M,-5.282M,-0.836M,39.60M,-14.25M,51.76M,22.30M,,-0.013M,-88.03M,-50.54M,,,,3.704M,,3.704M,,,,,-41.70M,41.00M,3.007M,16.57M,-7.934M,8.639M,3.704M,-41.00M,41.00M,,,
2005-09,21.22M,,,,,22.72M,22.72M,,4.459M,1.657M,-10.99M,5.714M,-9.331M,6.651M,3.617M,-2.68M,45.72M,113.53M,36.67M,36.62M,,0.00,-152.48M,-2.274M,-49.00M,,-49.00M,1.628M,,1.628M,,,,,-31.84M,38.72M,-40.50M,13.62M,2.948M,16.57M,1.628M,-8.00M,-41.00M,,,
2005-06,21.20M,,,,,22.99M,22.99M,,4.898M,0.30M,4.482M,-3.572M,4.782M,-3.471M,-1.21M,1.311M,50.41M,-39.96M,11.21M,8.071M,,0.00,10.18M,-18.58M,-6.286M,-65.00M,-71.29M,-7.675M,,-7.675M,,,,,-28.34M,61.46M,-45.85M,27.64M,-14.02M,13.62M,-7.675M,-16.00M,9.714M,,,
2005-03,19.72M,,,,,22.60M,22.60M,,2.416M,-4.707M,2.939M,-1.107M,-1.768M,-4.219M,2.875M,-5.987M,38.74M,-156.24M,13.50M,-50.77M,,,61.88M,-80.86M,55.29M,65.00M,120.29M,13.58M,,13.58M,,,,,-28.61M,-65.96M,39.29M,30.48M,-2.83M,27.64M,13.58M,65.00M,-9.714M,,,
2004-12,31.25M,,,,,22.91M,22.91M,,3.307M,5.143M,,-1.808M,5.155M,-13.51M,6.536M,1.519M,44.94M,151.78M,34.28M,29.87M,97.27M,4.633M,-289.70M,-1.732M,-41.57M,49.75M,8.184M,1.248M,,1.248M,,,,,-28.43M,-17.17M,-36.17M,23.44M,7.038M,30.48M,1.248M,-75.00M,33.43M,,,
2004-09,17.66M,,,,,23.67M,23.67M,,5.489M,-0.726M,,4.684M,-4.729M,11.48M,-11.29M,-0.584M,46.24M,-37.38M,2.563M,2.423M,-97.27M,-14.06M,124.95M,-21.20M,53.31M,-72.50M,-19.19M,2.353M,,2.353M,,,,,-27.59M,-2.274M,-46.70M,45.10M,-21.67M,23.44M,2.353M,-22.75M,53.31M,,,
2004-06,18.06M,,,,,23.20M,23.20M,,1.649M,-0.39M,,-1.205M,2.40M,-4.144M,4.758M,1.419M,44.32M,1.016M,19.28M,19.28M,97.13M,,-131.54M,-14.11M,-46.38M,-42.50M,-88.88M,103.48M,,103.48M,,,,,-26.40M,-1.249M,-13.05M,27.94M,17.16M,45.10M,103.48M,-42.50M,-46.38M,,,
2004-03,17.19M,,,,,20.66M,20.66M,,0.626M,-4.027M,,0.864M,-2.826M,6.17M,,0.181M,38.66M,-217.10M,0.00,-97.13M,-97.13M,,193.67M,-120.57M,34.64M,65.25M,99.88M,1.971M,,1.971M,,,,,-26.34M,-0.63M,74.88M,34.97M,-7.028M,27.94M,1.971M,140.25M,-40.36M,,,
2003-12,43.12M,,,,,20.30M,20.30M,,-15.79M,4.765M,,1.599M,17.45M,-0.208M,-5.73M,17.87M,45.45M,123.65M,22.70M,-12.37M,15.56M,0.00,-200.30M,-38.39M,-9.75M,-127.00M,-136.75M,-98.90M,100.00M,1.101M,,100.00M,100.00M,,-26.32M,56.22M,-5.753M,33.66M,1.312M,34.97M,-98.90M,-84.75M,75.00M,200.00M,,
