,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2017-06,,96.33M,,96.33M,169.00M,30.43M,,199.42M,210.68M,506.43M,,,,,,13.97M,,,,5.297B,5.804B,190.46M,71.71M,16.62M,278.79M,,278.79M,,,,,,278.79M,3.071B,71.57M,3.143B,143.00M,143.00M,,94.31M,152.04M,,3.438B,3.717B,10.72M,-759.06M,2.742B,,9.997M,-1.10M,1.992B
2017-03,,20.11M,,20.11M,115.78M,29.90M,,145.68M,226.75M,392.54M,,,,,,14.54M,,,,5.264B,5.656B,191.90M,71.65M,16.50M,280.05M,,280.05M,,,,,,280.05M,2.942B,71.58M,3.013B,144.98M,144.98M,,95.11M,141.00M,,3.299B,3.579B,10.72M,-764.46M,2.737B,,9.997M,-1.493M,1.982B
2016-12,,23.37M,,23.37M,116.75M,29.90M,,146.65M,208.56M,378.58M,,,,,,14.86M,,,,5.045B,5.423B,201.76M,71.44M,16.28M,289.48M,,289.48M,,,,,,289.48M,2.727B,71.59M,2.798B,115.82M,115.82M,,99.10M,143.69M,,3.058B,3.347B,10.72M,-749.73M,2.718B,,9.997M,-2.577M,1.977B
2016-09,,101.28M,,101.28M,120.14M,29.90M,,150.04M,219.07M,470.39M,,,,,,11.13M,,,,4.927B,5.397B,184.01M,71.23M,16.23M,271.47M,,271.47M,,,,,,271.47M,2.738B,71.60M,2.810B,119.23M,119.23M,,98.52M,125.86M,,3.055B,3.326B,10.72M,-737.12M,2.704B,,9.997M,-5.394M,1.973B
2016-06,,18.62M,,18.62M,114.43M,41.62M,,156.05M,197.15M,371.82M,,,,,,9.807M,,,,4.817B,5.188B,171.98M,67.93M,15.87M,255.78M,,255.78M,,,,,,255.78M,2.593B,71.60M,2.665B,118.65M,118.65M,,99.25M,126.10M,,2.910B,3.165B,10.71M,-725.66M,2.646B,,9.997M,-7.293M,1.924B
2016-03,,19.72M,,19.72M,113.75M,41.62M,,155.37M,198.15M,373.24M,,,,,,10.46M,,,,4.752B,5.125B,165.41M,67.59M,15.84M,248.84M,,248.84M,,,,,,248.84M,2.588B,71.61M,2.659B,122.12M,122.12M,,113.99M,126.23M,,2.908B,3.157B,10.71M,-714.45M,2.566B,,9.997M,-6.885M,1.855B
2015-12,,21.05M,,21.05M,110.40M,41.62M,,152.02M,191.58M,364.65M,,,,,,41.55M,,,,4.532B,4.897B,146.53M,66.34M,15.44M,228.31M,,228.31M,,,,,,228.31M,2.556B,71.62M,2.627B,121.79M,121.79M,,118.18M,137.32M,,2.886B,3.115B,10.69M,-724.70M,2.382B,,9.997M,-4.11M,1.664B
2015-09,,12.86M,,12.86M,112.27M,41.25M,,153.52M,188.50M,354.88M,,,,,,41.33M,,16.92M,,4.429B,4.784B,154.76M,66.30M,15.87M,236.93M,,236.93M,,,,,,236.93M,2.461B,71.63M,2.533B,115.30M,115.30M,,111.87M,121.17M,,2.769B,3.006B,10.69M,-727.20M,2.389B,,9.997M,-7.13M,1.666B
2015-06,,22.18M,,22.18M,106.22M,50.68M,,156.90M,165.68M,344.76M,,,,,,37.75M,,15.55M,,4.389B,4.734B,137.94M,60.99M,14.90M,213.84M,,213.84M,,,,,,213.84M,2.468B,71.63M,2.540B,118.57M,118.57M,,105.99M,120.36M,,2.778B,2.992B,10.69M,-714.24M,2.344B,,9.997M,-4.909M,1.636B
2015-03,,171.44M,,171.44M,100.98M,50.91M,,151.89M,166.92M,490.25M,,,,,,37.54M,,16.58M,,4.290B,4.781B,149.38M,60.70M,14.37M,224.45M,,224.45M,,,,,,224.45M,2.565B,71.64M,2.637B,108.50M,108.50M,,100.36M,119.14M,,2.864B,3.089B,10.68M,-697.69M,2.285B,,9.997M,-5.976M,1.592B
2014-12,,47.95M,,47.95M,93.29M,50.99M,,144.28M,160.17M,352.40M,,,,,,37.46M,,15.07M,,4.194B,4.547B,145.68M,60.62M,14.12M,220.42M,,220.42M,,,,,,220.42M,2.338B,71.65M,2.410B,105.16M,105.16M,,88.16M,119.05M,,2.634B,2.854B,10.68M,-683.99M,2.281B,,9.997M,-3.515M,1.604B
2014-09,,23.92M,,23.92M,104.75M,51.19M,,155.94M,148.43M,328.28M,,,,,,32.72M,,13.07M,,4.151B,4.479B,160.20M,60.20M,13.73M,234.14M,,234.14M,,,,,,234.14M,2.293B,71.65M,2.365B,107.86M,107.86M,,88.28M,110.86M,,2.584B,2.818B,10.68M,-659.33M,2.224B,,9.997M,-1.76M,1.573B
2014-06,,41.31M,,41.31M,97.74M,54.93M,,152.67M,128.56M,322.55M,,,,,,35.51M,,13.24M,,4.109B,4.431B,168.62M,53.63M,13.50M,235.75M,,235.75M,,,,,,235.75M,2.286B,71.66M,2.358B,109.24M,109.24M,,88.30M,110.69M,,2.578B,2.813B,10.68M,-647.01M,2.170B,,9.997M,-4.06M,1.530B
2014-03,,75.70M,,75.70M,92.77M,55.29M,,148.06M,130.92M,354.68M,,,,,,32.14M,,13.70M,,4.051B,4.406B,157.36M,53.31M,13.12M,223.79M,,223.79M,,,,,,223.79M,2.320B,71.66M,2.392B,105.28M,105.28M,,88.53M,110.37M,,2.608B,2.831B,10.67M,-637.64M,2.115B,,9.997M,-1.96M,1.486B
2013-12,,88.93M,,88.93M,84.84M,55.16M,,139.99M,145.06M,373.98M,,,,,,32.26M,,14.06M,,3.845B,4.219B,156.27M,52.38M,12.77M,221.43M,,221.43M,,,,,,221.43M,2.250B,71.67M,2.322B,100.28M,100.28M,,23.14M,104.42M,,2.527B,2.748B,10.66M,-623.80M,2.063B,,9.997M,-1.417M,1.448B
2013-09,,127.83M,,127.83M,87.28M,55.20M,,142.48M,132.83M,403.14M,,,,,,32.97M,,12.64M,,3.756B,4.159B,160.63M,51.85M,12.60M,225.08M,,225.08M,,,,,,225.08M,2.235B,71.68M,2.306B,103.27M,103.27M,,23.12M,93.82M,,2.503B,2.728B,10.66M,-600.09M,2.001B,,9.997M,-3.539M,1.408B
2013-06,,108.37M,,108.37M,84.10M,55.49M,,139.60M,125.80M,373.77M,,,,,,33.03M,,13.41M,,3.711B,4.085B,138.93M,48.30M,12.76M,199.99M,,199.99M,,,,,,199.99M,2.238B,71.68M,2.310B,97.30M,97.30M,,23.07M,94.15M,,2.501B,2.701B,10.65M,-610.57M,1.963B,,9.997M,-2.368M,1.361B
2013-03,,31.27M,,31.27M,77.15M,55.69M,,132.85M,131.19M,295.31M,,,,,,33.13M,,10.10M,,3.611B,3.906B,126.72M,47.98M,13.06M,187.76M,,187.76M,,,,,,187.76M,2.124B,71.69M,2.196B,94.50M,94.50M,,23.48M,94.25M,,2.385B,2.572B,10.65M,-600.02M,1.910B,,9.997M,-10.77M,1.310B
2012-12,,36.99M,,36.99M,73.86M,55.65M,,129.51M,132.66M,299.16M,,,,,,33.17M,,10.86M,,3.599B,3.899B,120.93M,47.68M,12.96M,181.57M,,181.57M,,,,,,181.57M,2.137B,71.69M,2.209B,103.38M,103.38M,,23.78M,94.42M,,2.406B,2.588B,10.64M,-586.97M,1.876B,,9.997M,-12.39M,1.287B
2012-09,,147.68M,,147.68M,82.15M,55.66M,,137.81M,,285.49M,4.276B,264.98M,4.541B,-1.195B,3.346B,33.87M,,,11.59M,3.519B,3.804B,134.24M,47.56M,,181.80M,,181.80M,,,,,,181.80M,2.107B,71.70M,2.178B,,50.35M,,106.08M,,,2.229B,2.411B,10.64M,-577.21M,1.867B,,9.997M,-13.23M,1.288B
2012-06,,82.77M,,82.77M,76.60M,55.89M,,132.49M,,215.26M,4.265B,211.72M,4.476B,-1.169B,3.307B,34.06M,,,10.34M,3.466B,3.681B,123.53M,44.59M,,168.12M,,168.12M,,,,,,168.12M,2.039B,71.70M,2.110B,,54.17M,,106.24M,,,2.164B,2.333B,10.64M,-568.54M,1.810B,,9.997M,-10.38M,1.242B
2012-03,,69.18M,,69.18M,75.87M,56.08M,,131.95M,,201.13M,4.251B,200.88M,4.452B,-1.150B,3.302B,34.16M,,,11.03M,3.468B,3.669B,104.79M,44.47M,,149.27M,,149.27M,,,,,,149.27M,2.044B,71.71M,2.115B,,,,106.81M,,55.77M,2.171B,2.320B,10.64M,-556.78M,1.790B,,9.997M,-2.582M,1.242B
2011-12,,67.81M,,67.81M,75.92M,55.97M,,131.89M,121.49M,321.19M,,,,,,34.35M,,11.82M,,3.345B,3.666B,104.66M,44.23M,12.22M,161.11M,,161.11M,,,,,,161.11M,2.047B,63.09M,2.110B,68.76M,68.76M,,24.51M,85.32M,,2.264B,2.426B,10.63M,-555.54M,1.765B,,9.997M,-3.94M,1.216B
2011-09,,22.07M,,22.07M,78.50M,56.08M,,134.58M,,156.65M,3.817B,207.72M,4.025B,-1.103B,2.922B,57.83M,,,9.324M,3.098B,3.255B,101.66M,44.20M,,145.86M,,145.86M,,,,,,145.86M,1.667B,63.46M,1.731B,,,,30.72M,,54.99M,1.786B,1.932B,10.63M,-542.48M,1.824B,,9.997M,,1.292B
2011-06,,19.85M,,19.85M,73.92M,56.62M,,130.54M,,150.38M,3.812B,180.74M,3.993B,-1.085B,2.908B,57.86M,,,5.89M,3.070B,3.221B,98.42M,42.45M,,140.87M,,140.87M,,,,,,140.87M,1.701B,59.25M,1.760B,,,5.89M,31.33M,,49.72M,1.816B,1.957B,10.62M,-545.59M,1.768B,,9.997M,,1.233B
2011-03,,10.00M,,10.00M,71.41M,44.92M,,116.33M,,126.33M,3.821B,167.33M,3.988B,-1.060B,2.928B,51.27M,,,6.374M,3.091B,3.217B,92.27M,42.05M,,134.32M,,134.32M,,,,,,134.32M,1.744B,59.60M,1.804B,,,,31.25M,,57.42M,1.861B,1.996B,10.62M,-538.20M,1.718B,,9.997M,,1.190B
2010-12,,15.80M,,15.80M,69.00M,44.81M,,113.81M,,129.61M,3.733B,163.20M,3.896B,-1.035B,2.861B,51.61M,,,6.916M,3.030B,3.160B,114.32M,41.60M,,155.93M,,155.93M,,,,,,155.93M,1.080B,,1.080B,,55.35M,,31.30M,,687.32M,1.822B,1.978B,10.61M,-527.58M,1.667B,,9.997M,,1.150B
2010-09,,9.174M,,9.174M,,,,74.44M,105.62M,189.24M,3.689B,158.06M,3.847B,-1.012B,2.835B,51.77M,43.83M,,7.43M,2.938B,3.127B,124.27M,41.55M,,165.82M,,165.82M,,,,,,165.82M,1.660B,61.31M,1.721B,,53.27M,,31.38M,,,1.774B,1.940B,10.61M,-519.05M,1.664B,,9.997M,,1.155B
2010-06,,23.56M,,23.56M,,,,72.81M,86.89M,183.26M,3.661B,144.99M,3.806B,-987.32M,2.818B,51.93M,42.29M,,7.958M,2.920B,3.104B,118.86M,40.91M,,159.77M,,159.77M,,,,,,159.77M,1.636B,61.63M,1.697B,,52.33M,,31.29M,,,1.749B,1.909B,10.61M,-507.39M,1.660B,,9.997M,,1.163B
2010-03,,22.59M,,22.59M,,,,70.95M,91.44M,184.99M,3.651B,138.17M,3.789B,-963.17M,2.826B,35.45M,41.76M,,8.429M,2.911B,3.096B,109.15M,40.86M,,150.01M,,150.01M,,,,,,150.01M,1.629B,61.96M,1.691B,,55.09M,,31.42M,,,1.746B,1.896B,10.61M,-497.84M,1.656B,,9.997M,,1.169B
2009-12,,135.39M,,135.39M,72.19M,48.34M,,120.53M,,255.92M,3.626B,132.76M,3.759B,-938.09M,2.821B,35.63M,,,10.35M,2.966B,3.222B,120.77M,40.80M,,161.57M,,161.57M,,,,,,161.57M,930.22M,,930.22M,,57.83M,,31.73M,,863.63M,1.852B,2.013B,10.61M,-486.45M,1.653B,,9.997M,,1.177B
2009-09,,408.43M,,408.43M,,,,72.19M,95.53M,576.15M,3.644B,84.17M,3.728B,-913.94M,2.814B,28.83M,48.40M,,13.08M,2.904B,3.480B,121.78M,40.76M,,162.54M,,162.54M,,,,,,162.54M,1.980B,62.59M,2.042B,,61.27M,,31.84M,,,2.103B,2.266B,10.61M,-477.87M,1.650B,,9.997M,,1.182B
2009-06,,170.06M,,170.06M,,,,68.73M,87.17M,325.96M,3.576B,131.51M,3.708B,-889.32M,2.819B,28.80M,48.46M,,13.07M,2.909B,3.235B,121.16M,38.83M,,159.99M,,159.99M,,,,,,159.99M,1.833B,62.89M,1.896B,,64.00M,,31.81M,,,1.960B,2.120B,10.59M,-464.79M,1.537B,,9.997M,,1.083B
2009-03,,22.46M,,22.46M,,,,71.78M,88.36M,182.60M,3.568B,125.07M,3.694B,-865.99M,2.828B,28.73M,,,52.07M,2.908B,3.091B,118.46M,38.78M,,157.24M,,157.24M,,,,,,157.24M,1.687B,63.20M,1.751B,,61.47M,,32.13M,,,1.812B,1.969B,10.59M,-454.63M,1.534B,,9.997M,,1.089B
2008-12,,15.22M,,15.22M,,,,73.69M,95.34M,184.26M,3.558B,115.19M,3.674B,-846.26M,2.827B,29.25M,45.78M,,6.062M,2.909B,3.093B,98.26M,38.72M,,136.98M,,136.98M,,,,,,136.98M,1.682B,63.49M,1.746B,,63.06M,,32.35M,,,1.809B,1.946B,10.59M,-426.57M,1.531B,,9.997M,,1.115B
2008-09,,48.99M,,48.99M,,,,69.44M,100.19M,218.62M,3.548B,91.17M,3.639B,-822.29M,2.817B,29.42M,40.44M,,6.474M,2.893B,3.112B,103.95M,38.70M,,142.65M,,142.65M,,,,,,142.65M,1.691B,63.78M,1.755B,,65.62M,,32.08M,,,1.820B,1.963B,10.60M,-421.82M,1.557B,28.81M,9.997M,0.086M,1.117B
2008-06,,20.28M,,20.28M,,,,66.43M,95.76M,182.47M,3.458B,110.93M,3.569B,-801.75M,2.768B,29.40M,40.49M,,6.553M,2.844B,3.027B,110.94M,36.30M,,147.23M,,147.23M,,,,,,147.23M,1.590B,75.59M,1.666B,,70.10M,,32.04M,,,1.736B,1.883B,10.60M,-420.47M,1.551B,28.81M,9.997M,-0.046M,1.111B
2008-03,,27.65M,29.55M,57.20M,,,,64.59M,93.63M,215.42M,,,3.495B,-778.80M,2.716B,29.55M,81.40M,,,2.827B,2.979B,468.09M,36.22M,,504.31M,,504.31M,,210.77M,210.77M,75.84M,286.61M,790.92M,912.40M,75.84M,988.24M,,,,32.28M,,,988.24M,1.834B,10.60M,-413.38M,1.545B,28.81M,9.997M,-0.54M,1.112B
2007-12,,50.69M,,50.69M,,,,61.11M,103.62M,215.42M,3.305B,147.92M,3.453B,-756.70M,2.696B,29.65M,40.64M,,7.45M,2.774B,2.989B,110.06M,36.14M,,146.20M,,146.20M,,,,,,146.20M,1.562B,76.11M,1.638B,,58.18M,,31.82M,,,1.697B,1.843B,10.60M,-407.38M,1.541B,28.81M,9.997M,,1.115B
2007-09,,10.28M,30.20M,40.48M,,,,59.96M,106.55M,206.99M,,,3.480B,-805.61M,2.675B,30.20M,81.26M,,,2.786B,2.930B,475.06M,34.89M,,509.95M,,509.95M,,,,152.86M,152.86M,662.82M,1.165B,152.86M,1.318B,,,,34.35M,,,1.318B,2.034B,10.58M,-493.64M,1.375B,28.81M,9.997M,,861.92M
2007-06,,11.72M,,11.72M,,,,52.75M,101.40M,165.87M,,,3.442B,-785.29M,2.656B,30.19M,81.55M,,,2.768B,2.901B,468.84M,32.88M,,501.71M,,501.71M,,,,150.81M,150.81M,652.53M,1.146B,150.81M,1.297B,,,,38.03M,,,1.297B,1.998B,10.58M,-482.49M,1.366B,28.81M,9.997M,,864.95M
2007-03,,15.99M,,15.99M,,,,51.00M,102.02M,169.00M,,,3.443B,-763.58M,2.680B,31.66M,81.43M,,,2.793B,2.929B,447.44M,32.66M,,480.10M,,480.10M,,,,149.07M,149.07M,629.17M,1.158B,149.07M,1.307B,,,,38.62M,,,1.307B,2.024B,10.58M,-476.65M,1.363B,28.81M,9.997M,,866.98M
2006-12,,11.50M,,11.50M,,,,47.49M,106.17M,165.16M,,,3.204B,-740.51M,2.464B,10.32M,81.51M,,,2.556B,2.689B,376.96M,31.81M,,408.76M,,408.76M,,109.02M,109.02M,149.36M,258.38M,667.15M,988.27M,149.36M,1.138B,,,,22.19M,,,1.138B,1.882B,0.568M,-467.37M,1.281B,28.81M,,0.00,784.08M
2006-09,,66.42M,10.58M,77.00M,,,,45.27M,98.92M,221.20M,,,3.088B,-718.01M,2.370B,10.58M,81.59M,,,2.463B,2.640B,349.52M,33.68M,,383.20M,,383.20M,,,,147.90M,147.90M,531.10M,854.34M,147.90M,1.002B,,,,18.64M,,,1.002B,1.697B,135.57M,-453.41M,1.273B,28.81M,135.00M,0.00,924.60M
2006-06,,14.04M,,14.04M,,,,38.66M,83.91M,136.61M,,,2.853B,-696.69M,2.156B,10.64M,81.59M,,,2.248B,2.348B,348.80M,31.36M,,380.17M,,380.17M,,,,148.21M,148.21M,528.38M,474.10M,148.21M,622.31M,,,,19.22M,,,622.31M,1.552B,135.54M,-443.76M,1.115B,28.81M,135.00M,1.276M,777.33M
2006-03,,4.792M,,4.792M,,,,39.41M,85.59M,129.80M,,,2.845B,-682.05M,2.163B,9.376M,80.74M,,,2.253B,2.348B,356.86M,31.34M,,388.20M,,388.20M,,360.21M,360.21M,148.52M,508.73M,896.93M,473.75M,148.52M,622.27M,,,,19.48M,,,622.27M,1.559B,135.54M,-449.69M,1.112B,28.81M,135.00M,2.121M,769.71M
2005-12,,8.639M,,8.639M,,,,38.16M,83.17M,129.97M,2.779B,50.59M,2.829B,-663.75M,2.166B,9.375M,40.53M,,,2.215B,2.351B,367.79M,31.27M,,399.06M,,399.06M,316.76M,,316.76M,148.82M,465.57M,864.63M,653.68M,,653.68M,,,,19.19M,,,653.68M,1.557B,135.54M,-437.82M,1.115B,28.79M,135.00M,2.678M,774.85M
2005-09,,16.57M,,16.57M,,,,34.38M,76.92M,127.88M,,,2.769B,-644.99M,2.124B,9.425M,74.35M,,,2.208B,2.303B,344.42M,31.18M,,375.60M,,375.60M,,357.30M,357.30M,158.16M,515.46M,891.06M,418.67M,158.16M,576.83M,,,,19.28M,,,576.83M,1.506B,135.54M,-430.15M,1.110B,28.79M,135.00M,3.041M,777.91M
2005-06,,13.62M,,13.62M,,,,34.82M,67.91M,116.36M,,,2.755B,-630.86M,2.124B,9.519M,83.76M,,,2.217B,2.297B,330.81M,31.14M,,361.95M,,361.95M,,365.34M,365.34M,158.46M,523.80M,885.75M,417.81M,158.46M,576.26M,,,,19.13M,,,576.26M,1.500B,135.54M,-428.70M,1.108B,28.79M,135.00M,2.772M,777.58M
2005-03,,27.64M,,27.64M,,,,41.04M,72.41M,141.09M,,,2.741B,-612.60M,2.128B,9.496M,85.67M,,,2.223B,2.327B,322.99M,28.42M,,351.41M,,351.41M,,381.38M,381.38M,158.75M,540.13M,891.54M,417.46M,158.75M,576.20M,,,,19.51M,,,576.20M,1.507B,135.54M,-421.40M,1.125B,28.79M,135.00M,3.437M,800.83M
2004-12,,30.48M,,30.48M,,,,34.85M,71.77M,137.09M,2.536B,130.04M,2.666B,-595.34M,2.071B,9.631M,42.91M,,,2.123B,2.267B,340.19M,28.24M,,368.43M,,368.43M,325.05M,,325.05M,159.00M,484.05M,852.48M,568.12M,,568.12M,,,,18.95M,,,568.12M,1.457B,135.54M,-416.03M,1.108B,28.79M,135.00M,2.321M,790.53M
2004-09,,23.44M,,23.44M,,,,34.75M,70.18M,128.37M,,,2.660B,-573.25M,2.087B,14.08M,90.16M,,,2.191B,2.281B,337.27M,28.06M,,365.34M,,365.34M,,320.09M,320.09M,159.18M,479.27M,844.61M,408.80M,159.18M,567.98M,,,,35.25M,,,567.98M,1.456B,135.53M,-408.75M,1.101B,28.76M,135.00M,1.488M,789.76M
2004-06,,45.10M,,45.10M,,,,34.49M,68.42M,148.01M,,,2.624B,-552.14M,2.072B,,89.81M,,,2.162B,2.275B,314.10M,27.23M,,341.34M,,341.34M,,338.50M,338.50M,159.29M,497.79M,839.12M,411.21M,159.29M,570.50M,,,,29.86M,,,570.50M,1.455B,135.53M,-398.39M,1.091B,28.44M,135.00M,2.762M,789.98M
2004-03,,27.94M,,27.94M,,,,34.92M,68.53M,131.38M,,,2.597B,-532.28M,2.065B,,42.42M,,,2.107B,2.249B,323.76M,26.08M,,349.84M,,349.84M,,426.54M,426.54M,159.39M,585.92M,935.77M,411.11M,159.39M,570.50M,,,,28.95M,,,570.50M,1.536B,135.51M,-396.53M,987.21M,28.44M,135.00M,-1.029M,683.64M
2003-12,,,,,,,,,,,,,,,1.956B,,,,,1.956B,2.141B,,,,,,,361.32M,,361.32M,,361.32M,361.32M,532.75M,,532.75M,,,,,,,532.75M,1.450B,,,,,,,691.37M
