,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2015-02,883.40M,1.109B,633.54M,475.31M,301.69M,0.00,16.25M,0.096M,-16.16M,,301.69M,173.62M,0.096M,16.25M,-16.16M,0.00,-16.16M,157.46M,57.13M,100.33M,-5.448M,,94.88M,100.33M,211.60M,,2015-02,0.86,-0.05,,,2015-02,0.85,-0.05,,,2015-02,116.18M,,2015-02,AOR,Restated
2014-11,891.48M,1.123B,641.96M,481.42M,299.84M,0.00,15.93M,0.019M,-15.91M,,299.84M,181.58M,0.019M,15.93M,-15.91M,0.00,-15.91M,165.67M,61.97M,103.70M,16.71M,,120.41M,103.70M,220.10M,,2014-11,0.88,0.14,,,2014-11,0.86,0.14,,,2014-11,117.12M,,2014-11,AOR,Restated
2014-08,873.70M,1.102B,624.13M,477.95M,314.46M,21.74M,16.58M,0.053M,-16.53M,,314.46M,163.49M,0.053M,16.58M,-16.53M,21.74M,-16.53M,168.70M,62.79M,105.90M,4.203M,,110.11M,92.25M,224.93M,,2014-08,0.90,0.04,,,2014-08,0.89,0.04,,,2014-08,116.66M,,2014-08,AOR,Restated
2014-05,905.75M,858.69M,501.74M,356.95M,197.82M,2.158M,16.40M,0.033M,-16.36M,,197.82M,159.14M,0.033M,16.40M,-16.36M,2.158M,-16.36M,144.93M,53.34M,91.59M,35.63M,,127.22M,90.23M,206.90M,,2014-05,1.04,0.29,,,2014-05,1.03,0.29,,,2014-05,119.53M,,2014-05,AOR,Restated
2014-02,801.70M,1.111B,641.34M,469.63M,317.87M,-2.158M,16.42M,0.044M,-16.37M,,317.87M,151.76M,0.044M,16.42M,-16.37M,-2.158M,-16.37M,133.23M,48.90M,84.33M,0.276M,,84.60M,85.69M,198.01M,,2014-02,0.70,0.00,,,2014-02,0.69,0.00,,,2014-02,119.91M,,2014-02,AOR,Restated
2013-11,804.32M,1.124B,656.85M,467.08M,314.87M,0.00,16.48M,0.084M,-16.40M,,314.87M,152.21M,0.084M,16.48M,-16.40M,0.00,-16.40M,135.81M,51.35M,84.46M,0.406M,,84.86M,84.46M,200.82M,,2013-11,0.70,0.01,,,2013-11,0.69,0.01,,,2013-11,119.91M,,2013-11,AOR,Restated
2013-08,792.87M,1.100B,644.15M,456.10M,316.48M,0.00,16.52M,0.068M,-16.46M,,316.48M,139.61M,0.068M,16.52M,-16.46M,0.00,-16.46M,123.16M,45.76M,77.40M,0.356M,,77.75M,77.40M,188.07M,,2013-08,0.63,0.00,,,2013-08,0.63,0.00,,,2013-08,122.13M,,2013-08,AOR,Restated
2013-05,785.02M,1.059B,625.12M,433.46M,278.82M,,16.52M,0.051M,-16.47M,,278.82M,154.64M,0.051M,16.52M,-16.47M,,-16.47M,138.17M,51.05M,87.12M,,,85.98M,87.12M,202.94M,,2013-05,0.69,,,,2013-05,0.69,,,,2013-05,122.38M,,2013-05,AOR,Restated
2013-02,748.89M,1.076B,633.73M,441.94M,308.92M,,16.30M,0.132M,-16.17M,,308.92M,133.02M,0.132M,16.30M,-16.17M,,-16.17M,116.85M,42.15M,74.70M,,,74.70M,74.70M,180.99M,,2013-02,0.60,,,,2013-02,0.60,,,,2013-02,123.12M,,2013-02,AOR,Restated
2012-11,755.84M,1.060B,628.35M,432.04M,293.01M,,16.29M,0.149M,-16.14M,,293.01M,139.02M,0.149M,16.29M,-16.14M,,-16.14M,122.88M,44.85M,78.03M,,,78.03M,78.03M,186.02M,,2012-11,0.63,,,,2012-11,0.63,,,,2012-11,124.18M,,2012-11,AOR,Restated
2012-08,754.84M,1.051B,605.45M,445.88M,306.58M,,16.60M,0.077M,-16.52M,,306.58M,139.29M,0.077M,16.60M,-16.52M,,-16.52M,122.77M,46.04M,76.73M,,,76.73M,76.73M,185.81M,,2012-08,0.61,,,,2012-08,0.60,,,,2012-08,126.11M,,2012-08,AOR,Restated
2012-05,749.04M,1.054B,609.71M,443.87M,303.04M,,18.34M,0.801M,-17.54M,,303.04M,140.83M,0.801M,18.34M,-17.54M,,-17.54M,123.29M,44.68M,78.61M,,,78.61M,78.61M,190.71M,,2012-05,0.60,,,,2012-05,0.60,,,,2012-05,128.78M,,2012-05,AOR,Restated
2012-02,721.01M,1.012B,586.21M,425.90M,288.37M,,17.22M,0.373M,-16.85M,,288.37M,137.54M,0.373M,17.22M,-16.85M,,-16.85M,120.69M,44.66M,76.04M,,,76.04M,76.04M,206.07M,,2012-02,0.58,,,,2012-02,0.58,,,,2012-02,129.74M,,2012-02,AOR,Restated
2011-11,1.019B,1.019B,589.33M,429.80M,297.11M,,17.73M,0.403M,-17.32M,,297.11M,132.68M,0.403M,17.73M,-17.32M,,-17.32M,115.36M,41.01M,74.35M,,,74.35M,74.35M,171.73M,,2011-11,0.57,0.00,,,2011-11,0.57,0.00,,,2011-11,129.73M,,2011-11,AOR,Restated
2011-08,1.017B,1.017B,578.14M,439.04M,310.47M,,17.33M,0.365M,-16.97M,,310.47M,128.57M,0.365M,17.33M,-16.97M,,-16.97M,111.60M,42.97M,68.64M,,,68.64M,68.64M,167.22M,,2011-08,0.52,0.00,,,2011-08,0.52,0.00,,,2011-08,131.31M,,2011-08,AOR,Restated
2011-05,-106.05M,1.012B,579.04M,433.05M,304.17M,,12.75M,0.778M,-11.97M,,304.17M,128.88M,0.778M,12.75M,-11.97M,,-11.97M,116.91M,46.13M,70.78M,,,70.78M,70.78M,211.00M,,2011-05,0.49,,,,2011-05,0.49,,,,2011-05,143.29M,,2011-05,AOR,Restated
2011-02,937.83M,937.83M,545.91M,391.92M,283.04M,,12.52M,0.28M,-12.24M,,283.04M,108.88M,0.28M,12.52M,-12.24M,,-12.24M,96.64M,37.57M,59.07M,,,59.07M,59.07M,146.72M,,2011-02,0.41,0.00,,,2011-02,0.41,0.00,,,2011-02,145.30M,,2011-02,AOR,
2010-11,936.57M,936.57M,545.92M,390.65M,288.30M,,12.16M,0.394M,-11.77M,,288.30M,102.34M,0.394M,12.16M,-11.77M,,-11.77M,90.58M,34.71M,55.87M,,,55.87M,55.87M,139.94M,,2010-11,0.38,0.00,,,2010-11,0.38,0.00,,,2010-11,145.51M,,2010-11,AOR,Restated
2010-08,923.90M,923.90M,530.23M,393.67M,293.42M,,12.27M,0.578M,-11.70M,,293.42M,100.25M,0.578M,12.27M,-11.70M,,-11.70M,88.55M,27.27M,61.28M,,,61.28M,61.28M,138.19M,,2010-08,0.40,0.00,,,2010-08,0.40,0.00,,,2010-08,152.16M,,2010-08,AOR,Restated
2010-05,909.45M,909.45M,523.88M,385.57M,286.93M,,12.42M,0.60M,-11.82M,,286.93M,98.64M,0.60M,12.42M,-11.82M,,-11.82M,89.70M,34.22M,55.48M,,,55.48M,55.48M,140.34M,,2010-05,0.36,0.00,,,2010-05,0.36,0.00,,,2010-05,152.87M,,2010-05,AOR,Restated
2010-02,861.81M,861.81M,502.20M,359.61M,275.60M,,11.58M,0.422M,-11.15M,,275.60M,84.01M,0.422M,11.58M,-11.15M,,-11.15M,72.86M,23.88M,48.98M,,,48.98M,48.98M,122.37M,,2010-02,0.32,0.00,,,2010-02,0.32,0.00,,,2010-02,152.87M,,2010-02,AOR,Restated
2009-11,884.51M,884.51M,514.66M,369.85M,263.46M,,12.58M,0.314M,-12.26M,,263.46M,106.39M,0.314M,12.58M,-12.26M,,-12.26M,94.12M,36.95M,57.18M,,,57.18M,57.18M,144.05M,,2009-11,0.37,0.00,,,2009-11,0.37,0.00,,,2009-11,152.87M,,2009-11,AOR,Restated
2009-08,891.57M,891.57M,508.77M,382.80M,283.90M,,12.04M,0.359M,-11.68M,,283.90M,98.89M,0.359M,12.04M,-11.68M,,-11.68M,87.21M,33.23M,53.98M,,,53.98M,53.98M,137.80M,,2009-08,0.35,0.00,,,2009-08,0.35,0.00,,,2009-08,152.83M,,2009-08,AOR,Restated
2009-05,878.68M,878.68M,544.33M,334.35M,253.68M,,12.03M,0.329M,-11.70M,,253.68M,80.67M,0.329M,12.03M,-11.70M,,-11.70M,9.876M,5.804M,4.072M,,,4.072M,4.072M,61.36M,,2009-05,0.03,0.00,,,2009-05,0.03,0.00,,,2009-05,153.40M,,2009-05,AOR,Restated
2009-02,908.64M,908.64M,532.20M,376.44M,257.13M,,12.41M,0.54M,-11.87M,,257.13M,119.31M,0.54M,12.41M,-11.87M,,-11.87M,107.44M,35.63M,71.81M,,,71.81M,71.81M,159.60M,,2009-02,0.47,0.00,,,2009-02,0.47,0.00,,,2009-02,152.99M,,2009-02,,Restated
2008-11,985.18M,985.18M,570.18M,415.00M,284.61M,,12.77M,0.83M,-11.94M,,284.61M,130.39M,0.83M,12.77M,-11.94M,,-11.94M,118.45M,46.62M,71.84M,,,71.84M,71.84M,170.55M,,2008-11,0.47,0.00,,,2008-11,0.47,0.00,,,2008-11,152.79M,,2008-11,,Restated
2008-08,1.002B,1.002B,577.10M,425.08M,287.30M,,13.03M,1.065M,-11.97M,,287.30M,137.79M,1.065M,13.03M,-11.97M,,-11.97M,125.82M,47.19M,78.64M,,,78.64M,78.64M,177.89M,,2008-08,0.51,0.00,,,2008-08,0.51,0.00,,,2008-08,153.39M,,2008-08,,Restated
2008-05,1.009B,1.009B,576.52M,432.44M,279.12M,,,,,,279.12M,153.32M,,,,,,141.25M,51.59M,89.66M,,,89.66M,89.66M,208.85M,,2008-05,0.58,0.00,,,2008-05,0.58,0.00,,,2008-05,153.14M,,2008-05,,Restated
2008-02,975.95M,975.95M,564.73M,411.22M,273.19M,,,,,,273.19M,138.03M,,,,,,125.92M,44.09M,81.83M,,,81.83M,81.83M,186.87M,,2008-02,0.53,0.00,,,2008-02,0.53,0.00,,,2008-02,153.88M,,2008-02,,
2007-11,983.86M,983.86M,563.30M,420.57M,275.12M,,,,,,275.12M,145.44M,,,,,,134.25M,51.39M,82.85M,,,82.85M,82.85M,192.83M,,2007-11,0.53,0.00,,,2007-11,0.53,0.00,,,2007-11,156.56M,,2007-11,,
2007-08,969.13M,969.13M,551.76M,417.37M,276.71M,,,,,,276.71M,140.66M,,,,,,129.29M,48.22M,81.06M,,,81.06M,81.06M,186.88M,,2007-08,0.51,0.00,,,2007-08,0.51,0.00,,,2007-08,158.95M,,2007-08,,
2007-05,964.08M,964.08M,550.10M,413.97M,258.07M,,,,,,258.07M,155.90M,,,,,,144.07M,53.74M,90.32M,,,90.32M,90.32M,201.78M,,2007-05,0.57,0.00,,,2007-05,0.57,0.00,,,2007-05,158.26M,,2007-05,,
2007-02,905.40M,905.40M,519.57M,385.83M,253.13M,,,,,,253.13M,132.70M,,,,,,122.45M,45.73M,76.73M,,,76.73M,76.73M,177.00M,,2007-02,0.48,0.00,,,2007-02,0.48,0.00,,,2007-02,159.85M,,2007-02,,
2006-11,923.27M,923.27M,532.19M,391.07M,248.63M,,,,,,248.63M,142.44M,,,,,,131.58M,49.06M,82.53M,,,82.53M,82.53M,185.43M,,2006-11,0.51,0.00,,,2006-11,0.51,0.00,,,2006-11,161.82M,,2006-11,,
2006-08,914.16M,914.16M,523.68M,390.48M,244.13M,,,,,,244.13M,146.35M,,,,,,135.45M,50.48M,84.96M,,,84.96M,84.96M,189.12M,,2006-08,0.53,0.00,,,2006-08,0.53,0.00,,,2006-08,160.31M,,2006-08,,
2006-05,907.93M,907.93M,512.05M,395.87M,241.74M,,,,,,241.74M,154.14M,,,,,,146.21M,54.69M,91.53M,,,91.53M,91.53M,196.65M,,2006-05,0.55,0.00,,,2006-05,0.55,0.00,,,2006-05,166.19M,,2006-05,,
2006-02,836.42M,836.42M,483.45M,352.97M,224.42M,,,,,,224.42M,128.55M,,,,,,123.24M,46.64M,76.59M,,,76.59M,76.59M,169.03M,,2006-02,0.46,0.00,,,2006-02,0.45,0.00,,,2006-02,166.51M,,2006-02,,
2005-11,835.78M,835.78M,485.32M,350.46M,221.04M,,,,,,221.04M,129.42M,,,,,,123.26M,46.43M,76.84M,,,76.84M,76.84M,168.72M,,2005-11,0.46,0.00,,,2005-11,0.46,0.00,,,2005-11,167.04M,,2005-11,,
2005-08,823.48M,823.48M,467.99M,355.49M,223.44M,,,,,,223.44M,132.05M,,,,,,126.42M,46.88M,79.54M,,,79.54M,79.54M,170.40M,,2005-08,0.46,0.00,,,2005-08,0.46,0.00,,,2005-08,172.90M,,2005-08,,
2005-05,809.25M,809.25M,460.73M,348.51M,221.05M,,,,,,221.05M,127.46M,,,,,,123.69M,48.70M,74.99M,,,74.99M,74.99M,165.45M,,2005-05,0.43,0.00,,,2005-05,0.43,0.00,,,2005-05,174.43M,,2005-05,,
2005-02,755.24M,755.24M,433.79M,321.45M,203.91M,,,,,,203.91M,117.54M,,,,,,113.19M,41.86M,71.33M,,,71.33M,71.33M,154.66M,,2005-02,0.42,0.00,,,2005-02,0.41,0.00,,,2005-02,169.84M,,2005-02,,
2004-11,756.84M,756.84M,440.88M,315.96M,194.43M,,,,,,194.43M,121.52M,,,,,,116.82M,43.26M,73.56M,,,73.56M,73.56M,158.16M,,2004-11,0.43,0.00,,,2004-11,0.43,0.00,,,2004-11,171.07M,,2004-11,,
2004-08,745.96M,745.96M,427.12M,318.84M,198.81M,,,,,,198.81M,120.03M,,,,,,115.32M,42.65M,72.67M,,,72.67M,72.67M,156.46M,,2004-08,0.42,0.00,,,2004-08,0.42,0.00,,,2004-08,173.01M,,2004-08,,
2004-05,738.15M,738.15M,428.26M,309.90M,189.52M,0.00,,,,,189.52M,120.38M,,,,0.00,,115.46M,42.73M,72.73M,,,72.73M,72.73M,156.44M,,2004-05,0.38,0.00,,,2004-05,0.38,0.00,,,2004-05,190.99M,,2004-05,,
2004-02,696.94M,696.94M,401.23M,295.71M,185.02M,,,,,,185.02M,110.69M,,,,,,105.54M,39.05M,66.49M,,,66.49M,66.49M,146.55M,,2004-02,0.39,0.00,,,2004-02,0.39,0.00,,,2004-02,170.49M,,2004-02,,
2003-11,701.31M,701.31M,407.87M,293.44M,176.95M,,,,,,176.95M,116.48M,,,,,,110.58M,40.92M,69.66M,,,69.66M,69.66M,152.38M,,2003-11,0.41,0.00,,,2003-11,0.40,0.00,,,2003-11,169.90M,,2003-11,,
2003-08,677.66M,677.66M,390.21M,287.45M,176.13M,-4.343M,,,,,176.13M,111.32M,,,,-4.343M,,100.51M,37.18M,63.33M,,,63.33M,66.06M,146.75M,,2003-08,0.37,0.00,,,2003-08,0.37,0.00,,,2003-08,171.15M,,2003-08,,
2003-05,676.14M,676.14M,397.19M,278.96M,168.57M,,,,,,168.57M,110.39M,,,,,,103.67M,38.46M,65.21M,,,65.21M,65.21M,144.46M,,2003-05,0.38,0.00,,,2003-05,0.38,0.00,,,2003-05,171.66M,,2003-05,,
2003-02,663.76M,663.76M,389.34M,274.42M,174.19M,,,,,,174.19M,100.22M,,,,,,93.62M,34.56M,59.06M,,,59.06M,59.06M,135.91M,,2003-02,0.35,0.00,,,2003-02,0.34,0.00,,,2003-02,168.73M,,2003-02,,
2002-11,680.96M,680.96M,397.14M,283.82M,175.85M,,,,,,175.85M,107.98M,,,,,,100.58M,37.24M,63.34M,,,63.34M,63.34M,143.22M,,2002-11,0.37,0.00,,,2002-11,0.37,0.00,,,2002-11,171.19M,,2002-11,,
2002-08,665.73M,665.73M,383.71M,282.01M,176.83M,,,,,,176.83M,105.18M,,,,,,97.90M,36.25M,61.65M,,,61.65M,61.65M,143.25M,,2002-08,0.36,0.00,,,2002-08,0.36,0.00,,,2002-08,171.24M,,2002-08,,
2002-05,603.81M,603.81M,348.26M,255.56M,152.80M,,,,,,152.80M,102.75M,,,,,,351.57M,37.42M,64.14M,,,64.14M,64.14M,133.42M,,2002-05,0.38,0.00,,,2002-05,0.37,0.00,,,2002-05,168.66M,,2002-05,,
2002-02,545.49M,545.49M,316.15M,229.34M,140.26M,,,,,,140.26M,89.08M,,,,,,88.22M,32.63M,55.58M,,,55.58M,55.58M,119.40M,,2002-02,0.33,0.00,,,2002-02,0.32,0.00,,,2002-02,168.44M,,2002-02,,
2001-11,557.15M,557.15M,321.95M,235.20M,141.66M,,,,,,141.66M,93.54M,,,,,,92.10M,34.12M,57.98M,,,57.98M,57.98M,123.16M,,2001-11,0.34,0.00,,,2001-11,0.34,0.00,,,2001-11,169.73M,,2001-11,,
2001-08,564.60M,564.60M,327.32M,237.28M,145.74M,,,,,,145.74M,91.53M,,,,,,89.70M,33.16M,56.54M,,,56.54M,56.54M,120.94M,,2001-08,0.33,0.00,,,2001-08,0.33,0.00,,,2001-08,171.33M,,2001-08,,
2001-05,562.97M,562.97M,410.20M,152.76M,136.15M,,,,,,53.20M,99.56M,,,,,,96.51M,36.35M,60.16M,,,60.16M,60.16M,128.70M,,2001-05,0.36,0.00,,,2001-05,0.35,0.00,,,2001-05,166.93M,,2001-05,,
2001-02,536.72M,536.72M,288.20M,248.53M,129.35M,,,,,,157.96M,90.57M,,,,,,87.74M,32.83M,54.91M,,,54.91M,54.91M,119.18M,,2001-02,0.32,0.00,,,2001-02,0.32,0.00,,,2001-02,171.59M,,2001-02,,
2000-11,539.05M,539.05M,288.95M,250.10M,129.92M,,,,,,156.64M,93.46M,,,,,,90.70M,34.17M,56.53M,,,56.53M,56.53M,120.18M,,2000-11,0.34,0.00,,,2000-11,0.33,0.00,,,2000-11,166.27M,,2000-11,,
2000-08,521.96M,521.96M,277.08M,244.88M,132.94M,,,,,,160.55M,84.33M,,,,,,81.50M,30.65M,50.85M,,,50.85M,50.85M,111.94M,,2000-08,0.30,0.00,,,2000-08,0.30,0.00,,,2000-08,169.50M,,2000-08,,
2000-05,504.84M,504.84M,268.51M,236.33M,122.37M,,,,,,148.18M,88.15M,,,,,,84.69M,31.87M,52.82M,,,52.82M,52.82M,113.96M,,2000-05,0.32,0.00,,,2000-05,0.31,0.00,,,2000-05,164.84M,,2000-05,,
