,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,166.40M,-88.82M,,-88.82M,29.03M,29.03M,,9.434M,1.177M,-74.49M,,,,,-192.72M,-137.25M,-20.04M,,-14.10M,-14.10M,,158.66M,58.50M,-131.48M,,181.77M,,181.77M,,-6.799M,-6.799M,,,,-17.02M,,-17.02M,,-0.544M,157.41M,,950.47M,5.891M,0.241M,956.60M,,,181.79M,-0.023M,-6.799M,,,,AOR,Restated
2017-12,154.59M,-76.52M,,-76.52M,34.82M,34.82M,,8.607M,1.683M,70.53M,,,,,97.30M,65.85M,189.02M,,-41.45M,-41.45M,0.00,268.89M,-44.35M,100.61M,,8.751M,,8.751M,,-19.43M,-19.43M,,,,-94.83M,,-94.83M,,-2.208M,-107.71M,,774.00M,181.92M,-5.45M,950.47M,,,6.983M,1.768M,-19.43M,,,,AOR,Restated
2017-09,162.05M,-200.32M,,-200.32M,33.46M,33.46M,,9.375M,0.764M,47.41M,,,,,13.18M,291.67M,297.00M,,15.45M,15.45M,0.776M,-134.18M,-64.48M,-209.76M,,-0.313M,,-0.313M,,-28.38M,-28.38M,,,,-77.61M,,-77.61M,,-2.575M,-108.88M,,788.35M,-21.64M,7.285M,774.00M,,,0.00,-0.313M,-28.38M,,,,AOR,Restated
2017-06,109.00M,-49.35M,,-49.35M,26.55M,26.55M,,11.73M,0.569M,-100.58M,,,,,66.32M,50.89M,149.39M,,-77.26M,-77.26M,0.00,49.75M,126.50M,45.44M,,0.00,,0.00,,,,,,,-15.76M,,-15.76M,,0.021M,-15.74M,,608.39M,179.09M,0.871M,788.35M,,,,0.00,,,,,AOR,Restated
2017-03,123.45M,-79.00M,,-79.00M,18.13M,18.13M,,10.78M,1.227M,-59.24M,,,,,-127.21M,0.882M,75.47M,,-12.46M,-12.46M,-71.35M,-118.36M,-22.03M,-269.76M,,-1.475M,,-1.475M,,0.00,0.00,,,,0.00,,0.00,,-1.281M,-2.756M,,795.28M,-197.04M,10.15M,608.39M,,,0.00,-1.475M,0.00,,,,AOR,Restated
2016-12,152.79M,-116.52M,,-116.52M,16.90M,16.90M,,10.14M,0.88M,74.60M,,,,,31.46M,57.68M,121.87M,,-12.93M,-12.93M,0.073M,186.33M,-81.99M,7.383M,,-2.999M,,-2.999M,,-32.52M,-32.52M,,,,-153.34M,,-153.34M,,-2.447M,-191.31M,,873.06M,-62.06M,-15.72M,795.28M,,,1.921M,-4.92M,-32.52M,,,,AOR,Restated
2016-09,220.65M,-201.03M,,-201.03M,22.28M,22.28M,,9.157M,0.013M,82.44M,,,,,125.43M,343.12M,394.19M,,-16.67M,-16.67M,237.90M,-580.26M,51.06M,-372.50M,,-34.19M,,-34.19M,,-62.45M,-62.45M,,,,0.001M,,0.001M,,-0.45M,-97.09M,,948.71M,-75.40M,-0.25M,873.06M,,,-2.053M,-32.14M,-62.45M,,,,AOR,Restated
2016-06,108.97M,-24.77M,,-24.77M,16.63M,16.63M,,9.11M,-0.061M,-95.28M,,,,,34.16M,81.68M,191.55M,,-8.763M,-8.763M,13.10M,-256.31M,-17.72M,-323.82M,,274.10M,,274.10M,,0.00,0.00,,,,-15.94M,,-15.94M,,-4.084M,254.07M,,837.52M,121.80M,-10.61M,948.71M,,,278.81M,-4.706M,0.00,,,,AOR,Restated
2016-03,119.51M,-23.98M,,-23.98M,30.24M,30.24M,,8.766M,0.737M,-79.53M,,,,,-135.19M,5.488M,140.77M,,-12.46M,-12.46M,-54.31M,-178.37M,69.64M,-105.55M,,76.37M,,76.37M,,-37.42M,-37.42M,,,,-14.71M,,-14.71M,,3.158M,27.40M,,763.63M,62.61M,11.27M,837.52M,,,110.09M,-33.72M,-37.42M,,,,AOR,Restated
2015-12,109.74M,-3.209M,,-3.209M,19.76M,19.76M,,8.071M,0.133M,59.03M,,,,,50.77M,126.47M,260.97M,,-23.30M,-23.30M,-0.156M,-193.74M,-66.10M,-341.84M,,5.283M,,5.283M,,0.00,0.00,,,,-14.80M,,-14.80M,,1.743M,-7.769M,,879.93M,-88.64M,-27.67M,763.63M,,,7.165M,-1.882M,0.00,,,,AOR,Restated
2015-09,152.61M,-76.83M,,-76.83M,23.12M,23.12M,,9.079M,0.129M,33.69M,,,,,54.69M,179.35M,287.45M,,-16.76M,-16.76M,-7.156M,-14.61M,25.13M,-106.37M,,-5.274M,,-5.274M,,-5.52M,-5.52M,,,,-14.79M,,-14.79M,,-3.254M,-28.84M,,756.37M,152.24M,-28.68M,879.93M,,,-1.858M,-3.416M,-5.52M,,,,AOR,Restated
2015-06,123.04M,-49.41M,,-49.41M,23.06M,23.06M,,6.802M,0.014M,-62.05M,,,,,77.09M,168.36M,271.87M,,-15.82M,-15.82M,0.00,286.15M,20.95M,271.97M,,-268.80M,,-268.80M,,-126.92M,-126.92M,,,,-14.70M,,-14.70M,,1.096M,-409.32M,,614.70M,134.52M,7.156M,756.37M,,,3.749M,-272.55M,-126.92M,,,,AOR,Restated
2015-03,118.31M,-25.10M,,-25.10M,19.20M,19.20M,,8.171M,0.137M,-71.18M,,,,,-198.97M,-59.70M,61.01M,,-7.68M,-7.68M,0.00,18.73M,-2.652M,5.476M,,-3.24M,,-3.24M,,-91.21M,-91.21M,,,,-13.75M,,-13.75M,,-1.187M,-109.39M,,674.44M,-42.90M,-16.84M,614.70M,,,0.00,-3.24M,-91.21M,,,,AOR,Restated
2014-12,110.71M,-1.819M,,-1.819M,25.42M,25.42M,,6.519M,0.24M,-19.79M,,,,,105.11M,18.99M,160.06M,,-11.16M,-11.16M,0.173M,-603.80M,-35.79M,-589.45M,,-79.27M,,-79.27M,,-2.23M,-2.23M,,,,-140.71M,,-140.71M,,-0.576M,-222.78M,,1.342B,-652.17M,-15.67M,674.44M,,,-77.40M,-1.871M,-2.23M,,,,AOR,Restated
2014-09,188.54M,-138.38M,,-138.38M,12.58M,12.58M,,7.934M,0.252M,71.68M,,,,,9.761M,249.23M,320.16M,,-8.242M,-8.242M,-65.36M,-267.27M,40.10M,-177.47M,,424.59M,,424.59M,,-39.45M,-39.45M,,,,-13.96M,,-13.96M,-0.053M,-0.452M,370.68M,,842.67M,513.37M,-13.76M,1.342B,,,426.42M,-1.829M,-39.45M,,,,AOR,Restated
2014-06,179.96M,-134.65M,,-134.65M,25.60M,25.60M,,7.428M,0.216M,-97.70M,,,,,-21.81M,32.90M,111.46M,,-12.69M,-12.69M,15.64M,79.98M,-23.24M,92.61M,,5.113M,,5.113M,,-4.586M,-4.586M,,,,-14.05M,,-14.05M,0.053M,-0.312M,-13.78M,,643.58M,190.28M,8.812M,842.67M,,,4.988M,0.125M,-4.586M,,,,AOR,Restated
2014-03,169.67M,-111.66M,,-111.66M,25.24M,25.24M,,6.187M,0.011M,-99.31M,,,,,-120.51M,53.72M,143.16M,,-9.862M,-9.862M,-0.097M,-110.41M,51.56M,-134.00M,,-0.125M,,-0.125M,,-192.67M,-192.67M,,,,-12.78M,,-12.78M,,1.677M,-203.89M,,839.74M,-194.72M,-1.441M,643.58M,,,,-0.125M,-192.67M,,,,AOR,Restated
2013-12,130.38M,-44.06M,,-44.06M,23.04M,23.04M,,5.621M,5.009M,-21.98M,,,,,117.52M,73.11M,193.10M,,-13.72M,-13.72M,3.086M,-178.43M,11.40M,-169.36M,,-4.39M,,-4.39M,,-127.10M,-127.10M,,,,-13.38M,,-13.38M,0.053M,0.101M,-144.72M,,966.33M,-120.98M,-5.612M,839.74M,,,-2.601M,-1.789M,-127.10M,,,,AOR,Restated
2013-09,136.97M,-59.11M,,-59.11M,29.43M,29.43M,,5.768M,1.214M,1.193M,,,,,104.97M,198.49M,312.76M,,-5.979M,-5.979M,0.00,119.42M,-31.39M,-4.342M,,0.197M,,0.197M,,-8.008M,-8.008M,,,,-27.09M,,-27.09M,-0.051M,0.068M,-34.89M,,658.84M,273.53M,33.95M,966.33M,,,-22.50M,22.70M,-8.008M,,,,AOR,Restated
2013-06,115.96M,-55.18M,,-55.18M,29.71M,29.71M,,7.406M,-0.83M,-86.58M,,,,,2.422M,101.76M,198.82M,,-30.40M,-30.40M,-21.41M,-417.25M,-49.49M,-515.10M,,91.91M,,91.91M,,-31.36M,-31.36M,,,,-12.24M,,-12.24M,0.051M,-0.365M,47.99M,,945.49M,-268.29M,-18.36M,658.84M,,,371.92M,-280.02M,-31.36M,,,,AOR,Restated
2013-03,116.62M,-30.90M,,-30.90M,20.91M,20.91M,,4.989M,-0.017M,-76.27M,,,,,-125.85M,3.518M,115.11M,,-13.04M,-13.04M,-38.56M,215.41M,43.32M,143.43M,,-206.28M,,-206.28M,,0.00,0.00,,,,0.00,,0.00,0.00,7.638M,-198.64M,,905.67M,59.90M,-20.08M,945.49M,,,,-206.28M,0.00,,,,AOR,Restated
2012-12,165.49M,-143.35M,,-143.35M,38.33M,38.33M,,5.693M,0.01M,-30.04M,,,,,129.39M,155.94M,222.11M,,-18.24M,-18.24M,-42.78M,7.467M,-105.14M,-361.78M,,-6.35M,,-6.35M,,-6.301M,-6.301M,,,,-148.22M,,-148.22M,-1.007M,16.05M,-145.82M,,1.190B,-285.50M,1.605M,905.67M,,,-6.35M,0.00,-6.301M,,,,AOR,Restated
2012-09,100.95M,-9.107M,,-9.107M,17.94M,17.94M,,5.243M,0.061M,-53.62M,,,,,-22.12M,25.85M,140.94M,,-1.943M,-1.943M,0.00,163.70M,40.64M,101.70M,,11.60M,,11.60M,,-73.02M,-73.02M,,,,-24.69M,,-24.69M,3.891M,-3.701M,-85.92M,,1.012B,156.72M,20.63M,1.190B,,,11.60M,0.00,-73.02M,,,,AOR,Restated
2012-06,108.84M,-59.90M,,-59.90M,24.94M,24.94M,,8.38M,0.066M,-42.11M,,,,,58.51M,156.34M,238.65M,,-5.321M,-5.321M,0.00,-275.80M,22.55M,-236.38M,,11.41M,,11.41M,,-48.35M,-48.35M,,,,-11.04M,,-11.04M,1.348M,9.054M,-37.57M,,1.082B,-35.31M,-34.88M,1.012B,,,9.729M,1.684M,-48.35M,,,,AOR,Restated
2012-03,135.32M,-75.12M,,-75.12M,22.21M,22.21M,,7.447M,-0.086M,-97.08M,,,,,-50.53M,-16.01M,73.76M,,-15.06M,-15.06M,0.00,-180.14M,16.15M,-278.59M,,352.63M,,352.63M,,,,,,,,,,3.428M,10.45M,366.50M,,911.74M,161.67M,8.992M,1.082B,,,354.32M,-1.684M,,,,,AOR,Restated
2011-12,117.03M,-50.32M,,-50.32M,30.68M,30.68M,,7.448M,11.26M,-11.06M,,,,,194.05M,68.94M,185.04M,,-7.915M,-7.915M,-253.41M,232.90M,-16.19M,-120.80M,,-1.619M,,-1.619M,,-9.515M,-9.515M,,,,-10.98M,,-10.98M,8.206M,-2.266M,-16.18M,,866.13M,48.06M,-2.448M,911.74M,,,-0.309M,-1.31M,-9.515M,,,,AOR,Restated
2011-09,76.41M,3.98M,,3.98M,24.15M,24.15M,,6.701M,-11.28M,36.73M,,,,,-77.79M,168.88M,268.85M,,-18.73M,-18.73M,0.00,-103.06M,-73.31M,-49.10M,,-0.315M,,-0.315M,,-118.49M,-118.49M,,,,-11.00M,,-11.00M,0.54M,-5.819M,-135.08M,,794.88M,84.67M,-13.42M,866.13M,,,0.309M,-0.624M,-118.49M,,,,AOR,Restated
2011-06,82.18M,-48.11M,,-48.11M,11.10M,11.10M,,6.558M,15.75M,-60.04M,,,,,161.42M,93.47M,160.95M,,-6.795M,-6.795M,2.481M,50.66M,73.31M,40.66M,,4.296M,,4.296M,,-35.86M,-35.86M,,,,-11.36M,,-11.36M,0.00,6.932M,-35.99M,,630.15M,165.62M,-0.885M,794.88M,,,,4.296M,-35.86M,,,,AOR,Restated
2011-03,115.59M,-29.28M,,-29.28M,22.08M,22.08M,,6.468M,-15.81M,-88.11M,,,,,-224.07M,-43.60M,55.44M,,-11.88M,-11.88M,-11.06M,-56.89M,,-75.03M,,-3.672M,,-3.672M,,-23.30M,-23.30M,,,,-9.911M,,-9.911M,13.22M,15.70M,-7.966M,,642.95M,-27.55M,14.75M,630.15M,,,0.00,-3.672M,-23.30M,,,,AOR,Restated
2010-12,123.97M,15.47M,,15.47M,18.80M,18.80M,,7.05M,-30.84M,-90.64M,-16.78M,-2.63M,,,116.35M,-73.86M,60.60M,,-12.92M,-12.92M,0.00,-171.99M,-0.297M,-184.13M,,14.17M,,14.17M,,-151.71M,-151.71M,,,,-18.40M,,-18.40M,13.01M,-11.21M,-154.14M,,922.20M,-277.68M,-1.566M,642.95M,,,3.393M,10.78M,-151.71M,,,,AOR,Restated
2010-09,93.62M,-27.40M,,-27.40M,21.60M,21.60M,,7.99M,30.93M,-8.362M,6.083M,30.15M,,,40.15M,77.32M,204.05M,,-16.38M,-16.38M,0.00,-138.93M,5.229M,-133.99M,,150.45M,,150.45M,,-87.59M,-87.59M,,,,-1.751M,,-1.751M,0.899M,-1.07M,60.94M,,781.46M,131.00M,9.735M,922.20M,,,305.64M,-155.18M,-87.59M,,,,AOR,Restated
2010-06,110.21M,7.478M,,7.478M,21.94M,21.94M,,6.988M,0.017M,28.68M,-9.717M,-27.28M,8.298M,128.32M,-114.53M,-17.12M,129.51M,,-9.443M,-9.443M,0.00,345.44M,25.82M,365.59M,,-13.54M,,-13.54M,,-135.96M,-135.96M,,,,-10.45M,,-10.45M,1.317M,9.511M,-149.12M,,441.05M,345.98M,-5.566M,781.46M,,,-10.33M,-3.203M,-135.96M,,,,AOR,Restated
2010-03,118.61M,-2.727M,,-2.727M,20.53M,20.53M,,5.379M,0.171M,29.16M,20.41M,-0.242M,-8.298M,-128.32M,39.90M,-84.80M,57.16M,,-10.86M,-10.86M,0.00,29.40M,-31.04M,-10.12M,,-4.739M,,-4.739M,,-95.74M,-95.74M,,,,-18.75M,,-18.75M,2.504M,-0.028M,-116.75M,,515.43M,-69.71M,-4.669M,441.05M,,,10.33M,-15.07M,-95.74M,,,,AOR,Restated
2009-12,134.29M,-20.42M,,-20.42M,22.71M,22.71M,,5.756M,-3.241M,-73.15M,8.93M,47.12M,,,76.94M,11.66M,150.76M,,-13.35M,-13.35M,0.00,-44.19M,-205.36M,-262.26M,,-9.489M,,-9.489M,,-115.30M,-115.30M,,,,0.00,,0.00,2.786M,15.92M,-106.09M,,736.39M,-217.59M,-3.371M,515.43M,,,-6.079M,-3.41M,-115.30M,,,,AOR,Restated
2009-09,97.72M,-4.083M,,-4.083M,8.34M,8.34M,,6.045M,26.32M,-61.52M,6.089M,0.76M,,,83.32M,40.18M,174.53M,,-5.25M,-5.25M,-0.65M,-2.931B,2.447B,-495.81M,,324.10M,,324.10M,,0.00,0.00,,,,-9.643M,,-9.643M,1.194M,1.529M,317.18M,,771.51M,-4.104M,-31.02M,736.39M,,,324.32M,-0.215M,0.00,,,,AOR,Restated
2009-06,97.39M,-33.90M,,-33.90M,24.57M,24.57M,,6.52M,38.27M,33.14M,-29.00M,37.26M,,,36.56M,-163.64M,-30.79M,,-7.621M,-7.621M,-33.16M,2.218B,-2.241B,-66.69M,,4.007M,,4.007M,,0.00,0.00,,,,-9.602M,,-9.602M,0.475M,0.00,-5.12M,,826.07M,-102.60M,48.05M,771.51M,,,4.43M,-0.423M,0.00,,,,AOR,Restated
2009-03,-20.35M,96.81M,,96.81M,23.26M,23.26M,,6.144M,115.34M,-98.76M,-10.18M,1.313M,,,-118.16M,-199.65M,21.56M,,-4.236M,-4.236M,,-283.26M,-0.005M,-291.47M,,7.97M,,7.97M,,-31.84M,-31.84M,,,,-9.598M,,-9.598M,0.971M,-0.09M,-32.59M,,1.135B,-302.50M,-6.27M,826.07M,,,10.92M,-2.952M,-31.84M,,,,AOR,Restated
2008-12,40.33M,108.76M,34.88M,143.64M,23.59M,23.59M,,5.949M,0.025M,354.98M,1.751M,16.09M,,,58.40M,553.27M,766.80M,,-49.85M,-49.85M,118.19M,-628.88M,18.54M,-544.25M,,-0.626M,,-0.626M,,-18.70M,-18.70M,,,,-9.081M,,-9.081M,2.177M,0.091M,-26.14M,,1.004B,196.42M,-65.46M,1.135B,,,-1.987M,1.361M,-18.70M,,-74.30M,,AOR,Restated
2008-09,-27.88M,220.03M,-30.42M,189.61M,18.88M,18.88M,,4.794M,0.052M,17.54M,1.667M,1.563M,,,-2.662M,192.85M,378.30M,,-8.269M,-8.269M,-35.02M,210.40M,-29.85M,93.54M,,10.13M,,10.13M,,-44.58M,-44.58M,,,,-20.25M,,-20.25M,1.337M,-0.357M,-53.72M,,614.70M,418.12M,-28.95M,1.004B,,,11.32M,-1.186M,-44.58M,-155.62M,74.30M,,AOR,Restated
2008-06,80.26M,82.16M,8.686M,90.85M,4.409M,4.409M,,7.829M,0.018M,93.75M,8.731M,4.636M,,,-89.09M,11.13M,194.49M,,-14.38M,-14.38M,-132.06M,-26.09M,147.01M,-27.70M,,-75.61M,,-75.61M,,-195.08M,-195.08M,,,,-0.036M,,-0.036M,6.777M,-5.132M,-269.09M,,718.07M,-102.30M,-1.075M,614.70M,,,14.29M,-89.90M,-195.08M,146.34M,-30.01M,,AOR,Restated
2008-03,188.44M,-54.03M,-4.589M,-58.62M,37.06M,37.06M,,5.567M,0.167M,-103.86M,-20.89M,-0.643M,,,-61.61M,40.74M,213.36M,,-6.445M,-6.445M,,-178.24M,48.92M,-136.16M,,-11.90M,,-11.90M,,-294.92M,-294.92M,,,,-17.61M,,-17.61M,4.515M,5.566M,-314.34M,,951.86M,-237.14M,3.347M,718.07M,,,0.50M,-12.40M,-294.92M,9.284M,30.01M,,AOR,Restated
2007-12,206.72M,-36.21M,,-36.21M,11.85M,11.85M,,5.684M,-0.768M,-13.41M,3.595M,-16.86M,,,-16.81M,132.57M,319.84M,,-9.72M,-9.72M,16.69M,368.87M,-23.57M,144.13M,,0.76M,395.98M,396.74M,,-488.79M,-488.79M,,,,-36.28M,,-9.18M,1.974M,-2.994M,-102.26M,,591.28M,361.70M,-1.121M,951.86M,,,2.075M,394.66M,-488.79M,,-62.53M,,AOR,Restated
2007-09,180.46M,-0.812M,,-0.812M,20.07M,20.07M,,15.42M,-13.81M,-151.91M,14.51M,6.179M,,,64.72M,291.50M,492.83M,,-6.106M,-6.106M,-41.68M,-354.03M,-1.743M,-403.56M,,-0.355M,-395.98M,-396.33M,,105.16M,105.16M,,,,17.37M,,-9.738M,0.818M,-3.033M,-303.13M,,801.99M,-213.86M,3.142M,591.28M,,,0.349M,-396.68M,105.16M,,26.45M,,AOR,Restated
2007-06,190.63M,-12.67M,,-12.67M,21.02M,21.02M,-13.98M,,20.76M,196.99M,-1.987M,-138.89M,,,-188.63M,74.24M,279.99M,,-9.035M,-9.035M,0.00,74.48M,-170.72M,-105.28M,,-9.373M,,-9.373M,-8.433M,-105.16M,-113.59M,,,,-9.697M,,-9.697M,22.88M,16.67M,-93.10M,,713.49M,81.61M,6.89M,801.99M,,-8.433M,-11.47M,2.101M,-105.16M,,36.08M,,AOR,Restated
2007-03,188.43M,,,,20.77M,20.77M,13.98M,,-28.30M,-32.46M,-26.36M,107.36M,,,113.81M,162.35M,357.22M,,-6.247M,-6.247M,-22.23M,-821.89M,197.44M,-652.93M,,253.59M,,253.59M,8.433M,0.00,8.433M,,,,-7.669M,,-7.669M,,-0.027M,254.33M,,754.25M,-41.38M,0.618M,713.49M,,8.433M,255.69M,-2.101M,0.00,,,,AOR,Restated
2006-12,198.06M,,,,15.19M,15.19M,3.814M,,-9.446M,-210.91M,42.86M,-62.44M,316.42M,-1.080B,1.207B,244.99M,452.61M,,-9.415M,-9.415M,2.525M,-196.91M,41.07M,-162.73M,,90.04M,7.875M,97.91M,10.93M,-0.003M,10.92M,,,,,,-7.661M,,-305.95M,-204.78M,,658.91M,110.56M,-15.22M,754.25M,,10.93M,292.16M,-202.12M,-0.003M,,,,AOR,Restated
2006-09,174.31M,2.002M,,2.002M,16.78M,16.78M,-12.28M,,4.107M,108.51M,-14.45M,-2.604M,-111.39M,461.77M,-65.83M,373.95M,558.87M,,-4.853M,-4.853M,-2.525M,-665.83M,-24.52M,-697.73M,,-87.91M,-7.875M,-95.79M,2.223M,0.00,2.223M,,,,,,-0.001M,,101.92M,8.352M,,783.40M,-130.50M,6.01M,658.91M,,2.223M,-80.04M,-7.875M,0.00,,,,AOR,Restated
2006-06,165.45M,-2.002M,,-2.002M,15.65M,15.65M,-8.344M,,8.151M,-99.86M,21.45M,33.82M,-205.03M,618.45M,-225.12M,137.46M,316.36M,,-3.712M,-3.712M,0.00,76.27M,-194.59M,-122.03M,,90.50M,,90.50M,2.411M,-45.06M,-42.65M,,,,,,-15.40M,,-87.74M,-55.29M,,636.85M,137.34M,9.211M,783.40M,,2.411M,90.50M,0.00,-45.06M,,,,AOR,Restated
2006-03,161.70M,,,,18.06M,18.06M,-18.75M,,16.72M,-117.40M,-40.19M,148.40M,,,91.49M,58.43M,236.17M,,-24.61M,-24.61M,0.00,-382.51M,224.20M,-182.93M,,-100.00M,,-100.00M,6.605M,,6.605M,,,,,,-6.372M,,8.738M,-91.03M,,672.94M,-36.09M,,636.85M,,6.605M,0.00,-100.00M,,,,,AOR,Restated
