,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-03,614.70M,174.71M,789.40M,3.226B,280.77M,,3.226B,410.36M,4.426B,327.23M,150.55M,,150.55M,280.77M,13.80B,,14.97B,21.85B,,218.44M,20.96M,165.42M,404.82M,404.82M,,,,,,404.82M,2.453B,2.453B,,,99.30M,9.058B,3.129B,34.42M,,14.74B,17.23B,,47.02M,5.837B,998.00M,2.455B,,,,152.06M,4.579B,,AOR,Restated
2014-12,674.44M,170.99M,845.43M,3.155B,322.01M,371.03M,3.593B,395.75M,4.834B,332.10M,150.94M,,150.94M,322.01M,13.33B,,14.50B,21.72B,,237.27M,,,237.27M,237.27M,,,,,,237.27M,2.456B,2.456B,37.45M,37.45M,106.08M,8.971B,3.027B,34.19M,,14.60B,17.09B,,47.02M,5.732B,991.51M,2.365B,,,,183.55M,4.590B,,AOR,Restated
2014-09,1.342B,222.02M,1.564B,3.134B,343.30M,,3.134B,418.08M,5.116B,333.94M,103.34M,,103.34M,343.30M,13.54B,,14.85B,22.10B,,255.43M,17.62M,95.68M,368.73M,368.73M,,,,,,368.73M,2.462B,2.462B,,,159.54M,8.945B,3.111B,34.57M,,14.68B,17.35B,,47.02M,5.762B,982.10M,2.356B,,,,273.54M,4.709B,,AOR,Restated
2014-06,842.67M,257.06M,1.100B,3.213B,655.69M,57.45M,3.270B,431.93M,4.802B,335.74M,103.56M,,103.56M,655.69M,13.08B,,14.50B,21.17B,,272.46M,24.78M,,297.23M,297.23M,,,,,,297.23M,2.037B,2.037B,,,111.99M,8.886B,3.082B,34.84M,,14.12B,16.51B,,47.02M,5.588B,974.79M,2.324B,,,,333.90M,4.620B,,AOR,Restated
2014-03,643.58M,322.77M,966.35M,3.160B,373.17M,74.79M,3.235B,404.28M,4.605B,337.98M,110.24M,,110.24M,373.17M,12.99B,,14.11B,20.70B,,236.69M,59.18M,,295.87M,295.87M,,,,,,295.87M,2.033B,2.033B,,,91.12M,8.802B,2.979B,34.91M,,13.90B,16.29B,,47.02M,5.422B,970.30M,2.322B,,,,258.88M,4.376B,,AOR,Restated
2013-12,839.74M,283.34M,1.123B,3.091B,343.58M,304.94M,3.420B,367.80M,4.911B,339.45M,110.15M,,110.15M,343.58M,12.42B,20.12M,13.55B,20.55B,,276.76M,,,276.76M,276.76M,,,,,,276.76M,2.032B,2.032B,,,162.28M,8.684B,2.781B,33.36M,,13.66B,16.18B,,47.02M,5.265B,967.44M,2.133B,,,,189.39M,4.336B,,AOR,Restated
2013-09,966.33M,338.91M,1.305B,3.112B,411.85M,123.32M,3.299B,381.00M,4.985B,336.52M,113.17M,,113.17M,411.85M,12.57B,,13.78B,20.52B,,285.15M,0.00,,285.15M,285.15M,,,,,,285.15M,2.036B,2.036B,,,88.49M,8.634B,2.825B,28.22M,,13.58B,16.13B,,47.02M,5.148B,961.30M,2.007B,,,,217.48M,4.367B,,AOR,Restated
2013-06,658.84M,434.84M,1.094B,3.060B,359.18M,144.15M,3.272B,382.57M,4.748B,291.83M,112.74M,,112.74M,359.18M,12.75B,,13.89B,20.21B,,337.37M,0.00,,337.37M,337.37M,,,,,,337.37M,2.036B,2.036B,,,171.99M,8.537B,2.721B,27.05M,,13.47B,15.95B,,47.02M,5.025B,956.08M,1.999B,,,,210.22M,4.239B,,AOR,Restated
2013-03,945.49M,399.39M,1.345B,2.946B,456.53M,28.72M,2.975B,345.33M,4.665B,271.01M,107.53M,,107.53M,456.53M,12.77B,,13.92B,20.12B,,298.56M,104.81M,,403.37M,403.37M,,,,,,403.37M,1.937B,1.937B,,,79.96M,8.467B,2.636B,32.09M,,13.12B,15.71B,,47.02M,4.922B,949.93M,1.969B,,,,428.59M,4.379B,,AOR,Restated
2012-12,905.67M,376.02M,1.282B,2.891B,401.96M,446.87M,3.338B,316.31M,4.936B,267.23M,87.86M,,87.86M,401.96M,12.65B,0.00,13.65B,20.16B,,316.39M,,,316.39M,316.39M,,,,,,316.39M,2.115B,2.115B,60.26M,60.26M,121.49M,8.412B,2.475B,29.25M,,13.18B,15.82B,,47.02M,4.818B,945.17M,1.969B,,,,465.63M,4.306B,,AOR,Restated
