,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,452.03M,1.133B,,1.133B,1.326B,,1.326B,,,58.16M,2.638B,,,,964.35M,,964.35M,-433.28M,531.07M,7.927M,,7.927M,7.402M,27.99M,574.39M,3.212B,812.20M,17.23M,,829.43M,222.21M,1.052B,,,,147.24M,147.24M,,,1.199B,,,,,,2.797M,,31.33M,1.230B,1.743M,2.042B,1.198M,,,-64.99M,1.979B
2017-12,383.02M,1.051B,,1.051B,1.415B,,1.415B,,,75.61M,2.541B,147.26M,416.60M,320.54M,,61.08M,945.48M,-420.28M,525.20M,7.927M,,7.927M,13.21M,29.22M,575.56M,3.117B,866.30M,20.49M,,886.80M,206.32M,1.093B,,,,0.00,0.00,,,1.093B,,,,,,2.515M,,29.52M,1.123B,1.764M,2.064B,0.546M,,,-73.96M,1.992B
2017-09,385.43M,1.033B,,1.033B,1.350B,,1.350B,,,135.62M,2.519B,,,,926.29M,,926.29M,-413.22M,513.07M,7.927M,,7.927M,,28.96M,549.96M,3.069B,836.06M,23.85M,,859.91M,216.15M,1.076B,,,,,,,,1.076B,,,,11.75M,11.75M,3.078M,,11.75M,1.088B,1.776M,2.054B,1.464M,,,-78.96M,1.978B
2017-06,496.13M,1.115B,,1.115B,1.215B,,1.215B,,,164.13M,2.494B,,,,895.82M,,895.82M,-405.04M,490.78M,7.927M,,7.927M,,29.74M,528.44M,3.023B,774.94M,21.33M,,796.27M,211.38M,1.008B,,,,,,,,1.008B,,,,36.47M,36.47M,2.793M,,36.47M,1.044B,1.796M,2.049B,11.15M,,,-86.51M,1.976B
2017-03,424.86M,1.156B,,1.156B,1.126B,,1.126B,,,119.26M,2.402B,,,,857.76M,,857.76M,-394.15M,463.60M,7.927M,,7.927M,,29.39M,500.92M,2.903B,701.12M,20.43M,,721.55M,205.26M,926.80M,,,,,,,,926.80M,,,,24.20M,24.20M,2.824M,,24.20M,951.00M,1.80M,2.038B,4.721M,,,-95.68M,1.949B
2016-12,406.79M,974.44M,,974.44M,1.190B,,1.190B,,,54.01M,2.219B,172.31M,467.10M,296.21M,,7.604M,943.22M,-406.65M,536.57M,7.927M,,7.927M,,27.79M,572.29M,2.791B,726.57M,17.86M,,744.43M,185.50M,929.93M,,,,,,,,929.93M,,,,13.73M,13.73M,2.575M,,13.73M,943.66M,1.799M,1.945B,2.642M,,,-104.59M,1.845B
2016-09,451.23M,1.043B,,1.043B,1.109B,,1.109B,,19.57M,64.90M,2.236B,,,,946.16M,,946.16M,-406.18M,539.98M,7.927M,,7.927M,,30.20M,578.11M,2.814B,698.62M,21.44M,,720.06M,207.55M,927.60M,,,,,,,,927.60M,,,,32.26M,32.26M,3.85M,,32.26M,959.86M,1.803M,1.929B,0.475M,,,-81.64M,1.850B
2016-06,451.44M,980.26M,,980.26M,1.051B,,1.051B,,19.68M,75.52M,2.127B,,,,941.13M,,941.13M,-400.40M,540.74M,7.927M,,7.927M,,31.63M,580.29M,2.707B,642.06M,26.15M,,668.20M,225.82M,894.03M,,,,,,,,894.03M,,,,33.61M,33.61M,3.59M,,33.61M,927.63M,1.808M,1.856B,0.184M,,,-82.01M,1.776B
2016-03,509.68M,1.014B,,1.014B,1.011B,,1.011B,,18.20M,44.69M,2.087B,,,,923.44M,,923.44M,-396.50M,526.94M,7.927M,,7.927M,,57.40M,592.26M,2.680B,623.70M,28.43M,,652.13M,202.28M,854.42M,,,,,,,,854.42M,,,,42.82M,42.82M,3.26M,,42.82M,897.23M,1.816M,1.845B,3.851M,,,-71.77M,1.779B
2015-12,445.58M,807.80M,,807.80M,1.112B,,1.112B,,,56.45M,1.977B,162.92M,468.61M,274.72M,,3.494M,909.75M,-385.02M,524.72M,7.927M,,7.927M,,56.42M,589.07M,2.566B,645.30M,29.50M,,674.80M,186.57M,861.37M,,,,,,,,861.37M,,,,9.528M,9.528M,2.683M,,9.528M,870.90M,1.821M,1.771B,0.031M,,,-81.24M,1.692B
2015-09,487.24M,968.68M,8.26M,976.94M,1.166B,,1.166B,,20.86M,71.36M,2.235B,,,,907.89M,,907.89M,-380.00M,527.89M,7.927M,,7.927M,,55.74M,591.56M,2.827B,718.56M,27.88M,,746.43M,208.77M,955.20M,,,,,,,,955.20M,,,,29.62M,29.62M,3.147M,,29.62M,984.83M,1.862M,1.910B,0.874M,,,-74.08M,1.839B
2015-06,584.45M,985.73M,47.05M,1.033B,1.194B,,1.194B,,20.93M,86.87M,2.335B,,,,917.51M,,917.51M,-381.39M,536.12M,7.927M,,7.927M,,53.57M,597.62M,2.932B,738.32M,26.82M,,765.14M,228.54M,993.68M,,,,,,,,993.68M,,,,48.96M,48.96M,3.112M,,48.96M,1.043B,1.891M,1.935B,2.349M,,,-52.78M,1.887B
2015-03,548.70M,1.033B,0.061M,1.033B,1.254B,,1.254B,,20.40M,44.91M,2.352B,,,,902.00M,,902.00M,-373.01M,528.99M,7.927M,,7.927M,,54.70M,591.62M,2.944B,749.25M,26.16M,,775.41M,203.81M,979.22M,,,,,,,,979.22M,,,,37.03M,37.03M,2.64M,,37.03M,1.016B,1.911M,1.975B,5.241M,,,-57.09M,1.925B
2014-12,531.31M,927.11M,40.34M,967.44M,1.236B,,1.236B,,20.28M,65.49M,2.289B,166.25M,467.12M,271.90M,,4.907M,910.17M,-371.76M,538.42M,7.927M,,7.927M,,55.31M,601.66M,2.891B,770.24M,21.08M,,791.32M,192.47M,983.78M,,,,,,,,983.78M,,,,35.51M,35.51M,3.20M,,35.51M,1.019B,1.916M,1.903B,1.113M,,,-37.82M,1.868B
2014-09,616.09M,990.48M,40.32M,1.031B,1.183B,,1.183B,,20.78M,83.23M,2.318B,,,,914.94M,,914.94M,-369.58M,545.37M,7.927M,,7.927M,,54.79M,608.08M,2.926B,746.19M,22.06M,,768.25M,194.55M,962.80M,,,,,,,,962.80M,,,,59.32M,59.32M,2.557M,,59.32M,1.022B,1.93M,1.920B,1.055M,,,-21.78M,1.901B
2014-06,580.23M,970.56M,86.15M,1.057B,1.151B,,1.151B,,19.15M,84.08M,2.310B,,,,923.03M,,923.03M,-366.80M,556.23M,7.927M,,7.927M,,55.32M,619.47M,2.930B,717.14M,24.34M,,741.48M,220.75M,962.23M,,,,,,,,962.23M,,,,70.57M,70.57M,2.323M,,70.57M,1.033B,1.951M,1.894B,2.701M,,,-3.609M,1.895B
2014-03,584.55M,1.131B,86.49M,1.218B,1.063B,,1.063B,,18.25M,36.28M,2.335B,,,,912.99M,,912.99M,-356.92M,556.07M,7.927M,,7.927M,,26.51M,590.51M,2.926B,677.58M,27.75M,,705.34M,196.16M,901.49M,,,,,,,,901.49M,,,,64.00M,64.00M,1.883M,,64.00M,965.49M,1.972M,1.964B,0.728M,,,-8.691M,1.958B
2013-12,590.32M,1.248B,26.34M,1.274B,1.074B,,1.074B,,18.40M,49.38M,2.415B,171.07M,467.34M,268.59M,,4.344M,911.35M,-348.28M,563.06M,7.927M,,7.927M,,28.55M,599.54M,3.015B,648.16M,21.74M,,669.90M,200.30M,870.20M,,,,,,,,870.20M,,,,58.28M,58.28M,1.548M,,58.28M,928.48M,2.025M,2.087B,1.647M,,,-6.265M,2.085B
2013-09,548.50M,1.310B,99.83M,1.410B,1.028B,,1.028B,,12.67M,47.81M,2.498B,,,,899.28M,,899.28M,-337.15M,562.12M,7.927M,,7.927M,,30.30M,600.35M,3.099B,656.67M,24.18M,,680.85M,183.13M,863.98M,,,,,,,,863.98M,,,,53.85M,53.85M,1.151M,,53.85M,917.83M,2.055M,2.181B,2.443M,,,-6.236M,2.180B
2013-06,526.26M,1.286B,89.90M,1.376B,1.018B,,1.018B,,12.00M,69.43M,2.476B,,,,884.57M,,884.57M,-334.99M,549.58M,7.927M,,7.927M,,30.38M,587.89M,3.064B,645.20M,18.23M,,663.42M,196.79M,860.21M,,,,,,,,860.21M,,,,81.51M,81.51M,2.101M,,81.51M,941.72M,2.063M,2.129B,3.534M,,,-15.10M,2.120B
2013-03,504.65M,1.395B,,1.395B,982.12M,,982.12M,,11.87M,42.15M,2.431B,,,,878.24M,,878.24M,-331.54M,546.70M,7.927M,,7.927M,,32.35M,586.97M,3.018B,629.19M,27.28M,,656.47M,175.21M,831.68M,,,,,,,,831.68M,,,,81.50M,81.50M,1.926M,,81.50M,913.18M,2.065M,2.099B,5.962M,,,-4.265M,2.103B
2012-12,458.17M,1.261B,0.139M,1.261B,1.031B,,1.031B,,12.10M,53.14M,2.358B,169.98M,446.38M,253.67M,,11.76M,881.80M,-325.60M,556.20M,7.927M,,7.927M,,32.40M,596.53M,2.954B,641.59M,21.97M,,663.56M,179.00M,842.56M,,,,,,,,842.56M,,,,79.00M,79.00M,4.871M,,79.00M,921.56M,2.064M,2.019B,1.283M,,,5.734M,2.028B
2012-09,,1.368B,,1.368B,1.015B,,1.015B,,10.96M,46.05M,2.440B,,,,,,869.51M,-317.90M,551.61M,,,9.774M,,30.81M,592.19M,3.032B,667.40M,23.94M,,691.34M,174.86M,866.20M,,,,,,,,866.20M,,,,70.29M,70.29M,5.682M,,70.29M,936.49M,2.09M,2.083B,0.118M,,,5.267M,2.090B
2012-06,,1.364B,0.376M,1.365B,983.13M,,983.13M,,10.23M,47.41M,2.405B,,,,,,856.22M,-309.47M,546.75M,10.00M,,10.00M,,30.22M,586.98M,2.992B,672.84M,25.95M,,698.78M,184.11M,882.90M,,,,,,,,882.90M,,,,59.42M,59.42M,6.602M,,59.42M,942.32M,2.105M,2.045B,1.013M,,,-4.345M,2.043B
2012-03,,1.413B,16.28M,1.429B,934.87M,,934.87M,,9.754M,36.39M,2.410B,,,,,,856.85M,-306.52M,550.32M,10.22M,,10.22M,,30.49M,591.02M,3.001B,629.50M,28.22M,,657.72M,170.54M,828.26M,,,,,,,,828.26M,,,,70.93M,70.93M,6.58M,,70.93M,899.19M,2.123M,2.068B,18.34M,,,7.064M,2.095B
2011-12,445.59M,1.294B,,1.294B,934.75M,,934.75M,,10.42M,47.36M,2.287B,167.04M,400.49M,233.45M,,34.32M,835.29M,-296.48M,538.81M,7.927M,,7.927M,,33.21M,579.94M,2.867B,606.63M,20.07M,,626.70M,169.44M,796.14M,,,,,,,,796.14M,,,,60.61M,60.61M,6.431M,,60.61M,856.76M,2.12M,1.991B,13.26M,,,-2.964M,2.004B
2011-09,,1.261B,0.483M,1.261B,997.70M,,997.70M,,,43.45M,2.313B,,,,,,819.57M,-290.72M,528.85M,7.927M,2.916M,10.84M,,30.86M,570.56M,2.883B,655.09M,,,655.09M,178.18M,833.27M,,,,,,,32.23M,865.50M,,,,,55.61M,6.339M,,55.61M,921.11M,2.12M,1.951B,3.641M,,,-1.417M,1.956B
2011-06,,1.226B,1.071M,1.227B,1.028B,,1.028B,,9.469M,48.66M,2.313B,,,,,,815.96M,-292.56M,523.40M,7.927M,3.159M,11.09M,,30.48M,564.96M,2.878B,688.85M,35.86M,,724.71M,196.81M,921.52M,,,,,,,,921.52M,,,,77.33M,77.33M,7.102M,,77.33M,998.85M,2.12M,1.845B,2.698M,,,22.46M,1.872B
2011-03,,1.238B,0.612M,1.239B,1.007B,,1.007B,,9.382M,25.38M,2.281B,,,,,,805.22M,-290.79M,514.43M,7.927M,3.402M,11.33M,,30.15M,555.91M,2.837B,687.99M,44.61M,,732.59M,182.39M,914.98M,,,,,,,,914.98M,,,,72.63M,72.63M,7.211M,,72.63M,987.61M,2.12M,1.808B,14.35M,,,16.96M,1.842B
2010-12,,1.084B,0.524M,1.085B,1.004B,,1.004B,,8.706M,42.78M,2.140B,163.29M,372.79M,215.05M,,29.17M,780.30M,-281.65M,498.65M,7.927M,3.716M,11.64M,,28.53M,538.82M,2.679B,652.16M,31.95M,,684.11M,177.87M,861.98M,,,,,,,,861.98M,,,,69.05M,69.05M,7.248M,,69.05M,931.02M,2.12M,1.717B,13.41M,,,8.125M,1.741B
2010-09,,1.057B,0.601M,1.058B,1.083B,,1.083B,,8.325M,34.76M,2.184B,,,,,,768.43M,-275.38M,493.05M,7.927M,3.965M,11.89M,,27.60M,532.54M,2.716B,700.58M,31.76M,,732.35M,188.92M,921.26M,,,,,,,,921.26M,,,,58.80M,58.80M,7.496M,,58.80M,980.06M,2.121M,1.716B,5.823M,,,4.802M,1.729B
2010-06,,960.30M,0.705M,961.00M,1.017B,,1.017B,,8.141M,36.69M,2.022B,,,,,,748.30M,-264.47M,483.83M,7.927M,4.218M,12.14M,,28.16M,524.14M,2.547B,659.24M,28.36M,,687.59M,176.94M,864.54M,,,,,,,,864.54M,,,,47.20M,47.20M,8.388M,,47.20M,911.73M,2.12M,1.635B,6.572M,,,-17.04M,1.626B
2010-03,,1.042B,0.713M,1.042B,817.94M,,817.94M,,8.494M,24.16M,1.893B,,,,,,752.68M,-263.69M,488.98M,7.927M,4.541M,12.47M,,27.68M,529.13M,2.422B,567.88M,18.42M,,586.30M,162.13M,748.44M,,,,,,,,748.44M,,,,44.71M,44.71M,8.389M,,44.71M,793.14M,2.126M,1.593B,27.67M,,,-2.515M,1.621B
2009-12,,925.93M,0.655M,926.58M,810.37M,,810.37M,,8.338M,42.54M,1.788B,165.53M,372.47M,205.82M,,16.26M,760.07M,-264.37M,495.70M,7.927M,4.938M,12.86M,,27.33M,535.89M,2.324B,546.68M,16.17M,,562.84M,145.54M,708.39M,,,,,,,,708.39M,,,,53.99M,53.99M,8.34M,,53.99M,762.38M,2.12M,1.532B,18.26M,,,0.604M,1.553B
2009-09,,947.27M,0.629M,947.90M,684.25M,,684.25M,,7.806M,36.57M,1.677B,,,,,,755.26M,-259.06M,496.20M,7.927M,5.38M,13.31M,,30.86M,540.37M,2.217B,486.66M,17.59M,,504.26M,150.88M,655.14M,,,,,,,,655.14M,,,,41.80M,41.80M,7.909M,,41.80M,696.93M,2.12M,1.503B,6.751M,,,,1.512B
2009-06,,915.98M,0.636M,916.62M,577.30M,,577.30M,,8.506M,32.48M,1.535B,,,,,,745.70M,-249.34M,496.36M,7.927M,5.607M,13.53M,,29.14M,539.04M,2.074B,397.74M,19.24M,,416.97M,156.76M,573.73M,,,,,,,,573.73M,,,,45.53M,45.53M,9.115M,,45.53M,619.26M,2.121M,1.445B,4.706M,,,-6.668M,1.446B
2009-03,,883.68M,0.598M,884.28M,613.28M,,613.28M,,8.924M,24.79M,1.531B,,,,,,721.73M,-232.92M,488.80M,7.927M,5.904M,13.83M,,20.92M,523.55M,2.055B,407.02M,29.46M,,436.49M,148.14M,584.63M,,,,,,,,584.63M,,,,47.66M,47.66M,9.347M,,47.66M,632.29M,2.121M,1.432B,6.154M,,,-26.70M,1.413B
2008-12,,741.03M,0.658M,741.69M,788.18M,,788.18M,,7.986M,35.51M,1.573B,160.29M,351.02M,193.81M,,16.03M,721.15M,-228.02M,493.13M,7.927M,6.503M,14.43M,,19.92M,527.48M,2.101B,491.82M,28.04M,,519.86M,150.49M,670.35M,,,,,,,,670.35M,,,,46.57M,46.57M,17.50M,,46.57M,716.92M,2.12M,1.372B,7.15M,,,,1.366B
2008-09,,696.35M,0.406M,696.76M,995.11M,14.47M,995.11M,,8.098M,34.38M,1.734B,,,,,,730.99M,-229.33M,501.66M,7.927M,6.725M,14.65M,,19.68M,536.00M,2.270B,667.10M,30.73M,,697.83M,154.44M,852.27M,,,,,,,,852.27M,,,,61.32M,61.32M,,16.87M,78.19M,930.45M,2.119M,1.329B,0.00,,,9.193M,1.340B
2008-06,,703.49M,0.41M,703.90M,982.72M,,982.72M,,7.885M,53.46M,1.748B,,,,,,736.77M,-231.50M,505.26M,7.927M,7.216M,15.14M,,21.33M,541.74M,2.290B,682.41M,31.34M,,713.75M,158.43M,872.18M,,,,,,,,872.18M,,,,76.92M,76.92M,,18.05M,94.97M,967.15M,2.13M,1.247B,32.57M,,,40.83M,1.323B
2008-03,,740.97M,0.606M,741.57M,878.19M,,878.19M,,7.185M,19.12M,1.646B,,,,,,725.54M,-224.70M,500.84M,7.927M,7.71M,15.64M,,21.16M,537.64M,2.184B,615.80M,36.81M,,652.61M,145.60M,798.21M,0.748M,,0.748M,,,,,798.96M,,,,67.57M,67.57M,17.37M,,67.57M,866.52M,2.13M,1.210B,48.79M,,,38.96M,1.300B
2007-12,,574.60M,0.674M,575.27M,933.52M,,933.52M,,8.278M,17.63M,1.535B,178.83M,337.10M,180.66M,4.453M,11.07M,712.12M,-214.22M,497.89M,7.927M,7.832M,15.76M,,20.72M,534.37M,2.069B,613.11M,26.98M,,640.08M,129.67M,769.75M,,,,,,,,769.75M,,,,55.53M,55.53M,17.21M,,55.53M,825.29M,2.13M,1.143B,50.01M,,,30.97M,1.227B
2007-09,,557.18M,0.441M,557.62M,984.09M,,984.09M,,7.76M,21.85M,1.571B,,,,,,704.87M,-207.10M,497.77M,7.927M,8.141M,16.07M,,20.04M,533.88M,2.105B,660.46M,33.74M,,694.20M,146.82M,841.02M,,,,,60.16M,60.16M,-60.16M,841.02M,,,,60.16M,60.16M,16.70M,,60.16M,901.18M,2.13M,1.103B,53.40M,,,28.55M,1.187B
2007-06,,575.04M,0.466M,575.51M,829.20M,,829.20M,,7.613M,25.44M,1.438B,,,,,,652.90M,-197.26M,455.64M,7.927M,6.853M,14.78M,,29.08M,499.50M,1.937B,583.63M,30.82M,,614.45M,148.60M,763.06M,0.213M,,0.213M,,42.46M,42.46M,-42.46M,763.27M,,,,42.46M,42.46M,16.50M,,42.46M,805.73M,2.13M,1.029B,63.58M,,,20.39M,1.115B
2007-03,,576.82M,0.53M,577.35M,750.94M,,750.94M,,7.386M,15.72M,1.351B,,,,,,642.62M,-186.78M,455.84M,7.927M,7.254M,15.18M,,14.39M,485.41M,1.837B,513.60M,33.41M,,547.00M,138.45M,685.46M,0.224M,,0.224M,,33.00M,33.00M,-33.00M,685.68M,,,,33.00M,33.00M,16.59M,,33.00M,718.68M,2.134M,993.35M,90.24M,,,15.81M,1.102B
2006-12,,511.36M,0.578M,511.94M,811.49M,,811.49M,,7.49M,10.92M,1.342B,176.69M,283.85M,158.67M,3.679M,5.054M,627.94M,-178.70M,449.25M,7.927M,7.584M,15.51M,,15.74M,480.50M,1.822B,544.03M,43.04M,,587.06M,122.08M,709.14M,,,,,,,,709.14M,,,,26.83M,26.83M,16.28M,,26.83M,735.97M,2.131M,934.06M,119.58M,,,14.32M,1.070B
2006-09,,499.53M,0.386M,499.92M,812.22M,,812.22M,,8.717M,14.16M,1.335B,,,,,,616.19M,-170.23M,445.96M,7.774M,0.183M,7.957M,,22.73M,476.65M,1.812B,562.59M,36.22M,,598.82M,135.47M,734.28M,,,,,34.43M,34.43M,-34.43M,734.28M,,,,34.43M,34.43M,21.34M,,34.43M,768.71M,2.131M,894.89M,120.34M,,,4.245M,1.022B
2006-06,,454.69M,0.415M,455.11M,751.93M,,751.93M,,6.679M,28.19M,1.242B,,,,,,608.22M,-163.94M,444.28M,7.774M,8.367M,16.14M,,13.22M,473.64M,1.716B,529.52M,28.75M,,558.27M,128.52M,686.79M,,,,,29.02M,29.02M,-29.02M,686.79M,,,,29.02M,29.02M,30.14M,,29.02M,715.81M,2.133M,831.09M,132.12M,,,4.258M,969.60M
2006-03,,567.69M,0.135M,567.82M,689.69M,,689.69M,,6.765M,13.50M,1.278B,,,,,,505.15M,-156.95M,348.20M,7.774M,8.65M,16.42M,,13.81M,378.43M,1.656B,494.86M,31.86M,,526.72M,118.88M,645.60M,,,,,20.22M,20.22M,-20.22M,645.60M,,,,20.22M,20.22M,16.08M,,20.22M,665.82M,1.067M,798.34M,175.44M,,,-0.531M,974.31M
2005-12,,463.89M,0.123M,464.02M,709.33M,,709.33M,,7.208M,21.40M,1.202B,129.72M,186.95M,144.72M,3.783M,20.92M,486.09M,-152.30M,333.79M,7.774M,8.997M,16.77M,,13.52M,364.08M,1.566B,479.55M,29.28M,,508.83M,103.67M,612.50M,,,,,,,,612.50M,,,,13.28M,13.28M,13.88M,,13.28M,625.78M,2.132M,745.98M,180.90M,,,-2.639M,926.38M
2005-09,,461.44M,0.096M,461.54M,714.11M,,714.11M,,,15.44M,1.191B,,,,,,474.70M,-155.34M,319.36M,7.774M,9.433M,17.21M,,14.21M,350.78M,1.542B,479.30M,25.87M,,505.17M,106.20M,611.36M,,,,,37.20M,37.20M,-33.31M,615.25M,,,,33.31M,33.31M,11.57M,,33.31M,648.56M,1.067M,868.50M,12.12M,,,0.05M,881.74M
2005-06,,438.87M,0.119M,438.99M,615.64M,,615.64M,,,24.43M,1.079B,,,,,,456.77M,-150.59M,306.18M,7.774M,9.825M,17.60M,,14.41M,338.19M,1.417B,422.94M,19.23M,,442.17M,100.54M,542.71M,,,,,32.93M,32.93M,-26.06M,549.57M,,,,26.06M,26.06M,9.522M,,26.06M,575.63M,1.065M,816.31M,14.70M,,,0.024M,832.09M
