,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.854B,1.854B,1.609B,245.11M,10.96M,,10.96M,,,,,4.314M,4.314M,41.32M,52.29M,192.82M,4.314M,,4.314M,0.624M,4.314M,197.76M,61.56M,136.20M,-0.508M,135.69M,135.69M,206.74M,13.92M,192.82M,0.77,,0.77,0.77,0.76,,0.76,0.76,175.90M,179.42M,0.0
2017-12,1.901B,1.901B,1.654B,246.87M,11.81M,,11.81M,,,,,3.639M,3.639M,36.05M,47.86M,199.01M,3.639M,,3.639M,2.547M,3.639M,205.20M,37.74M,167.46M,-0.488M,166.97M,166.97M,212.08M,13.07M,199.01M,0.94,,0.94,0.94,0.92,,0.92,0.92,177.51M,180.81M,0.42
2017-09,1.802B,1.802B,1.565B,237.29M,10.61M,,10.61M,,,,,3.444M,3.444M,39.78M,50.39M,186.90M,3.444M,,3.444M,0.096M,3.444M,190.44M,69.83M,120.61M,-0.343M,120.26M,120.26M,199.17M,12.27M,186.90M,0.67,,0.67,0.67,0.66,,0.66,0.66,179.42M,181.79M,0.0
2017-06,1.672B,1.672B,1.468B,203.90M,10.95M,,10.95M,,,,,3.38M,3.38M,24.71M,35.66M,168.24M,3.38M,,3.38M,2.19M,3.38M,173.81M,65.06M,108.76M,0.096M,108.85M,108.85M,180.28M,12.04M,168.24M,0.6,,0.6,0.6,0.6,,0.6,0.6,180.01M,182.03M,0.42
2017-03,1.545B,1.545B,1.350B,194.97M,10.92M,,10.92M,,,,,2.741M,2.741M,37.94M,48.85M,146.11M,2.741M,,2.741M,0.298M,2.741M,149.15M,55.59M,93.57M,-0.303M,93.26M,93.26M,158.04M,11.93M,146.11M,0.52,,0.52,0.52,0.51,,0.51,0.51,180.06M,182.09M,0.0
2016-12,1.642B,1.642B,1.423B,219.32M,11.95M,,11.95M,,,,,2.987M,2.987M,35.16M,47.11M,172.21M,2.987M,,2.987M,1.706M,2.987M,176.90M,65.80M,111.10M,-0.508M,110.59M,110.59M,184.15M,11.94M,172.21M,0.61,,0.61,0.61,0.61,,0.61,0.61,180.19M,181.94M,0.4
2016-09,1.562B,1.562B,1.347B,215.08M,10.13M,,10.13M,,,,,2.924M,2.924M,37.68M,47.82M,167.26M,2.924M,,2.924M,0.925M,2.924M,171.11M,63.16M,107.95M,-0.368M,107.58M,107.58M,179.14M,11.88M,167.26M,0.59,,0.59,0.59,0.59,,0.59,0.59,181.18M,182.69M,0.0
2016-06,1.475B,1.475B,1.254B,220.86M,10.25M,,10.25M,,,,,2.89M,2.89M,31.75M,42.00M,178.86M,2.89M,,2.89M,1.603M,2.89M,183.36M,66.92M,116.44M,-0.387M,116.05M,116.05M,190.51M,11.64M,178.86M,0.64,,0.64,0.64,0.63,,0.63,0.63,181.75M,183.13M,0.4
2016-03,1.418B,1.418B,1.223B,195.53M,9.432M,,9.432M,,,,,2.779M,2.779M,34.27M,43.70M,151.83M,2.779M,,2.779M,0.879M,2.779M,155.48M,58.44M,97.05M,-0.463M,96.58M,96.58M,163.16M,11.33M,151.83M,0.53,,0.53,0.53,0.53,,0.53,0.53,182.01M,183.02M,0.0
2015-12,1.596B,1.596B,1.380B,216.22M,11.84M,,11.84M,,,,,2.387M,2.387M,26.38M,38.22M,177.99M,2.387M,,2.387M,4.031M,2.387M,184.41M,69.31M,115.10M,-0.651M,114.45M,114.45M,189.58M,11.59M,177.99M,0.62,,0.62,0.62,0.61,,0.61,0.61,185.07M,186.55M,0.36
2015-09,1.651B,1.651B,1.414B,237.19M,10.37M,,10.37M,,,,,2.666M,2.666M,34.93M,45.30M,191.89M,2.666M,,2.666M,-3.085M,2.666M,191.47M,72.74M,118.74M,-0.426M,118.31M,118.31M,203.37M,11.48M,191.89M,0.63,,0.63,0.63,0.62,,0.62,0.62,188.42M,189.64M,0.0
2015-06,1.692B,1.692B,1.463B,228.68M,10.53M,,10.53M,,,,,2.636M,2.636M,35.44M,45.97M,182.72M,2.636M,,2.636M,3.804M,2.636M,189.16M,70.83M,118.33M,-0.569M,117.76M,117.76M,194.14M,11.42M,182.72M,0.62,,0.62,0.62,0.61,,0.61,0.61,190.68M,191.92M,0.36
2015-03,1.678B,1.678B,1.464B,213.69M,9.247M,,9.247M,,,,,2.732M,2.732M,35.56M,44.81M,168.88M,2.732M,,2.732M,0.034M,2.732M,171.65M,64.32M,107.33M,-0.628M,106.70M,106.70M,180.41M,11.53M,168.88M,0.56,,0.56,0.56,0.55,,0.55,0.55,191.63M,192.71M,0.0
2014-12,1.769B,1.769B,1.564B,205.20M,11.42M,,11.42M,,,,,2.519M,2.519M,35.90M,47.32M,157.87M,2.519M,,2.519M,0.223M,2.519M,160.61M,59.87M,100.74M,-1.359M,99.38M,99.38M,169.62M,11.75M,157.87M,0.52,,0.52,0.52,0.51,,0.51,0.51,192.67M,193.21M,0.32
2014-09,1.705B,1.705B,1.504B,201.57M,9.24M,,9.24M,,,,,2.793M,2.793M,33.20M,42.44M,159.13M,2.793M,,2.793M,2.336M,2.793M,164.26M,61.46M,102.80M,-0.416M,102.38M,102.38M,171.87M,12.74M,159.13M,0.53,,0.53,0.53,0.53,,0.53,0.53,194.42M,195.00M,0.0
2014-06,1.599B,1.599B,1.413B,186.13M,9.291M,,9.291M,,,,,2.764M,2.764M,34.40M,43.69M,142.44M,2.764M,,2.764M,3.19M,2.764M,148.40M,56.67M,91.73M,-0.426M,91.30M,91.30M,154.86M,12.42M,142.44M,0.46,,0.46,0.46,0.46,,0.46,0.46,196.45M,197.13M,0.32
2014-03,1.492B,1.492B,1.321B,171.10M,8.173M,,8.173M,,,,,2.697M,2.697M,27.72M,35.90M,135.20M,2.697M,,2.697M,-0.281M,2.697M,137.62M,53.42M,84.20M,-0.371M,83.82M,83.82M,147.58M,12.38M,135.20M,0.42,,0.42,0.42,0.42,,0.42,0.42,201.12M,201.84M,0.0
2013-12,1.626B,1.626B,1.452B,173.59M,9.352M,,9.352M,,,,,2.53M,2.53M,30.58M,39.93M,133.66M,2.53M,,2.53M,1.645M,2.53M,137.84M,53.83M,84.01M,-0.513M,83.50M,83.50M,146.15M,12.49M,133.66M,0.41,,0.41,0.41,0.41,,0.41,0.41,204.54M,205.53M,0.3
2013-09,1.538B,1.538B,1.352B,186.12M,8.306M,,8.306M,,,,,2.967M,2.967M,31.50M,39.80M,146.31M,2.967M,,2.967M,1.212M,2.967M,150.49M,57.76M,92.73M,-0.329M,92.40M,92.40M,158.94M,12.63M,146.31M,0.45,,0.45,0.45,0.45,,0.45,0.45,206.52M,207.37M,0.0
2013-06,1.503B,1.503B,1.323B,179.92M,8.328M,,8.328M,,,,,3.07M,3.07M,28.01M,36.34M,143.58M,3.07M,,3.07M,4.325M,3.07M,150.97M,58.31M,92.66M,-0.348M,92.32M,92.32M,155.25M,11.67M,143.58M,0.45,,0.45,0.45,0.45,,0.45,0.45,206.44M,207.19M,0.3
2013-03,1.413B,1.413B,1.249B,164.12M,7.257M,,7.257M,,,,,3.243M,3.243M,28.34M,35.60M,128.52M,3.243M,,3.243M,1.531M,3.243M,133.29M,52.68M,80.61M,-0.295M,80.32M,80.32M,139.80M,11.28M,128.52M,0.39,,0.39,0.39,0.39,,0.39,0.39,206.48M,207.61M,0.0
2012-12,1.544B,1.544B,1.366B,177.97M,8.814M,,8.814M,,,,,3.522M,3.522M,41.13M,49.95M,128.02M,3.522M,,3.522M,1.845M,3.522M,133.39M,49.89M,83.50M,0.709M,84.21M,84.21M,138.72M,10.70M,128.02M,0.41,,0.41,0.41,0.4,,0.4,0.4,207.75M,208.99M,0.28
2012-09,1.532B,1.532B,1.351B,180.90M,7.847M,,7.847M,,,,,2.831M,2.831M,27.96M,35.81M,145.10M,2.831M,,2.831M,1.05M,2.831M,148.98M,60.25M,88.73M,-0.237M,88.49M,88.49M,155.13M,10.03M,145.10M,0.42,,0.42,0.42,0.42,,0.42,0.42,210.14M,211.40M,0.0
2012-06,1.505B,1.505B,1.332B,173.20M,8.86M,,8.86M,,,,,3.05M,3.05M,31.94M,40.80M,132.40M,3.05M,,3.05M,3.46M,3.05M,138.91M,54.89M,84.02M,-0.066M,83.96M,83.96M,142.07M,9.67M,132.40M,0.4,,0.4,0.4,0.39,,0.39,0.39,211.72M,213.21M,0.28
2012-03,1.411B,1.411B,1.242B,169.72M,8.663M,,8.663M,,,,,3.36M,3.36M,35.78M,44.45M,125.27M,3.36M,,3.36M,0.477M,3.36M,129.11M,52.39M,76.72M,-0.015M,76.71M,76.71M,134.82M,9.545M,125.27M,0.36,,0.36,0.36,0.36,,0.36,0.36,212.10M,214.20M,0.0
2011-12,1.513B,1.513B,2.151B,-637.72M,10.45M,,-799.08M,,,,,2.715M,3.437M,,-701.41M,63.69M,2.715M,,3.437M,88.07M,3.437M,155.20M,62.06M,93.14M,-0.297M,92.84M,92.84M,143.92M,9.146M,134.78M,0.44,0.0,0.44,0.44,0.43,0.0,0.43,0.43,211.99M,214.00M,0.25
2011-09,1.606B,1.606B,1.113B,493.85M,9.342M,279.86M,289.21M,,21.35M,-20.89M,0.279M,2.888M,2.609M,,298.40M,195.44M,2.888M,0.279M,2.609M,-20.89M,2.609M,177.16M,70.28M,106.88M,-0.272M,106.60M,119.28M,186.64M,9.199M,177.44M,0.5,0.0,0.5597,0.5,0.5,0.0,0.5591,0.5,212.26M,214.72M,0.0
2011-06,1.581B,1.581B,1.109B,472.56M,10.02M,270.47M,280.49M,,21.35M,-29.68M,0.229M,2.312M,2.083M,,289.75M,182.81M,2.312M,0.229M,2.083M,-29.68M,2.083M,155.22M,60.20M,95.02M,-0.02M,95.00M,113.17M,164.70M,9.257M,155.44M,0.45,0.0,0.5357,0.45,0.44,0.0,0.5243,0.44,212.14M,215.66M,0.25
2011-03,1.461B,1.461B,1.007B,453.92M,9.163M,259.20M,268.36M,,21.38M,-28.04M,0.214M,2.32M,2.106M,,277.53M,176.38M,2.32M,0.214M,2.106M,-28.04M,2.106M,150.45M,59.25M,91.21M,0.025M,91.23M,108.22M,159.84M,9.174M,150.67M,0.43,0.0,0.5101,0.43,0.42,0.0,0.4987,0.42,212.09M,215.86M,0.0
2010-12,1.582B,1.582B,2.137B,-554.88M,9.593M,,-703.94M,,,,0.198M,2.064M,1.866M,,-626.27M,71.39M,2.064M,0.198M,1.866M,78.36M,1.866M,151.62M,55.17M,96.45M,0.054M,96.50M,96.50M,161.13M,9.31M,151.82M,0.45,,0.45,0.45,0.45,,0.45,0.45,212.22M,216.29M,0.2
2010-09,1.668B,1.668B,1.209B,458.74M,7.877M,254.65M,262.53M,,19.30M,-29.17M,0.14M,1.679M,1.539M,,271.61M,187.13M,1.679M,0.14M,1.539M,-29.17M,1.539M,159.49M,63.46M,96.04M,0.067M,96.10M,113.67M,168.72M,9.085M,159.63M,0.45,0.0,0.5327,0.45,0.44,0.0,0.5212,0.44,212.39M,216.34M,0.0
2010-06,1.517B,1.517B,1.098B,418.86M,7.55M,239.80M,247.35M,,18.70M,-13.61M,0.151M,1.484M,1.333M,,256.46M,162.39M,1.484M,0.151M,1.333M,-13.61M,1.333M,150.12M,59.71M,90.41M,-0.091M,90.32M,98.51M,159.38M,9.11M,150.27M,0.43,0.0,0.4686,0.43,0.42,0.0,0.4579,0.42,212.33M,216.46M,0.2
2010-03,1.201B,1.201B,839.29M,361.82M,7.035M,219.08M,226.11M,,19.23M,-25.17M,0.087M,1.775M,1.688M,,235.50M,126.32M,1.775M,0.087M,1.688M,-25.17M,1.688M,102.84M,41.53M,61.31M,-0.063M,61.25M,76.35M,112.32M,9.395M,102.92M,0.29,0.0,0.3612,0.29,0.28,0.0,0.3497,0.28,212.19M,216.63M,0.0
2009-12,1.247B,1.247B,822.34M,424.57M,7.985M,277.02M,285.01M,,,-82.55M,0.095M,1.924M,1.829M,,231.30M,193.27M,1.924M,0.095M,1.829M,-82.55M,1.829M,112.55M,42.90M,69.65M,-0.515M,69.14M,120.22M,124.08M,11.43M,112.64M,0.32,0.0,0.561,0.32,0.32,0.0,0.5561,0.32,211.99M,216.39M,0.19
2009-09,1.037B,1.037B,709.00M,328.33M,6.541M,194.74M,201.28M,,,1.192M,0.325M,2.214M,1.889M,20.88M,232.08M,96.25M,2.214M,0.325M,1.889M,1.192M,1.889M,99.33M,41.76M,57.56M,0.188M,57.75M,56.98M,109.58M,9.923M,99.65M,0.27,0.0,0.2663,0.27,0.27,0.0,0.2664,0.27,212.24M,216.68M,0.0
2009-06,895.36M,895.36M,547.36M,348.00M,5.547M,189.56M,195.11M,,17.95M,2.081M,0.064M,2.433M,2.369M,19.81M,225.17M,122.84M,2.433M,0.064M,2.369M,2.081M,2.369M,91.38M,37.56M,53.81M,0.256M,54.07M,52.72M,101.68M,10.24M,91.44M,0.25,0.0,0.2436,0.25,0.25,0.0,0.2438,0.25,212.12M,216.65M,0.19
2009-03,912.68M,912.68M,557.45M,355.24M,6.222M,187.21M,193.43M,,18.72M,4.553M,0.015M,3.606M,3.591M,22.93M,226.32M,128.92M,3.606M,0.015M,3.591M,4.553M,3.591M,99.62M,40.25M,59.37M,-0.109M,59.26M,56.53M,109.59M,9.958M,99.63M,0.28,0.0,0.2671,0.28,0.27,0.0,0.2574,0.27,212.10M,216.32M,0.0
2008-12,1.307B,1.307B,963.45M,343.94M,9.649M,294.67M,304.32M,,18.45M,-109.31M,0.014M,6.193M,6.179M,,230.30M,113.64M,6.193M,0.014M,6.179M,-109.31M,6.179M,127.59M,48.88M,78.71M,-0.978M,77.73M,145.16M,139.17M,11.57M,127.60M,0.36,0.0,0.6782,0.36,0.35,0.0,0.6608,0.35,211.94M,216.97M,0.16
2008-09,1.565B,1.565B,1.116B,448.86M,8.881M,224.81M,233.69M,,19.73M,2.225M,0.023M,5.005M,4.982M,30.09M,274.00M,174.85M,5.005M,0.023M,4.982M,2.225M,4.982M,142.60M,56.46M,86.15M,-0.581M,85.56M,84.22M,152.85M,10.22M,142.63M,0.4,0.0,0.3937,0.4,0.39,0.0,0.3839,0.39,212.75M,218.73M,0.0
2008-06,1.454B,1.454B,1.038B,416.70M,9.744M,215.54M,225.28M,,19.37M,-0.162M,0.075M,4.915M,4.84M,29.64M,264.98M,151.72M,4.915M,0.075M,4.84M,-0.162M,4.84M,117.65M,46.04M,71.61M,-0.357M,71.25M,71.35M,127.78M,10.06M,117.72M,0.33,0.0,0.3305,0.33,0.32,0.0,0.3204,0.32,213.28M,220.52M,0.16
2008-03,1.307B,1.307B,913.56M,393.76M,9.504M,205.82M,215.32M,,19.44M,1.274M,0.071M,4.964M,4.893M,24.24M,249.33M,144.43M,4.964M,0.071M,4.893M,1.274M,4.893M,111.73M,45.21M,66.52M,-0.049M,66.47M,65.71M,121.57M,9.772M,111.80M,0.31,0.0,0.3064,0.31,0.3,0.0,0.2965,0.3,213.06M,220.44M,0.0
2007-12,1.447B,1.447B,1.050B,396.96M,11.17M,206.52M,217.69M,,17.51M,7.445M,0.127M,6.005M,5.878M,26.86M,254.31M,142.64M,6.005M,0.127M,5.878M,7.445M,5.878M,114.00M,43.59M,70.41M,-0.356M,70.06M,65.46M,125.38M,11.25M,114.13M,0.33,0.0,0.3084,0.33,0.31,0.0,0.2892,0.31,213.09M,221.22M,0.14
2007-09,1.411B,1.411B,1.008B,402.56M,8.89M,205.21M,214.10M,,17.75M,1.038M,0.022M,5.586M,5.564M,23.75M,247.54M,155.02M,5.586M,0.022M,5.564M,1.038M,5.564M,126.12M,51.75M,74.37M,-0.053M,74.32M,73.65M,135.84M,9.69M,126.14M,0.35,0.0,0.3468,0.35,0.34,0.0,0.337,0.34,213.49M,221.65M,0.0
2007-06,1.259B,1.259B,888.30M,370.32M,9.581M,197.39M,206.97M,,15.74M,1.675M,0.118M,5.531M,5.413M,19.84M,237.09M,133.23M,5.531M,0.118M,5.413M,1.675M,5.413M,109.06M,43.32M,65.75M,-0.258M,65.49M,64.48M,119.46M,10.28M,109.18M,0.31,0.0,0.3053,0.31,0.3,0.0,0.2954,0.3,213.25M,221.72M,0.14
2007-03,1.119B,1.119B,,,9.096M,182.76M,191.86M,,,0.755M,,,,822.99M,1.024B,94.52M,,,,0.755M,,100.48M,41.16M,59.32M,-0.037M,59.29M,58.80M,104.10M,9.575M,94.52M,0.28,0.0,0.2777,0.28,0.27,0.0,0.2678,0.27,213.43M,222.84M,0.0
2006-12,1.244B,1.244B,689.09M,555.26M,9.652M,137.43M,147.08M,,108.60M,-0.149M,,,,-2.463B,-2.307B,2.862B,,,,-0.149M,,104.47M,40.97M,63.50M,-0.886M,62.61M,62.70M,2.770B,10.80M,2.760B,0.29,0.0,0.2904,0.29,0.28,0.0,0.2804,0.28,213.14M,227.27M,0.11
2006-09,1.232B,1.232B,,,8.484M,184.00M,192.48M,9.341M,,0.743M,,,,928.58M,1.130B,101.26M,,,,0.743M,,106.23M,47.13M,59.10M,4.704M,63.80M,63.36M,110.60M,9.341M,101.26M,0.3,0.0,0.2979,0.3,0.29,0.0,0.288,0.29,213.52M,221.42M,0.0
2006-06,1.131B,1.131B,,,8.957M,,8.957M,8.626M,,0.465M,,,,1.025B,1.043B,88.80M,,,,0.465M,,93.65M,35.50M,58.14M,-1.816M,56.33M,56.04M,97.43M,8.626M,88.80M,0.26,0.0,0.2586,0.26,0.25,0.0,0.2487,0.25,213.73M,224.37M,0.11
2006-03,1.027B,1.027B,,,7.957M,,7.957M,8.053M,,1.667M,,,,925.13M,941.14M,85.40M,,,,1.667M,,91.32M,37.05M,54.26M,-1.911M,52.35M,51.35M,93.45M,8.053M,85.40M,0.25,0.0,0.2453,0.25,0.24,0.0,0.2355,0.24,213.42M,222.56M,0.0
2005-12,1.102B,1.102B,669.02M,433.16M,8.167M,555.61M,563.77M,,95.62M,1.117M,,,,-2.492B,-1.920B,2.353B,,,,1.117M,,89.02M,12.28M,76.74M,-2.454M,74.29M,73.33M,2.270B,9.528M,2.260B,0.35,0.0,0.3455,0.35,0.33,0.0,0.3256,0.33,213.47M,218.22M,0.075
2005-09,1.046B,1.046B,792.50M,253.94M,7.059M,13.99M,21.05M,7.84M,-13.99M,1.355M,,,,954.11M,983.00M,-729.06M,,,,1.355M,,81.81M,31.34M,50.46M,-2.06M,48.40M,47.57M,-721.22M,7.84M,-729.06M,0.23,0.0,0.2261,0.23,0.22,0.0,0.2162,0.22,213.74M,221.33M,0.0
2005-06,928.00M,928.00M,722.38M,205.62M,7.12M,13.46M,20.58M,7.603M,-13.46M,0.874M,,,,854.55M,882.73M,-677.11M,,,,0.874M,,62.11M,24.08M,38.03M,-1.328M,36.70M,36.16M,-669.50M,7.603M,-677.11M,0.17,0.0,0.1675,0.17,0.17,0.0,0.1676,0.17,213.55M,220.90M,0.075
2005-03,825.16M,825.16M,640.69M,184.48M,7.546M,13.75M,21.29M,7.339M,-13.75M,1.196M,,,,759.83M,788.46M,-603.99M,,,,1.196M,,53.76M,21.84M,31.92M,-1.054M,30.87M,30.15M,-596.65M,7.339M,-603.99M,0.145,0.0,0.1416,0.145,0.14,0.0,0.1368,0.14,213.46M,222.72M,0.0
2004-12,934.80M,935.28M,774.36M,160.92M,,-273.85M,-294.24M,7.145M,,0.585M,,,,671.12M,384.03M,-223.11M,,,,0.585M,,34.46M,20.75M,13.70M,8.721M,17.39M,17.04M,-215.96M,-46.26M,-223.11M,0.075,0.0,0.0734,0.075,0.075,0.0,0.0734,0.075,217.09M,217.59M,0.055
2004-09,897.19M,897.19M,691.45M,205.74M,6.769M,124.74M,131.51M,6.806M,,0.524M,,,,691.45M,829.77M,-624.03M,,,,0.524M,,69.37M,24.69M,44.69M,-1.579M,43.11M,42.77M,-617.22M,6.806M,-624.03M,0.205,0.0,0.2034,0.205,0.195,0.0,0.1935,0.195,212.51M,222.41M,0.0
2004-06,798.67M,798.67M,,,7.109M,117.93M,125.04M,,,0.644M,,,,608.89M,740.42M,58.25M,,,,0.644M,,60.12M,21.37M,38.75M,-1.141M,37.61M,37.20M,64.74M,6.493M,58.25M,0.18,0.0,0.178,0.18,0.17,0.0,0.1681,0.17,211.19M,221.31M,0.055
2004-03,686.85M,686.85M,,,6.51M,111.04M,117.55M,,,1.157M,,,,514.23M,638.04M,48.81M,,,,1.157M,,50.97M,18.16M,32.81M,-0.962M,31.84M,31.10M,55.07M,6.259M,48.81M,0.15,0.0,0.1465,0.15,0.145,0.0,0.1416,0.145,210.26M,219.23M,0.0
2003-12,731.41M,731.41M,,,,-224.23M,-240.66M,,,1.078M,,,,508.44M,274.39M,-1.582B,,,,1.078M,,35.21M,23.00M,12.21M,3.719M,13.38M,12.74M,-1.575B,-42.18M,-1.582B,0.06,0.0,0.0569,0.06,0.06,0.0,0.0569,0.06,210.05M,211.35M,0.04
2003-09,711.47M,711.47M,,,5.784M,103.27M,109.06M,,,0.829M,,,,546.94M,662.09M,49.38M,,,,0.829M,,51.30M,18.31M,32.99M,-0.43M,32.56M,32.02M,55.47M,6.09M,49.38M,0.155,0.0,0.1525,0.155,0.15,0.0,0.1476,0.15,210.08M,218.38M,0.0
2003-06,625.71M,625.71M,486.60M,139.11M,5.332M,109.48M,114.81M,5.923M,-11.46M,1.577M,,,,475.14M,595.87M,-456.76M,,,,1.577M,,44.08M,15.70M,28.38M,-0.471M,27.91M,26.89M,-450.84M,5.923M,-456.76M,0.135,0.0,0.1301,0.135,0.13,0.0,0.1253,0.13,209.08M,217.96M,0.04
2003-03,556.35M,556.35M,408.31M,148.04M,5.307M,104.54M,109.84M,5.779M,-11.00M,1.06M,,,,414.19M,529.81M,-381.78M,,,,1.06M,,39.52M,14.13M,25.39M,-0.27M,25.12M,24.44M,-376.00M,5.779M,-381.78M,0.12,0.0,0.1167,0.12,0.115,0.0,0.1119,0.115,208.64M,217.45M,0.0
2002-12,691.21M,691.21M,532.52M,158.70M,,-226.09M,-240.24M,5.658M,-10.72M,-0.322M,,,,480.98M,246.39M,-87.70M,,,,-0.322M,,56.37M,20.37M,36.00M,,36.00M,36.20M,-82.04M,-39.79M,-87.70M,0.08,0.0,0.081,0.08,0.08,0.0,0.081,0.08,208.29M,208.29M,0.03
2002-09,620.39M,620.39M,480.67M,139.72M,4.858M,102.27M,107.13M,5.655M,-10.19M,-0.167M,,,,470.48M,583.27M,-443.54M,,,,-0.167M,,48.70M,18.08M,30.62M,,30.62M,30.72M,-415.06M,28.48M,-443.54M,0.145,0.0,0.1455,0.145,0.14,0.0,0.1405,0.14,208.47M,217.13M,0.0
