,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,136.20M,,,,13.92M,13.92M,2.853M,11.27M,,0.048M,100.65M,-26.34M,1.134M,,-3.994M,71.45M,235.48M,-13.80M,,-13.80M,,-0.431M,-14.23M,,,,26.40M,-172.36M,-145.96M,,,,-145.96M,1.051B,75.29M,6.515M,1.133B,26.40M,,,-172.36M,38.52M,
2017-12,167.46M,,,,13.07M,13.07M,-27.70M,11.87M,,-4.234M,-60.98M,23.95M,6.147M,,,-36.25M,126.39M,-27.41M,,56.99M,,-0.182M,56.81M,,,,42.31M,-137.52M,-95.21M,-74.77M,-74.77M,,-170.88M,1.033B,12.31M,5.343M,1.051B,42.31M,,,-137.52M,58.79M,
2017-09,120.61M,,,,12.27M,12.27M,-28.85M,11.21M,,0.377M,-126.10M,99.98M,-5.872M,,,-31.99M,85.36M,-34.46M,,-34.46M,,-0.261M,-34.72M,,,,65.92M,-202.78M,-136.86M,0.00,0.00,,-136.86M,1.115B,-86.22M,4.758M,1.033B,65.92M,,,-202.78M,58.26M,
2017-06,108.76M,,,,12.04M,12.04M,7.261M,17.20M,,-0.174M,-73.14M,5.464M,3.29M,,,-64.39M,81.21M,-20.38M,,-20.38M,,0.04M,-20.34M,,,,51.50M,-84.05M,-32.55M,-75.73M,-75.73M,,-108.28M,1.156B,-47.40M,6.27M,1.115B,51.50M,,,-84.05M,103.51M,
2017-03,93.57M,,,,11.93M,11.93M,5.593M,10.62M,,-0.351M,75.45M,1.50M,-3.565M,,,73.39M,195.68M,-12.76M,,-12.76M,,-0.671M,-13.43M,,,,45.36M,-53.91M,-8.543M,,,,-8.543M,974.44M,173.70M,7.904M,1.156B,45.36M,,,-53.91M,29.15M,
2016-12,111.10M,,,,11.94M,11.94M,13.49M,10.95M,,-3.581M,-108.38M,32.81M,4.077M,,,-71.50M,72.56M,-19.34M,,-19.11M,,0.456M,-18.70M,,,,37.67M,-69.56M,-31.89M,-72.12M,-72.12M,,-105.35M,1.043B,-51.49M,-16.77M,974.44M,37.67M,,,-69.56M,49.26M,
2016-09,107.95M,,,,11.88M,11.88M,-1.439M,10.48M,,0.011M,-58.28M,45.27M,-1.395M,,,-14.41M,115.79M,-12.66M,,-12.66M,,1.617M,-11.04M,,,,57.52M,-101.69M,-44.17M,0.00,0.00,,-44.17M,980.26M,60.58M,1.853M,1.043B,57.52M,,,-101.69M,58.70M,
2016-06,116.44M,,,,11.64M,11.64M,-6.115M,12.96M,,-0.006M,-48.34M,16.69M,1.361M,,,-30.30M,105.18M,-13.28M,,-13.28M,,4.414M,-8.865M,,,,48.49M,-96.12M,-47.63M,-73.00M,-73.00M,,-120.63M,1.014B,-24.31M,-9.345M,980.26M,48.49M,,,-96.12M,108.37M,
2016-03,97.05M,,,,11.33M,11.33M,9.896M,10.83M,,0.036M,112.71M,-4.419M,-2.055M,,,106.24M,235.95M,-14.04M,,-14.04M,,-0.559M,-14.59M,,,,41.64M,-70.29M,-28.66M,,,,-28.66M,807.80M,192.70M,13.42M,1.014B,41.64M,,,-70.29M,37.98M,
2015-12,115.10M,,,,11.59M,11.59M,4.687M,10.93M,1.846M,-0.139M,43.71M,-73.20M,2.072M,,,-27.42M,117.76M,-12.48M,,-12.22M,8.218M,-1.113M,-5.117M,,,,16.26M,-214.52M,-198.25M,-66.89M,-66.89M,-3.111M,-268.26M,968.68M,-155.61M,-5.278M,807.80M,16.26M,,,-214.52M,49.34M,
2015-09,118.74M,,,,11.48M,11.48M,-7.611M,10.92M,0.00,0.002M,2.466M,0.356M,-3.801M,,,-0.979M,132.68M,-9.546M,,-9.546M,38.79M,-2.666M,26.58M,,,,54.61M,-209.97M,-155.36M,0.00,0.00,0.00,-155.36M,985.73M,3.888M,-20.93M,968.68M,54.61M,,,-209.97M,60.37M,
2015-06,118.33M,,,,11.42M,11.42M,8.986M,11.66M,-0.366M,0.027M,63.23M,-30.96M,-1.187M,,,31.08M,181.73M,-12.91M,,-12.91M,-46.99M,-0.014M,-59.91M,,,,25.05M,-128.14M,-103.09M,-68.78M,-68.78M,0.366M,-171.50M,1.033B,-49.69M,2.272M,985.73M,25.05M,,,-128.14M,101.39M,
2015-03,107.33M,,,,11.53M,11.53M,11.94M,9.907M,-1.48M,0.086M,-46.79M,38.03M,3.569M,,,-5.194M,134.39M,-9.445M,,-9.445M,40.27M,0.198M,31.03M,,,,35.05M,-77.37M,-42.32M,,,0.623M,-41.70M,927.11M,123.72M,-17.69M,1.033B,35.05M,,,-77.37M,28.26M,
2014-12,100.74M,,,,11.75M,11.75M,-14.58M,10.31M,-0.084M,-0.005M,-75.51M,53.50M,2.582M,,,-19.43M,89.53M,-10.82M,,-10.82M,-0.02M,-0.842M,-11.68M,,,,10.80M,-75.62M,-64.82M,-61.83M,-61.83M,-0.334M,-126.98M,990.48M,-49.13M,-14.24M,927.11M,10.80M,,,-75.62M,59.08M,
2014-09,102.80M,,,,12.74M,12.74M,-2.085M,10.05M,-0.047M,0.139M,-58.98M,25.16M,-3.646M,,,-37.47M,86.69M,-8.255M,,-8.255M,45.83M,0.37M,37.95M,,,,28.45M,-117.04M,-88.59M,0.00,0.00,0.047M,-88.54M,970.56M,36.09M,-16.17M,990.48M,28.45M,,,-117.04M,61.90M,
2014-06,91.73M,,,,12.42M,12.42M,2.891M,11.88M,-0.495M,0.068M,-84.62M,14.01M,-3.485M,,,-74.10M,44.89M,-36.74M,,-36.74M,0.342M,-1.536M,-37.93M,,,,22.12M,-131.39M,-109.27M,-62.81M,-62.81M,0.495M,-171.58M,1.131B,-164.62M,4.137M,970.56M,22.12M,,,-131.39M,105.96M,
2014-03,84.20M,,,,12.38M,12.38M,7.194M,10.29M,-0.489M,0.138M,12.23M,47.75M,1.279M,,,61.26M,173.86M,-8.76M,,-8.76M,-60.15M,1.67M,-67.24M,,,,7.892M,-226.72M,-218.83M,,,0.404M,-218.43M,1.248B,-111.82M,-4.79M,1.131B,7.892M,,,-226.72M,27.50M,
2013-12,84.01M,,,,12.49M,12.49M,-0.73M,10.75M,-0.656M,0.208M,-50.09M,3.13M,3.263M,,,-43.70M,61.95M,-10.72M,,-10.72M,73.49M,1.68M,64.45M,,,,7.66M,-136.73M,-129.07M,-61.39M,-61.39M,0.656M,-189.81M,1.310B,-63.40M,0.727M,1.248B,7.66M,,,-136.73M,61.17M,
2013-09,92.73M,,,,12.63M,12.63M,-33.18M,11.02M,0.00,0.187M,-5.115M,21.24M,-4.702M,,,11.42M,96.29M,-15.48M,,-15.48M,-9.925M,0.306M,-25.10M,,,,33.62M,-85.92M,-52.31M,0.00,0.00,-1.161M,-53.47M,1.286B,17.72M,6.50M,1.310B,33.62M,,,-85.92M,62.05M,
2013-06,92.66M,,,,11.67M,11.67M,5.818M,11.04M,-0.584M,0.241M,-48.22M,11.39M,-0.091M,,,-36.93M,84.03M,-17.14M,,-17.14M,-89.80M,1.264M,-105.68M,,,,7.548M,-21.60M,-14.05M,-61.90M,-61.90M,0.584M,-75.37M,1.395B,-97.02M,-11.56M,1.286B,7.548M,,,-21.60M,85.20M,
2013-03,80.61M,,,,11.28M,11.28M,7.122M,11.00M,-1.099M,0.208M,38.86M,16.83M,-0.485M,,,55.20M,165.26M,-10.07M,,-10.07M,0.038M,-0.444M,-10.47M,,,,10.93M,-17.68M,-6.752M,,,-6.631M,-13.38M,1.261B,141.41M,-7.562M,1.395B,10.93M,,,-17.68M,26.95M,
2012-12,83.50M,,,,10.70M,10.70M,7.309M,11.21M,-1.11M,3.181M,-16.04M,-41.86M,3.566M,,,-54.34M,60.75M,-10.55M,,-10.55M,0.131M,0.015M,-10.41M,,,,7.51M,-108.92M,-101.41M,-57.90M,-57.90M,1.005M,-158.31M,1.368B,-107.97M,1.17M,1.261B,7.51M,,,-108.92M,52.17M,
2012-09,88.73M,,,,10.03M,10.03M,4.588M,11.32M,-0.059M,1.26M,-23.52M,-16.45M,-7.195M,,,-47.16M,69.17M,-10.17M,,-10.17M,0.113M,-0.104M,-10.16M,,,,24.60M,-87.23M,-62.63M,0.00,0.00,-1.118M,-63.75M,1.364B,-4.741M,8.136M,1.368B,24.60M,,,-87.23M,50.91M,
2012-06,84.02M,,,,9.67M,9.67M,-5.739M,10.93M,-0.806M,0.206M,-63.26M,56.54M,1.642M,,,-5.076M,92.81M,-9.814M,,-9.814M,15.88M,-0.091M,5.973M,,,,7.482M,-84.40M,-76.92M,-59.36M,-59.36M,0.806M,-135.47M,1.413B,-36.68M,-11.98M,1.364B,7.482M,,,-84.40M,77.58M,
2012-03,76.72M,,,,9.545M,9.545M,5.481M,10.60M,-3.426M,0.217M,12.97M,33.83M,1.924M,,,48.72M,147.40M,-17.09M,,-17.09M,-15.78M,0.47M,-32.40M,,,,12.92M,-21.86M,-8.945M,,,3.426M,-5.519M,1.294B,109.48M,9.079M,1.413B,12.92M,,,-21.86M,26.51M,
2011-12,93.14M,,0.054M,,9.146M,9.146M,5.598M,10.83M,-0.232M,0.668M,58.72M,-68.53M,-1.62M,,,-11.44M,107.94M,-19.26M,-0.109M,-19.37M,0.029M,0.423M,-18.92M,,,,2.055M,-3.499M,-1.444M,,-53.00M,0.099M,-54.34M,1.261B,34.68M,-1.134M,1.294B,2.055M,,,-3.499M,83.45M,-0.065M
2011-09,106.88M,,-0.003M,,9.199M,9.199M,-9.328M,12.74M,-0.537M,1.21M,-4.312M,-13.56M,-8.344M,,,-26.22M,93.30M,-20.62M,0.024M,-20.60M,0.538M,-1.17M,-21.23M,,,,30.97M,-43.30M,-12.33M,,0.00,-0.285M,-12.62M,1.226B,59.46M,-24.48M,1.261B,30.97M,,,-43.30M,65.86M,0.048M
2011-06,95.02M,,-0.021M,,9.257M,9.257M,1.601M,10.24M,-2.285M,0.311M,-14.17M,-25.72M,3.896M,,,-36.00M,78.06M,-17.11M,0.042M,-17.07M,-0.449M,-0.064M,-17.58M,,,,15.82M,-45.69M,-29.87M,,-53.01M,2.285M,-80.60M,1.238B,-20.12M,7.481M,1.226B,15.82M,,,-45.69M,117.31M,0.017M
2011-03,91.21M,,-0.03M,,9.174M,9.174M,-1.936M,10.47M,-2.246M,0.307M,6.683M,63.76M,-1.415M,,,69.03M,177.83M,-21.12M,0.043M,-21.08M,-0.089M,-1.442M,-22.61M,,,,7.804M,-19.58M,-11.78M,,,2.246M,-9.534M,1.084B,145.69M,8.32M,1.238B,7.804M,,,-19.58M,,
2010-12,96.45M,,0.461M,,9.31M,9.31M,8.048M,10.70M,-12.27M,-0.017M,77.95M,-57.58M,1.484M,,,21.85M,134.83M,-15.76M,-0.268M,-16.02M,-0.107M,-0.084M,-16.21M,,,,38.83M,-106.86M,-68.04M,,-42.48M,12.19M,-98.32M,1.057B,20.29M,6.947M,1.084B,38.83M,,,-106.86M,42.37M,0.057M
2010-09,96.04M,,-0.057M,,9.085M,9.085M,-0.565M,10.85M,-3.47M,0.387M,-34.20M,37.77M,-4.095M,,,-0.53M,113.02M,-10.95M,0.098M,-10.86M,0.137M,1.208M,-9.51M,,,,37.72M,-67.78M,-30.06M,,0.00,2.507M,-27.56M,960.30M,75.95M,20.98M,1.057B,37.72M,,,-67.78M,52.41M,0.009M
2010-06,90.41M,,-0.109M,,9.11M,9.11M,10.81M,11.00M,-4.107M,0.367M,-219.60M,120.33M,2.947M,,,-96.32M,20.55M,-8.118M,0.111M,-8.007M,0.006M,-0.707M,-8.708M,,,,11.02M,-53.65M,-42.63M,,-42.40M,4.107M,-80.92M,1.042B,-69.08M,-12.27M,960.30M,11.02M,,,-53.65M,56.85M,-0.043M
2010-03,61.31M,,-0.295M,,9.395M,9.395M,-7.728M,11.20M,-4.012M,0.478M,-12.96M,69.11M,-1.811M,,,54.33M,127.12M,-7.582M,0.059M,-7.523M,-0.036M,-0.188M,-7.747M,,,,12.22M,-18.02M,-5.799M,,,4.012M,-1.787M,925.93M,117.59M,-1.87M,1.042B,12.22M,,,-18.02M,20.00M,0.087M
2009-12,69.65M,,-0.04M,,11.43M,11.43M,11.34M,10.07M,-0.345M,32.32M,-121.40M,49.06M,2.285M,,,-70.05M,30.97M,-9.364M,0.151M,-9.213M,-0.022M,3.445M,-5.79M,,,,4.414M,-9.163M,-4.749M,,-40.28M,0.27M,-44.76M,947.27M,-19.58M,-1.762M,925.93M,4.414M,,,-9.163M,37.03M,0.10M
2009-09,57.56M,,0.008M,,9.923M,9.923M,-6.701M,10.79M,-0.246M,-1.204M,-94.02M,66.36M,-0.803M,,,-28.47M,42.46M,-2.17M,0.048M,-2.122M,0.017M,-8.804M,-10.91M,,,,25.11M,-36.22M,-11.12M,,0.00,1.359M,-9.759M,915.98M,21.79M,9.493M,947.27M,25.11M,,,-36.22M,46.61M,0.317M
2009-06,53.81M,,-0.006M,,10.24M,10.24M,-12.70M,11.37M,-2.073M,-0.71M,60.38M,-33.93M,-1.308M,,,25.14M,85.09M,-14.51M,0.033M,-14.48M,-0.013M,-0.109M,-14.60M,,,,8.868M,-21.64M,-12.77M,,-40.28M,-0.049M,-53.10M,883.68M,17.39M,14.91M,915.98M,8.868M,,,-21.64M,59.75M,0.065M
2009-03,59.37M,,-0.004M,,9.958M,9.958M,6.451M,6.90M,-3.062M,3.006M,153.96M,-64.28M,-0.015M,,,89.66M,172.28M,-8.656M,0.044M,-8.612M,0.044M,-1.482M,-10.05M,,,,8.536M,-21.33M,-12.80M,,,3.062M,-9.736M,741.03M,152.50M,-9.845M,883.68M,8.536M,,,-21.33M,15.36M,0.015M
2008-12,78.71M,,-0.048M,,11.57M,11.57M,-1.24M,10.76M,-1.074M,31.67M,169.29M,-165.96M,0.862M,,,4.184M,102.58M,-10.57M,0.082M,-10.49M,-0.282M,-0.486M,-11.26M,,,,4.572M,-9.258M,-4.686M,,-33.06M,0.195M,-37.55M,696.35M,53.77M,-9.092M,741.03M,4.572M,,,-9.258M,48.15M,0.007M
2008-09,86.15M,,-0.046M,,10.22M,10.22M,1.117M,11.51M,-0.485M,1.899M,-51.42M,35.28M,-2.544M,,,-18.69M,91.68M,-24.63M,0.106M,-24.52M,-0.006M,0.635M,-23.90M,,,,26.74M,-75.33M,-48.60M,,-0.77M,0.485M,-48.88M,703.49M,18.90M,-26.04M,696.35M,26.74M,,,-75.33M,32.11M,0.02M
2008-06,71.66M,,-0.079M,,10.06M,10.06M,7.647M,11.32M,-7.889M,0.119M,-91.78M,34.33M,0.622M,,,-56.83M,36.00M,-14.32M,0.139M,-14.18M,0.169M,-0.308M,-14.32M,,-0.81M,-0.81M,15.54M,-50.97M,-35.43M,,-34.16M,7.889M,-62.52M,740.97M,-40.83M,3.352M,703.49M,15.54M,-0.81M,0.00,-50.97M,67.61M,0.075M
2008-03,66.47M,,-0.526M,,9.772M,9.772M,8.826M,11.28M,-1.506M,0.24M,59.75M,24.34M,0.055M,,,84.15M,178.70M,-10.21M,0.042M,-10.17M,0.047M,0.363M,-9.758M,,0.81M,0.81M,4.614M,-18.62M,-14.00M,,-0.107M,1.506M,-11.80M,574.60M,157.15M,9.215M,740.97M,4.614M,0.81M,,-18.62M,24.27M,0.071M
2007-12,70.06M,,-0.049M,,11.25M,11.25M,-6.465M,10.21M,,25.66M,85.72M,-97.19M,2.325M,,-0.353M,-9.497M,73.06M,-9.137M,0.09M,-9.047M,-0.198M,-3.293M,-12.54M,,,,5.529M,-21.47M,-15.94M,,-29.85M,2.333M,-43.45M,557.18M,17.07M,0.346M,574.60M,5.529M,,,-21.47M,47.81M,-0.08M
2007-09,74.32M,0.202M,-0.802M,,9.69M,9.69M,13.22M,11.21M,,-3.026M,-157.41M,91.14M,-1.821M,,,-68.09M,36.51M,-39.40M,-0.084M,-39.49M,0.026M,-0.858M,-40.32M,,-0.203M,-0.203M,31.59M,-57.12M,-25.53M,,0.00,4.149M,-21.59M,575.04M,-25.39M,7.533M,557.18M,31.59M,-0.203M,0.00,-57.12M,24.23M,0.025M
2007-06,65.49M,-0.202M,-0.202M,,10.28M,10.28M,6.772M,23.50M,,-16.88M,-70.96M,71.24M,0.173M,,-2.469M,-2.02M,86.93M,-20.81M,0.119M,-20.69M,0.076M,-1.188M,-21.80M,,-0.017M,-0.017M,12.60M,-56.60M,-44.00M,,-29.90M,4.975M,-68.94M,576.82M,-3.808M,2.034M,575.04M,12.60M,-0.017M,,-56.60M,74.31M,0.138M
2007-03,59.29M,,,,9.575M,9.575M,5.468M,,,-4.11M,57.70M,-13.64M,-0.677M,,2.469M,45.86M,116.08M,-13.44M,0.379M,-13.06M,0.086M,-0.34M,-13.31M,,0.22M,0.22M,15.27M,-72.40M,-57.13M,,,16.33M,-40.58M,511.36M,62.19M,3.272M,576.82M,15.27M,0.22M,,-72.40M,,
2006-12,62.61M,,-2.491M,9.428M,10.80M,10.80M,-11.80M,,,-7.073M,-0.657M,20.10M,3.831M,,-38.76M,-15.48M,54.90M,-9.724M,0.08M,-9.644M,-0.166M,0.253M,-9.557M,,0.00,0.00,3.941M,-18.02M,-14.08M,,-23.44M,-4.767M,-42.29M,499.53M,3.055M,8.774M,511.36M,3.941M,0.00,,-18.02M,42.95M,0.14M
2006-09,63.80M,,-3.064M,9.341M,9.341M,9.341M,3.378M,,,10.88M,-66.76M,44.29M,-2.15M,,24.96M,0.342M,84.68M,-7.907M,0.052M,-7.855M,0.03M,-3.76M,-11.58M,,0.00,0.00,19.35M,-44.14M,-24.79M,,0.00,-2.859M,-27.64M,454.69M,45.45M,-0.613M,499.53M,19.35M,,,-44.14M,17.71M,0.022M
2006-06,56.33M,,5.373M,16.68M,8.626M,8.626M,6.309M,,,-7.746M,-49.84M,40.16M,-1.299M,,-2.34M,-13.31M,55.58M,-100.33M,0.087M,-100.25M,-0.275M,0.692M,-99.83M,,0.00,0.00,20.51M,-86.67M,-66.16M,,-23.58M,14.97M,-74.76M,567.69M,-119.01M,6.016M,454.69M,20.51M,,,-86.67M,43.05M,0.032M
2006-03,52.35M,,,,8.053M,8.053M,6.28M,,,5.047M,20.84M,28.85M,-0.473M,,17.18M,66.40M,138.13M,-21.50M,0.178M,-21.32M,-0.008M,-0.206M,-21.54M,,0.00,0.00,5.507M,-26.96M,-21.45M,,,6.035M,-15.42M,463.89M,101.18M,2.614M,567.69M,5.507M,0.00,,-26.96M,,
2005-12,74.29M,,-3.931M,8.106M,9.528M,9.528M,-24.71M,,,-10.09M,3.869M,17.60M,-7.269M,,,14.44M,79.61M,-24.62M,0.097M,-24.52M,-0.025M,-0.14M,-24.69M,2.093M,0.036M,2.129M,8.982M,-46.69M,-37.70M,,-16.00M,2.73M,-48.84M,461.44M,6.075M,-3.624M,463.89M,8.982M,,0.036M,-46.69M,-38.86M,-0.24M
2005-09,48.40M,,1.116M,7.84M,7.84M,7.84M,6.111M,,,8.295M,-97.24M,67.58M,9.015M,,,-20.64M,51.12M,-22.97M,1.082M,-21.88M,0.025M,0.077M,-21.78M,0.037M,0.037M,0.074M,21.15M,-30.15M,-9.00M,,0.00,1.749M,-7.177M,438.87M,22.16M,0.405M,461.44M,21.15M,,0.037M,-30.15M,10.30M,0.006M
2005-06,36.87M,,-6.479M,7.603M,7.603M,7.603M,10.88M,,,10.00M,-45.32M,33.18M,-4.539M,,,-16.67M,42.21M,-14.18M,0.107M,-14.07M,0.631M,-0.673M,-14.11M,0.043M,0.043M,0.086M,8.70M,-35.49M,-26.79M,,-16.06M,4.704M,-38.05M,457.39M,-9.955M,-8.562M,438.87M,8.70M,,0.043M,-35.49M,18.44M,0.214M
2005-03,30.87M,,8.397M,7.339M,7.339M,7.339M,4.024M,,,,43.67M,-2.958M,2.793M,,,43.50M,94.14M,-29.02M,0.142M,-28.88M,-0.643M,-0.666M,-30.18M,-2.173M,-2.173M,-4.346M,2.375M,-14.53M,-12.15M,,,3.748M,-12.75M,408.98M,51.20M,-2.794M,457.39M,2.375M,,-2.173M,-14.53M,10.12M,0.02M
2004-12,17.45M,,-16.27M,-46.26M,-46.26M,-46.26M,4.494M,,,49.28M,-2.804M,-20.67M,8.974M,,24.01M,29.40M,38.10M,-16.72M,0.125M,-16.59M,-0.031M,0.495M,-16.13M,2.073M,0.21M,2.283M,2.543M,-2.472M,0.071M,,-11.73M,12.50M,3.131M,377.62M,25.10M,6.262M,408.98M,2.543M,,0.21M,-2.472M,,
2004-09,43.04M,,21.29M,19.56M,6.806M,6.806M,8.155M,,,-13.72M,-72.80M,40.04M,-0.409M,,0.931M,-32.23M,33.34M,-29.23M,0.153M,-29.08M,0.007M,-0.001M,-29.07M,-0.21M,0.003M,-0.207M,14.95M,-14.98M,-0.035M,,0.00,0.21M,-0.032M,372.46M,4.231M,0.931M,377.62M,14.95M,,-0.21M,-14.98M,,
2004-06,37.60M,,,,6.493M,6.493M,5.033M,,,10.45M,-62.03M,44.08M,-9.288M,,0.857M,-26.39M,33.19M,-11.66M,0.235M,-11.42M,-0.03M,0.909M,-10.54M,,0.002M,0.002M,10.06M,-10.25M,-0.183M,,-11.64M,,-11.82M,364.33M,10.82M,-2.691M,372.46M,10.06M,,0.215M,-10.25M,,
2004-03,31.86M,,,,6.259M,6.259M,4.847M,,,3.333M,-12.58M,40.57M,0.723M,,0.962M,29.68M,75.98M,-8.638M,0.052M,-8.586M,0.031M,-0.681M,-9.236M,,-0.215M,-0.215M,1.427M,-1.537M,-0.11M,,,,-0.325M,295.83M,66.41M,2.08M,364.33M,1.427M,,-0.215M,-1.537M,,
2003-12,36.36M,,4.074M,-24.39M,-42.18M,-42.18M,-6.91M,,,12.07M,-2.011M,-27.15M,20.06M,1.624M,22.61M,15.13M,18.54M,-7.551M,0.126M,-7.425M,0.038M,-5.178M,-12.56M,-1.171M,1.324M,0.153M,1.802M,-1.595M,0.207M,,-8.404M,,-8.044M,293.00M,-2.064M,4.901M,295.83M,1.802M,,-1.171M,-1.595M,78.82M,0.166M
2003-09,32.56M,,-4.762M,-11.70M,6.09M,6.09M,3.555M,,,7.999M,-76.91M,52.13M,-9.311M,,0.43M,-33.66M,11.78M,-4.301M,0.151M,-4.15M,-0.046M,-0.38M,-4.576M,0.884M,-0.44M,0.444M,13.16M,-13.08M,0.082M,,0.00,-0.884M,-0.358M,284.42M,6.845M,1.735M,293.00M,13.16M,,0.884M,-13.08M,-35.41M,-0.124M
