,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-03,34.40M,34.40M,,,164.70M,,,34.90M,234.00M,,,,,260.90M,-111.40M,149.50M,,108.40M,108.40M,166.50M,424.40M,658.40M,,25.40M,25.40M,,25.40M,,0.90M,,0.90M,,,77.40M,103.70M,92.10M,92.10M,54.90M,54.90M,,,35.90M,182.90M,286.60M,,,67.30M,,,,,,371.80M,,,
1990-12,68.00M,68.00M,,,190.50M,,,66.00M,324.50M,,,,,254.70M,-102.80M,151.90M,,109.00M,109.00M,168.90M,429.80M,754.30M,,38.70M,38.70M,,38.70M,,15.90M,,15.90M,,,98.90M,153.50M,143.10M,143.10M,53.60M,53.60M,,,30.80M,227.50M,381.00M,,,76.20M,,,,,,373.30M,,,
1990-09,12.50M,12.50M,,,165.20M,,,12.60M,190.30M,,,,,226.60M,-90.40M,136.20M,,109.80M,109.80M,162.00M,408.00M,598.30M,,9.60M,9.60M,,9.60M,,19.80M,,19.80M,,,76.90M,106.30M,143.10M,143.10M,53.30M,53.30M,,,29.20M,225.60M,331.90M,,,59.20M,,,,,,266.40M,,,
1990-06,5.00M,5.00M,,,166.90M,,,12.70M,184.60M,,,,,215.60M,-83.70M,131.90M,,110.20M,110.20M,161.90M,404.00M,588.60M,,10.30M,10.30M,,10.30M,,80.30M,,80.30M,,,69.10M,159.70M,88.20M,88.20M,52.40M,52.40M,,,28.60M,169.20M,328.90M,,,52.80M,,,,,,259.70M,,,
1990-03,10.80M,10.80M,,,162.10M,,,13.50M,186.40M,,,,,202.50M,-76.80M,125.70M,,99.90M,99.90M,154.70M,380.30M,566.70M,,12.40M,12.40M,,12.40M,,65.80M,,65.80M,,,71.50M,149.70M,88.10M,88.10M,48.90M,48.90M,,,29.00M,166.00M,315.70M,,,45.10M,,,,,,251.00M,,,
1989-12,14.50M,14.50M,,,152.90M,,,10.80M,178.20M,,,,,198.30M,-70.40M,127.90M,,100.70M,100.70M,144.30M,372.90M,551.10M,,8.00M,8.00M,,8.00M,,47.00M,,47.00M,,,81.90M,136.90M,88.90M,88.90M,48.40M,48.40M,,,29.80M,167.10M,304.00M,,,41.20M,,,,,,247.10M,,,
1989-09,11.90M,11.90M,,,151.90M,,,11.50M,175.30M,,,,,204.20M,-72.90M,131.30M,,95.20M,95.20M,139.90M,366.40M,541.70M,,9.20M,9.20M,,9.20M,,58.60M,,58.60M,,,70.70M,138.50M,88.90M,88.90M,50.30M,50.30M,,,17.10M,156.30M,294.80M,,,46.60M,,,,,,246.90M,,,
1988-12,6.10M,6.10M,,,128.40M,,,14.60M,149.10M,,,,,175.20M,-58.50M,116.70M,,80.30M,80.30M,74.50M,271.50M,420.60M,,,,,,,44.10M,,44.10M,,,73.50M,117.60M,30.20M,30.20M,40.30M,40.30M,,,7.60M,78.10M,195.70M,,,88.00M,,,,,,224.90M,,,
1987-12,8.50M,8.50M,,,110.60M,,,6.20M,125.30M,,,,,123.30M,-43.40M,79.90M,,26.40M,26.40M,42.10M,148.40M,273.70M,,,,,,,0.10M,,0.10M,,,65.70M,65.80M,30.20M,30.20M,41.30M,41.30M,,,11.10M,82.60M,148.40M,,,66.60M,,,,,,125.30M,,,
1986-12,6.80M,6.80M,,,100.00M,,,6.90M,113.70M,,,,,104.20M,-33.50M,70.70M,,24.90M,24.90M,38.80M,134.40M,248.10M,,,,,,,13.50M,,13.50M,,,54.20M,67.70M,20.10M,20.10M,42.40M,42.40M,,,9.00M,71.50M,139.20M,,,51.00M,,,,,,108.90M,,,
1985-12,2.50M,2.50M,,,91.30M,,,9.50M,103.30M,,,,,76.90M,-25.70M,51.20M,,24.70M,24.70M,41.90M,117.80M,221.10M,,,,,,,9.70M,,9.70M,,,69.00M,78.70M,20.40M,20.40M,21.10M,21.10M,,,5.50M,47.00M,125.70M,,,39.00M,,,,,,95.40M,,,
1984-12,3.40M,3.40M,,,85.20M,,,9.00M,97.60M,,,,,81.20M,-27.30M,53.90M,,16.00M,16.00M,30.20M,100.10M,197.70M,,,,,,,4.40M,,4.40M,,,58.00M,62.40M,23.30M,23.30M,19.70M,19.70M,,,3.20M,46.20M,108.60M,,,59.80M,,,,,,89.10M,,,
