,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,93.30M,93.30M,349.80M,,349.80M,39.30M,,79.20M,561.60M,194.60M,,460.30M,,654.90M,-288.10M,366.80M,2.571B,922.60M,3.494B,79.50M,3.940B,4.502B,,40.60M,40.60M,251.90M,292.50M,,49.30M,,49.30M,96.80M,96.80M,165.20M,603.80M,1.138B,1.138B,205.50M,205.50M,146.40M,39.50M,57.00M,1.547B,2.151B,,236.60M,3.834B,1.260B,2.530B,,,-484.80M,2.311B,,AOR,Restated
2015-09,108.50M,108.50M,357.70M,,357.70M,46.90M,,69.00M,582.10M,193.40M,,439.80M,,633.20M,-294.20M,339.00M,2.581B,954.50M,3.536B,84.80M,3.959B,4.541B,,43.40M,43.40M,238.20M,281.60M,,186.80M,,186.80M,79.70M,79.70M,142.60M,690.70M,1.146B,1.146B,219.90M,219.90M,165.10M,39.60M,52.30M,1.583B,2.274B,,236.60M,3.758B,1.253B,2.537B,,,-477.10M,2.228B,,AOR,Restated
2015-06,84.20M,84.20M,368.20M,,368.20M,46.20M,,92.60M,591.20M,194.20M,,419.40M,,613.60M,-298.00M,315.60M,2.600B,990.50M,3.591B,87.80M,3.994B,4.586B,,35.80M,35.80M,197.80M,233.60M,,335.10M,,335.10M,74.10M,74.10M,141.70M,784.50M,1.146B,1.146B,226.40M,226.40M,168.10M,39.00M,54.10M,1.594B,2.379B,,236.60M,3.676B,1.240B,2.531B,,,-448.20M,2.168B,,AOR,Restated
2015-03,95.00M,95.00M,362.70M,,362.70M,46.30M,,81.00M,585.00M,193.80M,,402.90M,,596.70M,-292.70M,304.00M,2.587B,1.018B,3.605B,100.90M,4.01B,4.595B,,42.10M,42.10M,162.70M,204.80M,,377.50M,,377.50M,76.00M,76.00M,132.50M,790.80M,1.146B,1.146B,244.10M,244.10M,169.90M,42.40M,54.70M,1.614B,2.405B,,236.60M,3.600B,1.231B,2.444B,,,-469.80M,2.147B,,AOR,Restated
2014-12,128.30M,128.30M,337.20M,,337.20M,35.70M,,89.30M,590.50M,194.80M,,460.60M,,655.40M,-354.80M,300.60M,2.607B,1.049B,3.656B,114.00M,4.070B,4.661B,,20.30M,20.30M,187.40M,207.70M,,380.40M,,380.40M,73.40M,73.40M,161.60M,823.10M,1.146B,1.146B,228.30M,228.30M,173.00M,34.50M,56.30M,1.603B,2.426B,,236.60M,3.555B,1.202B,2.352B,,,-435.40M,2.200B,,AOR,Restated
2014-09,115.00M,115.00M,324.00M,,324.00M,44.70M,,66.70M,550.40M,192.90M,,568.60M,,761.50M,-463.60M,297.90M,2.625B,1.087B,3.712B,147.10M,4.157B,4.707B,,35.10M,35.10M,165.20M,200.30M,,408.90M,,408.90M,67.00M,67.00M,89.90M,766.10M,1.146B,1.146B,293.70M,293.70M,73.30M,37.00M,57.30M,1.57B,2.336B,,236.60M,3.487B,1.209B,2.259B,,,-333.90M,2.334B,,AOR,Restated
2014-06,91.70M,91.70M,345.30M,,345.30M,43.30M,,73.90M,554.20M,190.70M,,583.80M,,774.50M,-482.20M,292.30M,2.646B,1.126B,3.772B,147.70M,4.212B,4.766B,,40.90M,40.90M,152.10M,193.00M,,409.80M,,409.80M,68.00M,68.00M,89.00M,759.80M,1.146B,1.146B,290.50M,290.50M,72.60M,38.00M,56.60M,1.565B,2.325B,,236.60M,3.424B,1.198B,2.150B,,,-299.50M,2.403B,,AOR,Restated
2014-03,101.40M,101.40M,337.20M,,337.20M,37.20M,,48.70M,524.50M,189.90M,,586.60M,,776.50M,-485.50M,291.00M,2.635B,1.155B,3.790B,144.70M,4.226B,4.750B,,27.50M,27.50M,134.00M,161.50M,,488.40M,,488.40M,66.60M,66.60M,78.10M,794.60M,1.146B,1.146B,287.20M,287.20M,71.80M,40.30M,55.40M,1.56B,2.355B,,236.60M,3.362B,1.19B,2.111B,,,-316.60M,2.355B,,AOR,Restated
2013-12,235.90M,235.90M,309.70M,,309.70M,34.50M,,68.30M,648.40M,185.20M,,576.00M,,761.20M,-472.30M,288.90M,2.395B,1.069B,3.464B,138.80M,3.892B,4.540B,,19.90M,19.90M,185.60M,205.50M,,296.50M,,296.50M,61.80M,61.80M,98.70M,662.50M,1.146B,1.146B,263.70M,263.70M,72.40M,40.30M,54.80M,1.536B,2.199B,,236.60M,3.309B,1.175B,2.101B,,,-312.60M,2.301B,,AOR,Restated
2013-09,131.90M,131.90M,306.20M,,306.20M,35.30M,,53.10M,526.50M,184.30M,,589.30M,,773.60M,-487.90M,285.70M,2.356B,1.062B,3.418B,160.30M,3.864B,4.390B,,19.90M,19.90M,155.40M,175.30M,,16.40M,,16.40M,57.40M,57.40M,83.30M,332.40M,1.428B,1.428B,211.40M,211.40M,171.40M,19.40M,54.00M,1.865B,2.197B,,236.60M,3.259B,1.167B,2.112B,,,-370.70M,2.174B,,AOR,Restated
2013-06,104.90M,104.90M,318.50M,,318.50M,33.90M,,55.30M,512.60M,179.80M,,574.00M,,753.80M,-474.50M,279.30M,2.248B,1.173B,3.421B,160.70M,3.861B,4.374B,,17.80M,17.80M,145.70M,163.50M,,76.50M,,76.50M,57.10M,57.10M,78.70M,375.80M,1.429B,1.429B,220.90M,220.90M,174.50M,23.70M,53.30M,1.878B,2.254B,,236.60M,3.203B,1.156B,2.114B,,,-379.80M,2.096B,,AOR,Restated
2013-03,107.60M,107.60M,310.40M,,310.40M,32.10M,,34.70M,484.80M,179.60M,,561.60M,,741.20M,-460.10M,281.10M,2.254B,1.200B,3.454B,167.70M,3.902B,4.387B,,28.20M,28.20M,112.50M,140.70M,,176.70M,,176.70M,58.90M,58.90M,73.40M,449.70M,1.446B,1.446B,220.80M,220.80M,173.10M,26.00M,53.50M,1.893B,2.343B,,236.60M,3.139B,1.150B,2.132B,,,-368.60M,2.018B,,AOR,Restated
2012-12,146.80M,146.80M,317.00M,,317.00M,26.20M,,48.70M,538.70M,177.00M,,568.30M,,745.30M,-461.60M,283.70M,2.290B,1.242B,3.533B,165.10M,3.981B,4.520B,,25.10M,25.10M,189.60M,214.70M,,283.30M,,283.30M,57.90M,57.90M,90.60M,646.50M,1.447B,1.447B,236.70M,236.70M,176.30M,26.00M,54.00M,1.914B,2.561B,,236.60M,3.065B,1.140B,2.140B,,,-362.00M,1.933B,,AOR,Restated
2012-09,267.20M,267.20M,296.90M,,296.90M,30.20M,,11.40M,605.70M,0.00,176.40M,564.60M,,741.00M,-454.80M,286.20M,1.974B,583.30M,2.558B,156.20M,3.000B,3.606B,,28.60M,28.60M,72.50M,101.10M,,16.90M,,16.90M,54.10M,54.10M,73.90M,325.50M,951.40M,951.40M,228.60M,228.60M,163.30M,24.40M,53.90M,1.397B,1.723B,,236.60M,3.040B,1.132B,2.170B,,,-373.00M,1.859B,,AOR,Restated
2012-06,183.10M,183.10M,293.90M,,293.90M,30.20M,,9.80M,517.00M,0.00,174.70M,547.00M,,721.70M,-433.00M,288.70M,1.961B,601.50M,2.563B,152.60M,3.004B,3.521B,,30.20M,30.20M,64.10M,94.30M,,17.00M,,17.00M,54.30M,54.30M,67.00M,293.80M,951.80M,951.80M,228.70M,228.70M,167.90M,22.60M,51.00M,1.399B,1.693B,,236.60M,2.984B,1.126B,2.144B,,,-390.90M,1.805B,,AOR,Restated
2012-03,132.70M,132.70M,297.80M,,297.80M,29.60M,,15.00M,475.10M,0.00,175.40M,533.40M,,708.80M,-417.40M,291.40M,1.969B,624.60M,2.594B,158.30M,3.043B,3.518B,,23.10M,23.10M,63.90M,87.00M,,17.00M,,17.00M,56.80M,56.80M,79.00M,272.90M,965.30M,965.30M,230.00M,230.00M,172.80M,22.10M,52.80M,1.421B,1.694B,,236.60M,2.929B,1.127B,2.111B,,,-373.50M,1.802B,,AOR,Restated
2011-12,127.70M,127.70M,284.40M,,284.40M,24.60M,,20.20M,456.90M,178.40M,,515.30M,,693.70M,-400.80M,292.90M,1.961B,645.80M,2.607B,161.90M,3.062B,3.519B,,27.50M,27.50M,135.50M,163.00M,,47.20M,,47.20M,55.80M,55.80M,98.90M,364.90M,966.00M,966.00M,235.90M,235.90M,176.40M,19.70M,53.40M,1.432B,1.797B,,236.60M,2.879B,1.118B,2.134B,,,-391.80M,1.702B,,AOR,Restated
2011-09,102.00M,102.00M,275.80M,,275.80M,32.20M,,20.20M,430.20M,0.00,176.50M,506.80M,,683.30M,-387.30M,296.00M,1.954B,663.00M,2.617B,169.40M,3.082B,3.512B,,21.90M,21.90M,65.70M,87.60M,,67.70M,,67.70M,50.50M,50.50M,85.00M,344.20M,967.80M,967.80M,250.70M,250.70M,109.60M,18.00M,56.10M,1.384B,1.728B,,236.60M,2.824B,1.112B,2.045B,,,-321.30M,1.766B,,AOR,Restated
2011-06,108.70M,108.70M,273.00M,,273.00M,33.10M,,21.70M,436.50M,0.00,176.00M,497.80M,,673.80M,-372.90M,300.90M,1.919B,655.50M,2.575B,177.30M,3.053B,3.489B,,26.70M,26.70M,62.30M,89.00M,,17.60M,,17.60M,52.60M,52.60M,101.40M,298.70M,963.90M,963.90M,252.50M,252.50M,113.30M,18.30M,58.30M,1.388B,1.687B,,236.60M,2.778B,1.111B,2.003B,,,-295.90M,1.784B,,AOR,Restated
2011-03,86.90M,86.90M,283.50M,,283.50M,34.40M,,22.40M,427.20M,0.00,174.90M,516.80M,,691.70M,-385.30M,306.40M,1.946B,682.30M,2.628B,106.80M,3.042B,3.469B,,22.40M,22.40M,58.70M,81.10M,,40.70M,,40.70M,59.50M,59.50M,91.30M,303.50M,974.80M,974.80M,250.20M,250.20M,116.40M,19.20M,54.10M,1.396B,1.699B,,236.60M,2.763B,1.104B,1.981B,,,-331.30M,1.751B,,AOR,Restated
2010-12,119.40M,119.40M,262.60M,,262.60M,26.10M,,25.00M,433.10M,0.00,169.50M,496.90M,,666.40M,-368.00M,298.40M,1.915B,689.50M,2.604B,101.80M,3.004B,3.438B,,24.60M,24.60M,61.90M,86.50M,,20.70M,,20.70M,58.70M,58.70M,81.70M,319.50M,978.90M,978.90M,248.10M,248.10M,129.00M,17.00M,53.60M,1.410B,1.729B,,236.60M,2.726B,1.106B,1.991B,,,-344.50M,1.691B,,AOR,Restated
2010-03,77.10M,77.10M,258.50M,,258.50M,37.70M,,73.50M,446.80M,0.00,165.30M,483.10M,,648.40M,-338.90M,309.50M,1.916B,741.30M,2.658B,91.80M,3.059B,3.506B,,26.00M,26.00M,91.30M,117.30M,157.20M,157.20M,0.00,157.20M,68.60M,68.60M,86.30M,429.40M,990.60M,990.60M,248.20M,248.20M,119.90M,15.30M,54.30M,1.413B,1.842B,,236.60M,2.546B,1.097B,1.860B,,,-330.10M,1.648B,,AOR,Restated
2009-12,103.10M,103.10M,258.70M,,258.70M,27.60M,,27.40M,416.80M,0.00,164.50M,500.80M,,665.30M,-346.00M,319.30M,1.943B,782.50M,2.726B,88.70M,3.134B,3.550B,,35.90M,35.90M,125.80M,161.70M,,183.20M,,183.20M,69.80M,69.80M,77.50M,492.20M,990.90M,990.90M,249.30M,249.30M,142.50M,13.80M,60.60M,1.443B,1.936B,,236.60M,2.494B,1.102B,1.872B,,,-318.70M,1.601B,,AOR,Restated
2009-09,77.70M,77.70M,251.70M,,251.70M,39.60M,,16.60M,385.60M,0.00,164.80M,484.80M,,649.60M,-333.50M,316.10M,1.814B,721.50M,2.535B,89.40M,2.941B,3.326B,,25.60M,25.60M,102.40M,128.00M,299.70M,299.70M,29.00M,328.70M,59.40M,59.40M,62.60M,578.70M,740.40M,740.40M,248.70M,248.70M,139.90M,12.80M,55.30M,1.184B,1.763B,,236.60M,2.439B,1.088B,1.849B,,,-317.70M,1.551B,,AOR,Restated
2009-06,63.60M,63.60M,254.40M,,254.40M,33.40M,,19.40M,370.80M,0.00,160.80M,469.10M,,629.90M,-313.90M,316.00M,1.804B,738.50M,2.542B,86.90M,2.945B,3.316B,,31.00M,31.00M,89.00M,120.00M,333.70M,333.70M,29.00M,362.70M,62.30M,62.30M,70.30M,615.30M,791.30M,791.30M,226.40M,226.40M,143.00M,11.70M,52.30M,1.213B,1.828B,,236.60M,2.385B,1.084B,1.849B,,,-333.20M,1.476B,,AOR,Restated
2009-03,60.00M,60.00M,263.80M,,263.80M,27.20M,,18.40M,369.40M,0.00,155.70M,488.00M,,643.70M,-332.50M,311.20M,1.766B,755.80M,2.522B,79.70M,2.912B,3.282B,,32.30M,32.30M,85.30M,117.60M,294.70M,294.70M,29.00M,323.70M,64.20M,64.20M,78.60M,584.10M,906.30M,906.30M,220.40M,220.40M,145.60M,11.80M,50.10M,1.322B,1.906B,,236.50M,2.330B,1.078B,1.848B,,,-383.60M,1.364B,,AOR,Restated
2008-12,58.20M,58.20M,253.40M,,253.40M,22.90M,,19.30M,353.80M,0.00,124.00M,490.50M,,614.50M,-328.20M,286.30M,1.76B,777.30M,2.537B,82.90M,2.906B,3.260B,,29.90M,29.90M,111.80M,141.70M,31.90M,31.90M,0.00,31.90M,65.70M,65.70M,78.70M,318.00M,1.187B,1.187B,215.30M,215.30M,166.00M,11.10M,50.10M,1.619B,1.937B,,236.50M,2.281B,1.075B,1.838B,,,-390.60M,1.312B,,AOR,Restated
2008-09,69.00M,69.00M,273.70M,,273.70M,30.00M,,22.30M,395.00M,0.00,122.90M,189.60M,319.70M,632.20M,-341.00M,291.20M,1.813B,799.10M,2.612B,152.40M,3.056B,3.451B,,26.50M,26.50M,130.10M,156.60M,,55.20M,,55.20M,71.00M,71.00M,80.00M,362.80M,1.253B,1.253B,270.70M,270.70M,,,126.60M,1.650B,2.013B,,236.40M,2.222B,1.071B,1.825B,-107.50M,-159.80M,-267.30M,1.438B,,,Restated
2008-06,72.60M,72.60M,305.90M,,305.90M,31.70M,,23.10M,433.30M,0.00,119.80M,185.50M,313.50M,618.80M,-333.50M,285.30M,1.852B,822.30M,2.675B,153.40M,3.113B,3.547B,,31.60M,31.60M,111.80M,143.40M,,127.30M,,127.30M,78.60M,78.60M,85.00M,434.30M,1.213B,1.213B,275.10M,275.10M,,,142.00M,1.630B,2.065B,,236.60M,2.155B,1.066B,1.761B,,,-215.10M,1.482B,,,Restated
2008-03,85.00M,85.00M,305.10M,,305.10M,34.20M,,21.00M,445.30M,0.00,107.80M,182.20M,303.60M,593.60M,-320.90M,272.70M,1.844B,840.90M,2.685B,146.70M,3.105B,3.550B,,30.60M,30.60M,108.40M,139.00M,,23.30M,,23.30M,73.20M,73.20M,93.70M,329.20M,1.364B,1.364B,272.80M,272.80M,,,141.10M,1.778B,2.107B,,235.90M,2.090B,1.052B,1.716B,-53.20M,-165.30M,-218.50M,1.443B,,,Restated
