,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,Restated
2006-02,251.00M,,,,,232.00M,232.00M,,,,36.00M,1.00M,-16.00M,24.00M,-87.00M,,,172.00M,94.00M,613.00M,,-757.00M,,-757.00M,,-2.00M,-7.00M,-766.00M,,2006-02,108.00M,-462.00M,31.00M,,31.00M,,-202.00M,,-1.00M,-634.00M,,2006-02,-787.00M,4.00M,395.00M,,31.00M,0.00,-570.00M,,,,2006-02,Restated
2005-11,336.00M,,,-1.00M,-672.00M,230.00M,230.00M,,,,9.00M,46.00M,1.00M,-52.00M,91.00M,66.00M,-264.00M,156.00M,44.00M,618.00M,,-345.00M,,-345.00M,,225.00M,-6.00M,-126.00M,,2005-11,75.00M,48.00M,11.00M,-356.00M,-345.00M,,-164.00M,,6.00M,-455.00M,,2005-11,37.00M,2.00M,1.178B,,11.00M,1.00M,-28.00M,-356.00M,,,2005-11,Restated
2005-08,1.181B,,,-1.00M,226.00M,226.00M,226.00M,,,,29.00M,-20.00M,-1.00M,-24.00M,117.00M,-19.00M,-329.00M,-128.00M,-404.00M,1.031B,,-523.00M,,-523.00M,,69.00M,3.00M,-451.00M,,2005-08,-44.00M,2.00M,15.00M,0.00,15.00M,,-161.00M,,-6.00M,-150.00M,,2005-08,430.00M,-12.00M,1.139B,,15.00M,328.00M,-282.00M,0.00,,,2005-08,Restated
2005-05,391.00M,,,2.00M,446.00M,225.00M,225.00M,,,,7.00M,-95.00M,-11.00M,-51.00M,86.00M,-47.00M,593.00M,118.00M,593.00M,1.218B,,-553.00M,,-553.00M,,-255.00M,1.00M,-807.00M,,2005-05,-76.00M,131.00M,14.00M,-30.00M,-16.00M,,-121.00M,,1.00M,-5.00M,,2005-05,406.00M,-6.00M,721.00M,,14.00M,823.00M,-616.00M,-30.00M,,,2005-05,Restated
2005-02,345.00M,,,,,221.00M,221.00M,,,,12.00M,-2.00M,-4.00M,-9.00M,-86.00M,,,66.00M,-35.00M,543.00M,,-556.00M,,-556.00M,,-31.00M,1.00M,-586.00M,,2005-02,-13.00M,-183.00M,23.00M,,23.00M,,-120.00M,,-2.00M,-282.00M,,2005-02,-325.00M,3.00M,321.00M,,23.00M,,-170.00M,,,,2005-02,Restated
2004-11,293.00M,,,,,213.00M,213.00M,,,,9.00M,44.00M,-18.00M,-27.00M,-55.00M,,,135.00M,79.00M,594.00M,,-721.00M,0.00,-721.00M,,170.00M,-9.00M,-560.00M,,2004-11,318.00M,273.00M,31.00M,,31.00M,,-100.00M,,1.00M,205.00M,,2004-11,239.00M,-4.00M,643.00M,,31.00M,272.00M,-45.00M,,,,2004-11,
2004-08,1.026B,,,,,211.00M,211.00M,,,,5.00M,-15.00M,-13.00M,22.00M,77.00M,,,-398.00M,-327.00M,915.00M,,-217.00M,0.00,-217.00M,,-185.00M,-3.00M,-405.00M,,2004-08,-199.00M,-461.00M,14.00M,0.00,14.00M,,-101.00M,,-1.00M,-549.00M,,2004-08,-39.00M,4.00M,408.00M,,14.00M,1.00M,-263.00M,0.00,,,2004-08,Restated
2004-05,332.00M,,,,,200.00M,200.00M,,,,15.00M,35.00M,-16.00M,-41.00M,85.00M,,,555.00M,618.00M,1.165B,,-1.285B,0.00,-1.285B,,145.00M,-10.00M,-1.15B,,2004-05,146.00M,111.00M,10.00M,0.00,10.00M,,-99.00M,,1.00M,23.00M,,2004-05,38.00M,-11.00M,443.00M,,10.00M,385.00M,-420.00M,0.00,,,2004-05,Restated
2004-02,203.00M,,,,,188.00M,188.00M,,,,8.00M,-53.00M,-26.00M,-8.00M,43.00M,,,187.00M,143.00M,542.00M,,-1.363B,77.00M,-1.286B,,314.00M,-2.00M,-974.00M,,2004-02,7.00M,260.00M,87.00M,,87.00M,,-100.00M,,-5.00M,242.00M,,2004-02,-190.00M,-4.00M,416.00M,,87.00M,457.00M,-204.00M,,,,2004-02,Restated
2003-11,-989.00M,,,,,-417.00M,-417.00M,,,,-17.00M,89.00M,9.00M,-31.00M,-53.00M,,,14.00M,28.00M,538.00M,,-620.00M,-51.00M,1.845B,-141.00M,,26.00M,-786.00M,,2003-11,-65.00M,-880.00M,-40.00M,,-40.00M,,207.00M,,13.00M,-700.00M,,2003-11,-365.00M,44.00M,,,-40.00M,-1.478B,663.00M,,,,2003-11,Restated
2003-08,734.00M,,,,,176.00M,176.00M,,,,3.00M,-50.00M,-5.00M,72.00M,31.00M,,,-231.00M,-183.00M,730.00M,,-1.283B,0.00,-1.283B,-15.00M,,5.00M,-1.293B,,2003-08,16.00M,217.00M,26.00M,,26.00M,,-84.00M,,-1.00M,158.00M,,2003-08,-405.00M,12.00M,988.00M,,26.00M,531.00M,-379.00M,,,,2003-08,Restated
2003-05,128.00M,,,,,135.00M,135.00M,,,,13.00M,-41.00M,-1.00M,-15.00M,14.00M,,,261.00M,218.00M,494.00M,,-501.00M,20.00M,-481.00M,156.00M,,-26.00M,-351.00M,,2003-05,49.00M,624.00M,13.00M,,13.00M,,-61.00M,,-12.00M,564.00M,,2003-05,707.00M,-59.00M,1.381B,,13.00M,799.00M,-175.00M,,,,2003-05,Restated
2003-02,127.00M,,,,,106.00M,106.00M,,,,1.00M,2.00M,-3.00M,-26.00M,8.00M,,,-44.00M,-63.00M,171.00M,,-112.00M,31.00M,-81.00M,,,-5.00M,-86.00M,,2003-02,,39.00M,1.00M,,1.00M,,-62.00M,,,-22.00M,,2003-02,63.00M,3.00M,733.00M,,1.00M,148.00M,-109.00M,,,,2003-02,Restated
2002-11,191.40M,,,10.77M,-100.57M,-100.57M,-100.57M,,,,201.14M,24.62M,0.092M,,-50.07M,-23.93M,47.12M,,-2.161M,300.57M,,-963.54M,-0.071M,-963.61M,27.83M,8.437M,-23.66M,-950.99M,,2002-11,,78.18M,0.073M,,0.073M,,-61.29M,,-1.101M,15.86M,,2002-11,-634.56M,1.414M,667.00M,,0.073M,114.10M,-35.92M,,,,2002-11,Restated
2002-08,500.76M,,,24.37M,-463.77M,-463.77M,-463.77M,,,,461.47M,-12.60M,-1.415M,42.27M,94.70M,-14.80M,-169.36M,,-61.21M,461.61M,,-428.11M,4.071M,-424.04M,-27.83M,153.45M,2.586M,-295.84M,,2002-08,,-103.18M,1.961M,,1.961M,,-61.59M,,0.292M,-162.52M,,2002-08,3.264M,0.076M,1.300B,,1.961M,40.16M,-143.34M,,,,2002-08,
2002-05,194.20M,,,13.13M,272.10M,272.10M,272.10M,,,,-78.12M,0.573M,1.696M,-42.27M,-58.45M,-10.99M,200.04M,,90.60M,491.91M,,-150.96M,,-150.96M,,-159.89M,-15.76M,-326.61M,,2002-05,,39.16M,3.41M,,3.41M,,-61.57M,,-0.018M,-19.02M,,2002-05,146.29M,-10.83M,1.297B,,3.41M,40.18M,-1.014M,,,,2002-05,
2002-02,129.64M,,,5.733M,-89.75M,-89.75M,-89.75M,,,,179.51M,-17.59M,1.627M,,1.817M,-31.28M,35.20M,,-10.22M,214.90M,,-443.39M,,-443.39M,,,-3.17M,-446.56M,,2002-02,,27.83M,1.556M,,1.556M,,-61.55M,,-0.173M,-32.33M,,2002-02,-263.99M,4.34M,1.162B,,1.556M,37.56M,-9.729M,,,,2002-02,
2001-11,116.11M,,,47.10M,-652.96M,-652.96M,-652.96M,,,,771.16M,11.28M,3.886M,-23.02M,-33.98M,20.98M,-127.10M,,-147.96M,133.45M,,-113.67M,,432.33M,,-531.47M,-4.069M,-136.21M,,2001-11,,339.18M,-0.076M,,-0.076M,,-61.70M,,-8.649M,268.75M,,2001-11,265.99M,0.055M,1.421B,,-0.076M,601.43M,-262.25M,,,,2001-11,Restated
2001-08,494.98M,,,2.307M,464.91M,464.91M,464.91M,,,,-395.06M,0.32M,4.292M,23.02M,-11.19M,31.88M,-150.18M,,-101.86M,465.27M,,-121.80M,,-121.80M,,531.34M,-56.25M,353.28M,,2001-08,,-255.31M,2.181M,0.00,2.181M,,-61.53M,,-4.87M,-319.53M,,2001-08,499.02M,-10.38M,1.155B,,2.181M,9.872M,-265.18M,0.00,,,2001-08,
2001-05,186.96M,,,18.11M,-92.36M,-92.36M,-92.36M,,,,184.72M,-4.657M,0.688M,,12.06M,-1.523M,169.16M,,175.73M,473.16M,,-470.70M,,-470.70M,,0.105M,38.54M,-432.05M,,2001-05,,555.89M,0.809M,,0.809M,,-61.40M,,-11.48M,483.83M,,2001-05,524.94M,8.537M,666.59M,,0.809M,1.297B,-740.72M,,,,2001-05,
2001-02,127.95M,,,34.48M,-91.59M,-91.59M,-91.59M,,,,183.18M,-13.94M,-0.866M,,-29.89M,-7.337M,-34.87M,,-86.91M,167.11M,,-120.83M,,-120.83M,,0.027M,-6.222M,-127.02M,,2001-02,,-36.76M,2.086M,,2.086M,,-61.37M,,,-96.05M,,2001-02,-55.96M,-0.214M,133.11M,,2.086M,666.08M,-702.84M,,,,2001-02,
2000-11,193.80M,,,-60.70M,-76.53M,-76.53M,-76.53M,,,,153.52M,11.78M,0.129M,,25.39M,-0.121M,31.06M,,68.24M,278.33M,,-120.89M,,-69.54M,,-24.13M,62.61M,-414.70M,,2000-11,,246.21M,0.134M,0.00,0.134M,,-61.37M,,,184.97M,,2000-11,48.61M,,189.28M,,0.134M,624.16M,-377.95M,0.00,,,2000-11,Restated
2000-08,396.19M,,,5.065M,-347.03M,-347.03M,-347.03M,,,,374.19M,8.003M,2.338M,30.73M,51.36M,8.882M,-142.63M,,-41.32M,387.09M,,-490.02M,,-490.02M,,0.535M,-6.517M,-496.00M,,2000-08,,385.88M,1.972M,-369.99M,-368.02M,,-63.37M,,,-45.51M,,2000-08,-154.43M,,141.14M,,1.972M,388.45M,-2.574M,-369.99M,,,2000-08,
2000-05,203.96M,,,-7.619M,68.29M,68.29M,68.29M,,,,-16.74M,-14.89M,-7.931M,-6.07M,19.84M,-6.033M,216.51M,,201.43M,449.32M,,-299.39M,,-299.39M,,7.133M,-15.24M,-307.50M,,2000-05,,-0.074M,1.025M,-335.14M,-334.12M,,-64.82M,,,-399.01M,,2000-05,-257.20M,,295.57M,,1.025M,0.113M,-0.187M,-335.14M,,,2000-05,
2000-02,171.52M,,,27.20M,67.60M,67.60M,67.60M,,,,64.82M,-20.03M,-2.741M,-24.66M,-38.45M,-24.70M,-55.30M,,-165.88M,165.26M,,-93.05M,,-93.05M,,16.46M,2.761M,-73.82M,,2000-02,,-0.351M,4.68M,,4.68M,,-64.77M,,,-60.44M,,2000-02,30.99M,,552.76M,,4.68M,7.364M,-7.715M,,,,2000-02,
1999-11,251.00M,,,-68.80M,-63.80M,-63.80M,-63.80M,,,,128.10M,34.00M,-4.90M,,6.30M,-12.30M,-6.10M,,17.00M,263.50M,,-387.80M,,-387.80M,,443.60M,-27.80M,-26.70M,,1999-11,,-144.40M,0.80M,,0.80M,,-55.30M,,0.00,-198.90M,,1999-11,37.90M,,521.80M,,0.80M,0.00,-144.40M,,,,1999-11,Restated
1999-08,415.10M,,,3.20M,-63.10M,-63.10M,-63.10M,,,,126.20M,-12.30M,1.90M,,9.40M,12.30M,-79.60M,,-68.30M,413.10M,,-372.30M,,-372.30M,,164.70M,0.80M,-206.80M,,1999-08,,-56.50M,6.90M,,6.90M,,-55.10M,,-0.10M,-104.80M,,1999-08,101.50M,,484.20M,,6.90M,0.10M,-56.60M,,,,1999-08,
1999-05,203.30M,,,13.70M,-58.90M,-58.90M,-58.90M,,,,117.90M,-12.70M,-3.40M,,23.50M,-5.30M,166.50M,,168.60M,444.60M,,-61.90M,,-61.90M,,-397.60M,23.10M,-436.40M,,1999-05,,-147.70M,3.10M,,3.10M,,-55.20M,,0.00,-199.80M,,1999-05,-191.60M,,382.60M,,3.10M,1.80M,-149.50M,,,,1999-05,
1999-02,157.80M,,,9.20M,-57.90M,-57.90M,-57.90M,,,,115.70M,-12.30M,-2.20M,,-11.90M,-4.20M,14.60M,,-16.00M,208.80M,,-51.00M,,-51.00M,,-210.70M,21.20M,-240.50M,,1999-02,,-208.40M,730.80M,,730.80M,,-53.60M,,-0.10M,468.70M,,1999-02,437.00M,,574.30M,,730.80M,5.90M,-214.30M,,,,1999-02,
1998-11,220.58M,,,-67.50M,347.37M,347.37M,347.37M,,,,-158.57M,12.54M,-1.313M,,49.96M,-11.10M,-0.80M,,-127.94M,213.94M,,-141.71M,,-94.71M,,1.552M,1.076M,-334.95M,,1998-11,,183.31M,-1.20M,,-1.201M,,-44.66M,,-4.253M,133.20M,,1998-11,12.18M,,137.27M,,-1.20M,215.80M,-32.49M,,,,1998-11,Restated
1998-08,344.80M,,,-23.60M,-57.40M,-57.40M,-57.40M,,,,114.80M,-8.10M,2.10M,,-26.90M,15.90M,-76.60M,,-93.60M,285.00M,,-107.40M,,-107.40M,,2.20M,25.00M,-80.20M,,1998-08,,-168.30M,8.50M,,8.50M,,-44.60M,,4.00M,-200.40M,,1998-08,-14.90M,,125.10M,,8.50M,4.00M,-172.30M,,,,1998-08,
1998-05,160.60M,,,4.40M,-46.30M,-46.30M,-46.30M,,,,92.60M,0.80M,-3.60M,,45.40M,-8.60M,133.40M,,167.40M,378.70M,,-586.60M,,-586.60M,,0.30M,44.00M,-542.30M,,1998-05,,217.00M,1.70M,,1.70M,,-44.60M,,-4.00M,170.10M,,1998-05,25.80M,,,,1.70M,871.40M,-654.40M,,,,1998-05,
