,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,41.50M,0.90M,-5.20M,0.00,12.80M,12.30M,9.10M,21.40M,21.40M,20.00M,6.00M,5.30M,,36.40M,198.90M,-7.00M,,13.80M,-16.40M,43.10M,-4.00M,228.40M,-32.30M,339.50M,,-9.30M,,-0.50M,1.00M,,,-10.40M,,-1.062B,,-1.062B,,-150.00M,-150.00M,-62.60M,-62.60M,5.40M,903.40M,-1.159B,,70.80M,-829.80M,1.00M,78.70M,,,-387.30M,-675.10M,-150.00M,,AOR,Restated
2018-03,102.90M,5.30M,-0.60M,,4.70M,12.60M,9.30M,21.90M,21.90M,-9.90M,0.00,6.00M,,-44.50M,-146.20M,-8.40M,,-59.70M,5.60M,-39.60M,-26.80M,-275.10M,26.40M,-167.60M,,-11.50M,0.00,0.00,-14.70M,,,-31.20M,,417.50M,,417.50M,,-150.00M,-150.00M,-63.30M,-63.30M,0.90M,,997.80M,,86.30M,799.00M,-4.80M,70.80M,,,417.50M,,-150.00M,,AOR,Restated
2017-12,55.90M,0.40M,-0.40M,,24.90M,12.40M,9.20M,21.60M,21.60M,-15.00M,,7.40M,,-40.50M,-80.30M,-4.50M,,76.60M,-0.10M,-0.30M,37.50M,28.90M,127.40M,258.40M,,-13.70M,0.50M,0.50M,-4.60M,,,-24.20M,,-70.80M,0.80M,-70.00M,,-100.00M,-100.00M,-62.80M,-62.80M,2.90M,-0.80M,-230.70M,,81.30M,3.50M,1.30M,86.30M,,,0.00,-70.00M,-100.00M,,AOR,Restated
2017-09,-151.70M,3.80M,-0.30M,,3.50M,13.10M,9.20M,22.30M,22.30M,5.10M,,6.20M,,232.80M,17.10M,-12.50M,,-20.80M,-13.30M,-13.40M,19.60M,-23.30M,143.80M,206.50M,,-6.70M,3.20M,3.20M,-1.60M,,,-11.20M,,-216.80M,-0.30M,-217.10M,,0.00,0.00,-62.80M,-62.80M,4.80M,0.00,-275.10M,,141.70M,-79.80M,10.50M,81.30M,,,,-217.10M,0.00,,AOR,Restated
2017-06,122.10M,,-0.40M,,101.00M,3.90M,-6.00M,-2.10M,-2.10M,-3.40M,,9.60M,,-193.50M,180.40M,5.10M,,15.70M,18.40M,-56.70M,-23.00M,139.90M,87.70M,261.30M,,4.90M,,,2.776B,,,2.750B,,-2.864B,-0.40M,-2.864B,,-100.00M,-100.00M,-63.30M,-63.30M,26.70M,-94.90M,-3.096B,,238.10M,-84.70M,24.40M,141.70M,,,-229.10M,-2.635B,-100.00M,,AOR,Restated
2017-03,87.80M,0.00,-0.20M,,-0.20M,21.40M,24.00M,45.40M,45.40M,-4.70M,,16.40M,,-7.10M,-130.60M,-8.60M,,-55.90M,-18.00M,15.80M,-29.00M,-226.30M,-17.30M,-106.00M,,-23.60M,,,-56.70M,,,-84.00M,,229.10M,-0.10M,229.00M,,,,-62.80M,-62.80M,2.80M,,169.00M,,238.50M,-21.00M,20.60M,238.10M,,,229.10M,-0.10M,,,AOR,Restated
2016-12,-164.40M,3.90M,-1.60M,,2.30M,-11.30M,-37.20M,-48.50M,-48.50M,5.00M,,5.50M,0.80M,26.80M,-75.20M,19.90M,,79.70M,64.60M,76.70M,-46.80M,118.90M,384.40M,304.60M,,51.20M,-5.30M,-5.30M,-30.10M,,3.80M,-43.30M,,-94.20M,,-94.20M,,0.00,0.00,-62.00M,-62.00M,0.60M,0.00,-155.60M,,170.90M,105.70M,-38.10M,216.90M,,,,-94.20M,0.00,,AOR,Restated
2016-09,118.10M,0.00,-1.20M,,-0.50M,20.80M,24.10M,44.90M,44.90M,22.50M,,6.40M,-5.60M,-19.70M,13.70M,5.10M,,-25.40M,5.50M,-37.10M,-8.20M,-46.40M,48.50M,187.30M,,-30.50M,16.50M,16.50M,0.00,,-0.10M,-10.40M,,-151.30M,0.00,-151.30M,,0.00,0.00,-61.90M,-61.90M,11.80M,5.60M,-195.80M,,173.30M,-18.90M,16.50M,170.90M,,,,-151.30M,0.00,,AOR,Restated
2016-06,117.10M,,-1.10M,,0.50M,22.60M,24.30M,46.90M,46.90M,-12.70M,,6.20M,-2.70M,34.70M,175.60M,18.30M,,-30.20M,-25.40M,29.40M,0.00,167.70M,45.90M,384.50M,,-31.20M,2.20M,2.20M,0.10M,,-3.50M,-36.10M,,-278.20M,-0.70M,-278.90M,,0.00,0.00,-59.60M,-59.60M,9.90M,2.70M,-325.90M,,158.10M,22.50M,-7.30M,173.30M,,,-139.10M,-139.80M,0.00,,AOR,Restated
2016-03,107.40M,,-0.40M,,-2.70M,20.90M,24.20M,45.10M,45.10M,-13.60M,,16.10M,-0.50M,-15.60M,-97.50M,-9.40M,,-1.30M,-42.60M,21.30M,-24.40M,-153.90M,2.70M,-15.00M,,-32.80M,5.40M,5.40M,-0.10M,,-0.20M,-32.00M,,137.70M,0.70M,138.40M,,,,-60.10M,-60.10M,-1.60M,0.50M,77.20M,,126.30M,30.20M,1.60M,158.10M,,,139.10M,-0.70M,,,AOR,Restated
2015-12,-451.40M,,-0.20M,,20.10M,21.40M,24.30M,45.70M,45.70M,-1.40M,,5.50M,0.00,542.70M,-53.30M,87.40M,,56.20M,9.00M,-42.40M,25.10M,82.00M,100.20M,343.40M,,-25.00M,1.00M,1.00M,-3.90M,,,-34.90M,,-265.00M,-0.30M,-265.30M,,0.00,0.00,-58.40M,-58.40M,-2.50M,0.00,-326.20M,,144.90M,-17.70M,-0.90M,126.30M,,,87.00M,-352.30M,0.00,,AOR,Restated
2015-09,115.20M,,-0.20M,,0.40M,-7.00M,-11.80M,-18.80M,-18.80M,-5.80M,,8.10M,-1.40M,-83.40M,44.40M,64.90M,,-2.20M,-0.70M,-4.50M,43.20M,145.10M,51.00M,210.40M,,0.50M,-19.50M,-19.50M,-1.814B,,0.50M,-1.846B,,1.728B,-1.70M,1.726B,,0.00,0.00,-57.70M,-57.70M,4.60M,-25.40M,1.647B,,147.30M,11.40M,-13.80M,144.90M,,,1.728B,-2.00M,0.00,,AOR,Restated
2015-06,152.60M,,-0.60M,,-7.70M,34.40M,28.00M,62.40M,62.40M,-0.80M,,9.70M,-1.80M,1.30M,88.50M,-9.40M,,16.80M,35.40M,-8.50M,-17.20M,105.60M,-2.60M,318.70M,,-32.00M,20.80M,20.80M,-96.00M,,-0.50M,-103.60M,,-146.50M,-0.30M,-146.80M,,0.00,0.00,-58.10M,-58.10M,8.60M,1.80M,-194.50M,,131.10M,20.60M,-4.40M,147.30M,,,-142.60M,-4.20M,0.00,,AOR,Restated
2015-03,113.90M,,-0.50M,,-1.70M,32.40M,27.60M,60.00M,60.00M,5.70M,,9.70M,-2.80M,4.30M,-85.80M,-88.20M,,-60.20M,-71.00M,38.80M,-48.90M,-315.30M,-7.00M,-133.20M,,-34.80M,2.30M,2.30M,-3.00M,,,19.40M,,405.60M,,405.60M,,-200.00M,-200.00M,-57.50M,-57.50M,8.70M,2.80M,159.60M,,110.40M,45.80M,-25.10M,131.10M,,,406.00M,-0.40M,-200.00M,,AOR,Restated
2014-12,120.80M,0.20M,-0.30M,,56.20M,-24.20M,-25.30M,-49.50M,-49.50M,-29.70M,,8.80M,-2.60M,-254.00M,-56.20M,69.30M,,39.70M,11.00M,-35.00M,109.00M,137.80M,337.20M,325.00M,,8.80M,-2.20M,-2.20M,-12.30M,,-0.70M,-40.80M,,41.00M,0.20M,41.20M,,-300.00M,-300.00M,-55.20M,-55.20M,6.70M,-0.50M,-307.80M,,156.60M,-23.60M,-22.60M,110.40M,,,44.80M,-3.60M,-300.00M,,AOR,Restated
2014-09,194.10M,-0.20M,-0.30M,,0.50M,34.60M,28.40M,63.00M,63.00M,-3.00M,,8.30M,-2.20M,-1.60M,31.20M,-12.00M,,-25.10M,12.10M,2.70M,3.00M,11.90M,-2.10M,268.90M,,-32.90M,1.40M,1.40M,0.00,,0.60M,-30.90M,,227.10M,-3.60M,223.50M,,-399.30M,-399.30M,-57.10M,-57.10M,-1.20M,2.20M,-231.90M,,164.50M,6.10M,-14.00M,156.60M,,,223.80M,-0.30M,-399.30M,,AOR,Restated
2014-06,161.50M,0.20M,-0.30M,,0.10M,34.50M,29.00M,63.50M,63.50M,11.10M,,9.10M,-1.70M,-2.30M,117.20M,8.00M,,26.40M,-16.70M,59.30M,-5.30M,188.90M,-17.90M,412.00M,,-32.40M,2.30M,2.30M,0.00,,0.80M,-29.30M,,-195.40M,3.90M,-191.50M,,-198.50M,-198.50M,-49.90M,-49.90M,7.50M,1.70M,-430.70M,,203.90M,-48.00M,8.60M,164.50M,,,-179.50M,-12.00M,-198.50M,,AOR,Restated
2014-03,124.20M,,-0.30M,,-0.30M,34.80M,28.50M,63.30M,63.30M,-1.40M,,7.40M,-6.10M,1.30M,-76.90M,-34.50M,,-35.70M,-32.20M,33.40M,-55.50M,-201.40M,15.20M,2.50M,,-27.20M,0.40M,0.40M,0.00,,-0.50M,-27.30M,,381.30M,,381.30M,,-252.20M,-252.20M,-49.20M,-49.20M,24.00M,-128.60M,-24.70M,,256.00M,-49.50M,-2.60M,203.90M,,,382.20M,-0.90M,-252.20M,,AOR,Restated
2013-12,190.30M,-4.00M,-0.30M,,-39.50M,32.40M,27.40M,59.80M,59.80M,31.20M,,5.80M,-9.40M,-77.80M,-66.20M,48.10M,,24.40M,4.50M,29.40M,90.40M,130.60M,-26.00M,293.90M,,-43.70M,2.30M,2.30M,4.60M,,2.50M,-34.30M,,-18.80M,,-18.80M,,-175.50M,-175.50M,-50.30M,-50.30M,9.20M,9.40M,-226.00M,,219.20M,33.60M,3.20M,256.00M,,,-17.60M,-1.20M,-175.50M,,AOR,Restated
2013-09,144.40M,-0.10M,-0.60M,,2.00M,35.20M,26.00M,61.20M,61.20M,5.50M,,7.20M,-1.20M,6.00M,14.90M,-12.40M,,-18.40M,-8.90M,9.00M,22.00M,6.20M,22.60M,247.90M,,-38.30M,0.10M,0.10M,0.90M,,-0.20M,-37.50M,,-167.50M,,-167.50M,,-56.70M,-56.70M,-49.90M,-49.90M,30.70M,1.20M,-242.20M,,253.10M,-31.80M,21.80M,219.20M,,,-167.10M,-0.40M,-56.70M,,AOR,Restated
2013-06,155.40M,0.00,-0.90M,,0.30M,35.60M,38.90M,74.50M,74.50M,15.30M,,7.70M,-6.20M,1.50M,74.40M,-6.70M,,14.20M,20.40M,-6.10M,23.00M,119.20M,,366.20M,,-38.30M,2.70M,2.70M,-84.40M,,-0.90M,-120.90M,,143.00M,,143.00M,,-343.30M,-343.30M,-46.80M,-46.80M,28.30M,6.10M,-212.70M,,214.50M,32.60M,6.00M,253.10M,,,147.10M,-4.10M,-343.30M,,AOR,Restated
2013-03,53.30M,-16.70M,-0.20M,,-16.90M,38.10M,41.80M,79.90M,79.90M,2.00M,,10.40M,0.00,10.40M,-129.40M,29.10M,,20.90M,-21.70M,8.90M,-16.60M,-108.80M,,19.90M,,-49.70M,0.90M,0.90M,30.00M,,0.30M,-18.50M,,140.80M,,140.80M,,-140.30M,-140.30M,-47.20M,-47.20M,11.80M,-3.30M,-38.20M,,261.30M,-36.80M,-10.00M,214.50M,,,142.50M,-1.70M,-140.30M,,AOR,Restated
2012-12,-274.70M,0.00,0.00,,243.80M,36.60M,45.50M,82.10M,82.10M,-142.90M,,7.30M,-2.90M,-238.70M,3.90M,108.90M,,-23.10M,4.30M,30.50M,-67.10M,57.40M,,-203.70M,,-44.60M,0.40M,0.40M,-201.30M,,-2.80M,-248.30M,,456.60M,0.00,456.60M,,-334.20M,-334.20M,-46.30M,-46.30M,46.20M,-83.20M,39.10M,,642.60M,-412.90M,7.70M,237.40M,,,758.00M,-301.40M,-334.20M,,AOR,Restated
2012-09,32.60M,0.00,-0.60M,,-0.80M,15.90M,9.70M,25.60M,25.60M,0.30M,,18.40M,-0.40M,18.00M,32.80M,11.70M,,-26.40M,-3.50M,7.10M,-16.80M,4.90M,,80.60M,,-18.60M,0.20M,0.20M,691.70M,,0.00,673.30M,,-157.40M,-0.20M,-157.60M,,0.00,0.00,-21.80M,-21.80M,5.70M,0.40M,-173.30M,,60.60M,580.60M,1.40M,642.60M,,,13.70M,-171.30M,0.00,,AOR,Restated
2012-06,74.50M,0.00,0.30M,,-1.80M,16.70M,9.70M,26.40M,26.40M,3.70M,,5.10M,-0.70M,4.40M,94.50M,7.70M,,-0.30M,-4.00M,16.60M,13.10M,127.60M,,234.80M,,-15.30M,2.90M,2.90M,-19.90M,,-0.10M,-32.40M,,-172.30M,-3.50M,-175.80M,,0.00,0.00,-22.30M,-22.30M,9.30M,0.70M,-188.10M,,55.00M,14.30M,-8.80M,60.60M,,,-40.60M,-135.20M,0.00,,AOR,Restated
2012-03,63.00M,0.00,-2.00M,,-3.00M,16.00M,10.00M,26.00M,26.00M,0.00,,5.00M,-1.00M,4.00M,-100.00M,-20.00M,,-4.00M,3.00M,15.00M,-52.00M,-158.00M,,-68.00M,,-16.00M,2.00M,2.00M,0.00,,-3.00M,-17.00M,,104.00M,,104.00M,,0.00,0.00,-22.00M,-22.00M,7.00M,1.00M,90.00M,,50.00M,5.00M,0.00,55.00M,,,117.00M,-13.00M,0.00,,AOR,Restated
2011-12,-175.42M,,-0.419M,,84.08M,17.12M,12.09M,29.21M,29.21M,-10.04M,,4.805M,-0.163M,-51.86M,-21.36M,2.667M,26.38M,3.299M,,-54.92M,20.91M,-13.02M,,79.64M,,-20.24M,1.161M,1.161M,0.005M,,-2.559M,-21.63M,,-9.13M,-25.97M,-35.10M,-11.79M,-0.015M,-11.80M,,-19.83M,,0.136M,-53.30M,,52.66M,4.711M,-7.32M,50.10M,,-11.79M,-780.62M,770.29M,-0.015M,,AOR,Restated
2011-09,52.05M,,-0.574M,,-0.101M,16.39M,12.63M,29.02M,29.02M,1.433M,,4.168M,-1.672M,2.496M,23.77M,13.21M,-23.68M,-20.40M,,21.44M,-11.29M,3.045M,,87.95M,,-17.84M,0.05M,0.05M,0.00,,-0.56M,-18.35M,,-60.90M,8.254M,-52.65M,2.237M,-12.50M,-10.26M,,-19.93M,,1.42M,-81.42M,,68.97M,-11.83M,-4.481M,52.66M,,2.237M,49.47M,-110.37M,-12.50M,,AOR,Restated
2011-06,68.14M,,-0.672M,,-0.45M,17.46M,10.78M,28.24M,28.24M,-0.833M,,4.802M,-0.908M,3.894M,100.39M,3.133M,6.25M,-10.59M,,17.23M,-14.61M,101.80M,,200.79M,,-21.95M,0.047M,0.047M,-718.25M,,0.061M,-740.09M,,560.17M,15.36M,575.53M,9.551M,0.037M,9.588M,,-19.90M,,-7.813M,557.41M,,57.13M,18.10M,-6.266M,68.97M,,9.551M,1.072B,-511.42M,0.037M,,AOR,Restated
2011-03,52.03M,,-0.235M,,-0.228M,15.22M,6.401M,21.62M,21.62M,3.845M,,5.725M,-0.557M,5.168M,-101.50M,-0.708M,-8.946M,3.397M,,8.248M,-31.11M,-130.62M,,-48.18M,,-13.27M,0.042M,0.042M,-14.86M,,0.058M,-28.02M,,99.37M,1.16M,100.53M,,-0.324M,-0.324M,,-19.84M,,0.557M,80.92M,,46.06M,4.711M,6.367M,57.13M,,,249.37M,-150.00M,-0.324M,,AOR,Restated
2010-12,34.37M,1.666M,-0.302M,,35.76M,14.85M,6.442M,21.30M,21.30M,24.59M,,4.87M,-0.493M,-66.77M,-26.13M,5.327M,1.476M,-29.41M,,-16.29M,15.35M,-46.89M,,21.13M,,-16.54M,0.018M,0.018M,,,0.084M,-16.44M,,29.11M,0.753M,29.87M,-7.861M,-21.93M,-29.79M,,-18.88M,,-4.154M,-13.01M,,57.00M,-8.321M,-2.618M,46.06M,,-7.861M,212.55M,-180.71M,-21.93M,,AOR,Restated
2010-09,56.28M,-0.549M,-0.347M,,-0.673M,14.26M,6.385M,20.65M,20.65M,2.47M,,4.233M,-0.871M,3.362M,-2.778M,-11.17M,-3.353M,9.725M,,14.45M,3.869M,10.74M,,92.83M,,-14.04M,0.097M,0.097M,0.00,,0.054M,-13.89M,,-61.46M,1.86M,-59.60M,7.861M,-1.969M,5.892M,,-18.88M,,0.871M,-71.73M,,38.58M,7.21M,11.20M,57.00M,,7.861M,158.80M,-220.26M,-1.969M,,AOR,Restated
2010-06,62.20M,-1.117M,-1.375M,,-1.878M,14.31M,6.611M,20.92M,20.92M,1.759M,,5.563M,-1.322M,4.241M,65.62M,-33.13M,-0.949M,45.43M,,2.627M,-0.125M,79.48M,,166.73M,,-16.88M,0.116M,0.116M,0.00,,-1.578M,-18.34M,,-127.70M,-1.411M,-129.11M,1.938M,-0.817M,1.121M,,-18.86M,,0.292M,-146.56M,,46.78M,1.83M,-10.03M,38.58M,,1.938M,135.02M,-262.72M,-0.817M,,AOR,Restated
2010-03,36.55M,,-0.084M,,-0.755M,14.56M,6.746M,21.31M,21.31M,0.637M,,6.802M,,6.802M,-99.05M,-5.525M,2.826M,29.57M,,-1.584M,-1.095M,-74.86M,,-10.31M,,-12.06M,0.127M,0.127M,0.00,,0.292M,-11.64M,,58.98M,1.526M,60.50M,-1.938M,0.00,-1.938M,,-18.84M,,0.98M,40.71M,,33.40M,18.75M,-5.366M,46.78M,,-1.938M,200.00M,-141.02M,0.00,,AOR,Restated
2009-12,27.53M,0.019M,0.688M,,1.716M,20.64M,18.60M,39.24M,39.24M,30.45M,,4.232M,-0.992M,3.24M,-35.41M,10.22M,0.141M,-11.23M,,6.501M,-52.68M,-82.45M,0.00,19.72M,,-14.83M,0.391M,0.391M,0.061M,,0.048M,-14.33M,,-11.53M,2.221M,-9.307M,8.247M,0.00,8.247M,,-17.76M,-1.729M,0.992M,-19.56M,,50.21M,-14.17M,-2.644M,33.40M,,8.247M,90.02M,-101.53M,0.00,,AOR,Restated
2009-09,38.59M,-0.068M,0.135M,,0.329M,14.55M,7.453M,22.00M,22.00M,-0.294M,,4.005M,-0.172M,3.833M,45.16M,0.756M,2.529M,-8.896M,,-4.348M,13.96M,49.16M,-0.123M,113.50M,,-10.46M,0.254M,0.254M,1.506M,,-4.182M,-12.88M,,-68.59M,-6.04M,-74.63M,-0.996M,0.00,-0.996M,,-17.73M,1.729M,0.172M,-91.45M,,38.12M,9.169M,2.927M,50.21M,,-0.996M,83.96M,-158.59M,0.00,,AOR,Restated
2009-06,32.08M,0.068M,0.556M,,0.319M,14.46M,7.368M,21.83M,21.83M,0.457M,,4.367M,-0.518M,3.849M,48.58M,34.63M,-1.476M,22.61M,,-9.897M,-9.375M,85.07M,-1.408M,142.20M,,-12.87M,0.283M,0.283M,,,0.95M,-11.64M,,-108.51M,-1.47M,-109.98M,0.316M,,0.316M,,-17.72M,,0.468M,-126.92M,,34.71M,3.648M,-0.238M,38.12M,,0.316M,263.53M,-373.51M,,,AOR,Restated
2009-03,18.00M,,,,0.019M,15.17M,7.233M,22.40M,22.40M,0.007M,,4.72M,-0.064M,4.656M,-47.02M,21.07M,15.01M,-21.77M,,-13.34M,-16.08M,-62.14M,,-17.05M,,-15.98M,0.28M,0.28M,,,-0.04M,-15.74M,,38.32M,7.494M,45.82M,0.68M,,0.68M,,-17.71M,,0.064M,28.85M,,39.34M,-3.943M,-0.693M,34.71M,,0.68M,142.49M,-96.68M,,,AOR,Restated
2008-12,7.053M,14.44M,0.608M,,15.47M,14.74M,7.388M,22.13M,22.13M,14.85M,,4.624M,0.00,4.624M,37.20M,-6.202M,-11.61M,-3.102M,,-0.053M,-9.876M,6.36M,-3.154M,67.34M,,-13.32M,0.437M,0.437M,37.49M,,-29.53M,-4.925M,,-82.93M,-2.814M,-85.74M,,-12.66M,-7.068M,,-16.74M,-5.14M,0.00,-114.69M,,93.54M,-52.28M,-1.917M,39.34M,,,235.60M,-304.34M,-12.66M,,,Restated
2008-09,44.73M,0.268M,0.669M,,1.467M,14.59M,7.119M,21.71M,21.71M,4.868M,,4.016M,-0.841M,3.175M,27.90M,-6.333M,-7.931M,-23.25M,,-22.04M,16.39M,-15.27M,0.72M,61.40M,,-13.58M,0.502M,0.502M,-7.846M,,-0.44M,-21.36M,,11.25M,-0.215M,11.03M,,-15.62M,-15.62M,,-16.79M,2.965M,0.777M,-17.64M,,74.62M,22.40M,-3.475M,93.54M,,,200.00M,-188.97M,-15.62M,,,Restated
