,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,126.30M,126.30M,773.20M,114.40M,887.60M,243.90M,74.40M,246.40M,564.70M,59.90M,,45.70M,2.778B,0.00,86.60M,338.90M,960.20M,,68.30M,1.454B,-914.20M,539.80M,4.259B,1.747B,6.006B,,,53.00M,2.457B,9.056B,11.83B,,403.80M,59.60M,58.90M,522.30M,97.70M,620.00M,,,,32.00M,32.00M,671.90M,1.486B,4.686B,,4.686B,670.20M,,721.00M,244.60M,,,94.80M,6.338B,7.825B,,1.80M,1.792B,2.860B,,,,,-645.00M,4.009B,,AOR,Restated
2015-09,144.90M,144.90M,1.136B,125.60M,1.262B,445.90M,277.30M,573.00M,1.296B,111.20M,126.30M,22.60M,2.964B,0.00,145.10M,507.10M,1.283B,,75.00M,2.010B,-1.088B,921.40M,5.827B,2.516B,8.343B,111.30M,,92.10M,238.90M,9.707B,12.67B,,531.00M,57.70M,,588.70M,61.10M,649.80M,3.20M,,3.20M,137.70M,137.70M,440.90M,1.496B,4.983B,,4.983B,827.90M,,827.90M,301.60M,,,461.70M,6.639B,8.135B,,1.80M,2.305B,2.849B,0.00,,,,-620.30M,4.536B,,AOR,Restated
2015-06,147.30M,147.30M,1.171B,116.40M,1.287B,458.00M,255.80M,486.60M,1.200B,100.00M,134.50M,33.00M,2.903B,0.00,147.60M,483.20M,1.198B,,63.80M,1.893B,-984.10M,908.50M,4.732B,1.587B,6.320B,112.40M,,86.00M,235.40M,7.662B,10.56B,,525.90M,57.60M,,583.50M,65.90M,649.40M,5.30M,,5.30M,153.90M,153.90M,401.40M,1.46B,3.261B,,3.261B,465.10M,,465.10M,305.10M,,,457.30M,4.553B,6.013B,,2.00M,2.248B,4.055B,1.218B,,,,-533.80M,4.552B,,AOR,Restated
2015-03,131.10M,131.10M,1.248B,108.90M,1.356B,447.60M,244.50M,484.90M,1.177B,149.60M,132.30M,21.70M,2.977B,0.00,157.30M,476.10M,1.164B,,69.40M,1.867B,-951.40M,915.40M,4.672B,1.559B,6.231B,112.90M,,87.30M,246.00M,7.592B,10.57B,,504.90M,57.50M,,562.40M,65.20M,627.60M,5.60M,,5.60M,161.80M,161.80M,381.20M,1.431B,3.403B,,3.403B,516.30M,,516.30M,300.90M,,,429.40M,4.715B,6.146B,,2.00M,2.158B,4.049B,1.231B,,,,-554.60M,4.423B,,AOR,Restated
2014-12,110.40M,110.40M,1.206B,103.50M,1.309B,460.10M,229.00M,441.30M,1.130B,109.60M,139.40M,14.30M,2.894B,0.00,165.10M,493.50M,1.169B,,71.00M,1.899B,-948.70M,950.00M,4.742B,1.608B,6.35B,115.80M,,87.90M,257.40M,7.761B,10.66B,,583.10M,116.80M,,699.90M,66.40M,766.30M,6.70M,,6.70M,154.10M,154.10M,406.90M,1.640B,2.997B,,2.997B,528.30M,,528.30M,322.00M,,,436.10M,4.352B,5.991B,,2.00M,2.044B,4.25B,1.252B,,,,-380.30M,4.664B,,AOR,Restated
2014-09,156.60M,156.60M,1.181B,108.30M,1.289B,464.50M,249.80M,485.10M,1.199B,114.70M,145.60M,17.70M,3.052B,0.00,175.50M,506.00M,1.177B,,78.00M,1.937B,-946.10M,990.80M,4.793B,1.649B,6.441B,116.10M,,93.10M,233.30M,7.874B,10.93B,,527.20M,168.10M,,695.30M,54.30M,749.60M,2.50M,,2.50M,148.60M,148.60M,480.60M,1.669B,2.961B,,2.961B,558.40M,,558.40M,279.10M,,0.00,431.20M,4.291B,5.960B,,2.10M,1.923B,4.542B,1.268B,,,,-232.70M,4.967B,,AOR,Restated
2014-06,174.40M,174.40M,1.302B,115.90M,1.418B,571.70M,163.80M,528.80M,1.264B,132.50M,157.50M,19.10M,3.166B,0.00,244.00M,524.70M,1.253B,,83.10M,2.105B,-953.30M,1.152B,5.097B,1.718B,6.815B,118.60M,,117.70M,247.60M,8.451B,11.62B,,587.00M,231.10M,,818.10M,56.40M,874.50M,6.10M,,6.10M,156.80M,156.80M,441.20M,1.777B,2.739B,,2.739B,608.60M,,608.60M,291.40M,,0.00,432.40M,4.121B,5.898B,,2.10M,2.109B,4.937B,1.275B,,,,-54.70M,5.719B,,AOR,Restated
2014-03,211.10M,211.10M,1.411B,108.70M,1.519B,564.20M,164.80M,542.60M,1.272B,123.80M,160.90M,18.50M,3.305B,0.00,242.50M,523.00M,1.238B,,76.50M,2.08B,-918.00M,1.162B,5.099B,1.748B,6.847B,119.30M,,136.30M,197.00M,8.461B,11.77B,,575.40M,48.70M,,624.10M,56.00M,680.10M,2.80M,,2.80M,147.40M,147.40M,403.20M,1.528B,2.934B,,2.934B,599.50M,,599.50M,318.60M,,0.00,399.80M,4.302B,5.830B,,113.50M,1.948B,5.052B,1.105B,,,,-71.30M,5.936B,,AOR,Restated
2013-12,256.00M,256.00M,1.285B,91.60M,1.377B,549.80M,164.40M,480.90M,1.195B,97.60M,149.70M,22.70M,3.232B,0.00,186.40M,502.60M,1.155B,,70.90M,1.915B,-870.70M,1.044B,4.861B,1.750B,6.611B,119.60M,,92.40M,644.30M,8.511B,11.74B,,576.90M,98.70M,,675.60M,56.00M,731.60M,2.50M,,2.50M,126.20M,126.20M,437.50M,1.610B,2.548B,,2.548B,557.00M,,557.00M,320.20M,,122.40M,407.50M,3.915B,5.526B,,113.50M,1.829B,5.071B,875.10M,,,,-43.60M,6.095B,,AOR,Restated
2013-09,237.70M,237.70M,1.299B,142.70M,1.442B,581.60M,193.80M,520.70M,1.296B,108.90M,106.30M,20.40M,3.211B,0.00,248.50M,508.40M,1.156B,,121.00M,2.034B,-862.40M,1.172B,5.122B,1.817B,6.939B,,,,481.80M,8.593B,11.80B,,579.40M,149.50M,,728.90M,56.00M,784.90M,3.00M,,3.00M,204.40M,204.40M,368.60M,1.678B,2.571B,,2.571B,497.80M,,497.80M,388.20M,,119.50M,417.80M,3.924B,5.602B,,113.50M,1.671B,5.066B,727.20M,,,,-41.70M,6.082B,,AOR,Restated
